	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.UJMC.0926.SM.4IHLK	GTEX.11XUK.0826.SM.5GU6P	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EM.A3FQ.01A.11R.A21D.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.BJ.A3PR.01A.11R.A220.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22K.01A.11R.A180.07
MPPE1	1191.69	514.56	571.05	583.07	967.76	620.67	1059.11	860.08	1175.27	507.46	775.05	193.01	447.82	674.59	642.59	674.59	866.07	1477.58	1023.0	1008.9	1199.98	1159.07	1340.84	1467.37	974.5	1167.14	1651.0
MRPS26	1073.91	1191.69	1096.5	819.3	872.1	988.12	1242.34	866.07	896.64	1151.06	620.67	1350.18	947.83	915.51	941.27	974.5	1806.78	1583.71	1572.76	1651.0	1540.37	1594.73	1388.16	1467.37	1286.18	1651.0	2240.11
MSMP	0.0	0.0	4.43	4.98	5.36	0.0	0.0	0.0	47.5	4.7	5.19	0.0	5.28	0.0	0.0	0.0	269.6	38.4	54.33	98.04	1051.79	60.39	67.59	23.93	36.27	69.52	132.44
NAGLU	267.73	395.18	295.11	287.01	612.11	305.55	684.02	587.13	718.08	346.29	232.94	181.28	368.65	389.72	429.54	295.11	733.19	1617.0	759.08	890.44	1044.52	1081.39	759.08	1397.83	808.0	1008.9	1051.79
NFIB	94.67	171.45	169.07	126.12	325.29	164.42	299.25	264.03	389.72	82.87	49.56	48.52	271.48	65.26	163.28	48.18	642.59	525.39	708.18	473.41	395.18	379.04	624.99	454.09	191.67	435.55	915.51
NRL	21.47	24.46	16.39	19.39	16.88	23.93	23.08	33.06	46.5	23.25	14.14	10.96	26.86	33.3	36.01	34.75	73.03	72.52	53.57	84.04	69.03	58.3	66.18	63.0	41.52	70.01	84.63
NUDT16L1	511.0	599.49	503.95	547.75	500.46	718.08	802.41	583.07	470.14	583.07	514.56	358.54	497.0	633.73	563.18	476.71	1883.54	1745.2	988.12	1733.13	1583.71	1397.83	1066.48	1037.29	1030.12	1417.35	1674.06
OAZ3	42.11	42.41	45.53	35.5	40.07	49.21	64.8	44.25	46.5	36.79	27.25	15.91	40.36	59.97	35.25	27.44	214.27	114.36	146.03	191.67	165.57	181.28	124.37	130.6	113.56	141.02	159.9
OCEL1	503.95	267.73	265.87	293.07	775.05	232.94	395.18	283.05	406.31	258.57	136.19	295.11	218.79	269.6	293.07	217.27	915.51	825.0	921.88	848.22	947.83	961.07	1096.5	647.07	830.75	890.44	764.36
P4HA2	429.54	595.34	633.73	466.88	830.75	454.09	555.41	647.07	2148.82	603.67	309.83	403.5	587.13	187.71	432.53	153.34	2682.69	1794.29	2075.59	1540.37	1628.26	3928.15	2163.77	1709.26	775.05	1477.58	1923.14
PAM	1883.54	1498.22	954.43	928.3	2255.7	1066.48	1685.71	1233.75	3190.46	860.08	529.06	579.04	1151.06	647.07	934.76	454.09	6121.9	5183.54	7130.55	7589.61	6294.04	7695.57	8963.45	5403.7	4419.52	6207.38	4010.71
PARM1	48.18	116.78	71.0	53.57	181.28	94.01	218.79	242.88	307.69	25.72	22.75	16.51	102.97	23.08	50.63	18.56	1651.0	2573.36	1529.73	1437.15	1199.98	1378.57	1896.65	4038.61	1407.55	1819.35	1883.54
PHF17	109.66	186.4	123.5	90.77	253.23	82.87	373.81	251.48	193.01	105.15	46.5	52.08	183.82	70.01	126.12	77.25	995.0	753.83	532.74	718.08	780.44	780.44	1175.27	748.61	366.09	813.63	830.75
PIGB	248.0	185.11	239.52	199.85	309.83	155.5	409.15	283.05	329.84	127.89	164.42	89.51	180.02	248.0	148.09	170.25	698.41	511.0	525.39	525.39	409.15	435.55	518.15	384.34	460.44	500.46	525.39
PNKD	1151.06	915.51	603.67	785.88	1870.53	769.69	1781.89	1135.2	1651.0	1378.57	679.29	1295.13	1313.23	1119.56	1030.12	934.76	3325.99	3212.66	2485.67	3395.89	2627.46	2758.13	2796.65	2956.17	3018.3	3768.09	2777.33
PPAP2A	392.44	961.07	595.34	473.41	1073.91	665.29	967.76	703.28	954.43	607.87	423.61	297.17	733.19	336.79	403.5	813.63	5791.62	3901.01	1936.53	3794.3	2367.9	1697.45	4704.07	1662.49	1583.71	3303.0	4066.71
RAB27A	260.38	249.73	260.38	211.31	1340.84	271.48	514.56	466.88	1208.34	603.67	287.01	277.2	441.64	279.14	441.64	679.29	2451.44	1733.13	1594.73	1313.23	1781.89	1870.53	1605.83	1277.29	1359.57	1066.48	2133.97
RGL3	9.93	45.85	23.42	9.93	363.56	29.7	813.63	167.9	130.6	0.15	1.5	5.54	10.96	3.23	7.17	0.88	4972.34	4181.07	2061.24	5831.91	5441.3	2664.15	3639.7	2417.67	2209.26	3419.52	5441.3
RGS5	703.28	656.11	260.38	167.9	1487.87	287.01	1991.0	656.11	3303.0	400.71	389.72	46.84	182.55	124.37	50.63	127.89	5633.22	8191.0	2303.12	4903.87	3212.66	3395.89	7911.95	5366.37	1651.0	5479.15	10808.41
RILP	110.43	158.79	84.63	119.26	356.05	129.69	258.57	157.68	476.71	211.31	108.14	109.66	244.57	164.42	202.66	108.14	1143.1	1331.57	669.92	1135.2	1023.0	813.63	884.29	988.12	684.02	1051.79	1037.29
SATB1	23.76	172.65	205.5	231.32	271.48	212.78	279.14	387.02	450.94	57.08	59.97	42.71	177.53	88.26	128.79	60.82	460.44	679.29	417.77	540.19	497.0	518.15	587.13	567.1	316.37	473.41	836.53
SEMA3E	22.26	3.08	6.36	0.0	57.08	1.08	6.01	23.93	36.27	7.88	0.56	0.0	8.0	0.29	1.83	0.08	67.12	14.45	6.73	18.97	13.03	65.72	76.17	12.27	6.73	25.91	21.78
SFXN2	76.17	95.34	70.01	66.18	111.21	76.17	169.07	180.02	189.02	152.28	31.45	53.95	158.79	59.97	57.89	50.63	197.09	249.73	159.9	202.66	212.78	244.57	242.88	441.64	229.72	214.27	379.04
SIAE	363.56	241.19	193.01	195.72	373.81	226.54	457.25	612.11	785.88	660.68	384.34	928.3	647.07	248.0	723.08	371.22	1769.57	1977.24	995.0	1331.57	1359.57	1397.83	1769.57	1662.49	423.61	1467.37	1397.83
SLC9A3R2	1191.69	733.19	543.96	656.11	3847.29	624.99	1617.0	1008.9	1794.29	363.56	403.5	403.5	780.44	234.57	764.36	450.94	13872.08	6887.62	3212.66	8191.0	3874.05	3443.31	5403.7	3081.75	3690.52	6079.61	5913.33
SNX18	103.69	170.25	120.94	115.16	161.02	155.5	197.09	212.78	260.38	305.55	57.08	87.03	191.67	111.21	162.14	111.99	299.25	327.56	371.22	314.17	323.03	275.28	395.18	312.0	236.21	341.51	316.37
SPATA20	132.44	414.87	507.46	267.73	1437.15	208.38	866.07	896.64	1104.13	151.22	299.25	217.27	441.64	239.52	291.04	93.35	1769.57	1709.26	1427.22	2178.83	1651.0	1572.76	1519.15	2287.2	1331.57	1806.78	1923.14
STK33	0.0	28.45	14.67	7.63	67.12	10.39	64.8	76.71	133.36	13.12	0.97	19.82	41.52	3.44	23.76	0.79	241.19	476.71	289.02	473.41	329.84	281.09	497.0	384.34	248.0	412.0	633.73
TCEAL3	128.79	540.19	511.0	161.02	642.59	237.86	995.0	665.29	1159.07	187.71	69.03	70.01	198.47	145.02	120.94	99.43	2004.85	1870.53	1313.23	1819.35	1350.18	1277.29	1216.75	1259.69	813.63	1639.59	2335.28
TMED1	339.14	480.04	392.44	379.04	406.31	368.65	490.14	497.0	934.76	791.35	314.17	229.72	511.0	583.07	633.73	366.09	1794.29	1259.69	1183.45	1313.23	1259.69	1151.06	1088.92	1216.75	954.43	1044.52	1151.06
TMEM132D	0.0	0.0	0.0	0.0	3.32	0.0	1.38	0.74	4.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.79	7.06	31.67	13.62	26.67	6.84	10.39	6.67	3.14	16.63	15.68
TMEM132E	0.8	3.76	0.82	0.89	4.28	0.51	6.11	1.17	2.89	0.15	1.62	0.71	0.27	0.73	1.08	0.47	7.06	14.24	32.13	11.13	13.52	8.71	17.64	11.3	8.85	13.93	17.38
TMEM219	3491.39	1991.0	1662.49	1806.78	2739.08	2417.67	3235.01	2485.67	4328.55	2591.27	1685.71	1340.84	2163.77	2351.53	2468.49	1963.57	7230.1	4937.99	4450.27	5403.7	4836.35	5329.3	4769.75	3847.29	4512.4	5913.33	3982.99
TMEM66	2591.27	1991.0	2739.08	1757.34	2682.69	2367.9	2178.83	4152.18	5366.37	3349.13	1628.26	2075.59	2739.08	1896.65	2240.11	2047.0	7433.4	9215.48	5872.48	5711.87	7382.04	6561.36	7749.1	7537.18	4512.4	6745.86	9740.98
TMEM98	29.27	414.87	239.52	283.05	909.17	309.83	728.11	1508.65	3690.52	1135.2	94.01	389.72	928.3	409.15	289.02	157.68	2240.11	1745.2	2739.08	3018.3	1628.26	4607.24	2701.35	3168.41	1685.71	3982.99	1674.06
TRAPPC12	679.29	1104.13	743.43	928.3	1457.23	1183.45	1259.69	1216.75	1350.18	769.69	1135.2	642.59	1111.82	1208.34	1127.35	1023.0	2224.63	1721.16	1721.16	1923.14	1781.89	1540.37	1583.71	1991.0	1685.71	2193.99	1806.78
TRAPPC6A	518.15	525.39	854.13	379.04	591.22	599.49	909.17	842.36	896.64	693.58	264.03	466.88	381.68	525.39	543.96	381.68	1081.39	1030.12	733.19	1159.07	1088.92	854.13	934.76	1159.07	1143.1	1313.23	995.0
TRIM8	599.49	1015.93	848.22	854.13	1369.04	1073.91	1001.93	1233.75	2627.46	599.49	343.89	624.99	1277.29	514.56	612.11	507.46	2384.37	2163.77	2367.9	2224.63	1819.35	2701.35	1909.85	2720.15	1963.57	2193.99	1936.53
TTC19	486.75	612.11	493.56	397.93	571.05	444.72	607.87	624.99	842.36	320.8	201.25	208.38	403.5	312.0	293.07	540.19	808.0	941.27	791.35	674.59	738.29	802.41	848.22	819.3	612.11	791.35	1015.93
TUBGCP2	909.17	1127.35	988.12	941.27	1208.34	1233.75	1498.22	1104.13	1447.15	947.83	836.53	1167.14	1051.79	866.07	1059.11	1250.98	1806.78	1447.15	1651.0	1857.6	1651.0	1674.06	1467.37	1304.15	1594.73	1757.34	1437.15
TXNRD2	229.72	244.57	153.34	178.77	423.61	176.29	525.39	444.72	688.78	186.4	199.85	120.94	224.97	159.9	244.57	157.68	612.11	536.45	447.82	423.61	521.76	514.56	463.65	457.25	454.09	503.95	638.15
UNC5C	0.0	9.56	3.0	0.89	34.51	1.77	15.22	11.82	92.7	0.71	0.0	0.0	2.84	0.0	1.41	0.0	122.64	191.67	185.11	201.25	246.28	130.6	204.07	224.97	102.25	269.6	218.79
VPS51	1572.76	1674.06	1388.16	1286.18	1572.76	1819.35	2255.7	1870.53	1832.01	1407.55	1259.69	1044.52	1697.45	2148.82	1806.78	1950.0	3515.68	3103.19	2855.44	3443.31	3124.78	2573.36	3168.41	2720.15	2591.27	3419.52	2384.37
VWA7	38.4	19.97	12.55	8.19	70.01	4.5	106.63	34.26	44.89	3.86	16.39	25.17	26.86	19.39	17.38	3.63	193.01	262.2	122.64	277.2	249.73	205.5	96.01	224.97	73.54	237.86	318.57
ZBED3	13.62	33.06	24.11	19.97	83.45	24.81	77.25	57.89	111.21	33.3	4.98	4.24	33.54	23.93	22.59	7.4	182.55	438.59	173.85	265.87	244.57	190.34	262.2	329.84	127.0	226.54	379.04
ZIK1	9.56	15.91	13.12	17.25	31.67	28.65	31.22	20.11	35.5	30.34	2.14	3.53	30.34	24.99	16.15	5.41	47.5	89.51	78.34	64.34	42.71	53.57	90.77	87.65	58.71	110.43	94.01
ZNF229	8.92	11.82	6.73	8.19	55.1	34.02	26.1	57.89	26.47	25.91	2.43	13.03	14.89	14.14	4.58	4.58	51.71	100.83	61.25	69.52	70.01	77.79	85.22	86.43	38.4	75.11	115.97
ZNF256	25.54	45.21	44.57	40.36	69.52	76.17	77.25	39.79	89.51	50.63	15.0	8.06	38.4	22.75	25.17	29.06	77.79	89.51	78.34	79.45	67.59	78.89	111.21	76.71	94.01	92.05	86.43
ZNF350	44.89	90.14	84.04	95.34	159.9	110.43	98.04	91.41	94.67	177.53	51.35	17.13	106.63	191.67	64.8	91.41	232.94	253.23	178.77	197.09	205.5	232.94	236.21	182.55	170.25	228.13	197.09
ZNF396	79.45	15.45	19.53	16.03	55.49	14.78	71.5	35.5	43.94	8.38	7.11	3.06	19.11	15.8	17.38	5.19	80.57	105.15	100.83	92.7	92.7	85.22	86.43	115.16	58.71	103.69	111.21
ZNF613	26.86	56.28	49.21	50.27	89.51	66.18	78.89	31.45	74.58	121.79	15.56	50.27	72.52	77.25	92.7	53.19	124.37	120.1	105.89	111.21	102.25	90.14	108.9	82.29	78.89	139.07	103.69
ZSCAN18	65.72	563.18	312.0	414.87	1225.22	928.3	1037.29	669.92	412.0	41.52	105.15	825.0	332.14	164.42	110.43	100.83	3614.55	3491.39	2032.85	2915.45	3372.43	3280.18	2627.46	2915.45	2032.85	2997.45	2875.3
