	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.T6MO.0326.SM.32QOK	GTEX.11ZTT.2326.SM.5EQLG	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.14AS3.1626.SM.5S2OY	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.C5.A1M8.01A.21R.A13Y.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.EA.A3HS.01A.11R.A213.07	TCGA.VS.A8EH.01A.11R.A36F.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.VS.A9UM.01A.11R.A42T.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.CR.7369.01A.11R.2132.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CV.6945.01A.11R.1915.07	GTEX.1399S.0526.SM.5IJG8	GTEX.1313W.0926.SM.5EQ56	TCGA.33.4589.01A.01R.1443.07	TCGA.66.2778.01A.02R.0851.07
FABP4	231.32	25.35	34.26	127486.83	313910.86	217400.14	365622.68	253213.41	211455.3	322736.12	386469.83	394590.4	225066.78	348306.01	279017.26	327241.36	358098.26	370726.6	263966.36	489177.0	273275.14	447025.24	716197.51	602247.76	360589.03	324980.94	184082.4	345900.08	282912.21	569761.05	327241.36	127486.83	558035.51	906531.99	417089.23	1078054.48	1838374.44	394590.4	394590.4	292889.12	161367.56	163620.18	27174.14	263966.36	120609.84	107203.06	97965.44	123144.13	636586.81	292889.12	152662.96	129266.49	148488.36	150561.19	135693.24	194578.47	198667.0	160252.91	119776.72	318292.9	408505.64	3564.78	91.41
FAM160B1	57.89	81.14	93.35	64.8	260.38	387.02	218.79	397.93	149.12	633.73	466.88	336.79	309.83	361.04	376.41	426.57	480.04	476.71	412.0	387.02	258.57	392.44	318.57	309.83	271.48	480.04	376.41	441.64	267.73	289.02	483.38	114.36	423.61	253.23	460.44	314.17	241.19	444.72	503.95	202.66	83.45	72.01	29.48	62.12	123.5	94.67	81.14	92.05	224.97	173.85	92.7	76.17	103.69	139.07	169.07	96.01	142.01	117.6	41.52	283.05	183.82	67.59	73.54
FBXO31	180.02	395.18	403.5	267.73	624.99	684.02	1561.89	518.15	836.53	660.68	688.78	579.04	1225.22	780.44	579.04	1216.75	764.36	651.58	866.07	571.05	1135.2	866.07	438.59	981.29	890.44	575.03	567.1	1277.29	620.67	733.19	934.76	297.17	1073.91	571.05	1508.65	941.27	688.78	1073.91	1447.15	759.08	379.04	193.01	327.56	277.2	518.15	441.64	323.03	460.44	1437.15	551.56	387.02	291.04	269.6	361.04	480.04	318.57	366.09	356.05	435.55	579.04	299.25	125.24	138.1
FOXO1	49.21	102.25	88.26	125.24	435.55	1216.75	503.95	713.11	346.29	1498.22	1233.75	1322.37	708.18	1111.82	571.05	1081.39	854.13	780.44	698.41	1551.09	1498.22	2434.5	521.76	1896.65	808.0	1388.16	2451.44	848.22	435.55	325.29	1167.14	165.57	1233.75	1883.54	1304.15	490.14	457.25	967.76	368.65	688.78	142.01	217.27	107.38	262.2	214.27	105.15	201.25	126.12	961.07	1250.98	379.04	150.17	242.88	190.34	152.28	198.47	226.54	166.73	127.89	1081.39	169.07	72.01	101.54
FOXO3	148.09	100.13	175.07	111.21	329.84	1051.79	366.09	507.46	397.93	961.07	808.0	470.14	688.78	748.61	599.49	896.64	555.41	848.22	633.73	808.0	872.1	1216.75	381.68	928.3	780.44	1628.26	1721.16	603.67	583.07	397.93	802.41	269.6	836.53	813.63	1519.15	529.06	679.29	1369.04	896.64	981.29	269.6	223.41	115.16	303.44	503.95	368.65	325.29	389.72	1340.84	819.3	555.41	248.0	314.17	423.61	198.47	384.34	438.59	275.28	351.14	791.35	384.34	128.79	127.0
GGNBP2	470.14	647.07	890.44	785.88	967.76	1457.23	830.75	1369.04	915.51	1295.13	1388.16	1359.57	1331.57	1151.06	1369.04	1073.91	1277.29	1583.71	1628.26	1561.89	1781.89	1923.14	1477.58	1119.56	1159.07	1208.34	1286.18	1199.98	878.17	1051.79	1388.16	961.07	1008.9	1015.93	1883.54	902.89	1216.75	1388.16	1183.45	1104.13	1216.75	954.43	860.08	775.05	1088.92	988.12	1073.91	974.5	1233.75	988.12	961.07	878.17	1023.0	988.12	785.88	860.08	860.08	743.43	802.41	1159.07	961.07	764.36	543.96
HIPK3	123.5	256.78	212.78	92.05	947.83	1277.29	674.59	1498.22	379.04	2004.85	1662.49	1096.5	1081.39	1295.13	1119.56	1467.37	1437.15	1721.16	1277.29	1487.87	961.07	1199.98	1216.75	1781.89	665.29	1096.5	1359.57	884.29	769.69	708.18	1437.15	341.51	1896.65	1216.75	3614.55	1340.84	1104.13	1519.15	2645.74	660.68	303.44	297.17	166.73	279.14	547.75	153.34	339.14	389.72	1008.9	555.41	1104.13	543.96	470.14	381.68	220.32	466.88	470.14	371.22	172.65	830.75	934.76	215.77	262.2
IL6ST	153.34	99.43	180.02	92.05	1757.34	2956.17	1427.22	2739.08	830.75	4671.57	3955.48	2104.58	2451.44	3257.52	2287.2	3690.52	3955.48	2875.3	3349.13	3564.78	1572.76	5995.9	4450.27	9740.98	679.29	2720.15	5219.6	1427.22	1199.98	2319.15	3614.55	403.5	2739.08	4450.27	11909.94	5831.91	1709.26	4419.52	11189.6	902.89	327.56	248.0	88.88	301.33	497.0	133.36	343.89	473.41	1745.2	1167.14	769.69	234.57	343.89	406.31	221.86	381.68	764.36	579.04	224.97	2032.85	703.28	236.21	376.41
INSR	26.67	65.72	68.55	73.54	231.32	525.39	353.59	620.67	267.73	536.45	555.41	457.25	480.04	563.18	599.49	551.56	543.96	713.11	518.15	674.59	660.68	540.19	591.22	387.02	511.0	791.35	529.06	466.88	291.04	312.0	921.88	189.02	1023.0	780.44	738.29	555.41	389.72	1044.52	187.71	473.41	70.01	74.06	25.72	90.14	122.64	86.43	85.22	152.28	323.03	232.94	161.02	63.89	46.18	98.73	152.28	92.05	197.09	120.1	42.41	532.74	91.41	19.11	44.57
IRS2	3.26	11.73	7.11	5.15	299.25	1051.79	486.75	842.36	273.37	921.88	967.76	878.17	432.53	813.63	718.08	669.92	595.34	1268.46	414.87	656.11	1617.0	1151.06	1242.34	1540.37	387.02	1225.22	2664.15	417.77	128.79	381.68	1051.79	127.0	1923.14	1397.83	1143.1	785.88	429.54	1015.93	87.65	438.59	74.06	25.72	38.95	19.25	59.55	14.35	55.49	36.53	307.69	371.22	80.57	115.97	10.88	39.22	48.87	51.71	175.07	15.22	138.1	540.19	66.18	25.91	13.93
JAK1	483.38	674.59	629.35	285.03	2193.99	2739.08	1781.89	3018.3	1350.18	3665.02	3303.0	2796.65	2537.92	2997.45	3018.3	2956.17	3614.55	3325.99	3257.52	3589.58	2400.97	3491.39	3540.14	4358.66	1757.34	3325.99	3395.89	2193.99	1870.53	2875.3	2777.33	1277.29	2682.69	3589.58	4388.98	2720.15	3190.46	3103.19	4239.45	1697.45	1551.09	723.08	450.94	1135.2	928.3	813.63	860.08	1498.22	2502.97	1216.75	1709.26	595.34	1199.98	1143.1	674.59	1487.87	1388.16	1111.82	638.15	2915.45	902.89	305.55	423.61
JAK2	48.18	84.04	53.95	45.21	187.71	301.33	115.16	211.31	131.51	511.0	368.65	217.27	242.88	318.57	273.37	295.11	348.71	417.77	289.02	371.22	329.84	417.77	204.07	267.73	166.73	255.0	429.54	307.69	289.02	129.69	457.25	59.55	215.77	273.37	603.67	147.06	115.97	275.28	366.09	113.56	156.59	26.86	80.01	217.27	150.17	36.27	108.14	182.55	928.3	587.13	125.24	67.59	141.02	62.12	47.5	75.11	100.83	159.9	22.75	283.05	251.48	101.54	54.33
LIFR	5.28	1.99	18.16	2.58	358.54	1023.0	575.03	473.41	248.0	1001.93	1359.57	480.04	813.63	1119.56	775.05	808.0	854.13	1378.57	842.36	1617.0	860.08	1295.13	395.18	2178.83	698.41	1417.35	708.18	389.72	1583.71	102.25	1487.87	75.64	291.04	1051.79	3901.01	476.71	336.79	2193.99	5711.87	802.41	22.26	45.21	18.56	32.59	21.63	52.08	31.22	15.22	1369.04	387.02	22.92	19.53	18.84	8.13	13.72	56.68	22.1	80.01	12.27	688.78	136.19	21.32	49.21
LONRF1	38.67	61.25	94.01	92.05	316.37	674.59	303.44	426.57	260.38	728.11	571.05	473.41	371.22	518.15	518.15	454.09	435.55	748.61	356.05	1350.18	813.63	854.13	392.44	511.0	237.86	536.45	1119.56	295.11	551.56	156.59	320.8	239.52	1233.75	438.59	444.72	460.44	400.71	587.13	679.29	389.72	334.46	198.47	173.85	178.77	312.0	187.71	229.72	182.55	647.07	476.71	124.37	74.58	132.44	125.24	155.5	258.57	371.22	209.84	172.65	361.04	323.03	64.8	162.14
MAP1LC3B	463.65	703.28	1359.57	674.59	2075.59	2287.2	1936.53	2163.77	1605.83	2485.67	2468.49	1977.24	1781.89	2061.24	1628.26	1721.16	2163.77	2468.49	1832.01	2133.97	1819.35	2148.82	1295.13	2271.4	1127.35	1806.78	1896.65	2796.65	1487.87	1806.78	1936.53	1096.5	2835.7	2047.0	3467.27	1467.37	2240.11	2384.37	2133.97	1250.98	679.29	785.88	684.02	764.36	884.29	748.61	551.56	718.08	3467.27	1529.73	1111.82	928.3	1096.5	825.0	785.88	743.43	878.17	941.27	1119.56	1268.46	2434.5	1037.29	848.22
MKRN2	161.02	269.6	325.29	244.57	395.18	486.75	409.15	497.0	332.14	563.18	480.04	373.81	447.82	441.64	507.46	470.14	497.0	525.39	447.82	514.56	500.46	769.69	521.76	397.93	336.79	567.1	497.0	551.56	414.87	417.77	457.25	291.04	723.08	536.45	738.29	444.72	642.59	529.06	521.76	441.64	234.57	236.21	135.24	307.69	267.73	423.61	332.14	231.32	392.44	356.05	241.19	176.29	356.05	150.17	232.94	198.47	397.93	251.48	161.02	503.95	314.17	199.85	232.94
MTMR10	108.14	70.51	77.79	100.13	384.34	579.04	353.59	836.53	297.17	836.53	909.17	785.88	638.15	836.53	825.0	733.19	785.88	808.0	624.99	1044.52	698.41	974.5	1104.13	1001.93	656.11	1096.5	819.3	607.87	591.22	231.32	718.08	149.12	1104.13	1001.93	825.0	612.11	450.94	457.25	679.29	368.65	156.59	92.05	146.03	139.07	214.27	162.14	248.0	320.8	305.55	669.92	183.82	118.43	158.79	156.59	123.5	231.32	180.02	148.09	74.58	988.12	599.49	56.28	104.42
NUDT16	223.41	117.6	214.27	231.32	373.81	423.61	454.09	406.31	412.0	387.02	325.29	579.04	493.56	514.56	540.19	420.68	543.96	460.44	473.41	547.75	665.29	728.11	376.41	733.19	599.49	555.41	1175.27	567.1	371.22	366.09	536.45	237.86	884.29	848.22	1088.92	432.53	285.03	432.53	532.74	414.87	287.01	223.41	157.68	320.8	201.25	454.09	267.73	264.03	759.08	753.83	114.36	137.14	92.05	183.82	212.78	164.42	444.72	193.01	147.06	995.0	293.07	115.97	373.81
PARD3B	8.38	1.66	1.31	3.5	172.65	221.86	116.78	224.97	94.67	381.68	336.79	228.13	173.85	253.23	209.84	303.44	403.5	262.2	299.25	201.25	202.66	269.6	273.37	236.21	206.94	154.42	483.38	115.16	246.28	56.28	175.07	58.71	176.29	166.73	366.09	147.06	141.02	142.01	155.5	94.01	24.63	3.79	6.67	15.11	8.32	3.59	5.32	12.93	143.01	122.64	17.9	5.02	21.63	29.27	15.34	18.43	38.67	16.75	4.06	145.02	127.0	0.0	4.7
PHF17	102.97	82.87	92.7	80.57	417.77	819.3	525.39	738.29	353.59	796.86	708.18	679.29	607.87	575.03	780.44	665.29	669.92	902.89	669.92	616.37	813.63	954.43	438.59	698.41	567.1	1259.69	551.56	723.08	264.03	327.56	1001.93	231.32	616.37	493.56	713.11	343.89	559.28	860.08	698.41	579.04	199.85	86.43	209.84	155.5	135.24	84.04	169.07	232.94	403.5	279.14	148.09	18.29	70.01	76.17	153.34	182.55	202.66	180.02	98.73	1295.13	142.01	30.56	68.55
PIKFYVE	19.97	49.21	46.18	49.91	118.43	218.79	82.87	320.8	81.14	312.0	295.11	208.38	212.78	279.14	301.33	258.57	262.2	343.89	241.19	348.71	171.45	316.37	283.05	229.72	157.68	309.83	356.05	143.01	145.02	150.17	283.05	33.54	212.78	197.09	587.13	169.07	163.28	264.03	224.97	152.28	54.33	88.88	28.65	66.65	144.01	48.87	54.72	88.26	143.01	134.3	116.78	41.81	88.26	75.11	104.42	68.55	105.15	70.01	27.05	189.02	147.06	18.56	40.64
PPM1B	457.25	318.57	291.04	305.55	571.05	872.1	493.56	1023.0	371.22	1167.14	967.76	1233.75	698.41	791.35	872.1	780.44	947.83	819.3	830.75	848.22	785.88	1216.75	679.29	1037.29	967.76	961.07	1674.06	532.74	660.68	441.64	934.76	616.37	1216.75	1199.98	1991.0	660.68	532.74	1023.0	669.92	595.34	361.04	486.75	381.68	371.22	435.55	392.44	432.53	414.87	1295.13	921.88	460.44	314.17	299.25	486.75	312.0	356.05	669.92	363.56	208.38	819.3	836.53	334.46	285.03
PRKAG2	115.16	438.59	169.07	309.83	470.14	555.41	406.31	518.15	409.15	432.53	403.5	583.07	575.03	511.0	642.59	435.55	551.56	791.35	486.75	872.1	981.29	1001.93	470.14	808.0	432.53	669.92	674.59	684.02	567.1	221.86	738.29	267.73	718.08	674.59	1208.34	316.37	476.71	791.35	529.06	343.89	267.73	343.89	218.79	285.03	356.05	204.07	172.65	191.67	915.51	785.88	100.83	120.1	224.97	229.72	327.56	142.01	125.24	271.48	234.57	536.45	273.37	153.34	395.18
PTPRG	2.68	15.22	77.79	34.26	412.0	470.14	251.48	819.3	137.14	616.37	780.44	438.59	591.22	656.11	656.11	620.67	638.15	733.19	603.67	928.3	902.89	1529.73	417.77	878.17	587.13	616.37	1030.12	703.28	438.59	559.28	629.35	76.17	1233.75	954.43	753.83	323.03	454.09	713.11	483.38	356.05	32.59	39.5	13.22	84.63	24.11	37.05	42.71	37.32	575.03	532.74	208.38	42.11	126.12	52.08	61.68	163.28	81.71	112.77	42.41	612.11	59.97	27.64	63.45
ROCK2	173.85	98.04	214.27	113.56	406.31	603.67	234.57	460.44	224.97	1023.0	915.51	629.35	595.34	551.56	536.45	947.83	660.68	607.87	679.29	603.67	587.13	1225.22	591.22	1216.75	878.17	1015.93	2104.58	808.0	450.94	366.09	791.35	166.73	2935.74	1304.15	1457.23	514.56	567.1	825.0	665.29	595.34	96.01	176.29	108.14	167.9	346.29	119.26	156.59	175.07	941.27	529.06	253.23	114.36	150.17	199.85	193.01	217.27	265.87	144.01	111.99	438.59	153.34	36.27	45.85
SERINC1	547.75	961.07	915.51	1051.79	5292.48	6607.01	5366.37	6426.31	2976.74	10512.82	8421.31	6294.04	5751.61	7280.4	6699.25	6561.36	8538.88	7382.04	6381.92	7180.15	4903.87	10014.87	6561.36	6516.03	2609.3	6935.54	7485.11	3901.01	3794.3	3325.99	8305.36	2520.38	6745.86	8901.53	8363.13	4268.94	4639.29	7589.61	6381.92	2555.58	1467.37	1561.89	669.92	1233.75	1685.71	1037.29	1295.13	1250.98	4328.55	3303.0	2209.26	995.0	2104.58	1340.84	988.12	1030.12	1447.15	1519.15	884.29	4298.64	3665.02	1119.56	995.0
SYBU	94.01	1.99	2.29	5.41	246.28	647.07	423.61	325.29	426.57	450.94	547.75	733.19	444.72	536.45	450.94	379.04	397.93	571.05	450.94	743.43	836.53	1369.04	255.0	1806.78	723.08	780.44	7180.15	595.34	633.73	128.79	343.89	149.12	612.11	1870.53	3372.43	265.87	353.59	366.09	2335.28	325.29	21.47	28.04	21.47	84.04	60.39	255.0	153.34	79.45	660.68	620.67	175.07	19.68	84.04	19.68	29.48	93.35	35.0	153.34	15.68	753.83	83.45	29.7	151.22
TACC1	138.1	67.59	152.28	417.77	2119.22	3491.39	1883.54	3515.68	1304.15	6840.04	6607.01	3124.78	3515.68	4268.94	3018.3	5329.3	5219.6	4575.41	4671.57	5255.91	3349.13	4328.55	1963.57	5672.41	2997.45	4239.45	7081.29	2875.3	3564.78	836.53	4802.93	351.14	5403.7	9151.82	11745.96	2018.8	3467.27	5633.22	4937.99	1781.89	221.86	312.0	108.9	473.41	202.66	381.68	287.01	521.76	3847.29	1819.35	483.38	236.21	224.97	283.05	325.29	384.34	486.75	426.57	162.14	2351.53	1561.89	88.88	151.22
TEAD1	193.01	43.63	73.54	98.73	368.65	860.08	348.71	1388.16	214.27	1963.57	1340.84	995.0	764.36	988.12	1015.93	961.07	1191.69	1674.06	1015.93	1277.29	967.76	1697.45	1088.92	1073.91	848.22	1066.48	1397.83	660.68	366.09	497.0	1417.35	93.35	1286.18	1175.27	2178.83	808.0	507.46	995.0	651.58	441.64	68.55	170.25	56.68	134.3	295.11	61.25	116.78	169.07	279.14	212.78	371.22	232.94	137.14	273.37	178.77	224.97	237.86	190.34	69.52	500.46	111.21	30.78	81.71
TGFBR3	28.86	6.94	33.78	112.77	1191.69	1540.37	974.5	1923.14	825.0	2434.5	3742.05	1721.16	1832.01	2627.46	1359.57	3515.68	1977.24	2367.9	2104.58	2178.83	1991.0	7966.99	1135.2	2835.7	2417.67	4903.87	3060.45	909.17	575.03	497.0	8479.89	167.9	1417.35	878.17	3081.75	633.73	896.64	5329.3	1159.07	2255.7	41.52	8.32	13.52	12.27	36.27	18.56	31.0	15.22	802.41	961.07	40.64	16.15	16.51	15.0	14.35	14.24	24.46	19.68	2.76	819.3	318.57	7.46	22.26
