	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.Y114.1126.SM.4TT7V	GTEX.13N1W.1926.SM.5IJCH	GTEX.13PVQ.1926.SM.5L3GN	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.12696.1526.SM.5EGL6	GTEX.139D8.1426.SM.5IJEX	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.R53T.1026.SM.48FCO	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.146FH.1626.SM.5NQ9H	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.132AR.2426.SM.5IFFD	GTEX.139D8.2326.SM.5IFGE
GSDMD	1183.45	1216.75	651.58	988.12	583.07	1023.0	1216.75	1242.34	1781.89	1023.0	2875.3	1769.57	2739.08	1119.56	2018.8	1617.0	2047.0	1781.89	1721.16	1001.93	2163.77	2178.83	1857.6	2047.0	2701.35
HDDC3	197.09	100.83	69.52	209.84	82.87	122.64	129.69	173.85	269.6	155.5	283.05	307.69	220.32	231.32	323.03	262.2	205.5	85.22	267.73	96.68	236.21	363.56	220.32	450.94	409.15
HEATR6	447.82	277.2	209.84	218.79	255.0	130.6	142.01	248.0	220.32	191.67	353.59	265.87	273.37	173.85	256.78	376.41	348.71	152.28	281.09	208.38	234.57	406.31	114.36	571.05	348.71
HYAL3	52.82	48.87	40.36	40.36	43.32	51.35	46.18	45.85	47.17	19.25	124.37	62.56	49.21	38.12	64.8	76.71	102.25	42.11	25.17	40.07	72.01	146.03	17.13	130.6	129.69
JOSD2	1044.52	915.51	854.13	1044.52	620.67	329.84	457.25	693.58	1628.26	674.59	2047.0	1023.0	1081.39	629.35	1572.76	1059.11	1340.84	674.59	1159.07	753.83	1286.18	1896.65	1167.14	1457.23	1733.13
KDM2B	301.33	281.09	289.02	232.94	217.27	144.01	183.82	229.72	373.81	214.27	281.09	325.29	265.87	220.32	346.29	244.57	358.54	187.71	269.6	262.2	293.07	329.84	133.36	412.0	420.68
KIF15	7.75	15.45	3.86	17.25	7.82	6.57	2.94	2.16	25.54	7.28	22.43	11.73	12.27	6.21	15.68	12.83	25.72	2.73	11.47	6.06	14.24	26.28	4.46	66.18	15.68
KLRG1	85.82	49.21	47.17	55.89	18.43	65.26	25.35	11.91	95.34	59.13	126.12	105.89	64.8	12.64	130.6	139.07	134.3	11.47	60.82	64.34	88.26	94.67	22.26	120.1	107.38
LAGE3	376.41	246.28	242.88	289.02	148.09	183.82	214.27	181.28	414.87	291.04	497.0	417.77	450.94	217.27	518.15	327.56	438.59	191.67	309.83	251.48	423.61	743.43	161.02	642.59	483.38
LAT2	57.89	107.38	88.26	57.08	46.5	96.68	64.34	36.01	291.04	63.89	212.78	183.82	60.82	35.25	146.03	149.12	39.5	57.08	85.82	31.9	150.17	117.6	24.99	237.86	175.07
LEPREL4	206.94	197.09	136.19	126.12	80.57	107.38	115.97	194.36	414.87	258.57	444.72	314.17	414.87	156.59	295.11	332.14	486.75	119.26	242.88	165.57	490.14	457.25	159.9	363.56	616.37
LRRC45	131.51	108.9	98.04	147.06	71.5	58.3	52.45	98.73	395.18	129.69	348.71	289.02	366.09	106.63	429.54	267.73	361.04	39.5	289.02	226.54	287.01	343.89	63.45	518.15	417.77
MAZ	3515.68	2090.03	2609.3	1781.89	1340.84	1950.0	1015.93	1857.6	2997.45	2434.5	4736.79	2739.08	3372.43	1832.01	3103.19	3349.13	5112.16	1233.75	2119.22	2664.15	3564.78	3820.7	1583.71	4268.94	3901.01
MED11	583.07	432.53	450.94	460.44	275.28	229.72	267.73	256.78	743.43	432.53	713.11	493.56	529.06	299.25	703.28	616.37	656.11	301.33	518.15	457.25	563.18	1051.79	283.05	579.04	928.3
METTL4	124.37	156.59	115.16	142.01	78.89	83.45	97.36	55.1	161.02	101.54	152.28	163.28	148.09	118.43	139.07	145.02	181.28	74.06	178.77	94.01	136.19	152.28	135.24	271.48	205.5
MFSD12	543.96	753.83	921.88	775.05	358.54	511.0	738.29	909.17	1551.09	884.29	1605.83	967.76	1369.04	836.53	1277.29	981.29	1242.34	708.18	884.29	934.76	1697.45	1437.15	878.17	1457.23	1487.87
MPV17	1794.29	2018.8	1529.73	1477.58	1417.35	1407.55	1340.84	1651.0	2303.12	1733.13	2224.63	2224.63	2502.97	1806.78	2271.4	2434.5	1832.01	1529.73	2417.67	2163.77	2209.26	2303.12	2061.24	2895.31	2895.31
MRPL48	591.22	358.54	423.61	466.88	191.67	318.57	305.55	237.86	616.37	332.14	698.41	688.78	642.59	348.71	656.11	743.43	769.69	236.21	532.74	583.07	708.18	718.08	320.8	1225.22	854.13
MRPL51	2855.44	2193.99	2240.11	2287.2	1331.57	1923.14	1936.53	1721.16	2209.26	2075.59	2485.67	2090.03	2319.15	2119.22	2627.46	2303.12	2895.31	1991.0	2855.44	2104.58	2400.97	4328.55	2303.12	3768.09	3060.45
NPRL3	518.15	521.76	429.54	521.76	269.6	420.68	303.44	426.57	728.11	441.64	791.35	457.25	563.18	395.18	633.73	688.78	547.75	353.59	454.09	379.04	693.58	575.03	444.72	684.02	872.1
PAQR4	33.54	82.29	41.52	100.83	37.05	29.7	40.64	68.55	226.54	49.56	190.34	127.0	83.45	126.12	141.02	176.29	108.9	53.95	111.99	64.8	169.07	195.72	81.14	262.2	228.13
PEX6	237.86	318.57	285.03	460.44	93.35	336.79	159.9	146.03	656.11	353.59	836.53	316.37	514.56	134.3	684.02	521.76	842.36	159.9	500.46	392.44	521.76	1037.29	285.03	1051.79	1015.93
PHF15	476.71	808.0	406.31	325.29	318.57	177.53	253.23	435.55	543.96	647.07	825.0	525.39	543.96	346.29	567.1	483.38	753.83	244.57	518.15	368.65	426.57	733.19	297.17	813.63	1015.93
PLOD1	3039.3	2061.24	1819.35	1135.2	1721.16	902.89	748.61	866.07	1359.57	1208.34	2627.46	1369.04	1331.57	718.08	1551.09	1674.06	2119.22	651.58	1350.18	1721.16	1487.87	2018.8	1015.93	4239.45	1909.85
PLOD3	1322.37	1151.06	915.51	961.07	651.58	813.63	1023.0	1304.15	1721.16	1135.2	2627.46	1417.35	1639.59	1268.46	1832.01	1519.15	1628.26	1096.5	1350.18	1208.34	1781.89	1794.29	1250.98	5112.16	2502.97
POLR2F	2104.58	1508.65	1540.37	1617.0	1313.23	1313.23	1561.89	1447.15	1883.54	1561.89	2271.4	1697.45	1639.59	1233.75	1697.45	1769.57	1757.34	1059.11	1923.14	1745.2	2255.7	3039.3	1721.16	2609.3	2090.03
PSPH	170.25	92.05	112.77	131.51	70.51	97.36	62.56	47.84	159.9	42.11	361.04	145.02	127.0	75.64	191.67	166.73	285.03	55.49	158.79	118.43	157.68	285.03	40.07	571.05	400.71
PTPN6	41.22	244.57	72.01	205.5	138.1	138.1	139.07	148.09	358.54	202.66	457.25	246.28	220.32	128.79	289.02	297.17	191.67	66.18	228.13	56.68	277.2	234.57	116.78	802.41	620.67
PYGO2	791.35	567.1	559.28	543.96	336.79	536.45	314.17	500.46	708.18	529.06	791.35	684.02	612.11	466.88	547.75	571.05	947.83	368.65	543.96	540.19	665.29	896.64	525.39	866.07	808.0
QRICH2	43.02	33.3	32.82	49.21	9.41	21.63	20.86	16.75	87.65	19.11	127.0	87.65	98.73	7.75	88.88	82.29	175.07	46.18	55.89	40.36	145.02	93.35	24.63	195.72	58.71
RAC2	105.89	173.85	162.14	140.04	67.12	159.9	123.5	47.84	529.06	145.02	381.68	339.14	64.34	42.11	397.93	400.71	117.6	87.03	178.77	35.25	239.52	186.4	62.56	629.35	842.36
REP15	33.78	6.84	11.04	43.02	6.11	9.06	15.56	16.15	53.57	2.73	151.22	41.52	47.17	16.15	78.34	24.99	110.43	15.56	19.97	19.11	76.71	114.36	18.29	224.97	78.89
REXO4	318.57	332.14	281.09	244.57	150.17	138.1	180.02	221.86	363.56	267.73	384.34	269.6	312.0	212.78	327.56	283.05	460.44	163.28	301.33	201.25	356.05	521.76	237.86	412.0	429.54
RIMBP3B	0.0	0.35	0.0	0.52	0.0	0.0	0.0	0.0	2.71	0.75	3.53	1.27	1.45	0.0	3.66	1.73	2.63	0.0	0.0	0.0	1.36	6.67	0.0	3.56	1.91
RTN4R	17.51	8.71	9.63	14.56	1.23	2.43	7.28	7.94	41.22	13.22	37.85	27.64	26.67	9.41	24.11	38.12	74.06	9.06	23.59	19.25	28.04	52.08	8.13	156.59	121.79
SAC3D1	232.94	126.12	150.17	145.02	32.82	62.56	47.17	79.45	269.6	154.42	287.01	212.78	223.41	100.83	183.82	229.72	234.57	37.85	153.34	141.02	234.57	460.44	72.52	258.57	395.18
SAMD1	830.75	518.15	934.76	638.15	185.11	466.88	239.52	454.09	947.83	454.09	1936.53	620.67	1030.12	429.54	988.12	902.89	1551.09	251.48	769.69	647.07	1242.34	1519.15	441.64	1757.34	1709.26
SIPA1	934.76	674.59	764.36	928.3	435.55	785.88	607.87	866.07	1304.15	733.19	2133.97	1250.98	1572.76	775.05	1467.37	1183.45	1369.04	728.11	1322.37	1111.82	1277.29	1286.18	921.88	1151.06	2032.85
SMUG1	620.67	429.54	358.54	591.22	466.88	329.84	403.5	480.04	607.87	603.67	693.58	624.99	638.15	381.68	660.68	607.87	738.29	389.72	698.41	460.44	764.36	988.12	497.0	915.51	872.1
SPR	480.04	341.51	406.31	551.56	281.09	202.66	208.38	271.48	607.87	366.09	981.29	633.73	525.39	373.81	703.28	587.13	1721.16	173.85	579.04	503.95	651.58	2104.58	242.88	2434.5	836.53
SRRM5	7.57	13.72	8.25	12.09	5.06	5.96	8.51	12.45	28.86	10.47	34.02	12.74	20.71	8.45	28.86	23.59	29.7	7.75	16.27	12.36	21.01	32.13	8.58	44.57	21.16
STX10	1151.06	981.29	791.35	866.07	540.19	647.07	426.57	947.83	1639.59	1183.45	1745.2	1397.83	1583.71	830.75	1487.87	1508.65	1369.04	532.74	1639.59	961.07	1313.23	1519.15	775.05	1457.23	1733.13
STYXL1	490.14	237.86	187.71	400.71	61.68	262.2	186.4	165.57	397.93	123.5	733.19	379.04	420.68	177.53	559.28	525.39	583.07	172.65	483.38	353.59	500.46	819.3	351.14	1350.18	813.63
TACC3	71.5	205.5	52.45	53.95	56.68	47.5	100.83	94.01	232.94	57.89	249.73	148.09	189.02	115.16	218.79	127.89	161.02	116.78	104.42	142.01	177.53	195.72	81.71	470.14	187.71
TAF6	1685.71	1111.82	1295.13	1111.82	884.29	669.92	547.75	836.53	1119.56	1059.11	1769.57	1331.57	1001.93	738.29	1191.69	1322.37	1733.13	571.05	902.89	1066.48	1313.23	1745.2	647.07	1561.89	1662.49
TCF3	764.36	532.74	466.88	511.0	212.78	532.74	389.72	583.07	1001.93	616.37	974.5	884.29	813.63	503.95	738.29	836.53	890.44	473.41	669.92	616.37	764.36	872.1	575.03	1151.06	884.29
TMEM206	44.25	70.01	53.95	30.12	27.44	31.22	31.0	42.11	67.12	58.3	111.99	53.57	53.95	66.65	60.82	96.68	94.67	26.1	58.71	64.8	76.17	59.13	40.07	90.77	148.09
TONSL	41.81	23.76	18.03	36.79	25.17	28.45	24.28	27.44	42.71	31.22	74.58	56.28	70.51	31.67	43.94	41.22	63.45	22.1	42.71	55.1	53.19	78.89	24.46	493.56	150.17
TRAF2	307.69	197.09	202.66	187.71	62.12	148.09	94.01	167.9	312.0	206.94	376.41	356.05	255.0	173.85	275.28	285.03	429.54	69.03	215.77	214.27	312.0	476.71	155.5	1081.39	389.72
UNG	275.28	262.2	153.34	314.17	242.88	277.2	147.06	228.13	285.03	249.73	366.09	336.79	356.05	236.21	262.2	301.33	571.05	199.85	305.55	260.38	314.17	480.04	224.97	693.58	450.94
UPF1	1044.52	1183.45	1159.07	1096.5	728.11	1030.12	1119.56	1023.0	1508.65	1001.93	1407.55	1369.04	1295.13	1001.93	1313.23	1259.69	1487.87	1427.22	1081.39	1008.9	1304.15	1487.87	995.0	1651.0	1594.73
USP21	769.69	703.28	575.03	638.15	463.65	860.08	713.11	1023.0	1044.52	1037.29	1216.75	995.0	1001.93	791.35	1242.34	1001.93	1081.39	753.83	967.76	813.63	1081.39	1143.1	665.29	1407.55	1519.15
VANGL1	232.94	117.6	80.01	73.54	90.14	52.82	31.22	46.84	93.35	85.82	87.03	107.38	77.25	71.5	87.03	85.82	156.59	25.54	74.58	85.82	124.37	114.36	26.28	204.07	146.03
WDR34	620.67	420.68	412.0	486.75	164.42	241.19	242.88	420.68	647.07	529.06	802.41	540.19	633.73	356.05	819.3	679.29	759.08	265.87	555.41	466.88	684.02	1066.48	303.44	1388.16	974.5
XKR8	152.28	105.15	108.14	130.6	133.36	85.82	122.64	82.87	246.28	134.3	208.38	209.84	197.09	88.88	246.28	187.71	226.54	185.11	166.73	81.71	212.78	255.0	75.64	267.73	309.83
YIPF2	708.18	579.04	423.61	642.59	559.28	540.19	547.75	583.07	759.08	764.36	733.19	796.86	890.44	559.28	854.13	802.41	825.0	665.29	718.08	525.39	941.27	819.3	638.15	1268.46	1066.48
ZACN	13.93	0.15	1.58	9.06	3.17	10.79	3.92	0.0	218.79	2.41	217.27	79.45	65.72	0.0	80.57	34.75	100.83	81.14	4.54	10.31	76.71	121.79	2.53	149.12	145.02
ZBTB12	98.04	41.22	52.08	48.52	15.8	36.79	17.38	22.59	66.65	53.57	68.55	76.71	88.26	18.56	55.1	60.39	211.31	21.63	30.12	43.94	81.71	140.04	12.74	142.01	146.03
ZFP64	251.48	144.01	152.28	105.89	88.88	42.41	43.02	59.97	186.4	145.02	172.65	183.82	150.17	102.97	165.57	214.27	295.11	55.89	143.01	138.1	171.45	226.54	45.21	348.71	236.21
ZNF341	55.1	76.17	70.51	75.11	39.22	27.25	41.52	52.45	108.9	73.03	156.59	107.38	113.56	49.56	127.89	108.14	120.1	55.49	102.25	105.89	91.41	129.69	41.22	136.19	121.79
ZNF511	1119.56	647.07	738.29	753.83	518.15	723.08	444.72	674.59	1359.57	775.05	1721.16	1051.79	1015.93	575.03	1183.45	1119.56	1259.69	414.87	1183.45	1259.69	1183.45	1233.75	466.88	1870.53	4010.71
ZNF879	54.72	62.56	50.27	46.84	26.86	21.63	15.91	37.05	61.68	39.22	103.69	105.89	111.21	35.25	75.64	55.49	155.5	33.3	53.57	21.16	67.12	123.5	45.21	194.36	166.73
ZSCAN22	30.34	47.17	41.81	47.5	22.75	16.03	23.59	24.28	43.02	27.25	66.65	40.36	38.67	23.25	38.12	39.5	79.45	30.34	33.54	17.77	40.07	62.56	24.99	85.82	76.71
ZSWIM1	151.22	182.55	145.02	159.9	205.5	164.42	102.25	149.12	206.94	154.42	187.71	185.11	246.28	139.07	190.34	151.22	232.94	126.12	187.71	135.24	220.32	251.48	103.69	229.72	229.72
