	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.HC.7077.01A.11R.1965.07
AMOT	0.0	0.21	201.25	75.64	138.1	358.54	28.24	173.85	76.17	260.38	125.24	70.51	109.66	111.99	256.78	144.01	80.57	97.36	229.72	172.65	162.14	58.71	123.5	353.59	7.0	105.15	93.35	78.34	125.24	131.51	229.72	105.89	204.07	52.45	503.95	759.08	54.33	327.56	208.38	63.45	68.07	92.7	20.71	52.82	13.22	56.28	5.87	61.25	104.42	30.34	59.13	90.77	80.01	232.94	3.69	22.1	31.0	15.8	121.79	27.84	29.91	56.68	84.63	87.65
AQP5	0.0	0.16	457.25	571.05	490.14	8.38	57.08	4450.27	1111.82	647.07	447.82	1594.73	507.46	107.38	454.09	52.45	67.12	320.8	11.91	830.75	4704.07	1519.15	890.44	5006.93	244.57	239.52	12589.08	264.03	87.65	470.14	6745.86	775.05	52.82	63.89	156.59	1923.14	5872.48	8078.22	187.71	1.35	2.92	6.57	2.25	1.22	1.23	1.23	7.17	5.11	1.91	0.0	3.47	2.89	21.16	1.85	0.3	0.93	1.5	1.06	18.29	1.25	1.83	1.53	1.13	0.29
ARHGEF2	0.0	0.84	2502.97	1143.1	2485.67	5329.3	1781.89	3349.13	1427.22	5006.93	3847.29	3540.14	2367.9	2591.27	3349.13	1313.23	2319.15	3564.78	2895.31	2400.97	2434.5	4512.4	2468.49	2835.7	1844.76	2537.92	2875.3	3018.3	981.29	2645.74	2682.69	2104.58	1175.27	5403.7	2855.44	3820.7	5479.15	9474.59	2758.13	81.14	62.56	120.1	244.57	242.88	255.0	163.28	228.13	215.77	165.57	186.4	170.25	309.83	325.29	293.07	108.14	116.78	187.71	115.97	195.72	172.65	190.34	167.9	151.22	98.73
ATOH8	0.0	0.44	1331.57	3303.0	8598.28	11035.54	1388.16	3103.19	5751.61	3395.89	4328.55	12415.75	8778.97	4512.4	4543.8	11424.74	9876.98	6471.02	1963.57	1369.04	7695.57	1417.35	1769.57	4607.24	718.08	4639.29	780.44	4575.41	3564.78	3901.01	2133.97	3190.46	2451.44	6607.01	9151.82	5292.48	5954.47	1295.13	5872.48	974.5	23.42	152.28	255.0	150.17	314.17	201.25	31.22	1143.1	223.41	73.54	164.42	195.72	183.82	87.65	87.65	16.63	72.01	41.52	76.17	46.84	212.78	59.13	162.14	91.41
ATP6V0A4	0.0	0.0	33.54	19.97	100.83	62.56	4.9	15.11	24.46	16.51	32.36	35.5	40.64	43.32	100.83	56.68	11.64	159.9	8.32	99.43	11.73	27.64	43.02	43.02	12.18	61.25	112.77	50.63	36.01	86.43	15.11	20.26	78.34	68.55	20.26	15.45	441.64	318.57	39.5	0.05	0.07	0.6	0.0	0.59	0.08	0.35	0.38	2.2	0.0	0.74	0.09	1.77	0.0	1.93	0.06	0.61	0.07	0.0	1.2	0.62	0.08	4.28	0.3	0.55
ATP6V0D2	38.4	139.07	25.54	120.94	34.26	24.63	5.11	54.33	10.71	162.14	71.0	208.38	35.0	55.49	17.13	22.59	25.72	166.73	33.3	11.64	14.45	161.02	7.0	15.91	10.08	9.27	271.48	35.76	127.89	72.52	14.67	49.56	9.27	61.68	37.85	6.46	226.54	120.94	249.73	0.8	1.16	1.45	0.0	1.19	0.0	1.2	0.51	2.23	1.27	0.0	3.86	4.98	2.78	0.72	1.58	1.95	3.11	1.13	0.0	0.0	2.18	3.17	0.4	1.77
AVPI1	0.0	0.39	830.75	1551.09	860.08	3103.19	718.08	3540.14	1015.93	1225.22	1066.48	2240.11	1066.48	1167.14	525.39	2739.08	860.08	1030.12	1639.59	665.29	1044.52	1313.23	703.28	928.3	1295.13	1044.52	2627.46	1295.13	2502.97	860.08	1159.07	866.07	536.45	2485.67	759.08	1081.39	1081.39	2935.74	688.78	47.84	122.64	115.16	128.79	100.13	122.64	167.9	92.7	73.03	105.15	128.79	115.97	293.07	138.1	109.66	82.87	78.89	72.52	57.08	133.36	101.54	143.01	157.68	94.01	127.89
B3GNT8	0.0	0.12	1059.11	1605.83	1540.37	5041.77	674.59	1498.22	3325.99	2119.22	1167.14	878.17	1277.29	1583.71	967.76	1407.55	1127.35	616.37	1950.0	1199.98	1519.15	1769.57	791.35	791.35	642.59	1733.13	1594.73	1286.18	1111.82	836.53	1639.59	1561.89	703.28	2485.67	1487.87	723.08	1605.83	1769.57	1304.15	1.93	1.46	5.06	13.83	17.64	9.13	10.39	12.74	17.38	16.75	7.0	7.88	34.51	10.88	13.72	1.75	10.71	8.58	3.56	13.03	3.86	12.74	12.36	13.93	6.73
BCMO1	0.0	0.0	4.98	14.56	167.9	36.53	31.9	14.03	7.69	14.03	6.31	14.67	10.71	18.7	3.66	18.03	7.88	9.56	61.25	11.73	1.83	11.55	1.07	4.46	10.96	1.16	14.14	0.43	1.75	6.78	8.32	7.88	9.85	7.94	3.82	42.41	18.56	26.67	11.21	8.99	1.08	4.03	6.06	7.34	4.66	4.03	0.0	6.62	8.45	4.31	2.18	6.26	8.0	2.43	0.0	0.79	3.32	0.0	2.2	8.85	5.59	3.38	2.81	2.84
BSND	0.0	0.06	1.55	0.15	0.0	1.55	0.0	1.48	0.0	0.0	1.1	0.96	2.41	1.0	0.16	3.38	1.41	4.62	1.01	1.87	0.97	0.6	0.0	0.96	0.16	0.17	0.16	2.39	0.53	0.0	4.1	0.97	0.0	0.56	1.53	0.66	0.57	1.99	1.79	0.0	0.0	0.25	0.0	0.0	0.25	0.0	0.0	0.64	0.0	0.67	0.0	0.27	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.56	0.0	0.0
C1orf106	0.0	0.28	450.94	111.99	91.41	189.02	217.27	379.04	303.44	348.71	229.72	231.32	371.22	224.97	262.2	129.69	170.25	185.11	185.11	221.86	141.02	819.3	291.04	866.07	435.55	262.2	287.01	153.34	61.68	281.09	237.86	246.28	267.73	423.61	223.41	242.88	316.37	223.41	209.84	9.27	0.38	19.97	43.32	48.87	13.83	26.86	63.45	59.97	3.76	3.11	18.84	84.04	8.32	24.46	4.35	7.82	40.64	22.75	37.32	10.16	14.89	55.89	24.28	10.63
CA12	226.54	53.95	67.12	269.6	295.11	642.59	521.76	703.28	334.46	170.25	547.75	58.71	262.2	258.57	144.01	137.14	1001.93	123.5	339.14	148.09	497.0	397.93	61.25	204.07	579.04	825.0	341.51	470.14	123.5	158.79	158.79	332.14	231.32	403.5	156.59	124.37	507.46	316.37	51.35	5.96	23.76	82.87	35.76	31.67	37.05	129.69	3.11	15.11	6.21	17.13	12.36	28.04	28.65	20.11	47.84	17.13	6.11	15.34	123.5	29.27	28.45	33.54	48.87	98.04
CALHM3	0.0	0.0	4.9	0.13	0.0	0.0	0.62	1.79	0.58	0.0	6.84	0.0	0.61	0.62	0.62	0.6	0.6	0.0	0.15	2.97	0.0	0.67	0.0	1.11	0.64	11.47	0.65	1.14	0.0	0.61	3.89	21.94	2.48	0.61	1.85	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMP	0.0	0.0	226.54	142.01	67.12	139.07	90.14	125.24	228.13	112.77	183.82	507.46	164.42	665.29	104.42	182.55	1651.0	70.01	206.94	155.5	167.9	103.69	29.27	96.01	309.83	255.0	161.02	239.52	547.75	72.01	674.59	117.6	117.6	175.07	158.79	429.54	158.79	525.39	36.27	17.77	0.0	4.5	0.0	0.69	0.0	1.28	1.06	12.64	8.19	8.51	10.0	3.23	5.45	1.28	6.52	1.0	3.53	5.19	0.0	3.41	0.0	1.57	0.0	3.06
CASKIN2	0.0	0.24	1457.23	525.39	679.29	2224.63	928.3	1015.93	842.36	1250.98	497.0	995.0	1519.15	620.67	1119.56	1477.58	1119.56	703.28	693.58	785.88	723.08	366.09	1268.46	934.76	540.19	1745.2	1639.59	1119.56	638.15	583.07	988.12	802.41	525.39	1119.56	1427.22	1208.34	490.14	1427.22	2075.59	158.79	173.85	185.11	249.73	248.0	165.57	161.02	182.55	212.78	189.02	267.73	215.77	343.89	215.77	236.21	166.73	193.01	224.97	195.72	187.71	198.47	177.53	229.72	291.04	251.48
CCNI2	0.0	0.36	102.97	127.89	42.41	146.03	69.03	41.81	285.03	96.01	148.09	166.73	122.64	126.12	105.15	131.51	66.18	267.73	187.71	114.36	212.78	122.64	58.3	170.25	120.1	258.57	143.01	94.01	53.19	91.41	62.12	133.36	248.0	132.44	185.11	87.65	94.01	135.24	85.82	0.58	16.39	30.56	43.63	29.7	29.7	7.63	8.38	31.67	18.03	15.56	30.34	18.97	12.93	48.18	18.43	1.39	14.45	16.39	12.55	10.39	10.47	33.54	14.89	5.06
CDKL5	0.0	0.04	159.9	23.93	90.14	228.13	68.55	100.13	25.91	130.6	101.54	18.03	147.06	114.36	67.12	169.07	161.02	78.89	99.43	114.36	133.36	166.73	118.43	47.5	49.21	66.18	96.01	166.73	95.34	73.03	74.06	109.66	20.86	58.3	189.02	101.54	65.26	83.45	127.89	11.04	16.75	32.36	4.06	12.93	0.92	13.42	2.48	10.79	43.63	15.91	47.84	27.44	32.59	47.5	1.71	22.92	20.56	12.74	29.91	7.28	1.2	12.45	4.5	41.81
CHD9	0.0	0.42	291.04	429.54	642.59	376.41	392.44	444.72	212.78	277.2	363.56	256.78	351.14	392.44	412.0	314.17	444.72	447.82	595.34	476.71	454.09	260.38	389.72	466.88	283.05	514.56	237.86	389.72	414.87	480.04	273.37	435.55	332.14	307.69	441.64	299.25	334.46	264.03	521.76	134.3	132.44	120.94	56.28	132.44	124.37	114.36	78.89	162.14	209.84	102.25	137.14	167.9	232.94	131.51	94.67	178.77	129.69	96.01	120.94	150.17	123.5	166.73	124.37	177.53
CLCNKB	0.0	0.0	37.85	35.0	8.58	39.22	5.19	47.5	16.27	12.74	32.59	17.51	5.15	9.93	32.13	11.3	12.93	68.55	23.59	35.25	15.91	22.43	3.03	72.01	8.32	33.54	29.48	35.0	6.94	33.78	21.63	25.72	59.13	39.5	26.47	17.38	50.27	52.08	30.78	0.25	0.58	3.66	3.96	5.68	5.19	7.57	8.92	4.13	0.62	1.07	3.47	2.89	8.51	3.06	0.0	4.58	1.79	3.47	5.11	3.72	3.03	3.32	10.79	1.39
CLDN14	0.0	0.06	4.1	20.41	3.0	4.1	2.39	7.11	1.22	3.56	1.77	9.93	0.92	2.39	3.14	1.97	1.95	0.22	5.87	0.89	2.71	8.65	1.23	8.32	26.1	5.63	21.16	4.62	6.62	14.67	3.56	4.54	1.31	0.0	20.26	9.63	2.76	7.57	3.66	0.35	0.0	0.42	0.0	0.13	0.42	0.14	1.95	1.14	0.0	0.52	0.44	0.75	0.17	0.42	0.0	0.0	1.81	0.0	1.35	0.15	0.99	0.0	0.89	0.0
CNTNAP3	0.0	0.36	277.2	10.47	35.5	40.64	35.0	265.87	30.78	22.92	60.39	46.84	11.13	8.99	41.22	336.79	175.07	9.06	116.78	23.25	43.02	23.25	253.23	144.01	6.26	63.45	15.11	223.41	31.22	69.52	42.41	79.45	54.72	98.73	48.87	98.04	40.36	80.57	23.42	12.45	19.97	4.1	3.23	14.89	30.78	16.75	15.56	17.38	16.03	19.39	12.18	63.89	20.71	15.22	6.94	7.34	7.17	15.8	11.3	44.25	28.04	11.38	24.99	35.0
CNTNAP3B	0.0	0.36	147.06	19.82	47.17	26.1	66.65	53.57	47.84	54.72	49.21	89.51	12.0	24.28	67.12	35.25	26.86	33.3	314.17	44.57	133.36	34.75	87.03	52.82	56.28	96.68	71.0	88.88	63.0	24.81	51.35	40.07	76.17	5.41	66.65	291.04	125.24	34.26	114.36	4.39	0.97	0.0	22.59	8.99	16.03	25.91	2.94	12.18	5.92	2.84	11.3	64.34	5.92	7.11	18.97	0.64	5.19	1.95	16.63	22.43	11.13	8.38	13.72	26.47
COLCA2	0.0	0.53	20.26	49.21	40.07	76.17	31.9	154.42	157.68	142.01	78.89	136.19	129.69	162.14	229.72	84.04	43.02	92.05	55.1	92.05	170.25	397.93	237.86	1250.98	87.65	214.27	100.83	77.25	52.45	111.99	231.32	48.87	173.85	111.99	149.12	85.22	156.59	37.05	281.09	24.28	35.76	53.19	34.26	54.33	31.22	30.34	38.12	69.03	33.78	61.68	50.98	28.45	35.76	42.71	97.36	28.45	21.16	74.06	39.79	32.36	63.0	52.45	30.12	31.9
CRHBP	0.0	0.09	22.26	21.47	13.62	21.78	11.73	19.53	24.46	40.07	79.45	4.94	9.63	5.87	19.97	21.78	9.78	17.9	27.44	4.94	7.22	7.0	20.56	31.67	36.27	18.03	6.78	11.21	12.55	36.01	14.56	31.45	19.82	0.0	15.8	14.24	10.55	10.39	18.7	4.24	3.23	3.32	23.08	9.93	3.66	22.92	4.13	8.25	9.85	20.41	10.47	10.63	10.55	3.35	3.72	1.2	13.03	3.47	8.92	0.91	4.54	14.24	4.17	5.92
CRISPLD2	447.82	1991.0	2224.63	1159.07	1151.06	769.69	2351.53	1119.56	1023.0	120.94	785.88	339.14	995.0	532.74	1313.23	591.22	629.35	921.88	2004.85	743.43	723.08	473.41	921.88	1250.98	2271.4	1143.1	267.73	693.58	1844.76	759.08	830.75	813.63	791.35	872.1	1844.76	1208.34	743.43	267.73	708.18	157.68	217.27	476.71	463.65	854.13	395.18	305.55	190.34	497.0	229.72	536.45	351.14	1127.35	1208.34	909.17	128.79	297.17	1208.34	242.88	346.29	435.55	688.78	679.29	256.78	486.75
CRTAC1	0.0	0.0	9540.5	7280.4	5219.6	8718.32	7589.61	4575.41	5329.3	7331.05	4298.64	6887.62	9025.81	10440.2	9151.82	9740.98	7537.18	12076.21	6607.01	3614.55	12943.04	13586.57	10959.3	3589.58	5441.3	10154.69	5872.48	4388.98	5913.33	6079.61	6294.04	11827.67	6607.01	7803.01	9344.14	6607.01	5995.9	6121.9	8778.97	2.16	12.0	2.46	5.28	4.54	4.39	14.03	2.01	17.13	8.38	14.24	11.91	12.09	6.94	11.47	2.86	13.03	6.06	17.0	5.68	3.35	10.88	8.51	6.16	1.51
CXorf57	0.0	0.25	325.29	118.43	106.63	348.71	94.01	392.44	107.38	197.09	142.01	72.01	62.56	150.17	148.09	60.82	51.35	59.13	88.26	718.08	167.9	176.29	273.37	612.11	79.45	134.3	157.68	133.36	105.15	185.11	483.38	62.12	84.04	260.38	111.99	260.38	102.25	58.3	114.36	7.0	0.49	1.2	2.41	2.2	6.01	1.57	4.86	9.34	4.46	0.57	3.76	8.38	7.4	5.32	0.48	4.66	2.53	0.0	1.99	3.35	1.2	3.26	2.71	2.1
CYP1A2	0.0	0.0	7.4	7.06	4.66	8.0	4.74	5.41	5.28	12.93	4.86	7.11	9.34	9.41	8.32	6.57	3.99	9.93	4.74	3.99	6.57	9.13	3.99	5.32	0.0	3.32	7.88	5.96	3.96	9.34	6.06	9.27	6.73	8.25	4.78	4.17	6.62	4.78	19.82	0.0	0.0	0.26	0.0	0.25	0.56	0.0	0.27	0.64	0.27	0.66	0.0	0.0	0.0	0.0	0.0	0.26	3.79	2.36	4.43	1.19	0.0	2.05	0.23	0.23
CYP3A5	42.71	178.77	39.79	153.34	241.19	848.22	181.28	353.59	70.51	137.14	87.03	83.45	381.68	277.2	183.82	1697.45	336.79	629.35	463.65	246.28	476.71	287.01	351.14	583.07	775.05	244.57	29.06	193.01	348.71	397.93	229.72	148.09	115.16	441.64	476.71	70.01	169.07	301.33	115.97	7.51	8.19	20.56	13.52	18.7	25.35	13.42	14.03	24.81	16.88	16.88	17.64	63.89	21.63	10.16	4.54	12.18	5.06	10.08	10.63	17.77	14.14	47.17	18.16	11.64
CYP4F3	0.0	0.92	151.22	0.59	0.0	0.69	194.36	21.94	3.38	7.57	0.0	12.09	133.36	1.28	6.26	81.71	123.5	4.9	0.0	17.51	0.67	0.59	48.18	29.48	12.45	2.25	15.68	142.01	55.49	12.64	205.5	50.27	0.69	15.8	0.0	2.86	0.0	71.0	3.47	0.0	0.0	0.0	2.66	6.16	0.0	0.92	0.62	0.67	1.64	5.82	0.95	6.31	1.03	0.92	0.25	3.56	0.57	14.78	1.3	0.6	0.59	0.91	2.03	0.54
DAB2IP	0.0	0.67	1605.83	466.88	1008.9	1651.0	2104.58	848.22	638.15	974.5	612.11	769.69	1313.23	759.08	547.75	896.64	909.17	748.61	674.59	507.46	967.76	921.88	759.08	915.51	2417.67	1119.56	441.64	1023.0	432.53	612.11	860.08	728.11	361.04	1037.29	1417.35	995.0	579.04	540.19	921.88	98.04	108.9	211.31	281.09	244.57	152.28	320.8	176.29	379.04	127.89	118.43	127.89	285.03	177.53	244.57	108.14	85.82	197.09	150.17	336.79	202.66	140.04	444.72	336.79	220.32
