	GTEX.Y111.1726.SM.4SOIQ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.132NY.1226.SM.5PNVF	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.X5EB.0426.SM.46MVY	GTEX.13N11.0326.SM.5LUA3	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11WQK.2926.SM.5EQKT
MRI1	728.11	0.0	0.68	143.01	152.28	269.6	164.42	669.92	480.04	155.5	70.01	114.36	339.14	403.5	559.28	674.59	444.72	299.25	303.44	111.99	271.48	409.15	246.28	224.97	420.68	334.46	329.84	320.8	163.28	197.09	567.1	591.22	454.09	144.01	389.72	63.89	112.77	426.57	356.05	186.4	432.53	620.67	208.38	397.93	343.89	183.82	208.38	511.0	154.42	307.69	299.25	111.99	236.21	204.07	205.5	138.1
MTFR1L	2573.36	0.0	0.69	559.28	902.89	718.08	759.08	1781.89	1183.45	836.53	483.38	947.83	1322.37	941.27	1044.52	1977.24	1950.0	890.44	1088.92	392.44	1096.5	1359.57	1151.06	808.0	1594.73	1407.55	961.07	703.28	802.41	1081.39	1277.29	1286.18	1233.75	603.67	1388.16	629.35	753.83	1030.12	928.3	529.06	1037.29	1259.69	890.44	1397.83	1159.07	688.78	796.86	1151.06	1199.98	1183.45	1467.37	503.95	890.44	629.35	660.68	426.57
NDUFV1	8658.09	0.0	1.08	1883.54	2163.77	2032.85	2502.97	3443.31	2796.65	1844.76	2367.9	2468.49	3257.52	2075.59	3124.78	4972.34	4836.35	4358.66	2609.3	1781.89	2075.59	3540.14	3540.14	1417.35	4481.23	3874.05	2271.4	961.07	1896.65	2133.97	4639.29	3614.55	2468.49	2664.15	1651.0	1437.15	1674.06	2133.97	3060.45	1457.23	2609.3	3820.7	2796.65	3443.31	3018.3	2451.44	3325.99	4123.49	3794.3	2627.46	3443.31	457.25	1733.13	1119.56	2591.27	1561.89
NEIL1	1950.0	0.0	1.1	52.45	198.47	265.87	197.09	802.41	575.03	336.79	323.03	1015.93	532.74	587.13	759.08	1745.2	2287.2	1015.93	836.53	89.51	532.74	802.41	1096.5	325.29	1001.93	540.19	688.78	202.66	180.02	320.8	1322.37	825.0	698.41	177.53	371.22	133.36	47.84	450.94	941.27	109.66	457.25	1639.59	172.65	1286.18	878.17	316.37	429.54	1199.98	909.17	679.29	1199.98	54.33	171.45	94.01	6.52	27.44
NPEPL1	3303.0	0.0	0.84	312.0	595.34	624.99	486.75	1487.87	693.58	567.1	941.27	947.83	599.49	713.11	785.88	1963.57	1551.09	836.53	813.63	248.0	540.19	1427.22	954.43	559.28	1242.34	1023.0	775.05	264.03	796.86	384.34	1135.2	854.13	836.53	842.36	780.44	258.57	269.6	688.78	1437.15	575.03	669.92	1583.71	363.56	1540.37	703.28	688.78	860.08	1519.15	1059.11	656.11	921.88	189.02	660.68	249.73	199.85	246.28
NRBP2	3901.01	0.0	1.11	115.16	563.18	532.74	204.07	748.61	587.13	563.18	334.46	703.28	486.75	454.09	785.88	1529.73	1044.52	703.28	503.95	94.01	503.95	708.18	1111.82	438.59	603.67	1487.87	633.73	103.69	441.64	395.18	1508.65	902.89	486.75	297.17	423.61	105.89	108.9	836.53	1437.15	275.28	603.67	1477.58	356.05	1119.56	571.05	575.03	616.37	1457.23	796.86	497.0	1819.35	187.71	454.09	143.01	20.26	69.03
OGFOD2	450.94	0.0	0.24	162.14	172.65	327.56	353.59	500.46	356.05	236.21	135.24	258.57	334.46	363.56	412.0	753.83	441.64	497.0	409.15	241.19	301.33	540.19	389.72	217.27	503.95	366.09	368.65	220.32	176.29	253.23	587.13	438.59	429.54	260.38	361.04	181.28	183.82	329.84	423.61	177.53	309.83	490.14	241.19	595.34	435.55	303.44	379.04	463.65	587.13	412.0	466.88	81.14	201.25	142.01	169.07	178.77
ORAOV1	1369.04	0.0	0.82	36.01	212.78	312.0	277.2	493.56	406.31	159.9	171.45	208.38	438.59	438.59	305.55	819.3	1119.56	551.56	301.33	114.36	435.55	414.87	356.05	279.14	738.29	395.18	400.71	295.11	444.72	392.44	785.88	521.76	293.07	256.78	236.21	295.11	172.65	348.71	269.6	186.4	371.22	688.78	361.04	785.88	651.58	260.38	358.54	656.11	392.44	368.65	379.04	52.82	191.67	186.4	33.06	242.88
OSGEP	1709.26	0.0	0.65	420.68	392.44	791.35	688.78	1216.75	860.08	629.35	490.14	480.04	738.29	679.29	764.36	1378.57	2895.31	1081.39	651.58	417.77	624.99	860.08	808.0	406.31	1268.46	825.0	651.58	490.14	583.07	642.59	988.12	921.88	651.58	400.71	387.02	497.0	470.14	612.11	723.08	438.59	551.56	1175.27	802.41	1059.11	830.75	633.73	733.19	988.12	753.83	1008.9	775.05	132.44	392.44	339.14	209.84	104.42
PACS2	3081.75	0.0	0.89	633.73	521.76	718.08	825.0	1427.22	961.07	791.35	358.54	830.75	1199.98	1208.34	947.83	1745.2	1617.0	1037.29	988.12	341.51	660.68	1030.12	854.13	536.45	1216.75	974.5	1023.0	769.69	571.05	669.92	1427.22	1417.35	1268.46	432.53	813.63	314.17	463.65	974.5	995.0	361.04	796.86	1909.85	1044.52	1073.91	1143.1	866.07	1216.75	1015.93	1369.04	1286.18	1111.82	343.89	595.34	358.54	209.84	251.48
PCED1A	1322.37	0.0	1.0	638.15	301.33	397.93	423.61	1059.11	363.56	329.84	149.12	571.05	674.59	563.18	616.37	1191.69	1745.2	866.07	493.56	353.59	444.72	738.29	743.43	262.2	723.08	563.18	500.46	409.15	307.69	260.38	1044.52	974.5	638.15	395.18	246.28	301.33	285.03	466.88	518.15	373.81	457.25	1340.84	361.04	884.29	679.29	414.87	764.36	928.3	1081.39	738.29	412.0	348.71	432.53	334.46	172.65	47.84
PHYKPL	1617.0	0.0	1.03	429.54	500.46	403.5	819.3	2104.58	890.44	909.17	208.38	1044.52	647.07	1059.11	1208.34	2335.28	6207.38	1295.13	1127.35	483.38	718.08	780.44	1369.04	587.13	1111.82	1508.65	921.88	909.17	915.51	713.11	1709.26	961.07	785.88	287.01	463.65	420.68	947.83	988.12	780.44	423.61	974.5	1950.0	603.67	1313.23	1331.57	684.02	647.07	1233.75	1896.65	1781.89	967.76	246.28	543.96	483.38	135.24	177.53
PIDD	947.83	0.0	1.01	63.89	44.25	67.12	143.01	351.14	181.28	116.78	178.77	156.59	150.17	120.1	198.47	476.71	309.83	223.41	152.28	70.01	104.42	248.0	202.66	85.22	244.57	208.38	170.25	82.87	86.43	147.06	262.2	285.03	271.48	193.01	246.28	54.33	52.45	172.65	314.17	95.34	169.07	295.11	77.79	376.41	237.86	90.77	242.88	376.41	392.44	279.14	166.73	39.22	94.67	24.99	35.76	36.79
PIGZ	438.59	0.0	0.43	57.89	42.71	145.02	78.89	246.28	89.51	178.77	29.27	115.16	163.28	74.58	90.77	275.28	209.84	177.53	96.68	18.84	41.52	271.48	154.42	84.04	220.32	166.73	132.44	16.51	89.51	74.58	281.09	119.26	98.73	56.28	157.68	38.4	19.11	157.68	195.72	52.82	50.63	336.79	106.63	141.02	123.5	72.01	134.3	158.79	153.34	137.14	175.07	50.63	127.0	35.25	22.1	31.67
PLA2G6	1857.6	0.0	0.91	74.06	262.2	289.02	211.31	1359.57	500.46	473.41	79.45	511.0	529.06	780.44	890.44	1225.22	878.17	323.03	400.71	77.25	483.38	493.56	708.18	368.65	454.09	896.64	503.95	135.24	224.97	343.89	1111.82	713.11	514.56	68.55	228.13	65.26	117.6	567.1	514.56	45.53	511.0	830.75	228.13	1044.52	688.78	397.93	555.41	733.19	753.83	967.76	633.73	45.53	118.43	143.01	37.32	36.53
PMS1	339.14	0.0	0.21	71.0	114.36	145.02	182.55	129.69	158.79	90.77	101.54	180.02	157.68	158.79	147.06	199.85	226.54	177.53	111.99	101.54	220.32	136.19	181.28	117.6	154.42	217.27	170.25	170.25	105.89	176.29	204.07	193.01	127.89	91.41	110.43	119.26	133.36	132.44	178.77	70.51	121.79	212.78	173.85	220.32	153.34	126.12	105.15	197.09	208.38	155.5	256.78	67.59	66.18	72.52	85.82	37.05
PNPLA7	1417.35	0.0	0.42	22.1	212.78	165.57	35.5	466.88	138.1	358.54	62.56	444.72	293.07	198.47	346.29	559.28	1044.52	236.21	138.1	10.88	194.36	406.31	303.44	171.45	271.48	563.18	273.37	15.56	94.67	136.19	426.57	307.69	237.86	40.07	101.54	23.93	10.0	155.5	271.48	45.21	165.57	1030.12	68.55	514.56	214.27	155.5	384.34	521.76	497.0	244.57	348.71	37.32	74.58	34.26	5.41	14.56
POLM	780.44	0.0	0.93	120.94	140.04	177.53	166.73	536.45	258.57	157.68	92.7	171.45	189.02	251.48	381.68	638.15	728.11	275.28	450.94	127.89	165.57	299.25	249.73	164.42	587.13	379.04	267.73	103.69	206.94	217.27	373.81	438.59	258.57	144.01	224.97	133.36	99.43	246.28	190.34	186.4	221.86	532.74	220.32	332.14	231.32	180.02	228.13	348.71	466.88	334.46	368.65	86.43	228.13	152.28	53.95	117.6
PPOX	1477.58	0.0	0.39	141.02	163.28	249.73	361.04	651.58	283.05	255.0	85.22	463.65	397.93	417.77	514.56	1605.83	813.63	444.72	384.34	187.71	320.8	480.04	483.38	236.21	486.75	441.64	334.46	189.02	198.47	293.07	884.29	414.87	432.53	195.72	441.64	161.02	186.4	323.03	490.14	95.34	327.56	547.75	236.21	587.13	769.69	249.73	363.56	688.78	521.76	339.14	529.06	131.51	255.0	108.9	84.63	57.08
PPP1R3E	753.83	0.0	0.58	68.55	64.34	211.31	90.14	265.87	170.25	106.63	30.56	145.02	187.71	176.29	258.57	490.14	417.77	221.86	125.24	65.72	368.65	389.72	283.05	105.89	215.77	420.68	264.03	98.04	83.45	262.2	540.19	571.05	224.97	100.83	106.63	32.36	65.72	148.09	248.0	24.63	215.77	454.09	180.02	397.93	155.5	123.5	343.89	289.02	229.72	202.66	264.03	40.07	70.51	92.7	23.59	11.73
PRCD	172.65	0.0	0.39	35.5	46.84	96.01	28.24	187.71	54.72	35.0	29.06	91.41	106.63	120.1	125.24	110.43	234.57	220.32	72.01	11.47	111.21	199.85	127.89	21.01	127.89	120.1	81.71	8.38	48.52	77.25	264.03	231.32	71.0	57.89	69.03	12.09	50.27	87.65	153.34	39.22	106.63	325.29	92.7	214.27	101.54	75.11	189.02	223.41	178.77	82.87	120.1	42.71	72.52	39.5	2.29	0.0
PROCA1	137.14	0.0	0.42	25.35	24.46	43.02	20.71	165.57	32.13	27.25	14.56	89.51	67.12	116.78	62.56	162.14	138.1	104.42	32.82	9.41	65.26	124.37	81.14	23.08	74.06	117.6	50.63	53.95	33.3	33.06	217.27	76.17	79.45	10.55	39.5	14.78	17.38	74.06	70.51	7.11	50.98	141.02	44.25	126.12	87.03	41.22	69.52	163.28	148.09	126.12	60.39	15.91	29.7	11.47	5.82	4.7
RECQL5	780.44	0.0	0.59	173.85	361.04	273.37	343.89	669.92	392.44	303.44	191.67	363.56	483.38	417.77	540.19	1008.9	775.05	483.38	441.64	237.86	450.94	728.11	656.11	241.19	830.75	718.08	392.44	269.6	258.57	463.65	688.78	521.76	373.81	244.57	248.0	204.07	305.55	420.68	480.04	120.94	351.14	733.19	297.17	575.03	571.05	381.68	466.88	791.35	775.05	830.75	567.1	54.72	177.53	140.04	587.13	157.68
RFNG	2193.99	0.0	0.83	480.04	426.57	563.18	633.73	1111.82	703.28	500.46	325.29	872.1	1073.91	647.07	718.08	1143.1	995.0	738.29	559.28	251.48	514.56	928.3	708.18	409.15	967.76	1073.91	575.03	629.35	444.72	559.28	825.0	915.51	848.22	368.65	470.14	309.83	486.75	555.41	819.3	389.72	703.28	1233.75	669.92	860.08	780.44	460.44	961.07	780.44	1143.1	836.53	915.51	341.51	351.14	341.51	409.15	381.68
RFXAP	178.77	0.0	0.32	36.53	44.89	126.12	65.26	107.38	102.97	63.89	57.08	114.36	97.36	90.14	122.64	84.04	158.79	113.56	70.51	79.45	111.99	146.03	102.97	83.45	111.21	136.19	117.6	57.49	65.26	193.01	151.22	120.1	88.88	70.51	94.01	45.53	105.89	99.43	96.01	71.5	121.79	175.07	94.67	131.51	117.6	80.57	57.89	106.63	108.9	63.0	149.12	16.88	88.88	43.63	30.56	17.51
RP11-89K11.1	285.03	0.0	0.61	18.03	7.17	45.21	12.64	155.5	9.7	41.81	3.59	41.81	75.64	31.67	90.77	95.34	251.48	35.76	31.0	9.85	36.27	100.13	29.91	22.26	31.9	90.77	39.22	11.38	35.5	43.32	49.56	52.45	58.3	14.14	37.59	1.39	10.55	47.84	42.41	9.34	29.27	161.02	20.56	105.89	57.89	18.84	55.49	46.84	48.52	55.1	35.25	19.25	21.32	8.0	3.72	0.0
SFTPC	3.26	64186.29	44145.15	3113270.58	2.880867455E7	5.882801313E7	1.748967224E7	1.381756339E7	2.18328924E7	7.92550749E7	3.402283342E7	4.811555286E7	3.174442598E7	3.003205688E7	2.706640506E7	2111737.85	2359417.65	4.188702152E7	3.130739107E7	2.4225111E7	2.880867455E7	1.587221249E7	2.542950323E7	2.138357795E7	1.18632822E7	2.339991475E7	5.761735011E7	1.712973997E7	1.927195942E7	3.801327429E7	1.470700253E7	2.260282772E7	4.878722096E7	3.72309724E7	2.405777593E7	1.194579786E7	1.106883362E7	2.123587078E7	2.276004283E7	1.450452687E7	1.874496665E7	1.501602794E7	1.913883827E7	2.706640506E7	2.525384881E7	5.228884881E7	1.0826562323E8	1.194579786E7	3.109113511E7	6.17527469E7	2.578448588E7	5954.47	2654482.97	1.835920079E7	5.77	13.12
SLC25A14	389.72	0.0	0.25	147.06	205.5	279.14	211.31	318.57	224.97	170.25	234.57	361.04	327.56	287.01	323.03	567.1	579.04	376.41	217.27	244.57	293.07	279.14	334.46	264.03	318.57	312.0	275.28	221.86	255.0	334.46	392.44	320.8	209.84	163.28	197.09	279.14	201.25	229.72	320.8	153.34	249.73	244.57	215.77	403.5	366.09	234.57	246.28	414.87	346.29	217.27	285.03	87.03	193.01	170.25	98.04	53.57
SLC35C2	1183.45	0.0	0.74	651.58	825.0	1268.46	1199.98	1651.0	1119.56	1030.12	1088.92	1407.55	1457.23	1208.34	1295.13	1617.0	1447.15	1167.14	1477.58	884.29	1066.48	1844.76	1378.57	1008.9	1369.04	1277.29	1183.45	559.28	974.5	1127.35	1437.15	1340.84	1037.29	1268.46	813.63	679.29	884.29	1175.27	1457.23	547.75	1508.65	2367.9	1127.35	1794.29	1350.18	1350.18	1295.13	1583.71	1674.06	1397.83	1313.23	173.85	624.99	624.99	620.67	514.56
SLC9A5	43.63	0.0	0.75	2.81	28.04	6.78	12.0	66.18	40.36	11.47	36.53	45.21	22.59	30.56	98.04	118.43	90.77	47.5	63.45	7.4	25.35	70.51	120.94	19.53	120.1	23.08	43.94	16.63	20.26	17.77	44.25	30.56	83.45	15.56	44.25	8.85	5.28	20.11	42.41	8.38	31.0	105.15	17.9	49.21	24.11	15.34	54.33	81.71	67.59	71.5	79.45	16.75	7.11	4.74	0.34	6.11
STK25	3820.7	0.0	0.96	1477.58	1216.75	1397.83	2018.8	3018.3	2224.63	1977.24	583.07	1794.29	2047.0	1883.54	2335.28	3257.52	3928.15	2520.38	2451.44	1119.56	1781.89	2351.53	2090.03	1477.58	2701.35	2163.77	2090.03	1498.22	981.29	1819.35	2701.35	2997.45	2468.49	915.51	2119.22	1037.29	1331.57	1870.53	2178.83	825.0	2224.63	3124.78	1639.59	2384.37	2303.12	1572.76	2319.15	2400.97	2287.2	2502.97	2976.74	1001.93	1359.57	1467.37	1769.57	1001.93
TMEM143	353.59	0.0	0.3	70.51	113.56	112.77	87.65	187.71	136.19	187.71	62.12	128.79	183.82	132.44	217.27	258.57	181.28	183.82	142.01	43.63	194.36	189.02	155.5	77.79	204.07	120.94	191.67	85.22	82.29	133.36	241.19	204.07	183.82	65.72	198.47	39.79	68.55	156.59	159.9	46.18	137.14	201.25	138.1	228.13	153.34	117.6	154.42	187.71	212.78	224.97	201.25	43.02	117.6	55.89	114.36	19.11
TMEM219	4543.8	4095.0	934.76	4671.57	4066.71	5633.22	3060.45	6164.49	4450.27	4575.41	1651.0	4802.93	6426.31	5555.65	5517.27	5441.3	5403.7	7382.04	5041.77	1427.22	5219.6	9215.48	6471.02	3280.18	5403.7	6426.31	4972.34	2895.31	2720.15	4607.24	6745.86	5995.9	5292.48	2720.15	4298.64	1127.35	2047.0	4358.66	7032.37	2537.92	4181.07	7642.41	4152.18	5954.47	4268.94	5441.3	6207.38	6516.03	7382.04	5366.37	6745.86	1594.73	3955.48	2400.97	2591.27	1697.45
TNFRSF14	6652.97	0.0	1.3	1037.29	674.59	1340.84	909.17	4639.29	1437.15	848.22	264.03	1477.58	2895.31	2148.82	2209.26	6037.61	6250.56	2485.67	1733.13	587.13	1519.15	4481.23	2224.63	878.17	3443.31	4769.75	1769.57	420.68	934.76	1225.22	3039.3	4481.23	2451.44	759.08	1151.06	384.34	392.44	2178.83	2816.11	579.04	1350.18	7180.15	1191.69	2915.45	1674.06	1350.18	2133.97	4639.29	5006.93	2537.92	4038.61	583.07	1313.23	305.55	126.12	117.6
TRMT2A	2148.82	0.0	0.87	239.52	555.41	511.0	988.12	1286.18	947.83	429.54	256.78	470.14	780.44	693.58	738.29	1216.75	1617.0	1359.57	728.11	457.25	607.87	1104.13	981.29	460.44	1191.69	1051.79	703.28	543.96	616.37	536.45	1340.84	1023.0	743.43	384.34	269.6	595.34	791.35	616.37	607.87	532.74	612.11	1529.73	718.08	1104.13	1008.9	642.59	486.75	1088.92	1268.46	830.75	825.0	214.27	277.2	684.02	303.44	447.82
TUBGCP6	1583.71	0.0	1.22	178.77	190.34	303.44	432.53	1331.57	460.44	318.57	264.03	473.41	423.61	612.11	738.29	1397.83	1721.16	423.61	583.07	221.86	392.44	507.46	638.15	249.73	1199.98	536.45	607.87	275.28	248.0	320.8	848.22	775.05	679.29	217.27	493.56	202.66	275.28	503.95	819.3	221.86	529.06	1268.46	271.48	941.27	796.86	358.54	669.92	967.76	1191.69	748.61	890.44	162.14	277.2	142.01	65.26	224.97
USP20	1331.57	0.0	0.65	281.09	327.56	215.77	291.04	733.19	366.09	395.18	305.55	312.0	426.57	297.17	500.46	764.36	878.17	438.59	400.71	271.48	277.2	514.56	511.0	275.28	500.46	551.56	318.57	309.83	211.31	264.03	514.56	438.59	450.94	329.84	343.89	248.0	262.2	299.25	381.68	229.72	343.89	583.07	212.78	511.0	420.68	264.03	395.18	547.75	599.49	507.46	417.77	244.57	327.56	171.45	117.6	221.86
USP40	1388.16	0.0	0.67	224.97	647.07	555.41	414.87	848.22	454.09	612.11	476.71	813.63	532.74	791.35	733.19	1001.93	1427.22	896.64	438.59	186.4	559.28	836.53	595.34	493.56	785.88	902.89	612.11	368.65	389.72	507.46	775.05	842.36	575.03	417.77	323.03	215.77	341.51	532.74	1015.93	279.14	813.63	1051.79	397.93	1135.2	514.56	575.03	669.92	1051.79	1015.93	1233.75	842.36	36.53	165.57	236.21	90.77	67.12
WBP1	4639.29	0.0	0.42	1216.75	1628.26	2090.03	1199.98	3124.78	1417.35	1819.35	1286.18	1870.53	1883.54	1794.29	2193.99	3303.0	3690.52	2075.59	1709.26	669.92	1806.78	2609.3	2720.15	1051.79	1733.13	2240.11	1721.16	961.07	1331.57	1268.46	2739.08	2451.44	2758.13	1583.71	2090.03	713.11	1088.92	1662.49	2104.58	947.83	1594.73	2609.3	1250.98	2796.65	1977.24	1529.73	2573.36	2384.37	2520.38	2018.8	2004.85	759.08	1437.15	1159.07	457.25	555.41
ZNF517	470.14	0.0	0.31	60.39	89.51	102.25	125.24	241.19	167.9	175.07	63.45	164.42	204.07	155.5	173.85	348.71	289.02	212.78	228.13	53.95	147.06	212.78	249.73	109.66	178.77	237.86	150.17	85.82	87.65	138.1	229.72	249.73	138.1	80.01	106.63	84.04	73.54	159.9	258.57	50.27	194.36	332.14	129.69	299.25	185.11	122.64	187.71	223.41	241.19	209.84	224.97	24.11	67.59	77.25	31.9	19.97
ZNF546	104.42	0.0	0.17	8.32	16.51	17.25	22.75	63.45	34.26	40.93	6.41	21.78	21.47	50.27	38.4	58.3	75.11	36.01	38.67	9.34	46.18	43.63	57.89	19.53	32.59	49.21	40.07	23.76	16.63	39.22	78.34	72.52	40.07	13.03	25.35	19.11	8.58	39.22	23.93	3.56	20.11	52.08	30.12	42.11	29.91	13.93	29.27	47.5	63.0	73.54	48.18	3.41	13.42	15.0	8.32	4.82
