	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.TML8.0726.SM.4DXTT	TCGA.IQ.7631.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.43.6647.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31
ENOX2	79.45	103.69	140.04	201.25	198.47	145.02	178.77	169.07	214.27	173.85	91.41	164.42	183.82	84.04	133.36	134.3
FAM122A	91.41	69.03	161.02	379.04	190.34	171.45	303.44	323.03	444.72	307.69	121.79	144.01	158.79	94.67	117.6	307.69
FAM171B	55.49	3.72	124.37	299.25	98.73	80.57	119.26	120.1	346.29	269.6	38.67	72.01	100.13	14.78	76.71	113.56
FAM175B	158.79	148.09	201.25	275.28	301.33	262.2	392.44	323.03	387.02	241.19	133.36	156.59	249.73	117.6	155.5	255.0
FITM2	59.13	63.0	95.34	279.14	134.3	84.63	198.47	181.28	190.34	102.25	53.19	90.14	90.77	66.18	77.79	113.56
FRS2	115.97	43.94	208.38	669.92	406.31	271.48	384.34	373.81	2335.28	291.04	109.66	145.02	251.48	76.71	209.84	307.69
GNAQ	327.56	199.85	423.61	1066.48	529.06	575.03	703.28	599.49	1037.29	529.06	346.29	368.65	503.95	120.94	323.03	698.41
GPRASP1	71.5	2.03	127.89	256.78	49.56	53.19	68.07	116.78	248.0	392.44	30.78	21.78	24.81	3.38	37.05	120.94
GTF3C4	142.01	48.87	92.05	312.0	269.6	175.07	423.61	269.6	395.18	167.9	76.71	81.14	169.07	73.03	106.63	218.79
HDX	40.36	4.28	54.33	68.55	84.63	49.56	80.01	80.57	56.28	18.29	8.58	47.5	25.35	2.89	19.82	59.55
IPO11	400.71	111.99	205.5	476.71	457.25	412.0	532.74	540.19	406.31	432.53	186.4	183.82	318.57	198.47	229.72	423.61
KCTD6	221.86	62.12	102.25	159.9	241.19	143.01	343.89	171.45	595.34	223.41	115.97	78.34	82.87	56.68	55.49	211.31
KHDRBS1	1561.89	1437.15	1883.54	2720.15	2485.67	2104.58	2758.13	1923.14	2645.74	3235.01	1487.87	1819.35	1950.0	1685.71	1870.53	1991.0
KIAA0368	603.67	540.19	647.07	1508.65	928.3	679.29	1407.55	1127.35	1467.37	575.03	543.96	698.41	713.11	426.57	638.15	995.0
KIAA1009	49.91	41.22	94.01	146.03	123.5	135.24	148.09	102.25	271.48	116.78	63.89	81.71	85.82	43.94	70.51	132.44
KLHL28	54.72	24.28	79.45	229.72	148.09	138.1	190.34	157.68	236.21	89.51	45.21	62.56	150.17	51.71	88.88	143.01
KLHL9	162.14	92.05	289.02	624.99	507.46	379.04	733.19	579.04	1127.35	620.67	147.06	189.02	293.07	82.29	142.01	450.94
L3MBTL2	325.29	312.0	366.09	529.06	514.56	444.72	571.05	507.46	503.95	507.46	323.03	395.18	507.46	189.02	309.83	400.71
MIER1	205.5	155.5	277.2	599.49	486.75	299.25	624.99	480.04	529.06	287.01	189.02	256.78	339.14	141.02	256.78	521.76
MRPL44	511.0	312.0	358.54	529.06	529.06	521.76	660.68	559.28	624.99	483.38	397.93	346.29	417.77	256.78	301.33	429.54
MRPL50	237.86	159.9	133.36	287.01	279.14	285.03	327.56	269.6	438.59	260.38	199.85	157.68	255.0	134.3	154.42	260.38
NUDT4	1119.56	332.14	1378.57	1417.35	1709.26	1407.55	1467.37	1583.71	1519.15	1286.18	656.11	633.73	1111.82	414.87	1001.93	1417.35
PDCL	167.9	133.36	242.88	429.54	389.72	387.02	358.54	371.22	480.04	397.93	237.86	237.86	336.79	98.73	175.07	336.79
PLEKHA3	172.65	178.77	287.01	346.29	346.29	287.01	389.72	281.09	559.28	277.2	127.0	201.25	275.28	140.04	220.32	332.14
POLK	81.71	68.07	102.25	376.41	303.44	237.86	363.56	295.11	314.17	258.57	96.68	107.38	149.12	75.64	137.14	307.69
PPM1A	493.56	438.59	660.68	988.12	1135.2	842.36	1331.57	1159.07	1199.98	684.02	435.55	591.22	947.83	540.19	802.41	473.41
PPP6C	759.08	764.36	830.75	1427.22	1508.65	1175.27	1508.65	1268.46	1572.76	902.89	808.0	860.08	967.76	563.18	698.41	1001.93
PRKACA	1059.11	961.07	1561.89	1936.53	2018.8	1628.26	2018.8	2018.8	1769.57	2664.15	1794.29	1135.2	1519.15	660.68	1313.23	1697.45
RAB14	825.0	647.07	733.19	1561.89	1259.69	934.76	1572.76	1295.13	1662.49	1167.14	638.15	708.18	890.44	435.55	638.15	1119.56
RAD23B	1437.15	1242.34	1697.45	3303.0	3690.52	2915.45	3742.05	3124.78	3060.45	2104.58	1104.13	2047.0	2367.9	1745.2	1909.85	2701.35
RALGAPA1	157.68	70.01	187.71	583.07	376.41	329.84	620.67	493.56	743.43	429.54	253.23	84.04	194.36	129.69	176.29	470.14
RBBP4	934.76	884.29	1721.16	3665.02	5041.77	2417.67	5292.48	2777.33	5831.91	3982.99	1447.15	1551.09	2555.58	1359.57	1883.54	2287.2
RBM18	265.87	351.14	289.02	633.73	447.82	392.44	571.05	409.15	559.28	299.25	164.42	248.0	409.15	258.57	228.13	366.09
RGMB	204.07	89.51	368.65	429.54	363.56	224.97	417.77	361.04	559.28	353.59	127.0	248.0	236.21	85.22	187.71	414.87
RNF20	198.47	172.65	358.54	854.13	698.41	500.46	947.83	780.44	1286.18	503.95	368.65	389.72	529.06	169.07	373.81	480.04
RNF34	414.87	287.01	444.72	607.87	693.58	656.11	708.18	435.55	813.63	412.0	341.51	379.04	514.56	414.87	397.93	559.28
RRP15	215.77	159.9	180.02	275.28	327.56	305.55	429.54	366.09	327.56	130.6	93.35	169.07	181.28	195.72	161.02	141.02
SAMD13	8.25	9.41	9.93	45.85	19.82	16.03	54.72	134.3	320.8	84.04	59.97	11.38	15.56	10.16	6.41	101.54
SLC35A5	297.17	215.77	432.53	915.51	808.0	612.11	718.08	698.41	1191.69	454.09	325.29	368.65	500.46	156.59	368.65	540.19
SLC39A9	460.44	397.93	748.61	1104.13	1322.37	988.12	1651.0	1397.83	2367.9	1008.9	860.08	679.29	988.12	713.11	872.1	884.29
SMC5	159.9	79.45	226.54	450.94	269.6	231.32	368.65	351.14	409.15	176.29	201.25	211.31	271.48	129.69	177.53	363.56
SPRTN	76.17	76.17	77.79	218.79	208.38	202.66	214.27	162.14	265.87	111.21	101.54	80.57	132.44	84.04	119.26	125.24
STX17	140.04	55.1	117.6	409.15	287.01	205.5	297.17	329.84	463.65	194.36	94.01	68.07	158.79	95.34	164.42	231.32
TMED7	441.64	728.11	802.41	1350.18	1250.98	1119.56	1437.15	1407.55	941.27	1151.06	718.08	679.29	1295.13	718.08	813.63	1175.27
TSPYL1	647.07	283.05	579.04	1617.0	1151.06	825.0	1388.16	1277.29	2720.15	1417.35	536.45	368.65	934.76	339.14	503.95	921.88
TXNDC16	49.56	16.15	47.84	232.94	181.28	129.69	172.65	130.6	463.65	129.69	19.25	40.64	47.84	28.24	80.01	105.89
UBQLN1	836.53	679.29	808.0	1662.49	1605.83	1397.83	1662.49	1397.83	1066.48	1023.0	642.59	961.07	1250.98	947.83	1008.9	1175.27
WWTR1	890.44	180.02	1662.49	2061.24	1508.65	961.07	1225.22	1583.71	1369.04	974.5	381.68	483.38	1037.29	511.0	417.77	2104.58
ZBTB33	91.41	88.88	121.79	426.57	329.84	195.72	397.93	262.2	612.11	151.22	128.79	155.5	255.0	106.63	105.89	223.41
ZBTB6	40.64	22.59	74.06	214.27	158.79	131.51	236.21	177.53	231.32	104.42	68.07	60.39	118.43	33.54	59.55	161.02
ZBTB8A	51.71	41.22	94.67	147.06	166.73	113.56	170.25	144.01	114.36	113.56	56.28	69.52	116.78	39.22	42.11	256.78
ZMYM4	177.53	149.12	329.84	753.83	591.22	412.0	743.43	559.28	1001.93	486.75	244.57	248.0	420.68	173.85	397.93	521.76
ZNF184	38.12	42.41	98.04	193.01	178.77	153.34	218.79	146.03	217.27	158.79	70.51	64.34	146.03	59.55	72.52	148.09
ZNF197	117.6	58.3	205.5	297.17	275.28	171.45	363.56	267.73	420.68	269.6	120.1	136.19	167.9	88.88	141.02	236.21
ZNF253	19.97	29.48	84.63	234.57	180.02	163.28	295.11	165.57	289.02	239.52	73.03	27.25	75.64	5.77	40.36	169.07
ZNF285	19.82	10.79	24.46	35.5	63.89	27.25	56.28	56.28	162.14	8.32	24.99	18.84	33.3	1.31	35.0	38.12
ZNF430	33.06	21.47	69.52	204.07	167.9	110.43	176.29	157.68	237.86	144.01	60.82	56.28	109.66	43.02	66.65	137.14
ZNF436	208.38	65.72	293.07	674.59	603.67	339.14	738.29	543.96	1037.29	395.18	218.79	186.4	348.71	176.29	208.38	503.95
ZNF45	46.18	37.05	102.25	253.23	195.72	133.36	267.73	212.78	435.55	156.59	83.45	57.08	142.01	41.52	134.3	127.0
ZNF491	7.4	7.34	29.27	29.91	37.32	25.91	39.22	35.0	76.71	17.64	14.56	24.46	23.59	3.14	11.38	29.91
ZNF493	31.22	21.32	46.84	204.07	120.94	73.03	199.85	162.14	361.04	137.14	102.97	27.64	56.68	15.91	35.5	187.71
ZNF506	112.77	27.84	185.11	258.57	307.69	197.09	406.31	256.78	785.88	198.47	167.9	82.29	182.55	43.02	83.45	463.65
ZNF555	41.22	24.99	57.49	100.83	77.25	57.49	120.1	74.06	193.01	120.1	40.07	46.18	77.25	19.97	34.26	72.52
ZNF644	279.14	199.85	309.83	802.41	473.41	379.04	738.29	497.0	703.28	376.41	264.03	343.89	466.88	204.07	281.09	529.06
ZNF649	113.56	63.45	106.63	208.38	244.57	201.25	265.87	190.34	414.87	305.55	108.9	56.68	142.01	31.22	79.45	126.12
ZNF708	30.34	15.91	57.49	180.02	142.01	93.35	165.57	147.06	264.03	71.0	56.68	23.25	55.89	12.83	30.56	181.28
ZNF738	53.57	75.64	142.01	121.79	301.33	190.34	199.85	120.1	226.54	140.04	99.43	87.65	68.55	43.02	57.08	190.34
ZNF93	90.14	81.71	186.4	395.18	336.79	273.37	242.88	258.57	193.01	60.39	43.02	199.85	187.71	35.25	83.45	134.3
ZSWIM5	2.76	0.32	21.78	71.0	26.1	12.74	58.71	41.81	198.47	71.5	38.67	3.11	9.48	11.73	8.13	17.38
ZZZ3	148.09	185.11	275.28	748.61	457.25	287.01	718.08	490.14	1175.27	412.0	215.77	265.87	341.51	171.45	267.73	444.72
