	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A0BA.11A.22R.A19E.07	GTEX.ZF2S.2026.SM.5E461	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.P78B.1326.SM.3P611	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.44.3398.11B.01R.1758.07	GTEX.145MH.0626.SM.5NQAK
CKMT1B	106.63	106.63	127.89	208.38	136.19	208.38	256.78	173.85	1.38	3.23	95.34	9.48	2.1	2.27	0.25	13.22	2.14	6.84	12.93	23.76	8.19	76.71	95.34	0.78	4.31	0.0	0.23	121.79	616.37
CSGALNACT1	127.0	127.0	334.46	339.14	305.55	339.14	287.01	144.01	172.65	14.78	68.07	17.77	165.57	117.6	106.63	158.79	21.78	35.25	8.78	28.24	24.99	95.34	41.22	27.05	16.63	10.71	27.25	791.35	693.58
DCAF17	178.77	178.77	208.38	202.66	271.48	202.66	234.57	320.8	83.45	27.44	61.68	64.8	44.89	35.25	96.68	78.34	38.67	71.5	29.48	35.0	48.52	72.52	66.18	36.27	71.0	32.82	66.65	124.37	137.14
DKK3	2119.22	2119.22	1561.89	1991.0	2609.3	1991.0	2956.17	3060.45	638.15	78.89	583.07	74.58	808.0	563.18	318.57	426.57	56.68	89.51	130.6	368.65	34.75	638.15	209.84	102.97	72.01	141.02	44.25	5219.6	3018.3
DMRTC1B	34.75	34.75	27.84	19.53	37.32	19.53	36.27	122.64	8.06	3.2	11.55	0.0	5.5	3.2	0.0	2.03	0.0	3.2	0.0	0.0	1.68	5.11	0.0	0.0	0.0	0.0	1.79	27.05	44.57
DNALI1	703.28	703.28	743.43	547.75	860.08	547.75	473.41	3564.78	813.63	384.34	332.14	246.28	438.59	954.43	384.34	1119.56	105.89	476.71	819.3	1242.34	1498.22	1378.57	651.58	392.44	283.05	82.87	134.3	785.88	36106.23
DNMBP	108.9	108.9	379.04	281.09	351.14	281.09	262.2	1096.5	251.48	104.42	182.55	114.36	123.5	366.09	231.32	332.14	148.09	249.73	52.45	35.5	149.12	204.07	314.17	51.71	223.41	64.34	152.28	241.19	412.0
DOCK9	656.11	656.11	1519.15	1498.22	1745.2	1498.22	1794.29	1183.45	463.65	190.34	325.29	265.87	307.69	536.45	150.17	318.57	142.01	251.48	78.89	127.0	190.34	297.17	638.15	193.01	195.72	170.25	265.87	2193.99	1709.26
DYRK1A	547.75	547.75	934.76	638.15	988.12	638.15	775.05	1044.52	511.0	165.57	624.99	312.0	273.37	599.49	293.07	432.53	149.12	409.15	293.07	204.07	212.78	343.89	435.55	177.53	220.32	120.94	246.28	629.35	1111.82
EFCAB4A	3146.52	3146.52	3716.2	947.83	2835.7	947.83	1909.85	4450.27	332.14	42.71	244.57	81.14	684.02	46.18	81.14	248.0	105.89	224.97	10.08	150.17	62.56	633.73	287.01	35.0	9.48	20.71	103.69	638.15	6381.92
ELN	3235.01	3235.01	6840.04	2287.2	1001.93	2287.2	1487.87	967.76	1277.29	66.18	395.18	37.05	87.65	123.5	237.86	808.0	105.89	325.29	16.03	208.38	253.23	1745.2	412.0	198.47	187.71	92.05	96.68	1819.35	3716.2
ENAH	2573.36	2573.36	2417.67	1529.73	1427.22	1529.73	1467.37	1936.53	265.87	220.32	325.29	186.4	305.55	281.09	69.03	198.47	158.79	358.54	99.43	96.01	153.34	698.41	86.43	81.14	131.51	147.06	135.24	896.64	928.3
ENPP2	540.19	540.19	1340.84	2555.58	2335.28	2555.58	1769.57	1233.75	902.89	323.03	165.57	400.71	1819.35	303.44	486.75	890.44	53.57	878.17	106.63	476.71	162.14	819.3	591.22	102.25	97.36	24.99	226.54	1819.35	1628.26
FOLR1	59.13	59.13	165.57	341.51	759.08	341.51	1662.49	802.41	80.57	21.16	0.0	18.43	32.36	39.79	0.0	16.03	0.0	0.0	3.96	22.26	0.0	49.21	32.36	0.0	8.78	0.0	3.66	7695.57	6207.38
FZD1	412.0	412.0	525.39	417.77	1119.56	417.77	1008.9	1397.83	325.29	71.0	253.23	73.03	90.77	72.01	79.45	201.25	18.43	120.1	15.8	53.95	35.76	170.25	112.77	14.89	18.84	7.88	50.98	775.05	1388.16
GABRP	275.28	275.28	555.41	2004.85	2701.35	2004.85	3928.15	2682.69	289.02	10.47	9.78	0.0	0.51	14.56	13.42	173.85	20.86	24.63	0.0	13.72	13.03	16.15	43.63	40.36	1.75	3.63	14.35	22.75	1127.35
GPATCH8	279.14	279.14	476.71	381.68	620.67	381.68	466.88	660.68	178.77	48.87	191.67	72.01	113.56	78.89	108.9	149.12	85.22	114.36	55.49	61.25	77.79	135.24	129.69	48.52	186.4	37.85	88.26	318.57	441.64
GPIHBP1	95.34	95.34	356.05	830.75	607.87	830.75	361.04	191.67	39.22	24.99	53.95	5.54	119.26	47.5	65.26	75.64	9.41	25.54	17.51	22.26	52.45	142.01	157.68	13.22	33.54	24.63	94.01	1457.23	3372.43
GPR124	503.95	503.95	738.29	884.29	921.88	884.29	1233.75	2004.85	713.11	47.84	220.32	81.14	209.84	108.14	101.54	186.4	29.91	135.24	17.38	68.07	37.59	173.85	113.56	35.5	32.59	8.0	58.71	514.56	1304.15
GPR31	9.2	9.2	2.78	0.0	2.63	0.0	3.89	1.6	5.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0
GPR55	11.73	11.73	6.67	9.48	14.45	9.48	8.78	18.7	6.84	1.91	6.46	4.54	2.39	2.46	0.88	3.99	2.14	0.96	0.0	4.1	2.05	5.82	9.41	2.29	0.93	1.73	1.53	13.32	6.46
GUCY1A3	343.89	343.89	361.04	642.59	728.11	642.59	819.3	1015.93	363.56	30.34	187.71	84.04	106.63	43.32	91.41	265.87	31.22	61.68	5.45	67.59	28.04	141.02	152.28	37.32	14.45	18.29	40.36	543.96	733.19
HP	134.3	134.3	145.02	119.26	22.26	119.26	96.01	30.78	6183532.28	6014443.23	5972898.43	9635979.21	1.307221145E7	3.671840259E7	1.219680449E7	1.654623811E7	8744835.62	3.174442598E7	6719860.18	1.410789979E7	8990686.44	1.430483875E7	3.066309426E7	1.169995688E7	1.325469274E7	2.614442391E7	1.381756339E7	6337.83	162.14
HR	55.49	55.49	71.0	132.44	226.54	132.44	119.26	45.85	7.11	10.39	13.72	5.28	26.86	3.03	6.94	7.88	6.57	15.0	4.78	3.99	7.28	63.89	22.26	8.71	0.0	2.73	5.15	36.27	269.6
INPP5F	182.55	182.55	273.37	248.0	343.89	248.0	271.48	406.31	87.03	37.85	41.22	27.25	42.11	31.0	57.89	76.17	34.02	56.28	23.25	29.91	50.63	90.77	12.18	26.28	31.67	17.51	35.0	163.28	134.3
ITGA11	1051.79	1051.79	397.93	265.87	283.05	265.87	265.87	387.02	68.55	5.82	10.31	17.25	31.67	13.12	29.48	19.53	6.73	19.68	2.76	14.45	8.85	53.95	27.05	18.97	2.89	9.85	18.16	58.71	128.79
KANK2	1286.18	1286.18	2061.24	2351.53	1936.53	2351.53	2287.2	2090.03	1322.37	738.29	954.43	567.1	521.76	854.13	872.1	1304.15	503.95	1277.29	178.77	400.71	775.05	1295.13	1467.37	358.54	463.65	848.22	753.83	3540.14	5954.47
KCNH8	3.96	3.96	3.5	18.56	49.21	18.56	21.01	31.22	3.92	0.0	2.97	0.56	2.14	0.21	0.0	2.89	0.39	0.0	0.0	0.04	0.0	5.73	1.31	4.46	2.66	0.69	0.85	1.69	3.14
KIAA1462	441.64	441.64	540.19	638.15	409.15	638.15	327.56	392.44	142.01	23.25	60.82	68.55	52.82	69.52	15.68	89.51	13.03	68.55	23.76	38.67	48.87	54.72	89.51	20.11	22.1	16.88	48.87	2287.2	2739.08
KIF3A	122.64	122.64	287.01	105.15	185.11	105.15	159.9	305.55	46.18	12.09	36.79	15.56	14.56	16.63	15.8	53.19	29.06	27.84	11.13	22.92	9.2	41.22	8.13	13.32	14.67	5.45	16.03	124.37	395.18
KIRREL3	14.03	14.03	6.89	23.42	14.14	23.42	14.45	16.39	14.14	5.63	11.82	5.45	0.83	5.82	5.11	5.77	1.68	5.15	9.78	0.71	6.84	10.79	1.55	5.32	2.46	1.46	2.78	6.94	12.74
KRIT1	429.54	429.54	647.07	466.88	785.88	466.88	660.68	1159.07	301.33	166.73	204.07	281.09	267.73	153.34	297.17	265.87	164.42	256.78	104.42	153.34	217.27	253.23	228.13	186.4	209.84	78.89	228.13	426.57	483.38
LRRN1	84.04	84.04	224.97	145.02	307.69	145.02	279.14	1605.83	31.45	0.45	8.65	0.08	36.79	8.78	3.99	46.18	1.27	11.82	0.71	9.34	1.91	31.45	20.86	1.45	3.35	0.13	6.06	71.5	236.21
MALL	193.01	193.01	341.51	555.41	387.02	555.41	796.86	450.94	186.4	198.47	351.14	102.97	258.57	71.5	36.53	95.34	19.39	74.06	34.02	132.44	10.0	358.54	258.57	108.9	57.49	29.48	86.43	2537.92	1322.37
MAPK8IP2	262.2	262.2	187.71	103.69	90.77	103.69	84.04	128.79	11.55	0.34	70.01	0.0	26.28	1.41	0.35	5.73	47.5	1.83	4.21	51.35	1.48	148.09	5.28	18.43	7.17	5.41	13.22	63.45	78.34
MCOLN3	33.3	33.3	34.51	144.01	54.33	144.01	55.49	45.85	10.96	4.31	7.69	0.35	11.38	2.73	1.0	16.75	0.0	0.09	0.71	1.28	1.14	33.3	1.17	20.71	0.0	0.13	1.95	141.02	40.07
MED13L	693.58	693.58	748.61	1151.06	1167.14	1151.06	1001.93	825.0	273.37	48.18	226.54	117.6	89.51	228.13	122.64	163.28	74.58	114.36	86.43	49.56	102.25	112.77	176.29	94.01	135.24	47.5	102.25	497.0	271.48
MRC2	1781.89	1781.89	2468.49	1295.13	1388.16	1295.13	1662.49	3847.29	1119.56	38.4	450.94	64.8	176.29	58.3	146.03	281.09	55.49	142.01	21.78	126.12	47.84	291.04	119.26	38.67	28.04	17.38	88.26	2451.44	2104.58
NANOS3	22.43	22.43	27.05	23.42	13.32	23.42	22.75	37.85	6.73	0.0	0.0	0.0	10.08	0.0	0.0	0.0	0.0	0.0	0.0	14.89	11.21	23.59	0.0	0.0	0.0	0.0	0.0	15.91	35.25
NOTCH2	825.0	825.0	1225.22	1030.12	1437.15	1030.12	1551.09	2777.33	497.0	194.36	540.19	384.34	171.45	961.07	236.21	633.73	221.86	500.46	260.38	51.35	182.55	373.81	961.07	66.18	299.25	84.04	244.57	693.58	248.0
NOTCH3	1208.34	1208.34	1183.45	1127.35	1225.22	1127.35	1143.1	1088.92	267.73	15.22	173.85	26.28	31.67	50.98	52.82	249.73	28.86	35.76	13.93	50.63	17.51	81.71	68.07	30.34	15.34	9.56	36.79	866.07	921.88
NPIPA5	309.83	309.83	255.0	273.37	194.36	273.37	376.41	376.41	92.05	67.59	84.04	95.34	2.63	1.01	74.06	70.01	23.25	101.54	65.26	119.26	153.34	164.42	170.25	114.36	72.52	5.06	2.73	126.12	251.48
NTRK3	98.04	98.04	68.07	271.48	633.73	271.48	791.35	33.54	20.26	1.33	5.19	6.67	29.91	15.45	3.99	18.56	7.75	6.06	1.68	11.55	1.36	31.22	36.53	21.01	16.88	7.63	9.93	96.01	87.03
PMS2	242.88	242.88	201.25	220.32	244.57	220.32	293.07	314.17	88.26	55.89	65.72	71.5	86.43	57.08	144.01	75.64	36.27	74.06	24.11	30.56	48.87	89.51	61.25	36.27	66.65	28.45	43.32	109.66	151.22
POLH	166.73	166.73	283.05	161.02	232.94	161.02	211.31	536.45	124.37	60.82	70.01	74.06	44.57	58.3	88.88	132.44	50.98	84.63	37.59	52.45	78.34	125.24	117.6	29.91	53.19	32.13	76.71	141.02	119.26
PRDM11	82.87	82.87	136.19	100.83	221.86	100.83	206.94	121.79	71.0	14.14	52.82	19.68	27.05	29.91	26.28	68.55	31.0	38.12	17.13	38.67	38.95	92.05	47.84	22.75	28.45	13.03	25.72	137.14	258.57
PRELP	802.41	802.41	819.3	1369.04	665.29	1369.04	1572.76	559.28	748.61	97.36	890.44	8.19	866.07	420.68	189.02	1008.9	120.1	120.94	11.91	441.64	46.5	764.36	256.78	476.71	79.45	215.77	78.89	2384.37	1757.34
PRPF6	1551.09	1551.09	1733.13	1519.15	1745.2	1519.15	1674.06	2351.53	1277.29	909.17	1135.2	872.1	854.13	785.88	854.13	974.5	647.07	1066.48	656.11	1023.0	1008.9	1208.34	1151.06	543.96	780.44	486.75	733.19	1388.16	1733.13
PSORS1C1	76.71	76.71	221.86	64.34	116.78	64.34	38.95	52.08	3.59	2.16	12.93	0.0	19.68	4.5	2.78	1.62	2.63	0.0	0.16	4.66	0.0	74.58	20.41	10.39	1.51	0.0	25.17	88.26	122.64
RAPGEF6	138.1	138.1	182.55	126.12	226.54	126.12	185.11	232.94	82.87	35.76	47.17	37.32	39.22	39.22	36.27	37.85	20.86	37.59	36.01	21.94	21.78	253.23	40.93	27.44	37.32	12.74	27.05	128.79	96.01
RASAL2	172.65	172.65	209.84	251.48	303.44	251.48	264.03	180.02	111.99	12.36	78.34	22.43	31.45	50.27	47.5	54.33	34.26	43.63	10.63	18.29	27.44	111.21	61.25	49.21	19.39	14.89	46.84	248.0	248.0
RASSF3	420.68	420.68	543.96	915.51	684.02	915.51	785.88	860.08	295.11	110.43	214.27	84.63	316.37	209.84	148.09	514.56	127.89	90.14	110.43	127.89	175.07	497.0	155.5	74.58	59.13	102.25	111.99	1111.82	1127.35
RNF25	507.46	507.46	555.41	414.87	507.46	414.87	426.57	718.08	444.72	293.07	414.87	346.29	231.32	301.33	262.2	343.89	325.29	234.57	381.68	444.72	423.61	532.74	417.77	444.72	251.48	132.44	400.71	470.14	603.67
RP11-122A3.2	43.94	43.94	88.88	97.36	209.84	97.36	187.71	214.27	31.22	10.71	19.25	10.96	19.25	22.92	14.24	10.96	10.16	9.56	8.65	18.43	7.28	33.06	0.0	14.24	0.0	21.63	14.78	140.04	22.92
RPL36A-HNRNPH2	74.06	74.06	180.02	187.71	180.02	187.71	13.72	206.94	0.0	20.86	0.0	0.0	0.0	0.0	0.0	76.71	27.84	0.0	0.0	0.0	0.0	180.02	0.0	8.0	0.0	0.0	0.0	69.52	34.02
SCAF4	358.54	358.54	406.31	320.8	511.0	320.8	423.61	521.76	343.89	148.09	285.03	189.02	217.27	265.87	232.94	289.02	244.57	256.78	136.19	271.48	246.28	406.31	209.84	193.01	256.78	112.77	241.19	381.68	275.28
SCN4A	9.48	9.48	52.08	198.47	130.6	198.47	81.14	16.15	5.19	3.35	8.32	3.5	4.17	3.2	3.72	5.54	1.66	5.59	0.56	1.66	0.07	7.22	11.21	1.89	5.77	1.14	2.2	1.43	9.7
SENP7	143.01	143.01	283.05	231.32	435.55	231.32	277.2	571.05	146.03	27.64	109.66	70.51	73.54	50.63	90.77	92.05	18.03	57.89	27.84	43.94	35.0	77.79	85.82	40.93	72.52	18.84	58.3	202.66	277.2
SFTA2	633.73	633.73	34.75	0.0	41.22	0.0	2682.69	356.05	107.38	68.55	27.44	0.0	45.85	7.88	23.42	58.71	0.0	0.0	0.0	9.85	16.39	19.82	0.0	10.88	0.0	0.0	0.0	9740.98	796.86
SH3YL1	890.44	890.44	1963.57	1594.73	1605.83	1594.73	1781.89	2133.97	718.08	353.59	587.13	102.97	698.41	87.65	166.73	1268.46	49.21	323.03	104.42	444.72	126.12	1628.26	73.54	242.88	99.43	24.28	211.31	1191.69	1250.98
SLC25A36	497.0	497.0	1066.48	1104.13	1437.15	1104.13	1250.98	1639.59	289.02	18.43	139.07	23.59	82.29	36.53	82.87	73.03	16.03	62.56	20.26	27.05	36.27	118.43	50.98	19.11	9.2	7.94	26.1	764.36	825.0
SLC44A2	2816.11	2816.11	3257.52	3443.31	3515.68	3443.31	2976.74	3372.43	2133.97	363.56	1340.84	441.64	884.29	490.14	743.43	764.36	336.79	688.78	108.14	551.56	228.13	961.07	1216.75	120.1	197.09	99.43	890.44	4512.4	6561.36
SLIT2	164.42	164.42	312.0	450.94	307.69	450.94	466.88	417.77	52.82	3.72	24.81	9.2	38.12	36.79	11.47	62.12	5.15	11.47	4.86	10.63	0.14	55.1	16.15	10.16	45.85	9.63	11.91	1378.57	1250.98
SMOC2	1417.35	1417.35	2609.3	1757.34	1674.06	1757.34	3124.78	4836.35	387.02	18.29	163.28	14.56	297.17	33.06	40.36	287.01	16.88	27.84	9.48	111.21	15.56	363.56	68.07	42.71	20.41	10.71	23.08	616.37	743.43
SNRNP200	1437.15	1437.15	2367.9	2061.24	2855.44	2061.24	2609.3	2609.3	1540.37	1175.27	1617.0	1183.45	1023.0	1119.56	1167.14	1388.16	995.0	1427.22	1397.83	1096.5	1259.69	1674.06	1769.57	759.08	1175.27	764.36	1143.1	1883.54	1733.13
SNTN	28.86	28.86	3.56	3.23	6.57	3.23	5.32	52.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.0	0.0	0.0	0.0	551.56	6983.79
SRRM1	674.59	674.59	1447.15	1119.56	1781.89	1119.56	1277.29	1745.2	775.05	348.71	802.41	473.41	511.0	444.72	529.06	674.59	417.77	669.92	559.28	473.41	463.65	890.44	708.18	353.59	616.37	305.55	460.44	1208.34	1135.2
SYNPO	642.59	642.59	1008.9	3491.39	1259.69	3491.39	1331.57	1081.39	1037.29	674.59	638.15	2133.97	1127.35	1594.73	239.52	988.12	463.65	878.17	1359.57	688.78	1359.57	3742.05	1233.75	444.72	334.46	336.79	769.69	2417.67	2739.08
TET3	109.66	109.66	104.42	88.88	123.5	88.88	111.21	187.71	69.03	9.41	34.26	18.84	22.92	19.97	39.79	43.63	26.86	41.22	13.42	18.16	27.44	34.75	35.76	9.48	31.22	8.32	35.0	91.41	69.52
THRA	466.88	466.88	684.02	909.17	1216.75	909.17	1313.23	1286.18	406.31	104.42	178.77	120.1	167.9	127.89	182.55	242.88	70.01	195.72	64.34	78.34	90.77	209.84	279.14	116.78	87.03	81.14	139.07	1008.9	1208.34
TMC4	2090.03	2090.03	1781.89	1397.83	1001.93	1397.83	1073.91	1250.98	146.03	28.04	309.83	33.54	1674.06	7.51	67.59	130.6	44.57	24.11	19.53	205.5	52.08	1015.93	17.64	59.13	13.03	10.55	48.52	1008.9	4066.71
TMEM98	1870.53	1870.53	1674.06	1225.22	1950.0	1225.22	2335.28	4358.66	1104.13	450.94	674.59	211.31	177.53	75.11	624.99	860.08	154.42	341.51	67.59	181.28	941.27	1651.0	51.35	87.65	68.55	76.17	94.67	2555.58	2855.44
TNRC18	796.86	796.86	1561.89	1159.07	1572.76	1159.07	961.07	1369.04	723.08	93.35	403.5	438.59	169.07	334.46	412.0	332.14	223.41	599.49	217.27	339.14	336.79	748.61	368.65	167.9	323.03	214.27	161.02	1001.93	1044.52
TSPAN3	4607.24	4607.24	2271.4	9474.59	3540.14	9474.59	6037.61	4736.79	1378.57	2163.77	2485.67	878.17	2701.35	2434.5	1697.45	1583.71	769.69	1583.71	1023.0	1088.92	1151.06	5255.91	3515.68	830.75	379.04	2335.28	1477.58	8658.09	7589.61
TSSK4	13.83	13.83	49.21	49.56	81.14	49.56	66.18	64.34	10.55	0.83	13.62	10.79	14.56	12.83	8.38	24.28	6.16	8.58	11.3	12.64	6.84	22.43	15.0	1.03	4.62	0.92	9.93	48.18	23.08
TTLL11	131.51	131.51	127.0	119.26	128.79	119.26	113.56	178.77	82.87	53.95	80.57	52.82	77.79	89.51	35.0	102.97	60.39	59.97	129.69	140.04	101.54	166.73	77.25	66.65	76.71	24.46	78.34	134.3	208.38
VPS13B	429.54	429.54	384.34	379.04	301.33	379.04	303.44	371.22	109.66	50.27	127.89	84.04	85.82	80.57	124.37	84.04	69.52	115.16	72.01	59.97	54.33	102.25	98.04	59.55	89.51	54.33	68.07	242.88	358.54
XPO7	473.41	473.41	718.08	651.58	884.29	651.58	890.44	1059.11	483.38	395.18	327.56	285.03	341.51	285.03	361.04	403.5	145.02	409.15	381.68	224.97	295.11	379.04	460.44	142.01	277.2	59.97	336.79	595.34	532.74
YLPM1	656.11	656.11	753.83	642.59	1081.39	642.59	988.12	1277.29	412.0	206.94	269.6	241.19	264.03	299.25	264.03	262.2	141.02	289.02	226.54	228.13	258.57	336.79	267.73	204.07	253.23	104.42	234.57	612.11	764.36
ZBTB37	87.65	87.65	87.65	81.14	94.01	81.14	76.17	150.17	45.21	12.36	17.25	11.13	18.43	18.29	29.91	37.85	16.75	26.47	5.92	13.12	15.0	26.28	24.46	10.79	28.04	13.42	22.59	38.67	40.36
