	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.4B.A93V.01A.11R.A39D.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.G9.A9S4.01A.11R.A41O.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8265.01A.11R.2263.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.11P82.1126.SM.5BC5K	GTEX.11P7K.0626.SM.5985Z	GTEX.146FQ.1726.SM.5QGPX	TCGA.AJ.A3BG.01A.11R.A19W.07
CD200	13.03	10.79	12.74	76.17	24.81	143.01	135.24	417.77	40.07	201.25	48.18	83.45	52.08	51.35	156.59	241.19	64.8	65.72	132.44	303.44	54.33	129.69	59.55	121.79	194.36	193.01	23.08	42.71	49.91	29.7	43.63	73.54	242.88	35.25	283.05	15.56	438.59	769.69	616.37	384.34	194.36	214.27	211.31	23.93
CLASP2	90.14	64.8	132.44	164.42	143.01	269.6	490.14	232.94	228.13	414.87	256.78	166.73	202.66	269.6	271.48	206.94	180.02	271.48	248.0	314.17	152.28	463.65	186.4	218.79	346.29	332.14	366.09	269.6	258.57	358.54	258.57	258.57	305.55	236.21	447.82	236.21	591.22	688.78	656.11	571.05	432.53	638.15	291.04	105.89
CLIP3	4.66	29.06	20.86	48.52	38.95	271.48	316.37	363.56	100.83	432.53	47.17	95.34	232.94	123.5	336.79	325.29	117.6	115.97	124.37	356.05	20.41	301.33	89.51	303.44	387.02	470.14	43.32	75.64	182.55	144.01	73.54	223.41	193.01	144.01	603.67	54.33	1259.69	2502.97	1674.06	1066.48	420.68	1051.79	486.75	18.84
CNRIP1	13.12	13.72	20.26	47.84	41.81	165.57	197.09	312.0	43.94	228.13	41.52	126.12	129.69	108.9	212.78	145.02	81.14	91.41	83.45	287.01	28.24	220.32	63.45	124.37	205.5	271.48	37.05	52.82	111.21	79.45	56.68	114.36	138.1	97.36	329.84	21.32	612.11	796.86	723.08	571.05	241.19	336.79	255.0	17.64
CNTN1	0.39	0.0	0.0	0.0	9.48	131.51	334.46	215.77	29.48	463.65	17.77	38.67	137.14	97.36	229.72	90.77	78.89	31.22	45.85	153.34	0.0	283.05	62.12	84.04	204.07	223.41	12.74	32.13	75.64	79.45	31.67	77.79	39.5	32.59	583.07	8.06	733.19	1781.89	1651.0	967.76	229.72	579.04	514.56	2.01
COL14A1	3.26	23.42	16.03	35.76	6.11	255.0	525.39	674.59	44.25	698.41	80.57	146.03	214.27	212.78	208.38	191.67	141.02	165.57	116.78	336.79	44.89	642.59	190.34	105.89	447.82	981.29	118.43	69.52	265.87	111.21	131.51	190.34	217.27	118.43	808.0	23.25	2796.65	2645.74	3467.27	1651.0	258.57	493.56	336.79	17.25
COL4A6	0.68	0.62	0.68	0.0	3.79	91.41	293.07	77.25	41.81	256.78	13.03	11.91	121.79	124.37	206.94	115.16	26.47	44.57	62.12	98.73	8.32	150.17	13.22	98.73	136.19	217.27	15.34	23.59	52.45	40.64	20.26	83.45	38.95	62.56	262.2	15.11	348.71	551.56	651.58	486.75	323.03	514.56	928.3	0.0
CPEB1	0.0	10.88	0.53	1.68	3.32	28.65	43.02	39.22	7.34	41.22	3.69	9.63	10.63	24.81	32.13	16.88	7.46	12.55	14.03	47.17	0.45	29.91	10.47	14.89	19.53	44.25	1.69	6.57	13.62	11.13	4.74	17.38	13.03	10.71	58.71	1.07	106.63	175.07	234.57	102.25	27.84	101.54	74.58	0.55
CPED1	91.41	18.29	20.71	87.65	22.26	176.29	303.44	211.31	43.94	441.64	31.0	37.59	146.03	80.57	212.78	140.04	54.33	83.45	73.03	248.0	1.01	361.04	53.95	102.25	177.53	265.87	24.11	129.69	93.35	76.71	44.57	112.77	54.72	98.73	723.08	35.0	775.05	1277.29	1313.23	620.67	547.75	1167.14	275.28	1.89
EDNRA	4.06	10.55	4.43	63.0	92.7	397.93	363.56	320.8	78.34	417.77	44.89	81.14	297.17	100.83	361.04	327.56	156.59	153.34	117.6	457.25	13.83	327.56	172.65	190.34	190.34	275.28	27.64	78.34	67.59	127.0	85.82	190.34	193.01	176.29	769.69	15.8	860.08	1674.06	1457.23	802.41	941.27	1477.58	518.15	13.72
EPHA3	1.51	2.46	7.06	4.98	7.0	201.25	381.68	327.56	39.22	438.59	39.79	49.21	164.42	217.27	234.57	172.65	102.97	73.03	86.43	251.48	6.16	543.96	102.97	117.6	351.14	466.88	39.79	53.95	139.07	121.79	77.79	127.0	82.29	52.08	896.64	14.89	1250.98	902.89	1447.15	836.53	387.02	525.39	293.07	3.35
EYA1	0.0	0.0	0.0	4.98	2.25	111.99	170.25	55.89	19.68	152.28	14.78	32.36	67.12	10.24	98.04	63.0	37.32	37.32	25.91	136.19	2.58	108.14	30.34	42.11	103.69	71.0	6.36	10.88	50.63	48.87	17.0	43.02	32.13	92.05	126.12	3.82	119.26	1437.15	420.68	248.0	264.03	289.02	87.65	0.26
EYA4	0.0	0.0	0.0	1.13	1.39	50.27	48.18	47.17	6.78	56.28	7.0	6.52	40.07	15.0	39.22	35.76	10.08	10.24	12.83	88.88	0.59	55.49	9.56	17.77	33.78	46.84	3.56	5.59	15.56	15.8	5.15	25.72	21.78	45.21	69.03	2.58	157.68	332.14	244.57	132.44	158.79	119.26	70.51	0.0
FBLN5	297.17	69.03	194.36	299.25	316.37	595.34	866.07	1467.37	358.54	1104.13	244.57	791.35	503.95	497.0	1259.69	551.56	379.04	279.14	384.34	1295.13	79.45	1388.16	417.77	476.71	1044.52	1417.35	209.84	293.07	684.02	361.04	423.61	543.96	403.5	120.1	1963.57	143.01	2758.13	1519.15	2875.3	1963.57	547.75	1781.89	769.69	55.89
FERMT2	497.0	132.44	470.14	314.17	289.02	638.15	656.11	866.07	384.34	660.68	285.03	273.37	543.96	346.29	579.04	507.46	236.21	297.17	201.25	1073.91	153.34	934.76	253.23	376.41	656.11	791.35	224.97	287.01	320.8	295.11	178.77	384.34	363.56	480.04	1159.07	122.64	2335.28	4512.4	3212.66	1709.26	1617.0	2104.58	848.22	150.17
FGF2	0.95	0.83	12.93	2.78	4.62	44.89	76.17	103.69	11.82	82.87	10.08	14.35	44.25	30.34	61.25	47.5	18.29	16.88	17.77	105.15	2.71	94.01	15.45	42.41	74.06	77.79	8.06	18.03	27.44	21.16	11.47	35.76	34.02	26.47	167.9	2.29	277.2	327.56	358.54	193.01	119.26	120.1	60.82	0.52
FRMD6	26.28	35.5	53.57	35.25	50.27	295.11	525.39	309.83	98.04	571.05	46.84	37.85	279.14	182.55	525.39	229.72	105.89	142.01	155.5	363.56	8.78	412.0	70.01	246.28	206.94	454.09	26.86	171.45	107.38	158.79	69.52	151.22	205.5	190.34	693.58	65.26	1051.79	1508.65	2061.24	1088.92	830.75	1832.01	423.61	27.05
GLIS1	0.38	0.33	0.38	1.35	0.0	76.17	78.34	95.34	18.03	98.73	5.19	9.13	66.18	39.22	72.52	68.07	27.25	27.25	29.27	74.06	0.69	67.59	17.13	58.3	54.33	60.39	3.89	7.69	22.1	16.27	9.13	36.79	20.41	33.3	116.78	3.89	275.28	75.64	353.59	193.01	115.16	183.82	120.94	0.77
GPR124	8.19	18.16	14.24	80.01	49.91	808.0	791.35	934.76	191.67	854.13	100.83	244.57	684.02	211.31	878.17	813.63	271.48	256.78	368.65	836.53	29.7	733.19	251.48	507.46	575.03	679.29	52.82	122.64	293.07	301.33	204.07	429.54	397.93	525.39	1340.84	45.53	2367.9	3081.75	3235.01	1662.49	1519.15	2075.59	1208.34	29.7
GPR156	0.0	3.44	0.79	2.14	0.78	2.29	4.24	3.08	4.46	11.04	1.97	0.83	2.25	4.31	3.63	1.28	0.27	1.28	1.64	5.68	0.85	5.23	1.81	2.18	4.03	7.57	1.04	2.34	0.62	4.78	2.29	4.21	7.69	3.59	7.94	1.99	14.56	13.83	22.26	15.34	14.14	18.29	12.36	0.45
GPRASP1	2.29	3.53	7.06	21.47	39.22	145.02	182.55	150.17	56.28	220.32	30.56	35.0	132.44	110.43	341.51	98.73	41.81	77.25	65.26	144.01	17.0	195.72	39.22	70.51	130.6	175.07	27.25	39.5	69.52	83.45	35.76	120.94	64.8	72.01	239.52	52.82	376.41	599.49	579.04	299.25	543.96	309.83	536.45	2.27
HDGFRP3	7.51	8.85	19.39	63.45	172.65	595.34	708.18	547.75	273.37	651.58	460.44	450.94	392.44	656.11	647.07	438.59	409.15	305.55	429.54	571.05	205.5	429.54	406.31	454.09	518.15	423.61	384.34	400.71	293.07	490.14	195.72	361.04	420.68	486.75	718.08	397.93	934.76	1199.98	1088.92	802.41	497.0	878.17	665.29	12.36
HEPH	4.54	7.4	8.99	40.07	28.86	173.85	246.28	232.94	29.06	253.23	29.91	65.72	135.24	67.59	171.45	106.63	66.65	63.45	66.18	173.85	8.92	289.02	55.89	102.97	202.66	244.57	12.55	28.65	106.63	57.49	42.41	91.41	122.64	98.73	490.14	7.75	1331.57	1369.04	1183.45	819.3	348.71	819.3	242.88	14.67
HPSE2	0.41	0.0	0.0	0.0	1.08	36.53	55.1	42.71	4.46	56.28	11.13	18.56	48.18	6.84	23.08	75.11	15.68	73.54	9.85	37.59	2.36	55.49	27.64	25.35	86.43	35.25	10.55	8.58	76.71	23.08	21.94	13.42	9.06	21.63	46.84	3.2	172.65	1066.48	285.03	90.77	55.49	146.03	146.03	0.49
ICA1L	0.8	2.92	3.35	43.63	31.45	66.18	134.3	62.56	61.68	139.07	76.17	108.14	61.68	78.89	128.79	84.63	28.45	75.11	63.45	72.01	39.79	161.02	57.89	83.45	96.68	98.73	60.39	65.26	53.19	113.56	92.05	62.12	75.11	74.06	183.82	105.15	289.02	281.09	432.53	191.67	175.07	147.06	115.97	1.35
KCNAB1	3.35	4.66	3.66	3.79	13.93	45.21	242.88	180.02	33.54	204.07	51.35	38.4	98.04	36.01	155.5	82.29	24.46	38.95	27.84	52.82	5.19	195.72	25.54	115.16	176.29	98.73	15.11	27.25	81.71	29.7	12.74	70.01	24.63	40.07	426.57	13.93	764.36	423.61	842.36	450.94	429.54	1819.35	212.78	3.76
MMP16	0.0	0.59	0.37	1.36	1.64	5.15	14.67	6.36	8.78	16.88	3.14	3.08	2.41	7.28	8.85	4.13	2.03	2.12	2.48	10.63	0.37	9.2	2.92	3.32	12.36	10.71	0.8	1.46	4.5	2.84	2.12	7.88	3.59	1.41	18.03	0.36	53.95	57.49	53.19	29.7	10.0	14.67	16.27	0.6
MPP2	0.99	3.06	0.59	3.63	3.89	76.71	70.51	87.03	24.46	91.41	8.13	13.03	84.63	32.36	71.5	69.03	19.11	23.59	36.27	106.63	2.16	73.03	23.25	69.03	63.89	73.03	3.79	13.83	32.36	20.41	13.62	56.28	31.45	57.49	148.09	10.63	273.37	339.14	341.51	253.23	119.26	221.86	127.0	7.22
MRVI1	5.5	7.17	6.73	20.41	27.64	336.79	607.87	473.41	82.29	583.07	53.57	122.64	353.59	111.21	412.0	258.57	127.89	78.34	152.28	417.77	13.72	669.92	98.04	320.8	441.64	616.37	30.34	46.5	208.38	183.82	64.8	249.73	264.03	295.11	1059.11	19.68	1870.53	2701.35	2271.4	1208.34	743.43	1008.9	490.14	8.32
MSRB3	10.63	54.72	10.96	39.79	42.41	529.06	660.68	616.37	117.6	616.37	78.89	180.02	480.04	126.12	579.04	371.22	158.79	110.43	167.9	718.08	21.01	665.29	129.69	373.81	490.14	591.22	43.63	80.57	209.84	239.52	106.63	309.83	267.73	400.71	1208.34	33.54	1685.71	4419.52	2816.11	1457.23	1487.87	2319.15	728.11	26.47
MYOCD	0.0	0.44	1.25	0.64	9.85	138.1	175.07	98.73	13.22	148.09	5.54	7.17	115.16	19.68	55.1	81.71	22.43	14.78	34.02	123.5	1.06	127.89	9.93	65.26	62.56	84.04	2.36	8.58	40.64	28.86	7.75	53.95	40.07	91.41	271.48	1.33	432.53	813.63	497.0	381.68	587.13	796.86	155.5	0.71
NEBL	0.0	1.62	0.67	85.82	143.01	329.84	591.22	217.27	112.77	599.49	438.59	137.14	271.48	74.58	353.59	242.88	180.02	145.02	264.03	279.14	75.64	521.76	379.04	256.78	249.73	265.87	476.71	361.04	234.57	457.25	31.0	346.29	212.78	343.89	638.15	134.3	642.59	1242.34	733.19	447.82	698.41	454.09	571.05	4.5
NEGR1	0.0	0.39	1.13	7.69	7.4	52.08	73.03	76.17	9.06	105.89	13.72	15.22	35.76	23.76	45.53	36.27	22.59	37.05	19.39	83.45	1.19	87.65	31.9	24.28	79.45	137.14	14.45	20.26	47.84	26.1	11.64	32.13	20.86	23.93	171.45	3.69	246.28	988.12	514.56	253.23	125.24	237.86	102.25	0.57
NEU3	16.75	15.8	28.04	38.4	39.79	90.14	231.32	47.17	24.46	218.79	124.37	50.63	72.01	80.57	61.68	97.36	63.89	88.88	77.25	134.3	31.9	189.02	100.83	65.72	44.25	94.01	140.04	64.8	84.04	97.36	156.59	91.41	115.97	80.01	129.69	48.52	126.12	141.02	175.07	157.68	172.65	146.03	309.83	6.11
NEXN	4.58	19.53	7.0	31.9	19.39	441.64	486.75	500.46	123.5	490.14	84.63	161.02	457.25	126.12	529.06	389.72	141.02	93.35	111.99	441.64	20.11	884.29	92.05	307.69	521.76	567.1	34.26	47.84	201.25	187.71	81.71	301.33	241.19	325.29	1104.13	20.26	2335.28	4328.55	2976.74	1529.73	1583.71	2319.15	612.11	11.64
NPY	0.0	0.0	0.0	103551.29	0.0	329517.51	115696.65	273275.14	234624.45	394590.4	318292.9	273275.14	229795.93	248002.34	174152.51	215898.44	370726.6	370726.6	311742.51	329517.51	153.34	550352.86	307450.64	233003.78	197294.7	229795.93	569761.05	408505.64	279017.26	425853.18	383800.28	290865.98	233003.78	303217.87	54349.29	212926.09	6426.31	15715.58	1721.16	23169.48	251464.33	119776.72	128373.58	0.0
PCDH10	0.0	0.0	0.0	0.0	0.33	113.56	186.4	166.73	15.45	248.0	10.88	47.17	76.17	63.45	40.93	69.52	23.08	35.76	29.27	117.6	1.01	211.31	56.68	47.17	100.83	63.0	11.73	18.7	47.84	40.36	34.75	77.25	22.75	45.85	447.82	8.58	343.89	928.3	698.41	269.6	297.17	688.78	152.28	0.0
PCDH18	3.2	6.78	7.22	11.73	18.97	144.01	190.34	89.51	26.47	199.85	19.68	37.05	138.1	72.52	202.66	109.66	60.39	128.79	47.17	127.89	2.61	208.38	49.91	69.03	88.88	251.48	20.56	27.64	65.72	57.49	31.67	70.01	48.87	72.01	301.33	12.83	403.5	559.28	872.1	490.14	329.84	343.89	166.73	5.92
PDE5A	19.53	21.32	11.13	42.71	100.13	318.57	624.99	366.09	88.88	616.37	81.71	122.64	267.73	180.02	607.87	221.86	162.14	120.1	107.38	470.14	7.46	432.53	136.19	217.27	432.53	392.44	67.59	62.56	173.85	301.33	96.68	277.2	181.28	299.25	884.29	36.01	1111.82	4903.87	2133.97	1104.13	872.1	1037.29	414.87	7.06
PLA2G5	9.48	19.39	10.24	26.67	25.17	251.48	197.09	320.8	74.06	223.41	66.18	341.51	289.02	221.86	226.54	507.46	143.01	297.17	82.87	1088.92	112.77	229.72	187.71	483.38	409.15	253.23	79.45	64.8	305.55	866.07	128.79	117.6	239.52	198.47	289.02	148.09	575.03	819.3	693.58	303.44	511.0	483.38	353.59	5.06
PPFIBP1	73.03	34.51	83.45	71.5	133.36	279.14	595.34	381.68	94.67	764.36	215.77	132.44	198.47	314.17	447.82	209.84	253.23	275.28	157.68	376.41	77.79	713.11	336.79	214.27	559.28	444.72	198.47	228.13	289.02	366.09	209.84	193.01	293.07	366.09	536.45	109.66	808.0	796.86	785.88	703.28	473.41	1104.13	470.14	111.99
PTGIS	0.0	8.13	4.66	22.75	9.2	145.02	279.14	171.45	33.54	287.01	23.76	48.18	199.85	64.34	164.42	202.66	56.28	59.97	95.34	249.73	2.73	190.34	49.21	202.66	244.57	480.04	6.36	27.64	119.26	85.22	50.98	117.6	92.7	157.68	579.04	11.3	1167.14	1697.45	1594.73	954.43	303.44	612.11	218.79	2.51
RECK	2.43	41.81	22.1	90.77	26.67	105.15	141.02	121.79	111.99	147.06	239.52	101.54	110.43	171.45	141.02	102.25	45.53	121.79	83.45	231.32	63.89	169.07	82.29	71.5	127.89	217.27	149.12	65.26	81.71	65.72	108.14	258.57	103.69	85.82	190.34	56.28	277.2	346.29	397.93	248.0	136.19	176.29	96.68	23.42
SCN2B	0.0	0.0	0.0	0.0	0.84	8.85	18.56	3.96	1.06	15.8	0.46	1.14	5.15	2.76	9.06	6.62	1.51	2.43	3.32	6.67	0.14	9.78	1.48	8.19	13.12	16.03	0.2	1.06	4.7	1.62	1.03	4.94	2.25	1.85	11.82	1.13	27.25	83.45	43.63	32.82	16.51	118.43	61.68	0.0
SCN3B	0.0	1.3	0.0	1.19	2.34	14.14	16.27	10.16	2.41	13.03	3.41	2.71	13.52	4.1	15.34	6.11	4.24	3.76	5.5	14.89	0.0	8.13	2.86	19.68	5.19	9.48	0.97	21.32	4.1	2.39	2.34	8.19	4.21	6.73	14.67	4.21	31.0	85.22	24.46	33.78	19.25	14.89	16.75	0.43
SSPN	0.0	1.31	1.55	13.93	15.22	125.24	224.97	111.99	14.78	220.32	28.45	12.0	94.67	57.49	164.42	47.84	40.07	61.68	67.59	142.01	0.24	244.57	69.03	78.89	111.21	140.04	10.0	103.69	87.03	87.65	35.76	68.55	88.88	64.34	412.0	21.63	447.82	836.53	708.18	450.94	239.52	934.76	426.57	1.1
STON1	6.21	3.29	7.82	26.47	13.72	473.41	1023.0	371.22	269.6	651.58	234.57	124.37	412.0	490.14	435.55	229.72	264.03	237.86	248.0	603.67	201.25	518.15	231.32	379.04	281.09	483.38	151.22	819.3	241.19	529.06	63.45	153.34	389.72	518.15	718.08	511.0	764.36	842.36	723.08	540.19	543.96	1295.13	397.93	8.38
TCEAL1	373.81	121.79	629.35	339.14	629.35	1066.48	928.3	1183.45	460.44	981.29	579.04	1313.23	1135.2	1540.37	1378.57	1331.57	551.56	915.51	733.19	1233.75	480.04	1277.29	796.86	1059.11	1111.82	1059.11	825.0	941.27	728.11	733.19	967.76	860.08	603.67	961.07	1757.34	633.73	2573.36	2451.44	2835.7	1794.29	1529.73	2032.85	1605.83	341.51
TGFBR3	86.43	32.59	11.64	10.47	26.47	155.5	264.03	316.37	59.55	371.22	77.79	39.22	139.07	102.97	215.77	151.22	50.27	71.0	72.52	181.28	13.62	281.09	87.03	141.02	198.47	281.09	57.08	68.07	122.64	64.34	47.5	131.51	97.36	70.01	493.56	24.46	808.0	808.0	934.76	638.15	318.57	733.19	277.2	15.91
ZC4H2	12.74	111.99	33.54	9.78	79.45	187.71	204.07	90.14	42.41	131.51	40.36	103.69	170.25	113.56	121.79	137.14	249.73	122.64	35.76	113.56	95.34	187.71	18.16	128.79	147.06	121.79	9.13	186.4	146.03	85.82	71.0	88.26	102.25	180.02	265.87	58.3	293.07	327.56	325.29	277.2	249.73	629.35	265.87	6.52
ZNF423	1.55	1.93	3.63	11.91	12.09	93.35	111.99	120.94	23.08	145.02	20.71	30.12	61.25	51.71	103.69	77.79	45.53	47.17	50.63	137.14	10.63	88.26	43.02	57.49	90.77	153.34	8.78	31.9	46.84	37.05	27.44	43.02	61.68	31.67	142.01	6.11	320.8	265.87	435.55	242.88	116.78	215.77	161.02	2.34
ZNF804A	0.0	0.27	0.0	0.71	0.67	10.88	10.79	11.91	0.96	17.0	0.28	2.23	6.89	4.7	12.45	6.01	2.73	2.2	3.2	8.06	0.0	10.31	2.94	5.77	7.75	8.99	0.66	2.58	5.77	1.6	1.57	4.03	2.29	2.18	27.64	0.53	46.84	90.77	69.03	31.9	23.25	38.4	16.39	0.27
