	TCGA.AN.A0AT.01A.11R.A034.07	TCGA.AR.A256.01A.11R.A169.07	TCGA.AR.A0U2.01A.11R.A109.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1Y0.01A.11R.A14M.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.ZAB4.0826.SM.5LU9D	GTEX.11ZUS.2526.SM.59872	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.QV44.0326.SM.4R1KD	GTEX.RU72.1426.SM.46MUF	GTEX.12WSG.0626.SM.5FQTQ	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.12KS4.1326.SM.5LUB3	GTEX.UPK5.1426.SM.4JBHH	GTEX.11WQC.0726.SM.5EQMR	GTEX.14ASI.0726.SM.5Q5DC	GTEX.S341.0226.SM.5S2VG	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.139YR.1226.SM.5IFEU	GTEX.11ZTT.1026.SM.5EQKF
CAPRIN1	3467.27	7081.29	5366.37	5954.47	6337.83	6561.36	3955.48	1991.0	708.18	656.11	536.45	629.35	500.46	915.51	1709.26	872.1	884.29	1467.37	669.92	1104.13	1183.45	981.29	1216.75	1977.24	1467.37	1685.71	1397.83	2255.7	1457.23
DDX18	1870.53	1437.15	1529.73	2209.26	2133.97	1208.34	1369.04	665.29	297.17	214.27	361.04	343.89	293.07	314.17	1331.57	603.67	376.41	607.87	366.09	567.1	358.54	392.44	450.94	693.58	738.29	780.44	890.44	1015.93	728.11
DDX21	1059.11	2090.03	1167.14	2758.13	2287.2	1350.18	3564.78	314.17	195.72	120.1	236.21	267.73	293.07	229.72	842.36	397.93	265.87	563.18	194.36	273.37	341.51	309.83	334.46	395.18	417.77	356.05	476.71	473.41	299.25
DNAJB14	441.64	314.17	571.05	275.28	660.68	575.03	878.17	299.25	58.3	26.47	89.51	172.65	35.25	47.84	175.07	145.02	76.71	143.01	120.94	82.29	117.6	120.1	158.79	251.48	299.25	353.59	312.0	343.89	323.03
EIF4E	2468.49	2520.38	2485.67	1340.84	3146.52	2351.53	2119.22	866.07	157.68	289.02	397.93	316.37	206.94	497.0	813.63	656.11	518.15	660.68	334.46	733.19	463.65	638.15	525.39	1111.82	1467.37	1208.34	1051.79	1883.54	1250.98
ERCC4	118.43	113.56	320.8	173.85	358.54	262.2	114.36	87.03	23.93	17.0	17.0	11.91	27.25	25.91	75.64	43.02	38.67	42.11	30.78	44.57	43.94	34.26	49.91	49.91	68.07	67.12	75.64	83.45	55.89
ERCC6L2	291.04	444.72	525.39	688.78	473.41	529.06	583.07	223.41	28.04	25.91	177.53	193.01	41.22	110.43	507.46	262.2	96.01	239.52	155.5	189.02	110.43	183.82	127.0	563.18	199.85	295.11	368.65	473.41	255.0
FBXW2	1572.76	954.43	1104.13	1081.39	708.18	1135.2	2485.67	490.14	193.01	285.03	325.29	237.86	264.03	500.46	540.19	387.02	262.2	753.83	277.2	351.14	387.02	312.0	540.19	708.18	679.29	616.37	647.07	723.08	665.29
FKBP15	583.07	616.37	679.29	426.57	417.77	633.73	381.68	283.05	85.22	154.42	167.9	414.87	154.42	262.2	241.19	291.04	208.38	264.03	248.0	285.03	229.72	309.83	234.57	312.0	361.04	363.56	426.57	518.15	348.71
FKTN	175.07	361.04	511.0	336.79	356.05	295.11	255.0	107.38	17.13	17.38	38.4	57.89	35.5	52.45	140.04	49.21	35.0	68.55	53.95	41.22	43.63	38.12	62.12	108.9	134.3	140.04	120.94	119.26	146.03
G3BP1	7537.18	3018.3	1417.35	2682.69	2335.28	2997.45	2976.74	780.44	819.3	583.07	555.41	414.87	507.46	642.59	1199.98	947.83	708.18	1233.75	684.02	1037.29	764.36	848.22	915.51	848.22	896.64	921.88	909.17	1561.89	769.69
GAPVD1	392.44	476.71	785.88	447.82	813.63	688.78	447.82	209.84	46.84	65.26	100.83	178.77	91.41	86.43	149.12	111.21	81.71	262.2	158.79	131.51	114.36	115.97	169.07	262.2	497.0	503.95	473.41	397.93	426.57
GEMIN5	497.0	389.72	267.73	289.02	242.88	351.14	191.67	84.04	76.17	60.39	56.28	73.54	82.87	82.87	221.86	92.05	64.34	107.38	69.03	121.79	76.71	86.43	98.73	131.51	112.77	163.28	155.5	204.07	110.43
GSTCD	182.55	163.28	536.45	199.85	232.94	332.14	201.25	118.43	19.25	18.43	17.38	21.32	12.0	25.91	82.29	30.34	10.79	35.76	21.01	31.67	27.05	33.54	25.54	84.63	125.24	87.65	125.24	161.02	101.54
HIATL1	1059.11	1397.83	802.41	1963.57	1088.92	954.43	2119.22	507.46	62.56	99.43	74.06	125.24	118.43	129.69	343.89	191.67	118.43	186.4	96.68	120.1	212.78	187.71	212.78	555.41	587.13	620.67	547.75	703.28	567.1
HNRNPK	13586.57	12943.04	12244.81	13586.57	17197.56	14561.8	13681.08	6935.54	2682.69	3928.15	4802.93	5255.91	3146.52	5751.61	8658.09	6207.38	4802.93	5517.27	4836.35	6792.79	5954.47	5831.91	5329.3	8718.32	9474.59	9876.98	9279.58	10225.32	10084.54
IARS	2451.44	2645.74	2645.74	3018.3	3018.3	1427.22	2075.59	981.29	155.5	167.9	217.27	246.28	253.23	289.02	791.35	287.01	242.88	356.05	183.82	285.03	332.14	289.02	341.51	599.49	995.0	866.07	1119.56	718.08	808.0
IKBKAP	660.68	656.11	743.43	647.07	674.59	543.96	567.1	275.28	118.43	206.94	209.84	420.68	151.22	214.27	260.38	356.05	161.02	532.74	158.79	255.0	177.53	384.34	249.73	432.53	466.88	476.71	429.54	511.0	480.04
IPO7	3146.52	1745.2	1963.57	1857.6	2895.31	1605.83	1378.57	567.1	275.28	180.02	379.04	309.83	267.73	209.84	819.3	480.04	358.54	718.08	301.33	432.53	363.56	358.54	454.09	1001.93	830.75	921.88	743.43	1304.15	928.3
KIAA0368	1709.26	2133.97	3395.89	1119.56	1745.2	1350.18	1191.69	571.05	293.07	226.54	414.87	371.22	339.14	435.55	733.19	647.07	525.39	860.08	417.77	647.07	264.03	591.22	583.07	733.19	988.12	825.0	954.43	775.05	1001.93
LARS	1350.18	2627.46	1950.0	1923.14	1870.53	1896.65	1023.0	703.28	583.07	224.97	228.13	629.35	320.8	198.47	603.67	305.55	353.59	656.11	323.03	329.84	316.37	301.33	373.81	878.17	981.29	1001.93	1015.93	915.51	1044.52
MOB1A	1583.71	1757.34	2240.11	934.76	2119.22	1674.06	4010.71	1015.93	185.11	228.13	320.8	406.31	220.32	384.34	764.36	703.28	392.44	532.74	361.04	486.75	497.0	503.95	454.09	743.43	791.35	769.69	802.41	1498.22	769.69
MT1G	14867.79	5441.3	246.28	928.3	1819.35	31.67	1015.93	2156109.97	563.18	184082.4	1063212.58	3290783.22	419990.32	2786455.11	1656835.72	4079609.54	1093103.58	2039804.27	1026995.62	2126426.15	1221310.69	4342214.81	1308968.45	1838374.44	1327240.99	1078054.48	1318073.06	496005.67	3601083.44
NAA15	363.56	921.88	884.29	575.03	769.69	567.1	1242.34	191.67	96.68	31.22	82.29	90.14	81.71	81.14	353.59	107.38	99.43	204.07	82.87	101.54	129.69	136.19	133.36	223.41	163.28	162.14	167.9	239.52	141.02
NAA25	208.38	473.41	651.58	303.44	363.56	293.07	579.04	84.63	57.89	29.06	63.45	92.05	43.02	45.21	137.14	66.18	38.67	109.66	53.19	32.13	46.18	48.87	76.71	123.5	163.28	155.5	169.07	144.01	131.51
NAA35	753.83	808.0	480.04	395.18	638.15	438.59	674.59	189.02	53.57	72.01	120.1	166.73	49.21	100.13	303.44	126.12	99.43	249.73	90.77	114.36	98.04	100.83	144.01	253.23	271.48	281.09	376.41	255.0	368.65
NCBP1	738.29	860.08	540.19	1044.52	769.69	579.04	463.65	244.57	118.43	163.28	193.01	348.71	438.59	175.07	371.22	161.02	202.66	339.14	403.5	221.86	149.12	204.07	348.71	279.14	412.0	339.14	351.14	353.59	318.57
NCKAP1	2255.7	3928.15	2739.08	3491.39	2720.15	1697.45	4481.23	1572.76	205.5	303.44	493.56	591.22	189.02	389.72	1417.35	669.92	490.14	743.43	470.14	583.07	426.57	656.11	511.0	1286.18	1697.45	1605.83	1340.84	1832.01	1685.71
NCL	21172.91	22535.88	12415.75	14867.79	13681.08	10808.41	13681.08	3955.48	3742.05	2537.92	3018.3	2627.46	2591.27	3742.05	8658.09	4358.66	3955.48	6792.79	3039.3	4328.55	4575.41	3847.29	3395.89	5633.22	5672.41	7081.29	6745.86	7537.18	6516.03
NEDD1	470.14	258.57	866.07	395.18	450.94	403.5	796.86	145.02	29.91	17.9	37.05	64.34	17.64	45.21	114.36	84.04	39.79	116.78	42.11	53.57	86.43	84.63	44.89	176.29	146.03	190.34	201.25	265.87	126.12
NFKB1	1277.29	941.27	567.1	733.19	529.06	1208.34	1250.98	567.1	139.07	162.14	260.38	260.38	177.53	309.83	514.56	463.65	249.73	275.28	251.48	429.54	297.17	341.51	343.89	543.96	511.0	511.0	525.39	961.07	463.65
NHLRC2	136.19	138.1	190.34	132.44	223.41	162.14	267.73	59.97	25.91	34.75	115.16	77.79	27.25	40.36	110.43	127.89	47.84	81.14	89.51	69.03	35.76	86.43	116.78	92.05	149.12	125.24	128.79	178.77	127.0
NOC3L	246.28	379.04	221.86	389.72	343.89	353.59	435.55	154.42	100.13	17.38	81.14	80.57	90.77	75.11	242.88	87.03	74.58	130.6	87.03	88.88	100.83	73.03	120.94	159.9	248.0	271.48	316.37	165.57	208.38
NUP160	796.86	1059.11	647.07	1183.45	759.08	830.75	872.1	267.73	144.01	115.16	150.17	218.79	75.64	136.19	473.41	190.34	104.42	277.2	181.28	147.06	199.85	115.97	211.31	303.44	480.04	497.0	525.39	551.56	447.82
NUP98	1487.87	1781.89	1594.73	921.88	1242.34	1119.56	1143.1	490.14	616.37	500.46	511.0	780.44	493.56	486.75	775.05	575.03	532.74	921.88	612.11	567.1	529.06	490.14	525.39	808.0	921.88	884.29	902.89	909.17	759.08
POLE3	3690.52	2485.67	1477.58	1950.0	1733.13	1437.15	1662.49	1088.92	329.84	518.15	444.72	336.79	447.82	629.35	878.17	529.06	616.37	1059.11	463.65	587.13	603.67	543.96	476.71	688.78	684.02	567.1	660.68	836.53	660.68
POLR1B	819.3	503.95	616.37	633.73	536.45	379.04	454.09	194.36	169.07	125.24	99.43	93.35	164.42	171.45	420.68	283.05	187.71	165.57	163.28	194.36	124.37	194.36	193.01	318.57	356.05	291.04	299.25	361.04	234.57
PPP6C	2178.83	1519.15	1769.57	1857.6	1794.29	1417.35	1295.13	718.08	279.14	624.99	616.37	543.96	444.72	579.04	1059.11	624.99	620.67	934.76	612.11	703.28	684.02	703.28	607.87	967.76	909.17	1151.06	928.3	1216.75	1216.75
PRPF4	1477.58	796.86	808.0	587.13	759.08	486.75	656.11	358.54	138.1	190.34	190.34	215.77	157.68	175.07	314.17	199.85	162.14	915.51	157.68	214.27	220.32	251.48	181.28	275.28	273.37	262.2	406.31	373.81	297.17
PTPN11	796.86	1508.65	1870.53	1277.29	1651.0	1037.29	1709.26	698.41	334.46	291.04	633.73	432.53	293.07	376.41	665.29	579.04	511.0	679.29	295.11	532.74	420.68	463.65	420.68	713.11	733.19	866.07	693.58	1037.29	684.02
PUS7L	178.77	136.19	429.54	161.02	180.02	211.31	269.6	32.59	23.42	4.74	19.82	26.1	6.21	19.39	71.5	33.06	16.88	36.27	16.51	27.25	15.8	27.64	36.27	60.39	64.34	74.06	82.87	99.43	55.1
PWP1	1950.0	1268.46	1304.15	1051.79	1268.46	890.44	1322.37	647.07	540.19	341.51	426.57	486.75	318.57	511.0	884.29	563.18	348.71	808.0	423.61	555.41	435.55	454.09	500.46	612.11	693.58	698.41	748.61	642.59	708.18
RAP1GDS1	1674.06	1519.15	698.41	543.96	878.17	1059.11	830.75	341.51	141.02	194.36	182.55	187.71	130.6	275.28	607.87	447.82	265.87	392.44	305.55	860.08	320.8	500.46	332.14	341.51	460.44	450.94	332.14	507.46	368.65
RBM12	854.13	1127.35	1167.14	1233.75	1662.49	1639.59	1540.37	341.51	116.78	107.38	140.04	202.66	111.21	117.6	361.04	180.02	181.28	444.72	178.77	283.05	206.94	128.79	182.55	323.03	703.28	511.0	743.43	612.11	486.75
RBM18	854.13	642.59	688.78	647.07	1286.18	571.05	346.29	239.52	98.73	85.22	187.71	173.85	88.88	96.01	217.27	147.06	132.44	329.84	129.69	199.85	262.2	189.02	163.28	392.44	229.72	295.11	215.77	363.56	244.57
RC3H2	651.58	511.0	547.75	591.22	629.35	450.94	486.75	197.09	84.04	102.97	115.16	255.0	108.14	89.51	275.28	152.28	133.36	185.11	183.82	125.24	199.85	167.9	170.25	242.88	267.73	269.6	228.13	325.29	258.57
RMI1	483.38	323.03	518.15	343.89	603.67	400.71	241.19	58.3	21.78	11.21	70.51	25.35	45.85	44.89	62.56	40.07	49.21	25.91	90.14	46.18	73.54	57.49	82.29	108.14	127.89	115.97	110.43	170.25	115.16
RNF20	947.83	890.44	1331.57	1216.75	1044.52	825.0	665.29	363.56	92.7	170.25	144.01	172.65	138.1	191.67	426.57	327.56	201.25	269.6	193.01	426.57	152.28	249.73	264.03	620.67	435.55	555.41	536.45	884.29	490.14
SBNO1	264.03	884.29	647.07	295.11	543.96	395.18	836.53	172.65	95.34	42.71	86.43	66.65	53.57	60.82	194.36	156.59	107.38	201.25	85.82	138.1	61.25	90.14	121.79	341.51	273.37	260.38	318.57	438.59	271.48
SMC2	579.04	559.28	988.12	733.19	555.41	307.69	420.68	130.6	13.22	15.45	27.44	29.91	13.72	37.85	70.51	49.56	29.48	56.68	25.54	70.51	63.45	48.87	25.17	104.42	97.36	126.12	103.69	163.28	107.38
SMC3	1199.98	1216.75	1447.15	1059.11	1936.53	1073.91	1233.75	312.0	131.51	73.54	182.55	187.71	152.28	228.13	723.08	368.65	170.25	269.6	255.0	279.14	260.38	277.2	193.01	476.71	547.75	599.49	603.67	825.0	551.56
SNX30	111.99	314.17	403.5	139.07	255.0	234.57	239.52	327.56	13.83	39.5	33.78	77.25	24.46	108.14	95.34	98.04	53.57	52.82	56.68	78.34	44.89	68.55	63.45	57.49	62.12	62.12	54.72	115.16	51.35
SNX6	1977.24	1427.22	1950.0	1508.65	4239.45	1721.16	3794.3	753.83	301.33	248.0	444.72	503.95	289.02	551.56	921.88	660.68	473.41	698.41	414.87	738.29	647.07	679.29	555.41	1151.06	884.29	902.89	860.08	1662.49	878.17
SPATA5	88.88	134.3	134.3	67.12	108.9	105.89	102.97	39.22	11.04	10.24	11.55	21.01	8.58	7.4	23.76	10.24	25.91	32.13	21.63	12.09	27.84	14.14	15.68	45.53	33.06	33.06	32.82	42.41	27.64
SPTLC1	1059.11	2119.22	2645.74	1857.6	1896.65	1407.55	3146.52	1397.83	79.45	229.72	295.11	473.41	146.03	358.54	813.63	441.64	170.25	575.03	309.83	486.75	137.14	318.57	314.17	995.0	1242.34	1313.23	1259.69	1857.6	1250.98
STAG1	320.8	753.83	490.14	616.37	543.96	457.25	547.75	190.34	44.25	54.72	77.79	204.07	46.5	103.69	271.48	115.16	122.64	104.42	88.26	108.9	126.12	81.14	115.16	307.69	376.41	289.02	232.94	454.09	241.19
STRBP	866.07	1304.15	1561.89	738.29	1832.01	1088.92	392.44	384.34	70.01	71.5	148.09	151.22	277.2	163.28	190.34	175.07	85.22	173.85	142.01	154.42	107.38	211.31	198.47	543.96	583.07	647.07	511.0	567.1	769.69
STX17	303.44	305.55	460.44	713.11	366.09	444.72	301.33	165.57	72.01	146.03	151.22	256.78	89.51	138.1	406.31	224.97	170.25	358.54	173.85	202.66	163.28	164.42	277.2	177.53	336.79	251.48	271.48	476.71	264.03
TEX10	819.3	872.1	473.41	872.1	480.04	403.5	791.35	236.21	66.65	57.89	118.43	173.85	73.03	107.38	211.31	85.22	143.01	220.32	144.01	68.07	132.44	117.6	108.9	267.73	314.17	277.2	336.79	307.69	251.48
TMEM209	341.51	909.17	738.29	414.87	1662.49	540.19	283.05	279.14	95.34	66.18	105.15	64.34	87.65	81.71	318.57	114.36	62.12	209.84	122.64	122.64	138.1	130.6	139.07	241.19	264.03	297.17	314.17	343.89	246.28
TRAF7	2240.11	5112.16	2555.58	884.29	1397.83	1733.13	1617.0	1508.65	500.46	819.3	332.14	414.87	651.58	669.92	521.76	511.0	759.08	728.11	325.29	693.58	599.49	575.03	679.29	947.83	848.22	616.37	718.08	860.08	775.05
TRIM44	679.29	872.1	1096.5	928.3	1397.83	1806.78	738.29	417.77	224.97	277.2	234.57	262.2	87.65	242.88	559.28	480.04	195.72	543.96	351.14	591.22	177.53	289.02	285.03	414.87	529.06	373.81	493.56	1159.07	366.09
TRIM59	289.02	571.05	348.71	348.71	208.38	271.48	518.15	63.45	10.24	13.03	10.24	15.91	2.61	2.32	5.5	22.43	14.67	3.17	3.14	13.32	14.35	20.26	9.78	24.99	34.51	28.24	23.93	25.54	44.89
TTC26	269.6	209.84	178.77	221.86	543.96	190.34	170.25	236.21	13.42	8.19	23.93	23.25	5.54	14.89	38.12	43.02	11.82	43.94	17.51	24.11	29.06	14.45	14.89	96.68	81.71	117.6	96.68	127.89	128.79
UBQLN1	3124.78	2816.11	3589.58	1745.2	3349.13	1806.78	2758.13	1104.13	343.89	660.68	660.68	607.87	575.03	819.3	2104.58	1191.69	848.22	1191.69	718.08	1051.79	1081.39	848.22	1233.75	954.43	1143.1	1233.75	1088.92	1397.83	890.44
UTP20	246.28	466.88	356.05	346.29	182.55	267.73	361.04	92.7	32.82	20.11	25.54	34.02	24.81	24.28	120.94	45.21	20.86	85.22	37.59	36.53	27.84	34.75	46.18	116.78	82.29	71.0	97.36	98.73	50.98
VTI1A	480.04	269.6	314.17	244.57	256.78	353.59	470.14	205.5	127.0	98.73	98.73	135.24	49.56	134.3	161.02	145.02	138.1	214.27	124.37	115.16	113.56	112.77	120.1	218.79	224.97	264.03	232.94	323.03	231.32
WDR35	155.5	444.72	155.5	242.88	204.07	226.54	110.43	153.34	16.39	13.93	16.75	33.3	12.93	11.91	59.55	36.53	27.05	97.36	22.92	25.54	27.64	12.45	47.5	167.9	153.34	195.72	186.4	228.13	191.67
ZMYND11	2018.8	1923.14	2240.11	961.07	1794.29	1313.23	1030.12	854.13	164.42	220.32	343.89	493.56	251.48	316.37	896.64	480.04	403.5	532.74	438.59	497.0	483.38	454.09	620.67	1923.14	1870.53	2004.85	1709.26	2335.28	2018.8
