	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G4.6315.01A.11R.1723.07	TCGA.5M.AAT4.01A.11R.A41B.07	TCGA.QG.A5YX.01A.11R.A28H.07	TCGA.DM.A0X9.01A.11R.A155.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.A6.6650.01A.11R.1774.07	TCGA.L5.A88V.01A.11R.A354.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.R6.A8W8.01B.11R.A37I.31	TCGA.2H.A9GM.01A.11R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.139T6.0626.SM.5IFF9	TCGA.B0.4696.01A.01R.1277.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CLTB	50709.61	81244.48	3146.52	2104.58	2956.17	2133.97	2935.74	2485.67	2796.65	14065.74	7966.99	7642.41	7537.18	7081.29	16269.83	15499.21	11112.3	759.08	0.0	1.04	19892.37	5913.33	37901.36	17558.94	8022.41	24321.43	30361.44	43236.64
COMP	480.04	1369.04	17.0	110.43	15.8	34.51	0.0	23.25	111.21	429.54	36.53	162.14	9.7	24.46	38.12	13.52	211.31	42.11	0.0	0.6	363.56	151.22	332.14	180.02	341.51	146.03	57.89	854.13
CRYBG3	974.5	2004.85	204.07	161.02	182.55	182.55	175.07	229.72	186.4	291.04	220.32	366.09	152.28	165.57	432.53	395.18	329.84	201.25	0.0	0.59	435.55	341.51	417.77	307.69	336.79	412.0	403.5	334.46
CYP2C18	35363.15	62431.08	13.42	1.79	66.18	17.51	0.0	18.29	16.51	358.54	607.87	239.52	120.1	171.45	567.1	242.88	995.0	5.82	0.0	0.0	10585.95	733.19	18950.18	8963.45	1651.0	8421.31	8363.13	9344.14
DAPL1	397335.0	581732.96	32.82	29.06	33.3	109.66	5.92	5.77	110.43	7642.41	1277.29	6652.97	27.64	137.14	16496.96	19082.0	6471.02	3.79	0.0	0.25	39237.98	1583.71	24660.96	21172.91	11745.96	163620.18	42346.82	269512.87
DBX2	1.36	47.5	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.64	0.0	1.22	0.0	0.0	1.36	0.26	0.51	0.0	0.0	0.0	3.03	0.04	0.08	3.03	6.16	1.62	1.41	0.0
DLX3	2119.22	2047.0	19.53	13.03	1.97	1.38	11.55	0.95	22.43	69.03	34.02	120.94	5.23	17.9	77.25	111.99	107.38	1.85	0.0	0.1	854.13	74.06	1628.26	262.2	249.73	356.05	1519.15	775.05
EPHX3	906531.99	1383603.33	3.82	9.78	10.47	7.46	1.66	8.0	264.03	9279.58	1909.85	3467.27	500.46	444.72	9344.14	19754.96	1233.75	2.53	0.0	0.44	22380.2	753.83	39785.74	13586.57	1561.89	29943.43	38164.99	63742.91
ETNK2	314.17	15180.22	108.14	118.43	7.17	27.25	53.95	23.76	50.27	341.51	102.97	167.9	43.32	94.67	563.18	890.44	409.15	13.93	0.0	0.66	4095.0	414.87	4575.41	3540.14	423.61	7642.41	4607.24	5872.48
ETV3	1037.29	1447.15	115.97	191.67	171.45	212.78	109.66	201.25	229.72	277.2	316.37	366.09	234.57	361.04	178.77	214.27	409.15	220.32	136.19	134.3	603.67	293.07	890.44	463.65	480.04	651.58	616.37	825.0
FADS6	753.83	1857.6	0.0	1.38	1.33	0.0	0.49	5.11	2.71	84.04	11.64	63.0	1.14	57.89	60.82	78.89	94.67	0.93	0.0	0.0	395.18	12.18	500.46	92.05	27.05	688.78	1685.71	255.0
FBXW9	273.37	669.92	248.0	231.32	191.67	202.66	204.07	191.67	61.68	314.17	264.03	182.55	211.31	223.41	231.32	376.41	256.78	104.42	0.0	0.0	193.01	295.11	239.52	400.71	318.57	258.57	318.57	318.57
FLRT3	171.45	1769.57	45.21	2.05	5.63	52.82	1.6	15.8	11.38	13.52	18.97	22.59	22.43	13.52	6.46	9.93	208.38	1.3	0.0	0.02	928.3	63.0	165.57	679.29	144.01	511.0	76.17	836.53
FSTL4	11.82	819.3	7.17	2.39	0.0	3.66	5.77	0.65	5.63	96.68	26.86	61.68	6.26	3.5	81.14	52.45	23.08	0.32	0.0	0.19	8.0	100.13	555.41	44.25	224.97	15.8	171.45	92.7
GM2A	28328.16	12764.83	248.0	353.59	327.56	351.14	260.38	361.04	271.48	1709.26	738.29	1551.09	368.65	540.19	2240.11	1745.2	1883.54	444.72	0.0	0.23	4123.49	1127.35	4543.8	2400.97	1769.57	3820.7	3614.55	7230.1
GSTA4	6037.61	38966.94	224.97	325.29	647.07	403.5	122.64	133.36	397.93	728.11	460.44	836.53	241.19	507.46	1015.93	1340.84	3540.14	406.31	0.0	0.3	8305.36	1143.1	10659.59	4481.23	2255.7	10368.08	8247.98	17681.08
HK1	3716.2	3690.52	961.07	974.5	896.64	872.1	974.5	866.07	1407.55	3467.27	1923.14	2816.11	896.64	1191.69	3540.14	4095.0	4836.35	583.07	921.88	119.26	5633.22	2796.65	7081.29	4543.8	3280.18	7180.15	6037.61	7589.61
HS3ST4	84.63	358.54	0.0	0.0	0.0	0.73	0.0	0.68	0.0	2.68	0.56	3.79	0.0	0.0	3.35	0.21	10.47	0.0	0.0	0.0	14.45	21.78	16.27	6.26	15.45	1.89	0.8	0.0
HTR3A	12.09	480.04	3.38	1.25	0.0	0.0	2.86	1.22	5.02	4.21	13.62	1.03	1.23	3.26	0.18	31.9	4.58	0.0	0.0	0.24	176.29	6.94	107.38	108.14	12.93	38.12	136.19	33.06
IL36RN	17078.76	44452.21	0.0	4.94	1.07	1.77	0.0	2.63	224.97	486.75	384.34	1331.57	148.09	764.36	3235.01	1135.2	293.07	0.0	0.0	0.34	8658.09	921.88	7537.18	5633.22	1757.34	3039.3	7911.95	24490.61
ISM1	158.79	309.83	5.06	16.51	0.0	11.3	1.83	3.29	40.93	295.11	69.52	104.42	20.41	55.1	116.78	61.68	167.9	5.68	0.0	0.43	167.9	102.97	105.89	193.01	149.12	47.5	78.34	201.25
ITPRIP	3443.31	5041.77	89.51	316.37	88.88	132.44	96.68	177.53	307.69	1259.69	679.29	954.43	183.82	432.53	1369.04	1378.57	909.17	327.56	0.0	0.39	1359.57	412.0	2434.5	1233.75	802.41	1883.54	1781.89	2209.26
KAT5	1088.92	1721.16	693.58	1066.48	825.0	896.64	954.43	693.58	780.44	1151.06	1088.92	1159.07	775.05	954.43	934.76	1175.27	1008.9	575.03	0.0	0.33	1111.82	1081.39	1572.76	1151.06	981.29	1487.87	1015.93	1457.23
KCNRG	29.27	111.21	5.63	18.43	14.56	8.85	3.72	14.67	11.91	49.21	15.0	20.71	22.59	19.97	29.91	30.12	22.59	4.39	0.0	0.0	29.27	21.32	53.95	18.16	27.84	50.63	35.0	20.41
KLF6	1216.75	8247.98	703.28	723.08	1617.0	633.73	1159.07	1923.14	669.92	2018.8	2537.92	1519.15	1594.73	1437.15	1870.53	2720.15	1896.65	420.68	1447.15	780.44	2271.4	1073.91	4937.99	3168.41	3794.3	2627.46	2018.8	1583.71
KLK10	1364554.84	282912.21	10.47	947.83	221.86	532.74	9.2	86.43	3768.09	13586.57	4836.35	13399.51	2816.11	2119.22	38430.46	60723.88	12415.75	7.46	0.0	0.28	71714.63	7642.41	242898.5	39785.74	26614.89	75280.1	118127.7	284880.02
KRT4	3.697379928E7	1656835.72	0.0	25.54	49.91	4.28	0.0	0.0	92680.9	1.810644424E7	2263304.65	6140819.49	72715.74	33455.53	2.276004283E7	3.109113511E7	303217.87	6.94	0.0	0.0	1.236706555E7	2053992.24	2.900905474E7	1.236706555E7	1727194.55	2.213766823E7	1.887534821E7	2.10891839E7
L3MBTL4	353.59	753.83	4.98	8.71	2.58	45.21	1.33	29.06	3.63	32.13	12.64	24.11	7.22	11.55	43.94	62.12	190.34	4.5	0.0	0.45	105.89	20.56	149.12	75.64	50.63	269.6	387.02	208.38
LYPLAL1	759.08	3325.99	616.37	208.38	486.75	718.08	303.44	356.05	373.81	591.22	460.44	575.03	346.29	466.88	703.28	450.94	796.86	679.29	0.0	0.39	1407.55	529.06	684.02	860.08	743.43	1151.06	967.76	1427.22
MMRN1	42.11	1561.89	10.79	0.82	3.2	16.39	0.0	4.1	12.74	82.87	62.56	95.34	5.54	11.21	31.9	79.45	187.71	2.51	0.0	0.27	176.29	40.93	703.28	412.0	414.87	154.42	116.78	493.56
MTSS1	2209.26	6426.31	197.09	85.82	232.94	176.29	152.28	129.69	256.78	1023.0	575.03	915.51	255.0	669.92	947.83	1066.48	1216.75	43.63	0.0	0.92	1388.16	638.15	2148.82	1417.35	748.61	1340.84	1044.52	1044.52
NIPAL4	8840.04	8963.45	5.82	16.03	3.59	3.96	0.87	3.0	133.36	536.45	299.25	540.19	109.66	343.89	718.08	559.28	432.53	21.01	0.0	0.39	3372.43	232.94	7230.1	1216.75	915.51	1508.65	3742.05	8191.0
NSG1	15499.21	38697.77	53.19	25.35	35.76	43.32	16.63	108.9	79.45	1388.16	420.68	928.3	55.49	212.78	1605.83	1628.26	1286.18	127.89	0.0	0.25	4836.35	1295.13	10368.08	1757.34	316.37	1977.24	4736.79	9876.98
PARD6G	1896.65	2502.97	19.97	48.18	19.11	59.97	40.07	17.0	94.01	532.74	293.07	540.19	112.77	343.89	579.04	507.46	460.44	13.62	0.0	0.56	713.11	293.07	1857.6	796.86	366.09	1733.13	928.3	1519.15
PLA2G4E	167058.21	20881.4	7.82	4.58	3.96	2.68	1.99	9.13	57.08	112.77	105.89	86.43	70.51	275.28	175.07	205.5	49.91	0.0	0.0	0.0	2796.65	77.79	11424.74	909.17	595.34	1950.0	1870.53	3212.66
PRKX	1540.37	3742.05	133.36	336.79	141.02	353.59	187.71	473.41	361.04	563.18	366.09	743.43	409.15	620.67	473.41	511.0	607.87	53.19	341.51	607.87	1001.93	161.02	1745.2	507.46	660.68	825.0	1225.22	796.86
PTPN13	3614.55	2119.22	26.47	111.99	15.34	127.0	85.22	59.55	102.25	397.93	190.34	624.99	111.21	199.85	503.95	529.06	878.17	12.93	0.0	0.2	1651.0	303.44	2104.58	1111.82	551.56	1639.59	1407.55	2178.83
RND3	4802.93	9540.5	295.11	444.72	503.95	275.28	612.11	718.08	836.53	1991.0	878.17	2997.45	567.1	1378.57	2209.26	3955.48	1909.85	872.1	0.0	0.62	3874.05	1127.35	4388.98	4298.64	2240.11	3768.09	3690.52	4512.4
RSPO1	16.88	195.72	0.92	1.39	1.81	0.99	0.0	0.93	3.79	33.3	22.59	8.85	2.46	4.17	8.78	17.64	46.84	0.0	0.0	0.06	44.89	5.68	67.12	35.0	84.63	18.84	28.45	49.91
SGK1	3419.52	16157.44	291.04	69.03	124.37	130.6	50.63	157.68	381.68	961.07	902.89	1015.93	507.46	497.0	878.17	813.63	3395.89	361.04	0.0	0.46	2855.44	1477.58	4095.0	3716.2	5147.73	3794.3	3690.52	4038.61
SLC10A6	9474.59	5329.3	8.25	7.82	4.35	1.81	1.17	7.11	19.25	307.69	80.57	191.67	19.82	94.67	190.34	291.04	297.17	0.64	0.0	0.16	1044.52	111.99	2502.97	271.48	329.84	1096.5	486.75	1304.15
SLC34A1	19.25	64.8	0.0	0.89	0.57	1.3	1.07	0.27	1.27	10.96	0.0	11.04	0.92	0.53	6.26	10.96	3.63	0.0	0.0	0.06	11.47	4.58	24.28	13.72	3.14	41.22	7.69	24.46
SLC9A9	718.08	934.76	10.24	14.03	13.42	16.51	3.92	17.13	57.08	262.2	152.28	275.28	96.01	108.9	332.14	389.72	260.38	16.39	0.0	0.54	860.08	75.11	753.83	599.49	248.0	813.63	616.37	813.63
SMPDL3A	708.18	1769.57	214.27	35.5	125.24	46.5	309.83	76.71	231.32	229.72	371.22	199.85	236.21	149.12	195.72	190.34	392.44	26.47	0.0	0.61	928.3	599.49	1096.5	819.3	346.29	555.41	921.88	808.0
SUSD4	59474.18	50359.33	2.92	8.32	0.84	3.29	0.46	1.53	30.12	808.0	77.25	514.56	26.86	73.54	878.17	1216.75	1721.16	12.64	0.0	0.38	2018.8	723.08	11992.79	3794.3	2976.74	11827.67	3146.52	5517.27
SYNGR1	1331.57	4298.64	54.33	29.91	13.12	24.63	7.51	15.22	173.85	738.29	371.22	507.46	111.21	275.28	733.19	1331.57	1331.57	17.77	0.0	0.67	392.44	320.8	2255.7	1350.18	1781.89	2018.8	2400.97	2758.13
TLE4	265.87	2090.03	75.11	47.84	85.82	95.34	43.94	100.13	108.14	356.05	361.04	483.38	176.29	234.57	379.04	500.46	698.41	264.03	0.0	0.68	713.11	249.73	1015.93	764.36	314.17	928.3	703.28	902.89
UBE2E3	2133.97	4937.99	1242.34	1037.29	1617.0	1216.75	1023.0	1030.12	1529.73	1096.5	1322.37	1427.22	854.13	1216.75	1183.45	902.89	1378.57	1268.46	0.0	0.91	2701.35	1721.16	2209.26	1427.22	1857.6	1870.53	1963.57	2090.03
WFDC5	5041.77	16383.0	0.0	0.0	8.25	1.07	0.89	0.0	37.59	366.09	95.34	214.27	46.84	275.28	348.71	141.02	454.09	0.0	0.0	0.18	1685.71	332.14	5594.3	476.71	361.04	866.07	1119.56	3039.3
WLS	2777.33	4903.87	909.17	669.92	1008.9	417.77	1081.39	854.13	684.02	1175.27	1508.65	981.29	974.5	967.76	708.18	780.44	1304.15	2777.33	0.0	0.82	2255.7	1369.04	3614.55	3235.01	1477.58	2875.3	1769.57	2075.59
ZBTB7C	14262.1	13872.08	46.5	14.67	90.77	127.0	8.13	33.3	59.97	902.89	579.04	563.18	58.3	100.13	1059.11	1088.92	1457.23	3.79	0.0	0.39	1977.24	1457.23	6337.83	3103.19	1769.57	3491.39	3190.46	5633.22
ZNF430	547.75	743.43	73.03	68.55	67.59	74.58	44.89	70.01	30.56	145.02	78.89	79.45	106.63	95.34	171.45	131.51	165.57	52.45	0.0	0.4	226.54	92.05	256.78	135.24	108.14	224.97	258.57	162.14
ZNF57	325.29	995.0	136.19	144.01	201.25	98.73	92.05	108.9	36.01	134.3	98.73	112.77	112.77	56.28	88.26	157.68	314.17	41.22	0.0	0.17	336.79	98.04	473.41	246.28	221.86	371.22	373.81	454.09
