	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WZTO.1726.SM.4PQYV	GTEX.11GSP.1726.SM.5A5LI	GTEX.11O72.1926.SM.5PNW1	TCGA.KL.8332.11A.01R.2315.07	GTEX.12WSG.0826.SM.5EQ5A	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.117YW.0526.SM.5H11C	GTEX.13N1W.2026.SM.5K7YU	GTEX.1269C.0226.SM.5EGKS	GTEX.11ZTS.1126.SM.5LU9X	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.148VJ.0726.SM.5LU8J	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.13FHO.0926.SM.5N9EW	GTEX.13OVI.0826.SM.5KLZ8	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
DOLK	131.51	48.18	108.14	120.1	75.11	297.17	441.64	121.79	303.44	285.03	336.79	435.55	348.71	307.69	320.8	309.83	417.77	423.61	356.05	435.55	429.54	435.55	423.61	493.56	493.56	127.0	60.82	111.99	130.6	144.01	273.37	221.86	151.22	255.0	176.29	171.45	236.21	191.67	320.8
ECHDC3	37.05	90.14	67.59	64.8	65.26	5913.33	1617.0	128.79	2178.83	808.0	3212.66	3257.52	3060.45	3820.7	2468.49	3540.14	2271.4	2271.4	3395.89	3325.99	2701.35	2758.13	2796.65	3081.75	2956.17	54.72	3.99	231.32	249.73	432.53	825.0	769.69	314.17	624.99	299.25	536.45	551.56	281.09	698.41
EMC3	688.78	555.41	753.83	674.59	860.08	3443.31	2303.12	1044.52	1417.35	1781.89	2816.11	2271.4	2090.03	2224.63	1991.0	2956.17	2335.28	2075.59	2434.5	2075.59	2400.97	2400.97	2271.4	2148.82	2434.5	624.99	902.89	1427.22	1250.98	2061.24	2133.97	1745.2	1340.84	1909.85	1427.22	1697.45	1844.76	1407.55	2591.27
GLB1L2	72.52	131.51	94.01	96.01	100.13	571.05	1225.22	208.38	320.8	547.75	1081.39	1066.48	693.58	753.83	1051.79	764.36	1001.93	995.0	1143.1	1359.57	1159.07	1008.9	988.12	1268.46	1183.45	40.64	307.69	660.68	500.46	466.88	616.37	651.58	450.94	1001.93	1081.39	500.46	902.89	703.28	830.75
GPX3	18560.17	9215.48	2384.37	23656.34	24153.43	783730.52	355624.68	18689.27	336441.4	492579.5	736332.6	641014.63	417089.23	517068.97	482442.34	561916.97	472513.8	453265.5	772940.66	711250.37	668235.84	767601.56	524287.0	577714.63	696613.03	9344.14	22692.63	52863.07	43840.21	546551.29	499455.67	419990.32	170568.48	405683.88	338781.54	163620.18	428815.23	249727.34	513497.31
HOMEZ	127.0	112.77	113.56	146.03	113.56	214.27	457.25	178.77	144.01	145.02	403.5	341.51	414.87	423.61	389.72	339.14	466.88	303.44	325.29	339.14	361.04	353.59	336.79	409.15	387.02	99.43	205.5	165.57	239.52	353.59	351.14	379.04	228.13	287.01	323.03	241.19	314.17	221.86	351.14
JAGN1	348.71	194.36	297.17	336.79	400.71	1340.84	830.75	351.14	543.96	490.14	890.44	854.13	753.83	890.44	684.02	1059.11	780.44	698.41	813.63	723.08	909.17	813.63	802.41	854.13	896.64	256.78	269.6	414.87	289.02	426.57	738.29	612.11	403.5	603.67	571.05	429.54	483.38	336.79	836.53
LCMT2	63.0	76.17	41.22	105.15	53.95	120.94	277.2	60.82	130.6	543.96	156.59	180.02	195.72	158.79	178.77	157.68	194.36	165.57	132.44	122.64	170.25	221.86	215.77	204.07	199.85	41.22	21.78	81.14	97.36	88.26	206.94	143.01	90.14	193.01	155.5	107.38	124.37	102.97	209.84
LRPAP1	1991.0	1639.59	1721.16	1896.65	2178.83	5872.48	6250.56	1561.89	3395.89	3742.05	5219.6	4543.8	5517.27	4010.71	5954.47	7382.04	5479.15	5995.9	7695.57	7230.1	6337.83	7130.55	5292.48	7032.37	7180.15	2468.49	2178.83	2537.92	1781.89	3039.3	3325.99	3018.3	1844.76	3614.55	3639.7	2682.69	2739.08	2520.38	3874.05
MAD2L1BP	231.32	172.65	163.28	229.72	201.25	543.96	647.07	262.2	358.54	638.15	507.46	457.25	529.06	529.06	423.61	567.1	511.0	426.57	441.64	414.87	476.71	514.56	587.13	473.41	514.56	283.05	94.01	353.59	358.54	351.14	470.14	438.59	320.8	486.75	412.0	361.04	483.38	325.29	529.06
MOAP1	493.56	507.46	543.96	500.46	620.67	1059.11	1259.69	271.48	848.22	1175.27	769.69	961.07	1081.39	854.13	954.43	884.29	896.64	830.75	890.44	896.64	802.41	890.44	830.75	796.86	836.53	316.37	521.76	463.65	438.59	759.08	878.17	848.22	728.11	599.49	486.75	414.87	890.44	426.57	981.29
MRPL49	633.73	575.03	563.18	642.59	693.58	4239.45	2319.15	463.65	1250.98	1662.49	2682.69	2004.85	2209.26	2777.33	1923.14	3325.99	1709.26	1819.35	2133.97	2018.8	2018.8	2075.59	2075.59	1963.57	2104.58	708.18	551.56	830.75	785.88	1369.04	1583.71	1388.16	791.35	1407.55	1304.15	1073.91	1457.23	1051.79	1909.85
MRPL50	224.97	206.94	162.14	150.17	195.72	426.57	358.54	199.85	309.83	287.01	368.65	341.51	353.59	432.53	361.04	395.18	341.51	244.57	293.07	217.27	339.14	318.57	303.44	237.86	312.0	186.4	72.52	201.25	236.21	169.07	239.52	221.86	194.36	273.37	202.66	185.11	190.34	141.02	239.52
MRPS35	341.51	387.02	389.72	287.01	363.56	3018.3	1870.53	460.44	1259.69	1594.73	2468.49	1923.14	2090.03	2682.69	2163.77	2502.97	1662.49	1378.57	2004.85	1857.6	1745.2	2032.85	1923.14	1583.71	1745.2	275.28	212.78	656.11	500.46	559.28	836.53	796.86	466.88	791.35	703.28	603.67	642.59	563.18	848.22
NARS2	167.9	173.85	258.57	178.77	159.9	612.11	536.45	197.09	329.84	273.37	486.75	432.53	490.14	651.58	583.07	595.34	486.75	406.31	450.94	376.41	334.46	381.68	403.5	285.03	500.46	180.02	31.67	289.02	307.69	343.89	309.83	223.41	194.36	336.79	361.04	285.03	208.38	264.03	303.44
NIPSNAP1	275.28	228.13	356.05	236.21	242.88	4903.87	2178.83	624.99	2434.5	2193.99	4704.07	3820.7	3614.55	4512.4	3190.46	3982.99	2875.3	3124.78	4038.61	3874.05	4038.61	3768.09	3325.99	3955.48	3901.01	381.68	166.73	620.67	507.46	780.44	878.17	909.17	387.02	866.07	909.17	743.43	684.02	660.68	866.07
PANK1	22.1	17.0	62.12	25.54	23.93	1295.13	575.03	48.87	209.84	249.73	1322.37	954.43	1167.14	1096.5	981.29	1233.75	909.17	559.28	1096.5	884.29	1119.56	947.83	684.02	909.17	961.07	17.38	24.81	157.68	91.41	144.01	295.11	373.81	67.59	167.9	181.28	69.03	212.78	46.84	224.97
PNPLA4	194.36	154.42	198.47	99.43	141.02	1896.65	909.17	204.07	624.99	599.49	1208.34	872.1	878.17	1225.22	743.43	2367.9	802.41	866.07	1051.79	974.5	896.64	1388.16	848.22	1674.06	1572.76	77.79	63.89	406.31	463.65	361.04	775.05	587.13	244.57	830.75	647.07	376.41	547.75	426.57	791.35
POLR2C	961.07	660.68	703.28	928.3	909.17	2915.45	2417.67	967.76	1617.0	1909.85	2193.99	2075.59	1757.34	2104.58	1870.53	2485.67	1819.35	1757.34	2178.83	2119.22	1896.65	2209.26	1844.76	1769.57	1909.85	629.35	624.99	1066.48	830.75	1561.89	1594.73	1286.18	1233.75	1572.76	1208.34	1225.22	1551.09	1277.29	1950.0
PPA2	1151.06	1151.06	1216.75	954.43	1104.13	4972.34	3060.45	759.08	1388.16	2193.99	3982.99	3325.99	3349.13	4639.29	3235.01	4239.45	2701.35	2351.53	3491.39	2816.11	2976.74	2956.17	2627.46	2335.28	2777.33	988.12	1286.18	1427.22	1259.69	1508.65	1733.13	1561.89	1119.56	1583.71	1697.45	1551.09	1721.16	1561.89	1806.78
PPCS	934.76	693.58	934.76	656.11	629.35	4095.0	2664.15	961.07	2303.12	1540.37	2645.74	2645.74	2682.69	3742.05	2384.37	3103.19	2148.82	2047.0	2468.49	2319.15	2335.28	2224.63	2163.77	1857.6	2240.11	819.3	497.0	1030.12	1119.56	1757.34	1685.71	1628.26	1191.69	1697.45	1896.65	1529.73	1721.16	1322.37	1977.24
PRMT6	99.43	47.17	98.73	78.34	45.85	476.71	764.36	128.79	87.03	149.12	389.72	389.72	417.77	373.81	381.68	409.15	406.31	435.55	426.57	403.5	400.71	409.15	426.57	476.71	483.38	47.17	11.38	140.04	111.21	120.1	239.52	189.02	146.03	255.0	244.57	138.1	189.02	178.77	285.03
RNMTL1	224.97	197.09	143.01	223.41	183.82	476.71	381.68	249.73	379.04	387.02	403.5	356.05	395.18	417.77	358.54	332.14	348.71	346.29	403.5	358.54	389.72	406.31	426.57	392.44	414.87	85.82	112.77	159.9	201.25	172.65	336.79	289.02	239.52	387.02	346.29	220.32	226.54	221.86	275.28
