	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CV.7235.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6942.01A.21R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CR.7383.01A.11R.2132.07	TCGA.CN.5358.01A.01R.1514.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07
FMOD	346.29	94.01	47.17	19.53	78.34	86.43	80.57	271.48	44.57	40.93	77.25	13.52	142.01	450.94	624.99	412.0	1745.2	267.73	199.85	217.27	708.18	2047.0	127.0	1073.91	507.46	775.05	269.6	178.77	137.14	248.0	232.94	947.83	1322.37	941.27	24.63	860.08	1066.48	209.84	1806.78	616.37	563.18	1417.35	1059.11	2895.31	123.5	638.15	258.57	1447.15	297.17	201.25	435.55	314.17	143.01	836.53	124.37	567.1	98.73	74.06	1477.58	2148.82	1487.87	255.0	457.25	480.04	127.89	1963.57	503.95	1561.89	166.73	101.54	728.11	332.14	291.04	190.34	379.04
GGT5	283.05	135.24	28.86	41.22	65.26	206.94	127.0	241.19	166.73	96.68	157.68	37.59	587.13	567.1	346.29	316.37	813.63	264.03	215.77	343.89	1519.15	2796.65	152.28	796.86	547.75	1540.37	150.17	212.78	194.36	299.25	563.18	1135.2	928.3	974.5	33.78	633.73	507.46	269.6	825.0	521.76	493.56	1191.69	1199.98	2193.99	275.28	1183.45	285.03	1135.2	178.77	318.57	406.31	842.36	197.09	738.29	163.28	693.58	228.13	100.13	718.08	995.0	1388.16	438.59	363.56	454.09	148.09	1313.23	612.11	785.88	409.15	249.73	616.37	339.14	432.53	142.01	371.22
GIPC3	33.78	7.51	4.28	4.1	7.06	10.88	4.17	19.39	5.87	4.06	6.89	0.8	18.7	4.5	29.06	16.75	37.85	14.35	8.85	10.71	39.5	45.53	7.51	27.84	34.51	41.22	11.47	8.45	6.73	7.4	15.8	95.34	21.63	27.25	5.32	16.51	38.95	7.51	33.3	7.17	18.56	39.22	26.47	48.52	5.45	26.1	7.57	26.86	6.67	12.55	30.34	21.32	8.92	38.4	3.26	38.4	9.93	4.82	10.96	25.91	44.89	7.82	11.91	17.38	8.25	34.75	8.71	15.22	7.34	6.73	13.42	10.39	11.13	8.99	7.88
GJA4	217.27	63.89	13.62	38.12	33.54	69.52	24.63	159.9	64.8	24.46	40.36	10.71	78.89	63.89	68.55	132.44	181.28	47.5	52.45	36.27	69.52	271.48	23.76	312.0	124.37	312.0	84.04	50.27	40.93	49.91	100.83	708.18	162.14	195.72	25.91	114.36	368.65	37.32	287.01	59.97	128.79	236.21	301.33	376.41	28.65	293.07	39.22	251.48	40.36	62.56	155.5	95.34	23.93	318.57	29.7	246.28	43.02	13.72	197.09	130.6	325.29	36.79	52.08	123.5	22.59	264.03	92.7	90.14	7.94	18.84	79.45	211.31	96.68	32.13	138.1
GJA5	123.5	8.19	3.35	1.64	7.51	52.82	7.22	59.55	17.51	7.69	6.46	5.11	34.02	12.45	13.03	61.68	94.67	17.9	20.71	15.56	12.45	30.78	26.28	76.17	42.71	121.79	22.92	27.64	16.88	16.75	34.75	144.01	27.05	108.9	4.54	37.85	180.02	10.39	108.9	17.64	40.64	202.66	119.26	256.78	5.36	53.95	11.21	100.13	24.28	21.16	70.51	24.11	4.9	119.26	8.85	77.79	12.74	2.14	68.55	44.25	191.67	15.34	8.06	53.19	5.63	94.01	31.0	33.54	0.89	37.85	35.25	138.1	40.36	9.63	38.12
GLT8D2	144.01	26.67	16.88	18.16	43.94	48.87	24.99	63.45	31.67	48.52	83.45	46.18	144.01	177.53	130.6	66.65	291.04	57.49	96.01	50.98	400.71	669.92	182.55	384.34	176.29	265.87	52.82	43.32	54.33	58.3	165.57	748.61	212.78	169.07	18.29	181.28	299.25	63.45	339.14	126.12	159.9	518.15	420.68	769.69	54.33	460.44	98.73	253.23	55.49	55.89	123.5	264.03	24.11	170.25	76.17	283.05	52.45	20.86	285.03	387.02	423.61	60.39	68.55	181.28	120.94	514.56	106.63	356.05	113.56	108.14	193.01	71.5	73.03	34.26	60.82
GNG11	409.15	228.13	18.16	17.13	52.08	67.59	52.08	90.14	47.5	37.32	78.89	19.53	87.65	133.36	137.14	117.6	223.41	106.63	76.17	60.39	124.37	368.65	50.63	211.31	353.59	273.37	76.17	74.06	52.45	60.82	116.78	400.71	155.5	187.71	25.72	110.43	224.97	120.94	231.32	126.12	96.01	208.38	289.02	426.57	44.57	199.85	82.87	150.17	64.34	85.82	171.45	214.27	41.22	242.88	146.03	177.53	74.58	60.39	211.31	239.52	281.09	68.55	65.72	139.07	54.72	267.73	127.89	86.43	44.57	72.01	105.15	102.97	115.97	57.89	97.36
GPR116	116.78	26.1	24.63	14.67	43.94	32.13	40.93	130.6	34.26	27.05	29.91	12.55	87.65	48.18	142.01	76.71	172.65	93.35	56.28	44.89	271.48	283.05	61.68	108.14	198.47	241.19	61.68	40.93	42.11	44.89	68.55	273.37	201.25	173.85	37.85	115.16	267.73	39.5	226.54	66.65	98.73	221.86	182.55	353.59	17.64	84.04	44.89	287.01	52.08	73.54	158.79	124.37	47.5	212.78	46.5	232.94	53.57	12.83	122.64	127.0	348.71	57.08	101.54	97.36	46.84	169.07	81.14	102.25	16.51	22.1	79.45	71.5	62.56	53.95	34.02
GPR124	142.01	35.76	18.16	18.43	47.84	16.27	37.59	136.19	22.1	18.84	45.53	6.84	153.34	63.45	96.01	56.28	318.57	82.29	30.78	52.08	325.29	591.22	52.08	170.25	231.32	289.02	32.82	24.99	40.07	42.11	99.43	511.0	171.45	239.52	20.41	208.38	441.64	48.18	312.0	85.82	108.14	348.71	273.37	633.73	53.19	285.03	63.89	341.51	39.79	46.84	170.25	154.42	26.86	189.02	24.11	267.73	33.54	19.53	162.14	403.5	559.28	60.39	110.43	129.69	51.71	336.79	92.05	180.02	44.57	26.1	128.79	93.35	85.22	53.95	38.4
GPR4	90.14	34.02	21.01	16.15	40.36	33.06	22.59	70.01	32.36	24.46	30.12	12.93	43.32	41.81	94.01	51.35	209.84	72.01	58.3	49.56	131.51	293.07	52.08	126.12	178.77	148.09	39.5	28.04	33.78	32.13	32.13	264.03	190.34	111.99	24.99	63.89	122.64	32.82	144.01	48.87	74.06	152.28	129.69	197.09	23.42	78.89	46.18	199.85	43.02	53.95	105.89	96.68	58.3	138.1	51.71	181.28	46.5	15.68	95.34	104.42	199.85	40.64	62.12	52.82	38.95	123.5	72.52	70.51	12.36	30.12	71.5	51.71	61.25	61.25	28.65
GRID1	4.94	1.46	1.66	1.6	2.51	3.38	5.06	9.2	7.82	3.82	8.0	2.43	5.02	11.21	3.96	14.03	57.89	12.18	4.94	13.03	15.8	53.95	6.57	25.54	40.64	43.02	11.55	22.43	6.78	10.88	15.56	73.54	45.21	13.83	3.14	22.26	24.63	2.92	45.53	7.22	14.67	31.45	51.71	57.49	3.14	55.49	20.26	26.47	14.03	10.31	12.36	19.11	3.41	21.78	4.66	34.75	1.93	2.84	30.56	31.67	38.4	5.54	12.09	43.63	2.76	48.18	8.38	40.64	28.86	6.16	13.12	10.16	6.84	7.06	5.82
GUCY1A3	275.28	24.46	31.9	70.01	33.06	95.34	17.51	118.43	30.34	10.08	13.52	3.35	60.82	88.88	111.21	39.5	84.04	43.32	17.0	41.22	325.29	450.94	29.91	94.01	110.43	273.37	24.46	32.13	41.81	20.41	132.44	403.5	138.1	170.25	3.69	157.68	325.29	53.57	181.28	94.01	96.68	265.87	246.28	638.15	28.45	361.04	24.81	312.0	33.3	29.91	65.72	79.45	40.93	122.64	34.26	140.04	28.24	16.15	149.12	389.72	329.84	62.56	167.9	651.58	29.7	251.48	193.01	264.03	73.54	31.67	84.04	120.1	61.68	41.22	49.21
GUCY1B3	127.89	20.26	26.86	9.27	25.91	69.03	36.79	111.99	6.26	9.63	28.65	5.96	111.21	67.12	72.01	45.53	122.64	52.08	26.47	32.59	206.94	503.95	26.86	117.6	140.04	205.5	24.11	40.07	34.02	24.63	63.45	356.05	85.22	127.0	10.71	108.9	175.07	40.64	121.79	64.34	76.17	169.07	187.71	287.01	32.36	161.02	34.26	176.29	21.94	27.05	76.17	88.26	18.97	118.43	29.91	152.28	26.1	12.93	159.9	224.97	223.41	43.32	60.82	110.43	26.67	147.06	94.67	242.88	63.45	17.13	76.71	61.25	50.98	41.52	35.25
HSPA12B	58.3	17.38	12.45	4.78	12.09	27.84	10.71	34.75	12.18	16.88	17.13	8.38	62.56	24.99	22.26	41.81	64.34	19.82	25.91	12.93	40.64	108.14	19.97	85.82	42.41	130.6	20.26	22.75	10.39	14.14	40.93	136.19	33.3	85.22	12.18	50.98	86.43	18.56	79.45	29.06	40.07	131.51	113.56	217.27	13.32	95.34	19.53	41.22	6.84	21.32	70.51	45.53	11.91	74.58	19.97	66.65	16.03	14.14	74.58	69.03	140.04	15.45	17.9	28.65	14.89	170.25	29.27	48.87	14.03	12.09	31.22	25.91	35.25	13.72	22.1
IGDCC4	20.26	3.79	3.29	1.6	4.98	4.58	7.75	13.83	16.88	3.08	4.43	1.43	20.86	14.03	21.47	17.9	32.13	7.17	11.04	4.58	40.07	65.26	4.39	24.99	15.22	24.99	3.29	7.57	6.06	4.58	14.14	80.01	34.51	27.44	2.25	20.86	23.59	8.13	58.3	25.72	22.1	23.08	31.22	94.67	4.62	44.25	7.06	19.25	6.52	8.85	12.09	17.0	3.63	26.86	2.43	36.53	4.9	2.36	24.46	42.11	108.14	11.82	5.5	15.8	2.63	73.03	7.75	23.42	11.21	5.63	20.26	13.42	7.0	4.86	10.39
JAM2	66.18	9.06	4.66	4.5	12.83	22.26	9.27	27.64	28.65	17.38	11.38	10.71	21.47	26.67	50.63	67.12	134.3	14.67	29.27	13.22	138.1	187.71	9.63	142.01	49.91	150.17	23.42	45.21	24.46	32.82	34.26	161.02	114.36	90.14	4.62	87.03	138.1	26.47	143.01	48.52	32.36	177.53	155.5	303.44	8.06	117.6	8.58	169.07	25.35	29.91	46.18	53.95	10.16	108.9	15.56	77.25	21.32	6.31	114.36	106.63	262.2	22.92	20.86	44.57	14.78	189.02	55.89	48.18	21.78	15.22	52.82	34.26	38.95	10.24	53.19
JAM3	109.66	24.63	18.84	15.22	32.59	45.21	21.47	67.59	2.63	18.84	41.81	15.0	76.17	63.89	108.9	62.56	186.4	48.18	65.72	36.27	256.78	444.72	21.47	172.65	108.9	164.42	57.89	100.13	40.07	64.8	75.64	384.34	128.79	102.97	19.97	141.02	285.03	61.25	199.85	100.13	86.43	223.41	169.07	353.59	37.85	229.72	47.5	189.02	46.18	63.45	68.55	114.36	32.82	123.5	36.79	205.5	33.3	25.54	169.07	228.13	283.05	42.71	61.68	76.71	39.79	223.41	94.01	169.07	74.58	37.05	107.38	61.25	57.89	55.1	52.45
KCNJ8	104.42	29.27	3.69	6.41	10.0	12.93	22.92	98.04	13.72	8.06	14.24	3.14	40.07	44.57	45.21	65.26	231.32	63.45	41.81	36.53	143.01	532.74	31.9	171.45	148.09	220.32	21.16	24.81	31.0	29.7	49.56	356.05	117.6	108.9	5.06	60.39	171.45	30.78	167.9	138.1	50.27	99.43	173.85	297.17	24.28	202.66	32.36	215.77	39.5	57.49	54.33	84.63	15.0	153.34	28.65	169.07	19.11	7.63	85.22	135.24	260.38	46.5	55.49	88.26	32.82	141.02	68.07	153.34	18.43	19.68	69.03	49.21	56.68	38.95	16.39
KIAA1462	169.07	30.78	35.76	23.76	31.9	39.22	23.93	105.89	24.99	18.7	29.27	7.28	97.36	51.35	101.54	45.53	206.94	58.3	55.49	52.82	185.11	303.44	25.72	229.72	162.14	198.47	34.02	24.63	42.11	59.13	92.7	521.76	111.21	121.79	16.51	164.42	159.9	21.01	162.14	35.25	85.22	332.14	147.06	346.29	26.28	412.0	34.26	131.51	42.11	62.12	102.25	171.45	28.45	150.17	22.75	151.22	30.34	10.08	135.24	101.54	228.13	46.5	53.19	98.73	40.64	256.78	70.51	102.97	57.08	22.75	138.1	60.39	53.19	26.28	41.81
KRT17	425853.18	363097.14	381149.17	348306.01	309589.14	450134.56	334117.42	472513.8	4953441.24	462789.59	381149.17	402881.61	431797.89	408505.64	971597.0	542775.98	338781.54	485798.0	400098.69	589853.66	462789.59	248002.34	428815.23	453265.5	389157.95	233003.78	466008.55	716197.51	701458.36	593956.43	437825.58	428815.23	334117.42	368165.8	343510.77	365622.68	524287.0	524287.0	348306.01	440870.9	400098.69	279017.26	244588.0	161367.56	542775.98	336441.4	402881.61	294926.33	565825.41	645473.24	447025.24	513497.31	368165.8	373305.21	373305.21	343510.77	425853.18	299043.36	331809.5	303217.87	397335.0	546551.29	632189.57	485798.0	450134.56	244588.0	466008.55	443937.41	585779.24	400098.69	912837.43	417089.23	546551.29	475800.4	506427.83
LDB2	133.36	20.86	10.24	9.85	29.7	27.84	22.59	72.01	20.26	31.45	50.63	22.75	59.97	66.18	70.01	80.57	163.28	58.3	46.5	31.0	71.0	185.11	25.35	115.16	120.94	211.31	52.82	57.89	51.35	53.95	44.89	285.03	119.26	121.79	12.64	94.67	229.72	44.57	148.09	51.35	75.64	197.09	205.5	426.57	21.47	139.07	32.13	190.34	39.79	45.53	92.05	87.65	34.26	121.79	39.79	136.19	33.78	14.24	127.89	116.78	293.07	49.21	71.0	57.49	40.07	193.01	85.22	123.5	22.1	18.56	71.5	80.01	55.49	27.84	52.82
LZTS1	49.91	8.71	11.13	6.01	17.64	9.2	6.89	36.53	43.32	3.26	24.46	1.06	37.59	17.13	22.1	19.82	67.59	15.56	7.34	6.31	33.54	115.97	10.47	62.12	49.56	85.82	21.01	9.06	14.14	16.63	49.91	190.34	43.94	92.05	6.52	27.05	55.89	29.06	41.52	21.32	18.84	132.44	94.67	109.66	8.78	95.34	12.0	66.18	4.86	15.11	41.52	32.36	9.2	51.71	7.88	61.25	11.55	6.46	45.85	66.65	77.25	20.71	22.26	63.45	13.83	81.71	25.91	21.32	30.34	18.43	30.78	19.39	20.71	18.97	7.75
MYCT1	58.71	10.16	7.22	7.57	18.7	15.45	17.77	25.17	30.12	9.93	31.67	5.63	31.22	28.45	30.78	34.02	70.51	76.71	36.27	24.46	98.73	97.36	29.48	65.26	97.36	108.9	26.28	25.54	24.63	30.12	37.32	141.02	62.56	103.69	11.91	42.41	85.82	28.45	96.01	57.08	43.94	104.42	123.5	218.79	16.51	64.34	20.56	105.89	24.11	39.22	78.89	57.08	27.84	67.59	32.13	60.82	21.01	21.16	65.26	78.34	180.02	25.54	21.94	24.11	31.0	111.99	43.32	21.16	10.71	18.84	33.78	46.18	36.27	31.45	29.27
OLFML1	57.49	10.47	4.62	3.82	15.22	8.25	16.63	50.63	76.17	6.06	5.96	3.11	31.67	27.25	55.89	30.56	146.03	19.82	12.45	23.08	122.64	283.05	15.45	122.64	59.55	126.12	13.22	10.79	18.97	16.27	38.67	173.85	85.82	98.04	5.19	111.21	339.14	20.11	124.37	24.28	35.76	220.32	169.07	346.29	19.82	133.36	27.25	138.1	19.82	15.22	52.45	68.07	9.78	84.63	16.03	75.11	15.34	3.66	79.45	130.6	169.07	26.47	45.21	78.34	15.11	189.02	75.64	151.22	27.25	13.83	56.68	31.9	36.79	15.56	32.13
OLFML2B	450.94	69.03	131.51	70.51	78.34	127.89	107.38	429.54	118.43	91.41	104.42	94.67	318.57	293.07	432.53	214.27	1832.01	217.27	107.38	241.19	1923.14	2240.11	142.01	1397.83	679.29	1175.27	105.89	102.97	191.67	115.16	470.14	2303.12	441.64	579.04	42.41	808.0	791.35	153.34	819.3	237.86	470.14	1991.0	1651.0	2645.74	181.28	2148.82	358.54	909.17	173.85	156.59	525.39	733.19	94.67	780.44	228.13	915.51	170.25	44.89	934.76	947.83	2224.63	255.0	262.2	514.56	180.02	1674.06	438.59	728.11	258.57	88.88	733.19	323.03	387.02	120.94	108.9
ORAI2	114.36	29.48	81.14	27.25	53.57	23.08	37.59	34.51	38.67	26.28	73.03	24.81	53.57	124.37	92.7	60.39	204.07	33.06	61.25	54.33	314.17	211.31	97.36	133.36	105.15	309.83	43.94	50.98	53.57	37.32	83.45	316.37	323.03	198.47	48.52	175.07	180.02	164.42	262.2	100.13	106.63	269.6	281.09	547.75	56.68	135.24	50.98	466.88	85.82	68.07	159.9	65.72	46.18	182.55	94.67	353.59	82.29	19.25	128.79	305.55	559.28	36.01	101.54	248.0	63.45	447.82	131.51	236.21	239.52	68.55	91.41	72.01	72.52	54.72	66.65
PCDH12	63.89	17.64	9.2	11.38	20.41	17.64	15.45	47.17	40.64	14.14	15.45	7.11	23.59	19.11	46.5	21.94	117.6	31.22	27.84	24.11	48.18	115.16	28.45	79.45	102.25	89.51	17.77	13.83	11.38	16.63	30.12	195.72	50.63	57.89	14.56	45.53	66.65	20.11	67.59	15.91	35.0	117.6	77.79	190.34	10.47	92.7	36.01	68.55	8.78	29.7	65.72	49.91	18.29	77.25	17.0	54.33	20.26	10.88	55.89	51.71	102.97	23.59	30.12	25.91	23.08	94.01	34.51	42.71	6.52	16.63	31.45	38.12	26.67	20.41	16.39
PCDH18	55.1	13.32	9.56	8.92	26.86	5.54	22.59	52.82	3.47	6.41	19.25	2.84	80.01	30.34	46.84	31.45	64.8	36.79	13.62	21.63	85.22	182.55	13.03	40.36	48.52	144.01	23.93	13.42	17.38	11.91	37.32	248.0	90.77	52.45	5.73	65.72	215.77	24.99	134.3	21.32	39.79	77.25	115.97	267.73	20.86	64.8	16.88	98.73	10.79	13.83	48.18	29.48	12.93	82.29	26.47	94.67	7.34	8.71	85.22	162.14	189.02	22.59	72.01	64.8	14.67	105.89	49.21	189.02	26.86	12.45	32.59	34.26	41.81	21.32	16.75
PDE1A	25.54	2.92	2.32	0.97	3.56	3.69	3.29	20.56	8.32	2.61	5.36	1.55	9.7	5.63	10.39	19.11	12.09	8.45	5.28	3.53	18.16	50.27	4.5	14.56	10.71	22.43	8.65	7.28	1.53	5.06	6.67	21.01	15.0	12.83	1.23	10.55	47.5	5.54	17.51	7.94	8.51	18.03	28.24	41.52	3.44	26.47	1.91	20.56	4.46	4.98	14.45	12.45	3.72	20.26	4.9	18.03	3.63	0.79	15.45	16.15	47.5	5.5	11.04	11.91	3.08	23.08	10.71	15.56	2.78	3.89	6.11	4.5	10.31	5.77	4.13
PDE7B	13.72	1.77	3.32	0.99	4.31	1.87	3.59	11.13	1.57	4.13	4.17	2.43	13.32	6.89	20.71	11.47	38.12	7.34	9.7	3.59	13.22	37.59	4.9	17.77	14.45	39.79	6.73	5.11	6.73	12.74	10.63	74.58	24.81	24.46	2.01	11.91	29.7	8.0	51.71	15.8	17.38	39.22	26.86	78.34	6.11	15.0	7.63	36.79	7.57	8.32	17.38	17.25	5.82	16.63	8.71	18.97	3.69	1.83	17.64	36.01	47.17	11.3	9.48	5.77	5.02	27.64	12.83	17.38	4.74	3.0	17.0	12.09	8.99	7.06	8.51
PDGFRA	89.51	15.56	16.27	39.22	18.29	21.32	10.0	153.34	35.5	33.78	24.11	17.64	155.5	75.64	165.57	77.79	255.0	43.32	69.03	43.32	397.93	638.15	37.05	121.79	70.51	329.84	52.45	52.82	12.83	27.25	123.5	234.57	293.07	287.01	1.97	273.37	555.41	69.52	476.71	90.14	99.43	199.85	217.27	1477.58	27.64	291.04	44.25	426.57	68.55	29.91	84.04	64.34	20.11	217.27	21.78	182.55	30.78	9.56	178.77	307.69	733.19	63.0	119.26	95.34	36.53	438.59	102.97	381.68	43.02	20.71	144.01	55.89	67.12	20.71	80.57
PLVAP	2271.4	579.04	303.44	291.04	633.73	718.08	287.01	1199.98	1088.92	457.25	279.14	217.27	753.83	728.11	2555.58	1081.39	2645.74	1127.35	624.99	651.58	2303.12	2335.28	728.11	2384.37	2816.11	3235.01	1096.5	518.15	500.46	656.11	934.76	6337.83	1963.57	1909.85	420.68	1304.15	3060.45	684.02	2287.2	854.13	1183.45	2400.97	2682.69	3665.02	373.81	1167.14	775.05	3081.75	460.44	791.35	2573.36	2209.26	651.58	2351.53	759.08	2701.35	819.3	343.89	2047.0	1844.76	3212.66	708.18	1551.09	1233.75	759.08	2935.74	1467.37	1159.07	339.14	466.88	1551.09	988.12	1096.5	536.45	674.59
PLXND1	928.3	392.44	642.59	264.03	381.68	503.95	260.38	728.11	223.41	409.15	423.61	387.02	674.59	624.99	708.18	679.29	1617.0	733.19	612.11	684.02	1794.29	2816.11	299.25	1388.16	1340.84	1819.35	497.0	275.28	555.41	532.74	802.41	3190.46	1167.14	1322.37	981.29	848.22	1008.9	660.68	1191.69	642.59	1208.34	2367.9	2119.22	3690.52	356.05	2119.22	780.44	1487.87	470.14	656.11	1159.07	1044.52	642.59	1519.15	299.25	1745.2	395.18	346.29	1225.22	1331.57	2178.83	500.46	616.37	1111.82	395.18	1950.0	785.88	988.12	490.14	575.03	733.19	808.0	921.88	454.09	486.75
PODN	104.42	24.28	5.73	6.46	22.59	34.75	10.63	129.69	11.91	10.24	22.26	4.94	127.89	13.83	36.79	46.18	246.28	19.97	27.44	16.39	75.11	376.41	9.2	249.73	47.17	234.57	29.91	16.39	11.47	21.63	65.72	583.07	63.89	102.25	5.68	332.14	819.3	13.72	136.19	47.5	88.26	426.57	202.66	1199.98	6.73	638.15	13.72	376.41	14.24	15.56	35.5	61.68	8.51	190.34	7.75	60.39	10.39	2.41	255.0	155.5	872.1	14.78	42.11	157.68	18.16	444.72	65.72	152.28	18.03	3.79	105.15	43.63	79.45	17.0	31.45
