	TCGA.KL.8344.01A.11R.2315.07	TCGA.KL.8329.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.13OVL.1826.SM.5KLZR	GTEX.147F4.2626.SM.5Q5CS	TCGA.B0.4834.01A.01R.1305.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07
LRRC34	171.45	58.71	90.14	114.36	100.83	119.26	244.57	158.79	103.69	77.79	50.27	67.12	4.31	5.15	3.92	7.63	6.46
MAGEH1	1991.0	759.08	1639.59	1477.58	1498.22	660.68	1369.04	1096.5	791.35	647.07	941.27	954.43	301.33	281.09	204.07	301.33	406.31
MAPKAPK5	830.75	583.07	624.99	651.58	543.96	607.87	669.92	688.78	902.89	599.49	476.71	547.75	329.84	253.23	279.14	381.68	318.57
MFF	3103.19	2061.24	3614.55	2119.22	2855.44	2209.26	3212.66	2384.37	3081.75	2520.38	1963.57	2351.53	934.76	921.88	848.22	1073.91	981.29
MINA	988.12	403.5	547.75	343.89	674.59	420.68	647.07	759.08	915.51	583.07	387.02	620.67	144.01	145.02	248.0	277.2	199.85
MTBP	54.33	18.03	26.1	25.17	33.78	28.86	31.67	37.05	35.76	27.44	19.53	23.93	6.11	3.86	3.03	3.79	7.28
NCOA2	723.08	303.44	406.31	599.49	470.14	363.56	660.68	633.73	775.05	412.0	353.59	466.88	153.34	165.57	180.02	171.45	224.97
NID2	902.89	305.55	258.57	438.59	536.45	201.25	647.07	669.92	514.56	361.04	202.66	318.57	34.26	59.97	32.82	90.14	36.53
NIPAL2	629.35	118.43	129.69	220.32	201.25	130.6	246.28	417.77	332.14	199.85	229.72	223.41	61.25	58.71	58.3	96.01	115.97
NRARP	283.05	38.12	253.23	128.79	974.5	90.77	1397.83	223.41	267.73	118.43	32.82	154.42	8.06	34.51	15.56	35.76	48.52
NSRP1	808.0	579.04	429.54	547.75	500.46	438.59	669.92	723.08	713.11	656.11	287.01	583.07	256.78	84.63	309.83	291.04	264.03
PARN	679.29	503.95	497.0	575.03	460.44	543.96	490.14	708.18	647.07	532.74	435.55	525.39	325.29	260.38	236.21	299.25	249.73
PBX3	796.86	191.67	339.14	312.0	224.97	277.2	376.41	497.0	575.03	363.56	248.0	291.04	217.27	226.54	231.32	283.05	255.0
PLVAP	12676.65	3018.3	10296.45	2739.08	17078.76	4607.24	13776.25	3419.52	6935.54	3018.3	1733.13	5751.61	56.68	206.94	86.43	154.42	147.06
PLXND1	3018.3	921.88	1883.54	1340.84	2468.49	693.58	2777.33	2739.08	1977.24	1304.15	884.29	1242.34	341.51	651.58	237.86	633.73	718.08
PNPT1	325.29	224.97	239.52	256.78	262.2	201.25	273.37	312.0	395.18	234.57	202.66	253.23	111.21	63.45	126.12	138.1	128.79
PPIP5K1	567.1	218.79	237.86	414.87	277.2	525.39	320.8	466.88	500.46	327.56	189.02	368.65	34.26	57.08	28.45	82.29	53.19
PTCD3	1369.04	647.07	603.67	764.36	848.22	890.44	638.15	1175.27	1594.73	679.29	624.99	775.05	454.09	379.04	497.0	480.04	497.0
PTP4A3	1936.53	384.34	264.03	1259.69	291.04	258.57	361.04	1551.09	1111.82	819.3	283.05	476.71	36.27	67.59	67.59	116.78	70.01
R3HCC1L	277.2	145.02	117.6	146.03	195.72	159.9	164.42	264.03	483.38	181.28	85.82	171.45	52.82	36.01	77.25	67.59	59.55
RASGRF2	521.76	154.42	106.63	53.95	241.19	171.45	164.42	387.02	785.88	162.14	113.56	96.01	2.94	4.35	8.32	10.96	6.62
RSRC1	890.44	480.04	599.49	624.99	414.87	426.57	599.49	728.11	961.07	591.22	493.56	669.92	170.25	98.04	169.07	265.87	224.97
SACM1L	2047.0	595.34	1233.75	995.0	884.29	974.5	1268.46	1313.23	3060.45	684.02	878.17	941.27	269.6	221.86	301.33	312.0	273.37
SAYSD1	620.67	291.04	327.56	429.54	400.71	301.33	371.22	450.94	559.28	356.05	336.79	351.14	157.68	189.02	132.44	164.42	185.11
SBNO1	291.04	140.04	194.36	226.54	198.47	180.02	205.5	277.2	412.0	209.84	135.24	221.86	69.03	42.71	88.88	85.22	115.97
SGSM1	255.0	65.72	237.86	95.34	102.97	58.71	121.79	98.73	236.21	83.45	30.12	112.77	1.69	2.61	0.71	7.06	3.47
SH2B3	642.59	231.32	242.88	175.07	397.93	180.02	269.6	518.15	379.04	363.56	234.57	234.57	132.44	239.52	197.09	171.45	119.26
SLC10A6	24.46	3.11	0.28	7.22	13.93	12.83	4.74	18.43	30.12	3.23	1.62	1.71	0.0	0.0	0.0	1.62	2.14
SPIRE1	1617.0	395.18	361.04	759.08	336.79	967.76	323.03	791.35	2758.13	603.67	351.14	447.82	23.59	60.39	205.5	59.13	95.34
STX18	1529.73	921.88	1909.85	854.13	1674.06	1135.2	1519.15	1066.48	1583.71	1127.35	728.11	1001.93	376.41	217.27	307.69	291.04	327.56
SYT10	116.78	13.22	190.34	37.85	63.89	31.67	112.77	110.43	249.73	39.22	5.59	26.1	0.42	1.41	0.99	0.48	0.48
TAF3	195.72	105.15	108.14	120.94	167.9	61.68	144.01	189.02	255.0	172.65	70.51	106.63	46.18	32.13	39.22	45.21	42.71
TBC1D9	2104.58	607.87	575.03	612.11	595.34	450.94	463.65	1639.59	1923.14	1044.52	547.75	674.59	67.59	72.01	70.51	82.87	163.28
THSD1	134.3	38.12	204.07	37.85	226.54	72.52	212.78	141.02	82.87	63.0	33.78	65.72	20.56	13.52	31.45	44.89	31.67
TMEM117	191.67	80.57	132.44	143.01	142.01	92.7	117.6	112.77	299.25	104.42	84.04	64.34	33.54	34.26	28.45	49.56	43.02
TMEM184C	1794.29	490.14	500.46	764.36	819.3	476.71	854.13	1015.93	3103.19	647.07	525.39	612.11	178.77	116.78	166.73	166.73	275.28
TMEM194A	226.54	64.34	134.3	87.03	97.36	92.05	121.79	175.07	171.45	96.68	99.43	146.03	36.27	47.17	39.79	34.26	52.45
TMEM213	16611.71	2485.67	1832.01	3146.52	2148.82	2777.33	5112.16	11909.94	11504.21	4607.24	1191.69	2816.11	0.0	0.0	0.0	0.0	0.0
TMEM8B	1477.58	332.14	974.5	571.05	1088.92	536.45	748.61	1359.57	1073.91	476.71	201.25	563.18	63.0	128.79	55.49	99.43	111.21
TYW1	403.5	217.27	281.09	295.11	316.37	277.2	336.79	371.22	346.29	291.04	204.07	323.03	205.5	153.34	264.03	195.72	163.28
UMOD	8.71	57051.4	3178687.03	1318073.06	789181.81	1070607.81	1299926.74	13399.51	1.28	45072.75	21026.65	636586.81	0.0	0.0	0.0	0.0	0.0
UTP20	305.55	88.26	77.25	154.42	112.77	86.43	113.56	159.9	334.46	120.94	69.03	107.38	28.04	20.11	32.13	30.78	31.9
VASH1	346.29	71.0	108.9	85.22	291.04	143.01	185.11	166.73	180.02	115.97	85.22	56.68	13.72	38.12	18.16	42.71	67.12
VWA5B1	237.86	38.12	0.0	12.93	15.68	19.53	13.12	167.9	264.03	87.03	11.13	32.82	0.0	0.0	0.0	0.0	0.0
XRCC2	14.89	3.47	1.85	12.27	4.17	5.32	1.66	8.19	10.79	6.84	2.05	4.1	1.2	0.66	0.0	1.31	0.0
ZNF382	103.69	31.67	8.92	44.25	22.43	43.94	16.27	74.06	130.6	40.36	27.84	39.5	3.82	1.69	2.89	8.58	8.06
ZNF532	638.15	234.57	327.56	356.05	387.02	426.57	536.45	616.37	633.73	420.68	183.82	373.81	12.09	10.55	24.11	23.08	31.9
ZNF674	75.11	34.02	34.51	53.57	45.53	56.68	74.58	85.82	77.25	46.18	23.42	41.81	23.25	13.93	11.64	19.82	30.12
