	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.CV.7183.01A.11R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.111CU.0326.SM.5GZXO	GTEX.X3Y1.0626.SM.3P5YS	GTEX.R55G.0826.SM.2TC5U	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.WH7G.0726.SM.3NMBM	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	GTEX.ZYWO.0826.SM.5E45W	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ
COLCA1	39.22	0.96	12.27	7.46	0.56	18.43	190.34	1159.07	1651.0	848.22	444.72	435.55	624.99	974.5	616.37	599.49	3103.19	13.83	703.28	507.46	1378.57	2133.97	514.56	162.14	599.49	2720.15	368.65	1081.39	66.65	231.32	277.2	1551.09	693.58	7537.18	693.58	332.14	624.99	651.58	961.07	1233.75	90.14	529.06	88.88	332.14	17.38
DCDC2B	1.81	0.71	0.0	0.0	0.0	0.64	99.43	429.54	1540.37	384.34	379.04	249.73	708.18	620.67	403.5	127.89	536.45	5.06	595.34	158.79	490.14	529.06	417.77	116.78	466.88	1572.76	29.06	1030.12	54.33	137.14	316.37	830.75	406.31	954.43	825.0	159.9	1088.92	248.0	447.82	860.08	67.59	358.54	87.65	70.51	14.67
DNAAF1	22.92	5.82	0.0	28.04	4.82	18.29	607.87	878.17	3124.78	1467.37	435.55	674.59	1350.18	2018.8	1037.29	651.58	1359.57	29.7	1183.45	307.69	1447.15	1088.92	1350.18	329.84	1051.79	2816.11	275.28	3168.41	211.31	444.72	748.61	2061.24	981.29	1923.14	2485.67	480.04	2018.8	620.67	934.76	2287.2	358.54	836.53	244.57	156.59	24.46
DNAH12	0.8	0.89	0.54	0.51	0.0	0.0	343.89	563.18	1896.65	532.74	180.02	309.83	563.18	890.44	389.72	221.86	633.73	14.56	579.04	131.51	412.0	518.15	543.96	111.21	507.46	1447.15	25.72	1709.26	56.68	182.55	297.17	1111.82	392.44	1015.93	1225.22	212.78	1015.93	255.0	447.82	723.08	149.12	476.71	90.14	102.97	4.82
DNAI1	2.97	0.29	0.0	0.0	0.0	0.0	232.94	493.56	1870.53	836.53	209.84	409.15	791.35	791.35	476.71	351.14	819.3	8.85	629.35	223.41	555.41	633.73	591.22	218.79	713.11	1322.37	155.5	1487.87	111.21	269.6	371.22	1044.52	529.06	1322.37	1135.2	264.03	1023.0	403.5	486.75	909.17	361.04	543.96	155.5	81.71	2.66
DNAI2	0.05	0.52	0.83	0.38	0.0	1.31	305.55	466.88	2178.83	466.88	239.52	417.77	738.29	521.76	444.72	265.87	500.46	13.03	733.19	214.27	518.15	540.19	559.28	125.24	529.06	1073.91	159.9	1551.09	86.43	217.27	293.07	638.15	417.77	775.05	693.58	214.27	902.89	325.29	463.65	842.36	381.68	356.05	102.97	58.3	2.05
DTHD1	1.62	0.0	0.48	3.69	7.06	6.46	96.68	251.48	909.17	239.52	77.79	242.88	318.57	361.04	90.14	94.67	341.51	5.36	341.51	67.12	351.14	275.28	273.37	42.71	332.14	511.0	53.57	432.53	46.18	85.82	100.83	525.39	228.13	808.0	521.76	111.99	346.29	116.78	217.27	567.1	130.6	206.94	34.02	44.57	6.36
DYDC1	1.75	0.0	0.0	0.0	0.0	0.0	22.59	135.24	242.88	63.89	72.01	67.12	80.57	73.03	28.45	46.18	107.38	0.0	129.69	29.7	63.45	70.01	82.29	13.83	120.1	264.03	19.25	124.37	11.13	36.79	18.56	186.4	87.03	185.11	102.25	47.84	178.77	59.55	54.33	178.77	40.36	100.13	11.04	17.64	0.0
FAM92B	2.36	0.0	0.0	0.0	0.0	1.07	332.14	819.3	2417.67	728.11	466.88	563.18	1081.39	1104.13	607.87	363.56	915.51	12.55	759.08	217.27	733.19	902.89	759.08	202.66	775.05	1769.57	128.79	1923.14	111.99	234.57	381.68	1313.23	679.29	1909.85	1407.55	341.51	1088.92	406.31	656.11	1135.2	420.68	616.37	176.29	133.36	7.46
FHAD1	8.25	45.53	5.28	85.22	71.0	20.26	166.73	438.59	1286.18	432.53	273.37	423.61	674.59	376.41	241.19	283.05	444.72	25.91	466.88	244.57	376.41	633.73	511.0	237.86	406.31	1340.84	108.14	780.44	96.68	187.71	318.57	928.3	460.44	1127.35	684.02	195.72	921.88	301.33	450.94	941.27	262.2	490.14	111.99	115.97	20.86
FRMPD2	1.87	0.0	0.0	0.42	2.01	0.0	25.91	98.04	231.32	93.35	42.11	63.89	103.69	76.71	31.0	51.71	87.65	2.81	85.22	21.63	88.88	77.25	81.71	19.39	78.34	130.6	40.64	84.63	15.11	20.11	26.47	172.65	88.88	156.59	106.63	40.93	172.65	34.26	56.68	155.5	50.27	117.6	22.75	19.11	0.0
GAS2L2	1.68	0.0	0.0	1.55	1.85	0.0	166.73	239.52	1088.92	281.09	132.44	191.67	483.38	379.04	283.05	145.02	403.5	4.74	389.72	87.65	258.57	273.37	277.2	92.05	295.11	748.61	72.01	878.17	44.89	127.89	180.02	518.15	262.2	423.61	543.96	114.36	543.96	165.57	212.78	463.65	139.07	182.55	59.13	39.22	5.5
HYDIN	4.43	2.81	1.22	2.56	2.81	1.81	182.55	309.83	1088.92	397.93	123.5	201.25	420.68	403.5	151.22	224.97	521.76	17.64	316.37	95.34	358.54	285.03	348.71	93.35	343.89	775.05	84.04	769.69	47.17	137.14	127.89	738.29	260.38	902.89	647.07	109.66	529.06	157.68	248.0	563.18	118.43	176.29	56.68	68.07	11.55
ICA1L	12.27	3.53	4.74	6.21	2.43	8.06	46.18	137.14	312.0	206.94	36.79	66.18	172.65	201.25	56.28	59.97	129.69	16.88	191.67	40.36	171.45	157.68	100.13	29.91	102.97	265.87	58.3	173.85	34.02	82.29	69.52	215.77	114.36	329.84	128.79	45.21	332.14	68.55	106.63	281.09	36.01	169.07	50.98	59.55	15.45
IFT172	229.72	201.25	96.01	90.77	115.16	80.57	941.27	1111.82	3081.75	909.17	759.08	738.29	1487.87	1583.71	854.13	387.02	1407.55	115.16	1457.23	450.94	1639.59	1233.75	1233.75	429.54	866.07	2434.5	273.37	2384.37	414.87	718.08	753.83	1721.16	947.83	2047.0	1769.57	426.57	2451.44	780.44	1088.92	1685.71	607.87	974.5	281.09	251.48	162.14
KB-1507C5.2	15.11	11.21	2.53	16.51	15.45	7.63	156.59	358.54	417.77	158.79	185.11	163.28	275.28	293.07	180.02	64.8	221.86	20.86	366.09	44.57	228.13	295.11	212.78	95.34	164.42	273.37	49.91	555.41	78.34	111.21	111.21	571.05	236.21	395.18	435.55	155.5	339.14	135.24	229.72	334.46	55.1	164.42	102.25	87.65	28.04
LRGUK	2.34	1.01	1.2	0.65	0.93	1.79	8.19	36.01	108.9	56.68	17.25	33.54	45.85	55.49	16.88	25.35	59.55	7.82	55.89	19.11	37.32	48.52	43.94	15.45	30.34	78.34	15.0	61.68	7.22	18.7	14.89	85.82	36.53	110.43	50.98	26.47	88.26	23.42	24.81	68.55	26.67	35.25	12.27	9.93	2.41
LRRC23	178.77	96.68	73.03	89.51	92.05	84.04	769.69	1685.71	4903.87	1143.1	1259.69	1378.57	2224.63	1757.34	1127.35	995.0	1936.53	251.48	1857.6	723.08	1378.57	1950.0	1487.87	753.83	1745.2	2997.45	567.1	3325.99	559.28	808.0	1259.69	3146.52	1651.0	3928.15	2061.24	995.0	3060.45	1119.56	1583.71	2720.15	1008.9	1322.37	555.41	543.96	301.33
LRRC43	4.5	1.75	2.61	5.96	5.15	6.78	140.04	244.57	633.73	269.6	139.07	195.72	373.81	273.37	239.52	133.36	339.14	24.63	277.2	103.69	312.0	256.78	299.25	80.01	237.86	660.68	80.57	599.49	63.0	126.12	164.42	346.29	271.48	420.68	384.34	135.24	387.02	197.09	239.52	463.65	154.42	204.07	68.55	70.51	8.32
LRRC48	24.63	20.86	17.77	8.45	12.45	20.71	293.07	921.88	2956.17	988.12	466.88	571.05	1467.37	1073.91	748.61	500.46	1073.91	68.55	1159.07	244.57	872.1	1199.98	921.88	267.73	941.27	2573.36	414.87	2255.7	273.37	518.15	679.29	1709.26	665.29	1697.45	1769.57	332.14	1662.49	599.49	748.61	1572.76	336.79	830.75	283.05	231.32	69.03
MAT1A	0.39	7.94	1.2	1.48	14.67	7.57	50.98	48.87	269.6	42.41	21.47	31.67	74.06	173.85	60.39	37.85	229.72	3.0	78.89	14.78	74.58	67.12	111.99	25.91	88.88	223.41	13.12	154.42	9.48	22.43	26.1	197.09	52.45	156.59	150.17	11.55	153.34	26.1	47.5	141.02	31.22	63.0	10.24	5.28	6.26
MROH9	0.0	0.0	0.0	0.4	1.93	1.38	13.42	33.78	111.99	59.97	52.82	48.87	75.11	57.08	59.13	52.82	40.64	4.94	87.65	22.92	68.07	85.22	65.26	23.25	125.24	223.41	19.11	58.71	8.32	20.26	36.53	84.04	49.56	88.26	73.54	19.11	115.97	27.05	55.89	105.15	26.1	63.45	29.27	16.03	0.0
MYCBPAP	1.36	12.09	6.57	4.62	8.38	1.35	71.5	82.29	387.02	52.82	43.94	109.66	159.9	151.22	87.65	41.22	128.79	3.11	166.73	32.82	182.55	171.45	144.01	30.12	124.37	346.29	4.28	197.09	15.8	36.01	121.79	231.32	108.14	202.66	178.77	33.54	205.5	50.98	113.56	241.19	35.5	82.29	27.44	20.41	10.08
NEK11	48.52	36.27	45.21	23.08	19.11	18.16	220.32	397.93	1359.57	406.31	208.38	363.56	457.25	647.07	312.0	277.2	454.09	45.53	368.65	158.79	392.44	435.55	376.41	149.12	420.68	896.64	99.43	1051.79	78.89	150.17	275.28	775.05	376.41	928.3	785.88	221.86	713.11	255.0	320.8	733.19	255.0	269.6	120.1	129.69	56.28
NR1I2	0.0	0.0	0.0	0.96	0.0	0.0	1.64	6.16	46.84	8.92	0.69	4.98	13.62	6.41	6.11	5.45	10.71	0.0	18.97	2.16	1.25	16.63	9.13	5.96	8.58	10.08	1.89	39.22	1.45	3.14	15.56	32.36	7.11	10.63	11.04	3.72	29.91	3.23	10.0	31.0	1.36	4.54	0.29	0.77	0.0
PZP	5.41	0.0	0.0	0.0	0.41	0.0	63.89	220.32	825.0	232.94	41.81	65.72	327.56	180.02	137.14	239.52	559.28	10.63	169.07	71.0	164.42	114.36	291.04	66.65	312.0	260.38	232.94	483.38	45.85	75.11	110.43	135.24	138.1	392.44	267.73	85.82	295.11	89.51	161.02	397.93	114.36	105.15	49.56	38.12	5.15
RFX3	17.9	32.82	15.22	33.54	47.84	13.03	202.66	144.01	356.05	273.37	50.98	76.71	169.07	275.28	87.65	106.63	202.66	35.5	134.3	68.07	205.5	139.07	151.22	44.89	133.36	287.01	37.32	234.57	31.45	59.55	78.34	327.56	123.5	435.55	277.2	47.17	256.78	72.01	131.51	244.57	73.03	111.99	46.5	73.03	31.22
RSPH10B	1.48	1.89	0.96	0.0	0.39	0.54	57.89	108.14	507.46	149.12	68.55	92.7	258.57	155.5	69.52	86.43	198.47	2.05	151.22	34.26	98.04	185.11	224.97	43.63	236.21	236.21	39.5	204.07	33.78	110.43	82.29	293.07	146.03	190.34	228.13	55.1	303.44	50.63	110.43	204.07	72.01	111.99	31.45	18.7	4.28
SCGB1A1	20.26	2.61	8.71	1.45	43.63	1.68	1273174.62	3336720.86	845824.19	2581895.97	1813064.98	1212874.47	2141216.62	3178687.03	2343119.96	2068278.89	1739208.14	6840.04	3156730.23	721179.07	2691538.19	3178687.03	1556634.79	472513.8	3091765.64	3968052.37	1155430.26	3134925.09	524287.0	1290947.48	1212874.47	2392353.91	2082664.91	2825352.59	1246973.04	1012856.65	2691538.19	1943195.01	1005860.33	3070409.25	938500.81	1374046.07	309589.14	589853.66	2701.35
SERPINI2	0.0	0.0	0.0	0.0	0.0	0.54	30.34	119.26	256.78	103.69	36.53	50.27	98.73	201.25	58.3	31.0	85.82	3.5	100.83	11.82	102.25	102.97	72.52	26.47	91.41	158.79	17.13	226.54	10.24	30.78	55.89	102.25	48.52	130.6	228.13	26.28	186.4	29.91	53.95	128.79	33.54	47.84	15.68	19.53	0.0
SLC6A16	8.06	3.41	0.0	5.54	0.65	0.0	67.59	81.71	351.14	189.02	67.12	82.87	124.37	204.07	180.02	66.65	379.04	32.59	79.45	10.47	137.14	130.6	87.03	23.08	98.04	190.34	46.5	277.2	22.59	37.32	84.63	154.42	53.95	61.68	229.72	25.91	175.07	69.03	85.22	94.67	31.67	106.63	47.5	54.72	23.08
SPAG8	11.38	3.66	1.23	2.58	1.71	3.44	202.66	638.15	2075.59	656.11	172.65	395.18	723.08	842.36	432.53	244.57	902.89	18.43	616.37	142.01	583.07	728.11	559.28	137.14	529.06	1277.29	102.25	1397.83	86.43	214.27	341.51	599.49	466.88	1151.06	1023.0	265.87	902.89	295.11	500.46	884.29	244.57	483.38	116.78	76.17	18.84
STIM2	141.02	228.13	256.78	220.32	297.17	236.21	395.18	703.28	1662.49	521.76	470.14	785.88	890.44	1242.34	909.17	444.72	1151.06	361.04	1111.82	301.33	1030.12	909.17	381.68	249.73	825.0	1259.69	470.14	1447.15	229.72	616.37	551.56	1037.29	872.1	884.29	769.69	493.56	813.63	521.76	872.1	1073.91	547.75	748.61	305.55	269.6	251.48
TCP11X1	0.0	0.0	0.0	0.0	0.0	0.0	1.95	3.82	8.99	5.41	0.0	2.34	5.73	5.63	4.78	2.63	7.69	0.26	4.24	2.1	6.31	4.28	5.28	0.64	8.92	4.98	0.0	6.84	1.22	0.99	1.99	11.13	3.5	7.69	14.24	3.38	2.92	4.06	2.78	7.82	3.29	2.01	1.71	0.27	0.0
TCTN1	334.46	116.78	137.14	161.02	182.55	152.28	813.63	1233.75	4010.71	1175.27	708.18	896.64	2193.99	1909.85	1268.46	708.18	1208.34	215.77	1745.2	713.11	1331.57	1498.22	1286.18	718.08	1572.76	3060.45	500.46	2417.67	379.04	785.88	836.53	2351.53	1313.23	2255.7	1417.35	830.75	2335.28	872.1	1111.82	2104.58	583.07	1073.91	473.41	540.19	323.03
TMEM190	14.56	1.01	0.0	1.14	0.0	1.31	1498.22	1331.57	5006.93	409.15	2434.5	2627.46	1378.57	8479.89	4010.71	3614.55	4481.23	13.32	4268.94	1286.18	6250.56	5831.91	3018.3	1350.18	5329.3	12160.22	1001.93	6652.97	237.86	2255.7	2956.17	5006.93	4836.35	11745.96	4937.99	1225.22	11827.67	426.57	2609.3	5403.7	318.57	412.0	878.17	356.05	8.78
TTC16	0.83	0.21	0.0	0.49	1.43	0.56	63.0	105.89	463.65	86.43	66.65	71.5	169.07	146.03	112.77	56.68	169.07	6.21	194.36	35.5	162.14	151.22	146.03	32.59	108.9	403.5	28.04	314.17	15.56	43.94	74.06	253.23	105.15	194.36	197.09	53.95	214.27	70.51	133.36	194.36	43.32	88.26	28.24	22.26	3.0
WDR96	9.63	1.57	2.66	0.62	3.44	0.69	379.04	603.67	2319.15	743.43	336.79	547.75	1167.14	860.08	616.37	368.65	718.08	24.63	884.29	271.48	651.58	947.83	884.29	206.94	796.86	1909.85	187.71	1909.85	121.79	303.44	511.0	1447.15	567.1	1819.35	1096.5	368.65	1781.89	460.44	651.58	1286.18	381.68	693.58	202.66	198.47	17.38
ZNF19	26.86	17.38	14.24	11.82	20.26	13.42	115.16	132.44	521.76	190.34	116.78	264.03	314.17	379.04	137.14	111.21	376.41	22.26	201.25	82.29	256.78	239.52	228.13	35.0	223.41	409.15	44.89	457.25	69.03	113.56	198.47	348.71	197.09	432.53	454.09	144.01	220.32	148.09	177.53	220.32	81.71	260.38	77.79	54.72	61.25
