	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.BQ.7059.11A.01R.1965.07	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AURKA	429.54	279.14	258.57	450.94	312.0	195.72	42.41	208.38	346.29	51.71	38.67	50.27	33.54	50.98	44.89	30.34	54.72	22.26	26.67	92.05	26.67	27.64	0.0	0.13
C12orf76	264.03	305.55	194.36	320.8	327.56	239.52	309.83	183.82	248.0	239.52	135.24	102.25	70.01	117.6	122.64	146.03	387.02	84.04	217.27	135.24	218.79	221.86	0.0	0.44
C3orf49	0.0	1.36	0.75	3.0	4.74	0.73	3.59	0.37	4.06	1.45	3.32	0.0	0.0	1.06	1.07	2.63	0.0	0.0	0.99	1.51	0.0	2.2	0.0	0.0
CCDC8	23.59	454.09	447.82	454.09	381.68	242.88	327.56	142.01	332.14	256.78	164.42	8.45	5.32	1.93	2.63	12.64	8.13	3.99	3.5	1.03	12.45	9.34	0.0	0.35
CCR10	14.67	6.11	9.48	64.34	16.88	12.93	26.1	5.77	26.47	19.11	2.92	2.58	1.55	5.15	2.89	1.95	4.78	1.31	6.89	2.53	2.89	5.45	0.0	0.6
CDK5R1	18.43	53.57	102.97	221.86	22.92	20.11	14.24	19.82	23.59	26.47	8.25	9.27	9.06	7.0	23.42	8.65	3.79	13.03	3.66	3.06	15.0	5.73	0.0	0.46
CENPM	579.04	217.27	275.28	466.88	156.59	397.93	24.46	281.09	171.45	31.67	10.24	43.63	10.08	10.24	69.03	18.03	21.94	9.13	4.31	0.0	7.88	31.22	0.0	0.0
CKB	140478.49	95286.54	75803.72	123144.13	61571.56	76330.98	11112.3	62865.33	12076.21	11504.21	1111.82	34.75	22.59	339.14	379.04	1819.35	748.61	325.29	36.79	718.08	1304.15	182.55	0.0	0.96
COL6A5	1.83	13.42	23.42	1.33	0.4	0.75	2.68	0.0	0.83	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
CRYBG3	473.41	698.41	551.56	860.08	575.03	303.44	167.9	414.87	251.48	146.03	69.03	105.89	136.19	157.68	60.82	38.4	60.82	77.79	56.28	15.68	110.43	109.66	0.0	0.59
CTD-2006C1.10	28.45	12.45	3.41	32.82	10.79	24.28	7.17	19.97	8.19	3.63	0.61	6.89	0.0	0.0	6.89	0.0	13.03	0.0	2.86	0.0	0.0	0.0	0.0	0.01
CTD-2349B8.1	7.94	1.38	3.03	6.84	5.92	5.45	0.0	0.0	3.66	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.0	0.0
DAG1	1096.5	1397.83	1639.59	1697.45	1322.37	921.88	1225.22	1001.93	1923.14	1378.57	1183.45	575.03	928.3	540.19	785.88	769.69	450.94	638.15	318.57	486.75	967.76	679.29	0.0	0.37
DHRS11	967.76	414.87	460.44	1037.29	463.65	289.02	587.13	318.57	733.19	620.67	147.06	143.01	172.65	39.5	265.87	173.85	267.73	226.54	260.38	232.94	165.57	223.41	0.0	0.56
DMPK	2502.97	1457.23	2075.59	5441.3	1457.23	559.28	587.13	202.66	343.89	642.59	309.83	56.28	22.43	81.71	83.45	143.01	124.37	64.34	112.77	39.5	120.1	139.07	0.0	1.04
ECSIT	2520.38	2047.0	2367.9	3018.3	2209.26	2701.35	1378.57	2240.11	1151.06	1709.26	796.86	743.43	860.08	638.15	723.08	854.13	1259.69	934.76	1242.34	1427.22	1073.91	1250.98	0.0	0.72
EFR3B	28.65	29.27	38.4	53.95	17.9	12.64	6.46	7.63	18.56	11.47	2.84	2.43	1.41	0.57	0.58	5.59	0.56	0.57	0.91	0.18	3.86	2.68	0.0	0.0
ELOVL4	287.01	389.72	289.02	312.0	131.51	39.79	15.11	28.86	48.87	33.78	1.01	0.64	0.58	8.92	0.04	2.48	1.27	3.72	0.0	0.09	6.78	5.19	0.0	0.37
EVI5L	1037.29	1037.29	1832.01	1467.37	759.08	1277.29	273.37	525.39	258.57	343.89	112.77	102.25	83.45	69.52	84.04	98.04	80.01	102.97	66.65	41.81	83.45	55.1	0.0	0.58
FAM101A	59.55	36.27	23.08	158.79	74.58	26.28	27.64	11.55	24.46	17.64	18.7	5.5	12.0	0.0	0.0	4.28	0.0	0.49	0.0	8.65	0.0	10.31	0.0	0.19
FAM13C	842.36	743.43	723.08	1529.73	941.27	470.14	125.24	376.41	99.43	172.65	23.76	15.91	5.45	14.56	24.11	19.11	13.52	7.63	13.52	10.0	17.38	12.83	0.0	0.0
FAM53B	693.58	708.18	836.53	1208.34	733.19	688.78	211.31	353.59	318.57	346.29	139.07	67.59	15.34	30.78	48.52	121.79	24.63	69.03	21.01	17.51	66.65	59.55	0.0	0.42
FLG	12.74	40.93	13.62	187.71	37.85	27.84	4.28	2.94	15.11	27.05	0.0	0.32	1.3	1.07	1.66	2.32	0.0	0.0	0.22	0.0	1.36	2.01	0.0	0.31
GALNT16	1540.37	974.5	713.11	2287.2	1081.39	85.22	454.09	224.97	185.11	281.09	49.91	113.56	27.84	9.06	20.41	37.59	55.89	13.22	32.59	12.74	5.41	81.71	0.0	0.27
GATA2	1407.55	1639.59	2178.83	3146.52	1183.45	1191.69	265.87	480.04	536.45	389.72	22.92	21.32	8.65	6.78	12.55	16.75	6.78	6.84	6.06	10.79	42.11	17.64	0.0	0.69
GPR123	8.38	236.21	76.17	825.0	0.0	118.43	15.68	24.11	16.39	17.51	3.35	2.43	2.32	0.45	0.95	4.43	2.39	5.36	0.87	1.03	8.32	7.34	0.0	0.0
HELT	0.0	0.71	0.78	3.63	0.0	0.0	13.12	0.77	20.41	9.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HOXB4	100.83	88.88	53.95	90.14	52.82	64.8	72.52	53.57	48.87	72.01	21.32	8.78	4.21	4.35	6.16	9.7	5.36	4.74	5.82	2.05	10.96	17.64	0.0	0.61
ICAM5	167.9	17.25	68.07	206.94	156.59	93.35	28.65	124.37	65.26	6.01	10.47	3.72	0.08	9.85	3.99	0.75	1.01	2.03	0.0	0.19	8.13	5.5	0.0	0.71
IGSF9B	101.54	31.22	67.12	381.68	208.38	56.68	13.62	17.64	37.59	28.24	0.41	10.47	0.0	2.16	0.0	0.75	0.27	0.0	0.21	0.0	11.91	4.28	0.0	0.57
INPPL1	2047.0	2303.12	2468.49	2609.3	2224.63	2758.13	1081.39	1467.37	1175.27	1322.37	511.0	329.84	323.03	346.29	432.53	543.96	149.12	205.5	381.68	173.85	444.72	728.11	0.0	1.41
KCTD1	1304.15	1369.04	2119.22	2400.97	1242.34	934.76	884.29	536.45	947.83	718.08	105.15	19.39	26.28	7.46	39.22	53.57	40.07	13.62	39.79	24.11	35.0	71.5	0.0	0.49
KIF13B	1832.01	3467.27	4095.0	2835.7	2555.58	1721.16	511.0	708.18	571.05	532.74	567.1	206.94	150.17	135.24	316.37	339.14	106.63	204.07	104.42	70.01	271.48	149.12	0.0	0.53
LONRF1	1295.13	1216.75	1583.71	1594.73	1295.13	392.44	348.71	314.17	320.8	249.73	153.34	209.84	182.55	267.73	96.01	52.45	217.27	138.1	71.0	164.42	96.01	140.04	0.0	0.43
LRRC34	53.95	28.65	51.35	91.41	80.01	23.93	56.68	46.18	70.51	46.5	13.42	13.03	6.94	4.1	8.13	13.22	4.1	7.17	5.82	3.59	8.99	21.63	0.0	0.26
MAPRE3	1896.65	1936.53	379.04	2133.97	2351.53	1242.34	532.74	780.44	583.07	536.45	563.18	341.51	269.6	186.4	540.19	279.14	329.84	287.01	547.75	182.55	279.14	575.03	211.31	239.52
MCUR1	587.13	500.46	336.79	733.19	486.75	612.11	514.56	441.64	607.87	514.56	384.34	603.67	497.0	540.19	417.77	483.38	457.25	660.68	579.04	412.0	287.01	387.02	0.0	0.41
MEGF8	854.13	909.17	961.07	1963.57	928.3	603.67	291.04	395.18	435.55	473.41	163.28	217.27	58.71	102.25	152.28	183.82	27.25	139.07	68.07	44.25	197.09	99.43	0.0	0.61
N4BP3	251.48	547.75	466.88	334.46	155.5	753.83	52.08	241.19	57.49	57.08	4.28	1.57	0.15	1.53	0.82	1.0	0.16	0.16	0.12	0.22	0.82	0.13	0.0	0.09
NXPH4	2384.37	890.44	518.15	2090.03	2090.03	934.76	7.57	642.59	71.5	23.59	14.56	0.95	0.0	6.11	4.7	1.89	0.33	0.0	3.17	0.75	5.06	0.82	0.0	0.56
ORM1	3.26	0.0	0.0	0.0	5.82	3.47	3.44	2.73	514.56	2.29	4136558.78	3676749.88	3313672.43	4165330.83	5572911.22	8505707.6	4282434.24	6183532.28	4433454.0	4433454.0	3832885.91	3859545.74	0.0	0.18
P2RX2	25.17	1.43	0.79	14.14	19.11	1.14	13.83	1.53	1.22	7.4	1.99	0.0	0.0	0.77	3.66	0.0	2.34	1.57	0.0	0.45	1.17	0.0	0.0	0.2
PAPPA2	182.55	669.92	244.57	486.75	884.29	105.89	518.15	215.77	303.44	275.28	5.28	32.59	36.27	33.78	44.89	14.35	17.13	19.97	3.0	0.0	16.63	102.25	0.0	0.07
PATE2	0.0	0.69	0.39	1.73	0.0	1.11	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PCBP4	748.61	1037.29	890.44	1437.15	995.0	417.77	417.77	314.17	318.57	395.18	145.02	144.01	66.65	198.47	195.72	157.68	124.37	112.77	147.06	98.04	167.9	201.25	0.0	0.69
PFKM	3742.05	5555.65	5366.37	5954.47	4736.79	3325.99	1407.55	4671.57	1832.01	1529.73	327.56	111.21	94.67	77.79	135.24	159.9	73.03	101.54	147.06	40.07	195.72	237.86	0.0	0.83
PRPF40B	563.18	547.75	514.56	684.02	444.72	518.15	351.14	376.41	248.0	373.81	115.16	63.45	57.49	71.0	74.06	76.71	67.12	57.89	108.14	38.4	67.59	95.34	0.0	0.84
PRRT3	71.5	62.12	49.91	171.45	132.44	34.51	57.49	78.34	56.68	51.71	8.58	5.92	1.83	4.86	3.59	2.81	1.51	4.43	6.52	4.5	6.84	3.26	0.0	0.25
PSD2	22.75	15.22	22.1	29.7	18.84	4.46	2.97	11.91	6.57	2.94	0.05	1.43	0.72	0.13	0.14	1.68	2.36	0.44	0.66	1.22	0.14	0.1	0.0	0.16
PTCHD4	267.73	314.17	242.88	607.87	146.03	48.18	24.46	246.28	17.0	18.97	2.1	2.48	1.14	0.0	0.0	4.58	3.89	3.92	14.56	4.35	0.0	0.0	0.0	0.0
PTGES2	3060.45	2816.11	2701.35	5913.33	1662.49	4836.35	1397.83	2319.15	1286.18	1583.71	896.64	599.49	718.08	1059.11	947.83	733.19	703.28	1127.35	830.75	583.07	540.19	616.37	0.0	0.52
PXK	2645.74	6840.04	7180.15	6164.49	3768.09	1175.27	447.82	1950.0	764.36	665.29	361.04	99.43	161.02	99.43	323.03	183.82	88.88	139.07	130.6	92.05	145.02	185.11	0.0	0.55
RAB18	1225.22	1233.75	1359.57	1963.57	1359.57	813.63	1896.65	1721.16	1991.0	1628.26	1733.13	1498.22	1923.14	1407.55	1369.04	1175.27	967.76	1388.16	791.35	1104.13	1457.23	1143.1	0.0	0.79
RAB3A	1250.98	1199.98	947.83	1259.69	540.19	748.61	142.01	400.71	251.48	211.31	16.88	50.98	24.63	16.15	22.59	63.89	44.89	18.03	36.01	165.57	21.47	37.59	0.0	0.27
REEP2	651.58	251.48	115.16	808.0	133.36	11.91	32.59	55.89	80.57	48.52	0.73	0.0	0.27	5.32	3.79	22.92	2.25	4.82	1.2	0.0	3.76	1.27	0.0	0.37
SHANK1	13.93	191.67	131.51	206.94	66.18	14.03	11.55	27.44	7.46	9.56	0.82	0.14	4.03	0.0	1.89	3.76	0.0	7.06	0.1	0.0	3.26	0.51	0.0	0.08
SLC16A8	209.84	10.31	17.9	265.87	314.17	32.82	12.09	7.22	4.66	24.11	8.71	0.62	0.0	0.0	8.0	1.81	0.79	4.06	3.41	3.47	4.82	1.11	0.0	0.54
SLC4A1	9740.98	21768.19	25887.07	15180.22	11189.6	10883.59	1685.71	7642.41	8421.31	3146.52	5.28	0.18	0.16	16.39	0.17	0.22	5.36	0.0	0.32	5.15	2.97	7.28	0.0	0.03
SLIT1	10.31	1.39	1.93	5.68	1.62	1.11	0.34	0.0	16.51	2.2	2.23	1.57	0.09	0.0	0.47	1.38	0.46	0.0	0.74	2.48	0.47	0.09	0.0	0.0
SMC2	88.26	155.5	234.57	224.97	132.44	63.45	127.89	151.22	249.73	128.79	53.95	84.63	84.04	25.72	73.03	49.91	20.11	34.75	21.01	25.54	52.08	48.87	0.0	0.15
TBC1D14	14065.74	17197.56	11267.44	13968.57	12764.83	12589.08	954.43	7382.04	1407.55	1350.18	480.04	204.07	124.37	111.21	376.41	295.11	301.33	314.17	224.97	128.79	177.53	170.25	0.0	0.46
TBKBP1	417.77	234.57	265.87	353.59	226.54	191.67	190.34	85.82	234.57	251.48	47.5	17.25	10.0	9.41	28.04	31.45	22.59	18.7	17.51	12.55	52.82	34.02	0.0	0.71
TCAP	1015.93	80.57	48.52	329.84	94.01	181.28	9.2	27.05	17.38	21.78	8.51	1.43	6.31	13.42	14.03	32.36	12.93	2.2	3.2	6.41	3.26	28.24	0.0	0.51
TIAM2	148.09	105.89	108.9	206.94	114.36	74.58	87.03	108.9	118.43	84.04	42.11	24.28	33.54	20.71	17.13	30.78	30.12	22.59	23.42	10.24	32.36	63.45	0.0	0.34
TIMP3	8134.41	5594.3	2417.67	15824.9	4671.57	1088.92	9876.98	2119.22	7331.05	6745.86	3349.13	525.39	612.11	748.61	775.05	2555.58	1015.93	2032.85	244.57	988.12	1447.15	679.29	3491.39	1674.06
TLE2	2271.4	896.64	1487.87	1844.76	1369.04	1407.55	579.04	587.13	373.81	860.08	111.99	432.53	63.0	395.18	59.13	98.04	48.18	41.52	208.38	42.41	204.07	232.94	0.0	0.97
TMEM143	603.67	684.02	532.74	890.44	529.06	703.28	316.37	507.46	381.68	450.94	115.97	241.19	187.71	78.34	275.28	285.03	320.8	297.17	264.03	232.94	236.21	406.31	0.0	0.3
TRPM4	1561.89	753.83	733.19	2976.74	1407.55	890.44	748.61	591.22	684.02	791.35	118.43	536.45	559.28	1015.93	460.44	480.04	105.89	486.75	500.46	674.59	368.65	796.86	186.4	518.15
UBL7	1540.37	1359.57	1477.58	1397.83	1378.57	1250.98	1143.1	860.08	1233.75	1242.34	624.99	595.34	486.75	232.94	638.15	612.11	567.1	616.37	579.04	532.74	785.88	674.59	0.0	0.2
VAMP2	2163.77	2032.85	1685.71	2591.27	1350.18	1721.16	3235.01	884.29	2895.31	2777.33	909.17	808.0	426.57	473.41	703.28	753.83	708.18	647.07	872.1	791.35	441.64	507.46	497.0	3124.78
VDR	872.1	1175.27	2075.59	1806.78	733.19	1529.73	414.87	1167.14	780.44	796.86	50.63	49.21	14.78	81.14	18.97	8.38	5.32	5.41	2.84	6.11	38.67	13.22	129.69	154.42
WDR37	195.72	154.42	265.87	379.04	191.67	182.55	148.09	122.64	206.94	220.32	104.42	86.43	51.35	142.01	64.8	81.14	49.91	79.45	92.7	32.82	88.26	73.54	0.0	0.65
YBX2	954.43	170.25	297.17	819.3	493.56	137.14	36.79	112.77	74.06	53.95	3.5	11.47	2.53	0.28	19.53	6.78	52.08	12.45	9.13	57.08	24.99	28.86	0.0	0.54
ZDHHC23	555.41	819.3	1088.92	1104.13	934.76	314.17	103.69	521.76	106.63	151.22	81.14	30.12	35.0	25.91	48.52	55.49	44.57	34.26	37.59	23.76	68.55	66.65	0.0	0.46
ZFAND3	1023.0	2209.26	1369.04	3515.68	1508.65	1143.1	1407.55	1151.06	2061.24	1572.76	1857.6	1037.29	1498.22	1008.9	1721.16	1081.39	1015.93	1304.15	713.11	1119.56	915.51	836.53	1037.29	138.1
ZMIZ1	1096.5	884.29	1135.2	1617.0	1111.82	1369.04	808.0	629.35	1008.9	854.13	703.28	366.09	218.79	112.77	198.47	267.73	190.34	327.56	420.68	127.89	291.04	177.53	224.97	114.36
ZNF177	43.02	102.97	80.57	46.5	32.13	56.28	48.52	53.95	60.39	50.27	0.0	3.38	2.2	1.91	5.15	14.78	6.06	38.12	12.36	0.0	6.52	6.41	0.0	0.09
ZNF235	39.79	75.64	62.56	73.03	50.27	56.28	37.59	48.87	51.71	69.03	19.53	8.0	36.53	25.35	29.06	23.08	17.9	14.67	19.25	4.35	25.35	17.77	0.0	0.21
ZNF385C	244.57	149.12	99.43	176.29	229.72	75.64	43.63	32.59	52.45	37.05	10.16	0.27	0.23	0.0	2.84	4.94	3.23	0.26	4.24	3.63	1.06	2.16	0.0	0.13
ZNF431	460.44	629.35	412.0	392.44	473.41	251.48	121.79	205.5	142.01	152.28	20.86	25.91	10.88	14.03	37.85	29.06	15.22	16.75	10.39	26.1	8.92	32.59	0.0	0.78
ZNF445	53.95	120.94	139.07	93.35	96.68	55.49	52.08	51.35	102.97	94.01	24.99	46.5	35.5	24.11	45.21	53.95	23.42	30.78	40.93	27.84	59.55	57.49	0.0	0.49
ZNF530	38.4	63.45	59.55	65.26	39.22	59.13	27.25	43.94	57.89	43.32	6.78	10.0	6.52	10.39	11.3	4.86	12.27	9.2	10.88	10.63	35.25	12.55	0.0	0.2
ZNF599	201.25	181.28	144.01	164.42	72.01	183.82	206.94	81.14	140.04	190.34	28.24	36.01	10.55	14.78	48.18	59.55	31.67	42.71	65.72	51.71	57.89	61.25	0.0	0.35
ZNF763	115.97	176.29	159.9	157.68	143.01	132.44	100.13	139.07	60.82	101.54	45.85	10.0	8.85	7.11	15.22	34.26	9.63	11.47	7.82	4.35	19.39	5.82	0.0	0.14
