	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	TCGA.A7.A13F.11A.42R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.132AR.0826.SM.5EGK6	GTEX.SE5C.2126.SM.4BRUJ	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.12WSJ.1426.SM.5GCON	GTEX.13W3W.2126.SM.5K7UX	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13OVI.1026.SM.5L3EM
CLASP2	723.08	460.44	543.96	223.41	703.28	323.03	836.53	791.35	543.96	603.67	633.73	651.58	583.07	267.73	518.15	400.71	728.11	334.46	318.57	825.0	1030.12	283.05	379.04	209.84	224.97	275.28	406.31	567.1	293.07	379.04	229.72	285.03	112.77	110.43	65.72	547.75
CLIP4	638.15	674.59	669.92	273.37	591.22	514.56	518.15	878.17	748.61	981.29	764.36	607.87	954.43	902.89	503.95	500.46	353.59	241.19	231.32	748.61	1378.57	139.07	334.46	381.68	283.05	251.48	329.84	540.19	151.22	295.11	182.55	166.73	231.32	158.79	66.65	1277.29
CRBN	1143.1	1104.13	981.29	890.44	1225.22	866.07	1199.98	1151.06	1104.13	1322.37	1199.98	1051.79	1233.75	995.0	866.07	1073.91	909.17	1037.29	389.72	1250.98	2468.49	563.18	450.94	486.75	616.37	595.34	612.11	1044.52	624.99	473.41	543.96	490.14	106.63	170.25	220.32	1340.84
CREBRF	514.56	339.14	343.89	162.14	521.76	198.47	591.22	503.95	346.29	486.75	579.04	511.0	381.68	260.38	309.83	223.41	309.83	182.55	135.24	397.93	866.07	161.02	81.14	123.5	117.6	148.09	376.41	381.68	211.31	94.67	111.99	141.02	40.93	88.26	28.04	417.77
CRNKL1	599.49	483.38	603.67	460.44	518.15	343.89	674.59	575.03	466.88	476.71	624.99	518.15	351.14	361.04	483.38	529.06	307.69	320.8	368.65	723.08	1551.09	540.19	218.79	379.04	277.2	320.8	454.09	633.73	316.37	221.86	228.13	260.38	136.19	368.65	202.66	583.07
CTDSPL2	567.1	373.81	339.14	121.79	486.75	211.31	595.34	490.14	285.03	371.22	454.09	493.56	343.89	220.32	366.09	303.44	314.17	183.82	148.09	555.41	1059.11	141.02	144.01	173.85	169.07	269.6	316.37	379.04	236.21	153.34	180.02	57.89	24.46	71.5	37.59	376.41
CUL4B	1081.39	764.36	703.28	426.57	878.17	529.06	921.88	1167.14	748.61	872.1	1023.0	896.64	769.69	555.41	674.59	974.5	624.99	525.39	466.88	1127.35	1529.73	571.05	435.55	728.11	514.56	450.94	1066.48	1313.23	624.99	466.88	384.34	177.53	93.35	170.25	104.42	1721.16
DCAF8	2148.82	1844.76	2047.0	1407.55	2627.46	2004.85	2758.13	2367.9	2163.77	1950.0	2209.26	2335.28	2104.58	2047.0	2240.11	1583.71	1572.76	1225.22	2133.97	2915.45	2335.28	1487.87	1277.29	1529.73	1417.35	1832.01	2367.9	2061.24	1697.45	1896.65	1427.22	1359.57	1322.37	1183.45	1685.71	3589.58
DDX20	246.28	221.86	226.54	104.42	212.78	127.0	255.0	255.0	152.28	146.03	201.25	260.38	136.19	124.37	169.07	231.32	156.59	167.9	157.68	204.07	426.57	128.79	152.28	173.85	121.79	183.82	190.34	299.25	129.69	117.6	143.01	71.0	41.81	64.34	32.82	295.11
DSTYK	258.57	205.5	215.77	110.43	251.48	115.16	307.69	237.86	172.65	224.97	255.0	256.78	170.25	119.26	189.02	232.94	258.57	148.09	163.28	265.87	400.71	147.06	173.85	137.14	125.24	170.25	161.02	289.02	107.38	83.45	79.45	75.64	70.51	94.67	13.03	329.84
ERO1LB	193.01	189.02	170.25	87.65	191.67	102.97	253.23	211.31	140.04	223.41	161.02	202.66	164.42	128.79	131.51	88.88	339.14	61.68	69.52	281.09	1023.0	136.19	37.59	81.14	71.5	87.03	176.29	95.34	122.64	78.89	77.79	42.71	36.79	46.84	120.1	376.41
FABP4	44452.21	217400.14	140478.49	365622.68	92680.9	394590.4	104996.83	107203.06	348306.01	370726.6	205673.01	81244.48	489177.0	273275.14	194578.47	447025.24	716197.51	602247.76	360589.03	198667.0	18689.27	569761.05	198667.0	558035.51	906531.99	1078054.48	1838374.44	394590.4	636586.81	525.39	292889.12	66.18	68.55	24.11	58.71	114103.8
FAM160B1	403.5	387.02	351.14	218.79	351.14	336.79	389.72	470.14	361.04	476.71	447.82	301.33	387.02	258.57	303.44	392.44	318.57	309.83	271.48	341.51	591.22	289.02	170.25	423.61	253.23	314.17	241.19	444.72	224.97	157.68	173.85	84.63	86.43	70.01	108.9	579.04
FAM76B	460.44	356.05	348.71	71.5	466.88	217.27	591.22	536.45	297.17	316.37	356.05	463.65	325.29	241.19	291.04	318.57	172.65	186.4	190.34	500.46	395.18	169.07	115.97	159.9	122.64	138.1	314.17	503.95	336.79	190.34	241.19	49.21	10.08	32.36	46.84	660.68
FAM91A1	708.18	406.31	420.68	153.34	438.59	281.09	647.07	583.07	371.22	432.53	463.65	551.56	444.72	226.54	346.29	325.29	403.5	332.14	293.07	536.45	579.04	190.34	244.57	339.14	209.84	287.01	351.14	493.56	543.96	371.22	392.44	185.11	114.36	180.02	135.24	813.63
FCHO2	587.13	454.09	441.64	193.01	470.14	242.88	607.87	599.49	343.89	567.1	463.65	480.04	400.71	387.02	295.11	417.77	423.61	412.0	143.01	638.15	866.07	249.73	165.57	244.57	285.03	244.57	450.94	547.75	536.45	182.55	281.09	281.09	64.8	208.38	48.18	525.39
G2E3	271.48	181.28	169.07	71.5	231.32	109.66	281.09	264.03	149.12	178.77	234.57	218.79	206.94	87.65	142.01	180.02	131.51	127.0	144.01	264.03	463.65	149.12	94.67	133.36	77.79	126.12	132.44	214.27	163.28	95.34	117.6	25.91	9.48	13.72	13.93	273.37
GAPVD1	450.94	384.34	323.03	178.77	379.04	336.79	555.41	521.76	412.0	432.53	486.75	414.87	460.44	253.23	341.51	334.46	392.44	199.85	323.03	470.14	684.02	201.25	156.59	356.05	267.73	389.72	348.71	329.84	305.55	283.05	165.57	100.13	60.39	94.67	65.26	409.15
HAUS3	275.28	248.0	258.57	128.79	291.04	217.27	368.65	332.14	189.02	271.48	231.32	226.54	215.77	212.78	199.85	258.57	237.86	221.86	212.78	332.14	397.93	164.42	172.65	206.94	189.02	128.79	236.21	220.32	197.09	98.73	127.89	42.41	13.42	33.54	20.26	368.65
HSDL1	470.14	429.54	426.57	307.69	463.65	281.09	607.87	507.46	316.37	356.05	414.87	460.44	320.8	285.03	336.79	444.72	525.39	234.57	351.14	406.31	921.88	264.03	457.25	307.69	194.36	256.78	518.15	287.01	198.47	131.51	153.34	267.73	211.31	195.72	111.99	470.14
IGF1R	571.05	450.94	457.25	96.68	708.18	92.7	947.83	743.43	231.32	239.52	599.49	669.92	182.55	120.94	457.25	187.71	275.28	80.01	137.14	684.02	1088.92	59.55	246.28	49.21	41.22	88.26	376.41	1023.0	251.48	205.5	181.28	232.94	142.01	183.82	6.57	1081.39
JMY	228.13	164.42	155.5	60.82	204.07	105.15	249.73	251.48	140.04	199.85	228.13	199.85	151.22	115.16	154.42	183.82	169.07	126.12	67.59	281.09	368.65	62.12	45.85	56.68	88.88	96.68	96.01	208.38	92.05	117.6	59.97	88.26	23.08	48.52	27.25	253.23
KCTD3	2018.8	1369.04	1242.34	441.64	1561.89	759.08	1304.15	1277.29	813.63	934.76	1151.06	1359.57	791.35	507.46	1191.69	1081.39	473.41	579.04	500.46	1674.06	2287.2	339.14	409.15	848.22	454.09	555.41	878.17	1407.55	591.22	684.02	409.15	327.56	161.02	242.88	432.53	1167.14
KIAA1432	373.81	299.25	231.32	105.89	346.29	221.86	356.05	389.72	281.09	373.81	341.51	309.83	358.54	180.02	269.6	303.44	281.09	158.79	217.27	346.29	429.54	121.79	154.42	176.29	116.78	152.28	215.77	289.02	211.31	109.66	143.01	71.0	77.25	84.63	82.29	571.05
KRIT1	693.58	567.1	583.07	217.27	688.78	507.46	854.13	748.61	579.04	620.67	753.83	656.11	647.07	444.72	591.22	669.92	497.0	463.65	395.18	808.0	1073.91	454.09	371.22	435.55	366.09	366.09	441.64	612.11	457.25	351.14	409.15	105.89	47.17	71.5	57.89	854.13
MED13L	1044.52	748.61	738.29	229.72	1183.45	450.94	1216.75	1111.82	764.36	909.17	1088.92	1030.12	981.29	728.11	713.11	603.67	466.88	647.07	444.72	738.29	1088.92	144.01	206.94	559.28	423.61	540.19	620.67	1331.57	591.22	314.17	336.79	120.1	118.43	199.85	49.91	1331.57
MTR	450.94	281.09	256.78	112.77	371.22	191.67	423.61	441.64	285.03	366.09	363.56	389.72	363.56	208.38	262.2	224.97	226.54	146.03	176.29	353.59	629.35	115.97	135.24	237.86	153.34	287.01	285.03	291.04	187.71	171.45	159.9	70.01	36.01	57.89	17.51	642.59
NUP107	785.88	555.41	518.15	275.28	583.07	381.68	669.92	567.1	400.71	563.18	507.46	638.15	493.56	406.31	483.38	583.07	305.55	320.8	253.23	785.88	1023.0	332.14	429.54	483.38	277.2	547.75	361.04	693.58	301.33	246.28	400.71	157.68	108.9	251.48	94.67	1059.11
OSBPL9	2133.97	1733.13	1870.53	775.05	1685.71	1015.93	1857.6	2104.58	1268.46	1331.57	1561.89	1991.0	1001.93	848.22	1757.34	1551.09	878.17	866.07	981.29	1883.54	2119.22	551.56	934.76	733.19	764.36	802.41	1015.93	2075.59	1437.15	457.25	1037.29	902.89	669.92	599.49	638.15	2047.0
OSER1	1030.12	1159.07	1073.91	693.58	981.29	660.68	1073.91	1008.9	796.86	791.35	961.07	1096.5	723.08	1066.48	878.17	890.44	595.34	693.58	647.07	1008.9	1135.2	429.54	607.87	591.22	500.46	426.57	780.44	1023.0	836.53	511.0	547.75	555.41	409.15	521.76	420.68	1127.35
PHF3	890.44	638.15	703.28	297.17	967.76	620.67	1015.93	967.76	769.69	1151.06	1044.52	934.76	941.27	708.18	656.11	656.11	638.15	438.59	379.04	934.76	1350.18	400.71	242.88	320.8	339.14	397.93	674.59	796.86	353.59	220.32	214.27	75.11	29.91	50.63	58.3	836.53
PHIP	620.67	297.17	271.48	88.26	540.19	161.02	607.87	591.22	307.69	457.25	476.71	529.06	336.79	220.32	291.04	295.11	269.6	191.67	141.02	547.75	780.44	172.65	143.01	131.51	116.78	157.68	267.73	395.18	162.14	119.26	130.6	28.86	12.55	41.52	9.63	483.38
PHTF2	289.02	181.28	198.47	94.67	244.57	120.94	273.37	249.73	204.07	224.97	241.19	218.79	199.85	103.69	173.85	205.5	191.67	126.12	113.56	256.78	579.04	80.01	115.97	110.43	95.34	132.44	163.28	185.11	173.85	89.51	80.57	43.63	23.42	46.18	17.25	438.59
PIKFYVE	343.89	218.79	185.11	82.87	293.07	208.38	336.79	356.05	279.14	343.89	309.83	293.07	348.71	171.45	201.25	316.37	283.05	229.72	157.68	279.14	329.84	150.17	117.6	212.78	197.09	169.07	163.28	264.03	143.01	109.66	134.3	43.94	32.36	39.22	28.86	521.76
PIWIL4	75.64	47.84	56.28	32.36	112.77	31.45	69.52	93.35	61.25	66.18	115.97	61.68	71.5	51.35	57.49	52.08	85.82	39.5	29.48	61.68	171.45	30.12	20.11	21.78	22.43	48.52	87.03	77.25	57.49	27.64	51.35	7.94	10.16	19.53	4.35	94.01
PPM1A	1199.98	1023.0	1037.29	764.36	1127.35	1059.11	1135.2	1159.07	1066.48	1119.56	1322.37	954.43	974.5	775.05	967.76	890.44	1427.22	785.88	1127.35	1096.5	1225.22	660.68	507.46	884.29	813.63	575.03	988.12	954.43	1111.82	567.1	733.19	780.44	438.59	417.77	624.99	1119.56
PRKD3	723.08	423.61	423.61	255.0	579.04	339.14	563.18	599.49	511.0	633.73	642.59	483.38	567.1	363.56	406.31	493.56	769.69	423.61	205.5	567.1	2384.37	339.14	234.57	191.67	215.77	368.65	466.88	353.59	277.2	353.59	191.67	110.43	57.08	108.14	39.5	599.49
RB1CC1	728.11	620.67	587.13	253.23	684.02	583.07	718.08	733.19	540.19	679.29	703.28	647.07	629.35	447.82	486.75	738.29	616.37	743.43	435.55	612.11	1135.2	285.03	341.51	563.18	346.29	297.17	403.5	860.08	376.41	287.01	307.69	59.13	18.84	36.27	22.1	1407.55
RORA	173.85	159.9	94.67	59.97	269.6	50.63	221.86	218.79	130.6	150.17	202.66	217.27	186.4	127.89	102.97	143.01	106.63	73.54	135.24	138.1	283.05	29.06	30.34	68.07	39.5	52.08	194.36	253.23	102.25	52.08	40.93	117.6	14.45	35.25	82.87	518.15
RUNX1T1	217.27	110.43	131.51	78.34	212.78	111.99	229.72	138.1	269.6	194.36	217.27	171.45	253.23	149.12	182.55	191.67	122.64	111.99	100.83	295.11	713.11	178.77	59.55	25.91	92.05	78.89	86.43	86.43	108.9	78.34	75.11	4.28	4.46	3.72	0.75	264.03
SIRT1	633.73	559.28	536.45	267.73	563.18	432.53	616.37	587.13	444.72	693.58	587.13	555.41	511.0	563.18	332.14	612.11	450.94	521.76	246.28	559.28	1407.55	159.9	239.52	361.04	429.54	217.27	389.72	500.46	356.05	264.03	246.28	106.63	80.01	122.64	122.64	733.19
SMURF2	532.74	341.51	327.56	152.28	389.72	318.57	503.95	493.56	361.04	343.89	624.99	454.09	387.02	229.72	348.71	395.18	336.79	202.66	221.86	647.07	620.67	249.73	190.34	242.88	129.69	281.09	297.17	493.56	271.48	147.06	187.71	71.0	54.72	157.68	21.94	441.64
SPATA6	258.57	175.07	186.4	86.43	273.37	103.69	251.48	237.86	170.25	229.72	258.57	318.57	223.41	134.3	170.25	234.57	86.43	95.34	73.03	246.28	432.53	98.73	90.77	55.1	55.1	66.18	145.02	297.17	140.04	129.69	102.25	52.45	28.24	52.82	25.72	660.68
STAG1	607.87	444.72	463.65	237.86	551.56	363.56	616.37	563.18	454.09	476.71	616.37	587.13	447.82	329.84	450.94	423.61	420.68	320.8	320.8	620.67	1225.22	234.57	291.04	248.0	218.79	297.17	551.56	480.04	403.5	255.0	320.8	109.66	50.63	75.64	54.72	1030.12
STAG2	1605.83	988.12	1037.29	457.25	1407.55	743.43	1487.87	1508.65	1037.29	1447.15	1594.73	1427.22	1151.06	866.07	961.07	1111.82	1001.93	785.88	470.14	1674.06	1794.29	620.67	612.11	480.04	595.34	642.59	921.88	1331.57	595.34	454.09	395.18	209.84	61.68	149.12	94.67	1551.09
TBCEL	316.37	255.0	234.57	129.69	251.48	178.77	295.11	303.44	231.32	241.19	265.87	231.32	287.01	124.37	242.88	187.71	139.07	162.14	124.37	239.52	532.74	112.77	120.94	150.17	159.9	173.85	142.01	327.56	193.01	139.07	126.12	73.54	65.72	78.89	105.15	406.31
TNKS	368.65	256.78	218.79	107.38	346.29	148.09	361.04	420.68	256.78	275.28	356.05	325.29	253.23	173.85	236.21	265.87	202.66	111.99	159.9	320.8	909.17	125.24	152.28	115.97	88.88	228.13	189.02	314.17	141.02	130.6	117.6	126.12	98.04	124.37	47.5	420.68
TPP2	728.11	684.02	551.56	246.28	647.07	493.56	718.08	679.29	497.0	603.67	629.35	718.08	629.35	460.44	547.75	536.45	379.04	353.59	466.88	728.11	1111.82	551.56	511.0	392.44	414.87	353.59	1096.5	748.61	536.45	397.93	366.09	323.03	169.07	205.5	195.72	1044.52
TRIM33	503.95	327.56	291.04	107.38	429.54	165.57	563.18	514.56	258.57	305.55	392.44	441.64	293.07	201.25	305.55	249.73	289.02	195.72	244.57	397.93	642.59	141.02	193.01	175.07	128.79	202.66	301.33	466.88	251.48	161.02	127.0	73.54	41.52	80.01	55.49	599.49
TRIM4	825.0	679.29	941.27	438.59	802.41	486.75	934.76	830.75	656.11	703.28	1015.93	825.0	688.78	616.37	748.61	813.63	836.53	633.73	470.14	1037.29	1697.45	441.64	392.44	327.56	348.71	366.09	629.35	775.05	529.06	265.87	346.29	289.02	209.84	486.75	185.11	1135.2
TTC8	679.29	575.03	629.35	169.07	607.87	283.05	698.41	529.06	376.41	426.57	381.68	620.67	275.28	351.14	514.56	392.44	256.78	121.79	287.01	660.68	909.17	249.73	307.69	229.72	171.45	389.72	299.25	392.44	178.77	214.27	164.42	234.57	209.84	182.55	141.02	346.29
UBXN7	348.71	212.78	215.77	92.05	336.79	150.17	384.34	366.09	249.73	320.8	400.71	305.55	273.37	182.55	209.84	258.57	318.57	173.85	175.07	400.71	438.59	158.79	125.24	149.12	142.01	163.28	208.38	323.03	120.94	94.67	87.03	81.71	53.95	74.58	39.22	432.53
UHRF1BP1L	392.44	256.78	260.38	158.79	325.29	273.37	316.37	341.51	279.14	312.0	334.46	299.25	307.69	175.07	267.73	307.69	197.09	142.01	187.71	392.44	947.83	158.79	127.89	232.94	164.42	275.28	423.61	314.17	241.19	151.22	176.29	100.13	36.79	46.84	83.45	316.37
VAMP4	435.55	441.64	403.5	329.84	358.54	379.04	466.88	426.57	435.55	432.53	373.81	381.68	426.57	301.33	343.89	395.18	295.11	395.18	208.38	466.88	890.44	156.59	231.32	204.07	289.02	363.56	228.13	438.59	323.03	221.86	249.73	128.79	106.63	123.5	109.66	540.19
WDFY2	244.57	149.12	129.69	66.65	248.0	63.45	220.32	249.73	162.14	201.25	221.86	223.41	199.85	98.73	131.51	178.77	88.88	88.88	177.53	220.32	155.5	73.54	106.63	77.79	93.35	87.03	118.43	183.82	83.45	72.52	123.5	40.64	70.01	37.05	45.21	323.03
XRN1	371.22	198.47	223.41	71.5	320.8	139.07	441.64	379.04	217.27	275.28	301.33	289.02	291.04	149.12	185.11	166.73	142.01	121.79	137.14	329.84	426.57	71.5	85.82	135.24	113.56	147.06	173.85	287.01	205.5	106.63	136.19	58.3	16.88	33.06	43.02	551.56
ZBTB25	164.42	151.22	133.36	121.79	143.01	128.79	177.53	185.11	142.01	150.17	147.06	134.3	156.59	128.79	150.17	129.69	129.69	91.41	81.71	175.07	181.28	98.73	93.35	96.01	45.21	119.26	119.26	90.14	100.83	73.54	82.87	55.1	53.19	57.89	18.43	275.28
ZCWPW2	63.45	43.94	46.18	29.91	46.5	32.59	41.52	54.72	55.89	69.52	41.81	50.27	56.68	33.78	26.67	40.36	36.27	21.94	11.04	57.08	72.52	13.83	13.12	9.2	22.92	34.02	49.91	33.06	21.78	32.82	12.0	15.56	5.06	7.28	5.77	66.65
ZFP30	170.25	102.25	117.6	21.94	172.65	72.52	197.09	190.34	107.38	120.94	144.01	115.97	87.03	84.63	87.65	102.97	100.83	50.27	66.18	148.09	236.21	75.64	37.59	30.34	39.5	82.29	95.34	124.37	51.71	46.84	24.63	17.25	18.97	14.35	6.46	218.79
ZKSCAN8	379.04	249.73	248.0	87.65	409.15	142.01	497.0	454.09	275.28	293.07	366.09	361.04	269.6	143.01	253.23	253.23	198.47	159.9	239.52	314.17	500.46	142.01	125.24	120.94	118.43	173.85	181.28	323.03	164.42	165.57	117.6	48.18	45.21	76.71	24.63	825.0
ZMYM2	1023.0	890.44	860.08	500.46	934.76	579.04	1051.79	1001.93	743.43	684.02	878.17	769.69	647.07	642.59	896.64	753.83	728.11	529.06	660.68	872.1	1304.15	389.72	429.54	500.46	387.02	551.56	567.1	629.35	684.02	336.79	312.0	186.4	128.79	217.27	98.73	1259.69
ZNF292	397.93	271.48	244.57	60.82	343.89	146.03	409.15	371.22	165.57	239.52	291.04	329.84	183.82	120.1	209.84	232.94	194.36	113.56	114.36	358.54	603.67	141.02	105.89	86.43	87.03	148.09	170.25	217.27	129.69	88.88	77.25	16.03	8.58	18.7	6.06	275.28
ZNF345	167.9	149.12	146.03	54.33	169.07	61.68	191.67	138.1	95.34	82.87	115.16	140.04	96.68	69.52	127.89	127.0	88.26	70.01	81.14	166.73	178.77	78.89	49.21	31.9	50.63	52.45	96.68	98.73	74.06	62.12	43.32	23.76	18.56	26.1	15.11	226.54
ZNF354C	157.68	90.77	90.14	38.4	122.64	59.97	153.34	156.59	98.73	121.79	125.24	127.89	88.88	61.25	66.65	94.01	90.77	69.52	93.35	159.9	307.69	33.3	40.07	29.7	48.18	38.95	75.64	110.43	41.22	38.4	22.59	15.45	5.54	13.12	1.64	334.46
ZNF395	1059.11	1059.11	1111.82	723.08	1498.22	660.68	1268.46	1191.69	813.63	1119.56	1159.07	1369.04	819.3	1051.79	825.0	587.13	934.76	392.44	769.69	842.36	1175.27	583.07	400.71	329.84	397.93	444.72	633.73	866.07	651.58	246.28	612.11	373.81	384.34	429.54	186.4	2133.97
ZNF451	555.41	387.02	376.41	142.01	507.46	253.23	603.67	567.1	323.03	444.72	420.68	514.56	392.44	303.44	323.03	301.33	279.14	299.25	287.01	438.59	748.61	149.12	231.32	271.48	223.41	273.37	320.8	392.44	242.88	206.94	169.07	77.79	37.59	67.59	60.39	438.59
ZNF554	99.43	98.04	114.36	48.18	118.43	53.57	143.01	123.5	75.64	84.04	93.35	120.1	55.89	60.39	99.43	85.82	50.98	57.49	70.01	126.12	157.68	42.41	70.51	37.05	39.79	66.65	70.01	89.51	45.85	32.13	38.95	22.75	43.63	63.89	27.05	185.11
ZNF585B	194.36	177.53	155.5	84.63	239.52	82.29	260.38	205.5	130.6	134.3	173.85	228.13	140.04	111.21	165.57	158.79	149.12	127.0	124.37	275.28	373.81	115.97	115.16	41.81	76.71	131.51	147.06	137.14	91.41	127.0	78.89	49.56	43.02	64.34	16.63	381.68
ZNF845	162.14	131.51	133.36	50.98	145.02	71.0	194.36	182.55	94.67	105.89	202.66	125.24	100.83	78.34	100.13	169.07	63.45	125.24	60.82	211.31	239.52	98.04	90.77	52.82	84.04	87.65	173.85	178.77	63.0	102.25	50.98	15.0	4.43	11.04	3.08	260.38
