	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12584.1426.SM.5EGJ9	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.CH.5740.01A.11R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.YJ8A.1126.SM.5IFJU	GTEX.144GM.0826.SM.5O98R	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD	GTEX.11P82.0726.SM.5PNYL	GTEX.13O61.1126.SM.5L3FI	GTEX.12C56.0526.SM.5FQST	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.12WSJ.0926.SM.5P9JD	GTEX.TKQ1.0526.SM.4DXTG	GTEX.WFJO.1126.SM.4LVLZ
METTL3	316.37	0.0	1.16	441.64	1447.15	808.0	1551.09	1233.75	1286.18	759.08	1159.07	769.69	909.17	785.88	1119.56	1051.79	1286.18	830.75	723.08	651.58	884.29	486.75	633.73	764.36	1044.52	1023.0	1127.35	791.35	647.07	713.11	759.08	1304.15	718.08	748.61	567.1	334.46	503.95	353.59	406.31	262.2	249.73	336.79	363.56	325.29	223.41
MICU2	547.75	0.0	0.59	291.04	974.5	813.63	947.83	1208.34	921.88	669.92	890.44	1143.1	934.76	941.27	974.5	860.08	890.44	836.53	1159.07	684.02	1208.34	665.29	674.59	866.07	796.86	796.86	890.44	830.75	426.57	575.03	954.43	1191.69	599.49	941.27	587.13	343.89	460.44	423.61	381.68	323.03	507.46	339.14	277.2	426.57	426.57
MMS19	460.44	0.0	0.87	432.53	1051.79	808.0	1277.29	1487.87	1073.91	934.76	1059.11	808.0	769.69	988.12	1066.48	988.12	854.13	866.07	660.68	915.51	708.18	830.75	825.0	796.86	836.53	1037.29	1066.48	775.05	595.34	713.11	728.11	836.53	1143.1	738.29	842.36	400.71	490.14	674.59	447.82	470.14	373.81	503.95	579.04	607.87	438.59
MPHOSPH10	392.44	0.0	0.14	158.79	866.07	684.02	884.29	764.36	633.73	703.28	848.22	785.88	629.35	665.29	764.36	638.15	836.53	679.29	555.41	624.99	713.11	435.55	470.14	808.0	703.28	563.18	813.63	802.41	759.08	612.11	713.11	728.11	438.59	642.59	624.99	361.04	373.81	368.65	521.76	450.94	368.65	307.69	358.54	356.05	281.09
MSH5-SAPCD1	13.22	0.0	0.43	18.84	59.13	31.0	143.01	106.63	140.04	75.64	217.27	65.26	16.27	28.86	137.14	52.82	123.5	41.22	28.04	49.56	25.72	23.59	74.06	19.68	73.03	85.82	78.34	12.27	9.13	34.02	53.57	61.68	138.1	55.49	9.63	24.11	1.73	16.15	16.39	9.78	7.17	4.35	12.18	14.78	8.92
MSMB	0.0	0.0	0.0	33.54	800198.39	894051.48	783730.52	155870.75	558035.51	711250.37	1019901.63	811368.76	778316.89	691801.16	659036.03	845824.19	1212874.47	778316.89	1264380.15	1308968.45	1139523.1	182810.84	636586.81	1171559.48	919186.72	581732.96	958220.73	919186.72	56265.94	716197.51	1645391.11	894051.48	762299.34	654483.73	573724.06	0.0	0.0	21.63	264.03	21.78	0.0	72.01	171.45	31.9	12.36
NDUFAF6	229.72	0.0	0.49	136.19	373.81	301.33	406.31	607.87	373.81	269.6	403.5	353.59	249.73	236.21	518.15	334.46	373.81	295.11	429.54	239.52	423.61	339.14	228.13	246.28	253.23	341.51	334.46	193.01	180.02	189.02	255.0	327.56	281.09	229.72	161.02	138.1	205.5	185.11	102.25	133.36	187.71	146.03	163.28	204.07	144.01
NGLY1	248.0	0.0	0.53	151.22	718.08	483.38	688.78	825.0	514.56	409.15	567.1	693.58	684.02	583.07	738.29	620.67	441.64	620.67	583.07	470.14	575.03	368.65	361.04	595.34	486.75	591.22	633.73	518.15	473.41	738.29	521.76	529.06	500.46	555.41	373.81	265.87	264.03	269.6	211.31	234.57	260.38	220.32	255.0	202.66	291.04
NOL11	521.76	0.0	0.16	182.55	921.88	536.45	665.29	866.07	785.88	480.04	728.11	684.02	543.96	684.02	884.29	620.67	551.56	603.67	769.69	591.22	684.02	441.64	450.94	543.96	480.04	633.73	567.1	571.05	529.06	591.22	447.82	563.18	454.09	463.65	457.25	297.17	392.44	351.14	441.64	514.56	332.14	329.84	426.57	316.37	301.33
NPRL2	223.41	0.0	0.62	229.72	915.51	616.37	743.43	698.41	599.49	579.04	688.78	473.41	514.56	713.11	848.22	571.05	688.78	693.58	934.76	511.0	698.41	432.53	525.39	540.19	620.67	493.56	665.29	457.25	366.09	409.15	551.56	607.87	733.19	567.1	529.06	353.59	373.81	239.52	264.03	260.38	307.69	269.6	305.55	336.79	256.78
NUDT2	536.45	0.0	0.54	153.34	1359.57	1233.75	775.05	1295.13	579.04	860.08	669.92	764.36	684.02	1268.46	961.07	896.64	884.29	830.75	1350.18	1119.56	1407.55	525.39	1151.06	1001.93	915.51	753.83	1008.9	967.76	543.96	583.07	947.83	1159.07	1259.69	928.3	1359.57	525.39	387.02	480.04	228.13	497.0	551.56	480.04	563.18	384.34	325.29
OMA1	269.6	0.0	0.0	128.79	791.35	417.77	728.11	728.11	791.35	432.53	551.56	988.12	796.86	559.28	884.29	708.18	981.29	819.3	848.22	647.07	896.64	339.14	571.05	660.68	665.29	674.59	836.53	551.56	264.03	543.96	403.5	400.71	796.86	620.67	759.08	236.21	189.02	202.66	128.79	117.6	209.84	186.4	167.9	205.5	255.0
ORAOV1	197.09	0.0	0.82	53.57	543.96	423.61	547.75	559.28	555.41	529.06	629.35	351.14	323.03	366.09	791.35	540.19	890.44	351.14	429.54	373.81	417.77	223.41	392.44	327.56	400.71	397.93	555.41	314.17	269.6	323.03	392.44	366.09	426.57	283.05	303.44	205.5	100.13	163.28	176.29	206.94	97.36	177.53	189.02	170.25	117.6
OSGEPL1	78.34	0.0	0.0	35.76	138.1	113.56	155.5	232.94	120.94	83.45	187.71	144.01	120.1	143.01	137.14	126.12	152.28	132.44	181.28	108.9	187.71	111.21	92.7	126.12	134.3	157.68	142.01	85.22	68.55	58.3	125.24	143.01	153.34	131.51	79.45	82.87	75.64	61.68	34.75	25.72	56.68	57.49	78.89	51.35	63.89
OXSM	92.05	0.0	0.0	46.18	363.56	260.38	358.54	486.75	376.41	217.27	412.0	291.04	267.73	309.83	441.64	327.56	341.51	371.22	551.56	239.52	395.18	159.9	176.29	303.44	273.37	249.73	295.11	251.48	153.34	212.78	253.23	307.69	301.33	205.5	248.0	108.9	112.77	97.36	70.51	95.34	131.51	110.43	139.07	96.68	62.56
PMPCB	1340.84	0.0	0.93	358.54	1757.34	1242.34	1794.29	2417.67	1594.73	1191.69	1662.49	1529.73	1350.18	1605.83	1781.89	1407.55	1467.37	1870.53	1977.24	1081.39	1950.0	1199.98	1096.5	1340.84	1350.18	1447.15	1350.18	1508.65	1216.75	1286.18	1295.13	1857.6	1135.2	1208.34	1135.2	884.29	1331.57	1183.45	1119.56	830.75	1295.13	854.13	708.18	872.1	830.75
POLL	309.83	0.0	0.14	108.14	660.68	521.76	848.22	1135.2	769.69	748.61	902.89	490.14	476.71	802.41	813.63	669.92	620.67	718.08	547.75	555.41	559.28	607.87	723.08	457.25	629.35	703.28	748.61	403.5	379.04	521.76	603.67	723.08	1081.39	540.19	616.37	423.61	444.72	381.68	329.84	256.78	358.54	334.46	339.14	381.68	346.29
PPIH	543.96	0.0	0.69	435.55	1427.22	1015.93	1030.12	995.0	1015.93	921.88	1037.29	785.88	748.61	921.88	1268.46	884.29	1104.13	890.44	1662.49	974.5	1242.34	457.25	825.0	848.22	866.07	909.17	1059.11	842.36	559.28	753.83	1119.56	1051.79	928.3	934.76	921.88	733.19	688.78	674.59	543.96	563.18	447.82	503.95	813.63	547.75	327.56
REPS1	616.37	0.0	0.73	373.81	836.53	718.08	780.44	947.83	769.69	583.07	764.36	708.18	679.29	656.11	878.17	743.43	599.49	603.67	395.18	703.28	543.96	507.46	616.37	674.59	693.58	884.29	830.75	571.05	525.39	511.0	638.15	909.17	819.3	603.67	551.56	346.29	361.04	339.14	295.11	242.88	295.11	273.37	305.55	376.41	348.71
RP11-770J1.5	175.07	0.0	0.61	107.38	403.5	563.18	387.02	490.14	514.56	432.53	466.88	426.57	373.81	518.15	525.39	406.31	624.99	285.03	251.48	503.95	271.48	172.65	289.02	305.55	231.32	381.68	403.5	231.32	185.11	234.57	262.2	426.57	363.56	217.27	220.32	48.87	96.68	71.0	45.21	36.27	59.13	21.78	38.67	59.97	34.02
RWDD3	246.28	0.0	0.0	86.43	547.75	358.54	728.11	567.1	514.56	336.79	642.59	529.06	450.94	435.55	599.49	607.87	660.68	483.38	642.59	395.18	775.05	373.81	329.84	441.64	476.71	476.71	665.29	358.54	293.07	236.21	387.02	466.88	476.71	299.25	289.02	141.02	316.37	214.27	114.36	163.28	220.32	242.88	201.25	176.29	241.19
