	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.AAXT.01A.11R.A42T.07	TCGA.VS.A8EI.01A.11R.A37O.07	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CN.4725.01A.01R.1436.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CD.5813.01A.11R.1602.13	TCGA.N9.A4PZ.01A.22R.A28V.07
SRM	934.76	3742.05	2520.38	2417.67	1044.52	3103.19	3146.52	1844.76	1259.69	1331.57	3540.14	2209.26	2004.85	3901.01	3491.39	2061.24	1397.83	2193.99	3325.99	2104.58	3190.46	3303.0	1896.65	3325.99	3018.3	0.0	0.02	4066.71	6207.38
SSBP4	620.67	1369.04	1832.01	2835.7	339.14	412.0	603.67	291.04	269.6	341.51	1350.18	698.41	607.87	1322.37	665.29	271.48	215.77	438.59	1044.52	356.05	356.05	660.68	429.54	1369.04	432.53	0.0	0.65	2895.31	4010.71
SUV420H2	221.86	473.41	698.41	466.88	52.08	77.79	182.55	90.77	123.5	151.22	785.88	105.15	146.03	224.97	131.51	75.64	96.68	191.67	157.68	152.28	204.07	195.72	81.71	139.07	156.59	0.0	0.46	466.88	961.07
SYMPK	981.29	2502.97	2400.97	1208.34	426.57	872.1	1037.29	698.41	848.22	915.51	1909.85	1651.0	1151.06	1733.13	1081.39	532.74	785.88	941.27	2032.85	638.15	1477.58	1467.37	480.04	1519.15	743.43	0.0	0.99	2032.85	4010.71
TBC1D17	543.96	1259.69	974.5	1073.91	438.59	426.57	483.38	409.15	507.46	559.28	1662.49	559.28	309.83	1051.79	423.61	251.48	283.05	514.56	854.13	547.75	836.53	567.1	412.0	444.72	521.76	0.0	0.52	1295.13	1143.1
TOMM40	1088.92	4836.35	3039.3	2758.13	688.78	1216.75	2240.11	1167.14	620.67	1870.53	2303.12	2758.13	1508.65	2319.15	1617.0	854.13	1427.22	1709.26	3190.46	1529.73	2591.27	2075.59	1104.13	2468.49	1295.13	3039.3	249.73	2915.45	2178.83
TRIM28	4736.79	22225.61	18819.27	9808.75	2119.22	7230.1	9344.14	4543.8	4388.98	5913.33	9876.98	12160.22	6607.01	14262.1	7032.37	4066.71	5995.9	8538.88	17681.08	7433.4	15607.02	8078.22	4802.93	9540.5	6250.56	0.0	1.2	16269.83	15824.9
TSEN34	2451.44	2417.67	2915.45	2573.36	1191.69	1081.39	1388.16	941.27	769.69	995.0	1561.89	1519.15	1183.45	1721.16	1183.45	684.02	872.1	1183.45	2400.97	909.17	1806.78	1250.98	1233.75	1467.37	785.88	0.0	0.71	2193.99	2240.11
UBE2M	2004.85	4210.15	3419.52	2701.35	896.64	1519.15	2335.28	1286.18	1407.55	1437.15	2591.27	2502.97	1572.76	2682.69	1605.83	1044.52	1242.34	1685.71	3820.7	1369.04	2935.74	2104.58	1540.37	2193.99	1233.75	921.88	599.49	3589.58	3742.05
UBE2S	3467.27	9151.82	8421.31	7803.01	1225.22	1088.92	4639.29	1819.35	759.08	1175.27	2451.44	4010.71	1923.14	4152.18	1909.85	1745.2	1322.37	1857.6	5751.61	1697.45	5183.54	3847.29	1151.06	3372.43	825.0	0.0	1.03	5711.87	10883.59
ZBTB45	248.0	476.71	356.05	476.71	52.45	156.59	162.14	111.21	121.79	126.12	384.34	231.32	170.25	400.71	215.77	100.13	100.83	202.66	412.0	153.34	195.72	157.68	170.25	285.03	164.42	0.0	0.02	684.02	400.71
ZNF296	258.57	343.89	236.21	115.97	36.27	57.49	94.01	71.0	47.17	50.27	201.25	128.79	58.71	171.45	88.26	47.17	39.79	88.26	201.25	50.27	148.09	90.77	76.71	193.01	60.39	0.0	0.29	265.87	115.97
ZNF324	70.51	295.11	221.86	157.68	41.81	115.16	151.22	92.7	142.01	84.63	123.5	201.25	93.35	178.77	123.5	77.25	62.56	130.6	232.94	146.03	162.14	108.14	123.5	157.68	111.21	0.0	0.16	229.72	175.07
ZNF324B	47.5	220.32	123.5	100.13	17.64	50.27	76.17	30.56	37.59	38.4	75.64	124.37	38.12	127.0	53.19	36.27	34.26	73.03	152.28	55.1	86.43	45.85	50.63	73.03	45.53	0.0	0.12	165.57	138.1
ZNF444	438.59	718.08	669.92	708.18	66.65	175.07	316.37	194.36	121.79	172.65	723.08	249.73	244.57	607.87	242.88	92.05	167.9	234.57	320.8	205.5	305.55	473.41	132.44	295.11	178.77	0.0	0.54	1870.53	1151.06
ZNF446	88.88	293.07	323.03	285.03	36.79	97.36	140.04	109.66	84.63	82.87	373.81	180.02	111.99	253.23	90.77	85.82	78.89	134.3	267.73	106.63	175.07	167.9	98.73	152.28	98.73	0.0	0.41	511.0	567.1
ZNF473	44.57	231.32	164.42	120.1	37.05	41.81	81.71	34.51	26.1	35.25	73.03	150.17	69.52	143.01	59.55	65.72	33.3	102.25	104.42	51.35	69.52	72.52	36.53	77.79	74.06	0.0	0.0	307.69	269.6
ZNF497	37.59	43.32	40.93	50.27	3.03	10.55	22.59	8.92	4.43	8.19	66.18	14.89	17.9	41.22	18.29	15.11	3.66	24.81	21.47	6.52	37.32	32.82	7.22	15.91	6.67	0.0	0.13	44.25	115.16
ZNF524	591.22	660.68	842.36	518.15	947.83	348.71	432.53	267.73	486.75	616.37	1331.57	698.41	309.83	1044.52	525.39	105.15	217.27	497.0	1001.93	273.37	638.15	521.76	384.34	854.13	297.17	0.0	0.29	1508.65	579.04
ZNF543	66.18	67.59	93.35	41.81	12.93	28.24	67.59	29.06	26.67	22.59	31.22	66.65	25.17	32.82	32.13	30.78	29.48	49.21	69.03	29.7	54.72	27.25	33.3	39.22	36.01	0.0	0.1	43.32	40.93
ZNF576	205.5	753.83	567.1	460.44	303.44	273.37	368.65	212.78	201.25	285.03	426.57	507.46	339.14	450.94	336.79	145.02	260.38	348.71	503.95	237.86	287.01	332.14	234.57	361.04	215.77	0.0	0.0	476.71	665.29
ZNF579	111.21	303.44	483.38	392.44	20.86	50.63	34.26	92.05	43.02	89.51	341.51	248.0	80.01	320.8	63.45	32.82	49.21	127.89	154.42	76.71	285.03	287.01	54.72	149.12	95.34	0.0	0.74	967.76	1963.57
ZNF581	624.99	941.27	934.76	995.0	941.27	389.72	389.72	232.94	287.01	638.15	759.08	1059.11	297.17	1286.18	392.44	231.32	211.31	624.99	1081.39	269.6	785.88	450.94	395.18	1216.75	251.48	0.0	0.54	1745.2	1225.22
ZNF584	148.09	379.04	251.48	258.57	76.17	126.12	159.9	66.65	94.01	115.97	142.01	341.51	99.43	249.73	74.06	111.99	93.35	171.45	267.73	102.97	167.9	155.5	111.99	173.85	94.01	0.0	0.23	253.23	208.38
ZNF628	43.94	256.78	134.3	260.38	38.4	40.64	65.26	46.18	51.71	74.06	151.22	234.57	78.34	163.28	59.13	61.25	43.02	88.26	147.06	98.04	119.26	82.87	69.52	100.13	59.55	0.0	0.44	339.14	267.73
ZNF784	65.26	392.44	371.22	336.79	71.5	108.14	111.21	74.06	81.71	78.34	172.65	208.38	96.68	176.29	115.97	43.63	67.59	111.99	106.63	77.25	154.42	99.43	44.89	105.15	100.83	0.0	0.0	191.67	237.86
ZNF787	389.72	1159.07	1397.83	688.78	171.45	287.01	460.44	289.02	255.0	341.51	748.61	981.29	384.34	896.64	426.57	198.47	312.0	470.14	796.86	334.46	688.78	497.0	307.69	629.35	325.29	285.03	231.32	1159.07	1199.98
ZNF837	25.72	61.25	49.56	76.17	7.46	14.78	12.36	10.79	7.75	17.25	111.99	17.77	36.27	34.26	15.91	9.78	1.75	29.7	15.0	8.0	53.19	31.67	15.11	21.01	6.31	0.0	0.07	55.1	117.6
ZNF865	91.41	460.44	381.68	305.55	31.22	43.63	144.01	62.12	40.36	65.72	346.29	264.03	81.71	289.02	74.06	42.71	62.12	136.19	159.9	84.63	144.01	281.09	78.34	137.14	80.01	0.0	0.68	684.02	426.57
ZSCAN22	35.0	81.14	66.65	32.82	12.64	38.95	44.89	26.28	33.06	18.43	27.64	51.71	26.47	52.82	35.5	24.28	21.47	45.85	40.64	33.3	53.57	25.35	37.32	40.07	27.05	0.0	0.01	53.57	75.11
