	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18K.11A.13R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.1399R.0826.SM.5IJEL	GTEX.WH7G.0926.SM.4LVMJ	GTEX.QCQG.0626.SM.48U21	TCGA.KN.8437.11A.01R.2315.07	GTEX.RN64.1626.SM.48FD7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.EJ.7315.11A.01R.2118.07	GTEX.13FHO.2826.SM.5K7ZA	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.EL.A3ZR.11A.11R.A23N.07
RP11-216L13.17	15.34	8.78	21.16	12.0	8.51	19.97	4.62	4.31	7.22	14.78	11.91	13.93	22.75	0.0	0.05	1.35	25.54	25.72	8.45	12.93	7.63	0.97	1.55	6.52	12.93
RP11-505K9.4	27.25	15.0	20.71	0.0	4.17	0.0	4.58	0.32	3.69	18.43	7.4	8.06	14.56	0.0	0.0	0.0	29.7	18.7	0.0	5.23	7.69	3.38	4.5	1.0	21.78
RP11-712L6.5	16.15	9.7	9.85	0.0	3.32	7.82	5.41	1.07	12.0	12.74	16.63	19.68	16.03	0.0	0.0	0.0	23.25	18.7	5.54	7.94	6.11	0.0	11.21	0.0	11.38
RSPRY1	490.14	536.45	718.08	320.8	309.83	332.14	314.17	314.17	341.51	397.93	389.72	429.54	679.29	271.48	234.57	260.38	603.67	595.34	269.6	291.04	361.04	314.17	244.57	229.72	457.25
SCN3A	46.18	33.54	34.75	0.0	2.51	4.1	2.36	2.16	11.38	19.97	13.52	40.36	28.45	0.0	0.17	0.84	7.06	2.53	4.82	1.25	2.18	0.05	7.34	1.28	23.59
SMARCA2	2319.15	3212.66	6037.61	785.88	934.76	928.3	791.35	1059.11	1457.23	1350.18	1498.22	2555.58	2935.74	595.34	231.32	373.81	2018.8	1844.76	1023.0	463.65	890.44	486.75	947.83	1015.93	1745.2
SPEF2	287.01	255.0	460.44	8.85	27.05	44.57	20.26	35.0	51.71	76.17	57.08	220.32	267.73	0.0	0.18	2.27	98.04	246.28	5.59	11.3	18.7	0.56	10.47	2.39	409.15
ST3GAL6	169.07	314.17	123.5	57.89	38.12	63.89	37.32	68.55	82.29	185.11	93.35	255.0	1617.0	0.0	0.22	88.26	178.77	82.87	13.62	16.75	66.65	27.44	42.41	14.78	115.97
TAMM41	356.05	303.44	438.59	228.13	223.41	228.13	242.88	281.09	251.48	320.8	299.25	285.03	460.44	0.0	0.0	125.24	299.25	381.68	209.84	248.0	293.07	171.45	295.11	193.01	309.83
TBC1D4	872.1	1143.1	928.3	141.02	143.01	151.22	106.63	147.06	279.14	379.04	307.69	872.1	1477.58	0.0	0.25	48.18	435.55	271.48	201.25	107.38	234.57	142.01	110.43	63.89	633.73
TGFBR3	1628.26	3303.0	540.19	35.0	358.54	228.13	142.01	277.2	341.51	698.41	403.5	1242.34	1135.2	0.0	0.45	7.46	718.08	665.29	95.34	64.34	265.87	37.32	89.51	124.37	295.11
TIRAP	237.86	258.57	341.51	88.88	124.37	105.89	88.88	127.89	157.68	176.29	115.16	214.27	277.2	0.0	0.01	15.91	262.2	220.32	45.53	37.32	108.14	66.65	96.68	33.78	130.6
TMEM139	612.11	651.58	1417.35	115.16	19.68	2.1	7.4	11.91	23.93	872.1	29.7	688.78	2627.46	0.0	0.07	3.26	100.83	131.51	0.0	2.34	108.9	9.06	111.99	0.52	759.08
TMEM8B	483.38	432.53	808.0	81.71	127.0	116.78	108.9	146.03	209.84	242.88	180.02	703.28	866.07	0.0	0.51	51.71	629.35	1030.12	22.1	54.72	119.26	65.72	46.5	13.62	848.22
TRIM73	107.38	68.55	65.26	14.89	21.16	27.05	22.59	20.56	37.59	38.95	34.26	65.26	57.89	0.0	0.53	12.0	31.22	102.97	9.34	5.92	11.04	6.52	2.53	9.13	57.89
YPEL2	314.17	389.72	301.33	64.34	215.77	150.17	260.38	221.86	187.71	204.07	182.55	389.72	423.61	0.0	0.2	78.34	301.33	318.57	46.5	32.13	120.94	70.01	78.34	58.71	318.57
ZBTB4	1378.57	1350.18	1407.55	358.54	988.12	866.07	928.3	928.3	941.27	884.29	775.05	1437.15	2240.11	293.07	309.83	167.9	1407.55	1407.55	753.83	392.44	796.86	693.58	543.96	470.14	1407.55
ZER1	947.83	1001.93	1183.45	567.1	915.51	660.68	866.07	1073.91	896.64	902.89	785.88	961.07	1008.9	0.0	0.39	204.07	1111.82	902.89	579.04	348.71	775.05	909.17	703.28	514.56	830.75
ZFP28	176.29	133.36	176.29	7.69	40.93	43.02	50.98	56.28	57.08	76.71	52.45	138.1	246.28	0.0	0.48	4.03	115.97	145.02	42.11	9.27	15.34	10.63	9.56	6.11	164.42
ZFP30	199.85	198.47	217.27	38.67	50.63	43.63	49.56	65.72	46.5	71.5	87.65	100.83	164.42	0.0	0.34	2.92	178.77	152.28	30.34	17.0	36.53	43.94	10.88	24.28	94.67
ZKSCAN7	136.19	132.44	217.27	0.41	14.89	13.62	12.93	16.51	28.86	35.76	24.99	53.57	154.42	0.0	0.15	4.5	82.87	115.97	1.66	3.11	17.9	4.66	5.77	1.07	94.67
ZNF468	199.85	212.78	234.57	148.09	107.38	74.58	83.45	73.03	116.78	167.9	177.53	202.66	299.25	0.0	0.38	12.74	221.86	260.38	37.85	48.18	86.43	97.36	64.34	42.41	162.14
ZNF546	76.17	80.01	114.36	8.19	19.25	18.03	16.51	10.08	40.36	44.89	23.08	55.1	161.02	0.0	0.17	3.56	48.18	70.01	9.48	5.41	17.9	6.78	5.5	3.56	73.03
ZNF619	100.83	121.79	143.01	32.36	39.5	40.07	35.0	36.01	59.55	56.28	47.17	66.18	156.59	0.0	0.0	6.41	86.43	88.26	14.35	11.47	41.22	15.8	29.91	11.82	77.79
ZNF621	234.57	297.17	329.84	26.86	103.69	96.01	75.11	100.83	112.77	124.37	127.0	154.42	295.11	0.0	0.48	18.43	181.28	187.71	38.95	21.78	65.72	27.84	46.5	14.45	150.17
ZNF630	70.01	96.01	90.14	18.97	33.3	35.5	29.27	48.87	45.85	28.45	29.48	78.34	96.68	0.0	0.25	4.13	84.63	102.25	15.8	10.71	29.48	9.78	27.44	11.38	96.01
ZNF704	454.09	497.0	1059.11	15.91	77.25	86.43	24.63	45.21	72.52	146.03	40.93	316.37	1015.93	0.0	0.23	1.62	656.11	414.87	15.34	8.92	34.75	13.32	16.63	2.16	198.47
