	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.T6MO.1426.SM.4DM73	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A2QR.11A.11R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.11NUK.1226.SM.5P9GM
GDAP2	123.5	718.08	271.48	366.09	279.14	175.07	156.59	336.79	191.67	172.65	154.42	185.11	215.77	167.9	197.09	241.19	190.34	175.07	82.87	100.13	75.64	89.51	74.06	94.67	118.43	148.09	74.06	111.99	50.63	81.14	114.36
HAUS2	128.79	285.03	409.15	368.65	341.51	248.0	215.77	320.8	303.44	204.07	256.78	293.07	221.86	224.97	255.0	633.73	273.37	287.01	297.17	90.77	90.14	85.22	100.83	49.56	109.66	156.59	94.67	156.59	79.45	68.55	65.26
HDAC2	1167.14	1819.35	1639.59	2004.85	2032.85	1709.26	1151.06	1529.73	1467.37	2104.58	1594.73	764.36	2664.15	1359.57	1498.22	3349.13	1605.83	1697.45	1044.52	403.5	473.41	470.14	381.68	291.04	483.38	480.04	441.64	808.0	285.03	228.13	303.44
HK1	1583.71	1583.71	2739.08	3325.99	3039.3	2537.92	3280.18	2976.74	1628.26	2384.37	1883.54	2224.63	1745.2	1709.26	3280.18	2956.17	2701.35	2434.5	1023.0	125.24	74.58	153.34	45.21	103.69	119.26	199.85	99.43	262.2	51.35	69.52	55.89
HNRNPL	4972.34	4972.34	6381.92	5329.3	7032.37	5112.16	4010.71	6652.97	6337.83	5751.61	5594.3	4704.07	6164.49	5954.47	4736.79	3589.58	5872.48	5292.48	4358.66	2935.74	2417.67	3212.66	2384.37	2701.35	3235.01	3690.52	2664.15	2997.45	1963.57	3491.39	2855.44
HSPE1-MOB4	94.67	273.37	389.72	409.15	379.04	208.38	314.17	351.14	187.71	426.57	229.72	314.17	208.38	137.14	271.48	371.22	223.41	277.2	143.01	101.54	57.08	93.35	109.66	53.19	115.16	169.07	31.0	112.77	50.27	55.49	0.0
ICK	153.34	251.48	441.64	371.22	226.54	208.38	108.14	285.03	267.73	256.78	132.44	209.84	249.73	249.73	289.02	511.0	429.54	228.13	220.32	146.03	86.43	69.03	72.52	34.75	98.73	114.36	88.26	75.64	100.83	47.84	75.64
KIAA2022	3.76	11.91	8.78	35.76	6.16	7.75	6.26	6.36	30.78	9.63	13.83	2.32	25.35	9.2	4.98	61.68	52.08	18.29	3.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.6	0.0
KIF5B	796.86	1745.2	2075.59	1617.0	1870.53	1159.07	629.35	1674.06	1167.14	1378.57	981.29	1721.16	1350.18	1331.57	1437.15	2555.58	1340.84	1127.35	603.67	356.05	242.88	267.73	239.52	98.04	358.54	395.18	267.73	454.09	209.84	190.34	162.14
LRRC57	166.73	384.34	457.25	318.57	271.48	248.0	237.86	343.89	279.14	239.52	329.84	356.05	281.09	204.07	361.04	529.06	327.56	269.6	171.45	99.43	72.01	82.29	62.56	59.55	85.22	165.57	65.26	110.43	82.87	72.52	82.29
MOB1A	808.0	1685.71	1832.01	1844.76	1322.37	974.5	579.04	1427.22	1088.92	1096.5	921.88	1088.92	1286.18	961.07	1628.26	1883.54	902.89	941.27	1030.12	414.87	275.28	353.59	253.23	228.13	348.71	476.71	301.33	543.96	220.32	221.86	260.38
NAA25	101.54	212.78	265.87	258.57	211.31	167.9	81.14	195.72	152.28	152.28	156.59	218.79	211.31	159.9	150.17	400.71	164.42	154.42	120.94	86.43	54.33	59.97	43.94	29.06	73.54	72.01	44.57	60.39	43.02	66.65	70.01
NECAP1	339.14	656.11	764.36	802.41	723.08	559.28	529.06	718.08	698.41	660.68	441.64	633.73	327.56	587.13	444.72	688.78	599.49	603.67	371.22	316.37	249.73	258.57	323.03	262.2	275.28	307.69	305.55	309.83	332.14	242.88	241.19
NIPA2	339.14	1119.56	967.76	974.5	743.43	555.41	595.34	775.05	995.0	902.89	688.78	693.58	540.19	500.46	921.88	1685.71	638.15	785.88	435.55	316.37	198.47	285.03	279.14	301.33	265.87	348.71	291.04	373.81	185.11	265.87	199.85
NUP155	163.28	314.17	307.69	299.25	336.79	226.54	167.9	305.55	265.87	307.69	212.78	242.88	301.33	151.22	190.34	563.18	358.54	199.85	83.45	82.87	69.03	63.45	61.25	81.14	75.11	118.43	73.54	92.05	100.83	55.49	82.29
PAPOLA	1477.58	2004.85	2255.7	2609.3	2255.7	1467.37	1096.5	2224.63	3614.55	2090.03	1447.15	1674.06	2701.35	1923.14	1709.26	2915.45	1685.71	1909.85	1639.59	1159.07	921.88	1498.22	1066.48	723.08	1304.15	1208.34	974.5	1233.75	819.3	884.29	1304.15
PPP6C	860.08	1447.15	2032.85	1936.53	1794.29	1870.53	1331.57	1883.54	1617.0	1857.6	1096.5	1313.23	1340.84	1295.13	1225.22	2255.7	1467.37	909.17	674.59	563.18	483.38	543.96	521.76	624.99	595.34	603.67	463.65	791.35	444.72	483.38	389.72
PSMD5	301.33	974.5	866.07	813.63	954.43	780.44	536.45	698.41	1250.98	638.15	665.29	698.41	866.07	571.05	507.46	1250.98	808.0	426.57	366.09	264.03	267.73	228.13	279.14	246.28	301.33	351.14	189.02	256.78	139.07	279.14	229.72
PTPN11	289.02	1143.1	808.0	825.0	819.3	854.13	314.17	836.53	651.58	669.92	567.1	830.75	878.17	583.07	1073.91	1819.35	651.58	884.29	713.11	642.59	332.14	379.04	346.29	291.04	579.04	543.96	392.44	642.59	293.07	312.0	299.25
RAB18	1417.35	2976.74	2537.92	3419.52	2997.45	2255.7	1572.76	2956.17	3372.43	2400.97	1832.01	2485.67	1857.6	1331.57	2032.85	5292.48	2061.24	2720.15	1183.45	1167.14	909.17	921.88	836.53	748.61	1151.06	1242.34	866.07	1233.75	753.83	728.11	483.38
RAD1	400.71	521.76	450.94	493.56	679.29	429.54	392.44	525.39	540.19	470.14	444.72	376.41	426.57	376.41	366.09	780.44	466.88	476.71	532.74	181.28	135.24	183.82	113.56	119.26	176.29	198.47	135.24	182.55	88.26	142.01	94.01
RPE	389.72	665.29	698.41	708.18	866.07	514.56	346.29	941.27	567.1	571.05	521.76	854.13	698.41	547.75	775.05	728.11	575.03	616.37	277.2	454.09	191.67	253.23	221.86	258.57	348.71	353.59	341.51	318.57	158.79	175.07	215.77
RPGRIP1L	64.34	127.89	107.38	356.05	260.38	85.82	44.89	172.65	95.34	95.34	73.54	75.11	146.03	120.94	62.12	232.94	143.01	86.43	67.12	11.13	11.55	15.45	11.47	10.55	7.46	20.11	12.55	26.47	23.42	9.93	7.17
RRM2B	189.02	356.05	551.56	591.22	368.65	332.14	187.71	320.8	264.03	536.45	189.02	366.09	327.56	642.59	733.19	753.83	620.67	341.51	307.69	264.03	109.66	165.57	113.56	149.12	189.02	193.01	167.9	191.67	121.79	142.01	105.89
RTF1	353.59	796.86	967.76	830.75	1073.91	679.29	470.14	909.17	934.76	796.86	551.56	503.95	567.1	647.07	493.56	713.11	684.02	656.11	599.49	248.0	205.5	215.77	178.77	114.36	224.97	277.2	215.77	277.2	153.34	151.22	197.09
SCGB2A2	649962.87	1800541.22	938500.81	1318073.06	919186.72	1788103.97	1751305.3	2279047.19	1668359.93	1422501.74	887875.81	1600397.78	1524599.69	8805660.77	1345768.59	912837.43	1578364.61	1187913.85	1503610.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.06	4.9	0.0
SCYL2	312.0	674.59	629.35	738.29	603.67	450.94	180.02	616.37	665.29	384.34	373.81	438.59	647.07	438.59	633.73	1104.13	351.14	529.06	191.67	246.28	144.01	191.67	166.73	111.21	291.04	295.11	198.47	211.31	155.5	267.73	165.57
SENP1	118.43	215.77	260.38	305.55	229.72	177.53	80.01	217.27	149.12	195.72	163.28	166.73	194.36	150.17	157.68	264.03	199.85	146.03	148.09	55.1	37.85	40.93	27.64	22.59	45.53	77.25	38.67	78.89	34.75	38.67	32.59
SERINC3	1037.29	1605.83	2777.33	1950.0	1870.53	2777.33	1216.75	2645.74	1340.84	2119.22	1111.82	2133.97	1617.0	1674.06	2485.67	2739.08	1745.2	1844.76	1794.29	934.76	785.88	878.17	921.88	902.89	1127.35	1340.84	1066.48	1001.93	780.44	612.11	866.07
SET	3768.09	6561.36	6887.62	6337.83	7485.11	6792.79	4328.55	5791.62	5147.73	7230.1	5006.93	4095.0	5954.47	5112.16	5255.91	10084.54	6121.9	3768.09	3820.7	1572.76	1639.59	1651.0	1437.15	1096.5	2075.59	2032.85	1819.35	2816.11	1268.46	1167.14	941.27
SMAP1	269.6	500.46	525.39	521.76	583.07	532.74	314.17	397.93	384.34	450.94	400.71	371.22	551.56	291.04	480.04	836.53	638.15	656.11	325.29	251.48	191.67	232.94	180.02	145.02	246.28	258.57	187.71	281.09	135.24	189.02	91.41
SMEK2	583.07	1175.27	1259.69	1191.69	1151.06	688.78	521.76	1304.15	1233.75	872.1	587.13	780.44	961.07	796.86	819.3	1477.58	802.41	860.08	525.39	603.67	438.59	426.57	476.71	171.45	559.28	603.67	500.46	507.46	381.68	490.14	665.29
SNAP23	1066.48	2271.4	2287.2	1870.53	1883.54	1407.55	967.76	1529.73	2004.85	1233.75	1295.13	1769.57	1286.18	1378.57	1685.71	2061.24	1651.0	1359.57	1529.73	764.36	518.15	638.15	432.53	417.77	607.87	961.07	583.07	769.69	460.44	470.14	567.1
SPTLC2	366.09	723.08	764.36	1909.85	1167.14	616.37	540.19	1183.45	674.59	551.56	412.0	563.18	1447.15	426.57	759.08	896.64	748.61	638.15	476.71	104.42	56.68	126.12	44.57	45.53	101.54	111.21	56.28	156.59	51.35	59.13	70.51
STAM	202.66	363.56	432.53	305.55	353.59	239.52	172.65	351.14	271.48	281.09	281.09	356.05	305.55	226.54	348.71	669.92	305.55	379.04	312.0	115.97	83.45	99.43	72.01	97.36	99.43	132.44	97.36	132.44	65.26	57.49	80.01
SUMO3	2224.63	2777.33	2468.49	1519.15	2555.58	2417.67	1870.53	1883.54	3280.18	1639.59	2104.58	2032.85	4239.45	1407.55	1977.24	2976.74	2835.7	2758.13	2075.59	941.27	1030.12	974.5	934.76	1208.34	967.76	1167.14	1023.0	1159.07	1304.15	808.0	748.61
TAOK3	239.52	529.06	543.96	497.0	441.64	490.14	309.83	447.82	205.5	368.65	271.48	518.15	518.15	435.55	536.45	1104.13	384.34	429.54	163.28	239.52	187.71	183.82	164.42	91.41	191.67	262.2	183.82	353.59	229.72	163.28	248.0
TCEAL8	1651.0	2956.17	1685.71	1769.57	2004.85	2351.53	518.15	1277.29	2591.27	1628.26	1519.15	1119.56	1819.35	429.54	1350.18	2004.85	218.79	3039.3	2468.49	567.1	669.92	587.13	429.54	397.93	647.07	684.02	514.56	808.0	180.02	305.55	307.69
TFAM	327.56	642.59	633.73	808.0	583.07	463.65	341.51	651.58	575.03	503.95	470.14	457.25	532.74	412.0	457.25	703.28	493.56	540.19	329.84	255.0	214.27	242.88	256.78	114.36	267.73	332.14	242.88	336.79	212.78	148.09	141.02
TMEM87A	1044.52	3491.39	2915.45	3235.01	3018.3	2240.11	2163.77	2502.97	5147.73	1721.16	1794.29	2468.49	1923.14	1350.18	1870.53	4328.55	1467.37	1583.71	1369.04	363.56	232.94	260.38	194.36	148.09	265.87	353.59	232.94	409.15	199.85	389.72	503.95
TTF2	126.12	1295.13	336.79	381.68	583.07	251.48	120.94	429.54	155.5	348.71	199.85	226.54	314.17	163.28	242.88	320.8	185.11	291.04	109.66	45.53	24.28	43.02	31.0	29.48	40.64	51.71	40.36	50.27	12.36	35.25	28.04
UBE2J1	454.09	1277.29	728.11	995.0	802.41	708.18	529.06	616.37	1225.22	1008.9	525.39	441.64	1407.55	633.73	947.83	1175.27	514.56	830.75	555.41	339.14	305.55	289.02	255.0	151.22	384.34	435.55	371.22	420.68	205.5	262.2	163.28
UBE3A	409.15	1159.07	1081.39	1447.15	1304.15	825.0	583.07	1331.57	1111.82	825.0	830.75	620.67	555.41	713.11	579.04	947.83	934.76	961.07	483.38	392.44	363.56	339.14	339.14	134.3	438.59	420.68	316.37	379.04	361.04	320.8	457.25
UBR1	86.43	287.01	279.14	341.51	281.09	175.07	108.14	348.71	221.86	156.59	205.5	281.09	217.27	185.11	229.72	358.54	209.84	175.07	113.56	81.14	52.82	64.8	52.82	39.79	69.52	110.43	63.89	95.34	47.84	54.72	35.76
WAC	1066.48	1697.45	1950.0	1896.65	1883.54	1268.46	1044.52	1936.53	1883.54	1477.58	1350.18	1561.89	1628.26	1519.15	1617.0	2209.26	1397.83	1605.83	1397.83	547.75	547.75	518.15	450.94	343.89	551.56	819.3	525.39	764.36	397.93	447.82	693.58
YME1L1	878.17	1806.78	2209.26	2609.3	1923.14	1457.23	1397.83	2133.97	2075.59	1685.71	1242.34	2133.97	1674.06	1104.13	1378.57	3124.78	1674.06	1540.37	825.0	785.88	688.78	638.15	642.59	497.0	703.28	988.12	759.08	1008.9	490.14	497.0	563.18
YWHAB	2739.08	4671.57	4736.79	4268.94	5329.3	6294.04	3212.66	5517.27	4010.71	4328.55	3982.99	3235.01	4481.23	3540.14	4181.07	9606.86	2915.45	4736.79	2417.67	1508.65	1088.92	1350.18	1001.93	995.0	1295.13	1467.37	1397.83	2090.03	703.28	1037.29	842.36
ZMYND11	1088.92	1427.22	1304.15	1477.58	1733.13	1096.5	647.07	1781.89	1216.75	1233.75	1066.48	896.64	842.36	995.0	1066.48	2255.7	1051.79	1066.48	974.5	417.77	368.65	341.51	305.55	220.32	447.82	525.39	358.54	457.25	251.48	403.5	271.48
ZNF106	123.5	376.41	486.75	426.57	329.84	293.07	153.34	395.18	341.51	285.03	262.2	353.59	218.79	236.21	490.14	384.34	368.65	232.94	260.38	78.89	72.01	62.56	75.11	49.56	82.87	180.02	57.89	127.0	50.98	62.12	53.95
ZNF131	638.15	860.08	669.92	728.11	595.34	603.67	563.18	674.59	536.45	371.22	511.0	483.38	587.13	688.78	373.81	759.08	480.04	532.74	507.46	202.66	221.86	157.68	181.28	80.01	215.77	242.88	208.38	305.55	175.07	199.85	244.57
ZNF770	96.68	441.64	432.53	651.58	366.09	215.77	73.03	444.72	412.0	279.14	152.28	258.57	262.2	214.27	291.04	802.41	295.11	199.85	181.28	135.24	92.05	91.41	83.45	57.49	146.03	223.41	84.63	123.5	98.73	45.21	111.21
