	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.EW.A1PG.01A.11R.A144.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.T6MO.1426.SM.4DM73	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.11NUK.1226.SM.5P9GM	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.RU72.1426.SM.46MUF	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.132NY.0926.SM.5P9G3	GTEX.REY6.1226.SM.48FDR
COPS8	1498.22	1066.48	1540.37	1529.73	1583.71	1135.2	967.76	1331.57	1991.0	1073.91	1030.12	1378.57	1159.07	1407.55	1277.29	1359.57	1277.29	1008.9	884.29	1081.39	1250.98	1295.13	1883.54	1143.1	2502.97	890.44	688.78	490.14	450.94	444.72	470.14	429.54	507.46	620.67	379.04	483.38	438.59	438.59	299.25	825.0	470.14	483.38	454.09
DDX21	791.35	379.04	759.08	866.07	848.22	633.73	967.76	599.49	2520.38	995.0	400.71	723.08	457.25	866.07	1001.93	1044.52	802.41	536.45	921.88	599.49	961.07	738.29	2976.74	612.11	3515.68	262.2	327.56	392.44	202.66	249.73	214.27	194.36	343.89	346.29	161.02	251.48	182.55	265.87	320.8	341.51	198.47	283.05	253.23
DESI2	941.27	400.71	836.53	518.15	941.27	555.41	884.29	432.53	547.75	595.34	283.05	429.54	543.96	603.67	559.28	728.11	802.41	234.57	395.18	224.97	293.07	1175.27	426.57	229.72	500.46	441.64	167.9	142.01	135.24	108.9	147.06	109.66	117.6	185.11	109.66	113.56	111.21	150.17	208.38	191.67	110.43	68.07	114.36
EXT2	1447.15	842.36	947.83	928.3	947.83	915.51	1073.91	1159.07	1551.09	802.41	303.44	775.05	718.08	1066.48	718.08	775.05	981.29	947.83	1378.57	1059.11	703.28	1594.73	854.13	995.0	1313.23	723.08	575.03	312.0	397.93	312.0	397.93	423.61	444.72	563.18	271.48	332.14	320.8	307.69	536.45	525.39	363.56	525.39	387.02
FBLIM1	665.29	258.57	1023.0	775.05	836.53	1167.14	1191.69	1225.22	1001.93	988.12	409.15	748.61	1167.14	1073.91	1023.0	476.71	928.3	423.61	1088.92	287.01	420.68	551.56	450.94	738.29	1794.29	1233.75	327.56	172.65	68.55	40.36	124.37	52.82	92.7	307.69	108.14	81.71	135.24	108.14	129.69	135.24	181.28	21.78	146.03
FKBP1A	5219.6	4512.4	4358.66	5006.93	4239.45	5403.7	3372.43	6164.49	5006.93	2976.74	3280.18	3303.0	2976.74	2739.08	4210.15	3349.13	4869.99	3060.45	5183.54	2148.82	6250.56	4152.18	7695.57	3168.41	8718.32	4123.49	2178.83	1950.0	1583.71	1369.04	2224.63	1447.15	1883.54	2417.67	1073.91	1857.6	1111.82	2004.85	1388.16	3060.45	1709.26	1685.71	2224.63
GNL3	1963.57	1794.29	1819.35	1794.29	1896.65	1883.54	1977.24	1397.83	3018.3	2555.58	2178.83	1936.53	3467.27	1745.2	2997.45	3146.52	2555.58	1286.18	1417.35	703.28	1529.73	1832.01	2537.92	1674.06	4450.27	1015.93	808.0	1135.2	500.46	708.18	708.18	555.41	915.51	825.0	543.96	718.08	473.41	902.89	1023.0	1001.93	493.56	1023.0	941.27
GPN1	819.3	651.58	836.53	860.08	796.86	579.04	583.07	656.11	1015.93	595.34	708.18	848.22	896.64	665.29	718.08	718.08	836.53	567.1	723.08	941.27	796.86	679.29	503.95	723.08	1151.06	559.28	460.44	336.79	395.18	329.84	358.54	353.59	299.25	460.44	295.11	303.44	237.86	353.59	273.37	392.44	332.14	329.84	273.37
HDAC2	1819.35	842.36	1639.59	2004.85	2032.85	1594.73	878.17	1709.26	2682.69	1950.0	1151.06	1529.73	1467.37	2104.58	764.36	1857.6	2664.15	1359.57	1498.22	1059.11	1605.83	1697.45	1733.13	1304.15	3190.46	1044.52	490.14	470.14	493.56	381.68	426.57	417.77	441.64	591.22	303.44	420.68	239.52	371.22	346.29	532.74	395.18	397.93	397.93
HEATR1	381.68	181.28	409.15	232.94	312.0	379.04	412.0	262.2	473.41	463.65	117.6	305.55	165.57	260.38	351.14	423.61	253.23	138.1	228.13	96.68	291.04	251.48	264.03	289.02	389.72	100.13	68.55	46.18	48.18	37.59	50.63	48.87	37.05	78.34	38.4	31.22	36.27	39.5	57.89	58.71	30.56	55.49	43.63
HNRNPLL	669.92	395.18	647.07	669.92	669.92	420.68	571.05	409.15	660.68	529.06	403.5	579.04	620.67	547.75	514.56	514.56	540.19	497.0	497.0	397.93	420.68	563.18	878.17	660.68	718.08	450.94	204.07	175.07	190.34	144.01	202.66	178.77	185.11	206.94	134.3	145.02	107.38	209.84	150.17	312.0	180.02	202.66	175.07
IARS	1208.34	1044.52	1268.46	1350.18	1250.98	1001.93	1819.35	1175.27	2384.37	1561.89	1104.13	1088.92	1529.73	1250.98	1216.75	1769.57	1277.29	665.29	1037.29	656.11	1081.39	633.73	1233.75	1151.06	2609.3	423.61	318.57	244.57	214.27	208.38	251.48	209.84	287.01	457.25	180.02	159.9	232.94	242.88	285.03	332.14	205.5	346.29	218.79
IFNGR2	3325.99	1191.69	2997.45	2573.36	1794.29	1794.29	2555.58	2816.11	2855.44	1896.65	2609.3	1909.85	4123.49	2047.0	1950.0	1991.0	3467.27	2777.33	6037.61	1250.98	603.67	1794.29	2434.5	1757.34	3280.18	2796.65	796.86	1001.93	543.96	529.06	624.99	460.44	656.11	928.3	273.37	791.35	371.22	669.92	1143.1	1051.79	802.41	583.07	447.82
IPO4	473.41	603.67	454.09	559.28	638.15	748.61	1950.0	480.04	1286.18	819.3	1066.48	518.15	591.22	915.51	764.36	866.07	780.44	447.82	429.54	928.3	1143.1	780.44	457.25	607.87	1304.15	483.38	341.51	267.73	264.03	293.07	309.83	309.83	417.77	312.0	183.82	307.69	248.0	320.8	341.51	277.2	198.47	381.68	358.54
KIAA0020	599.49	551.56	409.15	536.45	660.68	660.68	547.75	693.58	1745.2	633.73	432.53	486.75	460.44	540.19	575.03	647.07	830.75	480.04	540.19	441.64	392.44	521.76	909.17	872.1	2061.24	642.59	379.04	358.54	262.2	217.27	368.65	307.69	249.73	371.22	251.48	229.72	242.88	293.07	346.29	409.15	358.54	371.22	403.5
KPNA4	579.04	457.25	497.0	591.22	624.99	480.04	392.44	447.82	698.41	555.41	244.57	599.49	476.71	555.41	346.29	518.15	660.68	334.46	441.64	426.57	305.55	507.46	921.88	400.71	665.29	214.27	193.01	197.09	139.07	121.79	163.28	125.24	154.42	199.85	111.99	142.01	120.94	220.32	201.25	166.73	147.06	153.34	195.72
LRP12	113.56	22.43	107.38	117.6	121.79	61.25	303.44	139.07	376.41	96.68	6.94	53.95	40.93	61.25	121.79	70.51	253.23	32.82	147.06	29.48	89.51	178.77	629.35	123.5	256.78	65.72	17.64	16.03	10.31	8.19	14.56	8.65	11.13	35.25	12.74	8.58	2.94	29.27	11.47	23.93	31.9	21.01	5.54
LTV1	603.67	323.03	536.45	518.15	607.87	563.18	486.75	599.49	1023.0	633.73	363.56	529.06	295.11	555.41	327.56	684.02	518.15	463.65	529.06	220.32	529.06	575.03	866.07	733.19	1519.15	309.83	305.55	389.72	251.48	264.03	305.55	229.72	301.33	351.14	186.4	241.19	218.79	283.05	279.14	332.14	194.36	285.03	181.28
MAK16	239.52	166.73	223.41	218.79	226.54	182.55	165.57	187.71	432.53	249.73	128.79	226.54	171.45	176.29	228.13	255.0	167.9	159.9	178.77	166.73	202.66	217.27	791.35	287.01	543.96	115.97	94.67	109.66	84.04	87.03	85.22	70.01	81.14	113.56	71.0	67.12	51.35	91.41	107.38	129.69	63.45	86.43	87.65
MAP4	2240.11	620.67	1583.71	1674.06	2209.26	1709.26	2133.97	1498.22	2573.36	1639.59	1073.91	1781.89	1088.92	1674.06	2384.37	1498.22	2701.35	1769.57	2417.67	884.29	2319.15	2627.46	3325.99	2119.22	3589.58	1844.76	1015.93	796.86	563.18	540.19	764.36	575.03	974.5	1183.45	432.53	633.73	607.87	679.29	909.17	954.43	723.08	733.19	764.36
MAPRE1	2104.58	2047.0	2303.12	1870.53	2193.99	2133.97	1350.18	2163.77	2319.15	1561.89	1313.23	1427.22	1359.57	1651.0	1617.0	1794.29	2319.15	1233.75	1498.22	1572.76	1119.56	1583.71	3928.15	1551.09	3103.19	909.17	490.14	376.41	229.72	318.57	318.57	226.54	267.73	450.94	150.17	220.32	170.25	389.72	291.04	738.29	256.78	208.38	236.21
MCMBP	872.1	674.59	967.76	1044.52	1104.13	674.59	764.36	684.02	1322.37	967.76	521.76	902.89	854.13	961.07	703.28	780.44	679.29	642.59	679.29	642.59	748.61	902.89	1030.12	642.59	1388.16	511.0	363.56	358.54	332.14	299.25	343.89	329.84	301.33	376.41	215.77	279.14	218.79	334.46	244.57	403.5	211.31	293.07	291.04
MORF4L1	7966.99	4671.57	7485.11	5479.15	6935.54	5441.3	5872.48	4903.87	6840.04	6516.03	5403.7	5633.22	6250.56	7695.57	7382.04	5219.6	4802.93	4095.0	6652.97	5183.54	4671.57	6840.04	8901.53	4575.41	9215.48	8078.22	3395.89	2720.15	3419.52	2319.15	3146.52	2816.11	3257.52	3874.05	1844.76	2591.27	2032.85	3325.99	2485.67	4358.66	2104.58	3372.43	3235.01
MPZL1	3443.31	1709.26	3103.19	2384.37	3742.05	2627.46	3018.3	2520.38	4512.4	3124.78	1883.54	2664.15	3103.19	2915.45	1639.59	1639.59	2627.46	1388.16	9025.81	1388.16	1437.15	3874.05	2018.8	2485.67	4419.52	1066.48	583.07	297.17	277.2	209.84	307.69	295.11	351.14	503.95	125.24	214.27	115.97	246.28	351.14	463.65	379.04	343.89	332.14
MTPAP	262.2	211.31	271.48	277.2	264.03	201.25	277.2	140.04	376.41	244.57	111.21	264.03	165.57	204.07	242.88	264.03	185.11	152.28	185.11	218.79	217.27	180.02	281.09	412.0	555.41	201.25	135.24	127.0	102.25	87.03	114.36	105.89	103.69	133.36	119.26	119.26	107.38	136.19	96.68	130.6	114.36	107.38	133.36
NAA15	379.04	239.52	353.59	579.04	392.44	281.09	323.03	253.23	607.87	226.54	166.73	226.54	248.0	277.2	371.22	444.72	295.11	198.47	253.23	275.28	318.57	291.04	802.41	301.33	665.29	103.69	120.1	125.24	92.7	75.64	94.01	86.43	102.25	121.79	72.01	82.87	74.58	99.43	121.79	129.69	96.01	92.05	90.77
NAT10	974.5	813.63	579.04	743.43	656.11	728.11	954.43	723.08	1216.75	642.59	551.56	769.69	647.07	571.05	718.08	723.08	463.65	507.46	591.22	769.69	728.11	836.53	532.74	1208.34	1225.22	373.81	358.54	351.14	273.37	281.09	387.02	316.37	258.57	332.14	323.03	258.57	285.03	336.79	366.09	332.14	291.04	334.46	348.71
NCKAP1	1757.34	1143.1	1963.57	2163.77	1685.71	1143.1	1757.34	1277.29	2193.99	1286.18	780.44	1757.34	1605.83	1794.29	1594.73	2047.0	1427.22	1286.18	1819.35	1051.79	1350.18	1769.57	1857.6	1359.57	1794.29	808.0	450.94	387.02	397.93	305.55	356.05	406.31	403.5	543.96	209.84	273.37	295.11	490.14	368.65	426.57	339.14	371.22	301.33
NOC3L	260.38	150.17	256.78	249.73	285.03	193.01	172.65	164.42	387.02	231.32	115.97	220.32	132.44	140.04	220.32	231.32	177.53	157.68	209.84	190.34	178.77	185.11	242.88	356.05	656.11	112.77	140.04	98.04	80.01	71.5	94.67	72.52	80.57	107.38	81.71	62.12	101.54	74.58	74.58	100.83	94.67	65.72	55.89
NOLC1	1183.45	1088.92	1066.48	1199.98	1457.23	988.12	1540.37	934.76	2193.99	1437.15	1167.14	1304.15	1073.91	1397.83	1378.57	1551.09	974.5	896.64	866.07	1183.45	1151.06	1378.57	2520.38	1242.34	2434.5	624.99	555.41	651.58	409.15	423.61	438.59	371.22	454.09	583.07	297.17	432.53	426.57	486.75	497.0	633.73	334.46	521.76	414.87
NOP2	591.22	708.18	457.25	444.72	511.0	493.56	612.11	514.56	836.53	620.67	555.41	483.38	343.89	480.04	486.75	599.49	409.15	463.65	466.88	212.78	497.0	493.56	395.18	616.37	1378.57	363.56	339.14	376.41	202.66	312.0	291.04	211.31	218.79	303.44	262.2	275.28	253.23	303.44	412.0	293.07	186.4	220.32	144.01
NUP98	1313.23	1104.13	1015.93	1001.93	974.5	1081.39	1286.18	928.3	1594.73	1073.91	748.61	1096.5	1051.79	1096.5	759.08	791.35	961.07	791.35	802.41	1151.06	830.75	813.63	1572.76	1259.69	1304.15	656.11	583.07	555.41	379.04	490.14	525.39	379.04	444.72	551.56	633.73	368.65	591.22	532.74	514.56	529.06	642.59	409.15	480.04
PDCD11	269.6	285.03	273.37	279.14	329.84	265.87	325.29	234.57	547.75	305.55	297.17	267.73	244.57	303.44	341.51	255.0	277.2	202.66	239.52	318.57	299.25	287.01	297.17	579.04	358.54	228.13	195.72	224.97	167.9	215.77	301.33	182.55	183.82	214.27	218.79	215.77	195.72	198.47	140.04	172.65	204.07	244.57	229.72
POGK	1199.98	551.56	909.17	642.59	780.44	791.35	1135.2	579.04	679.29	1096.5	323.03	802.41	703.28	928.3	860.08	890.44	890.44	540.19	518.15	579.04	591.22	974.5	444.72	389.72	403.5	438.59	198.47	127.89	107.38	121.79	145.02	115.16	117.6	190.34	115.16	88.26	78.89	124.37	220.32	158.79	85.82	72.01	79.45
POLR1C	559.28	743.43	543.96	587.13	555.41	540.19	551.56	591.22	1111.82	612.11	764.36	583.07	591.22	525.39	476.71	775.05	753.83	460.44	567.1	775.05	543.96	567.1	620.67	607.87	1127.35	684.02	438.59	507.46	387.02	376.41	470.14	339.14	412.0	412.0	348.71	291.04	490.14	381.68	460.44	368.65	339.14	275.28	339.14
PPHLN1	1259.69	1051.79	1051.79	872.1	1259.69	866.07	775.05	961.07	1250.98	1104.13	733.19	988.12	909.17	836.53	1081.39	1259.69	813.63	713.11	796.86	748.61	1001.93	928.3	1167.14	902.89	1467.37	878.17	379.04	476.71	329.84	346.29	368.65	351.14	312.0	476.71	303.44	379.04	309.83	343.89	400.71	563.18	441.64	301.33	403.5
PRMT5	995.0	733.19	1508.65	1295.13	1447.15	1369.04	1950.0	848.22	2119.22	1388.16	1991.0	1594.73	1277.29	1508.65	1313.23	1540.37	1001.93	967.76	1242.34	1286.18	1073.91	854.13	1008.9	1199.98	1977.24	872.1	693.58	384.34	532.74	497.0	775.05	497.0	435.55	633.73	420.68	521.76	387.02	435.55	447.82	389.72	426.57	728.11	490.14
PUS7	202.66	102.25	146.03	281.09	332.14	239.52	262.2	226.54	591.22	309.83	182.55	193.01	122.64	204.07	176.29	353.59	279.14	173.85	138.1	136.19	171.45	215.77	171.45	244.57	1066.48	101.54	63.89	61.25	48.52	48.18	63.45	59.13	66.18	75.64	47.17	53.57	32.59	100.83	121.79	80.01	57.89	48.87	50.98
PWP1	1111.82	830.75	854.13	785.88	896.64	808.0	642.59	954.43	1088.92	954.43	612.11	825.0	638.15	854.13	890.44	890.44	674.59	665.29	713.11	708.18	1037.29	961.07	934.76	748.61	1498.22	723.08	521.76	426.57	457.25	384.34	450.94	454.09	395.18	521.76	309.83	417.77	403.5	348.71	325.29	435.55	432.53	483.38	395.18
RAB7A	5555.65	4903.87	3901.01	4543.8	4802.93	4869.99	3614.55	3742.05	6164.49	2367.9	3146.52	4575.41	5183.54	4481.23	4038.61	4210.15	8191.0	4066.71	5076.84	5255.91	5219.6	4972.34	5995.9	3491.39	8363.13	3716.2	3060.45	2835.7	2664.15	2609.3	3060.45	2758.13	2816.11	3540.14	2178.83	3039.3	2609.3	3395.89	2287.2	3325.99	2609.3	2701.35	2645.74
RHOA	13492.72	6983.79	15499.21	9740.98	11909.94	9606.86	9606.86	8658.09	11504.21	10808.41	8078.22	9606.86	9606.86	9151.82	11992.79	9673.69	12676.65	9279.58	10512.82	5517.27	10154.69	12853.63	15607.02	7966.99	15824.9	8078.22	4450.27	3325.99	2976.74	2701.35	3325.99	3212.66	3349.13	4450.27	2835.7	3491.39	2816.11	3103.19	2701.35	4358.66	3540.14	3168.41	3491.39
RIOK1	293.07	279.14	269.6	273.37	264.03	206.94	275.28	237.86	555.41	348.71	239.52	265.87	277.2	325.29	157.68	309.83	303.44	291.04	242.88	262.2	248.0	220.32	743.43	460.44	1175.27	267.73	142.01	129.69	121.79	127.0	131.51	109.66	115.97	176.29	83.45	66.65	67.12	132.44	163.28	151.22	67.12	145.02	62.56
SCGB2A2	1800541.22	978355.0	938500.81	1318073.06	919186.72	1163466.92	1238359.56	1788103.97	305326.92	1034138.94	1751305.3	2279047.19	1668359.93	1422501.74	1600397.78	834179.46	1524599.69	8805660.77	1345768.59	894051.48	1578364.61	1187913.85	1442359.14	1019901.63	524287.0	1503610.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.0	1.79	0.0	0.0	0.0
SDAD1	733.19	559.28	647.07	688.78	669.92	493.56	679.29	503.95	995.0	480.04	420.68	693.58	563.18	518.15	791.35	775.05	1977.24	518.15	575.03	435.55	595.34	583.07	878.17	599.49	1183.45	395.18	279.14	242.88	221.86	189.02	214.27	206.94	239.52	303.44	125.24	183.82	198.47	255.0	215.77	242.88	162.14	256.78	189.02
SEC11A	4328.55	3124.78	3257.52	4419.52	3349.13	2555.58	3325.99	2915.45	3372.43	4358.66	4802.93	3491.39	3103.19	4388.98	2915.45	3820.7	3124.78	5329.3	3395.89	4010.71	2400.97	3303.0	4704.07	3235.01	4769.75	6516.03	1832.01	2193.99	2555.58	1662.49	2555.58	2367.9	1883.54	2935.74	1407.55	2163.77	1769.57	2664.15	1437.15	3168.41	1331.57	2271.4	2287.2
SEC31A	5954.47	7032.37	5183.54	6561.36	5076.84	4575.41	6250.56	3665.02	4095.0	4769.75	3742.05	5594.3	9088.59	5006.93	4543.8	4869.99	4358.66	3794.3	3820.7	3349.13	3039.3	6337.83	4123.49	4038.61	5403.7	4066.71	2417.67	2047.0	1508.65	2163.77	1950.0	1963.57	2303.12	3168.41	2240.11	2271.4	2434.5	3124.78	2537.92	2303.12	2351.53	3467.27	2240.11
TAF1B	208.38	178.77	348.71	236.21	251.48	166.73	212.78	199.85	255.0	236.21	100.13	281.09	116.78	191.67	251.48	264.03	260.38	154.42	301.33	164.42	147.06	237.86	285.03	158.79	336.79	91.41	75.64	53.95	37.32	47.5	68.07	46.84	54.72	88.26	39.79	40.36	36.01	61.25	43.32	85.82	40.07	45.53	49.21
TP53	718.08	954.43	1073.91	1044.52	1685.71	738.29	743.43	1216.75	1467.37	1508.65	995.0	1119.56	599.49	1015.93	591.22	1023.0	336.79	753.83	902.89	896.64	346.29	698.41	426.57	1662.49	2148.82	555.41	358.54	376.41	341.51	267.73	348.71	363.56	271.48	397.93	309.83	234.57	435.55	175.07	136.19	325.29	295.11	361.04	229.72
TTC27	303.44	381.68	450.94	269.6	392.44	260.38	228.13	267.73	447.82	287.01	303.44	305.55	242.88	273.37	293.07	318.57	346.29	244.57	215.77	295.11	389.72	232.94	341.51	397.93	567.1	231.32	152.28	107.38	124.37	115.16	117.6	100.13	122.64	149.12	82.29	90.77	162.14	90.14	69.52	78.34	105.15	132.44	88.26
URB1	133.36	81.71	132.44	173.85	146.03	171.45	412.0	148.09	316.37	132.44	131.51	165.57	164.42	133.36	209.84	158.79	281.09	97.36	158.79	135.24	170.25	104.42	124.37	204.07	239.52	96.68	71.0	40.36	41.52	39.79	53.57	46.5	55.49	82.87	26.67	40.93	37.59	47.84	51.71	49.56	31.22	73.03	59.13
UTP14A	414.87	392.44	361.04	299.25	371.22	389.72	406.31	460.44	525.39	511.0	384.34	409.15	323.03	420.68	409.15	559.28	397.93	368.65	346.29	312.0	336.79	389.72	361.04	392.44	674.59	221.86	152.28	154.42	149.12	114.36	172.65	116.78	126.12	175.07	99.43	101.54	84.04	128.79	80.01	182.55	95.34	144.01	102.97
VCL	988.12	543.96	1111.82	1369.04	1191.69	947.83	988.12	1233.75	2271.4	753.83	518.15	884.29	493.56	915.51	1175.27	665.29	1757.34	507.46	1183.45	791.35	802.41	1030.12	3540.14	1685.71	2935.74	1096.5	320.8	384.34	158.79	223.41	164.42	108.9	199.85	334.46	87.65	167.9	105.15	135.24	242.88	884.29	277.2	125.24	153.34
