	GTEX.14AS3.1626.SM.5S2OY	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU	TCGA.50.5045.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5068.01A.01R.1628.07	GTEX.13FLV.0426.SM.5KLZA	TCGA.34.5234.01A.01R.1635.07	TCGA.BR.6802.11A.01R.1884.13
C2orf76	1551.09	327.56	414.87	368.65	295.11	607.87	244.57	164.42	226.54	293.07	325.29	267.73	241.19	224.97	363.56	323.03	379.04	289.02	178.77	172.65	256.78	389.72	262.2	281.09	463.65	181.28	463.65	0.14	796.86	150.17	967.76	647.07
CCDC167	1662.49	607.87	583.07	693.58	547.75	928.3	412.0	536.45	450.94	1073.91	483.38	301.33	480.04	575.03	486.75	426.57	389.72	575.03	426.57	463.65	339.14	490.14	470.14	733.19	1208.34	1216.75	2682.69	0.06	3820.7	140.04	2816.11	1857.6
CDK4	4358.66	2287.2	2645.74	2319.15	2104.58	4769.75	1498.22	3124.78	1540.37	3564.78	3325.99	1794.29	2133.97	4769.75	1963.57	2133.97	2664.15	3690.52	1781.89	1781.89	1977.24	1870.53	2537.92	2400.97	5517.27	3303.0	4639.29	2367.9	5076.84	866.07	5672.41	3540.14
CHCHD1	3467.27	1498.22	1457.23	974.5	934.76	902.89	866.07	967.76	896.64	1225.22	1674.06	915.51	1277.29	1304.15	1143.1	1051.79	915.51	1388.16	813.63	981.29	967.76	1286.18	1175.27	1081.39	1628.26	1733.13	2367.9	0.4	4607.24	275.28	2855.44	2956.17
CNPY2	6381.92	3303.0	2367.9	3515.68	2855.44	6935.54	1794.29	3589.58	2720.15	3190.46	3665.02	1936.53	2240.11	5292.48	2224.63	2664.15	3847.29	4152.18	2335.28	2178.83	2133.97	2816.11	3212.66	3212.66	3982.99	4388.98	5633.22	0.53	4152.18	1167.14	5112.16	5517.27
COPZ1	5255.91	4095.0	4639.29	5711.87	3768.09	7485.11	2609.3	3257.52	3168.41	4869.99	4038.61	2609.3	3168.41	4268.94	3690.52	3614.55	4450.27	4836.35	2664.15	2875.3	2682.69	3349.13	3901.01	3491.39	5329.3	3103.19	4836.35	0.36	3540.14	1819.35	5076.84	6426.31
COX14	3564.78	2319.15	2645.74	1936.53	2148.82	3443.31	1073.91	1407.55	1417.35	1794.29	2997.45	1167.14	1896.65	2004.85	1561.89	1529.73	1519.15	2777.33	1199.98	1529.73	1369.04	2682.69	2468.49	1674.06	2701.35	2384.37	3874.05	0.75	6164.49	599.49	7433.4	4543.8
COX6B1	18431.96	10512.82	10585.95	11345.82	7485.11	15180.22	5633.22	6294.04	6887.62	13776.25	14561.8	5112.16	7230.1	9409.14	9474.59	7230.1	8363.13	8598.28	5183.54	7749.1	6516.03	14561.8	10014.87	6381.92	14561.8	13681.08	14663.09	1.14	16157.44	4388.98	17317.18	35609.13
DDT	4450.27	3901.01	2178.83	3018.3	3515.68	7966.99	1397.83	2319.15	2271.4	1508.65	6561.36	2163.77	2573.36	3190.46	2645.74	2835.7	4450.27	3124.78	2400.97	2835.7	2485.67	5292.48	4937.99	2997.45	5672.41	27938.14	3874.05	0.8	5751.61	1088.92	6381.92	9474.59
DRG1	2148.82	1350.18	1457.23	1051.79	1015.93	1242.34	753.83	909.17	872.1	536.45	1498.22	884.29	988.12	947.83	842.36	981.29	1066.48	1001.93	808.0	860.08	854.13	1183.45	1066.48	802.41	1437.15	1208.34	1594.73	0.59	2777.33	366.09	2720.15	2645.74
EXOSC4	2119.22	813.63	571.05	441.64	603.67	1508.65	438.59	647.07	490.14	713.11	629.35	307.69	708.18	620.67	616.37	587.13	571.05	587.13	514.56	591.22	454.09	660.68	796.86	559.28	995.0	1617.0	1662.49	0.24	1331.57	273.37	928.3	988.12
FAM103A1	1111.82	414.87	575.03	500.46	403.5	599.49	305.55	279.14	432.53	403.5	417.77	346.29	414.87	591.22	463.65	420.68	497.0	403.5	384.34	373.81	409.15	389.72	493.56	426.57	420.68	591.22	575.03	0.0	1216.75	226.54	1066.48	1023.0
FDPS	5751.61	2367.9	2591.27	2400.97	2303.12	3467.27	1733.13	1540.37	2018.8	2682.69	2835.7	1745.2	1991.0	2163.77	1819.35	2104.58	1991.0	2485.67	1769.57	1819.35	2061.24	2287.2	2335.28	1950.0	3325.99	8305.36	4639.29	0.61	7803.01	2720.15	5913.33	4268.94
GEMIN7	1350.18	420.68	529.06	536.45	363.56	684.02	249.73	476.71	363.56	591.22	429.54	281.09	429.54	603.67	500.46	476.71	395.18	423.61	358.54	397.93	287.01	450.94	334.46	518.15	514.56	698.41	1096.5	0.07	2271.4	189.02	1487.87	1896.65
GLRX2	579.04	334.46	307.69	334.46	289.02	514.56	215.77	239.52	201.25	228.13	346.29	241.19	297.17	191.67	307.69	217.27	271.48	212.78	198.47	262.2	241.19	283.05	295.11	277.2	239.52	1008.9	435.55	0.0	967.76	108.9	651.58	780.44
METTL5	3018.3	1001.93	1268.46	1417.35	915.51	1467.37	718.08	842.36	728.11	1167.14	1143.1	743.43	1030.12	1313.23	981.29	1159.07	1135.2	947.83	612.11	624.99	753.83	1242.34	1233.75	759.08	1508.65	1427.22	1208.34	0.59	2119.22	316.37	1923.14	3491.39
MGST2	5751.61	2032.85	2645.74	2303.12	2163.77	3564.78	1104.13	947.83	1457.23	1832.01	2417.67	1350.18	1662.49	2075.59	2075.59	1477.58	2468.49	1709.26	1250.98	1639.59	1651.0	2609.3	2178.83	1388.16	1977.24	6983.79	1685.71	0.52	2935.74	1457.23	2609.3	8840.04
MRPL14	3280.18	1119.56	1199.98	713.11	941.27	1806.78	842.36	2468.49	866.07	1685.71	1066.48	679.29	1143.1	1540.37	878.17	728.11	1059.11	1540.37	819.3	769.69	866.07	872.1	753.83	860.08	1769.57	3847.29	3690.52	0.18	6037.61	748.61	5329.3	3467.27
MRPS11	1594.73	1259.69	1159.07	961.07	954.43	1870.53	684.02	470.14	819.3	1242.34	1277.29	718.08	947.83	1059.11	974.5	825.0	1151.06	1233.75	759.08	921.88	718.08	1388.16	1242.34	1030.12	1551.09	1950.0	1757.34	0.21	2351.53	327.56	2997.45	3419.52
MRPS12	1639.59	1208.34	1104.13	656.11	884.29	1857.6	579.04	1583.71	693.58	1477.58	1208.34	638.15	921.88	1030.12	1191.69	647.07	941.27	896.64	909.17	1066.48	693.58	1304.15	1127.35	819.3	2351.53	1745.2	2367.9	0.39	2895.31	271.48	2701.35	2739.08
MRPS18C	2271.4	819.3	941.27	902.89	551.56	1498.22	466.88	473.41	463.65	567.1	1233.75	514.56	748.61	961.07	902.89	551.56	525.39	753.83	438.59	486.75	647.07	1088.92	967.76	441.64	1295.13	1909.85	1030.12	0.26	2178.83	473.41	1561.89	2739.08
MRPS21	8134.41	2018.8	1923.14	1757.34	1295.13	3540.14	1250.98	791.35	1369.04	1896.65	2502.97	1388.16	1447.15	2075.59	1617.0	1605.83	1733.13	2240.11	1037.29	1151.06	1721.16	1950.0	1936.53	1407.55	3280.18	1991.0	2682.69	0.89	3690.52	551.56	2895.31	3467.27
NAA10	2875.3	1806.78	1977.24	1685.71	1594.73	2875.3	1167.14	1427.22	1519.15	2384.37	2720.15	1127.35	1605.83	2555.58	1519.15	1685.71	1896.65	1733.13	1286.18	1447.15	1487.87	1806.78	1857.6	1498.22	2796.65	1936.53	4512.4	1.07	5633.22	848.22	4937.99	2915.45
NDUFA2	6983.79	6121.9	3540.14	2758.13	2400.97	5076.84	1709.26	1104.13	1936.53	4210.15	4298.64	1936.53	2720.15	2875.3	2816.11	2075.59	2645.74	3349.13	1781.89	2451.44	1963.57	3690.52	3303.0	2303.12	4972.34	4152.18	4736.79	0.84	9540.5	723.08	7966.99	9344.14
NDUFB1	20593.91	9740.98	9025.81	4972.34	7382.04	12160.22	4869.99	2777.33	5633.22	4972.34	10733.74	4358.66	6471.02	5517.27	8658.09	5403.7	4869.99	6699.25	3768.09	5954.47	5292.48	11345.82	7433.4	4802.93	9606.86	15607.02	13123.73	0.95	23330.64	947.83	25179.16	17558.94
NDUFB9	15934.98	5594.3	11992.79	10959.3	7803.01	12076.21	5292.48	3847.29	6561.36	9474.59	12589.08	6079.61	7911.95	5441.3	9088.59	7857.29	5403.7	7032.37	5403.7	7280.4	6699.25	13399.51	9945.68	5329.3	9540.5	17437.64	10585.95	0.83	16045.82	3081.75	13968.57	17437.64
NDUFC2	14262.1	6840.04	5112.16	4388.98	5292.48	8963.45	3564.78	3847.29	3467.27	3190.46	6652.97	3146.52	4937.99	5594.3	5219.6	4038.61	6652.97	5633.22	3280.18	3847.29	3955.48	6294.04	4736.79	3639.7	6250.56	13968.57	7911.95	231.32	10154.69	3325.99	8078.22	12502.12
NDUFV2	5403.7	4543.8	3901.01	2434.5	3982.99	5555.65	2148.82	1322.37	2835.7	2061.24	4181.07	1844.76	3081.75	4010.71	4358.66	2997.45	2468.49	3395.89	1936.53	1519.15	2434.5	4575.41	4328.55	2645.74	3794.3	8718.32	6250.56	0.92	8078.22	2178.83	5995.9	7537.18
NEDD8	8134.41	5517.27	7081.29	3349.13	4736.79	8363.13	3467.27	4836.35	3690.52	6887.62	6561.36	4095.0	4575.41	7642.41	4671.57	4836.35	5219.6	5791.62	3325.99	4181.07	4066.71	5633.22	4671.57	4358.66	8778.97	7433.4	11424.74	0.97	12329.98	2664.15	14163.58	8363.13
NENF	11504.21	2573.36	2178.83	1331.57	1498.22	3235.01	1119.56	1806.78	1225.22	1950.0	1896.65	1340.84	1806.78	3419.52	1844.76	1159.07	1583.71	1674.06	1250.98	1662.49	1794.29	2240.11	1519.15	1583.71	2240.11	1551.09	3372.43	0.78	6121.9	1857.6	4607.24	4181.07
NHP2	8538.88	5255.91	2976.74	2240.11	2664.15	5479.15	1639.59	1794.29	1991.0	3847.29	3847.29	2061.24	2777.33	4607.24	2537.92	2451.44	3742.05	2935.74	2004.85	2224.63	2271.4	2645.74	2997.45	2271.4	6887.62	3060.45	4607.24	0.39	8901.53	1073.91	5076.84	5517.27
NOP10	8840.04	4388.98	7081.29	4512.4	4181.07	7230.1	2664.15	2816.11	3874.05	6207.38	4769.75	2796.65	4268.94	6250.56	4066.71	3928.15	3847.29	4239.45	2855.44	4152.18	3081.75	3443.31	2997.45	3928.15	6381.92	7857.29	8778.97	1044.52	17927.91	4095.0	11267.44	13872.08
POLR1C	1037.29	633.73	825.0	620.67	543.96	1044.52	624.99	457.25	532.74	603.67	642.59	579.04	693.58	571.05	587.13	591.22	543.96	571.05	518.15	403.5	555.41	518.15	555.41	536.45	884.29	389.72	981.29	325.29	1250.98	260.38	1044.52	866.07
PSMA4	5672.41	2609.3	2875.3	2555.58	2609.3	4298.64	1806.78	1199.98	2047.0	2664.15	3018.3	1551.09	2271.4	3540.14	2875.3	1950.0	2701.35	2090.03	1519.15	1733.13	1950.0	2384.37	2133.97	1923.14	3325.99	5183.54	4328.55	0.83	8247.98	1572.76	8718.32	4704.07
PSMA5	4066.71	2682.69	2915.45	1583.71	2400.97	5112.16	1819.35	2209.26	2351.53	1733.13	2555.58	1457.23	2133.97	2777.33	2133.97	2178.83	2468.49	2400.97	1757.34	2224.63	1745.2	1896.65	2018.8	1936.53	3491.39	5076.84	5147.73	0.59	7280.4	1104.13	5672.41	4066.71
PSMA6	7382.04	2976.74	3589.58	2209.26	2915.45	3901.01	1662.49	2468.49	2018.8	2777.33	3614.55	1583.71	2133.97	4181.07	2434.5	2133.97	3146.52	2193.99	1781.89	1991.0	1806.78	2537.92	2417.67	2303.12	3395.89	6699.25	12160.22	0.93	11189.6	2047.0	14765.09	6426.31
PSMB5	4328.55	2956.17	2451.44	1437.15	2935.74	4736.79	1819.35	3212.66	2240.11	3039.3	2997.45	1697.45	2645.74	4328.55	2682.69	2502.97	3212.66	2796.65	2163.77	2224.63	2104.58	2319.15	3212.66	2319.15	4298.64	4481.23	5913.33	0.75	3124.78	1081.39	5112.16	3257.52
PSMC3	4388.98	2935.74	2777.33	1781.89	2573.36	3081.75	1991.0	1963.57	2434.5	2895.31	2956.17	2209.26	2351.53	2485.67	2224.63	2739.08	2090.03	2335.28	1936.53	2682.69	2287.2	2367.9	1832.01	2255.7	3124.78	4419.52	4066.71	0.85	3768.09	1529.73	4152.18	2855.44
PSME2	8134.41	5366.37	4328.55	3395.89	4769.75	7130.55	2303.12	3103.19	4607.24	5791.62	5995.9	2240.11	3955.48	7433.4	4419.52	4010.71	3742.05	3540.14	3060.45	4328.55	2835.7	4481.23	3955.48	5112.16	4903.87	6607.01	13306.94	0.64	12244.81	4802.93	10883.59	5791.62
PYURF	5555.65	1628.26	1745.2	1037.29	928.3	2303.12	1081.39	669.92	1233.75	1242.34	1605.83	1628.26	1437.15	1709.26	1498.22	1151.06	785.88	1111.82	688.78	1208.34	1295.13	2018.8	1051.79	1159.07	2104.58	2351.53	2090.03	0.83	3690.52	775.05	2287.2	3372.43
RBX1	3395.89	1519.15	1794.29	1088.92	1066.48	1651.0	708.18	878.17	1151.06	808.0	1457.23	941.27	1081.39	1322.37	1216.75	1378.57	1143.1	1313.23	884.29	1081.39	1111.82	1427.22	1225.22	1427.22	1378.57	1909.85	3146.52	0.83	4869.99	723.08	6381.92	3235.01
SDHAF2	2451.44	1143.1	1322.37	1183.45	981.29	1233.75	656.11	842.36	728.11	599.49	988.12	656.11	1008.9	1037.29	1066.48	607.87	624.99	1008.9	738.29	703.28	872.1	1066.48	902.89	723.08	1096.5	1216.75	1674.06	0.18	2303.12	612.11	1757.34	1769.57
SEC61B	8718.32	4937.99	3564.78	4010.71	4152.18	7803.01	2645.74	2018.8	3742.05	4512.4	5112.16	2303.12	3820.7	4010.71	4210.15	3325.99	3716.2	4450.27	2895.31	3639.7	2935.74	4066.71	3614.55	5076.84	5183.54	11267.44	9945.68	0.67	8538.88	4210.15	9540.5	11112.3
SLIRP	10808.41	3955.48	3146.52	2032.85	2664.15	7382.04	1674.06	1639.59	1819.35	3081.75	4481.23	1628.26	2739.08	3235.01	2875.3	1977.24	2240.11	2777.33	1378.57	1733.13	1857.6	3614.55	3874.05	2104.58	5076.84	6935.54	5329.3	0.68	6561.36	1023.0	7642.41	10084.54
SMIM20	3212.66	896.64	1407.55	1322.37	1059.11	2018.8	802.41	507.46	733.19	1407.55	1286.18	854.13	1104.13	988.12	1259.69	743.43	995.0	1143.1	693.58	915.51	836.53	1216.75	934.76	808.0	1909.85	1030.12	1519.15	0.46	2367.9	162.14	2193.99	2468.49
SNRPD1	3874.05	1143.1	1175.27	791.35	1030.12	2004.85	665.29	551.56	669.92	660.68	1199.98	759.08	1081.39	2090.03	1127.35	764.36	830.75	1001.93	607.87	417.77	723.08	872.1	995.0	796.86	2133.97	2104.58	2163.77	0.21	3690.52	642.59	2555.58	2209.26
SNRPE	10512.82	3349.13	2875.3	2627.46	2609.3	5329.3	1896.65	2271.4	1844.76	2976.74	3060.45	1794.29	2451.44	4038.61	2434.5	2271.4	2777.33	2573.36	1594.73	2075.59	1832.01	2682.69	2335.28	1896.65	4481.23	4802.93	6037.61	0.74	6887.62	1008.9	6983.79	4419.52
SPP1	915.51	405683.88	338781.54	654483.73	348306.01	422911.59	290865.98	492579.5	318292.9	614902.29	397335.0	208544.12	334117.42	509950.32	363097.14	414208.18	520665.48	386469.83	301123.38	204252.32	226632.25	822695.06	499455.67	405683.88	422911.59	951601.81	47642.77	0.16	71714.63	189.02	28923.41	256.78
THYN1	2895.31	1350.18	1286.18	1457.23	878.17	1066.48	563.18	723.08	921.88	674.59	1340.84	688.78	954.43	842.36	915.51	921.88	848.22	1015.93	713.11	718.08	860.08	1242.34	1175.27	1059.11	1844.76	785.88	2537.92	0.57	3928.15	454.09	2178.83	2520.38
TIMM9	3716.2	928.3	1242.34	1498.22	1066.48	1909.85	642.59	759.08	665.29	1208.34	1605.83	769.69	934.76	872.1	1044.52	836.53	890.44	909.17	665.29	825.0	775.05	842.36	1259.69	860.08	2591.27	1151.06	1477.58	0.72	1936.53	426.57	2400.97	2520.38
TMEM14B	5076.84	2351.53	2502.97	2417.67	1991.0	3665.02	1350.18	1674.06	1397.83	2163.77	2351.53	1447.15	1806.78	2018.8	2434.5	1359.57	2163.77	1769.57	1304.15	1540.37	1427.22	2520.38	2335.28	1583.71	2777.33	3665.02	4802.93	0.72	7180.15	723.08	7589.61	6381.92
TMEM14C	10084.54	4038.61	5633.22	4639.29	3515.68	6516.03	2835.7	3280.18	2758.13	5366.37	4937.99	3039.3	3349.13	4010.71	4181.07	3349.13	4328.55	3540.14	2520.38	3395.89	3103.19	4268.94	3768.09	3540.14	5633.22	5255.91	8778.97	0.77	8778.97	1883.54	11504.21	7280.4
TMEM258	12589.08	5219.6	5292.48	3372.43	3491.39	6561.36	2739.08	4038.61	3540.14	2351.53	5292.48	2875.3	3768.09	5995.9	3716.2	3060.45	3768.09	4123.49	3467.27	3325.99	3467.27	3955.48	3847.29	4607.24	6037.61	5403.7	10512.82	0.93	13872.08	2976.74	10659.59	16269.83
TOMM6	18431.96	5791.62	5479.15	5479.15	4066.71	9945.68	3168.41	3794.3	3564.78	8078.22	6250.56	3443.31	4639.29	6250.56	5329.3	4639.29	4769.75	4937.99	3419.52	4038.61	3955.48	5831.91	5147.73	4512.4	10883.59	5329.3	11189.6	0.93	12502.12	2133.97	12244.81	13123.73
TXN2	7180.15	2835.7	2384.37	2319.15	2075.59	2895.31	1594.73	1794.29	1674.06	1417.35	3060.45	1651.0	2047.0	2178.83	2255.7	2061.24	2520.38	2163.77	1781.89	2004.85	1605.83	3742.05	3467.27	1745.2	3540.14	2956.17	2451.44	981.29	2875.3	1127.35	4450.27	4268.94
UBE2L3	2855.44	2104.58	2104.58	1639.59	1896.65	2224.63	1572.76	1561.89	1733.13	825.0	1819.35	1350.18	2032.85	2090.03	1977.24	1870.53	1674.06	1572.76	1467.37	1572.76	1447.15	1540.37	1127.35	1583.71	1322.37	3325.99	2018.8	0.82	2193.99	1508.65	2400.97	2468.49
UBL5	42641.37	14663.09	14867.79	10659.59	9151.82	21617.82	6652.97	10440.2	9474.59	16727.26	14561.8	8134.41	10368.08	19214.73	12076.21	9876.98	10733.74	12589.08	7280.4	8598.28	8658.09	12502.12	12076.21	9025.81	20310.37	14971.21	24660.96	1.2	46339.95	3794.3	30785.28	25887.07
UFD1L	2520.38	1923.14	1628.26	1295.13	1447.15	1594.73	1127.35	1467.37	1529.73	785.88	1594.73	1008.9	1407.55	1697.45	1378.57	1151.06	1447.15	1277.29	1199.98	1191.69	1081.39	1286.18	928.3	1242.34	1159.07	2875.3	2875.3	961.07	3257.52	1295.13	3564.78	2682.69
UQCC2	4066.71	1832.01	2319.15	2148.82	1529.73	3614.55	1183.45	1617.0	1015.93	4095.0	2915.45	974.5	1733.13	2047.0	1242.34	1199.98	2032.85	2224.63	860.08	1407.55	1216.75	2178.83	2193.99	1259.69	5041.77	5329.3	7966.99	0.52	9474.59	567.1	10808.41	7911.95
UQCR11	10883.59	5913.33	4671.57	4038.61	4210.15	9215.48	3280.18	4123.49	2855.44	7280.4	8191.0	3124.78	4095.0	4181.07	5555.65	3467.27	3716.2	4903.87	2573.36	3901.01	3212.66	7280.4	4972.34	3349.13	8963.45	10512.82	9606.86	0.78	16611.71	1923.14	11745.96	33455.53
UXT	13492.72	3768.09	4328.55	3395.89	2701.35	3614.55	1936.53	2090.03	2485.67	4358.66	3901.01	2104.58	2537.92	2816.11	2835.7	2664.15	2645.74	2976.74	2240.11	2627.46	2133.97	3168.41	3018.3	3146.52	4869.99	4769.75	5711.87	1.1	11035.54	1487.87	11345.82	14163.58
ZNF576	764.36	336.79	260.38	283.05	281.09	457.25	212.78	327.56	301.33	406.31	361.04	223.41	301.33	325.29	301.33	237.86	318.57	237.86	295.11	277.2	223.41	392.44	291.04	397.93	356.05	457.25	500.46	0.0	825.0	101.54	698.41	547.75
