	TCGA.LL.A440.01A.11R.A24H.07	TCGA.W5.AA2X.11A.11R.A41I.07	GTEX.13QJ3.1926.SM.5QGQM	GTEX.Y111.1826.SM.4SOIR	GTEX.Y111.1726.SM.4SOIQ	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.ZYY3.1626.SM.5EGJF	TCGA.BP.4988.01A.01R.1334.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.2Y.A9GV.01A.11R.A38B.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.J4.A83J.11A.11R.A36G.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
ATAT1	283.05	178.77	287.01	339.14	314.17	397.93	320.8	332.14	373.81	454.09	181.28	162.14	130.6	217.27	142.01	19.82	20.11	44.57	46.84	52.82	27.05	80.57	38.95	37.59	163.28	35.5	35.0	83.45	60.39	118.43	139.07	57.89	58.3	60.82	61.25	131.51	114.36	27.84	90.77	64.8	68.07	198.47	51.35	81.71	43.63	45.53	57.49	72.52	497.0	497.0	397.93	435.55	371.22	217.27
BRD8	1225.22	718.08	902.89	1096.5	1183.45	1529.73	872.1	1268.46	1331.57	1844.76	616.37	674.59	473.41	571.05	473.41	171.45	176.29	397.93	215.77	595.34	255.0	384.34	301.33	185.11	373.81	201.25	287.01	264.03	260.38	358.54	529.06	480.04	314.17	420.68	476.71	409.15	642.59	181.28	307.69	412.0	435.55	543.96	289.02	486.75	105.15	629.35	368.65	277.2	974.5	1175.27	915.51	995.0	941.27	753.83
C1orf63	2193.99	1498.22	2855.44	3901.01	4181.07	3874.05	2855.44	4239.45	4152.18	4836.35	1191.69	2400.97	1685.71	1769.57	708.18	103.69	275.28	264.03	277.2	320.8	186.4	656.11	283.05	102.25	607.87	117.6	226.54	423.61	217.27	769.69	540.19	197.09	521.76	264.03	332.14	373.81	429.54	87.65	665.29	674.59	463.65	981.29	121.79	575.03	325.29	346.29	647.07	309.83	3820.7	2997.45	1950.0	3349.13	1883.54	507.46
CABP1	13.62	6.57	127.0	172.65	214.27	157.68	159.9	152.28	144.01	389.72	6.41	8.45	16.51	4.7	8.71	0.24	1.62	1.19	0.13	3.06	1.07	0.0	0.0	2.01	5.36	0.0	0.0	0.16	0.0	0.66	3.72	0.0	4.43	0.74	0.0	4.35	0.0	2.36	9.13	0.77	0.0	7.63	2.56	1.31	0.0	0.0	1.69	1.07	68.55	36.27	53.19	24.81	40.64	63.0
CCAR1	842.36	723.08	1044.52	1119.56	1295.13	2047.0	1096.5	1519.15	1073.91	1662.49	748.61	603.67	665.29	656.11	339.14	309.83	384.34	346.29	258.57	293.07	214.27	384.34	177.53	314.17	426.57	206.94	438.59	202.66	241.19	325.29	379.04	343.89	275.28	412.0	309.83	295.11	444.72	275.28	503.95	366.09	273.37	607.87	279.14	325.29	148.09	264.03	368.65	325.29	819.3	1081.39	813.63	866.07	785.88	395.18
CCDC14	780.44	463.65	890.44	1250.98	1111.82	1250.98	915.51	1388.16	1143.1	1242.34	343.89	543.96	329.84	473.41	162.14	80.01	78.34	87.03	90.77	151.22	65.72	373.81	146.03	36.79	149.12	111.99	44.25	130.6	34.51	96.68	148.09	68.55	124.37	128.79	125.24	107.38	162.14	59.97	131.51	88.26	108.9	256.78	100.83	144.01	59.55	120.1	155.5	125.24	583.07	896.64	518.15	708.18	348.71	85.22
CEP164	470.14	249.73	551.56	698.41	733.19	780.44	521.76	575.03	703.28	703.28	143.01	212.78	223.41	183.82	127.0	36.01	31.67	86.43	68.55	98.04	49.56	129.69	105.15	57.08	127.0	63.45	64.8	59.97	75.64	82.29	97.36	78.89	90.14	51.35	66.65	55.1	166.73	65.72	88.26	63.45	86.43	143.01	69.03	94.01	32.36	82.29	93.35	67.12	376.41	403.5	309.83	406.31	208.38	158.79
CEP250	320.8	98.04	177.53	265.87	351.14	312.0	220.32	275.28	336.79	679.29	133.36	161.02	183.82	131.51	107.38	59.97	43.02	63.0	48.87	62.56	40.07	121.79	111.99	40.64	74.58	103.69	45.21	88.26	32.13	52.08	120.1	62.56	126.12	73.03	69.03	69.03	71.5	61.25	69.03	43.63	90.14	76.71	42.71	64.34	42.11	79.45	90.77	41.81	323.03	432.53	343.89	406.31	305.55	612.11
CEP44	197.09	105.15	239.52	248.0	204.07	351.14	260.38	423.61	265.87	295.11	167.9	111.99	88.88	131.51	69.52	34.51	62.56	61.68	37.05	57.08	30.78	96.68	42.71	29.91	65.26	25.72	40.64	79.45	29.48	44.25	114.36	32.59	75.11	47.5	88.88	66.18	67.59	47.17	221.86	53.95	124.37	66.18	44.89	71.5	29.48	67.59	66.65	47.17	166.73	209.84	163.28	166.73	157.68	109.66
CLASRP	1605.83	1540.37	3060.45	2855.44	3443.31	4450.27	2400.97	2537.92	3146.52	4704.07	1175.27	1909.85	1151.06	1447.15	713.11	183.82	265.87	470.14	450.94	583.07	387.02	866.07	647.07	251.48	466.88	417.77	348.71	314.17	454.09	674.59	551.56	616.37	540.19	486.75	507.46	507.46	995.0	420.68	656.11	665.29	780.44	1388.16	332.14	718.08	291.04	423.61	708.18	432.53	2104.58	2384.37	1551.09	2163.77	1111.82	1001.93
CLK2	1233.75	819.3	1551.09	1605.83	1794.29	1896.65	1498.22	1378.57	2271.4	2468.49	1008.9	902.89	866.07	848.22	497.0	86.43	195.72	381.68	323.03	295.11	237.86	423.61	387.02	169.07	397.93	291.04	258.57	277.2	307.69	376.41	447.82	327.56	341.51	273.37	348.71	303.44	638.15	229.72	518.15	262.2	339.14	738.29	269.6	414.87	87.65	281.09	384.34	316.37	1183.45	1529.73	1037.29	1081.39	1135.2	698.41
CLK4	567.1	409.15	703.28	921.88	848.22	1225.22	878.17	1059.11	967.76	1651.0	450.94	412.0	248.0	389.72	269.6	53.19	81.71	153.34	111.99	186.4	152.28	215.77	141.02	121.79	242.88	99.43	163.28	146.03	126.12	170.25	182.55	175.07	262.2	187.71	161.02	221.86	181.28	105.89	190.34	163.28	260.38	267.73	145.02	191.67	85.22	197.09	218.79	119.26	450.94	599.49	447.82	435.55	287.01	287.01
COPS7B	769.69	532.74	1127.35	1551.09	1417.35	1259.69	1096.5	1268.46	1259.69	1191.69	514.56	438.59	514.56	473.41	420.68	131.51	201.25	260.38	234.57	356.05	201.25	450.94	303.44	112.77	325.29	164.42	169.07	303.44	167.9	348.71	348.71	206.94	285.03	279.14	309.83	283.05	277.2	143.01	332.14	258.57	248.0	543.96	161.02	277.2	211.31	312.0	356.05	265.87	941.27	961.07	728.11	753.83	769.69	567.1
CREBZF	954.43	571.05	1119.56	1427.22	1250.98	1794.29	1250.98	1467.37	1304.15	1191.69	521.76	567.1	547.75	551.56	376.41	65.26	173.85	264.03	209.84	215.77	177.53	409.15	186.4	157.68	351.14	146.03	246.28	248.0	180.02	236.21	253.23	185.11	314.17	253.23	346.29	279.14	327.56	155.5	332.14	165.57	249.73	363.56	205.5	275.28	120.1	239.52	269.6	224.97	921.88	1175.27	796.86	928.3	361.04	277.2
DIP2A	490.14	229.72	854.13	915.51	902.89	813.63	759.08	830.75	872.1	1242.34	221.86	253.23	206.94	231.32	193.01	62.56	47.17	99.43	68.07	81.71	77.79	144.01	130.6	65.26	117.6	70.51	63.0	118.43	75.11	71.5	129.69	71.0	154.42	117.6	107.38	76.17	77.25	71.0	180.02	78.34	107.38	102.25	60.82	68.55	82.29	85.82	102.25	86.43	575.03	595.34	540.19	679.29	463.65	412.0
DMTF1	1286.18	595.34	2032.85	2255.7	1936.53	2520.38	1832.01	2758.13	2915.45	2573.36	607.87	473.41	603.67	507.46	279.14	42.11	79.45	251.48	154.42	182.55	172.65	260.38	114.36	141.02	239.52	115.16	144.01	108.14	246.28	151.22	295.11	182.55	165.57	146.03	162.14	159.9	152.28	120.94	343.89	108.14	193.01	258.57	199.85	172.65	49.56	217.27	190.34	133.36	802.41	1208.34	769.69	842.36	351.14	237.86
DNAH1	177.53	285.03	231.32	281.09	287.01	363.56	176.29	271.48	301.33	432.53	117.6	356.05	185.11	316.37	133.36	9.06	10.0	59.55	67.12	81.14	43.94	155.5	90.77	30.78	82.87	53.19	33.78	65.26	37.05	55.89	63.89	71.0	127.0	73.54	48.87	74.58	46.84	64.34	72.01	65.72	72.01	109.66	57.49	78.34	30.56	67.12	93.35	48.18	153.34	158.79	99.43	189.02	52.82	71.0
DNHD1	214.27	232.94	397.93	450.94	463.65	665.29	325.29	429.54	463.65	567.1	127.0	212.78	218.79	384.34	45.53	7.94	9.78	40.93	147.06	41.52	43.63	81.71	76.71	38.12	90.14	18.43	34.02	31.0	105.15	75.64	44.25	79.45	64.34	13.32	44.89	75.11	50.27	38.4	147.06	55.49	52.08	265.87	56.28	63.45	29.91	41.22	127.0	30.34	139.07	143.01	93.35	182.55	75.64	71.5
DPH7	698.41	500.46	1322.37	1594.73	1844.76	1617.0	1225.22	1359.57	1250.98	1388.16	507.46	414.87	607.87	470.14	256.78	54.33	100.83	211.31	101.54	172.65	109.66	242.88	155.5	85.22	180.02	82.87	101.54	116.78	162.14	194.36	249.73	217.27	151.22	134.3	159.9	165.57	246.28	94.67	244.57	183.82	144.01	406.31	139.07	224.97	103.69	144.01	186.4	111.99	854.13	1023.0	713.11	848.22	583.07	507.46
DZIP3	130.6	61.25	169.07	283.05	283.05	162.14	170.25	232.94	239.52	165.57	43.94	70.51	94.67	115.16	55.49	27.64	24.11	19.25	26.86	29.91	33.78	82.87	48.87	20.71	61.68	30.78	14.89	53.19	9.34	21.01	46.5	24.99	66.18	33.3	26.67	55.1	19.82	32.59	29.91	33.78	37.32	20.71	45.21	49.56	15.45	28.45	40.64	31.9	185.11	148.09	173.85	142.01	307.69	136.19
EME2	186.4	110.43	343.89	420.68	435.55	334.46	307.69	351.14	307.69	476.71	117.6	163.28	96.68	253.23	59.13	16.51	11.91	31.22	28.45	45.53	18.56	58.71	34.02	14.56	36.79	36.53	45.53	26.1	39.5	36.01	56.28	57.08	39.5	28.65	51.71	24.99	96.01	28.86	27.64	21.32	23.76	75.64	36.79	24.99	6.01	48.18	49.91	45.21	457.25	353.59	232.94	361.04	674.59	123.5
EZH1	703.28	329.84	1111.82	1369.04	1350.18	1605.83	1135.2	1208.34	1745.2	1551.09	260.38	406.31	341.51	318.57	204.07	59.13	60.82	125.24	71.5	164.42	75.64	197.09	139.07	82.87	149.12	94.01	74.06	117.6	61.68	151.22	183.82	82.87	138.1	108.14	127.0	130.6	159.9	90.77	142.01	98.73	193.01	241.19	93.35	99.43	112.77	109.66	193.01	130.6	674.59	808.0	540.19	708.18	376.41	395.18
FAM111A	511.0	318.57	802.41	836.53	633.73	890.44	764.36	738.29	836.53	1721.16	373.81	486.75	271.48	384.34	273.37	215.77	105.15	150.17	159.9	177.53	85.82	287.01	241.19	52.45	162.14	150.17	158.79	197.09	52.08	180.02	195.72	72.01	154.42	151.22	170.25	150.17	110.43	92.7	170.25	105.89	81.71	162.14	94.01	170.25	69.52	166.73	161.02	123.5	1023.0	928.3	759.08	941.27	1001.93	830.75
FAM178A	289.02	148.09	397.93	392.44	450.94	476.71	376.41	493.56	420.68	423.61	187.71	165.57	130.6	135.24	112.77	52.45	40.93	125.24	82.87	87.65	55.49	92.05	69.03	69.03	78.34	53.19	88.26	63.89	80.01	100.83	91.41	85.22	54.72	86.43	75.11	43.63	114.36	41.52	90.14	78.34	58.3	158.79	57.89	74.58	12.55	47.17	65.26	79.45	291.04	356.05	269.6	271.48	212.78	201.25
FAM193A	423.61	193.01	305.55	395.18	503.95	346.29	384.34	356.05	358.54	389.72	231.32	253.23	299.25	214.27	156.59	91.41	72.52	159.9	88.26	98.04	90.77	158.79	98.04	95.34	98.04	85.22	100.83	123.5	94.01	122.64	191.67	134.3	149.12	147.06	98.04	114.36	111.99	76.71	248.0	127.0	169.07	186.4	96.68	129.69	52.45	114.36	102.25	105.89	327.56	387.02	376.41	376.41	514.56	291.04
FAM219B	860.08	283.05	1651.0	1794.29	1745.2	1519.15	1572.76	1674.06	1662.49	1008.9	336.79	387.02	454.09	299.25	305.55	133.36	94.67	204.07	164.42	236.21	96.68	258.57	190.34	83.45	246.28	90.14	82.29	163.28	123.5	214.27	234.57	151.22	189.02	180.02	201.25	204.07	161.02	91.41	162.14	104.42	181.28	297.17	90.77	95.34	132.44	193.01	277.2	182.55	1572.76	1467.37	1295.13	1304.15	1427.22	1088.92
FAM229A	127.89	202.66	295.11	665.29	703.28	503.95	412.0	381.68	339.14	201.25	55.49	265.87	105.15	194.36	43.32	15.68	19.39	18.7	17.77	40.07	18.16	43.32	41.22	12.09	44.57	28.04	8.71	27.64	27.64	46.84	13.03	16.27	32.82	33.54	35.5	34.26	57.89	20.56	59.97	35.25	23.25	97.36	22.75	32.13	39.5	38.4	49.56	31.22	169.07	223.41	162.14	198.47	90.77	75.64
FBRS	1313.23	684.02	1697.45	1844.76	1950.0	1819.35	1757.34	1572.76	1769.57	1844.76	638.15	728.11	728.11	738.29	708.18	214.27	217.27	518.15	318.57	363.56	244.57	460.44	379.04	277.2	417.77	312.0	273.37	343.89	363.56	575.03	540.19	463.65	466.88	432.53	356.05	353.59	718.08	409.15	647.07	373.81	356.05	688.78	351.14	381.68	187.71	403.5	429.54	368.65	1369.04	1304.15	1159.07	1427.22	1096.5	848.22
GGA3	679.29	287.01	860.08	878.17	878.17	1277.29	708.18	934.76	1378.57	1417.35	293.07	441.64	511.0	361.04	251.48	83.45	120.94	275.28	178.77	220.32	153.34	211.31	194.36	177.53	208.38	176.29	161.02	190.34	283.05	269.6	409.15	312.0	165.57	175.07	217.27	169.07	251.48	153.34	379.04	119.26	167.9	432.53	157.68	199.85	58.3	191.67	249.73	166.73	587.13	579.04	511.0	587.13	518.15	379.04
GON4L	698.41	417.77	738.29	780.44	830.75	1151.06	733.19	954.43	780.44	1135.2	447.82	368.65	325.29	329.84	255.0	48.52	84.63	217.27	206.94	205.5	114.36	228.13	121.79	173.85	228.13	118.43	128.79	121.79	246.28	231.32	141.02	246.28	129.69	161.02	148.09	163.28	301.33	125.24	341.51	126.12	163.28	299.25	149.12	205.5	38.95	181.28	108.9	154.42	540.19	638.15	420.68	536.45	493.56	457.25
GPATCH8	392.44	180.02	409.15	466.88	435.55	457.25	409.15	540.19	547.75	400.71	134.3	131.51	151.22	164.42	178.77	33.3	48.87	191.67	72.01	113.56	89.51	140.04	74.06	78.89	108.9	66.65	97.36	114.36	55.49	61.25	136.19	117.6	191.67	135.24	77.25	129.69	117.6	107.38	176.29	48.52	186.4	169.07	149.12	68.55	37.85	77.79	88.26	114.36	255.0	325.29	281.09	299.25	201.25	177.53
HNRNPH1	10368.08	6699.25	10733.74	8421.31	8963.45	13872.08	9151.82	11345.82	15499.21	22072.07	6792.79	5954.47	6745.86	5791.62	4066.71	1135.2	1295.13	2451.44	2537.92	2591.27	1745.2	3467.27	2075.59	2935.74	3124.78	2855.44	3564.78	2417.67	2609.3	2816.11	4802.93	4038.61	3665.02	4298.64	3794.3	3443.31	5366.37	2555.58	4903.87	2287.2	2573.36	5555.65	2335.28	3690.52	629.35	2502.97	3103.19	2915.45	8305.36	10959.3	7032.37	9740.98	3372.43	2209.26
INTS3	1225.22	836.53	1857.6	2701.35	2935.74	1963.57	1883.54	2335.28	2384.37	3039.3	915.51	753.83	647.07	791.35	713.11	172.65	215.77	389.72	447.82	381.68	281.09	769.69	366.09	289.02	525.39	301.33	169.07	348.71	187.71	599.49	599.49	217.27	460.44	327.56	312.0	412.0	423.61	190.34	612.11	389.72	483.38	718.08	376.41	723.08	163.28	373.81	463.65	293.07	1030.12	1295.13	902.89	1104.13	802.41	651.58
JMJD7-PLA2G4B	158.79	73.03	151.22	231.32	246.28	212.78	131.51	249.73	255.0	256.78	63.89	124.37	72.01	87.65	48.18	1.19	0.84	16.51	18.16	12.55	19.53	46.5	38.67	10.55	22.43	12.0	6.52	19.82	12.09	24.81	23.76	21.94	34.02	10.71	23.42	24.28	37.05	11.47	24.46	8.06	26.1	44.57	34.75	48.52	6.73	15.0	30.56	13.62	248.0	267.73	145.02	299.25	88.26	38.4
JRKL	176.29	62.12	166.73	172.65	153.34	113.56	198.47	148.09	173.85	301.33	151.22	61.68	114.36	78.89	55.1	12.09	26.67	46.5	17.9	19.68	13.62	67.59	21.78	12.55	70.01	12.83	14.24	37.05	7.22	24.99	53.19	14.24	39.5	14.89	23.08	19.97	30.12	11.47	68.55	32.36	27.64	49.91	18.84	29.91	11.91	19.25	35.25	18.97	148.09	218.79	177.53	154.42	151.22	99.43
KANSL1	825.0	339.14	928.3	684.02	599.49	775.05	738.29	1378.57	902.89	830.75	285.03	293.07	429.54	384.34	358.54	79.45	92.7	228.13	108.14	172.65	129.69	356.05	148.09	125.24	166.73	170.25	145.02	175.07	120.94	224.97	271.48	148.09	229.72	146.03	253.23	158.79	169.07	149.12	231.32	151.22	204.07	403.5	175.07	161.02	85.22	191.67	260.38	164.42	842.36	703.28	603.67	669.92	567.1	341.51
KAT2A	1467.37	1350.18	1909.85	2875.3	3372.43	2682.69	1870.53	2004.85	2451.44	2209.26	802.41	902.89	1250.98	928.3	420.68	96.68	101.54	187.71	175.07	251.48	223.41	480.04	241.19	157.68	320.8	149.12	117.6	194.36	114.36	476.71	429.54	204.07	351.14	198.47	191.67	202.66	220.32	127.89	511.0	353.59	297.17	753.83	241.19	275.28	180.02	194.36	540.19	202.66	1617.0	1819.35	1044.52	1467.37	753.83	656.11
KAT8	1233.75	1015.93	1467.37	1639.59	1685.71	1794.29	1417.35	1304.15	1277.29	1378.57	708.18	684.02	688.78	836.53	591.22	346.29	412.0	698.41	403.5	518.15	447.82	638.15	444.72	400.71	463.65	457.25	332.14	463.65	316.37	656.11	555.41	500.46	400.71	532.74	540.19	669.92	616.37	450.94	909.17	591.22	490.14	813.63	503.95	486.75	353.59	454.09	551.56	514.56	995.0	1331.57	1143.1	1127.35	1143.1	1369.04
KIAA0895L	432.53	346.29	1119.56	1359.57	1540.37	1143.1	1066.48	2004.85	1605.83	1583.71	155.5	339.14	136.19	255.0	194.36	14.14	13.72	55.1	39.22	96.68	34.75	116.78	67.12	16.39	122.64	64.8	22.59	33.06	43.63	90.14	78.89	51.35	94.01	86.43	54.72	66.18	49.91	23.93	128.79	42.41	49.21	86.43	45.85	53.19	22.26	96.01	84.04	84.63	579.04	624.99	389.72	660.68	256.78	92.05
KIAA1407	183.82	51.35	149.12	275.28	283.05	173.85	181.28	228.13	221.86	414.87	31.45	40.07	37.85	49.56	38.12	4.31	6.16	17.38	15.91	15.0	7.75	36.53	14.89	6.16	20.11	9.34	9.7	21.47	6.46	12.83	25.35	4.5	16.15	12.74	13.93	19.68	14.78	6.62	23.76	19.97	16.88	16.75	10.63	13.12	3.26	15.8	14.78	11.64	122.64	178.77	96.68	155.5	87.65	94.67
