	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.T5JC.1526.SM.4DM68	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.13RTJ.2226.SM.5S2Q1	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	GTEX.14753.1626.SM.5NQ9L	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.BR.A4PF.01A.11R.A251.31	TCGA.HU.8610.01A.22R.2402.13	TCGA.BR.8590.01A.11R.2402.13	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8367.01A.11R.2343.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.BR.7957.01A.11R.2203.13	TCGA.D7.A4YY.01A.11R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.D7.6815.01A.11R.1884.13	TCGA.VQ.A8P8.01A.11R.A39E.31
CCDC88C	220.32	131.51	187.71	248.0	215.77	237.86	148.09	218.79	256.78	201.25	205.5	181.28	87.65	8.65	137.14	260.38	194.36	100.13	152.28	189.02	157.68	244.57	214.27	180.02	237.86	178.77	163.28	42.71	1628.26	297.17	1059.11	1066.48	656.11	780.44	218.79	825.0	638.15	532.74	1199.98	547.75	563.18	1268.46	366.09	733.19
CCNF	13.72	18.43	18.84	18.84	11.91	11.73	29.27	8.13	18.43	22.59	27.84	13.03	14.56	4.66	17.25	21.47	16.27	8.99	20.41	14.45	17.25	24.46	12.93	18.29	18.56	13.22	12.93	5.32	191.67	211.31	112.77	169.07	82.87	189.02	389.72	220.32	124.37	197.09	143.01	58.71	98.73	262.2	241.19	183.82
CCNJ	49.21	75.11	61.25	66.18	45.53	27.64	93.35	38.95	53.57	85.22	83.45	46.5	47.84	7.75	60.82	75.64	63.89	46.5	71.0	68.55	71.5	48.87	41.22	68.55	52.82	47.17	53.19	4.21	149.12	303.44	161.02	167.9	173.85	167.9	249.73	125.24	163.28	140.04	85.22	143.01	161.02	138.1	120.1	115.16
CGREF1	6.52	25.91	128.79	53.57	13.12	2.16	52.08	50.98	2.84	65.72	14.03	6.89	58.3	1.66	40.93	70.51	24.81	15.68	44.57	20.56	13.62	91.41	94.01	78.89	126.12	75.64	49.56	138.1	126.12	194.36	98.73	341.51	332.14	547.75	785.88	406.31	285.03	447.82	473.41	336.79	178.77	366.09	301.33	215.77
CHRAC1	511.0	547.75	612.11	708.18	830.75	493.56	808.0	450.94	607.87	480.04	674.59	819.3	791.35	432.53	629.35	703.28	583.07	583.07	718.08	698.41	575.03	563.18	684.02	688.78	599.49	684.02	743.43	567.1	954.43	830.75	921.88	802.41	1059.11	1216.75	1322.37	1191.69	1794.29	890.44	928.3	921.88	1015.93	1023.0	1199.98	854.13
CLDN12	457.25	503.95	429.54	460.44	384.34	392.44	493.56	796.86	403.5	536.45	703.28	412.0	559.28	629.35	579.04	500.46	559.28	507.46	571.05	409.15	567.1	389.72	470.14	529.06	497.0	384.34	429.54	836.53	928.3	1111.82	473.41	651.58	1059.11	842.36	775.05	1175.27	1015.93	1081.39	988.12	748.61	1350.18	1605.83	2335.28	1008.9
CTBP2	1175.27	1605.83	1096.5	1407.55	1127.35	1066.48	1467.37	954.43	1304.15	1477.58	1259.69	1044.52	1268.46	521.76	981.29	1059.11	1350.18	1135.2	1159.07	1081.39	1498.22	1183.45	890.44	1250.98	1088.92	1096.5	1191.69	26.47	1508.65	1832.01	1617.0	1259.69	2193.99	1819.35	2451.44	1991.0	2451.44	2018.8	1896.65	1733.13	1529.73	1359.57	1745.2	1378.57
CUL4A	896.64	819.3	808.0	813.63	703.28	791.35	988.12	830.75	860.08	974.5	915.51	723.08	775.05	269.6	915.51	921.88	995.0	860.08	1066.48	842.36	1001.93	785.88	775.05	836.53	842.36	813.63	813.63	409.15	1259.69	1617.0	1259.69	1127.35	2004.85	1216.75	1950.0	1175.27	1662.49	1304.15	1331.57	1159.07	1233.75	1143.1	1487.87	1073.91
DIEXF	61.68	71.5	70.01	86.43	69.03	54.72	111.21	38.67	71.0	111.99	59.55	76.17	59.55	25.35	88.88	88.26	96.01	54.72	97.36	61.68	91.41	66.18	53.57	71.0	94.67	80.01	50.27	33.3	199.85	171.45	189.02	231.32	175.07	169.07	180.02	191.67	167.9	176.29	152.28	130.6	143.01	190.34	234.57	135.24
DNAJA4	285.03	432.53	239.52	325.29	334.46	199.85	229.72	285.03	181.28	260.38	633.73	209.84	351.14	199.85	444.72	312.0	381.68	518.15	332.14	358.54	417.77	336.79	234.57	267.73	353.59	295.11	447.82	16.75	713.11	723.08	860.08	656.11	1183.45	1143.1	1277.29	934.76	954.43	884.29	785.88	1044.52	909.17	902.89	1081.39	860.08
DOPEY2	117.6	126.12	127.89	92.05	77.25	98.04	226.54	129.69	91.41	139.07	242.88	125.24	111.21	65.72	76.17	101.54	228.13	89.51	137.14	62.56	149.12	73.54	36.79	127.89	132.44	70.01	85.82	30.78	417.77	334.46	591.22	426.57	603.67	708.18	384.34	551.56	348.71	379.04	279.14	303.44	476.71	281.09	463.65	334.46
FAM83H	409.15	514.56	348.71	426.57	307.69	373.81	511.0	116.78	536.45	723.08	325.29	293.07	406.31	46.18	287.01	409.15	329.84	429.54	291.04	406.31	379.04	457.25	218.79	426.57	412.0	406.31	497.0	60.39	2090.03	1277.29	1745.2	2193.99	1819.35	2384.37	2224.63	1467.37	1709.26	878.17	2061.24	195.72	1388.16	1745.2	2104.58	1268.46
FAR2	80.01	52.45	50.63	98.04	107.38	60.82	57.08	26.28	201.25	39.22	105.15	121.79	43.32	10.96	80.01	87.03	76.71	63.45	98.73	122.64	72.01	73.54	85.82	77.79	62.56	51.71	52.45	31.0	325.29	878.17	92.05	264.03	406.31	267.73	92.05	460.44	684.02	260.38	753.83	285.03	248.0	473.41	536.45	295.11
FARSB	511.0	500.46	470.14	457.25	483.38	563.18	647.07	279.14	432.53	514.56	403.5	514.56	406.31	183.82	525.39	466.88	521.76	403.5	521.76	567.1	540.19	529.06	447.82	406.31	397.93	400.71	334.46	182.55	842.36	1001.93	743.43	825.0	802.41	974.5	780.44	1268.46	1023.0	974.5	1119.56	748.61	684.02	1044.52	1081.39	1001.93
FRAT2	239.52	144.01	98.04	151.22	241.19	246.28	162.14	115.16	273.37	105.15	75.64	199.85	187.71	45.53	177.53	183.82	220.32	68.55	141.02	182.55	161.02	209.84	129.69	147.06	115.16	181.28	49.21	228.13	353.59	543.96	563.18	281.09	441.64	543.96	780.44	808.0	575.03	297.17	665.29	454.09	318.57	297.17	420.68	348.71
FUT8	189.02	167.9	132.44	242.88	273.37	361.04	435.55	88.26	316.37	164.42	420.68	363.56	176.29	42.71	218.79	217.27	271.48	169.07	264.03	260.38	303.44	183.82	209.84	204.07	193.01	145.02	169.07	27.64	921.88	947.83	1096.5	878.17	769.69	1001.93	323.03	1073.91	808.0	1088.92	1242.34	1015.93	1037.29	1037.29	909.17	1151.06
GALNT7	121.79	226.54	165.57	155.5	126.12	127.0	289.02	147.06	152.28	204.07	291.04	151.22	164.42	5.02	176.29	165.57	314.17	166.73	141.02	149.12	275.28	149.12	115.97	130.6	155.5	97.36	137.14	0.62	1088.92	836.53	271.48	830.75	780.44	2816.11	500.46	1437.15	1015.93	708.18	1832.01	665.29	764.36	2018.8	665.29	2335.28
GSDMA	0.0	1.33	0.74	2.36	3.56	0.0	3.76	4.17	0.79	7.17	4.5	0.38	0.79	1.55	2.97	5.92	3.2	0.0	20.71	2.23	0.0	6.31	1.0	36.01	0.39	1.66	1.41	0.0	6.73	39.22	42.41	14.14	14.03	16.15	5.23	21.16	20.26	12.27	28.45	16.03	52.82	4.74	438.59	7.51
HEATR1	90.14	146.03	125.24	130.6	84.63	87.65	214.27	75.11	126.12	150.17	143.01	122.64	102.25	28.86	135.24	136.19	163.28	111.99	190.34	109.66	178.77	111.21	62.56	116.78	120.94	124.37	104.42	15.45	441.64	438.59	423.61	651.58	371.22	429.54	346.29	351.14	384.34	476.71	379.04	289.02	341.51	450.94	420.68	307.69
INO80D	50.27	50.63	43.94	59.13	47.17	52.82	59.97	40.93	64.8	58.3	66.65	62.56	36.79	7.06	64.34	64.8	62.56	43.32	79.45	63.0	57.89	49.56	26.67	63.89	44.57	62.12	52.08	8.92	215.77	171.45	190.34	141.02	183.82	173.85	113.56	141.02	123.5	118.43	127.89	124.37	137.14	187.71	204.07	107.38
JHDM1D	100.83	143.01	123.5	126.12	85.22	97.36	164.42	81.14	91.41	123.5	156.59	110.43	115.16	10.39	105.15	127.89	139.07	132.44	127.89	134.3	183.82	78.89	64.8	97.36	85.82	156.59	120.1	62.12	314.17	307.69	211.31	212.78	483.38	361.04	406.31	363.56	217.27	224.97	172.65	258.57	190.34	336.79	279.14	246.28
KIF5B	974.5	974.5	896.64	1023.0	830.75	1081.39	1119.56	915.51	1127.35	825.0	1378.57	1417.35	1143.1	571.05	1199.98	1127.35	1088.92	1023.0	1208.34	1191.69	1167.14	713.11	688.78	954.43	890.44	854.13	1044.52	218.79	1883.54	2701.35	1832.01	1757.34	2573.36	2287.2	2209.26	1519.15	1977.24	2400.97	1286.18	1909.85	1832.01	1498.22	1322.37	1844.76
LARP4B	497.0	500.46	460.44	563.18	406.31	358.54	514.56	379.04	417.77	503.95	571.05	486.75	346.29	163.28	450.94	490.14	540.19	327.56	575.03	353.59	470.14	412.0	307.69	567.1	547.75	497.0	511.0	181.28	1331.57	1662.49	1447.15	1151.06	1369.04	1191.69	647.07	1051.79	1529.73	1104.13	921.88	688.78	866.07	1001.93	1119.56	802.41
MPZL1	941.27	1242.34	775.05	796.86	780.44	909.17	1167.14	551.56	1088.92	941.27	934.76	813.63	928.3	279.14	1313.23	1350.18	1487.87	1104.13	1151.06	842.36	1286.18	921.88	620.67	854.13	780.44	669.92	854.13	244.57	2119.22	2319.15	3103.19	2303.12	2367.9	3212.66	1936.53	3212.66	2287.2	2956.17	2047.0	1651.0	2875.3	2367.9	3039.3	2417.67
NCBP1	293.07	332.14	234.57	269.6	223.41	256.78	299.25	269.6	201.25	287.01	403.5	277.2	151.22	144.01	420.68	309.83	327.56	283.05	332.14	368.65	348.71	277.2	244.57	299.25	246.28	343.89	253.23	147.06	511.0	587.13	435.55	381.68	583.07	575.03	759.08	511.0	507.46	738.29	454.09	463.65	480.04	591.22	559.28	339.14
NOL8	220.32	269.6	204.07	279.14	251.48	234.57	198.47	283.05	307.69	214.27	195.72	368.65	187.71	71.5	253.23	316.37	260.38	156.59	285.03	366.09	244.57	285.03	231.32	218.79	234.57	199.85	220.32	60.39	698.41	591.22	633.73	607.87	785.88	665.29	947.83	595.34	575.03	775.05	607.87	665.29	656.11	769.69	406.31	559.28
PPP6R1	684.02	728.11	616.37	723.08	693.58	579.04	718.08	518.15	825.0	723.08	669.92	559.28	624.99	281.09	514.56	713.11	555.41	571.05	525.39	647.07	665.29	688.78	567.1	718.08	723.08	775.05	884.29	295.11	1950.0	1088.92	1096.5	1233.75	1159.07	1397.83	1721.16	1685.71	1551.09	1175.27	1498.22	1030.12	1104.13	1857.6	1697.45	1745.2
RFX7	73.54	71.5	65.72	101.54	64.8	66.18	102.25	64.8	73.54	93.35	93.35	95.34	63.45	12.27	82.29	86.43	126.12	57.89	138.1	74.06	105.89	67.12	38.12	74.06	95.34	75.64	57.49	16.15	269.6	166.73	206.94	201.25	199.85	226.54	194.36	153.34	214.27	237.86	165.57	190.34	162.14	320.8	237.86	191.67
RNASEH1	189.02	194.36	206.94	229.72	135.24	108.14	241.19	175.07	138.1	153.34	191.67	146.03	190.34	60.39	139.07	195.72	217.27	191.67	193.01	137.14	181.28	120.1	116.78	224.97	183.82	183.82	190.34	96.01	363.56	295.11	454.09	358.54	353.59	423.61	507.46	339.14	381.68	432.53	309.83	412.0	518.15	346.29	366.09	307.69
RREB1	226.54	234.57	297.17	265.87	127.0	193.01	309.83	181.28	204.07	320.8	281.09	226.54	197.09	33.54	206.94	301.33	187.71	177.53	229.72	249.73	267.73	224.97	134.3	348.71	251.48	305.55	329.84	206.94	575.03	480.04	473.41	403.5	567.1	620.67	540.19	460.44	575.03	476.71	273.37	480.04	476.71	432.53	503.95	376.41
SCRIB	587.13	1073.91	802.41	775.05	575.03	915.51	688.78	486.75	1551.09	796.86	620.67	575.03	1175.27	189.02	470.14	616.37	518.15	532.74	371.22	525.39	500.46	866.07	791.35	961.07	759.08	819.3	866.07	181.28	2384.37	2163.77	2609.3	1936.53	2573.36	1923.14	3768.09	1331.57	2502.97	1733.13	1651.0	1225.22	1832.01	2148.82	2018.8	1769.57
SFT2D2	189.02	183.82	182.55	191.67	185.11	161.02	285.03	128.79	191.67	265.87	220.32	205.5	150.17	55.1	241.19	237.86	258.57	185.11	244.57	209.84	221.86	223.41	172.65	215.77	255.0	190.34	181.28	117.6	583.07	463.65	403.5	460.44	497.0	764.36	532.74	447.82	299.25	575.03	381.68	346.29	438.59	412.0	414.87	400.71
SFXN3	185.11	281.09	432.53	417.77	327.56	116.78	283.05	381.68	249.73	473.41	651.58	158.79	336.79	61.68	285.03	336.79	303.44	279.14	525.39	356.05	320.8	450.94	503.95	432.53	612.11	397.93	373.81	36.01	1008.9	884.29	1605.83	1199.98	1923.14	884.29	753.83	679.29	830.75	1008.9	884.29	1167.14	1104.13	651.58	718.08	748.61
SRMS	1.2	0.99	0.0	0.67	1.28	0.0	2.89	0.0	2.86	3.2	2.66	1.95	0.0	0.0	0.84	0.74	1.41	6.41	0.4	0.0	0.35	1.19	0.0	1.87	0.39	0.0	2.43	0.0	29.48	75.11	129.69	34.02	76.17	12.83	6.62	73.54	53.57	10.39	88.88	6.78	29.91	49.91	28.04	15.11
TCF7	35.0	105.89	50.27	54.33	31.67	24.63	53.57	92.7	31.22	72.01	103.69	34.51	125.24	228.13	35.5	50.27	39.22	44.25	40.36	39.79	47.5	70.01	41.81	66.18	47.17	19.82	50.63	94.01	988.12	718.08	656.11	497.0	511.0	595.34	403.5	507.46	536.45	271.48	579.04	529.06	363.56	603.67	511.0	575.03
TET3	24.99	29.06	27.25	44.89	25.17	28.45	47.17	19.82	40.36	48.87	41.81	32.59	20.86	1.2	35.76	34.51	32.59	19.82	47.17	32.13	29.27	32.36	17.0	45.85	34.75	32.59	31.0	8.32	289.02	204.07	217.27	162.14	212.78	220.32	441.64	191.67	258.57	170.25	135.24	121.79	147.06	293.07	269.6	111.99
TNFRSF9	0.91	0.97	0.72	1.99	1.28	0.74	12.0	5.11	0.0	0.83	9.63	1.13	13.52	0.39	0.42	8.0	2.1	1.77	8.25	1.46	1.69	1.95	0.66	1.85	1.91	0.41	1.73	1.08	43.32	36.01	75.11	39.22	36.01	17.0	15.11	35.0	50.63	12.27	52.82	18.84	163.28	58.71	49.91	49.56
TOR1B	242.88	305.55	269.6	312.0	283.05	246.28	318.57	307.69	325.29	305.55	346.29	285.03	329.84	194.36	387.02	343.89	255.0	287.01	307.69	281.09	246.28	303.44	232.94	287.01	323.03	258.57	265.87	249.73	429.54	503.95	718.08	536.45	909.17	426.57	497.0	836.53	423.61	460.44	423.61	518.15	728.11	633.73	532.74	387.02
TRIM14	29.7	55.49	120.94	77.25	31.9	22.59	109.66	133.36	33.78	176.29	95.34	35.5	101.54	7.06	172.65	58.71	81.71	44.57	198.47	30.56	44.89	122.64	143.01	119.26	363.56	85.82	92.05	237.86	941.27	620.67	748.61	529.06	934.76	529.06	351.14	819.3	624.99	633.73	647.07	426.57	591.22	813.63	738.29	579.04
TRIM25	232.94	154.42	187.71	283.05	167.9	113.56	226.54	138.1	173.85	251.48	289.02	189.02	126.12	21.47	281.09	253.23	307.69	221.86	348.71	186.4	271.48	237.86	137.14	312.0	314.17	287.01	273.37	87.65	1277.29	507.46	1059.11	830.75	1104.13	981.29	1437.15	813.63	647.07	1015.93	780.44	514.56	780.44	1268.46	878.17	825.0
TSTA3	1001.93	1467.37	1104.13	961.07	1044.52	842.36	928.3	638.15	651.58	988.12	848.22	620.67	1143.1	2720.15	642.59	728.11	780.44	928.3	660.68	909.17	941.27	1350.18	1199.98	902.89	878.17	878.17	796.86	1104.13	6983.79	2835.7	8538.88	4903.87	2627.46	7537.18	2047.0	6294.04	2367.9	4639.29	6164.49	1322.37	4481.23	4210.15	3168.41	5913.33
TULP4	73.03	63.89	62.12	87.03	68.55	74.58	82.87	101.54	76.71	66.18	116.78	78.89	46.5	5.45	105.89	94.01	88.88	61.25	135.24	86.43	76.17	81.14	63.0	110.43	98.04	100.13	84.04	25.91	193.01	116.78	197.09	182.55	327.56	183.82	320.8	175.07	206.94	149.12	127.0	181.28	177.53	166.73	285.03	114.36
UBE3C	708.18	571.05	497.0	642.59	521.76	497.0	813.63	358.54	624.99	638.15	595.34	651.58	438.59	327.56	733.19	660.68	775.05	679.29	733.19	547.75	688.78	500.46	417.77	518.15	595.34	591.22	603.67	336.79	1088.92	679.29	1088.92	988.12	1250.98	1175.27	909.17	909.17	1088.92	884.29	819.3	775.05	1015.93	995.0	808.0	802.41
UCK2	140.04	183.82	202.66	199.85	166.73	122.64	231.32	167.9	95.34	181.28	199.85	83.45	172.65	17.25	158.79	180.02	205.5	151.22	215.77	151.22	193.01	198.47	176.29	189.02	189.02	190.34	202.66	114.36	791.35	819.3	1030.12	848.22	941.27	1183.45	1572.76	1066.48	813.63	872.1	830.75	493.56	764.36	775.05	1216.75	808.0
UMOD	303217.87	602247.76	443937.41	299043.36	363097.14	3178687.03	1318073.06	358098.26	789181.81	1070607.81	565825.41	1299926.74	378516.38	21.78	585779.24	434801.29	431797.89	345900.08	327241.36	422911.59	636586.81	502929.67	373305.21	381149.17	345900.08	641014.63	391864.76	1.33	0.0	1.45	2.1	0.0	0.0	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.06	0.0
WDR43	209.84	316.37	287.01	295.11	241.19	181.28	379.04	146.03	191.67	273.37	358.54	212.78	211.31	42.71	287.01	301.33	295.11	314.17	358.54	264.03	297.17	202.66	197.09	271.48	253.23	208.38	271.48	198.47	728.11	915.51	693.58	647.07	595.34	825.0	872.1	665.29	1073.91	1066.48	775.05	476.71	599.49	884.29	1066.48	547.75
XPO4	115.97	94.67	98.04	133.36	69.52	98.04	186.4	65.26	88.26	180.02	148.09	125.24	63.0	42.41	147.06	139.07	199.85	100.83	186.4	94.01	148.09	92.05	72.01	138.1	138.1	115.97	102.97	14.35	309.83	476.71	229.72	237.86	363.56	299.25	264.03	232.94	281.09	303.44	190.34	218.79	214.27	249.73	262.2	215.77
ZBED6	53.95	43.63	99.43	113.56	52.82	33.06	187.71	87.65	81.71	171.45	130.6	100.13	60.82	0.4	123.5	87.65	152.28	53.19	197.09	54.72	107.38	41.22	10.24	147.06	89.51	149.12	84.63	7.4	279.14	183.82	264.03	305.55	307.69	325.29	197.09	201.25	206.94	232.94	170.25	209.84	211.31	224.97	387.02	176.29
ZDHHC20	180.02	214.27	220.32	249.73	172.65	85.22	447.82	177.53	194.36	194.36	231.32	417.77	181.28	69.03	187.71	209.84	283.05	182.55	279.14	211.31	248.0	105.89	73.03	171.45	244.57	194.36	149.12	97.36	1066.48	878.17	890.44	842.36	974.5	1023.0	1977.24	860.08	1369.04	842.36	543.96	536.45	728.11	679.29	1397.83	878.17
ZNF587	125.24	129.69	108.14	145.02	92.7	94.67	136.19	99.43	79.45	181.28	287.01	139.07	84.04	40.93	171.45	204.07	134.3	75.11	166.73	145.02	127.0	122.64	87.65	137.14	106.63	134.3	136.19	19.68	684.02	395.18	738.29	470.14	660.68	872.1	624.99	543.96	426.57	503.95	1030.12	651.58	703.28	941.27	379.04	381.68
