	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.FD.A6TB.01A.12R.A33J.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.SUCS.0626.SM.32PM5	GTEX.14A6H.0526.SM.5NQAZ	TCGA.43.5668.01A.01R.1635.07	TCGA.77.8007.11A.01R.2187.07	TCGA.CD.8526.01A.11R.2343.13
CIC	854.13	1594.73	2796.65	738.29	718.08	723.08	1015.93	1051.79	995.0	651.58	769.69	981.29	703.28	457.25	733.19	698.41	579.04	532.74	669.92	518.15	769.69	703.28	674.59	723.08	607.87	723.08	995.0	738.29	583.07	457.25	500.46	559.28	497.0	842.36	733.19	656.11	466.88	486.75	591.22	248.0	432.53	293.07	387.02	353.59	575.03	262.2	368.65	409.15	339.14	808.0	1059.11	854.13	703.28	500.46	656.11	571.05	890.44	607.87	1151.06	775.05	567.1	559.28	909.17	941.27	1127.35	830.75	500.46	603.67	759.08	2061.24	642.59	1844.76
CNOT3	860.08	1628.26	1191.69	444.72	389.72	591.22	493.56	454.09	567.1	395.18	529.06	860.08	579.04	426.57	698.41	674.59	507.46	438.59	551.56	356.05	555.41	514.56	624.99	511.0	343.89	500.46	708.18	423.61	902.89	503.95	503.95	406.31	395.18	607.87	563.18	579.04	279.14	480.04	199.85	241.19	267.73	205.5	400.71	387.02	267.73	258.57	518.15	120.94	397.93	660.68	1286.18	1208.34	1242.34	373.81	612.11	480.04	884.29	679.29	802.41	616.37	532.74	603.67	728.11	660.68	718.08	884.29	872.1	547.75	656.11	1896.65	473.41	2163.77
CXorf24	59.97	63.89	46.5	40.36	45.21	30.78	45.53	24.11	15.68	11.64	15.56	10.96	8.58	7.88	17.0	23.08	22.75	8.06	14.67	5.63	11.64	14.78	11.13	19.68	9.41	6.57	25.17	14.78	22.59	2.46	13.03	22.1	15.22	16.63	20.26	27.25	13.72	15.34	8.0	24.63	28.45	20.11	29.91	13.93	25.54	23.76	27.64	15.11	20.26	38.4	129.69	47.84	24.46	34.02	59.13	63.89	73.03	72.01	85.82	41.52	54.72	53.57	28.04	18.7	70.01	125.24	51.35	16.63	101.54	173.85	30.34	48.87
DBR1	212.78	246.28	269.6	208.38	166.73	199.85	106.63	211.31	108.9	100.13	124.37	127.89	141.02	98.73	173.85	152.28	100.83	99.43	151.22	92.05	129.69	193.01	110.43	153.34	65.72	81.71	157.68	83.45	193.01	118.43	136.19	120.94	66.18	130.6	167.9	118.43	66.18	82.29	67.59	94.67	197.09	67.12	59.97	107.38	166.73	101.54	68.55	13.72	70.51	204.07	412.0	237.86	307.69	234.57	327.56	285.03	153.34	223.41	343.89	329.84	295.11	353.59	231.32	248.0	346.29	285.03	389.72	297.17	279.14	248.0	198.47	295.11
DCAF16	162.14	253.23	221.86	135.24	130.6	156.59	84.04	147.06	57.49	85.22	57.49	84.63	94.67	33.54	265.87	134.3	56.28	39.79	164.42	44.89	69.03	123.5	98.04	64.34	43.63	31.45	186.4	64.34	112.77	60.82	209.84	80.57	52.82	110.43	111.21	96.68	32.82	52.82	137.14	63.45	112.77	54.33	23.42	28.04	102.25	28.24	46.5	21.16	11.64	223.41	426.57	237.86	191.67	115.97	218.79	165.57	253.23	218.79	181.28	169.07	251.48	239.52	131.51	92.7	209.84	215.77	212.78	138.1	169.07	432.53	172.65	417.77
DDC8	1.66	1.66	11.55	1.85	4.82	2.94	1.48	3.32	1.08	0.57	0.0	0.51	1.77	0.0	7.34	0.0	0.0	0.0	1.75	0.0	0.47	0.85	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.44	0.0	0.0	0.0	0.49	0.48	0.0	0.37	0.95	0.79	0.06	0.41	1.48	0.0	0.0	1.17	2.18	0.0	0.39	3.5	7.22	1.14	7.75	0.0	2.89	19.11	6.36	2.41	4.39	0.97	7.94	13.93	0.32	6.26	4.82	9.27	3.86	3.38	2.78	8.32	4.21	7.82
DGKZ	1104.13	1628.26	1806.78	679.29	669.92	1015.93	684.02	890.44	607.87	603.67	503.95	587.13	693.58	457.25	1151.06	493.56	642.59	490.14	1250.98	591.22	480.04	909.17	529.06	551.56	470.14	547.75	890.44	743.43	389.72	718.08	559.28	579.04	423.61	447.82	896.64	532.74	299.25	358.54	307.69	269.6	500.46	195.72	371.22	366.09	540.19	239.52	620.67	111.99	265.87	1250.98	1950.0	928.3	1268.46	603.67	848.22	1015.93	563.18	1023.0	2133.97	1001.93	830.75	1015.93	551.56	769.69	1259.69	1417.35	1151.06	909.17	1447.15	2645.74	915.51	1950.0
DMWD	341.51	780.44	974.5	289.02	336.79	348.71	493.56	323.03	277.2	343.89	209.84	583.07	400.71	249.73	595.34	283.05	305.55	346.29	287.01	265.87	332.14	358.54	241.19	389.72	202.66	193.01	366.09	218.79	325.29	295.11	373.81	260.38	214.27	291.04	323.03	409.15	232.94	143.01	236.21	102.25	329.84	148.09	162.14	201.25	353.59	118.43	309.83	122.64	164.42	432.53	547.75	759.08	1498.22	318.57	400.71	429.54	723.08	457.25	476.71	173.85	384.34	447.82	629.35	318.57	435.55	607.87	417.77	397.93	603.67	1594.73	392.44	1457.23
E2F4	1143.1	1477.58	1662.49	1127.35	1088.92	967.76	866.07	1167.14	802.41	753.83	947.83	921.88	1051.79	607.87	1295.13	854.13	890.44	796.86	1183.45	426.57	607.87	866.07	624.99	460.44	547.75	420.68	848.22	684.02	1051.79	698.41	1304.15	836.53	808.0	981.29	1111.82	890.44	307.69	693.58	503.95	346.29	743.43	249.73	348.71	466.88	708.18	293.07	493.56	102.25	361.04	1295.13	1159.07	1304.15	1191.69	1096.5	1268.46	1769.57	1191.69	1697.45	1437.15	1286.18	1001.93	1268.46	1340.84	1277.29	1769.57	1662.49	1119.56	1378.57	1313.23	1487.87	1175.27	1923.14
FBXO46	228.13	684.02	518.15	138.1	164.42	178.77	181.28	154.42	165.57	136.19	186.4	303.44	218.79	100.13	358.54	633.73	139.07	150.17	226.54	90.77	309.83	237.86	571.05	140.04	104.42	151.22	228.13	149.12	371.22	133.36	206.94	165.57	204.07	198.47	202.66	173.85	127.89	153.34	86.43	136.19	115.97	136.19	139.07	149.12	109.66	90.14	193.01	94.01	90.77	194.36	507.46	412.0	441.64	127.89	231.32	215.77	173.85	236.21	361.04	325.29	195.72	303.44	147.06	236.21	361.04	214.27	432.53	269.6	262.2	642.59	149.12	1242.34
FIZ1	215.77	543.96	379.04	191.67	226.54	295.11	255.0	251.48	181.28	148.09	178.77	205.5	195.72	127.0	212.78	223.41	158.79	176.29	154.42	120.94	265.87	106.63	224.97	185.11	105.89	135.24	208.38	135.24	255.0	93.35	202.66	131.51	85.22	163.28	165.57	177.53	146.03	147.06	102.25	116.78	106.63	109.66	109.66	135.24	135.24	88.88	185.11	46.18	96.01	199.85	368.65	343.89	371.22	158.79	376.41	289.02	289.02	209.84	366.09	346.29	158.79	309.83	309.83	255.0	368.65	287.01	318.57	361.04	248.0	460.44	145.02	684.02
FTL	783730.52	316094.29	309589.14	1422501.74	919186.72	1355129.16	1422501.74	1048575.0	1123834.93	971597.0	677564.08	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	875652.15	1055868.42	851707.37	696613.03	1514068.5	919186.72	1100706.72	958220.73	434801.29	932018.1	857631.47	716197.51	1147449.11	1493223.86	900270.11	811368.76	627822.72	925580.18	881742.8	822695.06	472513.8	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	857631.47	1131651.83	925580.18	290865.98	2326934.84	998912.34	411347.03	663619.99	1273174.62	1204496.53	834179.46	1336472.68	938500.81	945028.61	614902.29	971597.0	875652.15	645473.24	887875.81	1327240.99	627822.72	687022.54	535303.41	900270.11	762299.34	331809.5	971597.0	124863.17
GPATCH8	220.32	212.78	420.68	165.57	141.02	178.77	57.89	212.78	106.63	100.83	107.38	111.99	94.67	57.49	80.01	154.42	68.07	61.68	120.1	52.82	111.99	120.94	122.64	88.26	57.49	81.14	151.22	89.51	244.57	49.91	130.6	110.43	80.01	190.34	140.04	111.99	51.71	124.37	45.53	87.03	117.6	48.18	54.33	77.79	132.44	70.01	143.01	37.85	69.03	273.37	339.14	202.66	248.0	140.04	265.87	175.07	264.03	256.78	228.13	229.72	273.37	224.97	334.46	122.64	253.23	295.11	341.51	381.68	201.25	275.28	182.55	358.54
GPD2	447.82	316.37	351.14	193.01	150.17	212.78	82.29	202.66	80.57	77.79	55.49	141.02	82.87	34.02	143.01	63.0	41.22	47.84	138.1	42.11	47.84	256.78	46.18	56.68	42.41	31.0	76.71	51.35	118.43	43.94	149.12	68.07	36.53	48.18	140.04	67.59	19.97	45.85	32.59	38.4	77.25	36.27	18.29	32.13	76.71	27.64	47.17	45.21	39.5	253.23	412.0	438.59	500.46	358.54	371.22	368.65	896.64	264.03	273.37	334.46	318.57	426.57	285.03	279.14	343.89	231.32	457.25	220.32	457.25	567.1	249.73	281.09
GTF3C2	928.3	1268.46	1378.57	738.29	1015.93	703.28	713.11	896.64	536.45	387.02	457.25	703.28	764.36	514.56	921.88	684.02	525.39	567.1	764.36	490.14	684.02	629.35	629.35	575.03	379.04	532.74	579.04	563.18	1233.75	551.56	1277.29	400.71	480.04	656.11	651.58	551.56	346.29	414.87	460.44	356.05	518.15	246.28	295.11	366.09	432.53	197.09	187.71	164.42	211.31	974.5	1674.06	1977.24	1143.1	713.11	583.07	967.76	629.35	1135.2	1111.82	884.29	603.67	1044.52	928.3	934.76	819.3	703.28	748.61	890.44	638.15	1674.06	733.19	1477.58
GYS1	490.14	775.05	1242.34	595.34	497.0	579.04	651.58	483.38	221.86	206.94	108.14	718.08	154.42	151.22	403.5	177.53	182.55	167.9	316.37	202.66	152.28	309.83	212.78	166.73	83.45	124.37	256.78	145.02	242.88	170.25	226.54	197.09	117.6	202.66	295.11	183.82	163.28	100.13	57.49	285.03	198.47	127.0	97.36	87.65	346.29	143.01	165.57	104.42	109.66	575.03	500.46	616.37	780.44	409.15	599.49	748.61	332.14	728.11	660.68	423.61	497.0	567.1	417.77	1151.06	633.73	466.88	656.11	830.75	476.71	1605.83	432.53	1322.37
HEATR6	209.84	183.82	429.54	232.94	173.85	204.07	124.37	239.52	95.34	81.71	86.43	98.04	57.08	53.19	121.79	93.35	43.94	75.11	114.36	63.89	78.34	121.79	140.04	81.14	71.0	107.38	154.42	75.64	161.02	119.26	136.19	74.06	70.01	152.28	123.5	72.01	55.1	51.71	42.41	27.64	132.44	50.98	42.71	63.89	61.25	63.89	140.04	15.0	82.87	189.02	417.77	260.38	249.73	167.9	153.34	262.2	329.84	231.32	218.79	201.25	143.01	291.04	103.69	293.07	332.14	389.72	232.94	309.83	221.86	346.29	175.07	320.8
HIATL1	629.35	587.13	651.58	476.71	423.61	518.15	323.03	536.45	293.07	140.04	271.48	320.8	234.57	186.4	307.69	287.01	175.07	132.44	289.02	98.04	239.52	314.17	258.57	116.78	115.97	138.1	246.28	191.67	412.0	118.43	414.87	289.02	115.97	262.2	473.41	242.88	99.43	175.07	140.04	143.01	189.02	144.01	151.22	198.47	186.4	120.1	214.27	87.03	244.57	669.92	493.56	733.19	426.57	902.89	1259.69	684.02	579.04	463.65	559.28	909.17	723.08	909.17	738.29	423.61	587.13	723.08	866.07	647.07	884.29	1322.37	753.83	1051.79
HKR1	503.95	547.75	571.05	432.53	493.56	309.83	381.68	389.72	106.63	173.85	139.07	420.68	299.25	27.25	395.18	387.02	201.25	118.43	262.2	38.67	253.23	343.89	497.0	119.26	93.35	220.32	314.17	191.67	281.09	176.29	353.59	175.07	215.77	232.94	318.57	115.97	105.15	277.2	281.09	285.03	193.01	244.57	169.07	105.15	236.21	177.53	218.79	132.44	76.17	575.03	854.13	511.0	361.04	224.97	305.55	563.18	579.04	679.29	540.19	314.17	363.56	540.19	206.94	353.59	497.0	703.28	476.71	397.93	514.56	825.0	323.03	1572.76
HNRNPUL1	2739.08	4181.07	5441.3	1447.15	1369.04	1794.29	1857.6	2224.63	1551.09	1605.83	1447.15	1583.71	1936.53	1397.83	1697.45	1572.76	1023.0	1250.98	1427.22	928.3	1397.83	1378.57	2209.26	1909.85	775.05	1088.92	1870.53	1199.98	1870.53	988.12	1639.59	1051.79	878.17	1572.76	1769.57	1225.22	1037.29	780.44	764.36	1001.93	1844.76	836.53	713.11	1199.98	1397.83	1662.49	1662.49	708.18	1322.37	2148.82	5076.84	2520.38	3955.48	1977.24	3081.75	1617.0	2119.22	1991.0	2193.99	2119.22	2935.74	2090.03	3955.48	2915.45	1685.71	2075.59	3303.0	3039.3	1832.01	6983.79	2047.0	6037.61
JRKL	221.86	205.5	146.03	122.64	93.35	132.44	48.18	105.15	75.64	78.89	53.19	122.64	69.52	34.75	60.39	99.43	46.5	36.27	75.11	23.25	72.01	84.63	70.51	74.58	37.32	33.06	114.36	48.87	86.43	43.94	140.04	72.52	31.22	59.97	96.01	106.63	23.42	47.5	10.96	38.12	60.82	38.12	44.89	33.3	36.27	29.91	57.08	11.91	33.06	140.04	256.78	423.61	165.57	81.14	149.12	189.02	159.9	197.09	169.07	107.38	215.77	185.11	119.26	95.34	180.02	214.27	182.55	105.89	187.71	197.09	95.34	273.37
KIAA0226	205.5	191.67	438.59	189.02	205.5	234.57	136.19	253.23	90.77	56.68	72.52	150.17	80.57	63.0	124.37	121.79	49.91	54.72	127.89	56.28	87.65	149.12	67.12	78.89	40.36	67.59	131.51	68.07	129.69	74.06	113.56	92.05	68.55	76.71	115.97	113.56	39.5	60.82	34.75	38.95	98.04	43.32	71.5	47.17	109.66	54.33	78.34	31.67	76.17	289.02	438.59	265.87	249.73	133.36	195.72	275.28	521.76	191.67	183.82	206.94	244.57	325.29	253.23	178.77	189.02	198.47	204.07	264.03	176.29	325.29	195.72	271.48
LRRC10B	12.0	12.27	46.84	2.94	17.51	14.45	16.39	6.57	15.56	13.03	12.0	6.94	12.83	5.28	1.87	2.97	3.92	2.41	2.05	18.16	3.38	5.41	7.06	4.06	8.06	11.21	35.0	20.11	5.28	1.36	4.7	15.8	4.58	5.32	28.04	8.45	2.01	0.16	1.48	3.38	0.51	1.57	0.16	0.17	7.94	3.03	2.12	0.0	0.0	5.68	46.5	7.75	1.43	59.13	232.94	32.82	159.9	33.54	466.88	99.43	38.4	134.3	103.69	287.01	24.11	23.93	297.17	147.06	169.07	514.56	63.89	48.18
MRE11A	212.78	279.14	228.13	92.7	62.56	110.43	25.17	82.29	86.43	65.72	72.52	139.07	129.69	63.45	80.01	111.21	59.55	82.29	138.1	40.36	94.67	155.5	139.07	95.34	18.43	49.91	127.89	62.12	155.5	65.72	182.55	88.26	43.32	72.01	120.94	115.16	26.1	73.03	38.67	31.0	120.94	47.17	40.93	75.11	111.99	27.05	44.89	49.21	63.0	183.82	327.56	339.14	214.27	123.5	143.01	96.68	133.36	262.2	208.38	100.13	275.28	187.71	183.82	163.28	178.77	128.79	341.51	98.73	223.41	435.55	154.42	389.72
MTMR2	551.56	441.64	244.57	332.14	392.44	267.73	110.43	463.65	83.45	73.03	86.43	157.68	100.13	28.24	109.66	66.18	61.25	78.89	149.12	50.27	37.05	158.79	83.45	91.41	46.84	56.68	139.07	80.01	130.6	123.5	182.55	97.36	40.93	56.68	167.9	102.25	20.56	36.01	33.78	33.3	66.65	56.28	49.91	32.59	151.22	40.64	98.73	22.75	34.51	299.25	684.02	414.87	332.14	325.29	341.51	395.18	921.88	336.79	285.03	193.01	483.38	373.81	358.54	133.36	389.72	395.18	356.05	194.36	532.74	403.5	341.51	620.67
