	TCGA.BT.A20W.11A.11R.A14Y.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.CN.6023.01A.11R.1686.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.DD.AACH.01A.11R.A41C.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.DD.AACS.01A.11R.A41C.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.CC.5264.01A.01R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.6971.01A.11R.1949.07	TCGA.91.6835.01A.11R.1858.07	TCGA.86.7953.01A.11R.2187.07	TCGA.44.6775.01A.11R.1858.07	TCGA.69.7978.01A.11R.2187.07	TCGA.86.8075.01A.11R.2241.07	TCGA.44.6778.01A.11R.1858.07	TCGA.43.8115.01A.11R.2247.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.CD.8535.01A.11R.2343.13
C19orf45	70.51	30.34	16.63	0.66	2.25	6.89	13.03	25.91	24.81	19.53	3.26	4.58	7.94	3.76	3.53	9.78	0.0	11.13	6.41	12.27	11.13	10.16	3.38	0.84	7.28	15.68	0.0	5.32	3.86	3.03	1.97	1.71	9.93	2.89	0.0	0.0	5.19	0.78	1.1	1.99	10.16	3.29	8.71	26.86	23.59	12.45	3.69	5.82	41.81	26.86	38.4	129.69
C5orf54	57.89	73.03	87.03	67.59	19.68	76.71	120.1	40.64	59.13	22.26	109.66	43.94	51.35	20.11	38.12	16.03	15.56	36.27	25.54	33.3	19.25	18.84	15.11	17.25	19.68	25.72	27.05	23.42	47.17	8.0	23.93	16.39	27.64	27.84	43.02	13.03	11.82	5.41	34.26	20.41	15.0	38.67	81.14	66.65	65.72	75.11	74.06	169.07	53.95	64.8	146.03	101.54
C9orf89	848.22	748.61	1721.16	423.61	303.44	780.44	470.14	567.1	376.41	392.44	656.11	480.04	679.29	780.44	295.11	295.11	312.0	289.02	191.67	241.19	287.01	358.54	381.68	281.09	329.84	334.46	423.61	358.54	226.54	620.67	363.56	353.59	325.29	353.59	414.87	529.06	327.56	616.37	323.03	356.05	211.31	348.71	575.03	514.56	1001.93	928.3	890.44	1745.2	599.49	753.83	1111.82	2271.4
CDC42SE1	3168.41	2384.37	1832.01	974.5	988.12	1674.06	1685.71	1199.98	1208.34	780.44	1617.0	1073.91	1199.98	500.46	406.31	255.0	384.34	379.04	241.19	356.05	265.87	264.03	376.41	463.65	234.57	220.32	297.17	229.72	239.52	397.93	387.02	941.27	346.29	470.14	387.02	567.1	507.46	490.14	547.75	454.09	361.04	262.2	4358.66	3372.43	2976.74	2367.9	2502.97	2133.97	2997.45	2816.11	1508.65	1498.22
CDKN2D	325.29	384.34	232.94	215.77	103.69	177.53	301.33	134.3	125.24	132.44	368.65	142.01	202.66	109.66	67.12	34.02	32.36	59.55	50.27	35.0	30.34	105.15	51.71	42.41	73.54	32.13	111.99	47.5	50.27	105.89	33.3	68.55	68.55	80.01	31.0	69.52	85.82	89.51	59.97	62.12	49.56	33.78	271.48	283.05	343.89	291.04	275.28	186.4	633.73	444.72	361.04	713.11
CEP78	271.48	253.23	241.19	279.14	90.14	131.51	251.48	185.11	279.14	88.88	248.0	123.5	287.01	97.36	99.43	55.89	124.37	101.54	79.45	84.63	36.01	120.1	127.89	82.29	54.33	155.5	74.06	81.71	108.14	43.94	26.1	100.83	56.68	105.15	86.43	94.67	189.02	123.5	127.0	78.89	145.02	109.66	287.01	248.0	297.17	253.23	182.55	162.14	256.78	236.21	323.03	473.41
CKS2	2701.35	1745.2	3257.52	2075.59	218.79	2351.53	1369.04	1697.45	1359.57	674.59	2520.38	830.75	4038.61	1250.98	373.81	169.07	202.66	351.14	371.22	183.82	156.59	384.34	595.34	224.97	305.55	195.72	271.48	183.82	271.48	780.44	136.19	656.11	67.59	409.15	146.03	1369.04	1023.0	2935.74	403.5	361.04	305.55	361.04	1378.57	660.68	3491.39	1051.79	1259.69	1540.37	1583.71	890.44	2555.58	7331.05
CORO2A	275.28	47.5	836.53	75.11	37.05	104.42	178.77	125.24	244.57	111.21	305.55	121.79	307.69	30.34	61.25	145.02	18.43	57.08	65.26	59.55	195.72	50.63	34.51	38.12	37.32	205.5	30.34	25.72	57.49	42.71	38.95	70.01	15.56	10.39	57.49	32.59	26.86	4.78	8.06	19.68	127.89	111.99	307.69	228.13	684.02	579.04	303.44	348.71	166.73	172.65	118.43	151.22
CRTC3	454.09	866.07	332.14	159.9	212.78	156.59	511.0	343.89	171.45	187.71	314.17	279.14	255.0	111.21	148.09	121.79	180.02	189.02	185.11	138.1	94.67	132.44	98.73	92.7	78.34	118.43	114.36	86.43	92.7	143.01	125.24	106.63	130.6	183.82	123.5	105.15	138.1	132.44	220.32	178.77	93.35	107.38	476.71	514.56	466.88	348.71	444.72	316.37	532.74	532.74	507.46	426.57
CSTF1	493.56	559.28	587.13	426.57	384.34	460.44	785.88	470.14	599.49	536.45	460.44	309.83	406.31	229.72	269.6	218.79	260.38	229.72	279.14	246.28	327.56	343.89	265.87	297.17	262.2	325.29	236.21	325.29	316.37	262.2	285.03	260.38	329.84	305.55	241.19	423.61	265.87	371.22	318.57	299.25	348.71	265.87	463.65	583.07	285.03	486.75	490.14	414.87	490.14	406.31	1015.93	1151.06
CXorf40A	403.5	444.72	567.1	414.87	339.14	273.37	429.54	273.37	603.67	392.44	305.55	275.28	769.69	447.82	480.04	214.27	224.97	177.53	190.34	147.06	205.5	132.44	301.33	190.34	224.97	253.23	199.85	178.77	194.36	283.05	166.73	251.48	241.19	258.57	129.69	248.0	297.17	536.45	209.84	244.57	178.77	197.09	318.57	327.56	647.07	414.87	400.71	579.04	591.22	309.83	397.93	356.05
CXorf40B	780.44	1119.56	1388.16	1008.9	638.15	764.36	872.1	830.75	1427.22	1051.79	723.08	718.08	1651.0	693.58	435.55	444.72	620.67	551.56	529.06	518.15	454.09	551.56	514.56	540.19	441.64	381.68	403.5	532.74	426.57	521.76	339.14	713.11	371.22	642.59	480.04	497.0	616.37	961.07	563.18	583.07	547.75	435.55	995.0	802.41	1477.58	1081.39	1051.79	1769.57	708.18	813.63	1286.18	872.1
DAB2IP	651.58	476.71	902.89	197.09	262.2	373.81	738.29	162.14	595.34	329.84	368.65	490.14	173.85	108.9	156.59	283.05	132.44	336.79	94.01	187.71	78.34	145.02	70.51	110.43	103.69	251.48	150.17	57.08	154.42	148.09	208.38	120.94	40.93	107.38	115.97	155.5	58.71	112.77	86.43	135.24	87.65	191.67	329.84	320.8	616.37	466.88	275.28	336.79	444.72	314.17	723.08	830.75
DBR1	206.94	303.44	379.04	162.14	127.0	214.27	346.29	197.09	139.07	118.43	190.34	163.28	211.31	99.43	137.14	80.57	100.83	91.41	94.67	117.6	94.67	97.36	108.14	77.79	67.12	108.9	59.97	91.41	93.35	42.41	96.68	99.43	116.78	104.42	78.34	90.14	95.34	71.0	108.9	167.9	108.9	85.82	232.94	325.29	201.25	291.04	281.09	178.77	309.83	417.77	316.37	256.78
DEGS1	1216.75	1583.71	1397.83	1242.34	612.11	629.35	1709.26	860.08	3190.46	444.72	1487.87	571.05	1639.59	329.84	267.73	265.87	371.22	323.03	332.14	208.38	271.48	334.46	603.67	163.28	190.34	403.5	599.49	215.77	262.2	371.22	346.29	503.95	379.04	314.17	228.13	297.17	435.55	376.41	473.41	295.11	312.0	353.59	1617.0	1175.27	1447.15	1733.13	1572.76	2193.99	1519.15	1259.69	733.19	1467.37
DLG5	441.64	583.07	785.88	205.5	111.99	307.69	303.44	120.94	231.32	164.42	381.68	244.57	209.84	80.57	48.52	69.52	83.45	42.41	63.0	54.33	99.43	63.45	26.86	54.33	14.67	112.77	38.4	66.18	34.26	23.08	20.71	90.14	149.12	70.51	71.5	13.42	31.22	71.5	38.12	180.02	75.64	35.25	269.6	441.64	607.87	438.59	511.0	426.57	305.55	679.29	674.59	575.03
DLGAP4	1322.37	3443.31	785.88	791.35	830.75	1001.93	2520.38	775.05	1119.56	764.36	1242.34	1001.93	854.13	409.15	291.04	334.46	420.68	447.82	325.29	511.0	334.46	503.95	336.79	460.44	285.03	287.01	403.5	384.34	454.09	381.68	279.14	381.68	470.14	518.15	447.82	307.69	457.25	629.35	473.41	348.71	387.02	305.55	1151.06	1551.09	1030.12	1883.54	2739.08	1950.0	1295.13	1498.22	2835.7	2627.46
DNM1L	759.08	1844.76	890.44	438.59	332.14	529.06	595.34	540.19	518.15	320.8	890.44	432.53	651.58	218.79	215.77	105.15	208.38	136.19	231.32	180.02	175.07	147.06	287.01	110.43	198.47	191.67	147.06	91.41	239.52	105.89	132.44	305.55	202.66	166.73	193.01	176.29	241.19	314.17	256.78	208.38	185.11	183.82	941.27	775.05	836.53	603.67	669.92	638.15	1135.2	947.83	1359.57	819.3
ECT2	381.68	423.61	1216.75	318.57	85.82	277.2	323.03	638.15	334.46	112.77	896.64	125.24	638.15	13.93	38.67	7.28	18.84	5.45	21.94	16.27	1.95	12.64	22.92	3.17	15.22	2.43	15.0	7.11	24.99	17.77	5.11	13.93	11.04	35.5	2.36	19.53	15.34	9.06	25.91	21.01	16.51	12.74	620.67	579.04	1104.13	470.14	684.02	842.36	447.82	1674.06	1111.82	1896.65
EIF5A2	156.59	162.14	836.53	206.94	199.85	218.79	172.65	334.46	249.73	57.08	232.94	122.64	323.03	45.21	4.98	8.71	3.99	2.86	12.36	18.84	20.86	10.08	47.5	3.89	8.71	3.63	10.24	15.22	10.39	20.26	25.17	2.2	16.51	10.96	4.1	4.82	8.51	44.25	25.91	26.28	15.68	12.27	81.71	182.55	281.09	116.78	275.28	202.66	154.42	457.25	239.52	490.14
ESPL1	123.5	301.33	371.22	156.59	53.19	169.07	476.71	87.65	117.6	137.14	262.2	59.55	343.89	54.33	71.0	5.32	81.14	12.83	22.59	106.63	5.5	7.11	21.32	9.56	35.25	7.88	130.6	4.66	229.72	3.26	8.13	11.73	52.82	181.28	72.52	68.07	46.84	9.41	38.4	35.0	8.0	14.14	128.79	115.97	202.66	90.14	100.13	76.17	194.36	242.88	493.56	255.0
ESYT2	1081.39	890.44	656.11	395.18	392.44	476.71	366.09	954.43	540.19	305.55	909.17	426.57	1111.82	432.53	295.11	255.0	376.41	214.27	361.04	320.8	295.11	237.86	314.17	198.47	366.09	579.04	285.03	242.88	454.09	387.02	301.33	281.09	351.14	273.37	242.88	221.86	229.72	287.01	361.04	289.02	264.03	420.68	1286.18	1498.22	802.41	1001.93	2163.77	1745.2	981.29	1066.48	723.08	764.36
EZR	4419.52	2351.53	3039.3	1096.5	373.81	1313.23	1697.45	2061.24	1015.93	890.44	1883.54	1051.79	2255.7	2915.45	493.56	406.31	1015.93	293.07	476.71	476.71	476.71	511.0	1417.35	389.72	441.64	332.14	616.37	507.46	703.28	808.0	728.11	764.36	624.99	836.53	283.05	1088.92	633.73	2468.49	525.39	575.03	575.03	420.68	3768.09	5913.33	2335.28	6471.02	3372.43	5633.22	2417.67	4450.27	1183.45	2627.46
FAM213B	571.05	738.29	514.56	264.03	529.06	358.54	447.82	665.29	463.65	417.77	607.87	376.41	571.05	74.06	480.04	169.07	85.82	123.5	167.9	65.26	90.77	127.0	98.04	68.07	118.43	113.56	64.34	84.63	78.34	105.89	115.97	80.01	127.89	115.16	115.97	109.66	121.79	90.14	159.9	116.78	64.8	103.69	616.37	525.39	470.14	603.67	571.05	629.35	624.99	454.09	1857.6	555.41
FAM49B	1477.58	1437.15	1844.76	660.68	412.0	808.0	961.07	1233.75	540.19	791.35	947.83	656.11	1044.52	334.46	612.11	132.44	281.09	180.02	279.14	262.2	187.71	470.14	521.76	190.34	190.34	155.5	403.5	186.4	291.04	195.72	181.28	559.28	226.54	679.29	193.01	316.37	220.32	397.93	507.46	332.14	204.07	260.38	1870.53	2351.53	1388.16	1963.57	1685.71	1685.71	2451.44	1594.73	1208.34	1369.04
FAM57A	395.18	320.8	1242.34	150.17	40.93	135.24	194.36	193.01	59.55	57.89	190.34	93.35	231.32	20.11	20.86	35.0	14.56	7.88	17.64	36.79	16.88	15.56	16.03	6.78	13.32	13.72	19.53	25.54	19.82	56.28	22.92	36.01	14.56	27.64	44.57	17.38	36.79	23.25	30.34	24.11	23.93	11.3	514.56	214.27	301.33	423.61	332.14	275.28	172.65	348.71	327.56	221.86
FAM60A	1674.06	5995.9	1340.84	87.03	229.72	260.38	612.11	525.39	34.26	297.17	432.53	429.54	389.72	115.16	136.19	150.17	136.19	103.69	46.5	77.25	71.5	57.49	129.69	71.0	126.12	165.57	78.89	41.22	67.12	273.37	69.03	88.88	76.17	71.0	117.6	99.43	137.14	165.57	129.69	109.66	83.45	34.26	1819.35	1832.01	1844.76	753.83	1001.93	1008.9	1583.71	1250.98	2935.74	1551.09
FOXQ1	1651.0	151.22	684.02	633.73	51.35	99.43	312.0	412.0	642.59	26.1	629.35	101.54	78.34	127.89	2.25	4.39	9.63	9.27	2.89	21.78	3.47	202.66	323.03	26.47	5.28	17.51	46.84	5.5	5.19	363.56	5.19	11.55	40.07	12.55	10.63	99.43	91.41	361.04	4.24	5.87	43.02	21.94	387.02	329.84	150.17	202.66	567.1	262.2	40.93	171.45	620.67	1397.83
GALNT11	802.41	638.15	473.41	559.28	547.75	665.29	616.37	480.04	764.36	358.54	476.71	624.99	571.05	414.87	389.72	307.69	336.79	368.65	368.65	287.01	305.55	316.37	320.8	279.14	400.71	320.8	229.72	309.83	381.68	206.94	450.94	301.33	435.55	361.04	414.87	258.57	285.03	189.02	633.73	287.01	281.09	397.93	753.83	974.5	802.41	647.07	764.36	860.08	559.28	587.13	629.35	603.67
GLA	872.1	642.59	3190.46	607.87	497.0	915.51	559.28	896.64	1733.13	656.11	483.38	363.56	1427.22	532.74	273.37	102.97	145.02	176.29	156.59	121.79	156.59	291.04	376.41	125.24	289.02	117.6	381.68	224.97	218.79	476.71	93.35	262.2	161.02	309.83	163.28	563.18	723.08	909.17	329.84	299.25	181.28	113.56	813.63	967.76	1023.0	981.29	995.0	1745.2	1594.73	819.3	1066.48	866.07
H2AFY	4972.34	3716.2	3982.99	3901.01	1991.0	5555.65	4802.93	2976.74	2335.28	2367.9	2451.44	2178.83	2384.37	1119.56	1331.57	713.11	723.08	713.11	941.27	825.0	651.58	753.83	1135.2	567.1	796.86	967.76	830.75	571.05	791.35	748.61	684.02	854.13	728.11	1096.5	813.63	1277.29	954.43	1143.1	1111.82	738.29	808.0	684.02	3847.29	4450.27	4639.29	5441.3	3491.39	4298.64	4972.34	6294.04	4066.71	4736.79
HNRNPA1	36610.26	38697.77	37379.55	14361.31	14262.1	14361.31	25354.3	27363.16	12076.21	14971.21	20737.16	14765.09	18689.27	8538.88	7433.4	7081.29	6294.04	6381.92	5147.73	8363.13	9279.58	5995.9	8363.13	6887.62	8134.41	7589.61	6381.92	5403.7	9279.58	10368.08	7280.4	8247.98	8022.41	7130.55	7803.01	5954.47	6935.54	7331.05	9279.58	7081.29	8421.31	6164.49	20881.4	22380.2	23169.48	18689.27	20170.07	13968.57	27938.14	21768.19	32994.92	20881.4
HNRNPLL	638.15	567.1	563.18	299.25	287.01	395.18	518.15	463.65	202.66	348.71	483.38	366.09	447.82	206.94	164.42	102.25	167.9	117.6	138.1	131.51	134.3	134.3	197.09	134.3	165.57	141.02	145.02	107.38	221.86	206.94	128.79	167.9	189.02	173.85	113.56	180.02	155.5	176.29	234.57	190.34	204.07	149.12	688.78	684.02	567.1	612.11	693.58	547.75	703.28	693.58	988.12	599.49
HNRNPU	5041.77	5831.91	4937.99	2796.65	2367.9	4123.49	4481.23	4066.71	3665.02	3349.13	4210.15	3190.46	4671.57	2209.26	1540.37	1051.79	1487.87	995.0	1191.69	1561.89	1233.75	1268.46	1870.53	1447.15	1457.23	1437.15	1340.84	974.5	1551.09	1697.45	1313.23	1487.87	1551.09	1628.26	1159.07	1617.0	1923.14	2271.4	1963.57	1721.16	1359.57	1208.34	4937.99	5112.16	4210.15	4450.27	4239.45	4543.8	5403.7	4639.29	5831.91	5112.16
IQGAP3	90.77	236.21	309.83	217.27	164.42	463.65	262.2	246.28	88.88	59.55	214.27	194.36	236.21	1.46	21.78	1.19	3.0	0.26	4.31	1.06	0.27	2.36	1.85	1.81	3.47	1.27	5.59	1.38	2.71	0.96	1.08	4.82	5.28	5.32	0.99	4.39	2.61	3.5	5.28	4.06	3.72	0.26	177.53	521.76	480.04	320.8	199.85	325.29	217.27	248.0	813.63	244.57
JMJD6	743.43	915.51	1127.35	890.44	514.56	1208.34	769.69	909.17	848.22	543.96	1119.56	420.68	819.3	595.34	373.81	343.89	503.95	629.35	316.37	525.39	348.71	669.92	536.45	473.41	346.29	309.83	633.73	423.61	409.15	476.71	348.71	651.58	312.0	432.53	525.39	420.68	583.07	764.36	303.44	511.0	511.0	463.65	819.3	941.27	866.07	567.1	974.5	848.22	733.19	759.08	616.37	579.04
KHDRBS1	2701.35	2468.49	2400.97	1119.56	1096.5	1447.15	1883.54	2335.28	1167.14	1233.75	2240.11	1015.93	1617.0	842.36	884.29	441.64	624.99	460.44	674.59	728.11	743.43	713.11	1233.75	679.29	974.5	638.15	791.35	629.35	796.86	872.1	651.58	890.44	743.43	769.69	532.74	866.07	796.86	1081.39	1127.35	769.69	830.75	813.63	1991.0	2537.92	2163.77	2367.9	1896.65	2119.22	2956.17	2627.46	2384.37	1870.53
KIF13B	190.34	103.69	138.1	87.03	114.36	104.42	165.57	244.57	127.0	116.78	176.29	165.57	406.31	81.71	135.24	90.77	94.01	146.03	88.88	82.29	71.0	57.08	61.68	59.13	137.14	180.02	121.79	88.26	121.79	149.12	90.14	90.77	57.49	85.82	74.58	72.01	63.45	120.1	87.03	76.17	101.54	137.14	303.44	224.97	231.32	320.8	164.42	191.67	303.44	141.02	239.52	381.68
LBR	1015.93	1844.76	1397.83	1008.9	753.83	305.55	2018.8	1561.89	1397.83	1143.1	1259.69	1183.45	1340.84	447.82	743.43	1923.14	1159.07	896.64	684.02	490.14	343.89	473.41	529.06	764.36	521.76	1066.48	406.31	483.38	341.51	295.11	575.03	486.75	480.04	559.28	616.37	463.65	389.72	532.74	525.39	633.73	651.58	500.46	878.17	796.86	802.41	848.22	620.67	921.88	1331.57	753.83	1977.24	679.29
LHX5	1.1	23.42	40.64	0.0	0.0	0.0	0.0	0.39	0.62	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.52	0.0	12.09	0.0	0.95	4.9	10.96	35.0
LITAF	3820.7	1594.73	2075.59	2573.36	3901.01	3235.01	3820.7	6250.56	3564.78	1529.73	3515.68	5255.91	1313.23	1467.37	2178.83	1572.76	2133.97	1304.15	1551.09	808.0	1051.79	915.51	2119.22	802.41	2468.49	2240.11	2075.59	967.76	1806.78	3190.46	2018.8	1037.29	1250.98	1313.23	723.08	1407.55	1104.13	1015.93	2032.85	1081.39	1111.82	1806.78	5147.73	4607.24	5292.48	5517.27	4639.29	5292.48	5751.61	3146.52	1685.71	1233.75
LOXL2	457.25	1073.91	234.57	153.34	248.0	212.78	381.68	242.88	84.04	175.07	239.52	226.54	180.02	52.08	34.26	17.25	61.68	32.13	32.13	40.36	20.11	34.75	48.52	12.93	13.42	30.56	18.03	11.04	32.59	23.08	18.43	38.12	38.67	41.52	37.32	34.02	26.67	63.89	38.67	28.86	30.12	16.51	591.22	305.55	305.55	1001.93	1594.73	1572.76	291.04	1286.18	1286.18	450.94
