	TCGA.G4.6321.01A.11R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.WQUQ.2526.SM.4MVNO	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.13D11.0826.SM.5KLZJ	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.QV31.0826.SM.4R1KR	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.13PL7.0526.SM.5J2MQ	GTEX.11LCK.1526.SM.5HL64	GTEX.WFJO.0426.SM.4LVM7	GTEX.XUW1.1326.SM.4BOO1	GTEX.11LCK.1626.SM.5PNYB	GTEX.XQ8I.1626.SM.4BOOI	GTEX.XBEW.1426.SM.4AT4J
CD2AP	1350.18	409.15	571.05	521.76	551.56	796.86	1208.34	819.3	1331.57	1051.79	1199.98	1208.34	1023.0	1030.12	1119.56	728.11	890.44	1135.2	1225.22	995.0	2075.59	1159.07	1073.91	493.56	480.04	1340.84	656.11	1781.89	1259.69	748.61	599.49	1127.35	679.29	769.69	769.69	518.15	769.69	1447.15	1151.06	825.0	1268.46	1583.71	1529.73	825.0	1242.34	743.43	713.11	1104.13	563.18	1096.5	1322.37	1259.69	1447.15	1388.16	1242.34	1119.56	1216.75	1397.83	536.45	1561.89	1225.22	1183.45	1277.29	902.89	1143.1	1304.15	723.08	1286.18	444.72	1259.69	1104.13	848.22	1191.69	934.76	1457.23	890.44	1350.18	1059.11	656.11	1037.29	753.83	1059.11	1350.18	1427.22	118.43	153.34	198.47	165.57	154.42	166.73	136.19
CDC42SE2	1119.56	403.5	1096.5	1044.52	684.02	954.43	1617.0	1199.98	2133.97	1651.0	1437.15	1806.78	1277.29	1519.15	1397.83	1216.75	1487.87	1508.65	2075.59	1331.57	2319.15	1923.14	1674.06	759.08	915.51	1896.65	884.29	2609.3	1909.85	1313.23	1175.27	1832.01	1008.9	1407.55	1104.13	1001.93	1477.58	2240.11	1457.23	1583.71	2047.0	2104.58	1950.0	1259.69	1936.53	1199.98	1081.39	1757.34	921.88	1457.23	1909.85	2224.63	2271.4	1883.54	1709.26	1594.73	1769.57	1896.65	1191.69	1977.24	1991.0	1733.13	1832.01	1551.09	1745.2	2004.85	1127.35	2004.85	693.58	1781.89	1359.57	1378.57	1896.65	1733.13	1806.78	1417.35	2148.82	1286.18	1159.07	1427.22	1159.07	1832.01	1923.14	1936.53	256.78	281.09	289.02	269.6	255.0	289.02	256.78
CDH17	17558.94	1119.56	1991.0	1991.0	1277.29	2148.82	17197.56	11909.94	17804.06	17317.18	15934.98	17317.18	11267.44	14663.09	15715.58	12244.81	13872.08	18689.27	15824.9	16383.0	21768.19	13681.08	17804.06	4769.75	6250.56	20170.07	9540.5	22225.61	17927.91	14262.1	8247.98	18689.27	6887.62	16269.83	14663.09	8134.41	16045.82	18560.17	18950.18	12943.04	21617.82	17078.76	17078.76	11745.96	16496.96	12076.21	11345.82	18052.61	5872.48	14663.09	15715.58	17437.64	19754.96	17927.91	18431.96	11909.94	18950.18	16843.62	13399.51	20451.65	15715.58	18689.27	19482.97	16157.44	16496.96	21919.61	12853.63	18304.63	3124.78	17078.76	14461.21	12329.98	18431.96	15607.02	20593.91	13215.02	18178.19	17197.56	11345.82	13306.94	9540.5	15715.58	16496.96	16727.26	0.07	2.43	25.72	13.52	5.63	0.13	31.0
CLCN3	656.11	229.72	444.72	728.11	379.04	323.03	775.05	693.58	1529.73	813.63	738.29	954.43	708.18	974.5	854.13	723.08	890.44	921.88	995.0	1066.48	1322.37	743.43	1651.0	466.88	571.05	1295.13	486.75	1733.13	1242.34	738.29	713.11	934.76	525.39	753.83	842.36	511.0	836.53	1199.98	1015.93	684.02	1151.06	1662.49	1175.27	854.13	1111.82	638.15	518.15	1143.1	414.87	733.19	1073.91	1295.13	1159.07	1388.16	1286.18	708.18	934.76	884.29	579.04	1159.07	902.89	981.29	1096.5	748.61	1030.12	1331.57	693.58	1073.91	454.09	1167.14	780.44	620.67	967.76	848.22	884.29	764.36	1561.89	988.12	728.11	967.76	693.58	1030.12	1037.29	854.13	197.09	173.85	195.72	175.07	161.02	150.17	138.1
CMTM6	961.07	624.99	647.07	616.37	684.02	607.87	796.86	684.02	1175.27	854.13	579.04	890.44	587.13	854.13	836.53	748.61	981.29	921.88	988.12	890.44	1519.15	941.27	947.83	532.74	708.18	988.12	529.06	941.27	995.0	764.36	775.05	860.08	753.83	791.35	743.43	660.68	693.58	1151.06	1015.93	723.08	1268.46	1096.5	1037.29	718.08	928.3	587.13	555.41	1059.11	447.82	1044.52	1023.0	1369.04	1295.13	1127.35	941.27	688.78	1051.79	981.29	679.29	988.12	1051.79	890.44	1037.29	842.36	974.5	1191.69	647.07	1051.79	551.56	974.5	660.68	1001.93	961.07	896.64	830.75	624.99	1051.79	896.64	995.0	830.75	688.78	1037.29	854.13	780.44	339.14	356.05	361.04	339.14	400.71	264.03	327.56
CTBS	412.0	185.11	220.32	283.05	329.84	334.46	358.54	291.04	384.34	348.71	197.09	392.44	271.48	260.38	395.18	204.07	327.56	395.18	334.46	297.17	813.63	305.55	287.01	221.86	251.48	450.94	271.48	486.75	429.54	353.59	283.05	303.44	231.32	287.01	187.71	258.57	307.69	493.56	389.72	287.01	358.54	379.04	429.54	314.17	476.71	251.48	204.07	389.72	177.53	373.81	536.45	583.07	457.25	457.25	450.94	251.48	444.72	353.59	220.32	536.45	329.84	327.56	387.02	303.44	384.34	332.14	246.28	356.05	195.72	215.77	269.6	438.59	412.0	332.14	353.59	281.09	397.93	414.87	253.23	309.83	180.02	387.02	444.72	262.2	133.36	127.0	109.66	107.38	132.44	144.01	135.24
EAF1	236.21	191.67	175.07	171.45	190.34	209.84	239.52	212.78	283.05	217.27	201.25	244.57	214.27	211.31	220.32	224.97	228.13	201.25	248.0	244.57	361.04	236.21	226.54	164.42	201.25	256.78	185.11	232.94	256.78	214.27	246.28	231.32	221.86	224.97	224.97	226.54	217.27	273.37	258.57	189.02	314.17	249.73	242.88	228.13	258.57	212.78	202.66	289.02	218.79	234.57	287.01	320.8	265.87	234.57	246.28	253.23	267.73	265.87	206.94	297.17	221.86	228.13	251.48	229.72	241.19	251.48	195.72	251.48	177.53	246.28	208.38	241.19	289.02	241.19	269.6	204.07	258.57	205.5	198.47	226.54	198.47	255.0	281.09	237.86	151.22	147.06	158.79	151.22	156.59	119.26	130.6
EPB41L4B	872.1	98.04	583.07	1037.29	473.41	1088.92	2895.31	1806.78	3349.13	3146.52	3103.19	2855.44	2417.67	2835.7	2609.3	1963.57	2468.49	3372.43	3419.52	2555.58	4095.0	3190.46	3395.89	796.86	860.08	4152.18	1286.18	4671.57	3564.78	1977.24	1832.01	3419.52	1277.29	2502.97	2018.8	1447.15	2573.36	3690.52	2895.31	2335.28	3235.01	3467.27	3349.13	2240.11	3491.39	1936.53	1721.16	2664.15	1233.75	2609.3	3768.09	4388.98	4239.45	3955.48	3665.02	2351.53	2997.45	2720.15	1572.76	4181.07	3103.19	2855.44	3124.78	2645.74	3168.41	4038.61	1745.2	3081.75	703.28	3419.52	2193.99	2163.77	2935.74	2816.11	3639.7	2468.49	3690.52	2701.35	2004.85	2255.7	1685.71	2796.65	3443.31	3395.89	11.13	14.78	19.39	19.68	6.01	10.08	25.91
FAM105A	316.37	260.38	346.29	291.04	309.83	244.57	1081.39	775.05	1216.75	1081.39	909.17	1233.75	825.0	1044.52	988.12	693.58	860.08	928.3	1127.35	808.0	1268.46	1151.06	860.08	371.22	412.0	1127.35	480.04	1127.35	1143.1	884.29	651.58	1044.52	656.11	909.17	819.3	599.49	872.1	1104.13	967.76	836.53	1225.22	1447.15	1081.39	708.18	1304.15	703.28	688.78	1322.37	426.57	995.0	1044.52	1277.29	1388.16	1143.1	896.64	591.22	1001.93	1030.12	854.13	1159.07	1417.35	1037.29	854.13	1233.75	1104.13	1183.45	607.87	1051.79	237.86	878.17	808.0	1233.75	961.07	1096.5	961.07	559.28	1096.5	808.0	1015.93	785.88	543.96	1295.13	1051.79	1044.52	26.1	48.52	22.26	50.27	40.93	39.5	27.64
FAR2	295.11	406.31	536.45	486.75	633.73	684.02	995.0	848.22	961.07	988.12	1199.98	1135.2	808.0	915.51	1037.29	796.86	836.53	981.29	941.27	902.89	1447.15	941.27	1096.5	571.05	435.55	1151.06	507.46	1119.56	1143.1	934.76	708.18	995.0	733.19	1015.93	802.41	688.78	934.76	1388.16	1127.35	981.29	1216.75	1388.16	1175.27	684.02	1104.13	698.41	651.58	1096.5	460.44	1008.9	1008.9	1268.46	1167.14	967.76	1135.2	764.36	1051.79	1037.29	802.41	1111.82	961.07	1015.93	1066.48	974.5	1199.98	1044.52	607.87	1096.5	507.46	995.0	825.0	981.29	981.29	1015.93	1104.13	813.63	1199.98	1059.11	848.22	947.83	656.11	1119.56	1199.98	1233.75	90.77	154.42	136.19	73.54	149.12	303.44	176.29
FDX1	190.34	244.57	258.57	275.28	303.44	397.93	500.46	318.57	579.04	395.18	532.74	497.0	341.51	395.18	343.89	283.05	409.15	429.54	490.14	371.22	775.05	406.31	447.82	301.33	212.78	507.46	231.32	656.11	529.06	368.65	258.57	400.71	264.03	414.87	438.59	281.09	356.05	521.76	457.25	409.15	571.05	555.41	521.76	314.17	547.75	279.14	312.0	432.53	226.54	414.87	412.0	624.99	547.75	497.0	412.0	287.01	320.8	426.57	341.51	480.04	444.72	447.82	438.59	305.55	414.87	514.56	316.37	559.28	199.85	503.95	323.03	503.95	435.55	514.56	414.87	332.14	438.59	400.71	409.15	397.93	341.51	316.37	450.94	583.07	177.53	108.14	158.79	156.59	143.01	156.59	153.34
FMN1	147.06	50.98	110.43	72.01	74.06	76.71	197.09	134.3	215.77	127.0	106.63	182.55	131.51	132.44	156.59	136.19	127.89	143.01	156.59	126.12	212.78	187.71	177.53	60.82	63.89	157.68	97.36	109.66	193.01	106.63	111.99	157.68	77.79	138.1	82.87	119.26	124.37	224.97	187.71	88.88	180.02	161.02	165.57	147.06	175.07	116.78	149.12	150.17	100.83	153.34	169.07	283.05	176.29	165.57	171.45	124.37	142.01	194.36	107.38	177.53	178.77	167.9	138.1	162.14	181.28	171.45	109.66	202.66	111.99	151.22	126.12	156.59	139.07	161.02	154.42	126.12	205.5	217.27	129.69	165.57	102.97	156.59	194.36	134.3	34.02	34.26	21.47	20.56	35.0	36.53	34.02
FRK	110.43	15.22	58.71	64.34	21.16	51.71	178.77	119.26	211.31	175.07	144.01	191.67	145.02	136.19	172.65	140.04	154.42	157.68	198.47	181.28	327.56	153.34	232.94	57.89	81.71	242.88	84.04	267.73	156.59	153.34	126.12	189.02	88.26	123.5	125.24	90.77	145.02	209.84	212.78	121.79	206.94	202.66	211.31	125.24	229.72	114.36	108.14	193.01	75.11	153.34	211.31	190.34	189.02	190.34	249.73	156.59	197.09	186.4	126.12	231.32	189.02	180.02	189.02	118.43	206.94	152.28	92.05	201.25	68.55	181.28	120.94	142.01	212.78	157.68	176.29	145.02	246.28	155.5	121.79	162.14	98.73	175.07	236.21	177.53	11.73	9.13	4.86	7.57	3.56	8.38	6.16
FUCA2	934.76	1081.39	896.64	981.29	728.11	890.44	1457.23	819.3	1119.56	1313.23	1286.18	1159.07	1104.13	1183.45	1127.35	1277.29	1242.34	1304.15	1407.55	808.0	1651.0	1407.55	1407.55	909.17	928.3	1457.23	1037.29	1350.18	1457.23	1175.27	961.07	1529.73	1059.11	1143.1	878.17	1073.91	1183.45	1304.15	1208.34	1277.29	1457.23	1477.58	1295.13	1191.69	1350.18	995.0	1044.52	1457.23	665.29	1331.57	1388.16	1388.16	1417.35	1304.15	1225.22	1015.93	1277.29	1259.69	1143.1	1417.35	1023.0	1359.57	1350.18	1175.27	1340.84	1561.89	1127.35	1508.65	684.02	1250.98	1208.34	1096.5	1233.75	1551.09	1322.37	1066.48	1477.58	1191.69	1322.37	909.17	947.83	1183.45	1135.2	1331.57	303.44	441.64	373.81	414.87	457.25	409.15	400.71
