	TCGA.G2.A2EJ.01A.11R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CV.A45U.01A.12R.A24H.07	TCGA.CV.6961.01A.21R.1915.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.51.4081.01A.01R.1100.07	TCGA.63.5128.01A.01R.1443.07	TCGA.56.8083.01A.11R.2247.07	TCGA.56.7730.01A.11R.2125.07	TCGA.34.2596.01A.01R.0851.07
DSCAML1	0.0	0.0	29.7	0.0	1.5	41.81	2.12	0.0	0.0	0.53	0.0	4.24	4.9	0.0	0.0	2.63	18.56	2.16	2.03	0.0	0.59	0.0	0.0	0.55	0.48	0.0	0.48	0.0	1.01	4.86	3.82	1.95	2.78	2.1	0.0	0.54	0.91	0.59	0.0	0.11	1.35	4.66	30.56	6.11	7.51
EMID1	0.64	0.0	896.64	17.77	195.72	189.02	8.45	12.36	11.73	4.98	16.51	31.0	7.57	5.68	7.22	15.68	167.9	21.32	201.25	2.12	6.52	9.56	5.92	5.28	75.64	4.28	140.04	3.56	10.0	12.09	59.55	567.1	201.25	13.22	10.31	110.43	9.78	36.53	0.0	0.57	339.14	178.77	575.03	389.72	511.0
EMILIN3	5.32	7.17	98.04	8.92	143.01	34.02	10.0	10.16	6.11	6.57	11.38	38.12	8.78	3.44	0.92	17.38	151.22	8.65	36.27	4.13	2.78	6.21	3.82	2.97	47.5	0.85	82.87	9.27	8.99	4.28	22.43	153.34	185.11	34.02	6.11	23.08	3.11	4.1	0.0	0.25	106.63	190.34	358.54	242.88	134.3
EPS8	76.17	31.0	486.75	105.89	255.0	275.28	96.01	50.27	72.01	34.75	215.77	80.57	33.54	27.84	48.87	305.55	1721.16	77.25	785.88	21.63	30.12	33.54	76.71	14.14	307.69	84.63	1183.45	55.89	61.25	92.05	82.29	521.76	693.58	62.56	88.88	507.46	67.59	40.64	0.0	0.78	2682.69	2664.15	529.06	2104.58	1977.24
FAM171A1	4.24	0.43	169.07	9.2	339.14	113.56	25.91	52.45	26.86	57.89	49.56	78.34	46.18	16.88	22.26	135.24	95.34	18.03	93.35	8.65	18.7	17.9	36.79	9.56	46.5	12.0	34.51	9.56	28.86	47.84	116.78	108.14	105.15	98.04	33.3	181.28	20.86	26.28	0.0	0.53	116.78	41.81	988.12	185.11	178.77
FAM19A5	0.93	10.31	341.51	4.62	68.55	100.13	13.93	21.01	11.47	12.18	107.38	97.36	52.08	6.16	7.17	52.82	124.37	14.14	185.11	9.93	3.79	7.17	38.12	7.11	37.32	7.06	41.52	5.11	22.59	28.04	70.51	258.57	155.5	55.1	78.34	379.04	7.75	6.21	0.0	0.25	94.01	18.97	486.75	135.24	343.89
FAM69B	4.54	3.86	264.03	4.82	279.14	121.79	23.42	71.0	32.82	36.27	56.68	53.19	55.49	15.45	11.04	82.29	142.01	14.56	265.87	22.92	17.64	27.84	31.0	10.79	271.48	15.11	131.51	14.78	14.03	21.01	248.0	246.28	273.37	102.97	33.54	159.9	18.16	15.45	0.0	0.54	289.02	176.29	536.45	356.05	514.56
FBRSL1	753.83	567.1	1023.0	543.96	995.0	1277.29	1030.12	1030.12	466.88	514.56	708.18	1662.49	1806.78	665.29	860.08	836.53	2271.4	1088.92	2502.97	981.29	718.08	1199.98	1066.48	854.13	1340.84	1467.37	1250.98	1044.52	1127.35	665.29	764.36	1819.35	1340.84	808.0	995.0	1127.35	928.3	780.44	830.75	180.02	1540.37	1757.34	2976.74	1331.57	1781.89
FREM2	0.0	0.83	10.31	0.0	16.88	13.12	0.0	0.71	0.0	0.3	0.35	1.35	0.3	0.0	0.0	2.01	63.45	0.31	69.52	0.0	0.0	0.68	1.23	1.01	1.69	0.0	204.07	0.0	0.34	1.04	0.0	151.22	102.97	0.96	1.27	5.82	0.61	0.0	0.0	0.0	248.0	37.05	295.11	212.78	57.89
GCNT2	53.95	164.42	29.06	4.7	45.53	71.5	7.28	15.56	5.36	11.04	22.26	39.22	3.92	11.55	3.92	11.73	356.05	18.43	329.84	2.03	12.55	4.17	5.36	2.84	76.71	2.14	647.07	4.78	37.05	26.47	64.34	111.21	141.02	13.32	22.43	38.67	7.28	10.31	0.0	0.26	387.02	403.5	90.77	802.41	409.15
GPR173	1.25	0.0	21.78	1.53	13.12	10.24	5.02	4.94	1.17	1.99	10.31	14.89	11.91	3.44	2.84	9.2	9.85	4.21	44.89	1.77	2.23	3.89	6.78	1.17	5.5	1.46	8.19	3.29	4.54	4.39	41.81	26.86	49.21	9.41	6.89	12.93	3.17	1.71	0.0	0.64	64.8	7.0	384.34	9.34	81.14
GYG2	0.64	4.1	126.12	1.93	65.72	75.11	6.46	15.11	1.6	3.63	10.63	22.1	7.69	4.9	2.39	13.12	62.56	9.56	28.04	1.73	2.2	9.06	14.89	8.99	59.55	2.23	32.36	2.39	7.22	20.41	52.82	73.54	52.45	35.5	16.88	64.8	1.5	3.69	0.0	0.09	85.82	102.97	143.01	67.12	432.53
HEY1	44.89	41.52	802.41	41.22	1617.0	134.3	32.59	77.25	38.4	59.55	78.89	301.33	98.73	19.39	18.03	162.14	463.65	29.06	480.04	27.44	20.56	57.08	44.57	50.27	591.22	32.36	395.18	32.36	47.5	80.57	152.28	684.02	1350.18	67.12	58.3	441.64	94.67	37.85	0.0	0.59	1508.65	830.75	1037.29	1896.65	3280.18
HPCAL1	299.25	384.34	785.88	371.22	647.07	1081.39	633.73	373.81	579.04	454.09	872.1	514.56	397.93	363.56	379.04	363.56	1286.18	521.76	921.88	403.5	356.05	457.25	559.28	599.49	733.19	165.57	612.11	454.09	432.53	438.59	896.64	878.17	1015.93	642.59	379.04	684.02	271.48	414.87	0.0	0.67	759.08	518.15	802.41	775.05	1135.2
IRS2	30.34	20.11	121.79	143.01	217.27	244.57	21.63	12.64	17.13	29.48	93.35	145.02	75.64	13.52	118.43	31.9	529.06	66.18	170.25	59.97	26.86	43.63	28.65	30.78	82.29	48.87	325.29	27.84	75.64	40.36	271.48	244.57	258.57	138.1	45.21	144.01	52.08	23.08	0.0	0.38	567.1	536.45	723.08	218.79	309.83
JPH3	0.31	2.12	104.42	0.0	83.45	285.03	2.89	7.75	0.91	3.08	0.97	17.51	25.72	0.0	1.25	0.0	8.06	3.14	18.16	0.0	1.83	1.31	0.47	0.52	7.17	0.46	5.41	0.0	3.82	0.52	17.25	12.55	42.11	18.84	3.03	43.63	0.0	0.0	0.0	0.27	8.32	1.99	226.54	76.71	4.86
KIAA1549	0.95	0.0	43.63	1.97	39.5	24.46	15.34	2.58	4.62	14.03	14.67	11.21	25.35	1.3	16.03	8.45	161.02	5.77	102.97	42.71	5.92	6.84	5.06	2.03	54.33	4.46	130.6	2.36	28.65	7.82	55.1	45.53	92.05	19.68	6.73	99.43	1.89	2.66	0.0	0.27	149.12	92.05	114.36	134.3	547.75
KRT17	334117.42	4953441.24	229795.93	408505.64	239554.43	345900.08	971597.0	542775.98	485798.0	589853.66	462789.59	453265.5	716197.51	701458.36	593956.43	524287.0	241220.67	524287.0	279017.26	542775.98	565825.41	645473.24	513497.31	368165.8	370726.6	425853.18	405683.88	546551.29	632189.57	466008.55	405683.88	443937.41	236256.4	585779.24	912837.43	313910.86	546551.29	506427.83	0.0	0.43	95949.32	365622.68	1709.26	153724.82	22692.63
KRT74	1.19	246.28	10.08	0.39	28.65	3.23	5.32	6.57	3.41	1.58	2.61	20.56	2.92	1.57	2.25	7.88	10.79	4.03	49.56	1.95	1.83	7.06	8.99	0.27	3.14	2.39	7.17	2.27	7.0	3.17	12.09	17.13	7.22	18.7	2.1	20.41	1.53	3.0	0.0	0.0	32.82	25.72	2.01	45.85	48.18
LRP3	7.88	20.86	403.5	16.88	791.35	260.38	246.28	127.0	19.68	182.55	185.11	417.77	48.18	38.12	32.59	163.28	353.59	221.86	698.41	53.57	18.03	150.17	76.17	16.75	341.51	15.91	232.94	31.22	186.4	84.04	279.14	486.75	373.81	363.56	157.68	638.15	51.35	43.94	0.0	0.83	583.07	525.39	1081.39	536.45	928.3
LTK	1.2	9.56	40.36	2.71	59.13	13.93	2.32	5.28	1.13	1.5	4.98	10.0	6.01	3.32	2.76	5.92	6.52	3.66	45.85	0.97	6.36	4.24	2.66	1.57	67.59	0.62	2.12	1.93	16.51	5.59	10.47	36.01	8.45	5.96	1.35	2.36	3.86	4.62	0.0	0.66	9.56	14.56	412.0	29.27	55.49
MAGEH1	35.25	19.68	473.41	73.03	379.04	299.25	89.51	126.12	52.82	80.01	248.0	229.72	106.63	57.08	47.84	248.0	406.31	82.29	466.88	34.75	77.25	64.34	217.27	47.5	329.84	50.63	264.03	109.66	105.15	154.42	264.03	223.41	503.95	314.17	116.78	403.5	91.41	88.26	0.0	0.61	486.75	432.53	1844.76	693.58	836.53
MAPK8IP1	43.02	1.69	127.0	39.79	158.79	104.42	32.36	13.72	6.11	21.47	62.56	34.26	101.54	10.16	8.32	60.39	72.01	22.75	121.79	26.86	20.71	20.26	21.16	7.0	91.41	35.0	52.82	34.51	9.27	32.59	118.43	114.36	166.73	33.78	18.84	149.12	18.43	9.13	0.0	0.39	107.38	44.57	112.77	144.01	129.69
MCF2L	15.45	53.95	281.09	11.82	693.58	403.5	62.56	75.64	46.84	28.86	58.71	205.5	96.68	24.28	37.05	77.79	514.56	41.52	307.69	9.06	26.1	64.34	48.18	15.91	497.0	24.28	231.32	13.52	74.58	102.97	78.34	303.44	486.75	67.12	47.84	136.19	32.13	64.34	0.0	0.97	713.11	389.72	1295.13	343.89	262.2
MGAT3	0.95	5.96	43.32	3.14	26.1	25.72	6.73	8.45	9.56	6.94	9.56	10.96	17.0	3.44	3.59	60.39	19.68	4.43	30.34	1.83	12.45	8.51	7.06	2.97	57.89	1.93	13.12	4.39	12.93	7.06	9.56	157.68	13.83	6.52	7.06	22.43	8.51	13.52	0.0	0.08	234.57	129.69	275.28	25.72	35.76
MOAP1	167.9	318.57	414.87	139.07	373.81	291.04	178.77	206.94	164.42	228.13	173.85	260.38	232.94	371.22	191.67	218.79	332.14	152.28	429.54	197.09	161.02	143.01	226.54	144.01	400.71	117.6	248.0	190.34	211.31	176.29	368.65	507.46	229.72	177.53	183.82	381.68	159.9	193.01	0.0	0.41	470.14	412.0	514.56	660.68	325.29
NPTXR	0.66	0.68	258.57	8.78	208.38	185.11	2.97	6.41	2.56	4.58	10.39	11.64	103.69	1.36	6.67	21.94	22.75	9.78	128.79	2.18	1.79	4.86	8.45	2.58	44.57	2.29	41.52	4.62	6.46	21.16	13.83	59.97	35.76	55.89	4.78	64.8	4.46	6.67	0.0	0.39	156.59	175.07	438.59	147.06	111.21
PALM	4.58	8.06	518.15	16.15	214.27	155.5	34.26	36.53	21.32	14.89	57.49	336.79	85.82	12.09	23.76	182.55	78.89	25.35	246.28	12.0	17.0	22.75	44.57	17.38	438.59	12.0	66.65	13.52	17.38	39.22	92.05	103.69	220.32	34.51	68.07	260.38	42.11	27.64	0.0	0.73	242.88	135.24	660.68	339.14	679.29
PELI2	3.03	4.24	83.45	3.56	246.28	39.79	7.34	7.46	4.58	7.17	55.1	13.62	11.13	4.82	17.0	27.25	147.06	5.73	60.39	3.86	7.28	9.78	11.91	6.31	90.77	8.51	267.73	10.88	29.06	12.83	18.7	99.43	91.41	17.64	18.03	102.97	12.74	3.63	0.0	0.61	301.33	102.97	253.23	275.28	295.11
PIANP	0.62	5.5	14.67	3.17	48.87	4.35	6.78	4.86	1.39	1.71	21.01	11.55	35.0	0.0	2.12	10.55	9.2	6.41	18.43	4.5	1.95	7.88	11.82	1.39	21.78	1.6	7.69	0.0	1.89	3.08	4.82	142.01	45.21	7.34	7.17	43.02	0.54	0.0	0.0	0.42	149.12	23.25	379.04	57.08	69.52
PIP5K1B	0.92	7.34	25.72	3.38	35.5	54.72	1.87	10.0	0.72	6.21	14.14	20.41	12.74	7.06	1.57	16.88	77.79	6.36	102.25	1.39	23.76	4.82	1.93	5.63	26.28	3.03	120.1	8.32	7.34	11.55	9.63	99.43	59.97	3.23	11.3	22.43	10.0	7.28	0.0	0.12	138.1	53.95	202.66	358.54	86.43
PNMAL2	1.5	11.82	40.64	1.75	16.63	28.04	2.66	4.54	3.53	2.18	7.82	19.97	20.71	2.16	2.58	9.93	21.32	3.82	28.45	2.61	2.01	3.14	3.99	1.46	43.63	2.39	11.73	3.0	5.87	9.85	23.08	14.67	46.5	6.01	5.36	31.9	8.51	2.48	0.0	0.06	63.89	22.26	120.1	47.17	34.51
POMC	1.22	15.22	633.73	11.64	145.02	107.38	10.24	35.25	5.11	6.36	27.05	76.17	7.11	6.41	2.14	5.06	1487.87	22.26	195.72	3.56	3.76	6.78	5.06	5.54	140.04	0.91	435.55	4.13	36.01	2.29	17.51	483.38	438.59	29.7	12.74	521.76	11.73	14.78	0.0	0.46	723.08	591.22	1183.45	743.43	232.94
PRKD1	2.46	1.22	103.69	2.94	70.51	85.82	7.51	8.13	5.15	5.73	24.46	38.4	12.64	2.39	7.4	33.3	34.02	5.02	60.82	6.11	3.66	6.11	19.11	5.15	15.8	2.25	20.71	4.54	8.19	17.0	24.63	30.34	63.0	13.32	16.88	78.89	6.78	3.66	0.0	0.46	115.16	27.64	237.86	97.36	93.35
PYGO1	0.92	0.0	34.75	2.56	59.55	45.21	2.89	7.75	1.69	1.23	11.3	14.24	5.23	1.5	3.08	11.38	43.63	2.41	21.16	3.66	1.83	2.51	5.41	1.69	36.53	1.16	10.55	2.36	1.38	3.32	33.78	49.21	73.54	13.62	4.46	43.02	2.29	1.89	0.0	0.31	86.43	63.45	143.01	82.87	131.51
RADIL	1.22	1.57	48.87	2.27	92.7	43.02	8.99	6.31	3.14	6.89	10.08	13.52	5.32	2.18	2.2	36.79	25.91	4.66	70.01	5.68	3.86	4.03	5.92	2.73	18.56	1.68	47.17	7.75	3.76	13.22	26.86	38.12	57.08	7.22	9.48	25.54	4.82	4.82	0.0	0.35	43.32	30.56	309.83	42.41	55.1
RAI2	1.85	5.19	323.03	11.13	198.47	124.37	29.06	25.91	9.48	11.91	36.79	92.7	15.91	8.51	18.43	201.25	103.69	12.55	105.15	4.7	12.18	12.64	37.05	9.13	36.01	6.52	43.94	9.93	13.62	33.78	32.59	83.45	78.34	34.26	47.84	153.34	20.11	28.65	0.0	0.48	76.17	56.28	305.55	44.25	281.09
REEP2	1.83	7.88	90.77	11.47	105.89	20.26	13.12	7.11	4.35	9.56	18.7	31.67	70.01	3.63	4.94	41.52	41.22	14.03	41.22	5.32	4.28	6.46	13.93	6.01	12.18	4.94	15.11	7.69	9.34	5.32	79.45	80.01	75.11	35.0	8.38	67.12	9.63	5.73	0.0	0.37	74.06	25.72	165.57	120.1	80.57
RGAG4	2.43	0.17	52.45	2.16	60.82	31.22	4.78	7.75	3.66	8.19	18.16	13.72	10.55	3.26	2.68	30.12	19.25	6.01	37.32	1.3	6.21	5.41	7.57	2.81	24.11	3.26	18.56	5.54	6.52	11.38	11.3	22.26	47.5	14.67	4.5	29.91	11.38	9.63	0.0	0.48	51.35	25.54	131.51	72.01	113.56
RNF180	2.12	0.09	42.41	2.68	29.7	34.02	3.17	3.72	3.53	2.61	11.73	6.73	5.32	3.14	4.17	12.74	19.11	3.86	18.56	1.95	1.13	0.62	4.39	1.06	12.09	5.68	5.87	2.23	2.43	5.32	12.09	11.21	9.48	6.84	3.86	10.08	2.92	2.66	0.0	0.26	21.63	32.13	63.0	26.47	46.18
RP11-1055B8.7	33.54	2.18	113.56	15.56	115.16	131.51	36.01	85.82	29.48	42.71	72.01	59.13	62.56	16.88	9.41	47.17	132.44	77.79	150.17	45.85	23.42	10.88	42.41	47.17	124.37	38.95	58.71	92.7	105.89	64.8	76.17	140.04	167.9	68.07	16.88	74.58	31.9	26.1	0.0	0.64	178.77	94.67	395.18	95.34	107.38
SALL2	1.55	3.92	163.28	2.86	116.78	58.71	29.48	8.78	3.53	7.63	23.59	24.99	34.02	4.58	3.0	50.63	217.27	13.93	69.52	2.29	7.34	8.92	9.56	5.19	96.01	3.86	72.01	29.06	14.78	11.47	43.94	41.22	147.06	19.82	17.25	35.76	4.82	6.16	0.0	0.31	173.85	71.0	497.0	153.34	169.07
SARM1	2.78	4.62	67.59	25.17	96.68	49.56	11.3	15.34	9.2	8.78	41.81	32.13	22.75	9.27	7.63	53.57	51.35	8.19	131.51	16.63	12.27	8.92	22.1	6.31	24.63	3.69	55.49	12.45	12.45	29.7	38.67	109.66	65.72	34.51	9.85	70.51	10.08	16.88	0.0	0.46	136.19	132.44	273.37	231.32	189.02
SLAIN1	1.53	112.77	151.22	3.38	138.1	89.51	2.81	23.59	3.26	5.92	13.52	13.93	61.68	8.71	3.92	24.28	117.6	4.86	40.93	0.96	13.42	6.31	4.58	5.41	64.34	0.0	76.71	5.96	3.89	23.08	21.47	44.57	16.39	3.5	7.17	10.0	18.56	21.47	0.0	0.29	47.5	47.5	204.07	118.43	232.94
SLC22A17	5.5	13.12	454.09	50.27	312.0	145.02	52.45	43.32	13.62	24.28	201.25	226.54	226.54	37.85	43.32	132.44	384.34	53.95	334.46	46.18	22.26	44.25	100.83	17.0	197.09	13.72	163.28	28.86	47.5	71.5	248.0	204.07	417.77	684.02	80.57	260.38	21.16	21.01	0.0	0.71	341.51	299.25	988.12	316.37	269.6
SLC29A4	6.01	18.56	135.24	9.34	269.6	111.21	24.46	47.5	59.13	52.82	40.64	51.71	29.27	24.63	15.8	40.93	316.37	24.46	115.16	8.19	36.27	10.79	17.64	21.63	80.57	14.89	231.32	21.78	21.63	35.5	95.34	153.34	343.89	147.06	61.68	185.11	22.1	43.94	0.0	0.32	336.79	232.94	332.14	255.0	305.55
SMARCD3	44.25	108.9	579.04	33.06	271.48	231.32	39.79	59.55	35.0	49.91	85.22	258.57	153.34	55.89	55.49	164.42	193.01	65.72	447.82	50.27	18.16	71.5	80.01	28.86	264.03	46.84	90.14	21.94	58.3	66.65	129.69	242.88	387.02	420.68	66.65	320.8	76.71	63.0	0.0	1.04	825.0	381.68	660.68	684.02	629.35
SPRY2	93.35	154.42	287.01	59.13	633.73	251.48	75.64	102.25	76.17	34.75	521.76	251.48	126.12	23.25	62.56	297.17	616.37	105.89	208.38	128.79	87.03	204.07	88.88	67.59	500.46	53.95	656.11	56.28	162.14	155.5	169.07	547.75	866.07	194.36	83.45	303.44	150.17	198.47	0.0	0.47	1417.35	198.47	954.43	1519.15	612.11
SV2A	2.73	7.17	133.36	6.52	92.05	23.59	12.45	7.28	5.28	7.82	34.75	17.25	43.02	4.7	3.47	28.65	61.25	7.57	137.14	7.17	5.73	5.36	16.39	3.23	18.43	4.31	44.89	7.46	9.56	10.88	76.71	120.1	111.21	81.14	14.14	50.63	6.46	4.31	0.0	0.61	287.01	153.34	358.54	376.41	368.65
