	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.DV.5576.01A.01R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13U4I.0526.SM.5LU59	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	TCGA.FL.A1YN.11A.11R.A32Y.07	GTEX.12WSG.2126.SM.5EGJ7	GTEX.132AR.1526.SM.5KM1L	GTEX.11EM3.1926.SM.5987U	GTEX.U3ZN.0726.SM.4DXT5
CTDSP2	1119.56	2591.27	3349.13	2855.44	2004.85	2537.92	547.75	860.08	743.43	1709.26	1183.45	1073.91	679.29	1498.22	1225.22	1819.35	1088.92	1745.2	1685.71	1407.55	902.89	1350.18	1447.15	1023.0	454.09	1674.06	708.18	1832.01	1001.93	1191.69	1991.0	1950.0	1073.91	1923.14	1936.53	1769.57	1388.16	1529.73	2351.53	1572.76	2004.85	2032.85	2209.26	1977.24	3257.52	4181.07	1950.0	2758.13	3589.58	4802.93	2895.31	2451.44
DCP2	221.86	389.72	239.52	212.78	163.28	206.94	64.34	47.17	46.18	164.42	70.01	88.26	110.43	86.43	108.9	102.25	242.88	99.43	88.88	53.19	86.43	65.26	92.7	90.77	66.18	111.99	49.56	98.73	126.12	88.88	158.79	173.85	173.85	172.65	144.01	135.24	131.51	147.06	175.07	119.26	166.73	177.53	155.5	201.25	218.79	157.68	112.77	217.27	253.23	277.2	186.4	189.02
DDX10	825.0	412.0	441.64	312.0	271.48	323.03	318.57	228.13	108.9	309.83	176.29	125.24	336.79	244.57	271.48	218.79	246.28	177.53	277.2	231.32	209.84	218.79	204.07	96.01	211.31	155.5	193.01	249.73	267.73	159.9	316.37	348.71	348.71	323.03	334.46	463.65	291.04	371.22	318.57	353.59	299.25	312.0	373.81	389.72	371.22	373.81	429.54	647.07	579.04	532.74	518.15	289.02
DSTYK	78.34	189.02	251.48	237.86	123.5	159.9	34.26	16.27	13.03	65.72	29.06	28.86	32.82	32.36	39.22	43.32	21.32	36.53	31.67	30.12	20.56	28.45	23.42	27.25	10.24	66.65	11.73	58.71	33.3	28.45	205.5	204.07	193.01	244.57	214.27	117.6	162.14	205.5	176.29	163.28	215.77	161.02	178.77	220.32	198.47	211.31	154.42	223.41	339.14	234.57	334.46	320.8
EIF3F	4802.93	8078.22	4450.27	5112.16	4038.61	4239.45	2796.65	2502.97	3515.68	3690.52	2240.11	3614.55	2303.12	2018.8	2664.15	3303.0	3303.0	2384.37	2855.44	2627.46	4937.99	3168.41	2555.58	3039.3	2485.67	3716.2	3874.05	3690.52	1733.13	3190.46	5366.37	6250.56	5366.37	5555.65	4736.79	6207.38	5366.37	5711.87	6652.97	5711.87	4066.71	4769.75	4607.24	5076.84	6699.25	4358.66	3901.01	9344.14	8658.09	7382.04	7382.04	8538.88
EIF4ENIF1	232.94	551.56	435.55	409.15	363.56	293.07	140.04	110.43	106.63	209.84	76.71	149.12	144.01	84.04	170.25	175.07	134.3	151.22	111.99	100.83	98.73	133.36	110.43	264.03	84.63	224.97	161.02	85.22	170.25	132.44	497.0	392.44	457.25	497.0	483.38	381.68	435.55	457.25	444.72	389.72	457.25	420.68	638.15	559.28	476.71	353.59	351.14	525.39	854.13	329.84	559.28	620.67
ELF2	361.04	780.44	595.34	571.05	371.22	420.68	142.01	206.94	125.24	403.5	244.57	197.09	348.71	277.2	334.46	265.87	220.32	289.02	180.02	231.32	187.71	463.65	183.82	293.07	177.53	253.23	361.04	215.77	301.33	186.4	638.15	647.07	620.67	607.87	669.92	395.18	450.94	579.04	595.34	400.71	571.05	521.76	480.04	647.07	660.68	651.58	476.71	665.29	1191.69	1088.92	1104.13	698.41
EPB41L2	1183.45	1304.15	808.0	1127.35	607.87	769.69	159.9	59.55	131.51	941.27	226.54	417.77	470.14	264.03	373.81	511.0	381.68	361.04	212.78	420.68	65.26	143.01	387.02	620.67	183.82	723.08	172.65	258.57	490.14	152.28	540.19	620.67	309.83	387.02	444.72	303.44	327.56	307.69	358.54	447.82	616.37	860.08	769.69	713.11	1378.57	813.63	638.15	947.83	2004.85	1081.39	1662.49	819.3
FAM175A	101.54	297.17	201.25	187.71	85.82	102.97	25.91	18.7	9.13	90.77	66.65	46.84	54.33	26.86	71.0	39.79	101.54	40.64	34.75	33.78	43.32	33.3	46.18	52.08	13.93	67.12	22.75	13.03	19.39	82.87	215.77	182.55	122.64	186.4	215.77	137.14	185.11	195.72	163.28	128.79	170.25	127.0	155.5	220.32	323.03	151.22	119.26	381.68	500.46	151.22	281.09	483.38
FOXK1	64.8	120.94	320.8	236.21	241.19	177.53	80.01	52.08	49.91	55.89	34.26	33.78	23.59	32.82	43.63	39.79	26.1	37.32	49.56	47.5	48.87	40.07	29.06	33.3	38.95	47.84	64.8	39.22	39.79	23.25	217.27	134.3	82.29	148.09	145.02	316.37	129.69	158.79	151.22	135.24	124.37	127.89	135.24	175.07	132.44	153.34	89.51	239.52	454.09	180.02	164.42	205.5
GLTSCR2	8658.09	21320.18	11035.54	9025.81	10883.59	7749.1	2835.7	3982.99	5711.87	6652.97	3103.19	5076.84	2319.15	1923.14	3443.31	4419.52	4239.45	3847.29	3103.19	3491.39	7280.4	4481.23	3639.7	6250.56	4512.4	4937.99	7911.95	4298.64	2835.7	4210.15	10959.3	10659.59	11267.44	13872.08	11112.3	7433.4	10883.59	13399.51	12853.63	11345.82	10440.2	6745.86	8963.45	12676.65	15392.14	10014.87	7032.37	26986.43	19348.38	13399.51	15285.81	18431.96
ITM2A	287.01	2004.85	1322.37	748.61	759.08	738.29	108.14	14.14	46.5	620.67	47.17	26.1	206.94	232.94	205.5	258.57	165.57	56.28	77.79	223.41	143.01	38.67	224.97	44.57	244.57	698.41	75.11	109.66	126.12	172.65	1225.22	1183.45	400.71	651.58	633.73	180.02	708.18	1030.12	1487.87	921.88	854.13	1870.53	2434.5	3820.7	2855.44	961.07	1540.37	2319.15	3235.01	698.41	6294.04	1044.52
LSM11	29.48	59.13	69.52	52.08	33.54	36.01	17.0	10.31	12.0	23.42	8.85	13.42	15.0	7.75	17.0	23.08	24.46	15.91	22.1	6.62	14.56	21.78	15.91	22.26	28.45	15.68	19.82	12.83	22.1	24.99	31.45	33.06	29.48	30.34	33.3	28.86	25.54	31.22	33.54	19.53	31.67	37.85	29.91	46.5	53.19	36.27	29.06	100.83	123.5	58.71	89.51	121.79
MAP3K3	934.76	587.13	713.11	656.11	244.57	476.71	146.03	92.7	118.43	358.54	231.32	176.29	87.65	176.29	237.86	152.28	152.28	223.41	154.42	165.57	169.07	208.38	136.19	285.03	108.14	194.36	150.17	351.14	248.0	113.56	438.59	454.09	376.41	409.15	384.34	312.0	351.14	334.46	457.25	358.54	460.44	376.41	409.15	371.22	480.04	403.5	341.51	660.68	872.1	599.49	567.1	642.59
MAP4K5	255.0	791.35	406.31	480.04	295.11	348.71	65.72	88.88	40.93	248.0	209.84	78.89	309.83	180.02	164.42	147.06	169.07	197.09	173.85	97.36	68.55	149.12	83.45	106.63	62.56	206.94	76.71	116.78	132.44	218.79	409.15	483.38	406.31	441.64	371.22	376.41	366.09	305.55	441.64	351.14	414.87	409.15	521.76	521.76	583.07	480.04	397.93	775.05	693.58	1540.37	629.35	836.53
MFF	878.17	1437.15	2485.67	2047.0	1417.35	1540.37	961.07	934.76	921.88	1001.93	1313.23	961.07	1685.71	1088.92	1030.12	1135.2	1119.56	684.02	1183.45	1135.2	974.5	1001.93	890.44	1059.11	974.5	1350.18	854.13	1104.13	974.5	1037.29	1259.69	1594.73	1540.37	1378.57	1295.13	1508.65	1540.37	1498.22	1359.57	1617.0	1304.15	1295.13	1378.57	1617.0	1277.29	1378.57	1295.13	1794.29	3303.0	1191.69	1781.89	2351.53
MYLIP	669.92	2193.99	1030.12	718.08	547.75	624.99	41.81	20.71	31.0	291.04	81.14	39.79	81.71	54.72	111.21	115.16	148.09	70.01	28.04	123.5	177.53	30.78	88.26	129.69	90.77	147.06	106.63	91.41	82.87	72.01	1674.06	1295.13	1088.92	1259.69	1477.58	688.78	961.07	1304.15	1359.57	941.27	1127.35	536.45	1023.0	2148.82	1709.26	2367.9	813.63	2271.4	1639.59	1359.57	3820.7	2935.74
PCMTD1	447.82	1159.07	988.12	1066.48	728.11	674.59	381.68	191.67	105.15	559.28	262.2	303.44	466.88	295.11	476.71	688.78	647.07	426.57	417.77	255.0	275.28	366.09	361.04	463.65	262.2	525.39	473.41	483.38	334.46	723.08	842.36	642.59	624.99	791.35	733.19	460.44	591.22	532.74	688.78	473.41	563.18	860.08	1104.13	1769.57	1605.83	1457.23	802.41	1066.48	1551.09	2209.26	723.08	1015.93
PIWIL4	8.38	52.82	28.24	41.81	45.85	17.38	8.19	5.59	4.35	56.68	4.94	25.54	20.56	5.54	13.42	15.11	8.13	6.46	2.58	12.55	5.82	18.03	9.7	7.63	15.0	285.03	6.41	12.27	10.79	9.7	33.06	67.59	22.59	32.82	39.22	19.11	33.3	44.25	46.84	33.3	37.32	28.04	30.78	33.3	73.54	49.91	21.63	64.8	100.13	78.89	72.52	38.4
POC1B	305.55	595.34	283.05	262.2	273.37	202.66	109.66	93.35	35.76	146.03	96.01	84.63	164.42	105.15	142.01	129.69	150.17	129.69	132.44	96.01	92.05	138.1	127.89	95.34	102.25	151.22	147.06	78.89	129.69	201.25	283.05	241.19	215.77	293.07	309.83	327.56	251.48	229.72	244.57	191.67	275.28	157.68	183.82	271.48	228.13	173.85	142.01	381.68	500.46	511.0	371.22	336.79
PPM1D	1104.13	267.73	246.28	356.05	106.63	256.78	44.25	87.65	65.26	163.28	88.88	62.12	128.79	112.77	103.69	126.12	111.21	133.36	87.65	62.12	143.01	137.14	76.17	130.6	88.26	109.66	95.34	92.05	115.16	138.1	173.85	186.4	166.73	147.06	158.79	130.6	162.14	131.51	197.09	117.6	126.12	165.57	165.57	220.32	193.01	234.57	124.37	316.37	397.93	320.8	242.88	262.2
RAC1	6983.79	5711.87	5954.47	7331.05	6426.31	8901.53	3395.89	2090.03	2520.38	5954.47	2935.74	3540.14	3372.43	3639.7	2895.31	3349.13	2664.15	3124.78	3081.75	2976.74	3060.45	3168.41	3280.18	5112.16	2935.74	5219.6	3372.43	3820.7	2875.3	2627.46	4607.24	4802.93	5831.91	5112.16	4543.8	6164.49	4671.57	5555.65	4769.75	4123.49	5255.91	3982.99	4802.93	5147.73	3928.15	4181.07	4543.8	5791.62	7966.99	5913.33	9740.98	7589.61
RBPJ	403.5	785.88	785.88	1096.5	414.87	775.05	148.09	169.07	107.38	339.14	173.85	165.57	348.71	269.6	217.27	217.27	244.57	232.94	205.5	253.23	92.7	246.28	166.73	273.37	193.01	253.23	339.14	241.19	194.36	211.31	825.0	753.83	656.11	902.89	813.63	796.86	616.37	703.28	753.83	525.39	764.36	688.78	674.59	738.29	1001.93	728.11	460.44	1030.12	1844.76	1331.57	1487.87	1605.83
RBPMS	2609.3	5041.77	5255.91	4450.27	3820.7	6121.9	1437.15	1651.0	1259.69	3039.3	733.19	1030.12	1151.06	1135.2	2224.63	1369.04	1037.29	1407.55	1529.73	1199.98	529.06	2720.15	647.07	1268.46	1477.58	2816.11	1685.71	2976.74	2047.0	928.3	5112.16	4450.27	4298.64	5441.3	5041.77	4388.98	4836.35	5479.15	5329.3	5517.27	4903.87	3443.31	3419.52	4388.98	3303.0	4268.94	3794.3	4210.15	9876.98	5555.65	8901.53	2384.37
RERE	525.39	1605.83	1769.57	1216.75	775.05	1001.93	211.31	180.02	232.94	679.29	239.52	406.31	145.02	177.53	289.02	363.56	305.55	190.34	318.57	334.46	397.93	271.48	426.57	473.41	128.79	438.59	295.11	265.87	318.57	265.87	1277.29	1199.98	1059.11	1628.26	1529.73	607.87	1388.16	1467.37	1242.34	1313.23	1457.23	1477.58	1427.22	1216.75	1745.2	1870.53	974.5	2468.49	5403.7	2303.12	2104.58	3742.05
RIMS3	9.93	6.57	18.16	20.86	157.68	11.47	4.31	1.35	6.84	18.84	3.35	7.17	6.21	4.74	11.82	8.92	5.87	6.41	7.11	17.77	1.62	3.86	7.63	5.63	5.54	20.41	2.76	4.82	6.94	5.19	25.72	21.16	11.13	21.47	27.05	11.82	12.09	15.22	12.18	12.0	29.91	20.71	15.68	74.06	41.52	29.91	11.04	37.59	92.05	38.95	81.14	55.89
RLF	156.59	138.1	303.44	264.03	136.19	156.59	32.82	64.34	20.56	70.01	53.57	45.21	87.65	76.17	66.65	58.3	53.95	76.17	45.85	52.08	80.01	58.3	37.85	61.25	81.71	62.12	96.01	59.55	67.59	58.71	148.09	147.06	117.6	162.14	145.02	123.5	126.12	103.69	111.99	107.38	123.5	130.6	133.36	166.73	172.65	143.01	90.77	163.28	271.48	91.41	149.12	173.85
RNF144A	171.45	808.0	381.68	438.59	37.05	129.69	12.64	6.52	13.83	113.56	22.92	16.75	30.12	13.32	24.11	36.01	118.43	34.02	11.55	18.84	7.06	29.91	36.01	46.5	15.22	23.59	21.16	21.78	27.64	26.1	157.68	202.66	140.04	242.88	277.2	93.35	172.65	183.82	217.27	205.5	165.57	98.73	75.64	72.01	275.28	244.57	52.08	638.15	860.08	947.83	146.03	915.51
RNF38	165.57	536.45	536.45	507.46	220.32	373.81	74.58	77.79	100.83	239.52	88.26	104.42	164.42	109.66	190.34	218.79	198.47	146.03	124.37	126.12	140.04	157.68	137.14	215.77	102.97	154.42	165.57	187.71	140.04	138.1	473.41	476.71	441.64	660.68	507.46	220.32	403.5	511.0	441.64	371.22	511.0	417.77	511.0	629.35	638.15	466.88	389.72	620.67	679.29	497.0	854.13	961.07
TAB1	209.84	518.15	376.41	305.55	348.71	297.17	281.09	199.85	297.17	299.25	198.47	273.37	158.79	131.51	264.03	220.32	258.57	241.19	234.57	273.37	212.78	281.09	255.0	236.21	258.57	229.72	269.6	166.73	220.32	267.73	406.31	356.05	327.56	417.77	336.79	346.29	406.31	435.55	346.29	351.14	454.09	441.64	384.34	412.0	536.45	406.31	414.87	591.22	638.15	309.83	438.59	414.87
TTBK2	29.91	83.45	90.77	106.63	58.71	72.01	18.7	19.82	21.78	47.84	26.86	16.88	37.05	20.11	33.78	44.57	37.59	38.12	22.43	28.86	20.56	32.82	24.63	29.48	32.82	59.55	27.44	26.47	42.41	36.79	63.45	84.04	64.34	70.51	82.87	44.57	56.28	50.98	63.89	46.18	72.01	80.01	84.04	108.14	125.24	128.79	61.25	90.14	134.3	253.23	88.26	80.01
TTC23	42.71	215.77	358.54	361.04	323.03	273.37	151.22	76.71	129.69	204.07	82.87	166.73	107.38	164.42	198.47	151.22	167.9	173.85	81.71	115.16	88.88	105.89	178.77	190.34	164.42	189.02	129.69	72.01	161.02	129.69	339.14	371.22	301.33	312.0	231.32	218.79	167.9	297.17	281.09	265.87	358.54	387.02	212.78	341.51	403.5	339.14	281.09	435.55	743.43	305.55	318.57	483.38
UPF2	403.5	248.0	329.84	232.94	172.65	217.27	158.79	102.25	38.12	248.0	149.12	164.42	265.87	215.77	180.02	242.88	279.14	166.73	151.22	212.78	145.02	214.27	224.97	246.28	105.89	177.53	175.07	150.17	183.82	182.55	291.04	397.93	277.2	368.65	351.14	195.72	232.94	264.03	297.17	260.38	336.79	291.04	327.56	412.0	376.41	409.15	329.84	366.09	500.46	368.65	336.79	412.0
VGLL4	1073.91	2075.59	1519.15	1561.89	995.0	1378.57	195.72	143.01	157.68	480.04	137.14	157.68	157.68	139.07	232.94	269.6	229.72	217.27	122.64	180.02	131.51	212.78	211.31	165.57	253.23	738.29	269.6	236.21	153.34	180.02	1487.87	1427.22	1008.9	1639.59	1350.18	1111.82	836.53	1277.29	1183.45	1605.83	1151.06	1519.15	1250.98	1331.57	2061.24	2075.59	1286.18	2119.22	2417.67	2627.46	1331.57	2384.37
WDR82	848.22	1242.34	1051.79	1268.46	961.07	796.86	307.69	327.56	299.25	764.36	543.96	343.89	665.29	603.67	450.94	579.04	483.38	521.76	543.96	656.11	403.5	486.75	486.75	493.56	343.89	587.13	309.83	426.57	444.72	441.64	1304.15	1233.75	1127.35	1135.2	1286.18	915.51	961.07	1135.2	1015.93	1008.9	1135.2	1073.91	1508.65	1407.55	1286.18	1199.98	1242.34	1651.0	1745.2	1551.09	1844.76	2351.53
YTHDC1	769.69	1350.18	1369.04	1073.91	860.08	872.1	269.6	420.68	269.6	785.88	447.82	346.29	802.41	633.73	420.68	708.18	543.96	624.99	457.25	595.34	599.49	525.39	441.64	638.15	438.59	660.68	603.67	473.41	435.55	389.72	1159.07	1487.87	921.88	1277.29	1159.07	785.88	1127.35	1127.35	1437.15	1135.2	1225.22	1143.1	1477.58	1733.13	1709.26	1870.53	1127.35	1639.59	2319.15	2119.22	1447.15	1397.83
ZBTB26	58.3	172.65	76.71	87.03	32.36	60.82	17.77	9.7	8.85	35.25	14.14	19.53	31.45	9.2	35.76	33.06	27.44	27.84	12.27	17.9	12.45	14.78	22.1	31.67	23.25	37.05	14.24	12.18	32.82	30.12	127.0	142.01	115.16	151.22	133.36	75.11	92.05	119.26	126.12	97.36	127.0	125.24	121.79	208.38	157.68	178.77	135.24	167.9	170.25	262.2	164.42	287.01
ZCCHC7	197.09	373.81	242.88	327.56	185.11	195.72	117.6	87.65	31.9	144.01	103.69	74.58	165.57	124.37	98.04	140.04	111.99	69.52	67.12	104.42	63.0	80.01	113.56	100.13	117.6	152.28	84.04	72.52	126.12	70.01	346.29	305.55	267.73	291.04	262.2	241.19	285.03	339.14	297.17	229.72	262.2	255.0	271.48	420.68	291.04	289.02	242.88	358.54	429.54	547.75	466.88	327.56
ZFP36L2	748.61	6745.86	1923.14	1950.0	4123.49	3349.13	514.56	1199.98	753.83	1832.01	836.53	583.07	1088.92	3124.78	896.64	860.08	1175.27	1322.37	1295.13	1870.53	1437.15	2047.0	738.29	1388.16	915.51	813.63	808.0	2119.22	703.28	555.41	3325.99	3419.52	2335.28	2701.35	2720.15	1870.53	2855.44	2240.11	2758.13	1709.26	3874.05	3491.39	4704.07	9740.98	5995.9	3768.09	4937.99	4736.79	8247.98	4298.64	5633.22	4328.55
ZNF343	78.34	151.22	228.13	154.42	136.19	90.77	84.63	77.25	50.98	110.43	30.56	81.14	80.01	66.65	97.36	61.68	55.49	65.72	73.03	53.95	49.91	100.83	81.14	49.21	49.91	60.82	80.57	50.98	46.84	73.03	175.07	187.71	153.34	146.03	171.45	108.9	154.42	153.34	201.25	146.03	171.45	159.9	154.42	208.38	209.84	193.01	148.09	186.4	239.52	251.48	172.65	181.28
ZNF526	112.77	86.43	123.5	86.43	91.41	66.18	59.13	44.25	38.12	59.13	52.08	47.17	48.18	59.13	49.21	59.13	47.5	60.39	37.85	73.54	38.67	58.3	50.63	43.32	29.7	79.45	40.64	41.52	48.52	72.52	114.36	104.42	80.57	84.04	110.43	108.14	62.56	103.69	81.71	63.89	99.43	97.36	111.99	108.9	105.15	120.94	108.14	148.09	131.51	96.01	89.51	92.05
