	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.E7.A97P.01A.11R.A38B.07	TCGA.VS.A953.01A.11R.A38B.07	TCGA.VS.AA62.01A.11R.A42T.07	TCGA.MA.AA3Z.01A.11R.A38B.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.MY.A913.01A.11R.A37O.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.EK.A2H0.01A.11R.A180.07	GTEX.146FR.0426.SM.5SI97	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.D6.6825.01A.21R.1915.07	TCGA.CQ.5325.01A.01R.1686.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.DQ.5625.01A.01R.1873.07	TCGA.CR.7373.01A.11R.2016.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.H7.8501.01A.11R.2403.07	TCGA.CN.4736.01A.01R.1436.07	TCGA.UF.A7JO.01A.11R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.6017.01A.11R.1686.07	TCGA.T2.A6WX.01A.12R.A34R.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.5334.01A.01R.1686.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.7068.01A.11R.2081.07	TCGA.CQ.A4C6.01A.11R.A24Z.07	TCGA.CV.A6JO.01B.11R.A34R.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.62.8402.01A.11R.2326.07	TCGA.95.7562.01A.11R.2241.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.WHPG.1426.SM.3NMBB	GTEX.13NZA.1426.SM.5KM4Y	GTEX.POMQ.0526.SM.3GADD	GTEX.OIZG.0526.SM.2HMLF	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.WYVS.2026.SM.4RGNS	TCGA.HU.8608.01A.11R.2402.13	TCGA.HU.8602.01A.11R.2402.13	TCGA.B7.A5TK.01A.12R.A36D.31	TCGA.FP.7998.01A.11R.2203.13	TCGA.BR.4253.01A.01R.1131.13	TCGA.D7.A4YX.01A.11R.A251.31	GTEX.WHPG.0426.SM.4M1XW	GTEX.12WSH.0226.SM.5GCOG	GTEX.14A5H.0726.SM.5Q5DW	GTEX.13O1R.0826.SM.5J2MB
CYGB	100.13	36.79	201.25	40.07	120.1	69.52	14.67	264.03	69.03	139.07	220.32	138.1	88.26	142.01	334.46	69.52	100.13	669.92	92.05	146.03	212.78	236.21	122.64	45.21	273.37	183.82	45.21	180.02	166.73	142.01	112.77	94.01	133.36	78.34	264.03	164.42	186.4	392.44	69.52	146.03	130.6	1322.37	1073.91	1001.93	934.76	679.29	1594.73	532.74	764.36	172.65	890.44	753.83	571.05	890.44	59.13	583.07	156.59	665.29	723.08	163.28	379.04	1059.11	529.06	397.93	974.5
DCLK2	0.96	2.89	17.25	4.9	17.25	1.99	5.45	5.5	8.71	2.03	22.59	5.23	7.69	15.91	12.74	2.03	10.63	3.99	4.03	5.54	6.73	17.25	10.88	2.32	35.5	4.43	3.53	15.34	6.31	5.41	8.45	3.32	11.04	6.52	27.44	7.28	7.94	5.59	6.41	26.28	44.57	88.88	258.57	90.14	329.84	129.69	208.38	59.97	119.26	48.52	71.0	180.02	148.09	159.9	13.72	17.51	10.24	57.49	91.41	17.51	12.36	29.27	100.13	175.07	83.45
ELMO1	54.33	120.1	124.37	30.12	171.45	68.55	76.71	63.45	297.17	33.06	185.11	226.54	167.9	234.57	336.79	164.42	161.02	128.79	31.22	234.57	149.12	371.22	147.06	36.01	571.05	153.34	39.79	198.47	105.15	63.0	136.19	173.85	82.87	99.43	420.68	115.97	307.69	176.29	127.0	612.11	120.94	836.53	1015.93	819.3	1844.76	693.58	1369.04	343.89	450.94	647.07	1066.48	1561.89	1447.15	902.89	153.34	381.68	132.44	384.34	679.29	356.05	144.01	181.28	633.73	1081.39	262.2
ELTD1	31.9	35.76	194.36	18.84	71.5	26.67	14.45	66.65	57.08	12.93	291.04	107.38	74.58	159.9	186.4	39.5	143.01	92.05	26.67	209.84	161.02	185.11	56.68	57.89	316.37	62.56	57.89	271.48	78.34	78.89	100.83	48.18	93.35	76.17	271.48	75.64	135.24	108.9	116.78	117.6	110.43	902.89	1350.18	551.56	217.27	1477.58	547.75	432.53	480.04	713.11	764.36	476.71	540.19	1794.29	116.78	417.77	201.25	497.0	395.18	373.81	113.56	98.73	579.04	884.29	190.34
F2RL3	7.94	5.36	18.16	2.92	16.39	2.73	3.92	14.89	17.64	9.48	51.35	43.94	26.67	32.13	45.21	12.27	30.56	48.52	10.31	26.86	42.41	13.42	42.41	10.88	45.85	11.82	7.69	38.4	17.77	9.2	19.68	10.55	14.24	18.03	63.89	43.02	57.49	33.3	9.93	50.98	71.5	336.79	94.01	102.97	490.14	31.45	796.86	39.5	583.07	59.55	96.68	96.01	124.37	130.6	6.89	190.34	103.69	154.42	269.6	31.22	19.53	32.36	698.41	191.67	228.13
FAM162B	0.95	2.86	12.27	0.95	8.19	1.22	0.84	2.94	11.91	2.56	43.32	9.85	6.84	18.97	40.93	5.54	37.85	8.38	3.5	25.91	19.53	51.35	1.71	7.22	82.29	12.09	1.01	40.36	7.34	4.86	9.27	6.31	17.13	3.35	36.79	21.16	43.32	22.1	10.96	14.03	24.63	480.04	947.83	660.68	802.41	1369.04	379.04	316.37	571.05	297.17	514.56	921.88	363.56	529.06	15.91	40.93	18.7	52.08	49.91	60.39	28.24	32.59	151.22	26.47	43.63
FAT4	1.23	1.28	10.31	1.16	7.28	1.39	0.45	3.03	1.83	0.48	32.36	14.89	5.54	20.11	24.81	1.23	3.99	3.47	1.19	10.39	2.73	17.38	4.28	1.83	59.97	1.89	4.1	9.7	2.63	7.17	5.19	2.53	4.1	1.27	32.13	5.32	5.11	5.02	11.13	6.94	8.85	633.73	231.32	104.42	76.71	109.66	536.45	144.01	84.04	69.03	113.56	90.77	95.34	420.68	14.14	29.06	8.45	18.84	41.52	10.88	10.16	23.59	47.84	44.57	35.5
FBXL7	4.31	6.36	49.21	3.35	21.32	2.2	2.63	12.0	14.89	2.86	115.16	25.54	17.38	49.56	64.34	14.56	34.51	15.8	13.22	31.67	22.26	76.71	16.75	9.06	124.37	6.94	16.51	97.36	19.97	15.68	18.16	9.85	30.12	15.68	108.9	21.47	35.25	19.53	15.91	25.72	35.5	195.72	185.11	256.78	397.93	277.2	336.79	82.29	497.0	112.77	275.28	320.8	423.61	334.46	62.12	61.25	40.64	125.24	144.01	43.02	30.78	82.29	134.3	91.41	35.0
FGD5	13.52	24.28	53.19	15.0	86.43	18.84	27.44	28.65	54.72	12.55	158.79	98.04	95.34	167.9	119.26	75.64	85.22	59.13	25.17	111.99	46.18	171.45	102.97	25.35	275.28	38.12	30.34	121.79	56.28	36.01	73.03	35.0	46.5	31.9	190.34	40.36	74.06	62.56	34.75	83.45	88.88	529.06	1467.37	802.41	441.64	371.22	414.87	423.61	2193.99	785.88	1923.14	693.58	371.22	409.15	126.12	143.01	91.41	135.24	277.2	108.14	58.3	103.69	217.27	111.99	104.42
FLT4	10.08	13.22	49.91	8.0	36.79	72.52	5.28	48.87	21.78	5.77	109.66	62.56	52.45	166.73	84.63	9.41	122.64	82.87	10.39	100.83	23.93	60.39	12.55	24.46	323.03	29.91	21.78	208.38	31.45	19.11	40.93	18.03	24.99	21.32	170.25	30.12	50.27	42.71	21.32	101.54	75.64	896.64	397.93	500.46	559.28	476.71	293.07	248.0	1583.71	253.23	521.76	303.44	703.28	854.13	26.86	234.57	68.55	171.45	285.03	81.71	64.34	43.63	854.13	239.52	503.95
GPR4	22.75	34.51	102.97	21.32	50.63	14.67	8.85	50.63	40.07	12.93	48.52	93.35	49.91	94.01	82.87	31.0	56.68	62.56	23.42	105.89	47.5	90.14	29.27	58.3	170.25	47.84	46.5	201.25	59.55	40.64	44.89	30.78	57.89	28.45	123.5	43.32	87.03	61.25	64.8	91.41	65.72	1135.2	1674.06	587.13	633.73	1721.16	693.58	346.29	669.92	170.25	260.38	679.29	1081.39	1963.57	52.82	267.73	130.6	217.27	195.72	256.78	143.01	97.36	346.29	738.29	183.82
HGF	2.16	6.01	27.25	5.87	13.12	4.03	5.68	4.21	6.31	2.51	32.59	17.9	8.25	21.94	19.97	8.99	5.77	6.67	1.99	18.56	29.27	31.45	10.08	1.51	65.72	7.34	3.23	24.63	6.06	11.91	6.67	6.16	12.74	7.0	38.12	22.43	15.0	18.97	10.31	40.93	31.22	1457.23	1397.83	995.0	563.18	6294.04	1208.34	249.73	57.89	253.23	295.11	1709.26	1151.06	3325.99	27.64	142.01	19.11	75.64	155.5	67.59	24.63	74.06	215.77	201.25	120.1
HSPA12B	10.96	12.64	47.84	8.45	31.22	20.41	4.5	22.26	22.59	8.38	100.13	42.41	32.59	52.45	101.54	12.55	48.18	23.93	13.32	70.51	17.25	78.89	30.56	11.91	189.02	23.76	16.03	58.3	16.03	15.45	25.17	13.62	23.42	15.0	170.25	33.54	17.77	35.25	22.1	24.63	33.06	204.07	406.31	163.28	543.96	134.3	171.45	301.33	1832.01	353.59	1001.93	450.94	293.07	113.56	25.91	113.56	50.98	93.35	193.01	71.0	33.06	44.25	91.41	43.63	45.85
JAM2	6.16	7.94	55.49	36.27	35.5	8.38	4.86	11.04	66.65	10.71	206.94	45.21	22.59	88.26	132.44	24.99	50.98	22.59	8.06	46.18	47.5	172.65	37.59	10.16	258.57	15.56	21.32	81.14	42.11	22.92	40.07	11.13	27.44	20.11	189.02	49.56	43.94	38.95	12.93	35.25	54.33	961.07	1594.73	1037.29	500.46	909.17	529.06	748.61	1216.75	708.18	1594.73	1225.22	1242.34	802.41	175.07	36.01	54.33	217.27	204.07	38.67	34.02	190.34	323.03	332.14	126.12
JAM3	29.91	32.36	133.36	57.49	53.19	17.25	17.51	41.52	43.32	15.0	246.28	55.49	67.12	101.54	163.28	32.13	105.15	41.52	37.85	68.55	69.03	221.86	53.57	32.82	269.6	37.32	33.3	149.12	63.45	42.71	44.57	24.11	93.35	31.67	223.41	57.89	72.52	57.89	53.19	204.07	117.6	1745.2	1697.45	830.75	2133.97	909.17	1388.16	307.69	2573.36	248.0	607.87	1216.75	1167.14	3874.05	423.61	151.22	69.52	486.75	409.15	112.77	89.51	291.04	536.45	329.84	193.01
KIAA1462	26.86	30.34	145.02	13.22	57.49	16.15	8.0	47.84	59.97	7.28	201.25	73.54	53.95	105.15	98.73	40.36	90.14	40.64	26.28	102.25	48.18	152.28	96.01	28.45	273.37	49.56	30.34	236.21	53.57	46.5	55.1	27.64	52.82	40.64	256.78	43.02	81.14	53.19	40.64	100.13	131.51	1359.57	1340.84	723.08	1208.34	909.17	603.67	616.37	4358.66	591.22	3982.99	830.75	988.12	1388.16	57.89	232.94	120.1	271.48	438.59	98.04	91.41	52.45	536.45	156.59	189.02
LDB2	18.7	19.82	92.05	13.62	66.18	17.77	11.04	40.07	62.56	22.75	255.0	71.5	80.57	129.69	115.16	55.89	124.37	53.19	21.47	92.05	80.01	186.4	32.13	34.26	277.2	36.01	33.78	217.27	49.21	49.21	64.34	26.47	59.13	39.79	193.01	62.56	99.43	55.49	53.95	69.52	92.7	2047.0	3874.05	974.5	1709.26	2061.24	1709.26	1159.07	2451.44	2119.22	1617.0	2303.12	2997.45	2104.58	141.02	170.25	42.71	178.77	264.03	183.82	77.79	103.69	490.14	438.59	167.9
LIN7A	1.89	1.95	11.13	1.08	3.96	1.04	2.29	2.56	7.69	1.77	20.86	5.77	5.54	9.41	20.56	4.74	7.82	7.17	3.08	9.06	11.82	17.77	7.4	1.1	28.45	6.36	4.78	19.82	2.84	3.14	9.13	1.66	9.93	6.67	21.94	5.73	12.83	7.75	3.82	10.0	22.1	536.45	116.78	141.02	454.09	289.02	115.16	89.51	215.77	116.78	95.34	221.86	248.0	638.15	6.26	22.75	17.0	17.51	22.43	15.34	8.0	12.55	265.87	115.97	121.79
MMRN2	62.12	153.34	204.07	94.01	122.64	49.56	162.14	178.77	92.7	59.55	275.28	214.27	279.14	460.44	327.56	156.59	281.09	307.69	197.09	320.8	154.42	351.14	123.5	346.29	503.95	212.78	231.32	473.41	486.75	285.03	165.57	197.09	323.03	159.9	447.82	500.46	251.48	217.27	116.78	91.41	64.34	1844.76	3190.46	1769.57	928.3	1487.87	1277.29	1135.2	1529.73	780.44	1340.84	1359.57	2075.59	2303.12	256.78	265.87	164.42	327.56	507.46	113.56	114.36	102.97	480.04	454.09	193.01
MYCT1	7.34	14.78	56.68	8.32	30.34	8.06	4.62	20.11	20.11	5.63	87.03	45.21	44.89	94.67	97.36	11.55	104.42	36.01	16.51	78.89	43.32	82.29	11.82	27.84	237.86	24.99	21.01	119.26	20.26	25.54	42.71	14.78	36.01	29.7	111.99	34.02	53.95	36.27	29.48	38.12	34.26	638.15	860.08	483.38	232.94	718.08	327.56	656.11	1191.69	551.56	500.46	463.65	1088.92	1151.06	75.64	100.13	49.21	98.73	114.36	92.05	40.36	56.68	229.72	126.12	70.01
OLFML1	10.39	6.62	39.5	4.54	37.05	11.04	6.21	21.32	38.12	3.11	132.44	50.63	19.68	96.68	143.01	20.86	60.82	26.86	19.82	52.45	65.72	165.57	36.27	9.78	223.41	12.27	15.34	136.19	36.27	26.47	33.78	18.97	52.82	19.53	189.02	41.22	44.89	36.79	30.78	38.4	67.59	325.29	460.44	514.56	733.19	397.93	1151.06	503.95	224.97	647.07	854.13	872.1	1127.35	503.95	88.26	63.45	36.01	156.59	162.14	69.52	53.57	141.02	94.67	68.07	55.89
PCDH12	9.13	15.34	57.49	12.18	31.22	7.82	6.46	35.76	15.68	7.11	29.7	41.22	24.46	75.11	42.71	15.8	50.27	37.59	10.47	65.72	36.01	57.08	21.01	18.29	127.0	29.91	20.26	134.3	35.76	23.59	37.85	18.56	21.01	11.91	94.01	22.92	52.08	26.67	24.99	32.59	49.56	334.46	981.29	226.54	384.34	1175.27	143.01	293.07	1268.46	283.05	764.36	603.67	684.02	1397.83	26.28	164.42	72.52	84.04	147.06	79.45	45.85	30.12	71.0	57.89	40.36
PHACTR1	3.35	4.1	13.12	10.16	16.03	5.68	8.32	21.01	13.52	6.06	21.01	35.0	28.24	48.18	50.27	7.22	11.73	25.35	2.43	24.11	26.28	34.02	17.51	15.22	85.82	20.26	7.34	41.22	10.47	5.41	19.68	8.45	15.68	20.86	38.67	11.64	22.43	21.32	12.93	27.05	84.04	764.36	842.36	638.15	460.44	785.88	441.64	896.64	281.09	381.68	511.0	748.61	954.43	693.58	21.32	111.21	146.03	41.52	190.34	61.68	27.64	39.79	48.87	126.12	34.02
PREX2	1.55	2.23	8.19	1.28	10.39	1.53	0.84	4.82	4.31	1.22	33.78	8.78	5.54	27.25	13.52	3.0	7.69	5.28	1.16	8.92	8.99	24.11	4.94	4.66	41.52	3.56	3.72	13.62	4.03	5.63	7.06	2.16	5.5	6.26	18.29	4.98	24.63	6.89	5.19	81.71	84.04	518.15	753.83	211.31	153.34	223.41	191.67	64.8	45.85	95.34	103.69	281.09	248.0	185.11	25.54	38.67	25.91	34.75	43.02	23.76	14.03	28.04	134.3	921.88	267.73
PTGIR	8.25	9.13	31.9	8.51	25.91	6.62	8.71	47.17	39.5	5.68	41.81	23.76	20.11	30.34	68.07	14.14	13.12	43.94	28.24	46.5	27.64	59.97	29.7	13.72	100.13	24.46	8.06	55.1	27.05	25.35	18.43	15.22	80.57	26.67	59.55	53.19	31.22	28.04	22.26	62.56	50.98	1721.16	1781.89	961.07	854.13	1143.1	1407.55	267.73	314.17	253.23	320.8	1001.93	718.08	785.88	34.26	93.35	70.51	181.28	167.9	28.86	29.27	65.72	189.02	343.89	314.17
RAB27A	336.79	769.69	769.69	131.51	698.41	457.25	503.95	373.81	463.65	343.89	1286.18	583.07	473.41	713.11	703.28	363.56	339.14	384.34	242.88	688.78	665.29	583.07	400.71	195.72	684.02	603.67	260.38	447.82	525.39	229.72	674.59	514.56	339.14	403.5	616.37	660.68	759.08	325.29	514.56	669.92	647.07	3018.3	1059.11	2271.4	1540.37	5913.33	2319.15	3081.75	941.27	1457.23	941.27	1397.83	1977.24	4769.75	896.64	1225.22	728.11	872.1	1001.93	1639.59	603.67	3060.45	1088.92	3325.99	2835.7
RHOJ	19.11	15.45	84.04	11.64	34.51	14.56	7.22	50.63	32.13	5.82	108.9	63.45	52.45	133.36	92.05	17.38	71.5	52.08	16.63	83.45	63.89	138.1	30.12	23.76	289.02	30.78	37.32	164.42	31.67	31.67	38.95	20.86	45.85	27.25	237.86	43.32	69.52	50.63	33.54	54.72	39.79	934.76	1331.57	1066.48	896.64	2367.9	406.31	624.99	884.29	521.76	674.59	825.0	1844.76	2555.58	139.07	120.94	98.04	241.19	267.73	84.63	43.02	169.07	262.2	599.49	177.53
S1PR1	28.45	31.67	112.77	16.27	85.82	29.06	9.56	58.71	94.01	12.74	356.05	171.45	94.67	197.09	289.02	24.63	126.12	108.9	24.81	201.25	157.68	251.48	69.52	40.36	591.22	39.22	42.71	241.19	65.26	40.07	98.73	38.95	95.34	48.52	363.56	85.82	162.14	100.83	83.45	139.07	126.12	7280.4	10440.2	1088.92	4769.75	2303.12	8598.28	2271.4	5219.6	1685.71	3639.7	1551.09	7589.61	8363.13	121.79	497.0	264.03	366.09	825.0	271.48	136.19	164.42	1529.73	1769.57	497.0
SCARF1	27.44	51.71	202.66	29.7	85.22	56.68	67.59	72.52	70.51	14.78	111.99	76.17	98.04	121.79	93.35	53.95	85.22	73.54	21.78	108.14	82.87	110.43	98.73	25.91	242.88	91.41	29.27	131.51	387.02	40.36	62.56	60.39	66.18	48.87	145.02	50.27	133.36	64.34	82.87	128.79	80.01	1259.69	3847.29	2591.27	426.57	5329.3	273.37	480.04	1359.57	297.17	409.15	1023.0	1119.56	2075.59	73.03	417.77	253.23	138.1	336.79	95.34	75.64	102.25	346.29	543.96	287.01
ST6GALNAC3	3.06	1.89	9.34	0.84	9.2	1.41	0.74	2.41	5.02	0.0	22.26	6.36	8.85	19.68	32.36	1.66	8.71	3.59	2.27	8.32	15.56	15.0	4.39	3.99	12.09	4.06	3.86	13.93	8.06	2.61	3.76	3.63	4.98	7.94	12.0	8.65	12.83	7.11	7.75	12.36	70.01	389.72	141.02	88.26	38.12	162.14	127.89	40.07	353.59	42.41	75.11	97.36	111.21	450.94	21.47	16.75	9.06	24.11	32.36	33.3	6.01	15.8	146.03	884.29	281.09
