	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XV.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.EW.A1PF.01A.11R.A144.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07
DCLK2	48.87	9.27	42.11	96.68	12.45	13.22	7.88	37.05	20.56	29.7	20.71	18.97	10.16	27.44	78.89	25.17	56.68	21.63	17.51	68.07	11.82	25.17	15.45	33.78	31.22	67.59	87.65	20.41	16.15	36.53	40.64	23.59	18.29	76.71	58.3	43.32	29.27	2.84	11.21	151.22	102.97	43.63	33.54	17.77	25.35	14.67	28.24	12.45	3.72	40.93	3.35	10.71	16.39	42.41	4.98
DZIP1	126.12	26.47	46.5	305.55	22.1	27.44	17.38	120.1	41.52	139.07	20.11	64.8	20.71	53.57	79.45	11.91	122.64	44.57	40.07	98.73	23.93	69.03	43.94	102.97	55.1	211.31	151.22	40.07	9.34	154.42	80.57	53.95	22.26	154.42	120.94	63.45	100.83	16.03	19.25	332.14	159.9	35.5	55.1	51.35	30.34	24.46	52.08	17.77	3.44	56.28	15.56	39.5	15.22	62.12	5.02
FAM126A	134.3	33.78	50.27	212.78	40.93	26.1	36.27	149.12	40.93	201.25	26.1	80.01	32.59	37.59	60.39	24.99	155.5	63.45	32.13	91.41	15.91	108.14	36.79	80.57	55.49	187.71	154.42	50.63	26.86	115.16	77.79	100.13	29.48	161.02	147.06	91.41	66.18	14.03	19.97	241.19	181.28	26.67	29.06	43.94	33.78	15.8	64.8	24.99	2.16	37.85	17.77	25.35	17.77	95.34	7.51
FAM26E	33.54	15.34	26.47	120.1	7.34	13.42	7.06	42.41	15.68	42.11	9.34	21.16	12.74	26.28	36.01	10.16	60.82	19.25	13.22	72.01	9.7	31.22	19.11	58.3	29.91	141.02	77.25	22.75	6.62	63.0	39.5	36.79	16.63	78.34	58.3	53.19	42.71	4.78	8.99	183.82	90.77	8.38	40.64	23.76	23.25	7.11	27.05	24.81	0.61	17.0	4.24	5.59	5.02	58.3	0.62
FAP	1135.2	138.1	473.41	4123.49	432.53	389.72	172.65	1359.57	356.05	1030.12	201.25	665.29	297.17	651.58	1662.49	105.89	1259.69	819.3	316.37	1477.58	299.25	638.15	624.99	1674.06	791.35	3540.14	2758.13	529.06	66.65	2400.97	1167.14	825.0	249.73	1857.6	1529.73	1111.82	1551.09	38.95	208.38	4038.61	1963.57	175.07	1208.34	417.77	279.14	332.14	928.3	19.82	29.7	409.15	37.05	127.0	86.43	1127.35	81.14
FAT3	6.84	0.32	1.79	20.56	0.59	2.68	0.0	15.22	3.41	10.71	0.0	4.24	2.66	5.96	6.94	0.65	5.77	4.39	2.46	12.93	1.71	1.69	0.34	10.31	2.43	31.9	24.81	3.17	0.31	10.63	3.76	5.68	1.38	15.45	11.82	10.16	14.45	0.0	1.91	35.25	22.26	0.32	5.82	3.53	1.79	1.77	4.9	0.58	0.0	3.69	0.31	0.36	0.0	18.43	0.29
FBN1	1183.45	316.37	718.08	7642.41	353.59	403.5	186.4	1896.65	540.19	1561.89	348.71	703.28	500.46	1015.93	1417.35	204.07	2303.12	836.53	463.65	3303.0	429.54	981.29	808.0	3212.66	967.76	8078.22	3168.41	995.0	166.73	2090.03	1896.65	1259.69	389.72	3820.7	3742.05	2119.22	2319.15	49.56	229.72	8305.36	5255.91	246.28	1508.65	738.29	559.28	555.41	1233.75	223.41	11.91	595.34	122.64	132.44	164.42	2777.33	29.7
FOXO1	307.69	57.49	38.95	316.37	54.33	64.8	34.51	217.27	57.08	327.56	83.45	155.5	31.45	84.63	140.04	94.67	212.78	74.06	91.41	132.44	50.27	132.44	74.58	118.43	108.14	255.0	193.01	61.68	112.77	182.55	129.69	77.79	55.89	197.09	183.82	172.65	194.36	46.5	34.02	269.6	241.19	57.08	98.73	83.45	98.73	84.04	121.79	20.86	39.79	74.58	79.45	41.52	60.82	115.16	52.82
GALNT15	117.6	5.06	13.72	400.71	11.91	25.35	4.46	239.52	46.18	97.36	21.01	30.78	24.11	17.64	66.18	7.17	53.57	18.29	25.54	409.15	27.25	64.8	31.9	167.9	48.87	988.12	43.63	10.31	9.93	48.87	121.79	30.34	41.22	214.27	85.22	87.65	126.12	19.39	14.67	796.86	170.25	16.51	13.32	51.35	58.3	10.08	21.16	10.08	2.48	18.84	6.11	8.58	16.51	108.9	78.34
GLT8D2	450.94	37.85	157.68	1977.24	90.14	145.02	23.59	583.07	176.29	420.68	116.78	212.78	138.1	208.38	500.46	26.67	500.46	161.02	114.36	954.43	143.01	248.0	177.53	791.35	234.57	1883.54	902.89	198.47	27.64	656.11	395.18	156.59	82.29	723.08	607.87	384.34	559.28	24.81	53.57	2537.92	1096.5	92.05	368.65	152.28	97.36	124.37	226.54	15.45	7.11	143.01	25.91	52.45	35.25	339.14	17.77
GULP1	260.38	36.01	38.95	316.37	43.94	30.78	15.34	171.45	265.87	299.25	24.99	373.81	29.91	53.57	67.59	31.22	153.34	64.34	27.05	138.1	16.15	175.07	23.08	130.6	45.21	323.03	275.28	60.39	47.84	136.19	92.7	90.14	49.56	195.72	157.68	102.25	59.97	65.72	14.35	267.73	228.13	32.82	50.27	30.56	54.33	17.77	99.43	3.47	2.81	43.32	15.0	19.82	12.64	125.24	43.94
GXYLT2	146.03	11.64	56.28	866.07	37.32	78.89	22.26	297.17	59.13	271.48	28.86	72.52	63.45	109.66	173.85	13.52	325.29	83.45	42.41	457.25	76.71	77.79	76.71	429.54	131.51	1183.45	376.41	56.28	31.9	190.34	158.79	80.57	39.22	356.05	343.89	193.01	316.37	12.74	26.47	854.13	571.05	21.32	105.89	105.89	33.3	37.05	105.15	0.38	1.81	58.3	5.87	21.78	8.99	285.03	1.55
HMCN1	239.52	47.17	94.67	1208.34	76.71	44.89	21.63	336.79	83.45	269.6	33.54	96.68	47.5	101.54	140.04	33.06	228.13	84.63	53.57	423.61	43.32	124.37	59.55	473.41	159.9	1709.26	529.06	74.06	13.93	384.34	341.51	90.14	71.0	426.57	450.94	166.73	271.48	5.68	39.22	1529.73	493.56	71.0	102.25	194.36	57.08	96.01	112.77	5.19	0.71	144.01	7.28	21.63	22.26	232.94	9.56
KCNT2	3.29	2.29	1.6	6.36	0.66	1.79	0.36	12.18	3.59	10.16	1.48	3.79	0.67	3.53	2.25	1.04	7.75	3.0	0.69	6.31	1.53	4.94	1.08	2.1	2.58	6.31	16.03	3.99	0.68	3.14	7.82	5.28	2.53	11.13	9.48	4.82	1.97	0.39	0.39	8.25	9.7	0.69	1.99	2.81	1.91	0.67	3.14	0.95	0.0	2.61	0.67	1.48	2.48	3.53	0.0
LOXL1	2271.4	279.14	981.29	7803.01	543.96	1529.73	460.44	2485.67	1437.15	2758.13	780.44	896.64	1388.16	1498.22	2090.03	450.94	2816.11	1322.37	1127.35	4298.64	1477.58	1561.89	1757.34	3190.46	1477.58	7280.4	3443.31	1662.49	320.8	2502.97	3168.41	1175.27	1001.93	4512.4	3190.46	2758.13	3212.66	242.88	400.71	10154.69	3794.3	503.95	2104.58	1322.37	1225.22	866.07	1950.0	441.64	651.58	1073.91	229.72	1268.46	1008.9	2417.67	511.0
LRCH2	19.82	4.86	3.44	32.36	4.9	3.89	2.78	29.06	3.96	27.05	5.41	8.85	2.23	4.24	9.13	2.71	24.28	8.51	3.56	19.25	3.59	13.52	2.81	14.14	8.99	40.64	44.25	7.28	2.56	17.13	9.93	8.25	4.66	28.04	18.43	14.56	9.13	1.38	3.69	45.53	34.26	4.82	9.27	9.78	6.46	1.91	9.85	3.89	0.65	7.69	1.93	0.79	1.89	13.83	0.37
LRRC17	395.18	49.91	104.42	1674.06	125.24	156.59	13.72	366.09	146.03	450.94	92.7	141.02	60.82	134.3	123.5	37.32	368.65	71.5	132.44	854.13	71.5	69.52	167.9	688.78	164.42	1583.71	981.29	63.0	36.79	334.46	376.41	197.09	73.54	688.78	579.04	368.65	463.65	4.94	38.67	1594.73	1023.0	81.14	351.14	237.86	127.89	128.79	346.29	16.03	31.45	281.09	16.39	35.0	63.89	152.28	16.75
MSRB3	450.94	79.45	194.36	1096.5	74.06	126.12	46.5	555.41	157.68	356.05	105.15	122.64	66.65	167.9	249.73	100.83	532.74	212.78	136.19	547.75	90.14	305.55	106.63	463.65	183.82	1037.29	651.58	127.89	48.87	497.0	299.25	309.83	144.01	679.29	532.74	409.15	253.23	25.35	55.49	1417.35	708.18	72.01	205.5	149.12	148.09	74.58	255.0	97.36	5.15	190.34	39.5	86.43	43.02	341.51	10.24
NAP1L3	39.22	6.16	14.89	130.6	17.51	16.15	3.82	60.82	22.1	51.35	22.92	19.68	13.22	21.78	42.41	10.96	68.55	15.91	14.24	67.59	20.41	29.91	19.11	68.55	25.91	172.65	98.73	24.81	4.21	63.45	52.08	37.85	18.43	87.65	59.13	60.82	53.19	7.22	10.08	215.77	100.13	35.5	35.25	23.08	21.47	17.9	24.81	0.89	2.53	25.91	5.06	23.25	141.02	37.05	2.03
NDN	297.17	55.1	117.6	660.68	103.69	96.68	49.91	299.25	115.16	400.71	89.51	171.45	49.56	98.04	384.34	31.67	303.44	125.24	82.87	334.46	69.03	150.17	147.06	242.88	173.85	579.04	381.68	138.1	29.27	454.09	293.07	76.17	71.0	389.72	265.87	255.0	309.83	23.93	49.56	872.1	412.0	91.41	194.36	112.77	138.1	77.79	201.25	47.17	12.0	78.89	32.82	35.25	38.4	181.28	18.7
NTNG2	12.93	5.19	7.69	32.59	3.08	7.69	5.77	15.34	5.73	9.13	11.38	6.52	2.84	5.63	9.48	1.71	17.51	4.98	4.86	21.32	5.96	10.16	2.81	13.52	5.11	21.94	18.43	10.55	0.69	16.03	12.74	3.38	5.02	27.84	18.16	13.22	9.56	1.38	3.06	25.72	33.06	1.68	19.68	7.11	2.84	7.63	8.92	0.96	5.54	2.63	1.62	3.29	2.2	17.25	0.66
OLFML1	190.34	71.0	105.15	624.99	47.84	57.08	39.5	314.17	65.26	256.78	72.52	125.24	68.07	98.04	189.02	36.53	241.19	109.66	55.89	260.38	53.19	123.5	98.73	209.84	126.12	486.75	351.14	89.51	33.54	327.56	265.87	114.36	57.49	297.17	234.57	228.13	249.73	16.15	44.89	921.88	334.46	83.45	155.5	136.19	82.87	39.79	127.89	88.88	2.61	80.57	37.85	19.82	41.81	150.17	8.13
P4HA3	94.67	16.75	83.45	629.35	63.45	60.39	14.67	183.82	457.25	85.82	37.32	67.12	60.82	99.43	223.41	27.44	159.9	138.1	63.0	275.28	31.45	110.43	97.36	258.57	95.34	629.35	287.01	58.71	25.35	267.73	226.54	86.43	30.56	297.17	231.32	228.13	244.57	7.34	49.56	764.36	332.14	18.29	162.14	70.01	56.28	69.03	141.02	4.86	186.4	42.71	4.78	63.89	15.0	202.66	3.08
PCDH7	171.45	26.1	87.65	457.25	20.56	33.54	9.48	209.84	31.67	144.01	17.9	231.32	64.34	55.89	381.68	5.68	187.71	55.1	34.26	267.73	20.86	84.63	41.81	246.28	72.01	450.94	255.0	30.12	8.85	212.78	78.34	100.13	49.91	220.32	217.27	136.19	101.54	2.84	18.7	466.88	312.0	12.45	97.36	43.32	36.01	22.59	99.43	1.73	3.08	74.58	10.31	33.06	12.09	150.17	4.24
PDGFRA	473.41	36.53	98.73	1183.45	81.71	85.82	29.91	332.14	121.79	842.36	40.64	265.87	86.43	157.68	265.87	6.06	379.04	141.02	61.25	348.71	58.3	262.2	121.79	283.05	211.31	1119.56	567.1	129.69	13.12	684.02	223.41	172.65	76.71	483.38	441.64	241.19	373.81	5.68	19.39	764.36	878.17	87.03	111.99	125.24	77.25	24.99	169.07	0.48	3.26	87.65	51.35	21.16	15.56	224.97	22.43
PLAGL1	159.9	43.02	54.33	162.14	39.79	30.34	23.93	146.03	57.08	202.66	19.82	85.22	50.27	75.64	113.56	16.88	107.38	34.51	16.15	110.43	27.05	53.19	36.79	101.54	80.01	155.5	104.42	52.08	12.55	92.7	142.01	63.0	35.0	157.68	131.51	53.95	68.07	5.02	9.93	218.79	186.4	74.58	40.07	39.5	47.84	23.42	43.02	11.91	5.06	33.54	28.24	16.51	10.96	92.05	10.08
PRKD1	73.54	10.39	28.24	157.68	14.35	23.25	6.57	79.45	29.06	59.13	34.75	32.82	10.0	23.59	41.52	16.15	71.0	21.01	21.01	74.58	18.03	56.28	19.53	71.0	39.79	167.9	82.87	23.59	10.71	102.97	45.21	31.0	20.41	102.97	72.52	61.25	43.02	4.43	11.73	236.21	139.07	26.28	33.78	32.36	19.68	12.0	21.16	9.93	1.6	27.25	4.54	11.91	8.38	48.52	5.5
PRRX1	1167.14	161.02	473.41	4298.64	289.02	334.46	98.04	1806.78	277.2	1051.79	237.86	764.36	339.14	743.43	954.43	145.02	1250.98	612.11	163.28	2193.99	269.6	656.11	379.04	2303.12	669.92	3955.48	2335.28	392.44	113.56	1769.57	1051.79	688.78	212.78	1498.22	2367.9	1208.34	1447.15	44.57	195.72	5872.48	2061.24	191.67	808.0	764.36	155.5	249.73	612.11	153.34	17.77	536.45	115.16	100.13	81.71	1295.13	77.25
RBMS3	90.14	26.1	31.67	162.14	15.8	29.7	15.56	115.16	36.01	120.94	24.81	42.41	13.72	26.67	63.45	14.24	102.97	35.25	23.59	92.05	22.1	41.22	28.45	67.12	62.56	140.04	104.42	26.28	17.64	58.71	59.13	95.34	28.04	137.14	102.97	87.03	66.65	9.27	15.56	234.57	165.57	25.72	77.25	47.17	27.25	12.93	34.75	13.93	2.18	62.12	9.41	11.55	13.72	73.03	3.72
RECK	150.17	26.47	55.49	420.68	31.22	44.57	27.05	194.36	49.91	189.02	36.53	60.39	43.63	68.07	100.83	18.43	143.01	63.0	33.3	323.03	37.05	113.56	40.36	163.28	80.01	473.41	164.42	44.57	13.52	151.22	138.1	68.55	37.85	187.71	149.12	108.14	109.66	11.3	19.97	587.13	463.65	58.71	77.79	77.79	42.11	32.82	64.34	19.25	1.31	44.25	18.29	17.25	13.83	125.24	8.78
RNF144A	161.02	105.15	50.27	579.04	40.93	44.25	52.08	197.09	53.57	141.02	124.37	98.04	35.5	57.08	161.02	25.91	194.36	71.5	22.1	181.28	67.59	110.43	43.94	255.0	157.68	612.11	346.29	52.45	100.13	236.21	183.82	181.28	100.83	214.27	255.0	90.77	220.32	17.13	37.85	332.14	191.67	194.36	115.16	94.01	38.12	40.93	87.65	51.35	63.89	102.97	10.08	45.53	123.5	108.14	15.45
ROR1	47.84	4.94	11.04	118.43	8.65	8.32	2.66	42.71	10.47	53.57	9.85	21.63	7.06	11.21	18.16	4.43	35.0	12.09	5.82	32.36	11.73	39.22	12.0	25.35	23.25	90.14	33.06	15.56	5.63	31.22	47.17	35.0	7.75	60.39	50.27	43.32	13.03	1.93	9.13	123.5	66.65	6.73	20.11	13.03	8.19	6.41	17.38	0.61	0.32	19.25	3.59	3.14	3.82	33.06	0.61
RP11-366L20.2	18.29	1.45	4.9	56.28	7.94	4.46	2.32	37.32	5.28	18.97	3.82	4.03	1.07	8.06	20.41	3.86	27.05	6.57	4.43	19.11	7.46	17.38	0.46	29.7	6.84	35.76	42.71	8.0	0.0	12.83	13.72	22.43	15.8	73.03	21.94	16.15	11.55	0.0	3.56	80.57	92.7	1.77	31.0	5.19	3.63	4.24	10.39	0.0	0.4	11.73	0.43	0.0	2.32	24.46	0.73
SLC24A2	29.7	0.71	5.45	177.53	2.73	5.82	0.37	27.84	8.92	19.68	3.92	36.01	1.89	8.45	13.62	1.36	40.64	6.73	7.46	65.72	4.66	18.29	10.24	60.39	9.48	194.36	80.01	8.65	0.68	40.64	39.5	21.16	7.22	73.03	63.89	50.27	15.0	0.0	2.34	103.69	66.65	0.0	24.28	15.8	2.48	6.57	14.78	0.0	0.36	19.82	0.0	1.13	1.27	27.25	0.95
SPSB1	466.88	80.57	275.28	1073.91	224.97	146.03	131.51	665.29	223.41	435.55	114.36	231.32	244.57	202.66	599.49	115.16	438.59	297.17	117.6	785.88	159.9	212.78	182.55	503.95	400.71	825.0	532.74	215.77	26.28	575.03	320.8	180.02	129.69	688.78	688.78	435.55	420.68	28.86	47.5	1088.92	860.08	78.89	273.37	255.0	169.07	176.29	269.6	15.45	348.71	136.19	42.71	94.01	43.32	460.44	120.1
SSPN	277.2	38.67	63.89	559.28	64.8	44.57	17.25	215.77	71.0	323.03	80.01	93.35	38.12	99.43	67.12	15.11	232.94	110.43	74.06	220.32	61.25	107.38	38.95	146.03	90.77	563.18	273.37	64.8	48.18	209.84	164.42	81.14	78.89	341.51	271.48	120.1	130.6	50.98	26.1	406.31	441.64	24.11	98.73	70.51	66.65	70.51	107.38	17.9	120.94	748.61	37.32	55.89	17.9	189.02	46.5
ST6GAL2	56.68	4.24	31.9	291.04	13.72	13.83	3.72	79.45	21.16	50.27	10.16	25.17	16.63	46.18	60.39	7.17	73.54	20.86	18.43	153.34	15.34	38.95	32.36	151.22	59.55	447.82	277.2	33.06	1.75	94.01	69.52	82.29	17.77	187.71	139.07	63.45	77.25	1.53	9.7	195.72	131.51	3.92	45.53	41.22	18.29	25.91	48.87	0.0	0.54	43.63	2.05	7.46	2.29	105.89	0.55
TBX18	56.28	10.39	20.86	140.04	16.27	15.11	3.96	64.34	25.35	73.03	10.47	24.46	14.35	29.48	24.63	5.28	65.26	18.97	11.38	69.03	10.55	42.71	21.47	48.87	22.92	143.01	66.65	19.97	3.08	44.57	47.84	25.17	11.82	62.56	71.0	43.63	35.5	1.51	7.0	152.28	81.71	19.11	25.17	34.51	16.88	11.47	31.9	8.38	1.06	23.93	6.57	12.64	4.9	43.02	2.92
