	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.B6.A0WV.01A.11R.A109.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.AO.A0J6.01A.11R.A034.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.E2.A15A.01A.11R.A12D.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AR.A0TU.01A.31R.A109.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	GTEX.13O61.1226.SM.5KM21	GTEX.P4QT.0626.SM.3NMCP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.MX.A663.01A.11R.A31P.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
GPR17	0.88	2.16	0.53	1.48	1.5	0.49	1.68	0.0	4.06	1.62	0.49	0.0	1.19	0.0	2.01	1.51	232.94	32.13	0.0	0.58	215.77	21.94	10.39	11.91	13.12	1.19	21.32	8.58	6.67	6.36	74.58	2.61	41.22	25.35	10.47	140.04	39.79	3.29	17.9	9.2	12.74	28.45	30.12
GPR20	0.3	2.94	1.16	0.39	0.39	0.0	0.43	1.81	2.43	1.11	12.09	0.0	1.39	2.53	1.14	0.73	30.34	13.62	0.0	0.34	24.99	18.7	32.13	26.28	18.7	7.94	39.79	11.13	21.63	8.65	50.98	29.27	51.35	52.45	30.34	173.85	73.03	27.25	35.25	23.25	25.54	16.63	31.22
GPRC5C	62.12	1208.34	1437.15	764.36	915.51	500.46	104.42	848.22	896.64	921.88	738.29	18.16	902.89	476.71	718.08	723.08	2319.15	2119.22	0.0	0.47	13306.94	3847.29	5219.6	3303.0	6164.49	6294.04	1617.0	2434.5	7966.99	5329.3	1674.06	11909.94	2555.58	7331.05	5255.91	2591.27	6983.79	15285.81	6164.49	8963.45	10014.87	15607.02	6887.62
GRASP	51.35	41.22	48.52	19.68	59.55	77.25	23.59	36.27	74.06	81.14	65.26	42.11	55.1	40.36	63.89	58.3	483.38	297.17	0.0	0.67	947.83	316.37	237.86	122.64	124.37	120.94	571.05	312.0	182.55	127.0	521.76	145.02	607.87	432.53	191.67	961.07	389.72	177.53	212.78	486.75	316.37	177.53	521.76
ITIH5	16.88	43.02	24.81	48.87	8.99	12.64	29.48	29.06	29.06	57.08	42.71	22.1	20.26	20.11	50.98	80.01	1313.23	166.73	0.0	0.21	743.43	567.1	403.5	381.68	88.26	128.79	175.07	187.71	171.45	104.42	599.49	457.25	693.58	361.04	234.57	1977.24	941.27	191.67	251.48	371.22	234.57	194.36	483.38
KANK3	12.27	9.34	12.74	6.78	18.84	6.01	4.35	11.91	23.93	17.25	10.16	7.11	12.74	12.09	24.99	28.45	190.34	98.04	0.0	0.56	82.29	144.01	111.21	96.68	77.79	24.63	241.19	28.04	119.26	32.82	277.2	54.33	172.65	167.9	85.22	275.28	152.28	109.66	82.87	187.71	121.79	100.13	199.85
KCNMB1	18.16	19.25	10.16	16.03	17.9	15.45	12.64	17.77	16.39	35.25	11.82	9.13	14.24	16.39	7.63	6.41	2434.5	113.56	0.0	0.42	119.26	121.79	127.0	57.49	63.45	20.11	301.33	84.63	46.5	40.36	358.54	50.98	426.57	444.72	81.71	1359.57	540.19	63.45	190.34	191.67	123.5	120.94	521.76
LCAT	27.25	62.56	31.0	42.11	23.93	36.01	51.71	117.6	70.01	72.52	38.95	86.43	39.5	37.05	12.83	30.34	878.17	387.02	0.0	1.11	173.85	444.72	109.66	132.44	166.73	122.64	334.46	182.55	94.67	447.82	688.78	94.67	234.57	144.01	99.43	629.35	167.9	98.73	78.89	289.02	215.77	155.5	199.85
LEAP2	21.47	26.28	13.03	1.83	22.75	14.56	10.24	12.09	5.73	38.67	16.63	15.91	33.78	25.54	14.24	16.88	49.56	67.59	0.0	0.61	63.89	60.39	15.56	25.54	27.84	35.25	40.64	87.03	38.12	34.02	194.36	17.9	575.03	14.89	379.04	135.24	27.64	28.04	551.56	51.35	45.21	135.24	52.08
LENG8	813.63	713.11	429.54	426.57	866.07	656.11	323.03	669.92	878.17	928.3	470.14	500.46	483.38	521.76	287.01	713.11	6840.04	4066.71	0.0	1.77	1832.01	5403.7	1991.0	2573.36	2004.85	1159.07	2609.3	2351.53	1023.0	2664.15	2875.3	1639.59	2178.83	1832.01	2915.45	3124.78	1950.0	1594.73	1030.12	2758.13	1819.35	1199.98	2148.82
LIF	21.63	17.9	20.26	70.51	8.65	11.04	12.83	19.68	22.75	25.54	19.68	13.22	13.52	8.85	32.59	8.19	25.54	46.18	0.0	0.0	85.22	96.68	438.59	239.52	72.52	656.11	181.28	559.28	85.82	36.53	503.95	80.57	170.25	30.56	82.29	78.34	29.48	19.97	87.03	132.44	72.01	20.41	58.3
LRRC4B	2.58	1.38	4.78	6.11	2.34	1.43	0.47	1.14	3.14	5.28	5.73	1.33	5.02	0.46	7.46	1.73	120.94	47.84	0.0	0.32	22.1	48.87	71.5	46.18	36.53	15.11	291.04	17.77	52.08	18.56	251.48	36.79	105.15	38.95	47.5	147.06	55.89	37.59	47.5	78.89	43.63	39.5	40.93
LTBP4	108.14	348.71	473.41	358.54	248.0	361.04	397.93	289.02	514.56	463.65	343.89	490.14	376.41	371.22	389.72	432.53	10959.3	7280.4	0.0	0.52	6250.56	4769.75	5219.6	5219.6	3103.19	1378.57	4671.57	1096.5	2287.2	2119.22	5183.54	2032.85	8963.45	6294.04	5006.93	17197.56	6079.61	3982.99	5255.91	3928.15	7382.04	3349.13	3847.29
MS4A4E	1.75	1.73	0.0	1.73	2.39	4.82	0.85	0.0	1.83	4.7	0.0	1.97	2.81	1.19	4.43	2.1	143.01	55.89	0.0	0.49	16.75	44.25	16.63	13.83	3.53	2.39	48.18	14.03	3.96	3.79	11.73	0.0	6.46	8.71	9.63	18.84	20.41	7.75	0.0	15.11	11.55	26.28	13.12
