	TCGA.BA.5557.01A.01R.1514.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11DXZ.0926.SM.5N9CG	GTEX.V1D1.0926.SM.4JBHQ	GTEX.RU72.2626.SM.4TT75
CDC16	540.19	1104.13	769.69	1417.35	854.13	1242.34	480.04	1111.82	457.25	693.58	909.17	791.35	1111.82	1111.82	1369.04	480.04	1259.69	878.17	995.0	796.86	967.76	941.27	941.27	981.29	1295.13	909.17	1331.57	1617.0	791.35	1225.22	974.5	842.36	743.43	571.05	748.61	688.78	579.04	0.0	0.72	1417.35	1685.71	1832.01
CNTROB	289.02	486.75	197.09	629.35	629.35	497.0	480.04	718.08	460.44	854.13	476.71	669.92	842.36	693.58	796.86	264.03	743.43	400.71	674.59	583.07	397.93	555.41	759.08	400.71	759.08	507.46	1066.48	909.17	551.56	1008.9	323.03	514.56	417.77	166.73	133.36	89.51	212.78	0.0	0.77	764.36	1268.46	1066.48
DHPS	1023.0	842.36	928.3	1457.23	1487.87	785.88	909.17	1594.73	848.22	1427.22	1407.55	1331.57	1794.29	1540.37	1191.69	947.83	1561.89	1304.15	1685.71	1286.18	1628.26	1369.04	1769.57	769.69	2163.77	1104.13	1991.0	2047.0	995.0	2367.9	890.44	1417.35	1639.59	713.11	902.89	872.1	1088.92	0.0	0.97	1991.0	2287.2	2645.74
DMTF1	205.5	279.14	309.83	928.3	642.59	511.0	265.87	2004.85	273.37	309.83	629.35	529.06	1709.26	733.19	1340.84	301.33	1340.84	718.08	1119.56	616.37	412.0	429.54	1044.52	575.03	1806.78	361.04	2061.24	1794.29	409.15	2032.85	395.18	486.75	165.57	42.11	79.45	141.02	115.16	0.0	1.16	2004.85	2335.28	1037.29
DPH1	182.55	693.58	206.94	620.67	665.29	490.14	563.18	902.89	791.35	647.07	633.73	579.04	1159.07	1051.79	764.36	185.11	866.07	463.65	921.88	878.17	532.74	607.87	1030.12	603.67	1340.84	633.73	1388.16	1295.13	486.75	1250.98	555.41	466.88	356.05	197.09	320.8	392.44	500.46	0.0	0.89	1167.14	1781.89	890.44
DPH7	169.07	307.69	144.01	521.76	368.65	325.29	271.48	444.72	103.69	202.66	289.02	351.14	503.95	406.31	624.99	189.02	409.15	287.01	329.84	255.0	172.65	301.33	447.82	269.6	571.05	318.57	890.44	947.83	182.55	759.08	309.83	271.48	301.33	54.33	100.83	85.22	82.87	0.0	0.93	775.05	1081.39	1066.48
DVL2	190.34	318.57	97.36	389.72	454.09	366.09	674.59	830.75	486.75	616.37	490.14	473.41	1008.9	633.73	808.0	249.73	532.74	454.09	842.36	759.08	473.41	450.94	921.88	348.71	1008.9	339.14	995.0	567.1	363.56	802.41	334.46	366.09	395.18	78.89	64.8	53.95	81.71	0.0	0.85	1030.12	1277.29	1340.84
EGFL8	14.78	147.06	78.89	295.11	180.02	154.42	66.65	341.51	18.84	114.36	191.67	128.79	447.82	211.31	299.25	38.95	346.29	156.59	204.07	181.28	50.98	130.6	186.4	85.22	403.5	217.27	934.76	759.08	86.43	620.67	76.17	224.97	98.73	13.03	9.48	16.88	37.85	0.0	0.73	289.02	518.15	1359.57
ENTHD2	183.82	239.52	63.89	332.14	244.57	228.13	224.97	438.59	94.67	221.86	301.33	269.6	476.71	361.04	500.46	175.07	412.0	197.09	341.51	273.37	143.01	256.78	529.06	320.8	723.08	273.37	764.36	836.53	113.56	684.02	147.06	244.57	125.24	70.01	99.43	155.5	178.77	0.0	0.99	583.07	1111.82	490.14
ERMARD	131.51	514.56	447.82	543.96	400.71	242.88	193.01	460.44	108.14	167.9	454.09	264.03	483.38	536.45	563.18	132.44	423.61	218.79	595.34	316.37	334.46	466.88	387.02	403.5	629.35	497.0	728.11	723.08	242.88	759.08	373.81	301.33	307.69	152.28	387.02	234.57	406.31	0.0	0.26	866.07	1008.9	848.22
EXOC3	769.69	1277.29	366.09	1208.34	1151.06	743.43	529.06	1183.45	299.25	909.17	1051.79	896.64	1242.34	836.53	981.29	583.07	1508.65	703.28	974.5	607.87	775.05	981.29	1111.82	660.68	1651.0	1008.9	1159.07	1295.13	995.0	1397.83	1037.29	872.1	723.08	353.59	258.57	400.71	567.1	483.38	947.83	1662.49	1477.58	1216.75
GTF2IRD2	136.19	435.55	108.14	441.64	361.04	255.0	172.65	559.28	135.24	579.04	366.09	379.04	669.92	368.65	698.41	131.51	620.67	368.65	438.59	309.83	353.59	371.22	514.56	297.17	759.08	417.77	1447.15	583.07	348.71	860.08	229.72	363.56	381.68	307.69	141.02	218.79	231.32	0.0	0.39	902.89	1081.39	1059.11
GTF2IRD2B	65.26	532.74	559.28	633.73	651.58	536.45	241.19	866.07	316.37	466.88	642.59	616.37	872.1	872.1	981.29	239.52	1143.1	591.22	674.59	540.19	366.09	518.15	785.88	441.64	1073.91	647.07	1350.18	967.76	493.56	1001.93	400.71	417.77	201.25	133.36	175.07	253.23	281.09	215.77	211.31	1199.98	1467.37	1697.45
GYLTL1B	291.04	361.04	1.66	41.81	287.01	223.41	2.76	525.39	1.79	111.21	802.41	341.51	447.82	420.68	480.04	1.87	111.21	161.02	438.59	53.19	679.29	299.25	379.04	802.41	435.55	371.22	441.64	403.5	231.32	497.0	236.21	77.25	256.78	1.91	11.38	13.72	41.52	0.0	0.53	878.17	909.17	693.58
HAUS3	77.25	95.34	87.65	166.73	99.43	118.43	28.24	123.5	62.12	76.17	100.83	77.25	107.38	102.97	136.19	95.34	125.24	108.9	120.94	84.04	67.59	115.97	134.3	132.44	131.51	104.42	181.28	251.48	77.79	137.14	103.69	98.04	56.68	65.72	82.87	47.17	44.57	0.0	0.43	191.67	269.6	191.67
HKR1	115.97	551.56	281.09	785.88	656.11	571.05	166.73	559.28	329.84	361.04	559.28	536.45	775.05	547.75	525.39	151.22	500.46	490.14	651.58	603.67	454.09	860.08	624.99	457.25	764.36	567.1	830.75	1015.93	435.55	660.68	647.07	547.75	265.87	45.85	57.49	59.97	118.43	0.0	0.88	1151.06	1685.71	1896.65
ING4	409.15	872.1	295.11	1191.69	1008.9	967.76	656.11	947.83	500.46	1023.0	1199.98	764.36	1191.69	1015.93	1104.13	884.29	1208.34	1583.71	1259.69	866.07	1023.0	1350.18	1199.98	483.38	1242.34	1208.34	1832.01	1322.37	660.68	1096.5	738.29	934.76	1104.13	325.29	329.84	279.14	269.6	0.0	0.33	2075.59	2335.28	3901.01
L3MBTL2	293.07	318.57	150.17	332.14	426.57	507.46	291.04	521.76	236.21	351.14	529.06	211.31	490.14	567.1	571.05	224.97	486.75	435.55	551.56	473.41	536.45	486.75	543.96	218.79	532.74	423.61	500.46	620.67	389.72	521.76	339.14	493.56	295.11	206.94	258.57	249.73	273.37	0.0	0.04	483.38	480.04	665.29
LZTR1	412.0	775.05	136.19	825.0	656.11	791.35	769.69	860.08	432.53	540.19	796.86	441.64	872.1	743.43	759.08	447.82	884.29	591.22	902.89	830.75	503.95	791.35	785.88	518.15	1096.5	587.13	1322.37	1551.09	444.72	1073.91	559.28	723.08	684.02	156.59	189.02	224.97	432.53	0.0	0.99	1081.39	1313.23	819.3
MADD	223.41	525.39	182.55	371.22	348.71	209.84	291.04	460.44	346.29	283.05	403.5	231.32	532.74	454.09	454.09	295.11	403.5	389.72	444.72	361.04	301.33	429.54	579.04	395.18	480.04	356.05	551.56	587.13	277.2	454.09	361.04	483.38	106.63	137.14	111.21	151.22	149.12	0.0	0.8	532.74	688.78	688.78
MCRS1	483.38	1081.39	463.65	1023.0	1208.34	1175.27	836.53	1259.69	718.08	995.0	1242.34	1806.78	1135.2	1350.18	1477.58	708.18	1340.84	1477.58	1397.83	1135.2	1167.14	1167.14	1242.34	1268.46	1437.15	1250.98	1909.85	1477.58	941.27	1191.69	995.0	1066.48	1277.29	441.64	426.57	249.73	532.74	0.0	0.34	2061.24	2018.8	1340.84
MED22	289.02	723.08	90.14	480.04	476.71	406.31	295.11	497.0	211.31	514.56	447.82	603.67	674.59	490.14	563.18	329.84	403.5	368.65	579.04	543.96	336.79	547.75	616.37	450.94	651.58	463.65	547.75	679.29	289.02	555.41	381.68	603.67	551.56	89.51	127.89	92.05	44.89	212.78	497.0	638.15	518.15	647.07
METTL3	389.72	336.79	271.48	395.18	457.25	571.05	267.73	848.22	260.38	291.04	579.04	314.17	848.22	587.13	543.96	358.54	629.35	371.22	718.08	490.14	368.65	412.0	651.58	447.82	995.0	397.93	988.12	603.67	305.55	872.1	329.84	389.72	348.71	211.31	312.0	193.01	197.09	0.0	1.16	1583.71	1397.83	1059.11
MSANTD4	65.72	120.1	112.77	329.84	327.56	229.72	7.69	295.11	25.17	204.07	248.0	94.01	281.09	232.94	231.32	33.78	218.79	234.57	291.04	231.32	182.55	199.85	234.57	96.01	224.97	173.85	228.13	403.5	178.77	152.28	208.38	258.57	140.04	45.21	64.34	172.65	68.55	117.6	95.34	242.88	244.57	226.54
MUS81	373.81	579.04	466.88	780.44	764.36	579.04	813.63	791.35	423.61	559.28	738.29	423.61	780.44	693.58	981.29	642.59	688.78	493.56	848.22	563.18	638.15	713.11	748.61	698.41	1088.92	693.58	775.05	1051.79	346.29	896.64	532.74	603.67	934.76	339.14	281.09	237.86	483.38	0.0	0.72	954.43	1286.18	1477.58
MZF1	63.89	444.72	53.95	547.75	417.77	309.83	161.02	297.17	149.12	134.3	346.29	242.88	457.25	301.33	295.11	128.79	236.21	249.73	323.03	246.28	201.25	320.8	412.0	217.27	500.46	312.0	595.34	1508.65	94.01	559.28	242.88	289.02	176.29	28.04	55.89	64.34	95.34	0.0	1.01	1225.22	2178.83	796.86
ORMDL1	283.05	743.43	1191.69	1369.04	785.88	1066.48	780.44	890.44	435.55	432.53	713.11	543.96	872.1	825.0	1183.45	490.14	1023.0	769.69	642.59	454.09	457.25	1437.15	591.22	555.41	1066.48	921.88	1388.16	1794.29	629.35	1081.39	866.07	633.73	656.11	521.76	607.87	536.45	435.55	0.0	0.38	1427.22	1844.76	1295.13
PAN3	173.85	228.13	214.27	376.41	363.56	262.2	132.44	414.87	239.52	202.66	392.44	271.48	414.87	348.71	297.17	171.45	314.17	366.09	423.61	256.78	336.79	356.05	358.54	202.66	429.54	258.57	579.04	780.44	242.88	444.72	246.28	341.51	121.79	40.07	33.54	60.82	64.8	172.65	358.54	490.14	703.28	583.07
PIGL	88.88	244.57	99.43	371.22	262.2	543.96	285.03	397.93	303.44	283.05	231.32	198.47	543.96	339.14	325.29	114.36	395.18	237.86	400.71	429.54	173.85	153.34	371.22	403.5	591.22	265.87	532.74	389.72	187.71	457.25	291.04	197.09	291.04	138.1	126.12	100.13	152.28	0.0	0.53	540.19	583.07	403.5
POLL	275.28	473.41	191.67	884.29	543.96	325.29	463.65	476.71	356.05	532.74	532.74	638.15	595.34	559.28	703.28	417.77	450.94	536.45	486.75	559.28	540.19	698.41	563.18	444.72	620.67	532.74	688.78	909.17	346.29	616.37	507.46	579.04	791.35	141.02	202.66	141.02	244.57	0.0	0.14	884.29	1143.1	1151.06
POMT1	116.78	728.11	346.29	567.1	543.96	633.73	444.72	698.41	361.04	381.68	583.07	629.35	674.59	791.35	802.41	633.73	656.11	414.87	713.11	616.37	500.46	555.41	708.18	555.41	808.0	599.49	928.3	764.36	412.0	679.29	480.04	551.56	571.05	285.03	258.57	211.31	299.25	0.0	0.58	780.44	825.0	909.17
PPP1R10	466.88	872.1	595.34	733.19	769.69	1151.06	511.0	1498.22	460.44	791.35	1259.69	466.88	780.44	1191.69	878.17	698.41	1286.18	518.15	1457.23	738.29	1119.56	915.51	866.07	400.71	1143.1	708.18	1457.23	1216.75	493.56	995.0	500.46	603.67	244.57	237.86	414.87	595.34	551.56	0.0	0.0	1225.22	1119.56	775.05
PPT2-EGFL8	5.92	31.67	15.22	89.51	61.25	77.79	12.09	127.0	18.03	52.45	56.68	31.67	138.1	36.01	103.69	24.81	99.43	57.08	63.0	54.72	19.68	59.55	67.59	26.1	157.68	30.56	201.25	146.03	9.34	201.25	31.45	29.27	34.02	1.85	2.61	9.85	12.36	0.0	0.83	109.66	119.26	177.53
PRPF3	293.07	287.01	297.17	1225.22	555.41	753.83	297.17	684.02	202.66	389.72	529.06	395.18	961.07	567.1	1143.1	329.84	693.58	441.64	651.58	371.22	346.29	406.31	647.07	379.04	1175.27	414.87	1457.23	2178.83	329.84	1216.75	318.57	470.14	503.95	110.43	187.71	182.55	226.54	0.0	1.19	1540.37	2104.58	1191.69
PRPF8	2047.0	2835.7	3395.89	3847.29	3847.29	3874.05	3794.3	4575.41	4152.18	5995.9	3515.68	4095.0	5954.47	5255.91	4802.93	1896.65	5479.15	2627.46	4869.99	4769.75	4010.71	3395.89	5292.48	2451.44	6121.9	3395.89	5995.9	4481.23	4239.45	6792.79	3349.13	3847.29	4836.35	1628.26	2835.7	2255.7	3325.99	0.0	1.23	4937.99	4450.27	7382.04
RABL2A	34.02	438.59	182.55	629.35	387.02	253.23	223.41	414.87	152.28	264.03	412.0	325.29	503.95	358.54	718.08	198.47	351.14	353.59	387.02	325.29	255.0	412.0	358.54	156.59	575.03	343.89	759.08	1104.13	242.88	470.14	231.32	249.73	220.32	33.54	44.57	43.63	37.32	0.0	0.13	902.89	1286.18	836.53
RABL2B	178.77	339.14	145.02	1111.82	708.18	540.19	559.28	884.29	403.5	457.25	830.75	279.14	836.53	723.08	995.0	312.0	808.0	567.1	802.41	607.87	624.99	603.67	988.12	305.55	954.43	470.14	1199.98	1721.16	473.41	890.44	426.57	444.72	339.14	61.25	122.64	100.83	124.37	0.0	0.18	1331.57	1721.16	1167.14
RAD52	39.5	88.88	50.27	500.46	205.5	143.01	118.43	214.27	59.55	127.89	154.42	117.6	232.94	224.97	258.57	61.68	194.36	228.13	176.29	167.9	99.43	206.94	218.79	107.38	273.37	108.14	616.37	743.43	62.56	258.57	116.78	137.14	92.05	16.75	41.52	22.1	46.18	0.0	0.23	457.25	529.06	392.44
RAD9A	105.89	231.32	129.69	255.0	289.02	529.06	348.71	387.02	154.42	403.5	339.14	373.81	371.22	373.81	616.37	143.01	373.81	305.55	387.02	441.64	220.32	231.32	339.14	403.5	470.14	312.0	616.37	559.28	124.37	612.11	178.77	229.72	231.32	76.17	165.57	158.79	129.69	0.0	0.69	361.04	591.22	507.46
RBM5	348.71	738.29	536.45	1819.35	1369.04	1081.39	629.35	2075.59	429.54	981.29	1286.18	684.02	1721.16	1304.15	1857.6	587.13	1674.06	947.83	1457.23	860.08	813.63	915.51	1674.06	775.05	1963.57	890.44	2133.97	2591.27	753.83	1936.53	836.53	1208.34	559.28	223.41	287.01	356.05	417.77	0.0	1.22	3639.7	4736.79	3443.31
REV1	171.45	301.33	239.52	426.57	339.14	283.05	221.86	518.15	183.82	237.86	406.31	251.48	567.1	426.57	460.44	232.94	325.29	320.8	414.87	201.25	318.57	323.03	351.14	220.32	563.18	312.0	656.11	713.11	273.37	638.15	255.0	325.29	146.03	105.89	161.02	133.36	142.01	0.0	0.8	819.3	967.76	791.35
RIPK1	267.73	486.75	279.14	480.04	323.03	397.93	191.67	547.75	303.44	256.78	518.15	318.57	414.87	429.54	417.77	275.28	403.5	348.71	454.09	297.17	289.02	441.64	423.61	395.18	518.15	265.87	493.56	591.22	447.82	426.57	281.09	412.0	105.89	346.29	277.2	417.77	320.8	0.0	0.0	432.53	490.14	454.09
RNF220	872.1	981.29	543.96	780.44	1870.53	1081.39	921.88	1447.15	1216.75	1208.34	1651.0	728.11	1832.01	1651.0	2148.82	1313.23	1250.98	1175.27	1870.53	1487.87	1794.29	1605.83	1757.34	1498.22	1508.65	1250.98	1340.84	1909.85	1286.18	1561.89	1259.69	1662.49	884.29	1059.11	842.36	633.73	759.08	0.0	0.3	1617.0	1183.45	2090.03
RP11-468E2.2	5.19	9.41	0.0	3.56	0.0	6.46	2.39	12.93	0.0	5.28	9.63	8.51	8.85	6.26	4.35	1.48	7.51	1.0	6.84	4.7	2.43	4.06	8.13	3.53	9.06	3.17	9.41	7.94	1.77	5.11	1.75	2.86	3.06	1.41	0.74	2.68	1.39	0.0	0.3	16.51	12.0	11.3
RSPH10B2	0.0	1.25	0.0	6.94	6.62	5.73	0.0	5.87	1.03	6.89	3.06	5.96	5.59	2.46	31.67	0.37	8.38	4.46	8.32	9.2	3.72	4.62	8.65	0.0	3.99	0.0	2.66	7.82	0.0	2.01	3.0	2.81	3.0	0.0	0.23	0.0	0.55	0.0	0.0	4.43	2.94	10.96
SCRN2	420.68	802.41	87.65	1104.13	1030.12	1208.34	1242.34	1250.98	603.67	1059.11	1529.73	1268.46	1277.29	1551.09	1059.11	1081.39	1594.73	1088.92	1369.04	1529.73	1051.79	1208.34	1286.18	2417.67	1508.65	1159.07	1208.34	1359.57	1304.15	1685.71	1233.75	1051.79	2032.85	753.83	476.71	368.65	836.53	0.0	0.6	2627.46	2319.15	1457.23
SMARCD1	660.68	941.27	660.68	1225.22	1127.35	1340.84	967.76	1135.2	848.22	764.36	1127.35	1096.5	1331.57	872.1	1369.04	954.43	878.17	1313.23	1286.18	1159.07	1111.82	1529.73	1030.12	1561.89	1477.58	860.08	2075.59	2319.15	753.83	1331.57	836.53	928.3	890.44	323.03	147.06	186.4	229.72	0.0	0.88	1151.06	1350.18	1167.14
SPG11	323.03	733.19	540.19	1628.26	988.12	995.0	688.78	1175.27	435.55	915.51	1023.0	1437.15	1135.2	1183.45	1477.58	647.07	1191.69	915.51	1081.39	1183.45	1191.69	1143.1	1135.2	896.64	954.43	1143.1	1242.34	1397.83	974.5	1081.39	1477.58	974.5	928.3	283.05	454.09	490.14	684.02	0.0	0.88	1467.37	1639.59	1015.93
SPP1	143430.26	517068.97	86474.27	654483.73	363097.14	422911.59	343510.77	290865.98	492579.5	402881.61	318292.9	614902.29	208544.12	334117.42	277089.94	509950.32	363097.14	305326.92	189257.69	408505.64	414208.18	520665.48	301123.38	450134.56	184082.4	822695.06	191899.64	472513.8	383800.28	275175.93	499455.67	405683.88	422911.59	951601.81	6887.62	406.31	6426.31	0.0	0.16	2209.26	166.73	665.29
SUGP2	152.28	723.08	169.07	785.88	796.86	684.02	423.61	819.3	287.01	392.44	624.99	511.0	802.41	836.53	624.99	368.65	665.29	638.15	688.78	555.41	493.56	612.11	723.08	312.0	902.89	583.07	1081.39	2032.85	373.81	967.76	536.45	571.05	764.36	173.85	152.28	171.45	202.66	0.0	1.25	1806.78	2148.82	1250.98
TELO2	327.56	503.95	109.66	616.37	753.83	713.11	703.28	571.05	301.33	486.75	669.92	1044.52	532.74	559.28	825.0	265.87	698.41	669.92	466.88	775.05	343.89	718.08	684.02	476.71	665.29	406.31	559.28	954.43	334.46	825.0	358.54	525.39	728.11	199.85	271.48	209.84	289.02	0.0	1.13	825.0	1183.45	934.76
TET2	199.85	41.22	52.08	75.64	91.41	61.68	20.26	130.6	91.41	50.27	130.6	34.26	140.04	66.65	64.8	56.68	60.82	100.13	97.36	57.89	94.67	99.43	128.79	45.53	98.04	66.65	98.04	125.24	67.12	84.04	54.33	100.83	19.53	25.17	9.48	22.26	28.45	0.0	0.47	159.9	139.07	124.37
TIA1	299.25	559.28	457.25	1167.14	1111.82	1159.07	356.05	1896.65	547.75	351.14	1037.29	511.0	1639.59	848.22	1628.26	417.77	981.29	1191.69	1340.84	743.43	283.05	1066.48	1127.35	514.56	1963.57	483.38	1369.04	2367.9	366.09	1721.16	493.56	684.02	251.48	70.51	155.5	224.97	197.09	0.0	0.88	1991.0	2627.46	1508.65
TRMT2A	599.49	540.19	166.73	684.02	624.99	698.41	525.39	638.15	403.5	493.56	733.19	435.55	693.58	599.49	802.41	490.14	656.11	579.04	764.36	500.46	642.59	607.87	842.36	473.41	860.08	447.82	802.41	1447.15	420.68	854.13	529.06	567.1	780.44	356.05	521.76	366.09	460.44	0.0	0.87	1388.16	2351.53	1369.04
TTC23	103.69	318.57	111.21	309.83	323.03	220.32	202.66	334.46	154.42	283.05	279.14	255.0	387.02	305.55	239.52	224.97	279.14	291.04	341.51	314.17	323.03	403.5	285.03	191.67	265.87	251.48	341.51	351.14	223.41	271.48	293.07	327.56	176.29	120.94	83.45	164.42	98.73	0.0	0.61	406.31	543.96	444.72
