	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.RU72.0726.SM.46MUW	GTEX.PVOW.1626.SM.48TC9	GTEX.R3RS.1326.SM.48FE7	GTEX.13O1R.1326.SM.5IJF5	GTEX.ZF3C.1626.SM.4WWB4	GTEX.13FLV.1126.SM.5J2NO	GTEX.TSE9.1226.SM.4DXTM	GTEX.13X6K.2126.SM.5O9D4	TCGA.CV.7183.11A.01R.2016.07	GTEX.117YW.0526.SM.5H11C	GTEX.ZUA1.1026.SM.4YCEA	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.MX.A5UG.01A.21R.A31P.31	GTEX.14BMV.2226.SM.5RQHX
C11orf96	58.3	248.0	314.17	4038.61	684.02	532.74	417.77	3443.31	1709.26	808.0	13.32	9088.59	8191.0	234.57	291.04	97.36	325.29	3491.39	4543.8
C20orf112	30.78	44.25	70.51	148.09	49.21	37.05	77.25	100.13	116.78	86.43	7.69	438.59	429.54	10.08	12.93	13.62	11.21	633.73	244.57
CA5B	72.52	76.17	143.01	221.86	127.0	131.51	142.01	171.45	150.17	193.01	75.64	215.77	381.68	155.5	54.72	58.71	43.63	295.11	248.0
CAMKK2	289.02	368.65	547.75	563.18	409.15	497.0	571.05	595.34	441.64	457.25	202.66	1242.34	591.22	241.19	226.54	255.0	194.36	896.64	669.92
CAPN11	8.51	7.06	10.88	18.7	3.56	2.51	12.93	5.68	6.41	9.93	1.23	15.91	5.11	5.36	2.84	0.68	1.23	19.39	14.45
CCDC180	9.2	14.03	69.52	97.36	29.48	9.06	43.32	59.55	84.63	61.25	5.41	143.01	376.41	8.25	3.82	2.07	0.58	87.03	444.72
CCDC42	0.67	1.03	1.28	3.47	0.0	0.0	0.0	1.08	1.23	0.0	0.0	8.38	3.66	0.0	0.0	1.69	0.0	3.56	0.0
CDH11	26.86	56.68	105.15	205.5	32.36	42.71	108.9	164.42	98.73	108.9	9.85	1277.29	1745.2	4.86	20.71	19.53	7.51	2645.74	718.08
CDR2	44.89	108.14	164.42	348.71	150.17	158.79	242.88	376.41	229.72	244.57	90.14	703.28	878.17	63.0	72.01	89.51	95.34	616.37	466.88
CHST11	35.5	42.11	136.19	181.28	43.63	58.71	60.39	164.42	86.43	58.71	43.02	723.08	521.76	55.49	67.59	24.81	42.11	466.88	228.13
COL16A1	567.1	417.77	733.19	1030.12	607.87	223.41	718.08	988.12	934.76	961.07	43.94	3146.52	1397.83	287.01	126.12	119.26	85.82	1963.57	2255.7
COL23A1	8.51	7.63	38.67	33.54	25.91	20.26	23.93	32.13	34.02	12.45	2.05	69.03	49.56	18.43	7.51	5.87	23.08	80.57	98.73
COL5A2	185.11	109.66	229.72	281.09	87.65	43.94	166.73	226.54	170.25	189.02	15.45	1662.49	896.64	248.0	45.53	46.5	62.12	3982.99	629.35
COL6A3	500.46	583.07	988.12	1519.15	366.09	651.58	785.88	1066.48	1001.93	967.76	23.42	8538.88	5006.93	167.9	52.45	204.07	275.28	15180.22	3081.75
COLEC12	26.47	65.72	78.89	146.03	52.82	26.67	88.88	140.04	100.83	96.68	48.87	5183.54	1540.37	67.12	15.91	41.22	41.52	334.46	934.76
CREB5	5.63	28.24	44.25	371.22	82.29	53.57	74.58	392.44	82.29	68.55	7.82	450.94	1857.6	96.68	8.92	64.8	43.63	131.51	406.31
CRIM1	312.0	379.04	285.03	463.65	251.48	295.11	409.15	532.74	351.14	420.68	106.63	2400.97	2255.7	303.44	197.09	373.81	141.02	1437.15	921.88
CRNN	2805836.45	4107985.47	26431.04	35856.82	32540.65	26248.46	12676.65	60723.88	16496.96	46986.85	116501.39	10.08	6.57	4851500.88	6183532.28	4558095.38	5534416.31	0.59	7.11
CRY1	140.04	172.65	206.94	473.41	177.53	175.07	209.84	503.95	301.33	206.94	191.67	1183.45	1340.84	154.42	70.51	178.77	127.0	267.73	351.14
CSGALNACT2	92.05	78.34	170.25	201.25	126.12	171.45	164.42	190.34	180.02	173.85	38.4	1745.2	995.0	63.45	54.33	43.02	66.65	796.86	277.2
CTSK	371.22	384.34	796.86	988.12	336.79	140.04	1008.9	1073.91	995.0	1015.93	373.81	3874.05	1923.14	457.25	543.96	525.39	1159.07	6381.92	4181.07
CYGB	109.66	103.69	209.84	595.34	135.24	147.06	316.37	356.05	587.13	351.14	22.59	2271.4	1417.35	91.41	58.71	69.03	76.17	1519.15	3564.78
DAB2	127.0	115.97	170.25	239.52	120.94	72.52	178.77	175.07	206.94	180.02	43.63	4388.98	2178.83	23.59	85.22	92.05	78.34	1191.69	753.83
DENND2A	21.16	47.5	87.65	195.72	71.0	21.78	111.21	113.56	82.29	142.01	13.22	1051.79	693.58	65.72	27.44	17.25	8.71	444.72	285.03
DLC1	27.44	56.68	87.03	423.61	106.63	56.68	134.3	260.38	143.01	153.34	9.27	2591.27	4869.99	94.67	21.47	35.5	34.51	1066.48	1143.1
DLGAP4	836.53	1023.0	703.28	1350.18	748.61	595.34	934.76	1286.18	825.0	909.17	368.65	2434.5	2148.82	890.44	660.68	738.29	612.11	1674.06	1662.49
DSCAML1	3.96	0.68	6.62	28.65	1.57	1.2	8.99	21.78	2.43	5.73	2.89	64.34	40.64	1.68	2.56	0.93	0.0	7.82	109.66
EDA	12.45	21.94	23.76	45.21	27.44	32.82	55.1	67.12	32.82	49.91	15.68	47.5	47.84	13.83	8.25	9.48	12.45	43.94	51.71
EID3	14.24	8.19	17.64	70.51	13.12	14.67	15.22	60.39	34.26	23.76	5.96	53.95	242.88	4.21	2.27	10.39	9.27	29.7	51.71
ELMSAN1	376.41	457.25	543.96	1208.34	444.72	848.22	808.0	961.07	291.04	848.22	151.22	480.04	1268.46	1143.1	476.71	426.57	223.41	1350.18	753.83
EVC	104.42	125.24	128.79	171.45	72.52	43.94	165.57	159.9	92.05	164.42	18.84	486.75	346.29	61.25	39.22	37.32	12.93	381.68	400.71
FAP	124.37	65.72	120.1	190.34	63.89	7.51	117.6	107.38	159.9	119.26	45.21	521.76	293.07	5.96	23.93	16.63	29.27	536.45	346.29
FBLN5	197.09	271.48	575.03	1199.98	423.61	144.01	981.29	878.17	612.11	1030.12	55.1	2417.67	5329.3	115.16	76.17	260.38	122.64	3395.89	2997.45
FKBP10	164.42	156.59	277.2	607.87	289.02	190.34	339.14	351.14	547.75	435.55	43.94	2193.99	1081.39	283.05	31.67	57.08	42.71	1605.83	2816.11
GLRB	0.64	2.58	20.41	22.75	5.68	4.43	10.63	7.57	17.9	17.77	2.81	83.45	148.09	0.0	7.63	13.72	0.67	68.07	84.04
GPR17	23.08	40.07	16.03	57.49	11.64	26.28	29.91	40.93	26.67	46.84	2.36	40.36	19.25	3.41	0.61	3.11	0.0	67.12	77.79
GRASP	120.94	194.36	293.07	1437.15	387.02	201.25	314.17	723.08	583.07	409.15	43.63	947.83	3146.52	381.68	96.68	95.34	103.69	780.44	2335.28
GRID1	18.7	25.17	35.0	53.95	14.24	18.16	30.56	38.95	39.22	41.22	5.41	295.11	175.07	37.59	26.1	6.94	9.85	115.97	88.88
HDC	13.22	25.54	214.27	551.56	170.25	180.02	232.94	633.73	146.03	194.36	1.28	1685.71	738.29	34.75	13.12	0.37	8.85	204.07	7433.4
HMG20B	1322.37	1857.6	1551.09	2645.74	1467.37	1519.15	1685.71	2701.35	1909.85	1529.73	718.08	2148.82	1896.65	733.19	599.49	738.29	759.08	1388.16	1896.65
KCND3	25.72	48.18	16.63	46.5	17.64	29.06	27.64	53.95	31.45	48.87	5.28	100.13	24.81	16.27	16.88	19.25	21.16	140.04	267.73
LAMC3	12.18	14.24	130.6	183.82	43.63	65.26	140.04	149.12	157.68	78.34	12.93	854.13	1268.46	103.69	21.47	29.7	180.02	147.06	64.34
LMCD1	172.65	217.27	234.57	896.64	301.33	161.02	255.0	595.34	595.34	291.04	156.59	2148.82	2520.38	110.43	85.82	113.56	87.65	909.17	642.59
LRP6	59.55	82.87	149.12	177.53	111.99	96.68	164.42	133.36	172.65	146.03	30.78	229.72	660.68	40.07	30.34	36.79	21.16	384.34	329.84
MBNL2	332.14	262.2	447.82	713.11	325.29	397.93	507.46	595.34	414.87	579.04	224.97	1844.76	2485.67	202.66	148.09	269.6	147.06	1277.29	1216.75
MFAP4	466.88	1617.0	2591.27	13215.02	3325.99	1268.46	7032.37	13872.08	1977.24	6935.54	309.83	47974.16	22225.61	6561.36	1059.11	229.72	902.89	10084.54	64186.29
MXRA5	57.08	45.85	297.17	435.55	161.02	55.49	195.72	384.34	134.3	214.27	48.52	791.35	470.14	1313.23	353.59	220.32	151.22	2047.0	1388.16
NAV2	493.56	559.28	255.0	470.14	178.77	118.43	258.57	201.25	145.02	249.73	87.65	223.41	457.25	201.25	312.0	178.77	177.53	320.8	486.75
NCALD	40.07	139.07	136.19	312.0	85.82	29.27	133.36	289.02	72.52	175.07	97.36	1233.75	1268.46	32.13	35.25	85.82	15.68	194.36	633.73
NDNF	9.85	20.26	77.79	140.04	19.97	8.78	67.59	94.01	37.59	105.15	17.77	1662.49	4210.15	37.59	6.36	3.79	4.43	444.72	98.73
NID2	44.57	52.45	180.02	358.54	164.42	58.71	163.28	186.4	119.26	221.86	14.89	896.64	454.09	92.05	19.68	12.55	6.89	1250.98	813.63
NPHP4	117.6	108.9	198.47	183.82	148.09	101.54	153.34	147.06	125.24	170.25	29.06	194.36	187.71	59.55	38.67	47.84	32.36	164.42	209.84
NTNG2	9.2	16.51	14.03	26.47	7.34	4.35	9.41	14.14	10.31	20.71	0.89	80.57	22.1	6.89	3.53	1.81	3.2	95.34	55.49
OMG	13.72	6.31	61.68	76.71	22.1	12.0	66.65	65.26	19.39	33.3	4.66	665.29	4704.07	13.52	17.25	7.22	17.64	47.5	215.77
PCDH12	13.03	15.11	23.42	33.3	14.78	6.46	18.29	20.71	11.13	18.97	4.24	224.97	503.95	20.41	12.83	8.65	6.57	142.01	61.68
PCDHGA5	22.1	16.03	11.21	43.32	10.0	13.72	24.46	26.28	9.41	32.13	2.48	88.88	61.25	1.39	4.46	4.39	3.11	55.49	63.45
PDE10A	4.5	3.89	13.42	29.06	13.32	14.56	17.25	28.45	20.56	19.68	2.73	529.06	58.71	6.11	3.44	1.27	4.82	92.05	38.67
PLCB1	9.93	17.77	97.36	119.26	61.25	29.7	77.25	96.68	76.17	103.69	23.42	279.14	279.14	7.94	2.29	13.03	3.92	226.54	258.57
PMEPA1	136.19	131.51	115.97	511.0	180.02	82.29	161.02	555.41	182.55	169.07	12.45	1119.56	1806.78	8.85	41.81	81.71	21.78	2335.28	1081.39
PPAP2A	473.41	665.29	1059.11	1015.93	507.46	361.04	854.13	1359.57	1286.18	974.5	297.17	1674.06	1857.6	423.61	336.79	403.5	813.63	2335.28	3060.45
PRSS23	193.01	148.09	579.04	775.05	450.94	329.84	647.07	624.99	802.41	603.67	229.72	2645.74	4937.99	273.37	148.09	447.82	101.54	1936.53	2061.24
PTGDS	1199.98	3235.01	4328.55	20310.37	2451.44	1721.16	11504.21	8840.04	3665.02	9540.5	339.14	226632.25	39785.74	1350.18	1733.13	371.22	902.89	10440.2	71714.63
PTGER2	2.32	8.71	32.82	82.87	17.9	8.85	53.95	32.59	52.45	36.53	4.03	49.21	158.79	3.17	4.9	3.92	2.73	285.03	403.5
RAB3IL1	40.64	48.87	153.34	193.01	96.01	55.49	173.85	135.24	170.25	140.04	26.28	503.95	224.97	73.03	67.59	46.5	106.63	429.54	583.07
RAB8B	80.01	114.36	137.14	211.31	88.26	80.57	153.34	181.28	149.12	166.73	100.83	728.11	1216.75	71.5	59.55	56.68	59.13	521.76	457.25
RADIL	10.24	23.59	18.43	91.41	32.82	12.27	60.39	51.71	43.94	64.34	16.88	246.28	108.14	49.56	4.35	15.8	16.51	45.85	198.47
RARA	135.24	228.13	273.37	813.63	234.57	329.84	316.37	723.08	406.31	318.57	96.68	2502.97	2956.17	325.29	236.21	271.48	253.23	1081.39	981.29
RBP5	60.82	111.21	154.42	165.57	108.9	109.66	140.04	102.97	133.36	110.43	8.99	988.12	297.17	30.12	44.57	7.51	5.23	368.65	1037.29
RGS4	5.11	33.3	34.02	106.63	29.27	12.64	87.65	51.71	88.88	68.07	3.89	113.56	540.19	21.94	17.25	9.93	5.15	157.68	406.31
RHOBTB3	25.54	41.81	92.7	346.29	82.29	104.42	197.09	271.48	226.54	305.55	48.52	954.43	651.58	7.51	18.56	45.85	15.11	954.43	334.46
SAT1	7642.41	7180.15	9474.59	38697.77	7433.4	7749.1	20170.07	25887.07	24490.61	10014.87	7642.41	27745.15	54349.29	3540.14	8479.89	6079.61	10959.3	12676.65	14765.09
SEMA3A	11.47	21.16	17.9	33.78	11.55	9.41	24.99	27.64	18.84	31.9	14.14	149.12	140.04	49.56	18.7	6.31	10.0	101.54	166.73
SEMA6A	69.52	140.04	199.85	389.72	144.01	133.36	215.77	248.0	161.02	198.47	23.93	1709.26	563.18	40.64	19.53	36.53	20.41	616.37	1066.48
SFXN3	190.34	187.71	392.44	571.05	285.03	120.94	476.71	525.39	540.19	454.09	58.71	4038.61	1487.87	206.94	64.8	140.04	56.68	1051.79	1617.0
SIN3A	500.46	518.15	463.65	583.07	384.34	429.54	633.73	733.19	540.19	591.22	198.47	684.02	708.18	567.1	363.56	332.14	392.44	791.35	688.78
SLC18A2	108.14	100.13	154.42	156.59	75.64	90.14	142.01	169.07	111.21	105.89	47.17	1066.48	591.22	187.71	139.07	111.99	223.41	460.44	1721.16
ST8SIA1	48.18	72.01	94.01	74.06	44.57	24.11	64.34	75.64	39.22	58.71	7.0	860.08	299.25	81.14	37.59	31.9	29.7	158.79	271.48
STARD13	19.25	31.0	76.71	157.68	53.57	96.68	144.01	117.6	94.01	150.17	22.43	293.07	146.03	26.28	14.03	14.14	9.93	343.89	348.71
STC1	1.66	7.94	57.49	995.0	57.08	104.42	74.06	473.41	53.57	81.14	24.11	136.19	493.56	151.22	17.64	12.45	27.84	928.3	236.21
STRA6	153.34	33.3	193.01	163.28	46.18	69.52	41.81	166.73	78.89	43.02	2.86	115.97	164.42	162.14	27.64	34.51	84.04	166.73	73.03
TCN2	55.49	56.68	108.9	135.24	61.68	30.12	105.89	118.43	93.35	148.09	34.75	884.29	406.31	36.53	68.55	118.43	82.29	595.34	583.07
TENM1	5.15	8.06	4.13	11.21	2.1	2.03	7.57	11.82	6.89	12.09	0.0	41.81	35.25	4.58	0.0	0.1	0.12	17.25	31.0
THBS1	67.12	197.09	532.74	6121.9	1216.75	525.39	713.11	5954.47	1757.34	389.72	65.72	3874.05	7642.41	106.63	579.04	1857.6	156.59	12676.65	5147.73
TMEM132C	4.21	18.16	27.05	90.77	26.86	8.85	69.03	70.51	35.25	91.41	4.62	145.02	55.1	27.64	18.56	15.56	21.63	10.55	62.12
TMEM176A	384.34	341.51	813.63	1427.22	669.92	239.52	743.43	819.3	447.82	638.15	100.13	6935.54	1806.78	460.44	220.32	194.36	269.6	5672.41	13306.94
TMEM176B	759.08	624.99	1250.98	1583.71	866.07	332.14	1151.06	1331.57	587.13	1073.91	185.11	11584.24	2434.5	947.83	269.6	371.22	603.67	7230.1	12853.63
VCAM1	36.79	109.66	133.36	420.68	52.45	23.25	127.0	299.25	42.11	110.43	17.38	2664.15	1143.1	55.1	52.08	32.13	4.1	961.07	1225.22
WISP1	23.42	19.11	15.8	14.24	4.82	12.45	8.38	14.56	9.06	8.65	2.01	17.13	45.85	6.46	7.82	0.93	4.06	353.59	45.53
ZBTB10	8.92	10.47	22.43	46.84	18.56	12.45	38.67	50.63	26.1	37.85	7.88	397.93	567.1	1.33	3.29	14.67	4.35	154.42	264.03
ZCCHC14	258.57	264.03	346.29	693.58	376.41	299.25	447.82	353.59	305.55	406.31	70.01	669.92	312.0	334.46	285.03	127.0	176.29	624.99	529.06
ZFP36L2	2148.82	2664.15	2935.74	9740.98	1832.01	2520.38	2193.99	5751.61	3690.52	2609.3	1015.93	8778.97	2956.17	2335.28	1447.15	1096.5	1628.26	6887.62	8078.22
ZNF331	78.89	107.38	170.25	796.86	162.14	57.49	199.85	511.0	146.03	204.07	62.12	753.83	2240.11	28.45	25.72	43.94	41.52	543.96	1508.65
