	TCGA.LP.A5U2.01A.11R.A28H.07	TCGA.G4.6304.01A.11R.1928.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.O5YV.1026.SM.3LK72	GTEX.14DAQ.1426.SM.5RQJD	GTEX.13O1R.1326.SM.5IJF5	GTEX.13NYS.1626.SM.5J2MU	GTEX.131XW.1126.SM.5EGK4	GTEX.N7MT.0126.SM.2D7VT	GTEX.117YW.0526.SM.5H11C	GTEX.Q2AG.1026.SM.33HBW	TCGA.D1.A2G0.01A.11R.A32Y.07
POLR2E	4607.24	3491.39	3665.02	3639.7	4123.49	2701.35	3124.78	4450.27	3794.3	3349.13	2664.15	2537.92	2682.69	2434.5	1733.13	2061.24	1709.26	1350.18	6983.79
PPAN	2193.99	2468.49	954.43	1001.93	1081.39	718.08	567.1	1015.93	1295.13	872.1	559.28	529.06	1519.15	172.65	309.83	299.25	204.07	141.02	2271.4
PRELID1	5183.54	5672.41	4210.15	12589.08	7280.4	3372.43	3847.29	5995.9	5076.84	3982.99	2976.74	2875.3	6745.86	1870.53	1745.2	1183.45	2319.15	1388.16	8421.31
PSMD13	3716.2	4095.0	2796.65	3589.58	3280.18	2758.13	2255.7	2555.58	2645.74	2061.24	1407.55	1950.0	2502.97	1119.56	2287.2	1313.23	2335.28	2104.58	4543.8
PSMG1	6037.61	2417.67	1073.91	2255.7	1583.71	1819.35	1059.11	1388.16	1286.18	974.5	791.35	802.41	2004.85	256.78	351.14	373.81	336.79	269.6	2104.58
PTGES2	1498.22	3081.75	1417.35	1896.65	1331.57	1096.5	1001.93	1781.89	1397.83	1073.91	796.86	915.51	2502.97	283.05	420.68	384.34	660.68	299.25	2573.36
PUS1	1819.35	1583.71	543.96	743.43	674.59	638.15	343.89	629.35	802.41	429.54	435.55	336.79	684.02	115.97	129.69	92.05	158.79	74.06	1104.13
PYCRL	236.21	470.14	215.77	389.72	325.29	206.94	131.51	281.09	170.25	96.68	119.26	111.99	312.0	50.98	41.52	80.01	80.01	30.12	1183.45
RANGAP1	3467.27	2335.28	2319.15	2956.17	4607.24	1651.0	1745.2	2502.97	2855.44	2591.27	1467.37	1477.58	2075.59	1143.1	1119.56	473.41	802.41	1250.98	2468.49
RNPS1	5594.3	4239.45	3874.05	4769.75	4639.29	5112.16	3349.13	4123.49	3955.48	3124.78	2271.4	2502.97	4836.35	1745.2	2287.2	1709.26	2240.11	2004.85	5329.3
RPL26L1	1963.57	1322.37	866.07	2075.59	1183.45	796.86	769.69	1044.52	1096.5	688.78	518.15	525.39	1304.15	629.35	273.37	647.07	285.03	329.84	2664.15
RRP12	1175.27	769.69	473.41	532.74	723.08	426.57	190.34	366.09	423.61	277.2	262.2	264.03	629.35	170.25	197.09	145.02	258.57	161.02	759.08
RRP15	417.77	236.21	125.24	181.28	159.9	297.17	101.54	94.67	187.71	118.43	117.6	156.59	363.56	44.25	145.02	65.26	71.0	74.06	287.01
RRP7A	1175.27	1242.34	551.56	1151.06	785.88	603.67	426.57	532.74	728.11	500.46	587.13	444.72	988.12	248.0	890.44	521.76	486.75	267.73	2485.67
RRP9	1551.09	1457.23	518.15	1096.5	866.07	518.15	334.46	708.18	638.15	371.22	267.73	253.23	743.43	166.73	195.72	217.27	152.28	136.19	1896.65
SCAMP3	2417.67	1721.16	1806.78	3639.7	2061.24	1721.16	1617.0	1628.26	1313.23	1447.15	1250.98	1369.04	1781.89	1066.48	974.5	1051.79	854.13	1015.93	1769.57
SIGMAR1	2645.74	2701.35	2061.24	3491.39	2303.12	2351.53	1697.45	2240.11	2148.82	1639.59	1111.82	1259.69	3018.3	713.11	647.07	688.78	603.67	400.71	4836.35
SLC25A33	341.51	111.21	67.12	80.01	69.52	105.15	43.02	80.01	96.68	63.89	31.67	41.52	96.68	39.22	37.32	31.22	20.41	51.35	186.4
SLC35A2	540.19	480.04	587.13	698.41	791.35	366.09	381.68	665.29	435.55	389.72	406.31	392.44	647.07	264.03	379.04	395.18	289.02	241.19	486.75
