	TCGA.AR.A2LR.01A.12R.A18M.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E9.A1NC.01A.21R.A26B.07	TCGA.A1.A0SP.01A.11R.A084.07	TCGA.C5.A3HF.01A.11R.A213.07	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.B0.5109.01A.02R.1420.07	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.CC.5258.01A.01R.A131.07	TCGA.EP.A2KA.01A.11R.A180.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.69.8255.01A.11R.2287.07	TCGA.56.6546.01A.11R.1820.07	TCGA.37.4132.01A.01R.1100.07	TCGA.39.5039.01A.01R.1443.07	TCGA.37.4132.01A.01R.1100.07.1	TCGA.B5.A3F9.01A.21R.A22K.07
CSNK2A2	934.76	571.05	571.05	854.13	579.04	591.22	961.07	669.92	1572.76	1259.69	559.28	791.35	748.61	551.56	460.44	503.95	457.25	217.27	273.37	417.77	493.56	514.56	480.04	417.77	389.72	397.93	536.45	420.68	389.72	738.29	397.93	395.18	389.72	540.19	454.09	473.41	389.72	332.14	381.68	532.74	476.71	299.25	341.51	624.99	420.68	813.63	988.12	579.04	878.17	579.04	703.28
DIMT1	599.49	457.25	457.25	327.56	507.46	497.0	409.15	679.29	417.77	529.06	334.46	241.19	429.54	301.33	162.14	403.5	218.79	134.3	260.38	414.87	152.28	170.25	165.57	177.53	102.25	218.79	163.28	183.82	201.25	175.07	195.72	182.55	194.36	171.45	177.53	158.79	186.4	186.4	173.85	271.48	279.14	117.6	129.69	226.54	152.28	547.75	463.65	450.94	353.59	450.94	703.28
EEF1A1	301123.38	191899.64	191899.64	225066.78	358098.26	221968.2	204252.32	260332.24	204252.32	296977.71	156954.93	147462.67	322736.12	214407.12	212926.09	161367.56	149521.18	81809.59	77396.54	191899.64	194578.47	124863.17	156954.93	107203.06	95949.32	204252.32	163620.18	143430.26	117311.73	201440.3	133825.1	119776.72	107948.72	138544.47	139508.13	84694.64	144427.91	111755.56	97965.44	151608.43	92040.7	128373.58	100023.92	146444.06	131982.68	205673.01	194578.47	228208.61	221968.2	228208.61	353168.2
EEF1G	87681.42	47974.16	47974.16	60304.42	90146.51	47974.16	48643.87	42054.3	48307.85	133825.1	33688.23	28723.62	46019.85	46019.85	23330.64	47974.16	19754.96	12415.75	8363.13	16269.83	31870.96	21320.18	30572.63	19082.0	23169.48	30151.71	31650.8	22850.48	17804.06	32092.64	24490.61	14663.09	12076.21	23820.89	23009.42	16269.83	20737.16	20030.74	12589.08	19214.73	10084.54	21617.82	15285.81	22850.48	21919.61	64632.75	58250.19	44452.21	51062.33	44452.21	73221.53
EGFL6	127.0	224.97	224.97	34.02	69.03	14.35	42.71	271.48	72.52	14.03	12.0	8.78	26.28	2.12	0.0	0.0	0.88	0.0	3.11	0.95	0.88	9.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	18.7	0.0	0.97	0.0	0.0	0.0	2.34	0.78	0.0	0.0	0.0	0.0	0.0	65.72	346.29	59.55	460.44	59.55	58.3
EIF3H	20310.37	9606.86	9606.86	7180.15	8538.88	4450.27	4543.8	6983.79	6164.49	14663.09	4066.71	3515.68	10659.59	2682.69	2178.83	3018.3	2400.97	854.13	1572.76	3874.05	2468.49	2434.5	2104.58	1794.29	1216.75	2240.11	2047.0	1572.76	1936.53	2701.35	1519.15	1769.57	1745.2	1857.6	2816.11	1350.18	2351.53	1697.45	1909.85	2915.45	1781.89	1857.6	1540.37	1936.53	1540.37	6983.79	7081.29	7180.15	5633.22	7180.15	4543.8
EIF3M	7382.04	5594.3	5594.3	7589.61	8363.13	6207.38	7589.61	8191.0	7749.1	13586.57	5995.9	6164.49	7749.1	4388.98	3716.2	5403.7	3665.02	1870.53	2682.69	6250.56	3665.02	3794.3	3665.02	3820.7	2335.28	3039.3	3540.14	2777.33	3639.7	3589.58	3103.19	3039.3	2777.33	2976.74	3515.68	2367.9	3665.02	2417.67	3018.3	3716.2	2777.33	2720.15	2976.74	2796.65	2855.44	8078.22	8134.41	4543.8	8421.31	4543.8	9344.14
FARSB	988.12	836.53	836.53	660.68	1191.69	988.12	808.0	915.51	571.05	1540.37	620.67	808.0	1225.22	587.13	289.02	575.03	258.57	279.14	463.65	836.53	256.78	248.0	244.57	366.09	195.72	395.18	368.65	295.11	275.28	297.17	299.25	258.57	429.54	221.86	281.09	241.19	264.03	239.52	400.71	303.44	314.17	182.55	265.87	297.17	265.87	1437.15	1191.69	1551.09	909.17	1551.09	1015.93
FKBP11	1073.91	1119.56	1119.56	1745.2	902.89	2090.03	2645.74	1427.22	3515.68	6079.61	2193.99	5479.15	7803.01	2609.3	480.04	2384.37	1104.13	493.56	651.58	3443.31	406.31	1088.92	571.05	759.08	493.56	703.28	543.96	587.13	974.5	854.13	470.14	974.5	444.72	1037.29	813.63	688.78	583.07	1096.5	669.92	567.1	348.71	583.07	713.11	412.0	361.04	5995.9	3235.01	4328.55	3124.78	4328.55	1674.06
GLB1L2	780.44	241.19	241.19	277.2	616.37	525.39	244.57	384.34	71.0	336.79	14.14	3.08	85.22	1.69	12.36	52.08	3.76	1.3	4.28	28.45	1.73	38.12	17.25	2.66	11.3	4.62	3.0	19.11	12.93	7.11	24.99	20.41	1.6	2.63	2.66	5.77	18.84	5.59	0.99	1.35	0.85	2.89	2.2	4.13	17.0	241.19	115.16	417.77	101.54	417.77	536.45
GMPS	1551.09	1167.14	1167.14	1378.57	2133.97	1540.37	713.11	3515.68	1378.57	1233.75	1407.55	1111.82	1991.0	591.22	358.54	848.22	299.25	199.85	262.2	808.0	299.25	389.72	417.77	414.87	176.29	339.14	339.14	234.57	336.79	387.02	251.48	358.54	314.17	323.03	395.18	258.57	414.87	269.6	373.81	325.29	251.48	303.44	305.55	295.11	301.33	3325.99	1963.57	1923.14	1447.15	1923.14	808.0
GNB2L1	70727.3	45072.75	45072.75	53973.86	45072.75	47642.77	39785.74	57448.23	107203.06	87681.42	33922.56	36610.26	61146.25	40621.74	23492.92	41475.31	22850.48	18431.96	12943.04	21768.19	28923.41	16727.26	15499.21	20593.91	31215.04	32092.64	37121.34	31215.04	17078.76	35856.82	32767.0	19082.0	17558.94	27363.16	18052.61	18560.17	22072.07	21919.61	17804.06	21172.91	17927.91	24321.43	15392.14	30361.44	23330.64	51775.15	46986.85	33224.42	51417.5	33224.42	66449.85
HMGA1	6516.03	2032.85	2032.85	8840.04	3794.3	11504.21	5329.3	5913.33	3235.01	10084.54	3124.78	2104.58	8538.88	2485.67	283.05	2739.08	287.01	176.29	277.2	162.14	368.65	251.48	211.31	514.56	503.95	316.37	915.51	139.07	255.0	5006.93	180.02	177.53	341.51	114.36	318.57	206.94	417.77	511.0	361.04	463.65	87.65	316.37	228.13	591.22	441.64	9876.98	7749.1	5672.41	5594.3	5672.41	4152.18
HPDL	132.44	17.9	17.9	122.64	158.79	450.94	43.94	169.07	21.94	51.71	17.51	2.89	69.52	3.2	4.46	10.39	0.0	0.91	0.0	1.55	0.91	2.86	0.29	0.41	0.39	0.0	3.23	0.43	2.2	3.41	2.68	0.0	2.29	1.99	0.0	0.0	9.48	0.0	0.0	0.35	0.0	0.0	0.3	0.0	1.95	197.09	5.59	190.34	36.79	190.34	36.53
LYAR	426.57	293.07	293.07	414.87	775.05	607.87	327.56	599.49	981.29	703.28	273.37	343.89	708.18	457.25	105.89	379.04	194.36	105.15	198.47	356.05	204.07	147.06	139.07	223.41	85.82	145.02	323.03	161.02	134.3	204.07	202.66	152.28	269.6	125.24	144.01	140.04	107.38	156.59	194.36	165.57	204.07	94.67	155.5	183.82	205.5	1183.45	665.29	728.11	460.44	728.11	409.15
MARCKSL1	16383.0	6607.01	6607.01	4704.07	12329.98	6561.36	4095.0	5517.27	1923.14	7081.29	2720.15	1135.2	4239.45	2061.24	287.01	3212.66	656.11	262.2	902.89	808.0	387.02	703.28	633.73	563.18	325.29	183.82	218.79	379.04	698.41	860.08	234.57	830.75	503.95	909.17	1023.0	409.15	2133.97	669.92	507.46	470.14	507.46	224.97	417.77	412.0	332.14	2148.82	5076.84	6840.04	1225.22	6840.04	13033.07
NHP2L1	4419.52	3564.78	3564.78	8022.41	4671.57	4972.34	4066.71	3982.99	6792.79	5594.3	3742.05	3349.13	3124.78	4388.98	2287.2	3190.46	1991.0	1304.15	1313.23	2701.35	2133.97	2163.77	1733.13	1857.6	1159.07	2351.53	2739.08	1685.71	1651.0	2645.74	2303.12	1794.29	1781.89	2555.58	1950.0	1583.71	1651.0	1407.55	2163.77	1769.57	1977.24	1991.0	1529.73	1651.0	1457.23	7180.15	4937.99	4869.99	6294.04	4869.99	5791.62
NIP7	679.29	291.04	291.04	429.54	854.13	674.59	497.0	426.57	571.05	872.1	305.55	476.71	346.29	450.94	141.02	511.0	143.01	151.22	101.54	420.68	206.94	297.17	211.31	224.97	165.57	212.78	273.37	176.29	224.97	305.55	217.27	131.51	255.0	204.07	205.5	164.42	205.5	170.25	177.53	191.67	182.55	163.28	158.79	248.0	232.94	579.04	934.76	954.43	693.58	954.43	432.53
NOB1	988.12	961.07	961.07	890.44	2004.85	1369.04	1304.15	759.08	1467.37	2090.03	693.58	981.29	921.88	974.5	441.64	974.5	417.77	366.09	361.04	1104.13	665.29	612.11	518.15	536.45	603.67	688.78	688.78	493.56	444.72	688.78	579.04	423.61	575.03	796.86	647.07	480.04	688.78	480.04	575.03	500.46	426.57	346.29	277.2	620.67	511.0	1447.15	1304.15	1225.22	1844.76	1225.22	1551.09
NPM1	48982.22	37379.55	37379.55	38966.94	43236.64	43537.38	22535.88	63302.6	95949.32	41763.8	24490.61	25530.66	81809.59	53601.03	7803.01	27363.16	10296.45	5292.48	6381.92	26614.89	8840.04	12502.12	9025.81	8658.09	5076.84	12244.81	10296.45	6935.54	12076.21	13492.72	8022.41	9215.48	7180.15	8778.97	13492.72	5594.3	12943.04	6983.79	9151.82	11664.82	10225.32	6745.86	7382.04	9279.58	8022.41	51775.15	39510.91	37639.55	32540.65	37639.55	48643.87
PA2G4	2976.74	2104.58	2104.58	1909.85	3443.31	3982.99	2682.69	2664.15	5479.15	4671.57	1757.34	2485.67	4358.66	1963.57	909.17	2303.12	1183.45	698.41	830.75	2047.0	981.29	1397.83	1104.13	974.5	665.29	1073.91	1051.79	896.64	1242.34	1127.35	1051.79	1119.56	961.07	1135.2	1447.15	878.17	1407.55	934.76	1127.35	1111.82	1015.93	890.44	884.29	941.27	808.0	9808.75	5219.6	3146.52	2875.3	3146.52	2739.08
PDCD11	361.04	435.55	435.55	409.15	486.75	454.09	521.76	392.44	483.38	1369.04	356.05	223.41	748.61	323.03	161.02	100.83	161.02	206.94	199.85	189.02	189.02	150.17	214.27	117.6	218.79	221.86	237.86	258.57	135.24	167.9	248.0	185.11	198.47	242.88	154.42	123.5	132.44	177.53	232.94	170.25	209.84	76.17	169.07	155.5	187.71	599.49	769.69	295.11	293.07	295.11	529.06
PDE6B	75.64	269.6	269.6	81.14	131.51	236.21	193.01	366.09	329.84	114.36	29.06	25.35	289.02	4.5	4.46	16.88	24.81	13.12	14.03	15.0	14.24	39.5	14.56	41.52	9.2	38.4	23.76	0.91	31.9	6.11	31.22	25.72	40.36	19.25	48.87	10.39	62.56	36.01	12.93	7.0	17.9	0.35	14.78	13.72	0.0	40.07	115.97	260.38	106.63	260.38	59.97
PPA1	2271.4	4450.27	4450.27	5791.62	2935.74	6037.61	4869.99	3716.2	5711.87	5594.3	2875.3	3768.09	6792.79	4419.52	2468.49	3280.18	2178.83	1540.37	1519.15	4639.29	1519.15	2627.46	3018.3	1857.6	1119.56	2701.35	2119.22	1331.57	3303.0	2451.44	1199.98	2178.83	1159.07	1447.15	2796.65	1519.15	1936.53	1457.23	2209.26	2573.36	1733.13	2468.49	1936.53	1551.09	1662.49	4095.0	4298.64	5872.48	4903.87	5872.48	6426.31
QARS	3928.15	4066.71	4066.71	3303.0	9088.59	5517.27	3847.29	5183.54	7032.37	9088.59	4607.24	3564.78	7803.01	4671.57	2287.2	2835.7	2573.36	1605.83	1870.53	1950.0	2209.26	2032.85	2193.99	1447.15	1832.01	2682.69	2645.74	2682.69	2178.83	2720.15	2367.9	2209.26	2335.28	1870.53	1745.2	2148.82	2555.58	1963.57	1909.85	1991.0	1896.65	1268.46	2335.28	2627.46	2133.97	5913.33	5913.33	2645.74	4575.41	2645.74	7695.57
RAN	12676.65	7642.41	7642.41	10084.54	15934.98	14361.31	11664.82	14163.58	13776.25	16843.62	6294.04	9344.14	16269.83	6516.03	2004.85	10296.45	2855.44	1781.89	2119.22	6121.9	2119.22	3540.14	3081.75	2739.08	1397.83	3212.66	3690.52	1923.14	2739.08	3235.01	2468.49	2018.8	2384.37	1857.6	3349.13	1662.49	2645.74	2075.59	2400.97	2384.37	2240.11	2400.97	2018.8	1936.53	2209.26	27174.14	16727.26	31870.96	14065.74	31870.96	9151.82
RIPK2	616.37	624.99	624.99	796.86	723.08	351.14	397.93	483.38	967.76	441.64	176.29	417.77	802.41	291.04	171.45	376.41	251.48	98.73	318.57	117.6	57.49	140.04	141.02	138.1	60.39	90.77	60.82	106.63	87.65	175.07	73.54	241.19	120.94	69.52	101.54	132.44	96.68	136.19	293.07	124.37	80.01	400.71	68.07	65.26	60.39	1417.35	842.36	703.28	356.05	703.28	1037.29
RPL10A	48307.85	46986.85	46986.85	63742.91	40341.14	56265.94	37639.55	42937.97	33455.53	85876.94	36610.26	21919.61	46339.95	50709.61	23986.58	32994.92	19618.49	11112.3	6426.31	18689.27	16157.44	11909.94	13306.94	15607.02	17197.56	25887.07	27553.49	21617.82	8305.36	28923.41	23820.89	11504.21	13681.08	16045.82	11112.3	15392.14	11035.54	15607.02	11112.3	15715.58	9808.75	16496.96	14461.21	18431.96	17078.76	42346.82	35118.87	59063.35	53601.03	59063.35	66912.05
RPL14	32994.92	32315.87	32315.87	36610.26	31432.17	41188.81	26067.14	30151.71	44761.41	66449.85	22072.07	21617.82	65990.84	37121.34	21768.19	26067.14	21172.91	9673.69	9808.75	16611.71	21026.65	15285.81	14663.09	18178.19	15285.81	21617.82	23009.42	16383.0	10512.82	20881.4	21468.49	20451.65	13968.57	24321.43	12589.08	11827.67	15285.81	12160.22	15180.22	15392.14	16496.96	15180.22	9344.14	18178.19	15499.21	51775.15	25708.25	23169.48	29124.6	23169.48	59063.35
RPL15	40062.48	40904.3	40904.3	39785.74	37639.55	46339.95	36864.92	62865.33	39510.91	68793.23	34876.28	32994.92	70727.3	44761.41	32540.65	38697.77	23820.89	16045.82	10225.32	21026.65	23169.48	16727.26	20030.74	21320.18	18689.27	33688.23	29943.43	26248.46	15075.35	25887.07	25708.25	14971.21	16157.44	24490.61	15607.02	18950.18	15607.02	18950.18	17078.76	22535.88	15934.98	15499.21	18950.18	22850.48	20593.91	51417.5	39237.98	60304.42	52135.28	60304.42	67846.12
RPL22	23009.42	12853.63	12853.63	16045.82	33455.53	18052.61	15715.58	18304.63	15285.81	44145.15	8078.22	12415.75	26067.14	17197.56	11424.74	16960.78	16727.26	4769.75	5041.77	12244.81	14262.1	10883.59	12502.12	7642.41	5954.47	13968.57	10883.59	9151.82	7911.95	16383.0	10883.59	8840.04	7857.29	12415.75	10225.32	6381.92	8538.88	6792.79	8022.41	9540.5	9215.48	7857.29	7081.29	10512.82	9088.59	24660.96	23169.48	18689.27	17804.06	18689.27	28328.16
RPL23A	53973.86	61999.83	61999.83	48643.87	33224.42	50011.46	39237.98	37121.34	74243.68	114103.8	36610.26	29531.18	55107.99	84109.6	19892.37	45701.96	26614.89	11424.74	10512.82	26067.14	27938.14	23820.89	23009.42	16960.78	15075.35	31870.96	26431.04	17804.06	17437.64	29531.18	26614.89	21026.65	13399.51	21768.19	18178.19	12160.22	19618.49	16727.26	15499.21	20737.16	18560.17	15392.14	13033.07	22692.63	16960.78	100023.92	48643.87	62431.08	43537.38	62431.08	59474.18
RPL39	92040.7	105727.15	105727.15	162489.97	95949.32	94628.34	94628.34	124863.17	127486.83	162489.97	70238.75	47642.77	233003.78	107948.72	42937.97	90773.53	51062.33	18052.61	18052.61	65082.31	46662.28	40062.48	69753.56	31215.04	23330.64	61999.83	52497.92	30999.42	35118.87	51775.15	34635.37	32315.87	29327.18	41188.81	32092.64	23330.64	29124.6	27938.14	28723.62	43537.38	30361.44	35118.87	30151.71	32767.0	38164.99	80125.95	138544.47	180294.02	151608.43	180294.02	182810.84
RPL4	97965.44	47642.77	47642.77	90773.53	56657.31	79022.82	56265.94	68793.23	73730.83	132900.7	46019.85	51417.5	80683.28	60723.88	42054.3	50359.33	36106.23	16496.96	21768.19	42346.82	39237.98	25005.23	25005.23	27174.14	24832.5	48307.85	35856.82	31215.04	23169.48	43537.38	35856.82	26800.01	23330.64	32767.0	29943.43	20737.16	30572.63	26431.04	25005.23	29736.59	21919.61	32540.65	21172.91	34876.28	26614.89	151608.43	70727.3	55107.99	69271.73	55107.99	91404.92
RPL5	51775.15	20881.4	20881.4	48643.87	53230.77	37901.36	35118.87	46662.28	37121.34	91404.92	21468.49	13492.72	42641.37	34635.37	18819.27	31870.96	17681.08	10225.32	8901.53	19618.49	19482.97	12676.65	18304.63	14765.09	11424.74	22380.2	26986.43	19082.0	10512.82	22380.2	20170.07	13492.72	11584.24	14065.74	10733.74	11424.74	15285.81	11827.67	11827.67	17927.91	12853.63	10733.74	11909.94	20170.07	14971.21	40062.48	38966.94	60304.42	42641.37	60304.42	69271.73
RPL6	48982.22	35856.82	35856.82	53973.86	52863.07	46339.95	45701.96	33922.56	65535.0	116501.39	31650.8	28525.2	53973.86	48982.22	30785.28	32092.64	22072.07	11189.6	7032.37	24832.5	23986.58	16383.0	23169.48	19214.73	15824.9	32994.92	28723.62	23492.92	15607.02	27363.16	21320.18	14461.21	17317.18	21617.82	14561.8	17197.56	13492.72	14971.21	16611.71	20310.37	14561.8	13586.57	18689.27	19348.38	19618.49	79022.82	51775.15	35856.82	38430.46	35856.82	74760.09
RPL7	96616.71	114103.8	114103.8	78476.96	122293.5	54349.29	58655.36	63742.91	76861.91	163620.18	30999.42	44452.21	119776.72	84694.64	27938.14	52497.92	29943.43	13776.25	12589.08	45701.96	36357.37	29736.59	36106.23	25179.16	18819.27	38697.77	32767.0	26614.89	24660.96	44145.15	23820.89	16611.71	15715.58	25530.66	26800.01	14561.8	25530.66	18950.18	14561.8	29124.6	13681.08	23169.48	17317.18	22225.61	22692.63	110983.6	84109.6	117311.73	64186.29	117311.73	116501.39
RPN1	5329.3	5672.41	5672.41	5183.54	6840.04	6607.01	5791.62	8840.04	5633.22	4769.75	5954.47	7485.11	9279.58	5594.3	3235.01	7280.4	4639.29	2720.15	2720.15	7433.4	3280.18	4937.99	4328.55	4358.66	2720.15	5147.73	3742.05	2835.7	4239.45	4903.87	2915.45	3901.01	2976.74	3491.39	4869.99	2855.44	4450.27	4419.52	4152.18	3768.09	3467.27	3955.48	3540.14	2758.13	3325.99	5995.9	6745.86	11424.74	7081.29	11424.74	6792.79
