	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.E9.A1N4.11A.33R.A14M.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.W5X1.2326.SM.3GIL6	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.OXRK.1626.SM.3NB17	GTEX.13OW6.2526.SM.5IJEC	GTEX.117YW.2226.SM.5N9DB
IPO11	748.61	497.0	486.75	567.1	438.59	406.31	854.13	107.38	0.0	457.25	283.05	312.0	214.27	246.28	144.01	182.55	346.29	236.21	307.69	273.37	164.42	281.09	397.93	169.07	133.36
JKAMP	1519.15	1023.0	1167.14	1191.69	1628.26	1685.71	2047.0	780.44	0.0	1030.12	884.29	1191.69	708.18	1044.52	638.15	642.59	974.5	780.44	1001.93	1199.98	703.28	1001.93	909.17	555.41	348.71
KATNBL1	941.27	540.19	703.28	651.58	819.3	514.56	902.89	70.01	0.0	490.14	303.44	665.29	255.0	381.68	237.86	314.17	417.77	283.05	536.45	698.41	239.52	381.68	432.53	339.14	265.87
KLHL9	1023.0	713.11	684.02	764.36	1331.57	1127.35	1806.78	106.63	0.0	409.15	234.57	358.54	155.5	361.04	98.04	214.27	251.48	172.65	217.27	264.03	181.28	237.86	529.06	80.57	10.71
MAP3K7	688.78	571.05	476.71	587.13	698.41	612.11	1030.12	101.54	209.84	470.14	242.88	395.18	180.02	248.0	131.51	180.02	314.17	197.09	211.31	208.38	178.77	279.14	332.14	134.3	130.6
MAT2B	2133.97	1628.26	1685.71	1896.65	1991.0	2061.24	2758.13	954.43	0.0	1417.35	921.88	1378.57	954.43	1487.87	995.0	1023.0	1498.22	1313.23	1437.15	1896.65	1225.22	1594.73	1519.15	603.67	595.34
MBLAC2	253.23	180.02	156.59	190.34	226.54	204.07	323.03	10.88	0.0	96.68	34.75	70.01	40.07	60.39	19.11	34.75	63.0	50.27	43.02	60.82	35.76	65.72	100.13	28.65	12.55
METTL20	96.01	98.04	120.94	75.64	115.16	208.38	140.04	54.72	0.0	78.89	45.53	40.36	29.27	63.0	37.59	32.36	35.25	59.55	44.25	35.25	76.17	36.79	76.71	27.84	13.42
METTL6	450.94	361.04	312.0	343.89	426.57	400.71	473.41	164.42	0.0	180.02	156.59	202.66	120.94	218.79	139.07	149.12	256.78	170.25	208.38	271.48	175.07	283.05	211.31	156.59	89.51
MGA	444.72	339.14	229.72	384.34	466.88	409.15	457.25	15.0	73.03	256.78	116.78	255.0	112.77	142.01	70.01	101.54	98.73	101.54	69.52	40.07	84.63	85.82	191.67	19.68	74.58
MRPS31	915.51	802.41	693.58	764.36	1216.75	808.0	1127.35	126.12	0.0	620.67	400.71	780.44	371.22	463.65	348.71	429.54	703.28	486.75	441.64	647.07	432.53	599.49	738.29	275.28	62.12
NSL1	688.78	620.67	693.58	612.11	753.83	1008.9	1119.56	239.52	0.0	291.04	329.84	473.41	361.04	379.04	303.44	323.03	575.03	381.68	500.46	860.08	406.31	733.19	529.06	220.32	199.85
OSGEPL1	363.56	256.78	228.13	307.69	336.79	273.37	325.29	40.36	0.0	155.5	85.82	162.14	40.64	107.38	34.02	65.72	155.5	72.52	102.25	106.63	80.01	139.07	126.12	49.56	13.32
PAPOLG	400.71	251.48	242.88	256.78	381.68	285.03	387.02	44.25	136.19	249.73	84.63	339.14	71.5	167.9	57.08	106.63	157.68	110.43	119.26	166.73	101.54	170.25	217.27	65.72	17.13
PIH1D2	88.88	120.1	75.64	82.87	115.97	135.24	127.0	13.22	0.0	36.53	12.36	30.12	27.05	36.53	13.22	18.43	37.59	17.9	38.67	56.28	12.74	35.76	40.64	44.25	3.17
RPA2	1225.22	1119.56	1119.56	1233.75	1498.22	1259.69	1721.16	679.29	0.0	748.61	638.15	854.13	514.56	624.99	242.88	525.39	1023.0	629.35	802.41	909.17	808.0	1088.92	878.17	269.6	201.25
SACM1L	995.0	753.83	743.43	830.75	1030.12	1331.57	1081.39	221.86	0.0	909.17	567.1	607.87	346.29	591.22	281.09	389.72	656.11	389.72	483.38	599.49	346.29	571.05	693.58	353.59	241.19
SMARCAD1	785.88	551.56	414.87	587.13	915.51	620.67	674.59	27.44	0.0	486.75	253.23	379.04	128.79	264.03	94.01	159.9	264.03	198.47	209.84	204.07	140.04	248.0	312.0	97.36	63.0
TEFM	460.44	316.37	341.51	389.72	438.59	316.37	684.02	113.56	0.0	285.03	165.57	329.84	223.41	123.5	147.06	143.01	438.59	187.71	253.23	320.8	166.73	441.64	229.72	118.43	38.67
TET2	366.09	260.38	170.25	265.87	312.0	215.77	205.5	10.39	0.0	187.71	89.51	156.59	76.17	132.44	61.25	92.7	90.77	82.87	88.26	47.84	75.11	74.06	150.17	85.82	43.02
TGDS	414.87	305.55	314.17	363.56	551.56	400.71	503.95	65.72	0.0	312.0	269.6	529.06	193.01	242.88	140.04	182.55	293.07	191.67	297.17	518.15	186.4	277.2	346.29	118.43	38.67
TMEM218	961.07	748.61	748.61	693.58	1023.0	974.5	1199.98	460.44	0.0	473.41	426.57	575.03	470.14	490.14	325.29	297.17	684.02	567.1	656.11	796.86	318.57	660.68	583.07	314.17	94.67
TMEM68	713.11	463.65	426.57	536.45	854.13	555.41	819.3	113.56	0.0	293.07	234.57	334.46	187.71	293.07	143.01	211.31	201.25	191.67	237.86	417.77	217.27	244.57	395.18	194.36	189.02
TRMT10A	206.94	167.9	167.9	187.71	229.72	204.07	265.87	12.0	0.0	119.26	136.19	156.59	77.79	105.15	115.97	55.89	105.89	95.34	121.79	175.07	100.83	134.3	198.47	75.11	80.57
TTC5	249.73	249.73	265.87	312.0	353.59	395.18	429.54	215.77	0.0	158.79	102.25	167.9	103.69	135.24	68.55	155.5	199.85	134.3	218.79	387.02	120.1	295.11	165.57	53.57	30.12
TXLNB	39.22	70.51	50.98	35.0	146.03	141.02	97.36	5.87	0.0	38.4	9.7	12.45	5.19	14.67	7.28	38.4	38.12	14.67	14.67	14.67	8.92	39.22	23.76	8.99	2.71
TXNL4B	318.57	295.11	197.09	329.84	273.37	318.57	660.68	100.13	149.12	223.41	189.02	236.21	195.72	177.53	115.97	152.28	220.32	158.79	253.23	281.09	180.02	323.03	307.69	88.88	202.66
ZBTB26	255.0	195.72	157.68	197.09	205.5	208.38	258.57	19.25	0.0	140.04	53.95	189.02	39.5	75.11	17.9	50.63	97.36	58.71	52.82	81.14	34.75	83.45	130.6	33.06	19.68
ZC3H8	389.72	287.01	277.2	341.51	366.09	363.56	392.44	35.0	0.0	312.0	125.24	277.2	138.1	110.43	73.03	79.45	154.42	85.82	81.71	202.66	157.68	133.36	248.0	101.54	96.01
ZNF14	312.0	232.94	218.79	356.05	353.59	320.8	438.59	18.29	0.0	137.14	68.07	109.66	55.89	96.68	25.91	61.68	124.37	84.04	88.88	161.02	54.33	117.6	181.28	32.13	10.08
ZNF484	108.9	76.71	89.51	105.89	87.03	102.97	241.19	6.62	0.0	108.14	38.12	100.13	25.91	53.57	19.82	38.67	47.5	30.12	43.02	46.84	21.16	47.5	52.08	19.97	19.82
ZNF571	159.9	134.3	122.64	170.25	183.82	173.85	232.94	23.59	0.0	101.54	43.94	81.14	31.9	56.28	28.24	35.25	71.0	49.21	40.36	57.49	52.82	63.0	120.94	55.49	22.1
ZNF572	55.1	54.72	35.25	62.12	88.26	109.66	131.51	3.32	0.0	27.64	10.88	39.5	8.06	20.26	4.66	8.19	19.82	17.13	12.64	12.18	16.63	17.13	29.91	3.82	0.0
