	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.BP.4354.01A.02R.1289.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.66.2744.01A.01R.0980.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.22.4605.01A.21R.2125.07	TCGA.22.1016.01A.01R.0692.07	TCGA.39.5028.01A.01R.1443.07	TCGA.52.7622.01A.11R.2125.07	TCGA.66.2770.01A.01R.0851.07	TCGA.21.1076.01A.01R.0692.07
HYPK	412.0	152.28	117.6	94.67	111.99	91.41	41.22	87.03	66.65	41.52	101.54	36.53	100.83	128.79	118.43	62.56	49.91	101.54	77.25	397.93	105.89	88.88	109.66	38.67	115.97	72.01	72.01	115.16	194.36	136.19	226.54	157.68	193.01	158.79	142.01
ITGA2	275.28	559.28	163.28	22.26	21.94	26.67	2.14	3.26	2.39	4.03	1.17	11.73	2.71	5.11	6.94	5.77	2.12	5.5	0.88	231.32	2.14	20.11	1.73	1.79	8.19	6.31	3.26	1242.34	429.54	665.29	563.18	368.65	361.04	567.1	921.88
LIPN	11.55	2.56	18.56	1.22	0.97	2.16	0.0	1.16	2.25	0.0	0.0	0.0	0.0	0.0	1.06	0.0	0.0	1.69	0.0	13.32	0.0	4.03	0.0	0.0	0.0	0.0	0.0	2.81	17.77	9.56	19.25	6.62	6.94	4.21	8.38
LPPR5	1.75	1.62	1.01	0.0	1.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	5.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.31	0.3	0.66	0.28	0.29	1.35
MAPRE1	1208.34	2287.2	2351.53	796.86	954.43	902.89	457.25	571.05	567.1	587.13	197.09	351.14	902.89	500.46	379.04	348.71	314.17	316.37	366.09	1936.53	239.52	447.82	208.38	318.57	356.05	403.5	441.64	3540.14	1709.26	1781.89	2468.49	2178.83	2319.15	1685.71	1883.54
NBL1	4268.94	1277.29	1397.83	633.73	412.0	348.71	100.13	127.89	195.72	110.43	108.14	79.45	229.72	198.47	187.71	165.57	81.71	123.5	69.52	713.11	104.42	156.59	20.41	21.47	60.82	60.39	181.28	1697.45	4152.18	4836.35	2816.11	4639.29	2287.2	3716.2	3794.3
NKRF	224.97	211.31	126.12	71.0	113.56	81.14	55.1	102.97	72.52	105.89	73.03	68.07	95.34	103.69	82.87	66.18	59.13	51.35	73.54	279.14	71.0	84.04	64.8	97.36	58.3	66.18	47.17	158.79	195.72	303.44	214.27	314.17	265.87	175.07	237.86
PADI1	1242.34	142.01	17.51	1.01	1.06	17.25	0.48	1.2	67.12	0.0	0.61	1.39	0.21	0.14	6.73	0.26	2.1	2.14	2.84	429.54	0.0	0.99	1.36	0.85	4.28	0.0	0.0	4.62	480.04	13.03	10.71	38.4	9.63	3.56	17.0
PFKP	1883.54	1721.16	4358.66	202.66	256.78	591.22	46.84	58.71	29.27	24.46	35.5	20.41	180.02	194.36	108.9	57.08	19.82	38.95	59.55	1295.13	10.08	23.76	25.54	18.7	78.34	32.13	51.71	2090.03	2976.74	1923.14	656.11	1781.89	1183.45	1233.75	1447.15
PRNP	4066.71	2047.0	2209.26	1369.04	3349.13	6164.49	1605.83	1242.34	1883.54	1359.57	486.75	1030.12	4239.45	1651.0	1832.01	884.29	954.43	633.73	1127.35	25179.16	753.83	733.19	587.13	693.58	947.83	890.44	866.07	2935.74	2335.28	4239.45	1977.24	10733.74	2468.49	2720.15	2502.97
PTPN1	830.75	616.37	1407.55	353.59	414.87	595.34	246.28	414.87	384.34	325.29	309.83	214.27	532.74	361.04	312.0	318.57	283.05	297.17	387.02	620.67	205.5	356.05	187.71	228.13	295.11	201.25	351.14	1135.2	1781.89	1143.1	1540.37	884.29	1167.14	878.17	1151.06
RNF4	511.0	878.17	1417.35	444.72	674.59	728.11	476.71	518.15	497.0	384.34	301.33	297.17	848.22	480.04	417.77	389.72	373.81	389.72	358.54	954.43	297.17	441.64	281.09	146.03	417.77	293.07	395.18	808.0	1242.34	728.11	1313.23	796.86	1073.91	902.89	902.89
RP11-159D12.5	73.54	76.17	114.36	13.22	33.78	34.51	4.5	1.11	10.71	4.43	9.41	9.13	33.06	17.51	22.1	12.83	5.92	9.93	13.83	111.21	8.58	11.3	32.59	5.59	11.13	20.41	9.56	84.63	77.79	49.91	138.1	79.45	66.18	88.26	83.45
SEMA3F	1794.29	1350.18	679.29	169.07	175.07	151.22	100.13	98.04	105.15	88.88	57.08	74.06	108.9	83.45	113.56	100.13	65.26	63.89	43.63	191.67	52.45	104.42	52.82	25.54	53.95	71.0	79.45	1044.52	1208.34	1388.16	1208.34	728.11	878.17	909.17	1216.75
SF3B4	2417.67	1844.76	1001.93	759.08	995.0	1037.29	647.07	587.13	884.29	684.02	595.34	599.49	866.07	1044.52	733.19	567.1	563.18	665.29	567.1	1487.87	309.83	738.29	334.46	126.12	599.49	583.07	703.28	1151.06	1757.34	1857.6	1561.89	995.0	1605.83	1605.83	1119.56
SLC16A3	1721.16	1037.29	7589.61	438.59	483.38	571.05	159.9	209.84	140.04	62.12	50.98	98.73	339.14	343.89	144.01	194.36	54.33	59.97	87.03	1991.0	22.26	155.5	52.82	167.9	198.47	129.69	113.56	3443.31	2720.15	2835.7	1757.34	1250.98	1467.37	2287.2	2119.22
SLC1A5	796.86	2956.17	2240.11	1030.12	693.58	2148.82	309.83	616.37	273.37	176.29	115.97	194.36	218.79	532.74	249.73	273.37	138.1	199.85	110.43	5006.93	73.54	124.37	80.01	376.41	450.94	251.48	260.38	3794.3	3768.09	6037.61	1819.35	5633.22	5219.6	4328.55	2645.74
SNAI1	551.56	173.85	127.89	297.17	155.5	432.53	81.14	301.33	76.17	44.57	52.45	54.72	59.97	118.43	75.64	55.49	18.97	162.14	16.39	1963.57	30.78	59.13	9.41	37.05	100.13	40.64	65.72	173.85	307.69	256.78	279.14	175.07	224.97	142.01	187.71
SP9	6.52	23.76	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	3.89	0.47	8.92	0.82	0.45	4.62	2.07
SPP1	16727.26	2384.37	20593.91	2701.35	3419.52	16269.83	480.04	890.44	406.31	1417.35	191.67	205.5	2335.28	10512.82	2520.38	1295.13	265.87	260.38	1242.34	58250.19	109.66	525.39	366.09	80.01	6983.79	273.37	1628.26	12502.12	18950.18	97288.74	6164.49	25005.23	50011.46	48982.22	22072.07
STX3	480.04	441.64	480.04	236.21	198.47	279.14	78.89	163.28	153.34	106.63	52.82	88.26	170.25	275.28	244.57	56.68	90.77	100.83	131.51	1259.69	40.36	95.34	43.32	73.03	180.02	126.12	135.24	825.0	532.74	429.54	981.29	417.77	791.35	346.29	441.64
TES	1322.37	974.5	1286.18	262.2	414.87	866.07	334.46	209.84	599.49	141.02	72.01	64.34	260.38	547.75	206.94	127.89	299.25	118.43	269.6	1991.0	105.15	343.89	127.89	35.25	221.86	127.89	215.77	1437.15	1388.16	1044.52	1111.82	1378.57	1225.22	703.28	1216.75
THBS2	1051.79	309.83	10440.2	791.35	320.8	941.27	79.45	66.18	38.4	22.26	16.03	35.0	88.26	122.64	246.28	57.49	15.34	14.78	32.82	2664.15	2.12	11.3	79.45	19.97	62.56	28.45	34.02	3235.01	1322.37	1487.87	2047.0	1639.59	1242.34	2573.36	2417.67
TM4SF1	4937.99	9606.86	4869.99	3665.02	947.83	5147.73	1487.87	2682.69	5831.91	1639.59	336.79	825.0	3955.48	2956.17	1583.71	854.13	688.78	909.17	400.71	13968.57	397.93	1295.13	460.44	182.55	1977.24	1437.15	1199.98	3372.43	7180.15	12502.12	3639.7	13968.57	9474.59	8901.53	10154.69
TMEM165	2701.35	1685.71	2935.74	486.75	1111.82	967.76	500.46	532.74	447.82	417.77	215.77	314.17	921.88	525.39	420.68	283.05	279.14	297.17	595.34	1651.0	223.41	486.75	301.33	208.38	500.46	301.33	361.04	3257.52	2816.11	1529.73	2758.13	3419.52	2319.15	2875.3	2537.92
TMEM43	1268.46	995.0	1977.24	450.94	450.94	928.3	318.57	397.93	493.56	223.41	150.17	271.48	470.14	260.38	323.03	164.42	215.77	309.83	273.37	642.59	241.19	336.79	169.07	81.71	232.94	209.84	289.02	738.29	1331.57	1397.83	1304.15	1051.79	1151.06	1295.13	1340.84
TRA2B	3874.05	4543.8	1963.57	1388.16	1457.23	1617.0	1259.69	1233.75	1697.45	1175.27	909.17	921.88	1457.23	1709.26	1119.56	1104.13	1096.5	1350.18	1037.29	5672.41	1151.06	1819.35	1096.5	854.13	1119.56	890.44	988.12	2451.44	3982.99	2193.99	3564.78	1832.01	3443.31	3716.2	3443.31
UBE2I	3349.13	2090.03	2163.77	1378.57	1359.57	1781.89	909.17	915.51	1073.91	909.17	547.75	656.11	1340.84	1378.57	915.51	674.59	1023.0	743.43	961.07	2287.2	616.37	748.61	563.18	376.41	921.88	723.08	775.05	2796.65	2835.7	2384.37	3372.43	2400.97	2701.35	3280.18	2502.97
WISP1	1250.98	1437.15	193.01	45.85	41.81	181.28	14.14	17.13	23.76	12.0	4.35	13.03	115.16	21.01	17.0	12.93	10.31	16.27	6.89	457.25	1.79	13.03	11.3	7.34	22.1	11.64	12.93	187.71	575.03	236.21	318.57	314.17	279.14	1378.57	397.93
YTHDC1	1572.76	1242.34	1104.13	785.88	392.44	753.83	447.82	521.76	633.73	432.53	358.54	543.96	629.35	603.67	551.56	624.99	457.25	595.34	373.81	2061.24	525.39	698.41	486.75	186.4	473.41	435.55	384.34	813.63	1199.98	802.41	1295.13	1073.91	1001.93	928.3	872.1
ZBTB43	242.88	130.6	145.02	96.01	239.52	107.38	53.57	82.87	113.56	64.8	57.08	49.56	156.59	64.34	78.34	57.89	53.95	65.72	76.71	642.59	61.25	76.71	74.06	37.32	69.52	68.07	64.34	102.25	181.28	120.94	253.23	113.56	155.5	253.23	201.25
ZNF473	123.5	190.34	90.14	51.71	65.72	63.0	38.4	44.25	50.98	34.75	27.25	27.64	47.17	65.26	49.91	40.64	30.56	53.19	42.11	194.36	40.36	49.91	26.47	13.72	33.78	31.9	44.89	134.3	83.45	137.14	220.32	153.34	127.0	150.17	97.36
