	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07
DSE	100.13	500.46	540.19	74.58	320.8	463.65	395.18	158.79	171.45	46.5	202.66	90.77	121.79	121.79	343.89	241.19	497.0	444.72	57.89	152.28
DUSP6	656.11	1143.1	1250.98	283.05	2018.8	1096.5	633.73	764.36	830.75	417.77	1175.27	947.83	890.44	176.29	1781.89	921.88	1277.29	3716.2	503.95	493.56
ELK3	314.17	1135.2	1457.23	514.56	616.37	753.83	825.0	420.68	684.02	191.67	575.03	412.0	414.87	109.66	599.49	679.29	878.17	759.08	264.03	470.14
ENTPD1	329.84	802.41	941.27	320.8	595.34	665.29	563.18	400.71	624.99	119.26	343.89	183.82	395.18	134.3	660.68	279.14	825.0	743.43	182.55	281.09
ERAP1	144.01	1191.69	1051.79	819.3	1477.58	1066.48	1216.75	934.76	825.0	182.55	540.19	205.5	244.57	412.0	624.99	825.0	1096.5	1088.92	460.44	392.44
FAM122A	146.03	334.46	293.07	154.42	237.86	236.21	363.56	229.72	271.48	90.14	231.32	224.97	173.85	205.5	199.85	202.66	329.84	346.29	86.43	164.42
FAM26E	26.47	53.19	98.73	12.0	33.78	65.72	41.52	53.95	48.18	7.82	25.72	7.22	21.94	4.78	49.91	19.39	57.49	44.57	11.13	13.93
FAP	473.41	1870.53	2075.59	403.5	974.5	1572.76	1015.93	769.69	872.1	39.22	518.15	122.64	507.46	38.95	620.67	178.77	1617.0	1437.15	108.14	185.11
FCHO2	173.85	536.45	444.72	346.29	441.64	575.03	420.68	329.84	346.29	105.15	420.68	285.03	228.13	113.56	389.72	363.56	379.04	497.0	395.18	246.28
FEZ2	624.99	1397.83	1127.35	669.92	967.76	1001.93	842.36	909.17	947.83	579.04	878.17	497.0	642.59	836.53	878.17	688.78	947.83	981.29	525.39	450.94
FHAD1	23.08	102.97	94.01	59.55	59.97	89.51	42.71	47.5	69.52	12.0	37.59	10.39	55.89	4.1	77.79	38.95	90.77	88.88	34.75	31.67
FMNL3	262.2	466.88	738.29	150.17	454.09	629.35	473.41	229.72	547.75	84.04	271.48	156.59	237.86	81.71	454.09	387.02	547.75	500.46	107.38	202.66
FNDC1	170.25	368.65	642.59	59.13	133.36	400.71	297.17	327.56	244.57	10.88	249.73	38.12	151.22	8.51	543.96	33.3	329.84	674.59	49.91	67.59
GIT2	329.84	629.35	587.13	253.23	532.74	559.28	503.95	532.74	486.75	195.72	521.76	371.22	332.14	202.66	503.95	381.68	651.58	579.04	190.34	361.04
GLS	255.0	743.43	753.83	224.97	698.41	660.68	728.11	303.44	518.15	30.56	212.78	228.13	211.31	275.28	684.02	291.04	981.29	808.0	244.57	191.67
GNG2	115.16	438.59	525.39	64.34	341.51	301.33	242.88	116.78	283.05	36.79	102.97	77.25	142.01	31.45	267.73	190.34	503.95	295.11	82.29	135.24
GPR141	9.13	49.21	77.79	8.06	46.84	82.87	86.43	36.53	33.78	10.08	31.45	12.93	13.03	8.45	14.14	33.06	77.79	72.01	23.59	12.09
HECA	119.26	483.38	511.0	100.13	395.18	395.18	366.09	289.02	291.04	129.69	314.17	241.19	241.19	135.24	223.41	332.14	473.41	409.15	183.82	165.57
HEG1	258.57	665.29	1096.5	119.26	543.96	583.07	764.36	368.65	718.08	44.25	395.18	229.72	363.56	53.95	543.96	223.41	941.27	567.1	68.07	334.46
HERC1	633.73	830.75	1191.69	384.34	1127.35	947.83	981.29	928.3	830.75	389.72	1096.5	599.49	693.58	693.58	915.51	693.58	1119.56	1023.0	450.94	679.29
HUWE1	1127.35	1721.16	1963.57	1191.69	1561.89	1709.26	2591.27	1745.2	1832.01	872.1	1950.0	1487.87	1388.16	981.29	1417.35	1151.06	1745.2	1896.65	780.44	1167.14
IL1R1	127.0	1437.15	1119.56	146.03	486.75	947.83	387.02	438.59	665.29	46.84	579.04	239.52	575.03	11.04	314.17	255.0	1259.69	1001.93	150.17	221.86
IMPAD1	616.37	909.17	860.08	808.0	941.27	890.44	988.12	688.78	656.11	339.14	693.58	713.11	660.68	414.87	753.83	651.58	1030.12	896.64	457.25	813.63
ITGA1	180.02	429.54	764.36	62.12	447.82	514.56	444.72	438.59	518.15	58.71	204.07	62.12	387.02	98.04	463.65	218.79	325.29	384.34	167.9	279.14
ITGAL	131.51	363.56	224.97	267.73	376.41	373.81	532.74	172.65	217.27	74.58	194.36	145.02	35.25	55.89	173.85	170.25	638.15	332.14	221.86	65.26
ITGBL1	529.06	1417.35	1233.75	273.37	656.11	1073.91	796.86	909.17	1119.56	50.63	616.37	170.25	283.05	40.36	796.86	559.28	1477.58	921.88	108.14	441.64
KBTBD8	5.5	40.36	34.26	9.27	42.11	33.3	26.28	4.43	10.96	1.64	16.75	9.63	5.77	19.39	9.48	12.27	39.79	25.72	3.32	8.99
KCTD10	486.75	941.27	1066.48	543.96	748.61	753.83	703.28	493.56	633.73	273.37	536.45	525.39	497.0	285.03	836.53	363.56	909.17	1030.12	209.84	651.58
KCTD9	351.14	759.08	571.05	312.0	563.18	536.45	441.64	444.72	420.68	209.84	435.55	368.65	271.48	178.77	536.45	303.44	457.25	540.19	356.05	249.73
KIAA1109	414.87	934.76	693.58	339.14	764.36	825.0	660.68	444.72	555.41	140.04	612.11	432.53	511.0	403.5	395.18	536.45	934.76	785.88	258.57	417.77
KIAA1217	409.15	1628.26	1044.52	256.78	785.88	842.36	884.29	703.28	607.87	299.25	1044.52	575.03	483.38	283.05	612.11	575.03	1322.37	954.43	262.2	567.1
L3MBTL3	36.01	181.28	164.42	27.64	94.01	89.51	111.21	65.72	71.5	8.51	64.8	21.47	68.07	69.03	136.19	71.0	165.57	195.72	14.24	18.03
LDHAL6B	1.27	4.43	3.11	0.0	0.0	2.48	1.41	0.69	1.11	0.0	1.04	0.67	0.0	0.0	1.75	0.8	1.53	1.64	0.0	0.37
LHFPL2	186.4	1378.57	878.17	299.25	941.27	591.22	438.59	265.87	403.5	58.3	327.56	172.65	323.03	119.26	921.88	256.78	733.19	995.0	159.9	316.37
LIMS1	387.02	1023.0	1359.57	521.76	902.89	974.5	791.35	500.46	543.96	170.25	708.18	473.41	551.56	267.73	796.86	583.07	961.07	1199.98	260.38	728.11
LOX	155.5	947.83	1119.56	115.97	339.14	934.76	624.99	287.01	237.86	16.39	217.27	41.22	220.32	19.53	624.99	143.01	733.19	503.95	42.41	135.24
LRRC8C	42.11	208.38	223.41	44.57	176.29	137.14	146.03	34.51	117.6	14.03	65.26	53.95	53.57	20.56	86.43	109.66	204.07	145.02	31.67	61.68
MBNL1	490.14	1487.87	1769.57	587.13	1350.18	1191.69	1388.16	1175.27	860.08	289.02	981.29	567.1	633.73	287.01	1073.91	1037.29	1662.49	1388.16	389.72	669.92
MEF2A	221.86	902.89	860.08	503.95	563.18	860.08	493.56	265.87	457.25	167.9	343.89	239.52	417.77	256.78	532.74	441.64	775.05	718.08	329.84	397.93
MRVI1	85.82	211.31	206.94	29.06	154.42	193.01	147.06	202.66	212.78	29.7	84.63	22.92	98.04	12.45	128.79	71.5	234.57	182.55	37.85	75.64
MSL3	220.32	684.02	547.75	387.02	693.58	490.14	808.0	332.14	420.68	249.73	387.02	392.44	271.48	186.4	363.56	323.03	698.41	575.03	115.97	155.5
MSRB3	194.36	532.74	703.28	151.22	483.38	426.57	470.14	182.55	414.87	37.85	211.31	71.5	232.94	25.35	239.52	164.42	688.78	289.02	61.25	163.28
MTHFD1L	105.89	255.0	291.04	123.5	209.84	232.94	182.55	152.28	162.14	27.44	102.97	88.26	133.36	126.12	237.86	159.9	234.57	371.22	35.0	67.59
MVP	1769.57	2758.13	1963.57	1950.0	2816.11	3372.43	2502.97	2555.58	1857.6	1437.15	2075.59	698.41	2367.9	1857.6	2976.74	1991.0	3081.75	4066.71	2287.2	2335.28
MYO9A	68.07	353.59	277.2	90.14	209.84	191.67	285.03	155.5	130.6	43.63	163.28	141.02	110.43	80.57	199.85	105.89	371.22	183.82	36.53	156.59
NCK1	341.51	981.29	785.88	536.45	842.36	708.18	665.29	532.74	536.45	366.09	624.99	540.19	417.77	351.14	603.67	603.67	780.44	728.11	281.09	409.15
NFAT5	42.41	368.65	231.32	72.01	177.53	146.03	182.55	103.69	124.37	7.11	111.99	59.13	57.89	36.53	101.54	173.85	244.57	178.77	11.73	92.7
NINJ2	144.01	336.79	409.15	130.6	204.07	376.41	182.55	189.02	187.71	24.11	165.57	57.89	134.3	40.64	161.02	169.07	273.37	293.07	43.94	98.04
NREP	961.07	1733.13	2997.45	808.0	1378.57	1870.53	2047.0	1135.2	1540.37	258.57	819.3	432.53	1119.56	543.96	878.17	514.56	1519.15	3235.01	511.0	785.88
NRG1	4.54	83.45	90.14	8.99	36.53	54.72	20.41	51.35	11.04	0.23	9.06	1.17	24.63	0.87	21.01	1.77	201.25	49.91	0.56	8.0
NSMAF	198.47	587.13	441.64	265.87	450.94	480.04	403.5	289.02	309.83	84.04	366.09	204.07	332.14	307.69	356.05	368.65	693.58	426.57	242.88	167.9
NUAK1	66.65	155.5	327.56	70.01	171.45	181.28	152.28	120.1	143.01	28.86	96.01	74.06	88.26	24.28	220.32	49.56	287.01	144.01	16.39	66.65
NUP160	285.03	583.07	571.05	366.09	583.07	529.06	575.03	366.09	314.17	171.45	420.68	283.05	260.38	152.28	368.65	273.37	629.35	403.5	218.79	346.29
OSGIN2	234.57	441.64	409.15	275.28	591.22	493.56	493.56	397.93	273.37	199.85	412.0	224.97	329.84	162.14	241.19	363.56	599.49	423.61	351.14	251.48
PABPC4L	4.46	25.72	32.13	4.82	15.22	14.89	16.39	5.82	15.22	1.43	7.69	3.79	7.57	1.93	11.64	9.27	22.75	9.56	1.91	6.89
PALLD	1216.75	4038.61	5041.77	665.29	2816.11	2384.37	3716.2	2075.59	2271.4	178.77	2047.0	1127.35	1498.22	236.21	2148.82	1331.57	4607.24	2682.69	764.36	830.75
PCSK9	0.95	2.84	5.54	0.95	3.03	4.7	3.03	5.82	3.86	0.6	1.68	0.36	3.35	0.36	3.99	0.42	10.71	11.91	0.36	1.04
PDE12	204.07	206.94	241.19	158.79	248.0	287.01	356.05	244.57	256.78	127.0	283.05	198.47	194.36	162.14	269.6	155.5	277.2	242.88	144.01	232.94
PDGFRA	98.73	981.29	915.51	114.36	432.53	299.25	316.37	110.43	143.01	4.74	173.85	20.26	246.28	5.68	305.55	141.02	1001.93	791.35	19.68	135.24
PICALM	1331.57	3928.15	3146.52	1857.6	2645.74	3589.58	3103.19	2627.46	2777.33	1030.12	1923.14	2018.8	2351.53	1268.46	3081.75	2664.15	2935.74	4298.64	1551.09	1870.53
PIK3C2A	211.31	656.11	708.18	368.65	642.59	511.0	808.0	417.77	412.0	101.54	540.19	334.46	323.03	178.77	460.44	376.41	612.11	483.38	195.72	373.81
PLS3	688.78	2240.11	1896.65	503.95	1594.73	1277.29	1015.93	934.76	1313.23	169.07	688.78	195.72	780.44	181.28	1037.29	547.75	1870.53	954.43	301.33	514.56
PPTC7	124.37	277.2	232.94	163.28	182.55	204.07	202.66	154.42	178.77	72.52	159.9	115.16	128.79	118.43	164.42	185.11	289.02	178.77	171.45	138.1
PRDM1	59.13	368.65	255.0	33.06	178.77	183.82	208.38	106.63	161.02	14.67	92.7	52.45	97.36	19.97	90.77	120.1	295.11	242.88	47.84	115.16
PRDM4	249.73	703.28	414.87	234.57	473.41	371.22	457.25	368.65	400.71	173.85	358.54	289.02	297.17	229.72	305.55	224.97	493.56	307.69	158.79	371.22
PRKD3	108.14	454.09	486.75	164.42	361.04	325.29	336.79	281.09	258.57	32.13	100.83	50.63	138.1	86.43	148.09	136.19	470.14	343.89	171.45	85.22
PTPN11	642.59	866.07	921.88	638.15	1143.1	808.0	825.0	718.08	854.13	314.17	836.53	651.58	669.92	532.74	830.75	583.07	1037.29	1073.91	343.89	651.58
PTPN12	921.88	1617.0	1437.15	540.19	1407.55	1066.48	1447.15	1216.75	1183.45	669.92	1331.57	785.88	1015.93	395.18	1225.22	1167.14	1477.58	1199.98	633.73	688.78
QKI	237.86	1561.89	1313.23	242.88	764.36	909.17	830.75	447.82	684.02	75.64	429.54	373.81	447.82	140.04	493.56	454.09	1331.57	1175.27	241.19	327.56
RAI14	236.21	819.3	748.61	102.97	791.35	454.09	638.15	454.09	825.0	265.87	532.74	209.84	493.56	68.07	638.15	275.28	995.0	579.04	414.87	287.01
RASAL2	87.65	249.73	262.2	102.25	202.66	214.27	211.31	165.57	224.97	35.5	170.25	40.36	136.19	30.12	305.55	173.85	295.11	368.65	67.12	153.34
RASGRP3	103.69	312.0	334.46	42.11	237.86	237.86	211.31	100.83	256.78	23.08	134.3	67.12	147.06	29.27	206.94	119.26	220.32	149.12	56.28	100.13
RBMS1	193.01	1286.18	1073.91	260.38	575.03	842.36	575.03	368.65	518.15	198.47	387.02	579.04	373.81	38.67	507.46	249.73	1051.79	928.3	281.09	417.77
RBMS2	70.51	341.51	392.44	82.29	215.77	323.03	279.14	249.73	239.52	43.94	175.07	79.45	176.29	161.02	236.21	155.5	406.31	397.93	50.27	73.03
RC3H2	226.54	521.76	381.68	156.59	273.37	334.46	371.22	309.83	283.05	82.87	237.86	164.42	246.28	221.86	271.48	195.72	476.71	373.81	106.63	287.01
RDX	232.94	748.61	954.43	269.6	703.28	665.29	1066.48	674.59	1073.91	182.55	406.31	555.41	769.69	559.28	981.29	656.11	842.36	1008.9	616.37	249.73
RNF19B	198.47	836.53	514.56	301.33	480.04	483.38	426.57	476.71	287.01	283.05	301.33	381.68	435.55	279.14	529.06	351.14	620.67	753.83	255.0	246.28
RP11-403P17.5	2.46	5.06	2.27	0.0	0.0	8.65	4.78	0.0	2.14	0.0	1.0	0.0	2.73	0.0	2.39	0.0	3.76	7.63	0.0	0.0
SCGB2A2	517068.97	25179.16	269512.87	736332.6	1800541.22	938500.81	1318073.06	1163466.92	1788103.97	1751305.3	2279047.19	1668359.93	1422501.74	96616.71	1600397.78	8805660.77	149521.18	1345768.59	39.79	1578364.61
SERPINB8	99.43	503.95	220.32	187.71	262.2	351.14	156.59	91.41	99.43	93.35	103.69	52.08	175.07	68.07	262.2	109.66	303.44	412.0	57.89	107.38
SFRP4	1030.12	4671.57	3039.3	384.34	1081.39	656.11	1369.04	902.89	1159.07	119.26	860.08	264.03	703.28	33.54	1857.6	366.09	3665.02	808.0	275.28	629.35
SLC15A4	255.0	603.67	441.64	283.05	435.55	435.55	361.04	373.81	318.57	164.42	277.2	190.34	223.41	176.29	343.89	269.6	536.45	435.55	189.02	251.48
SLC35B4	52.82	108.14	136.19	49.91	124.37	88.26	82.87	80.57	74.58	58.3	60.39	52.82	53.57	61.25	102.97	70.01	161.02	125.24	46.84	48.18
SLC36A1	58.71	201.25	145.02	45.85	90.77	131.51	72.52	75.11	49.21	10.08	49.91	60.39	51.35	17.64	138.1	27.64	185.11	98.04	7.06	63.0
SLFN12	35.5	251.48	208.38	55.49	283.05	206.94	262.2	197.09	186.4	13.12	125.24	18.29	41.81	11.64	118.43	69.03	255.0	182.55	20.56	38.4
SNX29	115.97	228.13	299.25	114.36	228.13	242.88	249.73	185.11	172.65	139.07	162.14	148.09	118.43	81.71	120.94	122.64	327.56	173.85	82.87	130.6
SP1	728.11	1104.13	1225.22	703.28	988.12	1081.39	1175.27	1015.93	796.86	392.44	1127.35	713.11	708.18	435.55	813.63	743.43	1127.35	1208.34	435.55	775.05
SRPX2	180.02	429.54	703.28	100.13	267.73	341.51	283.05	318.57	432.53	36.01	241.19	28.86	256.78	12.36	406.31	80.01	309.83	928.3	66.18	68.07
SSH1	119.26	285.03	346.29	117.6	194.36	291.04	256.78	209.84	176.29	53.57	185.11	92.05	139.07	81.71	201.25	148.09	332.14	309.83	68.55	129.69
ST8SIA4	45.21	127.89	158.79	26.86	164.42	144.01	101.54	59.55	102.25	9.85	62.56	36.79	43.94	20.11	123.5	94.67	149.12	120.94	38.12	56.68
STARD4	42.11	94.67	97.36	19.97	84.63	95.34	72.01	65.72	74.06	11.64	40.07	15.11	40.07	21.94	93.35	34.51	99.43	116.78	16.51	77.79
SWAP70	353.59	928.3	1066.48	346.29	1066.48	928.3	836.53	703.28	981.29	332.14	769.69	684.02	713.11	112.77	684.02	563.18	988.12	1023.0	409.15	457.25
SYT11	70.01	180.02	246.28	57.89	162.14	143.01	142.01	77.25	146.03	24.46	93.35	43.63	68.07	18.43	126.12	80.01	218.79	120.94	31.67	74.58
TBRG1	194.36	638.15	470.14	275.28	387.02	633.73	575.03	470.14	674.59	325.29	363.56	371.22	309.83	275.28	567.1	503.95	525.39	647.07	348.71	167.9
TCP11L1	60.39	158.79	157.68	63.0	154.42	141.02	82.87	86.43	127.89	31.45	62.12	57.49	102.25	51.71	134.3	94.01	217.27	151.22	62.56	69.52
THBS2	753.83	3768.09	3982.99	575.03	1225.22	3443.31	1870.53	2193.99	1322.37	57.08	1111.82	182.55	780.44	43.63	3018.3	366.09	3467.27	2816.11	130.6	536.45
TNS3	447.82	860.08	854.13	150.17	547.75	1322.37	785.88	571.05	830.75	134.3	579.04	406.31	277.2	483.38	1191.69	638.15	974.5	1508.65	135.24	555.41
TPM4	3874.05	22850.48	12329.98	3716.2	12853.63	10154.69	10440.2	9808.75	8363.13	7130.55	8134.41	5292.48	8363.13	633.73	14065.74	3540.14	10733.74	13399.51	6164.49	6294.04
UACA	616.37	1199.98	1216.75	215.77	796.86	1044.52	819.3	848.22	1044.52	368.65	665.29	244.57	866.07	130.6	974.5	351.14	764.36	1096.5	733.19	242.88
VCAN	890.44	5954.47	7331.05	830.75	2240.11	3639.7	3039.3	1781.89	2485.67	47.84	1331.57	199.85	1685.71	45.53	1936.53	432.53	4903.87	3257.52	173.85	674.59
VGLL4	595.34	1167.14	1628.26	703.28	1143.1	1551.09	1127.35	1111.82	884.29	607.87	1183.45	902.89	848.22	540.19	1388.16	791.35	1508.65	1331.57	713.11	738.29
VPS13A	98.04	269.6	248.0	77.79	253.23	194.36	297.17	198.47	220.32	46.84	123.5	70.01	102.97	136.19	104.42	122.64	312.0	167.9	75.11	90.77
WDR36	140.04	318.57	248.0	201.25	249.73	208.38	251.48	202.66	189.02	69.52	194.36	129.69	107.38	76.71	209.84	140.04	303.44	202.66	122.64	187.71
YEATS2	124.37	327.56	265.87	77.79	251.48	236.21	172.65	246.28	191.67	112.77	239.52	157.68	158.79	88.26	281.09	166.73	314.17	332.14	87.65	122.64
YPEL2	77.25	718.08	429.54	122.64	409.15	447.82	540.19	457.25	329.84	193.01	536.45	194.36	251.48	140.04	339.14	283.05	297.17	403.5	251.48	164.42
ZFAND5	1340.84	3039.3	3395.89	1378.57	2537.92	2835.7	2664.15	2209.26	2537.92	1477.58	2468.49	2148.82	1844.76	1950.0	2193.99	2303.12	3081.75	2976.74	1369.04	1427.22
ZNF532	182.55	723.08	775.05	217.27	397.93	764.36	447.82	346.29	532.74	98.73	470.14	63.45	241.19	101.54	748.61	123.5	796.86	808.0	175.07	285.03
