	TCGA.XF.A9SM.01A.11R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.VS.A8EB.01A.11R.A36F.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.AACF.01A.11R.A41C.07	TCGA.77.7338.01A.11R.2045.07	TCGA.34.2608.01A.02R.0851.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
GCNT4	6.06	131.51	53.57	7.94	15.8	6.41	41.81	8.13	0.83	6.84	25.35	21.78	2.94	0.77	4.78
GLUL	8134.41	29736.59	41475.31	5147.73	10368.08	3146.52	5954.47	11035.54	2367.9	4903.87	20310.37	9025.81	2739.08	3018.3	4123.49
GNG12	688.78	2133.97	1781.89	791.35	1088.92	780.44	1277.29	2287.2	189.02	234.57	1857.6	1295.13	305.55	110.43	281.09
GRHL2	392.44	2555.58	2701.35	305.55	379.04	403.5	1088.92	591.22	0.0	0.0	417.77	323.03	182.55	103.69	0.33
GRPEL2	139.07	2032.85	426.57	171.45	181.28	149.12	285.03	202.66	85.82	137.14	277.2	183.82	123.5	102.97	194.36
HEATR5B	88.26	198.47	195.72	106.63	145.02	98.73	320.8	265.87	74.06	62.56	229.72	136.19	71.0	77.79	53.95
HSD17B12	967.76	2682.69	1963.57	483.38	1359.57	961.07	2609.3	1709.26	591.22	718.08	1794.29	1540.37	624.99	423.61	473.41
IGSF10	3.89	0.91	13.62	5.73	8.32	1.1	195.72	35.76	0.0	0.0	80.57	58.71	0.57	4.46	1.31
IGSF3	400.71	2591.27	1417.35	473.41	638.15	323.03	1685.71	1617.0	14.67	42.11	974.5	813.63	183.82	41.81	103.69
KIAA1430	155.5	236.21	242.88	197.09	334.46	229.72	934.76	400.71	75.64	61.68	395.18	301.33	129.69	72.52	140.04
KIAA1715	234.57	279.14	260.38	198.47	305.55	99.43	1233.75	305.55	108.9	134.3	348.71	314.17	94.01	66.18	34.75
KRAS	269.6	802.41	483.38	466.88	255.0	171.45	854.13	954.43	107.38	98.73	674.59	409.15	156.59	122.64	236.21
