	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.BH.A18M.01A.11R.A12D.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AR.A24H.01A.11R.A169.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.BH.A18I.01A.11R.A12D.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CV.A45Z.01A.21R.A24Z.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.39.5030.01A.01R.1443.07	TCGA.39.5031.01A.01R.1443.07	TCGA.85.8479.01A.11R.2326.07
LYPD2	17.38	2.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174152.51	1299926.74	791.35	4095.0	61.25	753.83	2.61
MPST	2004.85	457.25	336.79	140.04	281.09	108.14	299.25	279.14	356.05	7911.95	8421.31	2148.82	2104.58	1119.56	1844.76	2451.44
MRPL4	2090.03	988.12	571.05	432.53	651.58	406.31	490.14	738.29	884.29	1159.07	2739.08	2335.28	8479.89	1250.98	2018.8	2367.9
MVB12A	1883.54	1313.23	961.07	366.09	612.11	463.65	688.78	909.17	947.83	3564.78	2303.12	2255.7	1936.53	1030.12	1709.26	2520.38
NDUFA13	9808.75	5147.73	4358.66	1216.75	4298.64	2485.67	2875.3	3901.01	4671.57	5006.93	9151.82	10154.69	10733.74	5555.65	8078.22	10368.08
NDUFB7	8538.88	3190.46	2682.69	981.29	2682.69	1008.9	1857.6	2400.97	2758.13	4038.61	8840.04	11909.94	12676.65	4450.27	6337.83	10733.74
NFKBIB	713.11	256.78	277.2	190.34	145.02	69.52	178.77	172.65	312.0	476.71	656.11	764.36	514.56	612.11	463.65	1001.93
PGLS	2537.92	1628.26	1023.0	819.3	1417.35	620.67	830.75	954.43	1088.92	3665.02	5366.37	3589.58	3768.09	1242.34	1909.85	3955.48
PIN1	2537.92	981.29	854.13	195.72	728.11	285.03	518.15	698.41	941.27	1059.11	1769.57	1709.26	4419.52	1457.23	2090.03	3325.99
RAD23A	3874.05	2119.22	2537.92	1250.98	2351.53	1508.65	1617.0	1583.71	1832.01	1286.18	2434.5	6607.01	7130.55	3018.3	3018.3	8022.41
RFXANK	2502.97	2133.97	1044.52	583.07	1151.06	567.1	1051.79	1561.89	1583.71	1674.06	2645.74	3395.89	3742.05	2255.7	3081.75	4512.4
RP1-130H16.18	17.77	16.39	11.64	5.77	18.97	5.63	11.64	9.06	17.0	237.86	152.28	21.16	31.22	24.28	28.45	45.21
RPL18A	79022.82	36610.26	16383.0	8479.89	18689.27	13123.73	15715.58	19348.38	26614.89	56657.31	113315.62	126606.21	137587.47	44145.15	52135.28	95949.32
RPS19	152662.96	49666.0	30151.71	20030.74	23009.42	18178.19	43537.38	34876.28	57051.4	78476.96	127486.83	115696.65	60304.42	58655.36	102836.01	123144.13
RPS28	31650.8	22072.07	10659.59	3372.43	6294.04	7032.37	8363.13	13215.02	13492.72	50011.46	60723.88	45072.75	23820.89	14663.09	13681.08	69271.73
SERPINB13	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.32	5.413281112E7	6.572778255E7	2271.4	301.33	97.36	830.75	450.94
SMIM12	813.63	693.58	486.75	339.14	607.87	373.81	536.45	412.0	764.36	808.0	785.88	981.29	1191.69	1167.14	1044.52	934.76
SPG7	842.36	540.19	457.25	366.09	466.88	420.68	674.59	511.0	629.35	848.22	1268.46	674.59	684.02	698.41	941.27	1857.6
SPINK7	4.24	0.0	0.0	0.0	0.0	0.0	0.37	1.48	0.0	288856.81	360589.03	1250.98	6607.01	3.82	237.86	11.21
SPRR2F	3.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6516.03	397335.0	1457.23	9344.14	37.85	202.66	14.35
STX10	2645.74	819.3	764.36	189.02	518.15	379.04	503.95	669.92	854.13	2075.59	2018.8	2004.85	3349.13	1183.45	1519.15	3742.05
SUGP1	1216.75	785.88	361.04	228.13	320.8	262.2	336.79	450.94	500.46	1191.69	921.88	915.51	769.69	780.44	616.37	921.88
TECR	7695.57	4802.93	3794.3	2485.67	2956.17	3515.68	2119.22	3039.3	2997.45	24832.5	13681.08	10808.41	13306.94	4769.75	7280.4	16383.0
TMED1	947.83	642.59	457.25	130.6	490.14	189.02	341.51	536.45	595.34	339.14	1225.22	748.61	1583.71	813.63	1151.06	1359.57
TMEM161A	915.51	441.64	309.83	283.05	329.84	215.77	323.03	414.87	297.17	329.84	463.65	1427.22	1467.37	595.34	1119.56	1457.23
UBA52	41763.8	24832.5	14361.31	13968.57	21320.18	16960.78	12853.63	16383.0	21468.49	30785.28	52863.07	60304.42	75280.1	28525.2	30785.28	54727.32
UGT1A7	10.08	2.76	1.33	8.25	0.27	0.0	0.0	0.26	0.0	28328.16	42641.37	476.71	842.36	8.85	88.26	87.65
UPF1	1397.83	928.3	591.22	470.14	748.61	327.56	536.45	738.29	791.35	1044.52	974.5	2075.59	2018.8	1259.69	1096.5	1745.2
USE1	1304.15	595.34	460.44	153.34	371.22	291.04	291.04	420.68	450.94	447.82	1304.15	2075.59	854.13	854.13	1313.23	1457.23
WDR83	547.75	204.07	155.5	28.45	131.51	70.51	162.14	183.82	244.57	78.34	323.03	457.25	447.82	267.73	389.72	723.08
WDR83OS	7331.05	5954.47	4328.55	4095.0	4010.71	5076.84	2384.37	3349.13	4512.4	4869.99	9409.14	7803.01	8778.97	4704.07	6516.03	11504.21
YIPF2	1359.57	1378.57	967.76	708.18	1143.1	693.58	633.73	995.0	1051.79	1806.78	1733.13	1572.76	2255.7	1417.35	1883.54	3515.68
ZAR1	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	6.67	2.92	0.43	0.68	0.25	1.13
ZNF653	269.6	131.51	81.14	64.8	96.01	85.82	103.69	109.66	70.01	97.36	145.02	221.86	251.48	138.1	146.03	215.77
