	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07
STX17	429.54	497.0	454.09	142.01	555.41	412.0	228.13	460.44	273.37	205.5	241.19	301.33	486.75	253.23	500.46	208.38	301.33	450.94	86.43	341.51	218.79	301.33	432.53	314.17	244.57	208.38	346.29	327.56	295.11	264.03	591.22	224.97	208.38	414.87	271.48	264.03	511.0	172.65	353.59	271.48	275.28	336.79	147.06	110.43	417.77	351.14	150.17	450.94	165.57	325.29	242.88	253.23	155.5	248.0	273.37	318.57	371.22	320.8	423.61	336.79	325.29	262.2	303.44	241.19	187.71	500.46	202.66	248.0	303.44	521.76	384.34	153.34	283.05	438.59	295.11	368.65	156.59	273.37	400.71	293.07	381.68	329.84	429.54	153.34	201.25	409.15	299.25	339.14	249.73	181.28	384.34	234.57	262.2	279.14	208.38	197.09	186.4	400.71	368.65	351.14	361.04	289.02
SUCO	409.15	559.28	559.28	420.68	563.18	575.03	363.56	674.59	275.28	363.56	356.05	303.44	651.58	318.57	525.39	283.05	332.14	518.15	162.14	366.09	376.41	397.93	559.28	447.82	287.01	309.83	423.61	379.04	277.2	497.0	836.53	255.0	361.04	438.59	346.29	363.56	493.56	361.04	521.76	291.04	329.84	325.29	190.34	189.02	503.95	381.68	224.97	529.06	323.03	299.25	397.93	332.14	249.73	397.93	387.02	429.54	414.87	420.68	518.15	460.44	518.15	454.09	384.34	267.73	334.46	518.15	283.05	305.55	169.07	583.07	529.06	244.57	429.54	473.41	389.72	514.56	323.03	332.14	543.96	358.54	532.74	423.61	620.67	199.85	341.51	507.46	343.89	358.54	295.11	249.73	429.54	285.03	381.68	273.37	291.04	329.84	258.57	441.64	363.56	381.68	397.93	291.04
TAF9B	483.38	529.06	559.28	212.78	647.07	813.63	312.0	629.35	275.28	356.05	358.54	384.34	660.68	450.94	547.75	633.73	381.68	521.76	255.0	476.71	483.38	518.15	748.61	435.55	373.81	248.0	500.46	392.44	397.93	332.14	543.96	232.94	435.55	591.22	414.87	381.68	583.07	348.71	633.73	232.94	444.72	490.14	273.37	307.69	511.0	435.55	400.71	684.02	348.71	395.18	457.25	444.72	384.34	497.0	381.68	444.72	575.03	379.04	620.67	460.44	447.82	384.34	511.0	239.52	291.04	412.0	312.0	392.44	343.89	693.58	708.18	441.64	387.02	529.06	438.59	444.72	301.33	438.59	616.37	441.64	713.11	429.54	438.59	381.68	457.25	514.56	303.44	406.31	301.33	397.93	438.59	395.18	267.73	406.31	432.53	373.81	450.94	679.29	575.03	529.06	612.11	507.46
TAOK1	291.04	353.59	438.59	66.18	363.56	356.05	149.12	547.75	115.16	121.79	143.01	204.07	409.15	149.12	387.02	137.14	194.36	327.56	84.04	229.72	144.01	236.21	392.44	190.34	129.69	98.73	256.78	153.34	171.45	201.25	358.54	108.9	145.02	258.57	169.07	144.01	285.03	135.24	281.09	149.12	228.13	189.02	89.51	87.65	336.79	173.85	110.43	441.64	108.14	170.25	166.73	138.1	109.66	190.34	154.42	316.37	229.72	215.77	320.8	253.23	273.37	201.25	205.5	140.04	124.37	336.79	143.01	126.12	144.01	395.18	327.56	98.73	194.36	420.68	191.67	320.8	92.7	161.02	341.51	145.02	387.02	255.0	291.04	120.94	135.24	242.88	159.9	229.72	143.01	128.79	273.37	127.89	147.06	182.55	125.24	111.21	138.1	236.21	260.38	201.25	246.28	181.28
TBC1D8B	218.79	220.32	181.28	73.03	293.07	275.28	129.69	214.27	73.54	76.17	117.6	119.26	299.25	99.43	220.32	69.52	84.63	158.79	25.35	131.51	88.88	157.68	199.85	163.28	105.15	109.66	173.85	182.55	113.56	117.6	373.81	104.42	85.22	159.9	178.77	140.04	198.47	128.79	181.28	82.29	246.28	152.28	22.92	64.8	224.97	151.22	63.45	239.52	72.52	116.78	171.45	81.71	88.26	138.1	86.43	211.31	198.47	92.05	217.27	189.02	209.84	98.73	162.14	100.83	115.16	316.37	88.88	125.24	67.59	231.32	224.97	94.01	130.6	198.47	146.03	204.07	77.25	148.09	208.38	72.01	205.5	146.03	228.13	57.89	134.3	224.97	115.97	155.5	103.69	79.45	178.77	117.6	128.79	131.51	130.6	98.73	100.13	185.11	140.04	126.12	157.68	127.0
TMEM184C	607.87	607.87	633.73	256.78	629.35	656.11	361.04	780.44	295.11	244.57	339.14	325.29	688.78	392.44	743.43	325.29	447.82	607.87	220.32	521.76	299.25	579.04	698.41	392.44	301.33	256.78	567.1	373.81	281.09	480.04	808.0	214.27	466.88	473.41	397.93	409.15	656.11	223.41	392.44	264.03	323.03	329.84	163.28	246.28	759.08	420.68	271.48	674.59	336.79	476.71	444.72	309.83	241.19	426.57	327.56	665.29	633.73	438.59	543.96	420.68	514.56	429.54	486.75	426.57	444.72	651.58	277.2	318.57	400.71	748.61	555.41	244.57	429.54	638.15	423.61	563.18	190.34	426.57	647.07	547.75	629.35	521.76	796.86	291.04	295.11	603.67	381.68	363.56	303.44	301.33	466.88	242.88	295.11	351.14	373.81	329.84	327.56	587.13	507.46	507.46	529.06	376.41
TMPO	525.39	470.14	447.82	211.31	981.29	679.29	198.47	620.67	295.11	205.5	351.14	291.04	620.67	363.56	497.0	327.56	384.34	708.18	186.4	450.94	312.0	376.41	679.29	426.57	316.37	312.0	483.38	303.44	353.59	208.38	753.83	460.44	273.37	674.59	281.09	358.54	457.25	346.29	503.95	281.09	656.11	947.83	293.07	223.41	457.25	301.33	253.23	624.99	348.71	293.07	309.83	381.68	329.84	318.57	392.44	473.41	563.18	358.54	473.41	406.31	371.22	363.56	285.03	223.41	368.65	417.77	275.28	305.55	363.56	563.18	457.25	348.71	395.18	547.75	327.56	444.72	239.52	256.78	525.39	500.46	536.45	463.65	575.03	293.07	303.44	511.0	293.07	353.59	232.94	249.73	466.88	348.71	414.87	457.25	248.0	305.55	301.33	412.0	457.25	426.57	429.54	346.29
TMX1	638.15	551.56	525.39	239.52	708.18	660.68	327.56	728.11	228.13	223.41	397.93	351.14	693.58	309.83	483.38	273.37	447.82	693.58	150.17	454.09	269.6	473.41	738.29	339.14	412.0	309.83	595.34	514.56	392.44	343.89	521.76	314.17	525.39	587.13	583.07	432.53	559.28	486.75	743.43	295.11	460.44	341.51	121.79	275.28	500.46	384.34	271.48	698.41	346.29	397.93	283.05	241.19	301.33	283.05	409.15	688.78	669.92	381.68	543.96	426.57	567.1	283.05	346.29	258.57	409.15	420.68	327.56	397.93	299.25	674.59	665.29	275.28	283.05	540.19	409.15	497.0	258.57	297.17	764.36	301.33	599.49	563.18	518.15	236.21	275.28	674.59	309.83	384.34	189.02	271.48	532.74	371.22	273.37	341.51	329.84	395.18	281.09	483.38	454.09	460.44	497.0	307.69
TNKS2	599.49	607.87	612.11	193.01	674.59	684.02	295.11	674.59	273.37	206.94	305.55	406.31	759.08	305.55	633.73	299.25	366.09	500.46	208.38	336.79	325.29	426.57	647.07	339.14	336.79	253.23	480.04	363.56	320.8	373.81	693.58	269.6	336.79	497.0	361.04	281.09	555.41	305.55	454.09	277.2	392.44	409.15	138.1	176.29	540.19	397.93	212.78	703.28	273.37	348.71	348.71	285.03	258.57	373.81	323.03	633.73	514.56	358.54	591.22	470.14	518.15	361.04	426.57	305.55	309.83	529.06	279.14	287.01	327.56	708.18	521.76	223.41	361.04	703.28	409.15	620.67	204.07	336.79	591.22	366.09	607.87	395.18	460.44	226.54	309.83	490.14	329.84	429.54	28.24	232.94	490.14	262.2	389.72	329.84	255.0	309.83	316.37	493.56	444.72	400.71	435.55	314.17
TOPORS	325.29	299.25	327.56	144.01	348.71	423.61	206.94	363.56	176.29	153.34	236.21	218.79	379.04	212.78	299.25	234.57	236.21	269.6	101.54	236.21	185.11	253.23	297.17	223.41	187.71	122.64	303.44	181.28	183.82	199.85	348.71	146.03	178.77	277.2	223.41	178.77	260.38	197.09	249.73	149.12	180.02	218.79	50.98	115.16	255.0	217.27	172.65	334.46	139.07	215.77	195.72	211.31	161.02	234.57	187.71	309.83	327.56	218.79	332.14	301.33	241.19	198.47	218.79	170.25	194.36	346.29	153.34	143.01	191.67	336.79	314.17	150.17	220.32	320.8	205.5	271.48	135.24	212.78	327.56	239.52	346.29	244.57	269.6	162.14	218.79	262.2	205.5	228.13	208.38	139.07	251.48	189.02	185.11	194.36	195.72	224.97	197.09	249.73	246.28	251.48	281.09	241.19
TOR1AIP2	305.55	363.56	336.79	185.11	285.03	406.31	220.32	400.71	183.82	175.07	220.32	236.21	373.81	211.31	285.03	208.38	191.67	327.56	111.21	248.0	223.41	249.73	299.25	260.38	201.25	171.45	332.14	223.41	204.07	152.28	438.59	182.55	205.5	229.72	211.31	234.57	186.4	201.25	366.09	172.65	209.84	255.0	131.51	156.59	348.71	231.32	186.4	339.14	239.52	255.0	248.0	199.85	167.9	253.23	195.72	279.14	283.05	269.6	341.51	267.73	314.17	181.28	231.32	157.68	173.85	301.33	220.32	197.09	214.27	334.46	353.59	205.5	232.94	368.65	220.32	287.01	202.66	166.73	353.59	234.57	381.68	291.04	228.13	214.27	223.41	318.57	191.67	244.57	166.73	195.72	279.14	195.72	217.27	201.25	191.67	186.4	189.02	283.05	312.0	256.78	303.44	187.71
TRMT10A	218.79	158.79	131.51	46.5	202.66	175.07	128.79	255.0	140.04	118.43	177.53	105.89	221.86	113.56	167.9	99.43	170.25	182.55	63.0	142.01	86.43	146.03	159.9	182.55	105.89	115.97	177.53	133.36	111.99	102.25	226.54	87.65	94.01	237.86	111.21	122.64	223.41	100.13	177.53	113.56	139.07	130.6	78.89	69.03	190.34	108.14	132.44	239.52	112.77	131.51	105.89	100.83	103.69	116.78	105.89	183.82	163.28	127.0	199.85	140.04	130.6	153.34	146.03	104.42	111.99	145.02	100.13	92.05	182.55	249.73	193.01	90.77	176.29	133.36	130.6	178.77	101.54	134.3	204.07	237.86	172.65	169.07	149.12	88.26	155.5	180.02	124.37	127.0	127.0	80.01	144.01	121.79	130.6	92.7	96.01	108.9	114.36	189.02	100.13	155.5	137.14	116.78
TRUB1	363.56	318.57	366.09	120.94	435.55	384.34	231.32	441.64	142.01	181.28	223.41	164.42	497.0	205.5	341.51	229.72	229.72	348.71	104.42	287.01	239.52	297.17	444.72	253.23	197.09	138.1	314.17	231.32	204.07	199.85	429.54	155.5	253.23	332.14	220.32	190.34	325.29	194.36	358.54	201.25	256.78	277.2	104.42	139.07	301.33	224.97	159.9	460.44	202.66	223.41	191.67	197.09	189.02	211.31	228.13	287.01	307.69	226.54	409.15	303.44	332.14	285.03	241.19	141.02	185.11	237.86	178.77	231.32	194.36	392.44	389.72	145.02	234.57	361.04	246.28	336.79	151.22	206.94	381.68	244.57	403.5	303.44	281.09	107.38	231.32	312.0	163.28	267.73	177.53	147.06	251.48	164.42	136.19	180.02	176.29	183.82	201.25	320.8	260.38	303.44	267.73	189.02
TSN	743.43	583.07	764.36	480.04	830.75	981.29	563.18	967.76	239.52	275.28	579.04	503.95	974.5	665.29	748.61	486.75	647.07	836.53	470.14	780.44	555.41	703.28	995.0	612.11	511.0	420.68	780.44	540.19	563.18	543.96	819.3	358.54	583.07	698.41	547.75	579.04	432.53	651.58	769.69	460.44	525.39	738.29	229.72	426.57	802.41	642.59	444.72	860.08	563.18	674.59	633.73	575.03	529.06	674.59	603.67	713.11	669.92	547.75	848.22	612.11	669.92	579.04	642.59	291.04	493.56	698.41	514.56	532.74	587.13	915.51	830.75	612.11	579.04	848.22	642.59	713.11	346.29	616.37	866.07	547.75	947.83	698.41	684.02	414.87	591.22	688.78	536.45	674.59	599.49	536.45	656.11	466.88	444.72	656.11	559.28	525.39	555.41	890.44	764.36	878.17	738.29	693.58
TTC37	967.76	830.75	825.0	429.54	1250.98	1135.2	769.69	1143.1	27.44	392.44	551.56	579.04	1037.29	665.29	961.07	483.38	775.05	902.89	343.89	842.36	529.06	785.88	1135.2	435.55	656.11	563.18	967.76	791.35	684.02	555.41	1498.22	620.67	540.19	575.03	854.13	693.58	579.04	656.11	961.07	607.87	921.88	743.43	262.2	316.37	1096.5	896.64	454.09	1119.56	256.78	718.08	669.92	341.51	500.46	718.08	733.19	988.12	813.63	476.71	1015.93	836.53	954.43	1051.79	728.11	629.35	674.59	915.51	599.49	612.11	693.58	1111.82	1066.48	406.31	878.17	995.0	769.69	954.43	303.44	708.18	1023.0	759.08	878.17	981.29	967.76	341.51	674.59	947.83	575.03	988.12	536.45	414.87	780.44	575.03	532.74	693.58	599.49	620.67	638.15	890.44	842.36	688.78	842.36	693.58
USP7	1781.89	1498.22	1757.34	718.08	1447.15	1781.89	1008.9	1733.13	967.76	890.44	1119.56	1073.91	1594.73	1111.82	1467.37	961.07	1008.9	1617.0	842.36	1277.29	896.64	1268.46	1551.09	1175.27	928.3	1119.56	1467.37	1175.27	974.5	1111.82	2061.24	733.19	1023.0	1427.22	1073.91	1008.9	1225.22	915.51	1378.57	954.43	1447.15	860.08	928.3	791.35	1340.84	1030.12	813.63	1674.06	791.35	1135.2	1111.82	988.12	884.29	1111.82	954.43	1487.87	1295.13	1044.52	1477.58	1277.29	1268.46	1143.1	1051.79	896.64	1119.56	1540.37	884.29	1001.93	1073.91	1857.6	1359.57	954.43	1268.46	1639.59	1208.34	1519.15	878.17	1088.92	1498.22	1191.69	1662.49	1135.2	1769.57	866.07	1127.35	1519.15	954.43	1127.35	1088.92	884.29	1199.98	961.07	1295.13	954.43	981.29	1081.39	1023.0	1059.11	1127.35	909.17	1119.56	947.83
UTP14C	307.69	432.53	454.09	99.43	426.57	420.68	156.59	305.55	132.44	92.05	295.11	218.79	314.17	279.14	423.61	204.07	157.68	295.11	139.07	307.69	189.02	323.03	438.59	312.0	169.07	128.79	368.65	334.46	180.02	303.44	332.14	175.07	283.05	368.65	314.17	185.11	389.72	265.87	409.15	232.94	223.41	186.4	119.26	115.16	397.93	323.03	94.01	463.65	231.32	169.07	204.07	141.02	169.07	339.14	231.32	353.59	289.02	217.27	253.23	197.09	403.5	152.28	320.8	215.77	231.32	438.59	249.73	215.77	289.02	384.34	441.64	185.11	153.34	444.72	303.44	376.41	143.01	273.37	327.56	197.09	376.41	320.8	299.25	127.89	193.01	356.05	205.5	371.22	231.32	145.02	323.03	189.02	101.54	212.78	173.85	236.21	170.25	466.88	420.68	309.83	426.57	295.11
UTP20	137.14	131.51	153.34	48.52	191.67	137.14	81.14	153.34	77.79	57.49	82.87	98.73	139.07	78.34	139.07	56.68	57.89	111.21	59.13	94.67	60.82	117.6	158.79	84.63	85.82	94.01	120.94	104.42	76.71	76.17	170.25	85.82	61.25	115.97	95.34	89.51	106.63	69.52	124.37	76.17	72.52	119.26	77.79	46.18	139.07	77.79	69.03	149.12	60.39	96.01	97.36	96.01	62.56	75.11	82.87	111.99	154.42	104.42	111.99	108.14	122.64	80.57	82.29	81.14	63.89	182.55	78.34	59.13	77.25	171.45	110.43	68.55	101.54	135.24	95.34	115.16	55.49	99.43	126.12	60.82	125.24	133.36	145.02	77.25	66.65	125.24	94.67	85.22	67.12	56.28	135.24	65.26	67.12	89.51	54.33	73.54	57.08	111.21	130.6	100.13	110.43	126.12
VPS26A	934.76	921.88	974.5	575.03	1233.75	1519.15	651.58	1199.98	624.99	629.35	769.69	830.75	1268.46	665.29	934.76	703.28	769.69	967.76	503.95	743.43	633.73	836.53	1225.22	759.08	656.11	551.56	921.88	723.08	728.11	555.41	1119.56	629.35	748.61	974.5	780.44	624.99	941.27	703.28	1081.39	651.58	708.18	860.08	503.95	563.18	928.3	713.11	651.58	1216.75	595.34	633.73	723.08	679.29	624.99	688.78	633.73	890.44	878.17	764.36	1051.79	733.19	775.05	738.29	738.29	633.73	647.07	902.89	616.37	684.02	698.41	1286.18	1151.06	713.11	612.11	902.89	733.19	808.0	587.13	656.11	1143.1	656.11	1159.07	791.35	780.44	575.03	708.18	1001.93	674.59	1008.9	555.41	651.58	738.29	647.07	583.07	607.87	532.74	698.41	629.35	941.27	819.3	830.75	890.44	780.44
VWA8	209.84	205.5	220.32	58.71	231.32	223.41	87.03	169.07	69.03	52.45	118.43	108.9	181.28	128.79	212.78	133.36	96.68	167.9	92.7	142.01	111.21	148.09	199.85	114.36	101.54	61.25	172.65	194.36	96.68	112.77	242.88	132.44	141.02	146.03	149.12	90.77	175.07	112.77	198.47	115.16	67.12	87.03	63.0	68.07	205.5	124.37	73.03	258.57	88.26	92.7	92.7	75.11	100.83	116.78	156.59	146.03	143.01	111.99	153.34	98.73	253.23	98.73	178.77	90.77	115.16	146.03	123.5	136.19	94.01	285.03	193.01	76.17	102.97	191.67	161.02	209.84	63.0	132.44	212.78	126.12	241.19	163.28	183.82	77.79	71.5	177.53	103.69	155.5	74.58	83.45	147.06	117.6	57.49	123.5	127.0	119.26	114.36	165.57	187.71	149.12	208.38	118.43
WDR44	157.68	201.25	189.02	56.68	251.48	253.23	131.51	214.27	76.71	130.6	115.16	148.09	312.0	102.97	202.66	120.1	129.69	154.42	38.12	128.79	110.43	122.64	199.85	220.32	121.79	75.64	137.14	107.38	121.79	113.56	239.52	74.58	94.67	159.9	103.69	91.41	249.73	90.14	155.5	183.82	146.03	108.9	50.27	64.34	181.28	124.37	81.14	232.94	80.57	119.26	140.04	167.9	79.45	109.66	120.1	141.02	142.01	133.36	172.65	177.53	141.02	88.26	145.02	74.58	76.71	239.52	81.14	104.42	114.36	190.34	173.85	81.14	173.85	199.85	114.36	148.09	73.54	90.14	169.07	151.22	221.86	144.01	137.14	80.01	109.66	146.03	109.66	127.0	111.99	80.57	144.01	94.67	102.97	108.9	112.77	94.67	80.01	169.07	171.45	163.28	186.4	150.17
XPO4	173.85	154.42	193.01	39.79	170.25	226.54	74.58	217.27	68.55	42.71	90.77	79.45	232.94	75.11	177.53	61.68	106.63	183.82	39.5	121.79	52.82	131.51	211.31	89.51	73.03	67.59	154.42	97.36	77.79	104.42	204.07	49.91	66.18	136.19	91.41	82.29	129.69	72.01	140.04	68.55	84.63	102.97	46.84	43.02	162.14	95.34	58.71	158.79	49.91	111.99	96.68	64.34	69.52	85.22	70.01	164.42	135.24	104.42	127.0	120.94	127.89	107.38	109.66	64.34	78.89	163.28	70.51	60.82	84.04	201.25	182.55	63.45	92.05	244.57	116.78	163.28	48.52	96.68	202.66	86.43	187.71	131.51	99.43	59.13	60.82	137.14	84.04	116.78	66.65	30.78	178.77	62.12	67.12	80.01	64.34	73.03	80.01	111.99	134.3	113.56	135.24	97.36
YLPM1	836.53	836.53	878.17	450.94	1008.9	866.07	651.58	860.08	688.78	460.44	684.02	836.53	791.35	656.11	836.53	591.22	688.78	808.0	435.55	796.86	559.28	791.35	961.07	780.44	679.29	713.11	896.64	830.75	660.68	669.92	1143.1	514.56	591.22	890.44	775.05	669.92	698.41	669.92	759.08	733.19	713.11	708.18	518.15	281.09	785.88	728.11	518.15	872.1	497.0	718.08	796.86	555.41	603.67	698.41	651.58	802.41	708.18	825.0	884.29	759.08	669.92	723.08	688.78	728.11	743.43	1008.9	791.35	629.35	802.41	860.08	819.3	629.35	703.28	836.53	684.02	872.1	480.04	656.11	813.63	629.35	796.86	802.41	759.08	518.15	603.67	830.75	693.58	759.08	642.59	417.77	780.44	633.73	669.92	764.36	583.07	674.59	599.49	708.18	866.07	555.41	688.78	669.92
YTHDC1	1088.92	1111.82	1096.5	409.15	1745.2	1457.23	796.86	1388.16	825.0	633.73	1044.52	1044.52	1225.22	1044.52	1088.92	890.44	1066.48	1216.75	647.07	1286.18	842.36	1340.84	1561.89	967.76	1023.0	934.76	1331.57	866.07	954.43	1023.0	1529.73	860.08	708.18	1628.26	1088.92	890.44	1259.69	1030.12	1119.56	909.17	1427.22	1135.2	884.29	579.04	1191.69	1081.39	791.35	1397.83	713.11	1030.12	860.08	896.64	848.22	1127.35	1081.39	1437.15	1151.06	909.17	1127.35	1023.0	921.88	1015.93	974.5	813.63	1127.35	1015.93	825.0	830.75	981.29	1304.15	1175.27	954.43	1044.52	1378.57	974.5	1159.07	633.73	974.5	1175.27	1304.15	1167.14	1037.29	1304.15	842.36	802.41	1081.39	890.44	842.36	909.17	651.58	1167.14	967.76	1081.39	1044.52	995.0	934.76	981.29	1059.11	1250.98	1066.48	1096.5	1111.82
YTHDC2	373.81	343.89	309.83	139.07	397.93	387.02	228.13	323.03	189.02	193.01	205.5	214.27	351.14	186.4	256.78	183.82	287.01	329.84	92.7	281.09	239.52	279.14	432.53	232.94	221.86	96.68	295.11	211.31	194.36	211.31	356.05	94.01	148.09	373.81	211.31	183.82	341.51	176.29	289.02	241.19	271.48	248.0	141.02	115.97	289.02	211.31	164.42	320.8	131.51	273.37	151.22	231.32	167.9	223.41	209.84	366.09	256.78	182.55	343.89	271.48	258.57	239.52	177.53	185.11	164.42	305.55	181.28	183.82	251.48	297.17	273.37	131.51	285.03	403.5	236.21	297.17	169.07	218.79	312.0	318.57	262.2	232.94	275.28	135.24	215.77	277.2	215.77	231.32	96.01	111.99	269.6	178.77	220.32	223.41	190.34	191.67	209.84	212.78	211.31	173.85	194.36	231.32
ZBTB2	218.79	172.65	226.54	102.97	189.02	217.27	119.26	199.85	115.97	98.04	158.79	182.55	195.72	170.25	173.85	164.42	169.07	253.23	72.01	149.12	153.34	154.42	194.36	128.79	169.07	163.28	212.78	130.6	136.19	121.79	241.19	103.69	141.02	197.09	141.02	131.51	187.71	137.14	158.79	133.36	121.79	234.57	84.04	115.16	186.4	165.57	112.77	195.72	154.42	164.42	149.12	147.06	148.09	132.44	138.1	167.9	182.55	164.42	176.29	150.17	156.59	182.55	137.14	137.14	149.12	159.9	116.78	144.01	140.04	182.55	215.77	140.04	141.02	239.52	119.26	182.55	104.42	148.09	182.55	191.67	229.72	156.59	140.04	127.0	133.36	176.29	152.28	136.19	130.6	128.79	166.73	125.24	145.02	142.01	165.57	137.14	136.19	154.42	167.9	154.42	155.5	173.85
ZDHHC21	139.07	153.34	187.71	68.07	226.54	242.88	113.56	181.28	90.14	129.69	148.09	95.34	232.94	89.51	178.77	120.1	132.44	167.9	43.94	133.36	143.01	122.64	191.67	140.04	120.1	82.29	134.3	127.0	98.73	144.01	223.41	88.88	88.88	220.32	112.77	95.34	157.68	130.6	183.82	117.6	157.68	146.03	74.58	71.0	158.79	111.21	85.22	218.79	67.12	142.01	127.89	117.6	113.56	114.36	111.99	202.66	138.1	94.01	189.02	135.24	144.01	139.07	83.45	69.03	115.97	155.5	90.14	107.38	146.03	187.71	197.09	57.89	126.12	197.09	132.44	143.01	78.89	102.25	157.68	159.9	154.42	147.06	122.64	75.11	145.02	167.9	93.35	120.1	76.17	68.07	120.94	102.25	171.45	112.77	111.99	116.78	115.97	125.24	105.15	84.04	128.79	100.83
