	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.YL.A8HJ.01A.11R.A36G.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.ZG.A9L2.01A.31R.A41O.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07
CD163	381.68	466.88	150.17	82.29	24.11	151.22	112.77	205.5	154.42	162.14	197.09	212.78	137.14	63.45	255.0	48.87	102.25	70.01	511.0	126.12	90.77	105.89	54.72	147.06	51.71	665.29	190.34	339.14	87.03	171.45	127.89	312.0	802.41	55.1	80.57	275.28	217.27	199.85	55.1	78.89	29.7	133.36	62.56	334.46	35.5	82.29	295.11
CDH11	571.05	37.05	353.59	92.7	23.42	120.1	159.9	392.44	638.15	264.03	287.01	444.72	371.22	164.42	264.03	79.45	57.08	111.99	878.17	105.89	164.42	149.12	140.04	244.57	8.25	1059.11	60.39	361.04	28.04	214.27	287.01	289.02	669.92	29.27	56.28	974.5	878.17	72.52	55.49	87.65	45.53	185.11	92.7	158.79	23.42	103.69	150.17
CFH	674.59	285.03	149.12	55.1	24.99	180.02	86.43	318.57	287.01	206.94	1417.35	208.38	132.44	81.71	403.5	59.13	80.57	59.55	201.25	125.24	71.5	90.77	63.0	277.2	42.11	743.43	181.28	406.31	30.34	111.21	214.27	283.05	329.84	63.0	50.98	684.02	638.15	114.36	83.45	46.84	63.0	226.54	94.67	279.14	28.65	63.89	143.01
CNRIP1	267.73	74.58	165.57	49.56	25.17	129.69	145.02	202.66	239.52	173.85	318.57	181.28	164.42	87.03	295.11	42.71	85.82	105.15	271.48	110.43	92.7	83.45	102.25	269.6	28.24	450.94	156.59	454.09	33.06	180.02	258.57	205.5	195.72	37.05	59.55	500.46	341.51	85.22	59.55	97.36	53.57	152.28	73.54	149.12	21.32	75.64	241.19
COL15A1	791.35	153.34	708.18	126.12	50.98	255.0	371.22	457.25	651.58	497.0	775.05	769.69	713.11	307.69	819.3	198.47	426.57	237.86	928.3	473.41	239.52	312.0	341.51	500.46	76.71	1628.26	150.17	791.35	99.43	493.56	915.51	476.71	1437.15	150.17	129.69	1225.22	995.0	327.56	175.07	248.0	134.3	381.68	283.05	518.15	61.25	275.28	376.41
COL4A1	1477.58	141.02	1286.18	303.44	64.8	738.29	733.19	934.76	1250.98	1277.29	1030.12	1059.11	1896.65	229.72	1721.16	277.2	403.5	460.44	1857.6	660.68	312.0	579.04	406.31	981.29	387.02	2032.85	279.14	2119.22	167.9	2209.26	1313.23	796.86	2193.99	166.73	139.07	2609.3	1685.71	543.96	348.71	457.25	158.79	753.83	775.05	748.61	107.38	540.19	669.92
COL4A2	2287.2	258.57	2090.03	426.57	103.69	1304.15	1286.18	1721.16	2104.58	2047.0	1870.53	2032.85	3212.66	473.41	2956.17	473.41	599.49	802.41	3742.05	941.27	624.99	1059.11	748.61	1529.73	620.67	3955.48	775.05	3235.01	166.73	2935.74	1883.54	1359.57	3280.18	244.57	255.0	4736.79	3018.3	674.59	638.15	921.88	343.89	1397.83	1051.79	1191.69	204.07	733.19	1674.06
COL5A1	954.43	190.34	361.04	120.94	21.78	232.94	447.82	743.43	518.15	497.0	967.76	567.1	698.41	228.13	854.13	152.28	208.38	169.07	1135.2	297.17	242.88	327.56	141.02	353.59	79.45	1487.87	285.03	1030.12	78.34	500.46	595.34	642.59	1143.1	127.89	39.79	1313.23	1151.06	267.73	178.77	149.12	119.26	454.09	305.55	454.09	63.45	123.5	371.22
COL5A2	376.41	68.07	131.51	40.07	37.85	63.45	97.36	242.88	234.57	175.07	283.05	172.65	226.54	72.01	241.19	55.49	92.05	37.59	320.8	120.1	78.34	89.51	67.12	161.02	31.45	536.45	66.65	389.72	49.56	178.77	191.67	183.82	336.79	67.12	27.05	540.19	356.05	89.51	62.56	66.18	40.64	176.29	98.04	134.3	39.22	62.56	106.63
COL8A1	583.07	47.84	226.54	45.85	12.09	95.34	126.12	348.71	511.0	229.72	409.15	444.72	343.89	60.39	339.14	95.34	103.69	77.25	718.08	111.99	140.04	95.34	70.51	262.2	19.11	1127.35	88.88	463.65	29.06	204.07	241.19	182.55	521.76	57.49	45.85	1477.58	1023.0	121.79	46.18	66.65	53.95	283.05	112.77	151.22	25.91	420.68	89.51
CTHRC1	80.57	51.71	88.26	41.81	12.55	45.85	73.03	90.14	277.2	84.04	131.51	265.87	172.65	30.12	164.42	67.12	40.07	27.44	397.93	49.56	58.71	67.59	59.97	37.85	22.1	376.41	57.08	42.71	15.68	129.69	271.48	66.65	297.17	27.84	41.52	688.78	175.07	46.84	62.12	35.0	56.68	50.63	77.25	132.44	25.35	109.66	48.18
CYYR1	239.52	76.71	157.68	37.59	34.02	76.71	120.94	96.01	220.32	115.16	239.52	218.79	116.78	57.49	287.01	55.49	144.01	97.36	150.17	96.01	99.43	92.7	88.88	183.82	39.22	363.56	63.0	371.22	27.05	232.94	297.17	131.51	237.86	52.08	69.52	228.13	223.41	120.94	46.5	51.35	41.81	110.43	111.99	212.78	26.1	120.1	77.79
DPYSL2	438.59	117.6	183.82	74.06	49.56	156.59	208.38	303.44	205.5	223.41	447.82	256.78	234.57	136.19	387.02	69.52	138.1	178.77	429.54	153.34	152.28	155.5	148.09	368.65	48.18	693.58	147.06	579.04	41.52	267.73	299.25	289.02	366.09	48.87	70.01	669.92	536.45	126.12	96.68	83.45	82.87	251.48	107.38	305.55	40.07	154.42	217.27
ECM2	336.79	38.4	148.09	28.04	20.56	106.63	106.63	167.9	351.14	147.06	181.28	193.01	144.01	78.34	273.37	31.0	71.5	47.5	246.28	78.34	74.06	66.65	84.63	209.84	8.92	368.65	55.49	303.44	30.12	108.14	234.57	204.07	371.22	32.59	68.55	423.61	368.65	53.95	28.86	74.58	29.48	190.34	52.45	137.14	10.96	57.08	108.14
ELK3	363.56	83.45	221.86	100.13	53.19	175.07	182.55	191.67	271.48	190.34	334.46	289.02	204.07	108.14	343.89	94.01	212.78	120.1	343.89	208.38	126.12	202.66	164.42	297.17	57.49	529.06	135.24	511.0	68.07	277.2	466.88	271.48	409.15	59.97	145.02	429.54	371.22	166.73	78.34	127.0	100.13	182.55	165.57	312.0	112.77	244.57	102.97
ENTPD1	343.89	82.29	171.45	46.18	70.51	98.04	139.07	177.53	289.02	128.79	373.81	265.87	153.34	89.51	339.14	67.59	133.36	103.69	293.07	143.01	114.36	116.78	102.25	265.87	73.54	463.65	78.34	493.56	41.81	198.47	265.87	234.57	373.81	69.03	80.57	624.99	420.68	143.01	70.01	93.35	53.19	177.53	108.14	234.57	50.27	314.17	156.59
EPB41L2	540.19	84.63	277.2	85.82	35.25	127.89	166.73	303.44	301.33	217.27	438.59	303.44	395.18	130.6	392.44	71.0	119.26	104.42	493.56	159.9	137.14	154.42	189.02	277.2	44.25	703.28	133.36	521.76	73.54	271.48	336.79	244.57	463.65	70.01	74.06	583.07	607.87	133.36	122.64	146.03	63.89	212.78	94.67	277.2	40.64	126.12	164.42
FAM180A	19.68	9.93	7.17	0.73	1.73	3.32	12.09	10.39	27.84	18.97	9.27	15.0	9.93	1.5	12.83	2.86	1.69	5.96	36.53	6.52	3.35	4.54	4.43	7.22	0.71	30.78	7.82	8.71	4.66	3.82	19.39	6.46	18.16	2.46	4.03	46.84	21.47	2.2	2.23	3.69	2.84	6.94	3.66	16.15	1.97	5.06	2.71
FAM26E	25.35	5.36	8.58	2.25	0.85	4.5	10.31	21.01	18.84	8.51	28.65	18.03	12.27	3.47	14.89	4.74	4.28	4.21	22.43	4.43	4.9	4.28	6.89	14.45	0.84	32.59	6.67	25.72	1.95	10.96	14.78	9.78	19.68	2.18	2.71	45.53	33.3	4.82	4.21	4.86	3.69	8.38	5.59	11.04	2.12	6.26	4.74
FAP	76.71	15.22	53.95	16.88	10.96	31.9	61.68	87.03	201.25	81.71	197.09	62.56	96.68	26.28	76.71	33.3	64.8	19.53	187.71	37.85	32.36	18.56	26.86	42.11	18.03	303.44	36.01	62.56	19.11	66.65	64.34	50.63	103.69	22.59	14.35	603.67	96.68	32.13	23.93	31.0	9.85	49.21	54.33	75.11	11.38	8.32	29.7
FBN1	651.58	44.25	368.65	71.0	30.34	205.5	164.42	373.81	447.82	239.52	480.04	343.89	426.57	173.85	420.68	74.06	151.22	119.26	708.18	173.85	127.0	145.02	173.85	348.71	39.79	934.76	93.35	633.73	57.08	260.38	351.14	305.55	476.71	54.72	68.55	830.75	665.29	102.97	63.45	128.79	51.71	312.0	102.97	223.41	35.76	94.01	248.0
FILIP1L	921.88	84.63	265.87	186.4	50.98	237.86	503.95	1313.23	620.67	218.79	791.35	808.0	314.17	165.57	595.34	85.22	269.6	191.67	1175.27	497.0	217.27	244.57	265.87	1721.16	16.75	1359.57	164.42	1857.6	44.89	241.19	559.28	967.76	796.86	47.5	49.91	2384.37	1127.35	142.01	170.25	131.51	94.01	571.05	113.56	220.32	24.46	169.07	647.07
FRZB	244.57	136.19	124.37	31.45	43.02	51.71	77.25	141.02	395.18	204.07	503.95	181.28	111.21	57.08	281.09	61.25	120.1	69.52	256.78	82.29	76.17	138.1	72.52	175.07	57.49	525.39	98.04	320.8	55.1	177.53	299.25	234.57	226.54	46.84	37.32	738.29	327.56	131.51	52.82	51.71	80.57	194.36	130.6	206.94	26.1	98.73	133.36
GAB2	169.07	23.59	82.87	30.78	18.97	51.35	61.25	148.09	117.6	82.29	142.01	99.43	113.56	53.57	125.24	90.77	41.81	52.82	201.25	53.57	64.34	100.83	49.91	100.83	13.32	228.13	37.59	153.34	23.59	78.34	67.12	96.01	128.79	40.93	25.17	297.17	161.02	96.01	32.36	55.89	49.91	104.42	34.75	100.83	54.72	62.12	98.04
GAS6	1757.34	921.88	1331.57	503.95	285.03	1199.98	1242.34	1794.29	1697.45	1639.59	2664.15	1896.65	1498.22	476.71	2835.7	595.34	780.44	842.36	2520.38	1081.39	988.12	909.17	563.18	830.75	400.71	3491.39	1225.22	2609.3	540.19	1304.15	1991.0	1529.73	1733.13	389.72	480.04	5292.48	2875.3	1037.29	848.22	532.74	629.35	1199.98	884.29	1199.98	426.57	616.37	1437.15
GGT5	733.19	723.08	854.13	214.27	97.36	599.49	587.13	738.29	633.73	684.02	1001.93	878.17	698.41	486.75	1001.93	206.94	444.72	277.2	1407.55	361.04	373.81	540.19	329.84	497.0	231.32	1457.23	423.61	1378.57	152.28	571.05	981.29	872.1	1304.15	201.25	218.79	2255.7	718.08	320.8	356.05	175.07	262.2	651.58	327.56	1073.91	166.73	312.0	738.29
GLIS2	202.66	35.5	138.1	82.29	16.27	105.15	169.07	201.25	191.67	151.22	271.48	149.12	223.41	83.45	273.37	51.35	47.84	120.94	420.68	98.73	78.89	130.6	105.89	117.6	18.56	400.71	88.88	307.69	25.35	132.44	218.79	163.28	194.36	31.22	32.13	414.87	381.68	59.55	60.82	71.0	56.68	99.43	68.55	120.1	48.52	104.42	124.37
GLT8D2	256.78	75.64	154.42	42.41	30.34	108.14	154.42	171.45	314.17	166.73	312.0	204.07	125.24	92.05	236.21	41.81	114.36	73.03	246.28	92.05	81.14	63.0	75.64	176.29	11.38	363.56	65.26	314.17	31.9	92.05	249.73	186.4	202.66	34.26	47.5	423.61	332.14	84.04	48.87	47.5	52.82	134.3	61.25	136.19	20.71	56.28	151.22
GPR17	16.75	2.51	7.94	4.46	0.0	6.73	8.45	20.71	6.78	15.45	22.75	7.51	23.93	1.57	40.93	4.06	4.06	5.77	14.45	6.67	4.17	4.78	3.35	4.46	1.0	63.89	6.78	16.39	3.56	17.38	46.5	13.42	14.14	7.46	3.63	10.63	9.85	5.15	7.88	5.73	1.53	3.23	7.82	9.7	2.36	4.9	5.41
GPR65	38.95	10.79	24.46	9.06	6.36	5.36	24.11	28.04	25.35	13.62	33.06	20.26	10.16	17.51	36.01	10.63	19.25	9.27	58.71	30.56	16.75	24.81	21.47	38.67	4.62	33.3	12.64	29.06	3.56	13.72	65.26	34.02	55.49	7.46	5.02	50.98	42.71	15.22	9.56	10.88	5.54	12.36	11.21	29.7	5.11	16.15	16.39
IL33	457.25	78.34	314.17	94.01	29.91	165.57	271.48	287.01	559.28	180.02	403.5	323.03	223.41	124.37	500.46	84.63	155.5	156.59	332.14	209.84	186.4	147.06	153.34	591.22	17.25	775.05	105.15	854.13	39.5	158.79	285.03	373.81	289.02	64.34	118.43	669.92	532.74	118.43	72.52	126.12	67.59	275.28	102.25	356.05	32.59	159.9	205.5
INHBA	94.67	8.13	22.75	6.16	3.89	13.93	28.86	34.75	82.29	26.67	55.49	65.72	63.0	20.11	25.35	22.75	12.18	9.2	91.41	25.91	14.45	24.99	16.03	36.27	4.43	189.02	17.0	43.63	6.62	29.48	44.25	35.5	127.89	10.08	7.75	309.83	204.07	15.22	9.48	8.78	10.39	42.41	18.43	37.32	7.22	14.45	10.88
ISLR2	12.55	7.69	12.0	1.41	1.39	1.5	10.0	6.06	25.54	5.19	20.56	24.63	15.0	3.72	8.45	8.71	10.24	7.22	31.67	7.88	10.31	11.13	10.16	8.06	1.36	21.63	7.75	14.89	1.16	27.44	18.56	6.01	59.97	2.71	12.09	33.54	25.17	7.34	4.03	3.35	2.66	3.17	6.78	28.45	3.53	15.11	2.89
ISM1	11.13	3.11	14.78	3.08	0.43	8.0	16.75	5.5	30.34	6.67	13.52	25.91	9.34	1.87	13.62	2.84	3.69	7.11	41.52	3.53	6.41	9.34	2.39	2.39	1.71	25.72	3.59	19.53	1.13	11.55	5.45	13.52	10.47	3.96	4.62	19.25	32.59	6.31	1.51	1.85	2.14	11.21	7.0	13.72	3.5	19.97	16.63
ITGA11	128.79	39.22	90.77	22.43	4.5	32.59	57.49	72.01	166.73	127.89	92.7	198.47	58.3	6.41	136.19	41.52	18.97	35.5	267.73	39.79	31.67	63.45	31.22	60.39	15.45	264.03	102.25	131.51	14.14	120.94	204.07	57.49	231.32	28.45	9.48	444.72	312.0	60.82	36.27	16.39	44.25	78.34	39.79	76.71	11.91	33.3	13.52
JAM2	297.17	126.12	253.23	68.07	40.93	155.5	172.65	148.09	341.51	208.38	366.09	223.41	211.31	94.01	417.77	52.82	183.82	111.21	371.22	115.97	151.22	131.51	164.42	231.32	33.06	507.46	126.12	371.22	36.53	212.78	289.02	224.97	285.03	42.41	147.06	397.93	318.57	93.35	67.12	157.68	55.1	153.34	105.15	224.97	28.24	119.26	206.94
KIAA1755	129.69	17.64	84.63	20.41	8.0	67.59	67.59	107.38	111.21	82.29	159.9	91.41	115.16	53.57	125.24	25.35	26.1	43.94	229.72	37.59	42.71	37.05	37.85	68.55	4.21	209.84	50.63	119.26	5.73	70.01	62.56	99.43	91.41	14.56	16.27	312.0	165.57	20.71	37.32	44.25	24.28	69.52	39.22	63.45	11.82	18.97	120.1
KIRREL	228.13	21.16	130.6	38.4	11.55	76.71	108.9	170.25	161.02	109.66	186.4	149.12	191.67	46.5	166.73	40.93	39.79	60.39	305.55	82.87	53.57	76.71	79.45	128.79	11.38	392.44	40.07	253.23	12.74	132.44	126.12	96.01	237.86	18.7	21.01	341.51	309.83	53.95	34.75	69.03	22.75	100.13	49.91	111.21	14.89	57.49	76.71
KLK3	772940.66	1345768.59	1005860.33	682276.92	1116072.03	1212874.47	1163466.92	1116072.03	751804.53	834179.46	687022.54	751804.53	875652.15	1063212.58	800198.39	906531.99	1255646.43	1187913.85	619179.28	1093103.58	1139523.1	1100706.72	906531.99	1327240.99	887875.81	294926.33	1412675.8	726195.27	906531.99	1238359.56	1327240.99	1196176.45	851707.37	746611.43	789181.81	394590.4	627822.72	1063212.58	1212874.47	1238359.56	985160.01	1048575.0	1345768.59	938500.81	767601.56	1472666.19	1229805.58
LAMA4	432.53	46.18	348.71	132.44	23.93	237.86	297.17	414.87	429.54	289.02	429.54	348.71	543.96	112.77	497.0	72.01	124.37	126.12	583.07	154.42	123.5	186.4	187.71	351.14	90.14	775.05	142.01	723.08	44.89	409.15	332.14	293.07	454.09	41.52	62.56	981.29	684.02	106.63	84.63	237.86	78.89	260.38	145.02	190.34	42.41	108.9	283.05
LAYN	206.94	70.01	116.78	45.21	12.27	137.14	135.24	156.59	253.23	126.12	265.87	189.02	102.97	49.56	191.67	78.89	54.33	82.87	307.69	123.5	85.82	98.04	49.91	145.02	27.05	483.38	85.22	339.14	19.25	197.09	193.01	171.45	193.01	23.59	46.84	409.15	361.04	92.7	71.0	31.9	60.82	108.14	108.14	144.01	39.79	95.34	117.6
LDB2	395.18	114.36	248.0	61.68	52.08	172.65	226.54	185.11	277.2	260.38	423.61	221.86	197.09	96.01	441.64	63.89	260.38	125.24	262.2	215.77	143.01	140.04	132.44	295.11	50.98	438.59	105.89	642.59	48.87	343.89	500.46	301.33	277.2	87.65	99.43	291.04	412.0	153.34	100.83	96.01	59.55	220.32	147.06	371.22	33.78	169.07	185.11
LHFP	420.68	223.41	497.0	158.79	76.71	361.04	490.14	353.59	808.0	642.59	753.83	878.17	400.71	115.97	866.07	157.68	379.04	281.09	896.64	271.48	244.57	329.84	197.09	323.03	126.12	878.17	267.73	830.75	59.13	612.11	808.0	323.03	599.49	106.63	172.65	1331.57	583.07	295.11	229.72	158.79	208.38	376.41	248.0	466.88	87.65	195.72	363.56
LOXL2	166.73	22.26	232.94	65.26	30.56	176.29	153.34	142.01	186.4	190.34	202.66	185.11	312.0	42.71	314.17	55.49	97.36	114.36	314.17	127.0	68.07	115.97	76.17	115.97	104.42	327.56	74.06	277.2	31.9	285.03	232.94	102.25	409.15	29.91	34.75	181.28	194.36	91.41	85.82	139.07	30.78	117.6	131.51	140.04	34.75	99.43	141.02
MAMDC2	131.51	29.27	41.81	5.59	8.45	63.45	35.0	111.21	87.03	46.84	134.3	49.91	56.28	22.75	97.36	6.06	13.83	29.91	79.45	26.86	27.25	23.42	32.82	95.34	1.31	154.42	18.43	137.14	6.41	33.78	44.57	86.43	100.13	11.13	16.63	128.79	133.36	19.82	8.38	34.51	15.0	51.35	10.0	36.53	2.78	18.97	64.34
MCAM	1073.91	169.07	1369.04	237.86	186.4	738.29	928.3	1111.82	1191.69	1447.15	1745.2	1191.69	1733.13	215.77	2240.11	218.79	389.72	684.02	1883.54	607.87	366.09	480.04	802.41	1135.2	493.56	2004.85	559.28	2104.58	105.89	1551.09	748.61	775.05	1159.07	99.43	181.28	2645.74	1594.73	426.57	363.56	974.5	144.01	733.19	473.41	1023.0	129.69	500.46	1096.5
MFAP4	3515.68	728.11	1896.65	514.56	239.52	2047.0	1963.57	2319.15	4512.4	2287.2	4010.71	4210.15	2434.5	988.12	2573.36	633.73	1066.48	1322.37	6426.31	780.44	1340.84	723.08	1143.1	1628.26	50.27	7485.11	1295.13	3257.52	191.67	1277.29	2271.4	3280.18	3146.52	287.01	500.46	8840.04	5711.87	1081.39	651.58	981.29	624.99	2018.8	674.59	1697.45	312.0	579.04	2319.15
MFGE8	2351.53	583.07	1769.57	536.45	392.44	1498.22	1508.65	1936.53	3395.89	2004.85	3614.55	2777.33	2609.3	718.08	3257.52	620.67	764.36	1242.34	4152.18	941.27	860.08	1304.15	1208.34	1781.89	351.14	4388.98	1628.26	3982.99	237.86	1977.24	2485.67	1977.24	2720.15	307.69	397.93	6607.01	3257.52	796.86	866.07	1313.23	679.29	1388.16	954.43	1781.89	316.37	1304.15	2451.44
