	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OG.11A.12R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.145LS.2026.SM.5Q5D7	GTEX.13QJ3.1726.SM.5RQK9	GTEX.14DAQ.1426.SM.5RQJD	GTEX.RNOR.1226.SM.48FDQ	GTEX.13G51.0926.SM.5IFFU	GTEX.RNOR.1326.SM.48FDE	GTEX.13OW6.1426.SM.5L3EU	GTEX.YECK.1726.SM.5IFI3	GTEX.ZYY3.1626.SM.5EGJF	TCGA.CV.7416.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13QJ3.2726.SM.5SI6L	GTEX.14BMV.2226.SM.5RQHX	GTEX.UPK5.2126.SM.4JBJK
CD302	26.1	105.15	78.89	22.59	368.65	36.27	791.35	684.02	122.64	193.01	186.4	244.57	320.8	483.38	265.87	438.59	22.43	0.0	0.4	14.35	19.68	103.69	15.34	21.32	24.46	1857.6	417.77	1216.75
CFH	36.27	1225.22	728.11	420.68	1628.26	343.89	4210.15	4481.23	1175.27	1369.04	921.88	2417.67	1135.2	3124.78	1388.16	2384.37	86.43	0.0	0.79	638.15	679.29	1407.55	490.14	212.78	759.08	5954.47	6840.04	5831.91
CHRD	1.57	161.02	53.95	30.56	371.22	60.39	921.88	921.88	262.2	232.94	161.02	248.0	759.08	896.64	915.51	1081.39	5.63	0.0	1.0	28.24	52.45	19.25	17.13	8.13	8.32	688.78	480.04	1322.37
CLEC3B	186.4	1369.04	66.18	180.02	4123.49	232.94	17804.06	11345.82	1551.09	2997.45	2004.85	1832.01	9088.59	9279.58	9740.98	4903.87	145.02	0.0	0.21	6840.04	1159.07	1037.29	808.0	620.67	521.76	14361.31	12415.75	19754.96
CLSTN2	0.64	18.84	21.47	13.42	51.71	10.63	171.45	137.14	44.25	64.34	22.92	31.67	46.84	68.55	49.91	122.64	12.0	0.0	0.16	16.27	17.9	40.93	6.01	9.2	10.47	289.02	78.34	264.03
CNTN4	1.04	37.32	9.06	7.28	113.56	12.09	551.56	420.68	73.03	120.1	52.45	120.1	194.36	265.87	217.27	139.07	7.75	0.0	0.28	5.15	22.1	42.41	17.13	3.76	6.94	723.08	529.06	728.11
CPE	384.34	769.69	703.28	406.31	1639.59	507.46	4869.99	3257.52	785.88	1268.46	665.29	1487.87	1896.65	3280.18	1745.2	1508.65	191.67	0.0	0.52	191.67	151.22	316.37	62.56	234.57	112.77	6337.83	5112.16	7382.04
CPEB1	1.13	25.91	72.01	11.47	35.25	42.71	334.46	201.25	81.14	110.43	48.52	132.44	220.32	153.34	336.79	224.97	1.14	0.0	0.18	24.81	31.67	12.74	7.82	19.82	1.87	616.37	379.04	567.1
CPQ	28.65	267.73	224.97	58.3	684.02	121.79	1923.14	2047.0	323.03	669.92	366.09	591.22	1159.07	1268.46	1268.46	902.89	81.71	0.0	0.61	201.25	143.01	162.14	115.97	108.14	76.17	2664.15	1651.0	2720.15
CRTAP	1286.18	2720.15	2555.58	1757.34	2855.44	2417.67	6935.54	6037.61	3081.75	3190.46	3168.41	2591.27	4639.29	3820.7	4639.29	4268.94	988.12	0.0	0.74	1745.2	1572.76	1991.0	1508.65	1457.23	1583.71	13492.72	6164.49	9540.5
CSF1	90.14	511.0	507.46	289.02	624.99	232.94	2061.24	1709.26	454.09	397.93	454.09	759.08	703.28	1605.83	1059.11	1572.76	167.9	0.0	0.48	400.71	733.19	384.34	205.5	234.57	154.42	1378.57	1088.92	1605.83
CSGALNACT1	51.71	114.36	162.14	64.34	336.79	131.51	791.35	753.83	255.0	490.14	231.32	309.83	476.71	417.77	403.5	420.68	30.12	0.0	0.4	80.57	60.39	61.25	40.64	25.91	49.91	1191.69	376.41	1167.14
CST3	6792.79	14065.74	8778.97	10659.59	30361.44	13492.72	69753.56	47313.67	17804.06	16496.96	17558.94	20310.37	42054.3	48307.85	45072.75	44452.21	9151.82	8658.09	1304.15	11664.82	13399.51	12329.98	8538.88	10084.54	14561.8	72213.45	33922.56	80683.28
CTDSP2	796.86	2287.2	2384.37	1832.01	2895.31	1870.53	2835.7	3280.18	1950.0	2255.7	1639.59	1963.57	2796.65	2997.45	2609.3	3820.7	1051.79	1757.34	674.59	909.17	836.53	1769.57	1037.29	1268.46	775.05	2796.65	2271.4	2319.15
CTSK	1340.84	1143.1	629.35	371.22	1397.83	384.34	4450.27	4512.4	1923.14	1457.23	884.29	1259.69	1769.57	1697.45	2664.15	3039.3	68.07	0.0	0.45	457.25	460.44	684.02	543.96	525.39	1159.07	5872.48	4181.07	6381.92
CYBRD1	325.29	591.22	358.54	224.97	1662.49	387.02	6840.04	6337.83	1073.91	1639.59	1037.29	1519.15	2537.92	2209.26	2956.17	3146.52	356.05	0.0	0.35	412.0	255.0	529.06	511.0	351.14	651.58	16960.78	7081.29	11345.82
DAB1	0.92	3.69	0.71	1.17	15.11	0.91	58.71	35.5	5.23	16.63	4.9	11.55	36.27	42.41	40.07	13.72	0.0	0.0	0.12	6.31	1.23	15.68	0.91	0.72	0.87	275.28	85.22	114.36
DRP2	1.16	5.19	4.39	2.16	9.2	2.73	7.0	24.28	2.76	22.43	9.93	5.82	14.24	49.56	18.56	8.51	1.38	0.0	0.22	4.7	4.74	1.79	5.59	2.32	2.1	22.1	17.51	14.14
DSEL	1.11	14.35	18.84	6.78	37.05	8.13	90.77	115.97	20.71	23.76	20.11	18.7	70.51	34.02	52.82	60.39	4.98	10.31	39.22	5.59	16.75	5.32	4.74	5.63	4.9	173.85	75.64	86.43
EBF1	1.53	97.36	47.5	29.7	220.32	31.9	708.18	660.68	86.43	135.24	61.25	119.26	287.01	312.0	373.81	417.77	9.13	0.0	0.29	90.14	23.08	32.13	38.95	20.86	34.75	532.74	314.17	665.29
EVC	11.04	111.99	149.12	104.42	170.25	125.24	353.59	361.04	111.99	234.57	176.29	155.5	486.75	358.54	486.75	295.11	100.13	0.0	0.33	61.25	53.95	71.0	39.22	37.32	12.93	567.1	400.71	320.8
EVC2	4.7	55.1	84.04	48.87	56.28	65.26	199.85	181.28	37.05	70.51	41.81	67.59	140.04	111.99	144.01	106.63	52.82	0.0	0.4	36.27	24.11	52.45	27.64	21.32	38.12	155.5	89.51	127.89
EXOC7	1477.58	1832.01	1745.2	1883.54	1388.16	1857.6	1781.89	1540.37	1477.58	1721.16	1111.82	1697.45	1909.85	2133.97	2163.77	1561.89	842.36	0.0	0.8	860.08	718.08	995.0	1073.91	981.29	733.19	1936.53	2367.9	2303.12
F10	151.22	150.17	17.25	23.42	209.84	63.45	1832.01	693.58	289.02	559.28	279.14	346.29	363.56	1135.2	860.08	376.41	6.21	0.0	0.4	323.03	119.26	47.17	49.56	38.67	38.67	3639.7	2090.03	4903.87
FAM162B	18.97	94.01	54.72	79.45	68.07	53.57	423.61	204.07	114.36	90.14	135.24	220.32	189.02	295.11	142.01	175.07	8.25	0.0	0.03	12.83	33.54	12.0	10.63	8.65	6.41	417.77	152.28	368.65
FAM198A	0.0	78.34	31.67	17.38	83.45	25.17	295.11	507.46	69.03	87.03	39.22	94.01	125.24	206.94	202.66	241.19	13.12	0.0	0.42	7.88	41.22	29.48	2.94	10.88	6.16	187.71	198.47	397.93
FAM8A1	113.56	224.97	228.13	256.78	353.59	217.27	551.56	493.56	253.23	267.73	277.2	267.73	423.61	351.14	346.29	358.54	155.5	0.0	0.48	172.65	163.28	198.47	171.45	161.02	232.94	638.15	473.41	638.15
FAXDC2	57.49	186.4	118.43	98.73	497.0	191.67	1487.87	1183.45	447.82	473.41	389.72	426.57	1151.06	723.08	884.29	1191.69	17.64	0.0	0.46	30.12	22.1	336.79	33.06	84.63	65.72	2627.46	1977.24	1651.0
FBLN1	3168.41	5255.91	2061.24	1073.91	9344.14	2468.49	71714.63	39237.98	7485.11	11909.94	5292.48	11992.79	13872.08	18304.63	21320.18	13399.51	567.1	0.0	1.01	3235.01	2303.12	1896.65	1963.57	1066.48	1605.83	85876.94	42054.3	91404.92
FBLN2	571.05	1073.91	309.83	129.69	1950.0	299.25	10659.59	7803.01	1572.76	2090.03	819.3	1350.18	2997.45	4358.66	4869.99	2777.33	54.72	229.72	108.9	1030.12	470.14	555.41	226.54	255.0	194.36	5329.3	3212.66	6471.02
FBLN5	74.06	1143.1	305.55	197.09	1896.65	271.48	4419.52	4736.79	1037.29	1268.46	748.61	1088.92	1529.73	2367.9	2224.63	3257.52	63.0	0.0	0.67	115.16	185.11	633.73	76.17	260.38	122.64	6983.79	2997.45	6207.38
FBXW4	470.14	1208.34	941.27	1044.52	1225.22	1081.39	1397.83	1081.39	1199.98	988.12	1096.5	1183.45	1781.89	1457.23	1651.0	1378.57	547.75	0.0	0.58	620.67	226.54	878.17	836.53	813.63	412.0	1322.37	1551.09	1268.46
FCGRT	384.34	1923.14	842.36	842.36	3540.14	988.12	8134.41	6983.79	1950.0	1561.89	1781.89	1709.26	4123.49	4419.52	4181.07	6887.62	503.95	0.0	0.95	376.41	759.08	1030.12	703.28	559.28	620.67	8538.88	8479.89	19892.37
FES	30.56	209.84	169.07	113.56	497.0	178.77	1001.93	921.88	348.71	299.25	223.41	339.14	389.72	872.1	579.04	934.76	40.36	0.0	0.82	49.91	117.6	105.89	48.52	70.01	37.05	988.12	583.07	1277.29
FGF7	6.06	327.56	228.13	38.4	447.82	161.02	1081.39	2609.3	346.29	295.11	167.9	426.57	454.09	1721.16	620.67	1721.16	6.89	0.0	0.41	36.79	318.57	137.14	35.76	35.0	35.76	2004.85	1001.93	2573.36
FLCN	182.55	934.76	460.44	429.54	1167.14	291.04	2303.12	1096.5	633.73	1023.0	723.08	728.11	2104.58	2555.58	1081.39	2384.37	189.02	264.03	1225.22	277.2	316.37	260.38	231.32	256.78	126.12	836.53	1250.98	884.29
FZD4	12.27	104.42	59.97	39.79	432.53	40.64	802.41	429.54	329.84	153.34	141.02	150.17	579.04	249.73	483.38	780.44	21.47	47.5	59.55	18.97	28.65	53.95	19.97	33.06	22.75	587.13	293.07	466.88
GABARAPL1	376.41	599.49	500.46	400.71	2796.65	358.54	2627.46	4704.07	974.5	1407.55	830.75	1427.22	2209.26	3820.7	2855.44	3928.15	295.11	0.0	0.51	158.79	356.05	819.3	341.51	536.45	525.39	1733.13	2255.7	1277.29
GAS1	6.84	224.97	215.77	60.39	358.54	74.58	5441.3	2701.35	82.29	343.89	181.28	187.71	808.0	656.11	1594.73	1250.98	33.3	0.0	0.16	309.83	38.95	166.73	89.51	116.78	77.25	1313.23	1151.06	2976.74
GFRA1	1.43	65.26	19.68	9.06	251.48	40.36	802.41	819.3	208.38	356.05	180.02	312.0	599.49	395.18	591.22	629.35	4.62	6.21	37.85	33.54	57.08	41.22	5.68	7.4	5.06	2520.38	1088.92	1870.53
GLT8D2	31.67	170.25	106.63	37.05	264.03	44.89	1378.57	1250.98	218.79	237.86	142.01	224.97	532.74	780.44	785.88	665.29	10.55	0.0	0.28	90.14	64.8	52.82	27.05	21.47	19.53	1388.16	1268.46	1832.01
GPR124	22.1	258.57	121.79	73.54	500.46	194.36	1936.53	1044.52	525.39	713.11	514.56	775.05	1208.34	808.0	1331.57	518.15	13.72	0.0	0.42	239.52	148.09	54.72	76.71	67.12	53.19	1794.29	1457.23	1991.0
GPR146	53.19	90.14	90.14	64.34	629.35	76.17	791.35	406.31	307.69	237.86	202.66	214.27	500.46	334.46	454.09	674.59	19.39	0.0	0.05	57.49	48.18	94.67	38.95	40.07	28.45	406.31	187.71	896.64
GRIA2	0.0	0.19	3.47	0.0	16.27	0.0	6.78	9.93	9.41	1.38	1.64	58.71	6.46	22.75	11.82	5.63	0.0	0.0	0.17	0.08	0.27	0.42	0.0	0.65	0.0	26.86	100.13	23.25
GRID1	7.82	23.93	23.08	18.7	32.13	25.17	47.84	28.86	33.06	65.26	40.64	51.71	35.0	77.79	57.08	37.05	3.17	0.0	0.22	37.59	29.27	13.32	26.1	6.94	9.85	46.5	88.88	81.71
GRK5	39.79	301.33	135.24	124.37	813.63	147.06	1350.18	1340.84	603.67	480.04	353.59	316.37	1457.23	1081.39	1242.34	1388.16	127.0	0.0	0.53	336.79	336.79	139.07	109.66	94.67	102.97	1081.39	1023.0	1081.39
HDX	7.82	14.89	14.24	15.22	26.28	20.71	47.5	72.52	14.35	26.67	12.93	29.7	48.52	117.6	67.59	48.52	8.65	0.0	0.31	4.54	18.7	12.83	10.88	10.24	1.31	110.43	71.0	77.25
HOXD3	8.19	29.7	55.89	23.08	27.44	14.03	59.13	71.5	42.11	45.53	34.26	68.55	37.32	50.63	55.1	50.98	3.38	0.0	0.34	16.88	17.51	6.52	4.62	4.82	12.09	99.43	43.94	127.0
HPS1	348.71	1030.12	854.13	819.3	1143.1	902.89	1304.15	1277.29	802.41	872.1	1143.1	825.0	1477.58	1199.98	1322.37	1617.0	723.08	0.0	0.68	503.95	507.46	780.44	575.03	748.61	389.72	1561.89	1832.01	1733.13
IL15RA	98.73	486.75	397.93	253.23	629.35	199.85	1104.13	1127.35	490.14	356.05	412.0	426.57	616.37	674.59	665.29	830.75	138.1	0.0	0.61	248.0	348.71	265.87	241.19	147.06	221.86	1923.14	780.44	1617.0
IL1R1	547.75	497.0	426.57	301.33	967.76	435.55	1059.11	1551.09	981.29	567.1	497.0	651.58	555.41	995.0	497.0	1540.37	256.78	0.0	0.75	199.85	305.55	497.0	173.85	264.03	555.41	1015.93	579.04	1191.69
ING4	503.95	947.83	872.1	819.3	961.07	896.64	1216.75	1023.0	1030.12	1023.0	1167.14	974.5	1331.57	1066.48	1350.18	1340.84	356.05	0.0	0.33	379.04	212.78	733.19	607.87	525.39	521.76	1023.0	1304.15	1191.69
ITIH3	1.99	52.08	11.82	11.47	66.18	21.78	60.82	134.3	75.64	123.5	32.36	120.94	50.27	633.73	438.59	85.22	1.91	0.0	0.42	13.52	11.73	4.5	24.99	8.19	4.21	128.79	148.09	591.22
ITIH5	28.04	204.07	82.87	55.1	275.28	152.28	1769.57	1963.57	314.17	642.59	447.82	497.0	1628.26	1378.57	1088.92	587.13	25.17	0.0	0.21	358.54	68.55	89.51	87.03	18.03	10.16	1819.35	1477.58	1359.57
JAM3	2.63	358.54	116.78	79.45	507.46	130.6	1001.93	1167.14	336.79	521.76	271.48	412.0	1313.23	1295.13	1331.57	947.83	38.67	0.0	0.62	45.85	66.65	83.45	30.56	27.44	33.06	1733.13	1350.18	1457.23
KIAA1755	0.0	110.43	35.25	31.45	136.19	69.52	693.58	507.46	111.21	109.66	124.37	134.3	656.11	423.61	423.61	486.75	1.25	0.0	0.21	11.82	9.7	13.93	19.25	2.61	4.24	718.08	660.68	842.36
KRT4	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	6.52	3.109113511E7	90.77	9.93	231394.29	282912.21	117311.73	214407.12	182.55	2.23	26.28	12.27	254974.66	0.0	0.0	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	26.86	12.18	1.33
LDB2	20.26	150.17	114.36	64.34	409.15	130.6	1088.92	848.22	507.46	281.09	232.94	406.31	500.46	638.15	518.15	780.44	50.98	0.0	0.27	202.66	92.05	96.68	43.02	43.94	48.87	1397.83	928.3	1639.59
LMX1A	0.68	7.0	1.14	2.07	14.45	0.0	54.33	34.02	7.0	9.34	4.86	4.66	18.84	22.92	27.44	9.85	1.23	0.0	0.0	2.97	1.3	4.39	1.55	2.23	1.11	26.86	29.7	25.91
LPAR1	183.82	318.57	269.6	267.73	612.11	327.56	1378.57	2915.45	493.56	583.07	289.02	536.45	1208.34	1583.71	748.61	1519.15	50.27	0.0	0.8	181.28	145.02	551.56	115.97	100.13	329.84	3540.14	1685.71	2240.11
LRRC17	6.89	12.0	19.97	3.66	78.89	3.76	1191.69	387.02	64.34	189.02	116.78	206.94	289.02	507.46	486.75	234.57	6.16	0.0	0.11	109.66	6.52	18.56	5.45	1.69	2.46	80.57	68.07	87.65
LTBP2	195.72	507.46	423.61	325.29	389.72	289.02	1286.18	1447.15	575.03	785.88	463.65	536.45	825.0	703.28	842.36	921.88	178.77	0.0	0.47	151.22	124.37	409.15	138.1	178.77	126.12	1551.09	1369.04	791.35
MAP2K5	236.21	246.28	198.47	209.84	287.01	260.38	412.0	371.22	229.72	314.17	341.51	262.2	361.04	384.34	435.55	358.54	137.14	0.0	0.29	147.06	154.42	262.2	169.07	190.34	223.41	356.05	351.14	323.03
MAST3	36.27	113.56	85.82	115.16	134.3	105.89	197.09	185.11	120.1	137.14	97.36	100.83	208.38	255.0	265.87	231.32	31.0	0.0	0.42	28.24	63.0	46.5	44.25	38.95	31.45	409.15	309.83	389.72
ME3	1.73	56.28	27.84	39.79	514.56	65.72	830.75	591.22	244.57	201.25	223.41	285.03	854.13	693.58	842.36	718.08	69.52	0.0	0.96	23.93	30.78	78.89	20.56	31.0	8.99	279.14	429.54	244.57
MEGF8	59.97	234.57	212.78	182.55	265.87	287.01	287.01	351.14	236.21	191.67	194.36	183.82	463.65	463.65	547.75	403.5	107.38	0.0	0.61	140.04	133.36	234.57	139.07	224.97	51.35	320.8	239.52	432.53
MFAP4	28.04	4010.71	1059.11	466.88	5147.73	1617.0	39237.98	17681.08	12676.65	16843.62	7803.01	17317.18	13306.94	18178.19	27363.16	15075.35	85.22	0.0	0.6	6561.36	1457.23	466.88	1059.11	229.72	902.89	67846.12	64186.29	55877.28
MOAP1	318.57	251.48	176.29	154.42	547.75	153.34	493.56	387.02	209.84	417.77	285.03	343.89	688.78	629.35	753.83	591.22	139.07	0.0	0.41	81.71	128.79	244.57	127.89	161.02	162.14	348.71	323.03	373.81
MOCS1	5.59	189.02	198.47	220.32	409.15	169.07	674.59	514.56	271.48	218.79	228.13	348.71	579.04	547.75	521.76	567.1	44.25	93.35	162.14	98.73	126.12	112.77	114.36	127.0	119.26	934.76	348.71	1259.69
MYO7A	4.24	80.01	53.57	34.02	80.01	21.01	96.01	223.41	39.22	55.1	39.5	72.01	85.82	73.54	68.07	260.38	7.57	0.0	0.41	6.62	24.11	18.43	11.73	24.99	23.08	50.63	108.14	132.44
NALCN	0.44	0.56	2.89	0.0	10.16	0.23	18.16	30.34	3.2	13.42	7.11	5.36	9.93	15.45	19.53	21.16	0.53	0.0	0.13	3.11	0.2	3.69	2.12	0.0	1.03	7.11	37.59	38.95
NDNF	25.17	43.32	16.75	9.85	131.51	20.26	228.13	253.23	43.63	117.6	72.01	138.1	214.27	69.52	102.25	109.66	1.55	0.0	0.27	37.59	40.64	28.45	6.36	3.79	4.43	297.17	98.73	239.52
NEGR1	2.14	75.11	45.53	12.74	228.13	42.11	656.11	860.08	78.34	127.89	76.17	121.79	591.22	624.99	432.53	567.1	5.92	0.0	0.27	11.3	13.83	38.67	5.02	7.75	10.47	1781.89	954.43	974.5
NFKBIL1	423.61	412.0	353.59	289.02	511.0	334.46	679.29	423.61	476.71	409.15	441.64	417.77	603.67	612.11	624.99	559.28	381.68	0.0	0.6	214.27	195.72	493.56	414.87	397.93	305.55	511.0	587.13	532.74
NLGN1	0.0	10.31	7.4	2.66	38.95	5.02	46.5	78.34	7.75	20.86	21.94	21.47	38.95	45.53	49.91	32.36	0.99	0.0	0.12	13.12	13.32	3.99	2.39	0.2	1.5	206.94	96.68	57.49
NPAS3	0.0	5.68	8.58	1.58	23.76	4.58	71.5	41.81	4.24	5.73	9.27	8.51	37.32	38.95	50.63	38.12	0.0	0.0	0.12	0.64	0.97	4.62	1.25	0.88	1.04	94.67	45.21	53.19
NPDC1	130.6	1030.12	642.59	708.18	2956.17	743.43	8718.32	3901.01	3690.52	2075.59	2178.83	2555.58	5995.9	5831.91	5147.73	5872.48	551.56	0.0	1.07	178.77	392.44	412.0	170.25	208.38	249.73	7180.15	6983.79	10296.45
NPR2	17.25	232.94	232.94	77.25	583.07	94.67	981.29	723.08	273.37	309.83	164.42	297.17	854.13	802.41	995.0	947.83	13.22	0.0	0.79	90.14	53.57	34.26	15.56	12.09	21.32	698.41	607.87	848.22
NPY1R	2.34	13.93	15.45	10.16	60.82	13.42	595.34	180.02	61.25	59.13	33.78	49.21	110.43	229.72	220.32	61.25	0.0	0.0	0.15	1.35	0.97	11.55	3.44	9.56	0.0	733.19	381.68	738.29
