	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A6.6140.01A.11R.1774.07	TCGA.F4.6854.01A.11R.1928.07	TCGA.D5.6532.01A.11R.1723.07	TCGA.G4.6625.01A.21R.1774.07	TCGA.NH.A8F7.01A.11R.A41B.07	TCGA.CM.6165.01A.11R.1653.07	TCGA.AZ.6603.01A.11R.1839.07	TCGA.A6.6137.01A.11R.1774.07	TCGA.G4.6311.01A.11R.1723.07	TCGA.AA.3506.01A.01R.1410.07	TCGA.AY.A8YK.01A.11R.A41B.07	TCGA.AZ.6605.01A.11R.1839.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11XUK.0826.SM.5GU6P	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6513.01A.21R.1736.07	TCGA.EI.7002.01A.11R.1928.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
FNBP1L	579.04	567.1	543.96	536.45	417.77	808.0	780.44	551.56	819.3	400.71	343.89	447.82	295.11	140.04	248.0	190.34	155.5	176.29	138.1	128.79	323.03	142.01	0.52	684.02	353.59	145.02	69.52	128.79	234.57	85.22	159.9	83.45
FUT4	1.66	312.0	211.31	314.17	260.38	325.29	177.53	228.13	348.71	205.5	642.59	305.55	209.84	44.57	94.01	18.43	15.34	48.87	26.86	23.93	53.19	9.27	0.3	189.02	269.6	19.82	5.82	11.47	21.16	10.63	14.14	5.68
GABRA2	3.17	137.14	37.32	29.48	10.55	92.05	30.78	10.88	51.35	6.11	108.14	109.66	15.0	4.94	4.54	1.39	1.53	3.29	1.6	5.36	6.57	0.0	0.0	3.11	197.09	0.74	1.06	0.93	2.29	1.3	0.0	1.55
GDF15	67.12	8658.09	2664.15	3540.14	2502.97	1685.71	1477.58	4450.27	2997.45	1963.57	9344.14	3467.27	3614.55	190.34	283.05	221.86	27.84	74.06	80.57	21.78	134.3	1.69	0.43	551.56	2520.38	309.83	2.23	65.72	253.23	93.35	47.84	35.25
GGT7	34.02	612.11	454.09	384.34	381.68	693.58	297.17	583.07	463.65	387.02	309.83	688.78	366.09	181.28	193.01	146.03	97.36	104.42	115.97	126.12	221.86	84.04	0.83	457.25	483.38	23.42	14.56	118.43	115.97	32.36	54.33	13.42
GOLIM4	49.91	1295.13	775.05	738.29	1388.16	1208.34	1417.35	1617.0	2835.7	743.43	629.35	1023.0	796.86	217.27	334.46	271.48	86.43	239.52	218.79	103.69	314.17	93.35	94.01	878.17	1427.22	457.25	205.5	218.79	194.36	109.66	103.69	116.78
GP5	0.55	2.18	2.61	0.85	3.76	4.46	0.95	3.53	0.65	1.22	1.85	2.1	3.14	1.73	2.27	0.0	0.8	0.72	0.68	0.78	0.67	0.0	0.0	10.63	0.95	0.0	0.1	2.81	0.33	0.41	0.06	0.0
GPR83	0.0	115.97	1.75	1.27	2.66	34.51	0.91	2.68	1.35	1.79	1.36	8.0	2.36	2.66	1.71	1.39	0.23	0.47	0.67	1.31	0.44	0.0	0.13	1.77	3.2	0.0	0.3	1.06	0.0	1.45	0.19	0.26
GRIN2B	1.08	3.5	6.01	5.45	2.97	6.26	11.13	4.5	10.55	2.71	4.86	11.04	1.06	0.15	0.73	0.0	0.0	0.48	0.0	0.0	0.55	0.0	0.0	9.48	4.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HIRA	130.6	684.02	612.11	703.28	567.1	595.34	540.19	480.04	497.0	497.0	514.56	473.41	438.59	379.04	387.02	285.03	262.2	348.71	336.79	277.2	379.04	126.12	0.62	647.07	429.54	387.02	325.29	603.67	316.37	429.54	373.81	271.48
HOXB9	9.63	19.53	1037.29	3235.01	1674.06	1008.9	878.17	102.25	226.54	733.19	441.64	1950.0	769.69	34.02	47.5	10.16	3.92	25.17	4.35	0.54	39.22	0.0	0.32	297.17	915.51	0.0	0.0	0.15	0.0	4.06	0.0	0.3
HTR1D	0.0	104.42	98.73	123.5	119.26	137.14	59.97	48.87	34.02	15.11	279.14	98.04	71.5	16.27	26.1	11.47	0.0	35.76	1.87	0.41	0.52	0.0	0.1	97.36	35.0	0.0	0.0	0.0	1.89	5.02	0.18	1.5
HUNK	21.94	341.51	198.47	368.65	169.07	303.44	114.36	115.97	138.1	108.9	101.54	98.73	96.01	13.22	5.15	7.57	5.96	5.11	17.13	5.19	11.3	3.82	0.0	144.01	156.59	40.64	26.67	38.4	9.63	8.19	7.11	14.35
IGSF23	0.0	29.27	42.11	18.03	63.0	38.67	8.92	39.22	3.72	3.96	60.82	28.24	18.84	2.89	1.27	0.0	1.48	2.07	2.92	0.0	6.73	0.82	0.0	28.86	66.18	6.41	0.0	0.0	4.28	0.0	0.0	0.0
IMMP2L	109.66	400.71	579.04	728.11	438.59	830.75	490.14	511.0	525.39	518.15	540.19	571.05	476.71	148.09	117.6	211.31	117.6	75.11	151.22	133.36	239.52	194.36	0.3	392.44	624.99	351.14	152.28	202.66	339.14	186.4	96.68	149.12
KCTD16	0.0	12.0	5.54	1.0	0.51	20.11	1.08	2.66	8.85	0.51	1.93	12.27	1.43	0.0	0.85	0.73	0.24	0.19	0.16	0.0	0.0	0.0	0.0	2.61	12.09	0.0	1.28	0.0	0.0	0.0	1.14	1.83
KIAA0226L	28.86	1175.27	1059.11	1605.83	1096.5	1127.35	1350.18	1233.75	961.07	356.05	403.5	921.88	981.29	21.94	103.69	11.3	13.62	27.05	61.68	64.34	24.11	3.03	0.28	629.35	915.51	22.75	0.44	30.12	24.99	33.3	28.86	2.81
KIF21B	3.63	141.02	277.2	157.68	94.67	228.13	141.02	208.38	109.66	103.69	176.29	251.48	37.32	28.65	78.34	31.9	10.55	29.7	24.46	24.63	36.27	2.46	0.57	162.14	242.88	1.11	2.89	9.93	5.19	12.83	4.21	1.83
KLHL23	16.15	409.15	426.57	301.33	373.81	633.73	493.56	409.15	239.52	206.94	339.14	234.57	229.72	105.89	152.28	54.33	29.7	134.3	74.58	37.05	96.68	23.76	0.38	361.04	507.46	47.5	15.34	15.0	72.52	17.9	25.91	12.0
KRT4	3.697379928E7	4.1	8.51	8.06	0.0	10.31	0.0	5.68	48.18	8.58	0.0	0.0	24.63	1.810644424E7	2263304.65	6140819.49	2.276004283E7	3359929.59	2654482.97	3.109113511E7	165904.25	951601.81	0.0	332.14	16.75	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LRP5	130.6	1857.6	1844.76	1322.37	1674.06	2047.0	1233.75	1757.34	1427.22	1127.35	1551.09	1963.57	1143.1	753.83	1008.9	583.07	466.88	738.29	791.35	423.61	753.83	204.07	0.61	1397.83	1594.73	127.0	209.84	346.29	559.28	236.21	389.72	211.31
LRRC37A3	98.73	107.38	221.86	265.87	275.28	295.11	231.32	258.57	198.47	253.23	120.1	229.72	185.11	120.1	80.57	149.12	99.43	121.79	53.19	82.29	155.5	20.56	0.57	454.09	279.14	12.27	21.32	35.76	62.12	39.5	36.01	32.82
ME3	1.73	341.51	624.99	463.65	500.46	1073.91	698.41	432.53	417.77	198.47	466.88	764.36	341.51	56.28	84.04	27.84	39.79	70.01	30.78	65.72	181.28	21.16	0.96	346.29	444.72	32.13	23.93	30.78	78.89	20.56	31.0	8.99
MGAT4B	3280.18	9808.75	8191.0	6516.03	3901.01	7081.29	5751.61	5076.84	3982.99	4543.8	4038.61	6561.36	3060.45	1781.89	2591.27	1397.83	1407.55	1794.29	1233.75	1447.15	3257.52	1286.18	1.0	4181.07	5329.3	1191.69	1467.37	1457.23	2018.8	1551.09	1991.0	1417.35
MLLT3	113.56	291.04	387.02	414.87	563.18	497.0	693.58	591.22	373.81	493.56	236.21	325.29	412.0	134.3	205.5	127.0	162.14	151.22	199.85	164.42	343.89	226.54	0.47	332.14	890.44	115.16	77.25	71.5	218.79	57.49	141.02	84.04
MUC12	8.0	4210.15	2895.31	1540.37	3716.2	10084.54	7966.99	2367.9	2720.15	1857.6	164.42	4639.29	4038.61	49.56	111.99	20.41	1.87	60.82	7.4	0.0	20.86	4.31	0.0	587.13	612.11	63.0	21.47	87.65	28.45	1.45	22.43	4.86
MYO10	379.04	607.87	902.89	612.11	397.93	1208.34	723.08	733.19	493.56	229.72	457.25	688.78	198.47	115.97	190.34	241.19	92.05	153.34	125.24	67.59	423.61	75.64	0.8	500.46	866.07	187.71	154.42	314.17	293.07	162.14	187.71	185.11
MYO7B	0.0	1030.12	961.07	808.0	934.76	1857.6	1378.57	571.05	1498.22	780.44	1073.91	1551.09	329.84	228.13	575.03	46.5	18.7	309.83	25.54	17.64	251.48	0.0	0.43	176.29	1313.23	0.0	4.28	0.0	13.22	0.82	7.88	0.92
MYRIP	1.33	201.25	141.02	116.78	109.66	241.19	92.7	95.34	108.9	23.08	37.85	77.25	50.63	8.65	6.57	4.1	2.51	1.28	2.29	11.04	58.71	6.26	0.0	118.43	115.16	5.45	8.99	5.41	11.91	2.2	6.31	6.73
NBPF8	1.33	3.0	3.26	2.61	2.86	3.89	1.17	3.79	1.6	3.79	1.2	1.58	2.63	0.8	0.0	0.24	0.0	0.0	0.47	1.68	0.0	0.0	0.03	1.14	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NEK3	23.59	1081.39	1199.98	995.0	1143.1	1331.57	1242.34	1104.13	591.22	518.15	642.59	1583.71	660.68	325.29	323.03	265.87	114.36	236.21	135.24	138.1	155.5	53.57	0.48	878.17	1397.83	75.64	47.5	58.3	91.41	50.27	35.0	40.36
NEU1	295.11	1709.26	1781.89	2018.8	1794.29	1685.71	1685.71	1977.24	1519.15	1628.26	1709.26	1477.58	1250.98	595.34	387.02	460.44	392.44	521.76	473.41	373.81	571.05	909.17	0.36	1183.45	1551.09	591.22	175.07	447.82	603.67	318.57	651.58	256.78
NHLRC3	182.55	813.63	647.07	723.08	567.1	1167.14	921.88	571.05	493.56	497.0	412.0	656.11	417.77	158.79	281.09	205.5	183.82	156.59	136.19	145.02	303.44	125.24	480.04	514.56	854.13	73.54	68.55	44.57	134.3	87.03	93.35	67.12
NKD1	0.0	1359.57	1088.92	825.0	426.57	3564.78	417.77	392.44	660.68	447.82	1369.04	1096.5	185.11	64.8	35.0	55.49	29.27	13.83	34.02	89.51	41.22	8.06	0.39	1498.22	3614.55	8.0	6.89	10.0	27.05	11.3	6.36	4.13
NKD2	122.64	1331.57	1721.16	249.73	909.17	1870.53	373.81	1250.98	236.21	1295.13	981.29	842.36	825.0	341.51	205.5	159.9	128.79	127.89	201.25	141.02	102.25	21.78	1304.15	1781.89	2163.77	31.67	68.55	193.01	37.85	56.68	34.75	66.65
OGG1	94.01	457.25	674.59	656.11	575.03	775.05	532.74	476.71	463.65	400.71	723.08	420.68	400.71	262.2	575.03	239.52	214.27	334.46	435.55	334.46	293.07	251.48	323.03	579.04	624.99	136.19	148.09	125.24	217.27	120.94	119.26	75.64
PARM1	48.18	878.17	688.78	961.07	836.53	743.43	1175.27	612.11	854.13	234.57	363.56	961.07	454.09	116.78	77.25	71.0	53.57	96.68	63.0	94.01	242.88	36.27	84.04	283.05	988.12	25.72	22.75	16.51	102.97	23.08	50.63	18.56
PCTP	36.79	551.56	559.28	954.43	444.72	620.67	397.93	603.67	728.11	503.95	743.43	532.74	518.15	246.28	251.48	224.97	223.41	244.57	145.02	223.41	186.4	551.56	0.45	511.0	836.53	358.54	90.14	87.03	237.86	105.89	161.02	77.79
PDHA1	1950.0	8022.41	8778.97	10154.69	6207.38	12244.81	6887.62	7749.1	6381.92	5076.84	5147.73	10014.87	4704.07	2417.67	2855.44	2004.85	2178.83	2701.35	2875.3	2335.28	3742.05	1685.71	1.25	9025.81	8479.89	2627.46	2739.08	3540.14	2855.44	2061.24	3257.52	2682.69
PGPEP1	33.54	571.05	878.17	612.11	813.63	866.07	559.28	698.41	591.22	490.14	616.37	603.67	435.55	107.38	256.78	76.71	61.25	79.45	38.12	83.45	183.82	43.63	59.97	232.94	1015.93	24.81	14.56	56.68	56.68	90.77	71.5	14.67
PIPOX	5.15	88.26	228.13	420.68	497.0	693.58	76.71	258.57	96.01	124.37	126.12	251.48	153.34	57.89	125.24	50.27	7.28	6.78	4.13	20.86	18.7	7.11	0.17	316.37	435.55	2.66	2.94	0.32	4.17	6.21	3.86	2.68
PKLR	0.0	31.9	77.79	60.39	21.47	81.71	65.72	27.25	49.91	5.32	119.26	44.25	5.36	4.7	1.2	1.68	2.2	2.97	2.51	0.79	6.36	0.0	0.0	51.35	17.25	3.44	2.41	1.79	5.41	0.0	3.79	4.21
PLCB4	1.95	435.55	591.22	575.03	518.15	638.15	1572.76	1844.76	1183.45	603.67	607.87	1008.9	202.66	59.55	111.21	27.44	18.29	22.59	21.94	33.78	88.26	9.41	0.47	543.96	1259.69	3.69	0.77	3.0	31.9	2.53	12.36	2.27
PPP1R26	255.0	301.33	373.81	327.56	426.57	529.06	327.56	255.0	279.14	277.2	307.69	246.28	180.02	151.22	162.14	94.67	124.37	127.0	80.57	132.44	215.77	55.89	0.59	253.23	400.71	39.79	33.78	112.77	140.04	84.63	108.14	56.68
PROSER1	239.52	1529.73	1529.73	1769.57	981.29	1639.59	1111.82	1331.57	934.76	1225.22	642.59	1561.89	733.19	376.41	595.34	480.04	395.18	368.65	309.83	363.56	395.18	151.22	0.72	1963.57	909.17	129.69	201.25	151.22	246.28	183.82	218.79	198.47
PTPRD	2.27	163.28	150.17	57.89	144.01	234.57	299.25	51.71	246.28	75.11	66.65	236.21	60.82	13.03	15.68	16.15	27.25	11.82	9.48	9.85	79.45	15.68	0.57	32.82	80.57	7.82	43.02	13.03	20.56	4.35	0.0	5.45
PTPRJ	22.1	150.17	137.14	73.54	135.24	232.94	193.01	157.68	108.9	78.34	83.45	103.69	92.7	31.0	70.51	18.43	10.63	30.56	11.3	10.96	45.21	9.2	0.35	88.88	173.85	18.43	4.39	10.31	40.07	11.82	25.54	3.38
QPRT	18.56	1508.65	1991.0	3794.3	1277.29	2351.53	1605.83	1417.35	1594.73	961.07	1340.84	1819.35	1135.2	133.36	49.56	38.4	27.25	23.08	18.29	29.91	87.03	20.41	329.84	1143.1	1721.16	47.84	9.7	82.29	44.89	60.39	14.78	5.15
RFXAP	10.31	187.71	149.12	285.03	195.72	211.31	269.6	181.28	104.42	193.01	90.14	201.25	131.51	48.87	95.34	53.19	32.36	40.64	35.0	29.06	53.19	22.92	0.32	283.05	156.59	30.56	15.34	11.82	26.47	18.97	28.04	21.94
RGMB	258.57	273.37	738.29	1313.23	454.09	1225.22	733.19	860.08	361.04	117.6	191.67	507.46	265.87	153.34	93.35	182.55	84.04	54.72	90.77	73.54	332.14	89.51	0.52	909.17	438.59	99.43	90.14	96.68	202.66	96.01	115.16	88.88
RNF43	819.3	2835.7	1628.26	2018.8	2384.37	10585.95	1572.76	3168.41	3395.89	1096.5	1540.37	4671.57	947.83	144.01	116.78	161.02	166.73	47.17	38.12	260.38	320.8	143.01	0.04	1066.48	6250.56	126.12	231.32	55.89	253.23	334.46	291.04	275.28
