	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	TCGA.KN.8436.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.KN.8423.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	TCGA.KN.8429.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.P4QS.1126.SM.3NMD5	GTEX.RN64.1626.SM.48FD7	GTEX.ZYFG.1626.SM.5GZYY	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.12696.0926.SM.5FQTV	GTEX.147F4.2626.SM.5Q5CS	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5453.11A.01R.1503.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CZ.5455.11A.01R.1503.07	TCGA.CZ.5989.11A.01R.1672.07	TCGA.CZ.4865.11A.01R.1503.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CZ.4863.11A.01R.1503.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B2.5641.11A.01R.1541.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CW.6088.11A.01R.1672.07	TCGA.CZ.5469.11A.01R.1503.07	TCGA.CZ.5457.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CZ.5456.11A.02R.1503.07	TCGA.Y8.A8RY.11A.11R.A37K.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.GL.A9DE.11A.11R.A37K.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.DD.A39V.11A.11R.A213.07
HSPA14	575.03	500.46	595.34	587.13	480.04	503.95	769.69	281.09	291.04	281.09	389.72	371.22	493.56	267.73	199.85	620.67	454.09	376.41	414.87	376.41	571.05	511.0	218.79	361.04	429.54	358.54	309.83	392.44	476.71	285.03	460.44	368.65	429.54	291.04	381.68	327.56	366.09	291.04	329.84	265.87	297.17	283.05	318.57	279.14	299.25	151.22
INTS8	713.11	638.15	660.68	698.41	813.63	921.88	1322.37	162.14	177.53	239.52	353.59	297.17	218.79	265.87	139.07	500.46	277.2	236.21	258.57	293.07	309.83	514.56	164.42	239.52	332.14	285.03	126.12	316.37	178.77	175.07	260.38	320.8	239.52	295.11	153.34	239.52	153.34	134.3	189.02	162.14	236.21	253.23	318.57	248.0	197.09	205.5
JAK2	271.48	218.79	291.04	273.37	211.31	264.03	624.99	105.89	77.25	124.37	155.5	150.17	99.43	125.24	92.7	212.78	182.55	163.28	206.94	204.07	178.77	305.55	22.75	173.85	258.57	107.38	107.38	161.02	153.34	127.89	137.14	177.53	142.01	177.53	77.79	162.14	102.25	104.42	102.25	86.43	111.99	85.82	102.97	127.0	98.04	34.02
KIRREL	633.73	759.08	698.41	915.51	1733.13	836.53	2032.85	262.2	190.34	166.73	285.03	656.11	173.85	120.94	291.04	1023.0	603.67	860.08	1111.82	193.01	551.56	1216.75	5.54	316.37	791.35	318.57	208.38	514.56	371.22	226.54	291.04	277.2	275.28	493.56	186.4	287.01	181.28	232.94	253.23	180.02	220.32	204.07	212.78	281.09	397.93	24.11
KLHL5	620.67	620.67	599.49	551.56	921.88	1023.0	1051.79	387.02	307.69	441.64	503.95	563.18	503.95	532.74	334.46	1685.71	555.41	409.15	1617.0	825.0	669.92	1159.07	61.25	624.99	759.08	511.0	483.38	693.58	559.28	563.18	688.78	563.18	547.75	559.28	414.87	532.74	511.0	341.51	503.95	341.51	423.61	237.86	409.15	339.14	376.41	493.56
KRBOX4	336.79	400.71	447.82	441.64	483.38	463.65	665.29	158.79	108.9	165.57	217.27	232.94	190.34	231.32	156.59	412.0	143.01	180.02	248.0	305.55	116.78	241.19	108.9	195.72	202.66	141.02	126.12	166.73	199.85	147.06	149.12	175.07	208.38	165.57	131.51	181.28	143.01	126.12	145.02	113.56	166.73	185.11	163.28	193.01	148.09	120.1
LARGE	325.29	251.48	265.87	316.37	373.81	212.78	1073.91	133.36	104.42	88.88	248.0	191.67	89.51	134.3	150.17	339.14	199.85	99.43	169.07	143.01	307.69	336.79	31.45	167.9	226.54	145.02	116.78	226.54	181.28	121.79	101.54	128.79	158.79	221.86	73.03	150.17	90.77	124.37	115.16	81.71	126.12	113.56	139.07	111.21	162.14	98.73
MAML2	599.49	579.04	536.45	684.02	493.56	796.86	902.89	198.47	111.21	197.09	181.28	454.09	84.63	483.38	166.73	638.15	291.04	199.85	351.14	486.75	161.02	417.77	3.92	420.68	420.68	332.14	132.44	346.29	299.25	249.73	295.11	387.02	379.04	312.0	153.34	368.65	204.07	142.01	193.01	118.43	205.5	127.89	217.27	155.5	229.72	12.93
MBLAC2	178.77	169.07	187.71	158.79	204.07	208.38	323.03	71.5	46.84	94.67	106.63	108.9	34.02	88.26	45.85	149.12	113.56	87.03	94.67	132.44	136.19	158.79	26.86	137.14	114.36	107.38	83.45	102.25	98.73	100.13	116.78	128.79	102.25	103.69	29.27	95.34	55.89	61.25	57.49	69.03	72.01	52.45	62.12	53.57	38.4	51.35
MBTD1	366.09	379.04	389.72	356.05	540.19	511.0	665.29	93.35	82.87	104.42	119.26	153.34	54.33	108.9	64.8	343.89	111.99	130.6	139.07	234.57	103.69	265.87	18.7	152.28	169.07	150.17	72.52	191.67	109.66	118.43	123.5	177.53	164.42	161.02	39.22	162.14	76.17	71.0	81.71	59.55	126.12	102.25	115.97	114.36	72.01	82.87
MCC	285.03	363.56	363.56	409.15	525.39	406.31	289.02	98.73	90.14	123.5	124.37	170.25	137.14	202.66	42.41	236.21	143.01	69.03	299.25	209.84	149.12	571.05	63.89	155.5	242.88	211.31	71.0	214.27	180.02	105.89	217.27	199.85	204.07	155.5	87.65	248.0	157.68	84.63	106.63	85.82	127.0	114.36	134.3	88.26	102.25	124.37
MDM1	341.51	366.09	389.72	384.34	361.04	381.68	656.11	137.14	105.15	135.24	215.77	226.54	111.99	218.79	78.89	297.17	199.85	166.73	146.03	194.36	220.32	281.09	39.79	182.55	204.07	158.79	122.64	164.42	170.25	142.01	147.06	205.5	195.72	201.25	72.52	193.01	133.36	108.9	117.6	108.9	162.14	163.28	183.82	153.34	97.36	58.71
MIB1	521.76	457.25	490.14	463.65	612.11	500.46	693.58	198.47	166.73	191.67	218.79	283.05	161.02	239.52	132.44	633.73	277.2	221.86	397.93	341.51	351.14	607.87	81.71	329.84	397.93	289.02	212.78	414.87	289.02	275.28	295.11	343.89	346.29	371.22	191.67	403.5	204.07	171.45	287.01	173.85	209.84	154.42	199.85	185.11	204.07	80.57
MLLT10	466.88	483.38	587.13	571.05	518.15	473.41	708.18	277.2	277.2	316.37	397.93	454.09	258.57	403.5	234.57	473.41	305.55	303.44	376.41	595.34	441.64	466.88	323.03	339.14	417.77	343.89	193.01	368.65	307.69	208.38	297.17	323.03	400.71	339.14	193.01	438.59	262.2	226.54	228.13	166.73	351.14	267.73	312.0	281.09	218.79	162.14
MOSPD2	236.21	224.97	363.56	189.02	271.48	224.97	417.77	131.51	78.89	121.79	183.82	138.1	159.9	206.94	92.05	195.72	214.27	271.48	172.65	228.13	156.59	325.29	58.3	167.9	183.82	155.5	118.43	173.85	148.09	125.24	223.41	172.65	148.09	131.51	79.45	141.02	117.6	87.65	108.9	77.25	110.43	105.15	104.42	70.01	100.83	64.34
OTUD6B	221.86	177.53	241.19	215.77	193.01	279.14	603.67	100.13	109.66	111.21	155.5	135.24	130.6	126.12	62.12	277.2	129.69	97.36	172.65	181.28	142.01	191.67	55.1	120.1	141.02	116.78	120.1	133.36	152.28	99.43	124.37	145.02	135.24	123.5	105.89	129.69	120.94	84.04	129.69	87.03	105.89	127.0	96.01	129.69	88.26	49.21
P2RX7	78.89	90.77	104.42	90.14	223.41	140.04	267.73	11.91	4.82	5.19	12.93	20.71	5.11	1.81	8.32	68.07	7.63	13.62	53.95	11.64	7.75	48.87	0.41	11.38	58.71	10.16	4.82	55.1	26.1	20.56	15.56	8.06	25.72	10.39	7.88	9.78	3.99	12.18	6.46	6.16	4.82	10.79	4.58	5.02	13.22	10.39
PBRM1	708.18	743.43	848.22	753.83	1044.52	866.07	1397.83	187.71	185.11	205.5	241.19	287.01	137.14	236.21	208.38	466.88	351.14	295.11	323.03	303.44	384.34	525.39	29.27	299.25	417.77	341.51	162.14	414.87	277.2	229.72	262.2	366.09	348.71	356.05	175.07	414.87	220.32	191.67	194.36	138.1	232.94	183.82	224.97	197.09	241.19	111.21
PEAK1	432.53	412.0	555.41	457.25	629.35	532.74	860.08	181.28	125.24	147.06	215.77	237.86	87.65	205.5	96.68	819.3	161.02	173.85	293.07	366.09	228.13	265.87	12.45	220.32	336.79	206.94	127.0	412.0	287.01	189.02	223.41	253.23	246.28	358.54	93.35	387.02	137.14	134.3	133.36	118.43	152.28	126.12	187.71	161.02	142.01	26.28
PHIP	612.11	540.19	607.87	665.29	529.06	547.75	780.44	125.24	111.99	104.42	167.9	162.14	81.71	122.64	90.77	346.29	173.85	141.02	239.52	158.79	169.07	387.02	21.94	181.28	283.05	178.77	105.89	239.52	169.07	123.5	183.82	208.38	204.07	224.97	85.82	246.28	119.26	97.36	129.69	98.04	135.24	98.73	116.78	132.44	116.78	34.51
PMS1	229.72	267.73	339.14	366.09	256.78	291.04	314.17	92.7	124.37	115.97	163.28	154.42	99.43	217.27	70.01	214.27	138.1	90.14	105.15	237.86	144.01	177.53	47.17	145.02	143.01	150.17	117.6	149.12	120.94	122.64	172.65	141.02	137.14	151.22	72.52	143.01	82.87	80.01	82.29	94.67	132.44	148.09	155.5	141.02	76.17	80.57
PRICKLE2	423.61	381.68	373.81	476.71	532.74	603.67	961.07	56.68	32.13	46.5	86.43	112.77	30.78	129.69	100.83	244.57	78.34	75.11	209.84	148.09	72.52	318.57	0.42	82.87	183.82	72.52	55.1	117.6	122.64	61.25	99.43	72.01	96.68	107.38	45.85	95.34	66.65	55.49	37.85	33.3	47.84	67.59	72.52	68.55	94.01	27.25
QSER1	441.64	314.17	353.59	341.51	466.88	358.54	429.54	123.5	70.01	111.99	135.24	138.1	61.68	108.14	112.77	363.56	120.94	112.77	186.4	269.6	153.34	236.21	21.63	185.11	214.27	177.53	107.38	249.73	162.14	127.89	161.02	198.47	173.85	214.27	77.25	223.41	110.43	92.05	120.94	87.65	137.14	82.87	124.37	99.43	98.04	36.01
RAB3GAP2	463.65	392.44	460.44	438.59	412.0	414.87	579.04	239.52	190.34	224.97	285.03	285.03	195.72	256.78	220.32	483.38	329.84	301.33	334.46	301.33	279.14	389.72	136.19	343.89	356.05	332.14	241.19	351.14	320.8	281.09	301.33	363.56	363.56	392.44	185.11	426.57	237.86	199.85	215.77	169.07	244.57	189.02	231.32	211.31	215.77	104.42
RICTOR	397.93	299.25	397.93	392.44	265.87	312.0	409.15	115.16	108.14	130.6	150.17	157.68	78.89	138.1	81.71	325.29	146.03	151.22	197.09	204.07	187.71	279.14	55.1	236.21	234.57	194.36	116.78	221.86	182.55	154.42	202.66	258.57	206.94	248.0	82.87	258.57	114.36	102.97	131.51	109.66	148.09	111.99	136.19	155.5	99.43	51.71
RNMT	656.11	547.75	497.0	616.37	563.18	500.46	713.11	351.14	309.83	301.33	379.04	316.37	237.86	381.68	237.86	466.88	332.14	329.84	368.65	438.59	281.09	476.71	123.5	397.93	444.72	361.04	287.01	463.65	486.75	358.54	441.64	441.64	397.93	466.88	226.54	392.44	371.22	320.8	289.02	277.2	323.03	255.0	353.59	316.37	237.86	195.72
ROBO1	486.75	647.07	279.14	518.15	1175.27	607.87	713.11	59.55	16.51	68.55	115.97	162.14	50.63	59.97	45.21	698.41	120.1	51.35	463.65	189.02	64.34	890.44	4.31	117.6	438.59	121.79	49.91	269.6	199.85	73.54	162.14	146.03	126.12	119.26	78.89	108.9	103.69	49.21	102.97	42.71	44.25	77.25	66.65	55.89	87.03	26.1
ROCK1	679.29	511.0	684.02	595.34	518.15	669.92	954.43	255.0	173.85	208.38	283.05	323.03	181.28	169.07	161.02	693.58	303.44	295.11	361.04	351.14	371.22	555.41	56.28	325.29	460.44	271.48	197.09	371.22	267.73	190.34	221.86	291.04	305.55	379.04	187.71	392.44	211.31	178.77	236.21	180.02	214.27	185.11	269.6	217.27	229.72	113.56
SMC6	287.01	239.52	334.46	293.07	356.05	387.02	620.67	143.01	122.64	146.03	204.07	183.82	96.68	164.42	119.26	283.05	158.79	153.34	178.77	156.59	193.01	271.48	7.82	158.79	228.13	156.59	128.79	231.32	147.06	125.24	156.59	208.38	180.02	224.97	96.68	217.27	139.07	126.12	122.64	93.35	149.12	120.94	164.42	131.51	120.1	125.24
SMCHD1	555.41	529.06	607.87	647.07	400.71	476.71	642.59	146.03	110.43	147.06	217.27	215.77	133.36	153.34	98.73	403.5	204.07	142.01	190.34	158.79	197.09	318.57	34.02	267.73	309.83	231.32	123.5	295.11	217.27	159.9	226.54	217.27	199.85	248.0	112.77	305.55	150.17	113.56	145.02	99.43	156.59	140.04	162.14	146.03	156.59	61.25
TAF5	81.14	68.07	96.68	71.5	91.41	107.38	133.36	27.44	17.51	32.36	28.86	45.21	15.56	46.5	19.97	62.12	34.26	27.84	43.94	74.58	34.02	50.63	12.74	57.49	38.67	53.57	25.54	36.01	23.25	25.54	46.5	38.4	29.06	48.18	10.08	43.94	22.43	19.68	17.77	16.27	28.65	26.47	47.17	28.04	14.35	28.86
TAOK1	575.03	480.04	607.87	493.56	387.02	450.94	1104.13	202.66	148.09	186.4	246.28	269.6	148.09	189.02	237.86	392.44	277.2	287.01	348.71	241.19	346.29	486.75	45.85	332.14	417.77	293.07	177.53	366.09	299.25	239.52	307.69	373.81	363.56	361.04	175.07	400.71	189.02	172.65	193.01	123.5	202.66	136.19	206.94	170.25	191.67	59.97
TENM3	130.6	172.65	67.12	116.78	65.26	105.89	47.17	16.39	10.96	10.31	60.82	46.5	11.64	21.94	10.16	67.12	51.35	18.97	29.7	45.53	33.78	158.79	3.08	30.34	87.65	50.98	10.88	100.13	53.95	16.51	96.68	40.36	36.53	33.3	15.0	29.48	15.45	34.75	18.16	12.55	11.73	11.73	18.97	23.42	22.75	1.23
TRANK1	371.22	318.57	387.02	406.31	426.57	403.5	460.44	37.85	36.01	32.36	92.7	76.17	37.32	41.81	82.29	341.51	68.07	34.26	65.72	97.36	24.81	262.2	3.17	75.11	251.48	58.3	24.46	163.28	171.45	92.7	183.82	41.22	82.87	56.28	41.52	70.51	45.21	69.52	32.82	23.93	41.52	69.03	25.91	40.64	42.41	107.38
