	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN	TCGA.AJ.A3BG.01A.11R.A19W.07	TCGA.SL.A6J9.01A.11R.A31O.07
C9orf72	392.44	43.94	389.72	45.85	215.77	55.89	92.05	256.78	320.8	246.28	153.34	0.0	0.61	320.8	61.68	82.87
CHD1	1135.2	287.01	2502.97	223.41	587.13	191.67	507.46	1447.15	723.08	595.34	287.01	236.21	74.58	599.49	161.02	148.09
CLDN20	34.02	4.43	32.36	2.03	1.75	0.0	2.25	21.32	10.31	7.11	3.59	0.0	0.22	16.63	1.11	0.33
DGKH	94.67	36.79	373.81	28.04	42.41	23.25	53.19	212.78	80.57	67.59	14.89	0.0	0.47	94.67	1.46	8.25
DHX29	718.08	336.79	808.0	121.79	500.46	329.84	733.19	1119.56	473.41	493.56	301.33	0.0	0.69	514.56	189.02	173.85
DICER1	1457.23	237.86	1119.56	264.03	353.59	115.16	476.71	1143.1	514.56	486.75	154.42	0.0	0.55	559.28	108.9	114.36
DLGAP1	99.43	10.63	20.11	3.0	48.18	1.79	42.11	223.41	77.79	67.59	12.64	0.0	0.25	94.01	2.14	1.6
ELP4	283.05	163.28	361.04	191.67	353.59	327.56	244.57	301.33	246.28	273.37	332.14	0.0	0.03	283.05	244.57	147.06
ERCC6L2	1304.15	94.01	1359.57	100.13	265.87	159.9	154.42	796.86	532.74	435.55	185.11	0.0	0.39	551.56	127.89	58.71
EXOC6B	563.18	121.79	426.57	161.02	253.23	118.43	191.67	361.04	260.38	264.03	123.5	108.9	251.48	339.14	39.5	49.56
EXPH5	117.6	59.13	165.57	51.35	59.55	30.56	58.3	199.85	66.18	71.0	34.02	30.56	63.45	89.51	29.7	11.55
FAM205A	4.58	0.0	0.74	0.0	0.37	0.0	0.78	6.78	0.75	1.16	0.42	0.0	0.0	2.27	0.0	0.0
FAM216B	5.77	0.72	0.69	0.34	0.35	0.0	1.79	4.54	0.36	0.0	0.0	0.0	0.0	7.22	0.0	0.0
FAR1	1059.11	157.68	1832.01	125.24	674.59	153.34	299.25	733.19	575.03	713.11	273.37	665.29	166.73	819.3	12.93	164.42
FBXL13	47.84	7.4	63.45	6.78	9.41	13.52	15.22	98.73	25.91	20.86	19.39	0.0	0.14	52.82	8.99	3.89
FKSG61	30.78	0.0	19.82	0.0	6.94	2.41	6.21	20.71	11.64	7.88	1.55	0.0	0.0	9.06	0.0	0.0
FLJ00418	36.79	0.0	35.0	1.97	4.28	0.0	2.56	44.25	14.78	9.85	0.17	0.0	0.68	15.56	0.82	0.84
FRRS1	363.56	66.18	336.79	70.51	88.88	47.17	126.12	435.55	140.04	149.12	36.01	0.0	0.41	197.09	52.08	7.51
GAN	126.12	18.43	141.02	23.76	91.41	29.48	29.91	94.67	82.29	65.72	19.68	0.0	0.3	142.01	14.14	9.34
GATSL1	96.01	4.58	79.45	5.15	0.0	0.0	26.86	135.24	16.63	24.11	26.67	0.0	0.0	119.26	19.39	0.0
GCSAM	62.56	4.24	194.36	14.67	78.34	4.82	51.71	127.0	35.0	65.26	17.64	0.0	0.36	81.71	1.53	3.96
GEMIN5	307.69	132.44	384.34	123.5	217.27	156.59	271.48	518.15	262.2	267.73	182.55	0.0	0.0	332.14	128.79	133.36
GPATCH2L	780.44	159.9	764.36	224.97	223.41	92.7	223.41	733.19	358.54	295.11	112.77	0.0	0.48	256.78	94.01	98.73
GPR155	176.29	35.25	63.89	53.19	50.98	24.81	47.84	93.35	62.12	56.68	30.12	0.0	0.36	91.41	22.59	31.45
HHIP	15.0	5.68	2.73	0.0	2.36	2.01	3.23	42.41	2.89	5.45	1.39	0.0	0.0	39.22	2.34	0.65
HSDL2	890.44	679.29	1639.59	486.75	620.67	896.64	947.83	1167.14	684.02	723.08	878.17	0.0	0.31	1769.57	759.08	299.25
HUS1B	46.84	0.0	28.04	0.78	4.66	4.28	4.24	13.42	4.9	4.24	2.32	0.0	0.24	12.36	0.0	4.35
IKBKAP	941.27	236.21	947.83	183.82	529.06	363.56	532.74	854.13	409.15	444.72	271.48	0.0	0.6	358.54	327.56	373.81
ITSN2	813.63	239.52	791.35	320.8	473.41	185.11	305.55	642.59	599.49	457.25	249.73	0.0	0.88	543.96	239.52	368.65
JAK2	389.72	74.58	339.14	158.79	191.67	185.11	234.57	571.05	201.25	392.44	154.42	67.59	80.01	400.71	24.46	63.89
KAT6A	1023.0	147.06	1059.11	176.29	341.51	152.28	234.57	708.18	450.94	529.06	107.38	343.89	503.95	890.44	73.03	69.52
KCNJ11	244.57	67.59	285.03	47.84	155.5	41.52	312.0	224.97	117.6	400.71	143.01	0.0	0.03	381.68	102.97	137.14
KRT40	1.68	0.36	0.68	0.97	13.03	0.0	16.03	14.78	15.22	3.99	6.62	0.0	0.0	25.54	0.27	0.0
KRTAP5-8	7.17	0.8	2.92	0.0	2.89	1.85	1.95	8.78	2.29	1.19	0.97	0.0	0.08	13.22	1.43	1.25
LANCL1	780.44	312.0	1044.52	318.57	808.0	187.71	595.34	941.27	1051.79	988.12	769.69	0.0	0.37	848.22	128.79	173.85
MAST4	454.09	262.2	457.25	59.55	325.29	161.02	332.14	688.78	454.09	417.77	279.14	53.19	291.04	518.15	136.19	39.22
MCC	660.68	114.36	536.45	71.5	220.32	34.26	209.84	490.14	273.37	217.27	98.04	54.72	48.52	483.38	85.22	12.64
MLANA	43.02	1.43	54.33	0.65	1.68	2.27	9.27	90.14	3.2	7.57	1.01	0.0	0.06	31.22	0.0	0.39
MTMR9	293.07	108.9	236.21	37.85	118.43	25.17	85.82	214.27	111.99	126.12	50.63	31.9	140.04	107.38	39.22	50.98
MTRNR2L9	2609.3	64.34	3146.52	93.35	45.21	32.82	229.72	629.35	70.51	100.83	56.28	0.0	0.0	314.17	26.28	21.32
MUCL1	16611.71	2216726.5	128.79	828417.36	237899.7	1255646.43	900270.11	411347.03	284880.02	253213.41	1299926.74	0.0	0.22	9635979.21	0.0	6.78
MUM1L1	41.22	31.9	231.32	5.96	28.65	0.34	104.42	159.9	31.9	14.56	164.42	0.0	0.0	166.73	1.33	2.36
NAA25	514.56	147.06	395.18	108.14	215.77	88.26	149.12	406.31	293.07	265.87	123.5	0.0	0.38	299.25	78.34	111.21
NOC3L	583.07	129.69	426.57	127.0	281.09	105.15	183.82	325.29	307.69	316.37	241.19	0.0	0.07	438.59	100.83	237.86
NUP98	2148.82	693.58	2075.59	563.18	1286.18	591.22	941.27	1709.26	941.27	1037.29	708.18	1369.04	64.34	1498.22	738.29	463.65
OSBPL11	376.41	98.04	297.17	152.28	205.5	93.35	215.77	346.29	195.72	195.72	189.02	132.44	83.45	231.32	59.97	127.0
OTUD4	638.15	166.73	693.58	162.14	441.64	142.01	258.57	599.49	500.46	476.71	189.02	0.0	0.33	713.11	80.01	141.02
PCDHGA11	45.21	8.85	14.14	4.28	30.78	2.92	7.57	57.49	17.9	21.47	5.73	0.0	0.19	49.56	0.45	0.79
PDE4D	256.78	166.73	125.24	49.56	74.06	51.71	82.29	426.57	95.34	70.01	23.76	59.97	48.18	718.08	15.91	11.82
PDHX	848.22	289.02	902.89	463.65	563.18	551.56	426.57	651.58	563.18	536.45	384.34	0.0	0.55	1030.12	529.06	353.59
PDK4	1350.18	256.78	490.14	90.77	1225.22	244.57	1769.57	4038.61	8191.0	1757.34	5183.54	0.0	0.39	9215.48	51.71	12.93
PFKFB2	353.59	127.0	96.01	161.02	202.66	183.82	281.09	518.15	221.86	167.9	115.97	78.34	47.84	376.41	74.06	61.25
PLK2	3124.78	1225.22	3395.89	543.96	1709.26	2502.97	4066.71	7911.95	3060.45	2271.4	1242.34	0.0	0.16	4869.99	178.77	43.32
PNPLA8	638.15	397.93	543.96	457.25	559.28	316.37	483.38	836.53	497.0	532.74	476.71	0.0	0.3	693.58	198.47	140.04
PPP2R3A	540.19	201.25	301.33	130.6	202.66	114.36	314.17	547.75	265.87	241.19	206.94	0.0	0.34	1191.69	15.91	57.89
PRKCE	234.57	52.45	376.41	100.83	124.37	56.68	64.8	170.25	176.29	142.01	96.01	0.0	0.02	162.14	28.04	96.68
PRMT3	444.72	102.25	518.15	131.51	244.57	187.71	166.73	299.25	248.0	236.21	249.73	0.0	0.3	384.34	53.57	129.69
PTCD2	185.11	100.83	264.03	51.71	116.78	59.97	218.79	281.09	165.57	147.06	97.36	0.0	0.0	194.36	96.68	66.18
PXK	256.78	166.73	366.09	234.57	379.04	173.85	392.44	457.25	312.0	384.34	265.87	0.0	0.55	435.55	97.36	99.43
QTRTD1	693.58	206.94	525.39	190.34	329.84	236.21	307.69	518.15	351.14	329.84	244.57	0.0	0.33	366.09	125.24	103.69
RELL1	1250.98	84.04	1561.89	118.43	189.02	62.12	171.45	934.76	312.0	346.29	209.84	0.0	0.29	642.59	19.11	13.72
RGPD5	669.92	111.21	376.41	81.71	185.11	44.25	68.07	429.54	265.87	147.06	18.16	48.52	34.51	237.86	25.72	39.79
RNF217	275.28	157.68	167.9	115.16	189.02	75.11	110.43	423.61	220.32	158.79	28.86	0.0	0.88	295.11	7.0	102.97
RORA	432.53	115.16	346.29	51.71	96.01	177.53	106.63	490.14	273.37	143.01	54.72	17.77	39.79	387.02	72.52	23.42
RP1	15.91	0.39	33.06	0.37	0.72	0.33	0.78	6.78	3.26	5.5	0.0	0.0	0.0	4.86	0.17	0.2
RP11-146D12.2	40.64	1.16	47.17	0.0	20.11	0.93	0.0	27.25	32.13	20.86	8.19	0.0	0.31	5.23	0.0	5.41
SAMD8	316.37	102.97	412.0	108.9	236.21	88.26	180.02	384.34	305.55	267.73	97.36	115.97	63.0	373.81	51.35	56.68
SKIV2L2	1191.69	525.39	1313.23	201.25	802.41	728.11	934.76	1540.37	854.13	890.44	426.57	518.15	105.15	830.75	420.68	379.04
SLC25A12	441.64	277.2	429.54	267.73	571.05	305.55	460.44	521.76	595.34	490.14	460.44	0.0	0.31	934.76	189.02	351.14
SLC5A9	43.94	10.47	17.77	0.0	5.73	1.3	1.62	24.46	10.96	8.58	5.36	0.0	0.13	19.11	7.34	3.41
SNRK	575.03	255.0	620.67	182.55	500.46	158.79	279.14	579.04	466.88	476.71	314.17	0.0	0.15	575.03	105.15	63.0
SPATA24	103.69	91.41	99.43	33.3	71.5	92.05	166.73	193.01	116.78	112.77	139.07	0.0	0.08	264.03	46.18	111.99
STON2	796.86	22.43	1199.98	10.71	185.11	75.11	361.04	1397.83	251.48	329.84	26.28	0.0	0.67	563.18	183.82	115.16
TMEM38B	140.04	70.51	116.78	297.17	152.28	98.04	703.28	802.41	94.67	206.94	71.0	0.0	0.35	406.31	94.01	101.54
TTC40	9.34	1.51	38.12	2.03	20.41	0.0	32.82	57.08	15.34	31.9	42.11	0.0	0.0	143.01	2.51	3.2
UBR3	947.83	189.02	848.22	435.55	466.88	256.78	327.56	967.76	583.07	521.76	346.29	0.0	0.39	693.58	159.9	182.55
VPRBP	403.5	249.73	748.61	221.86	480.04	253.23	518.15	775.05	559.28	708.18	339.14	0.0	0.53	500.46	251.48	99.43
VTI1A	543.96	217.27	514.56	214.27	231.32	273.37	262.2	591.22	237.86	255.0	232.94	0.0	0.49	368.65	176.29	142.01
WDR49	75.64	0.72	32.59	0.0	0.67	1.14	9.2	28.24	6.36	1.46	1.55	0.0	0.0	38.67	0.0	0.16
ZBBX	22.75	3.56	24.46	0.0	0.36	0.0	23.25	43.32	1.43	0.0	0.0	0.0	0.0	18.56	0.0	2.81
ZDHHC21	420.68	41.22	348.71	38.95	127.89	147.06	104.42	283.05	169.07	138.1	61.25	0.0	0.58	180.02	31.0	81.71
ZFYVE16	1051.79	387.02	764.36	220.32	547.75	137.14	336.79	921.88	500.46	454.09	209.84	185.11	147.06	368.65	140.04	107.38
ZNF383	242.88	57.49	236.21	59.55	145.02	31.22	92.7	221.86	176.29	161.02	147.06	0.0	0.36	185.11	26.1	46.5
ZNF473	173.85	78.34	172.65	63.89	133.36	60.39	147.06	229.72	151.22	138.1	108.9	0.0	0.0	244.57	66.65	88.26
ZNF516	305.55	59.55	389.72	35.5	211.31	50.27	95.34	256.78	234.57	269.6	96.68	0.0	0.54	265.87	197.09	92.7
ZNF565	186.4	57.49	187.71	50.63	78.34	31.67	115.16	190.34	88.88	87.65	66.18	0.0	0.33	148.09	39.5	59.97
ZNF584	165.57	153.34	228.13	84.63	125.24	85.82	190.34	195.72	177.53	167.9	224.97	0.0	0.23	232.94	100.83	36.27
ZNF614	260.38	109.66	212.78	61.25	141.02	57.49	123.5	262.2	148.09	156.59	151.22	0.0	0.39	209.84	8.85	32.13
ZNF891	101.54	25.17	89.51	9.48	41.22	21.32	28.65	109.66	45.53	41.52	30.56	0.0	0.21	51.71	5.23	16.39
