	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.E3.A3E0.01A.11R.A20F.07	TCGA.DE.A4M8.01A.21R.A250.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.E8.A44M.01A.21R.A23W.07	TCGA.FY.A40N.01A.11R.A23N.07	TCGA.CE.A27D.01A.11R.A16R.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.ET.A39R.01A.11R.A19O.07	GTEX.12ZZX.1226.SM.5EGHS
CHN2	0.0	0.47	194.36	105.15	43.32	320.8	220.32	47.84	110.43	28.45	98.04	148.09	299.25	151.22	40.64	35.76	221.86	28.24	148.09	339.14	346.29	551.56	267.73	450.94	191.67	642.59	397.93	353.59	195.72	642.59
CLDN8	0.0	0.0	165.57	12.83	69.03	178.77	185.11	113.56	8.13	2.01	191.67	5.02	28.45	7.88	7.06	2.01	0.0	1.97	0.0	229.72	46.84	63.45	138.1	58.3	187.71	125.24	130.6	177.53	55.89	356.05
CLIC3	0.0	0.34	1340.84	2075.59	159.9	3349.13	796.86	1175.27	3589.58	2335.28	642.59	3467.27	2720.15	647.07	4181.07	1794.29	529.06	3742.05	2004.85	6561.36	4358.66	3874.05	3372.43	6037.61	7911.95	5041.77	3982.99	5831.91	3982.99	6079.61
CRTC1	0.0	0.6	131.51	108.9	226.54	209.84	476.71	85.82	159.9	39.22	84.04	169.07	128.79	76.71	68.07	59.97	172.65	96.68	127.0	412.0	341.51	473.41	316.37	665.29	363.56	775.05	579.04	381.68	373.81	361.04
CRYGN	0.0	0.17	52.45	215.77	15.45	3.0	1.46	2.16	87.03	4.46	8.06	0.06	1.14	2.46	1.73	1.01	0.0	0.07	67.59	941.27	1242.34	1617.0	679.29	1417.35	1119.56	796.86	3515.68	1313.23	764.36	1844.76
CSRNP3	0.0	0.0	6.57	35.5	43.32	16.03	29.06	6.52	3.44	0.28	1.89	31.22	18.7	7.69	2.23	0.28	4.46	1.16	5.63	48.87	52.08	68.55	17.77	48.87	27.64	60.39	20.56	38.4	32.82	43.32
CYSLTR2	0.0	0.0	20.86	15.68	11.47	103.69	99.43	16.63	38.95	38.12	48.87	19.82	46.18	60.39	90.14	28.65	21.47	29.7	57.89	187.71	110.43	72.01	94.67	163.28	68.07	198.47	167.9	60.39	135.24	145.02
DIRAS3	0.0	0.27	138.1	275.28	81.71	155.5	202.66	77.25	69.03	186.4	59.97	334.46	780.44	108.14	89.51	206.94	52.08	43.94	57.49	438.59	447.82	536.45	497.0	529.06	323.03	616.37	759.08	579.04	708.18	248.0
DISP2	0.0	0.0	13.52	29.7	11.64	229.72	36.53	35.76	35.25	7.4	33.78	8.32	14.03	70.51	0.97	3.82	1.66	29.27	6.78	108.14	121.79	173.85	63.89	171.45	152.28	97.36	157.68	167.9	40.93	23.76
DYX1C1	0.0	0.0	262.2	158.79	111.99	217.27	269.6	100.83	49.56	11.73	102.25	41.81	169.07	109.66	65.72	19.11	69.03	82.29	66.18	236.21	155.5	172.65	159.9	287.01	277.2	242.88	165.57	191.67	162.14	149.12
EPB41L4A-AS2	0.0	0.06	34.51	42.71	23.93	34.75	49.21	21.16	98.73	26.47	28.45	25.72	26.67	8.19	4.03	26.47	32.59	19.53	19.25	70.51	58.71	78.89	25.54	92.7	50.27	85.82	85.22	52.82	49.91	62.12
EPM2AIP1	84.63	260.38	205.5	180.02	119.26	429.54	211.31	221.86	111.99	181.28	198.47	177.53	423.61	381.68	193.01	191.67	289.02	220.32	325.29	444.72	351.14	438.59	341.51	450.94	457.25	426.57	343.89	348.71	371.22	454.09
FANK1	0.0	0.0	915.51	158.79	271.48	457.25	813.63	612.11	129.69	85.22	193.01	98.04	221.86	118.43	42.71	48.87	104.42	92.7	41.81	490.14	366.09	476.71	438.59	591.22	358.54	633.73	507.46	493.56	476.71	493.56
FBF1	0.0	0.6	105.89	63.89	123.5	301.33	429.54	100.13	60.82	16.63	71.5	88.26	139.07	65.72	108.9	19.53	101.54	61.25	52.08	612.11	511.0	575.03	555.41	1313.23	334.46	1519.15	497.0	603.67	454.09	713.11
FBXL2	0.0	0.3	187.71	87.65	197.09	285.03	231.32	265.87	171.45	77.25	120.1	175.07	285.03	148.09	185.11	82.87	52.08	134.3	194.36	395.18	271.48	303.44	327.56	376.41	381.68	500.46	403.5	320.8	269.6	432.53
FRMD3	0.0	0.04	41.22	59.13	43.02	275.28	74.58	77.79	69.03	31.45	53.19	98.04	105.15	132.44	183.82	57.89	66.18	82.87	51.35	1819.35	967.76	1551.09	860.08	1467.37	1119.56	2148.82	1286.18	995.0	1242.34	206.94
FSCN2	0.0	0.23	30.78	10.63	22.43	55.89	81.14	7.17	19.11	0.79	13.12	8.78	27.64	10.39	10.96	15.8	25.35	10.39	17.77	141.02	86.43	180.02	96.68	336.79	126.12	353.59	197.09	204.07	105.15	193.01
FZD1	0.0	0.37	387.02	159.9	872.1	1183.45	497.0	273.37	291.04	295.11	269.6	909.17	514.56	395.18	320.8	348.71	130.6	264.03	287.01	703.28	1427.22	1437.15	866.07	1322.37	1519.15	1950.0	633.73	1167.14	2271.4	2133.97
GAL3ST3	0.0	0.0	0.66	4.78	0.72	3.72	1.19	0.0	0.0	0.0	0.0	0.0	0.0	3.41	0.0	0.0	3.92	0.61	2.46	389.72	361.04	540.19	432.53	563.18	507.46	457.25	341.51	595.34	414.87	536.45
GAS8	0.0	0.54	825.0	212.78	260.38	400.71	603.67	473.41	379.04	103.69	242.88	142.01	656.11	146.03	373.81	156.59	249.73	563.18	176.29	743.43	571.05	743.43	769.69	896.64	669.92	775.05	808.0	708.18	563.18	947.83
GFRA2	0.0	0.07	66.18	26.86	12.64	194.36	157.68	41.52	23.25	18.03	35.0	32.82	52.08	85.22	32.36	33.54	6.89	18.03	36.53	186.4	167.9	341.51	423.61	607.87	718.08	271.48	624.99	309.83	426.57	866.07
GLT1D1	0.0	0.33	9.13	17.64	27.44	2.36	3.76	6.67	20.11	8.38	71.0	17.38	8.45	30.34	10.79	14.24	22.59	37.05	42.11	218.79	208.38	232.94	165.57	262.2	108.9	285.03	224.97	122.64	195.72	37.32
GLT8D1	1350.18	1397.83	1199.98	693.58	1651.0	1561.89	1697.45	511.0	753.83	454.09	656.11	896.64	1001.93	860.08	743.43	463.65	934.76	961.07	825.0	2319.15	1519.15	2047.0	2148.82	2148.82	1950.0	2468.49	1977.24	2178.83	1991.0	2739.08
GNB5	0.0	0.45	255.0	249.73	432.53	884.29	567.1	392.44	343.89	215.77	400.71	339.14	397.93	183.82	307.69	267.73	532.74	305.55	343.89	651.58	780.44	603.67	543.96	764.36	514.56	713.11	688.78	785.88	733.19	825.0
GRIK5	0.0	0.41	8.65	32.82	14.67	7.11	9.34	35.0	10.71	0.47	4.39	13.32	25.91	2.18	8.32	7.57	1.1	6.73	3.56	312.0	353.59	301.33	314.17	327.56	293.07	303.44	423.61	334.46	384.34	412.0
GS1-259H13.10	0.0	0.0	21.94	18.56	33.3	8.58	20.56	26.86	10.08	0.0	31.67	0.0	20.56	0.0	14.78	21.94	20.86	24.99	12.55	52.08	42.71	41.22	43.32	98.73	18.29	58.3	55.1	35.0	25.17	40.36
HAND2	0.0	0.27	0.26	4.58	1.66	0.0	12.74	6.26	1.28	0.0	1.19	1.31	1.83	0.41	2.1	0.0	0.37	1.99	3.41	6.26	68.55	44.89	10.0	14.03	23.25	17.9	12.64	15.22	14.35	48.87
HEY2	0.0	0.24	56.28	37.32	23.76	23.93	92.05	163.28	25.35	177.53	34.51	74.06	85.82	33.06	63.45	155.5	13.93	57.89	33.06	368.65	301.33	256.78	327.56	376.41	368.65	669.92	265.87	320.8	429.54	80.01
HHEX	0.0	0.49	214.27	87.03	67.59	248.0	279.14	45.53	28.24	182.55	46.84	221.86	376.41	178.77	116.78	139.07	103.69	341.51	161.02	1467.37	1896.65	2209.26	1519.15	5219.6	1191.69	4358.66	1977.24	2537.92	1909.85	2537.92
HSD17B4	0.0	0.16	3235.01	5076.84	5292.48	3716.2	5147.73	2935.74	1769.57	1369.04	2502.97	2133.97	4671.57	3928.15	2591.27	1963.57	5076.84	2701.35	3190.46	5633.22	4671.57	5006.93	5292.48	4802.93	5872.48	6337.83	4575.41	5366.37	5219.6	3419.52
IGFBP6	0.0	0.42	1757.34	2032.85	842.36	1447.15	6207.38	748.61	476.71	379.04	620.67	3349.13	3372.43	275.28	1175.27	348.71	371.22	2224.63	1286.18	8538.88	16045.82	9088.59	10659.59	6699.25	15607.02	13123.73	11267.44	7280.4	12076.21	5441.3
IKZF2	0.0	0.24	94.01	120.1	64.34	148.09	183.82	103.69	42.71	109.66	88.26	65.72	112.77	111.21	70.01	97.36	34.26	65.72	67.12	283.05	327.56	379.04	251.48	323.03	159.9	293.07	267.73	206.94	281.09	143.01
IMMP2L	0.0	0.3	275.28	603.67	281.09	343.89	251.48	547.75	211.31	170.25	253.23	346.29	400.71	376.41	551.56	420.68	395.18	366.09	314.17	738.29	366.09	780.44	371.22	842.36	500.46	775.05	743.43	603.67	476.71	660.68
INHBB	0.0	0.22	101.54	99.43	490.14	53.19	234.57	348.71	31.67	34.26	51.71	55.1	112.77	20.71	94.67	54.72	37.05	103.69	33.3	1167.14	1417.35	1963.57	872.1	1498.22	988.12	665.29	3018.3	1175.27	1225.22	995.0
INPP5J	0.0	0.23	60.39	27.25	56.68	208.38	234.57	78.34	39.79	70.01	47.5	58.71	176.29	38.12	88.26	70.51	81.71	59.55	87.03	4450.27	4010.71	7130.55	4358.66	8191.0	3982.99	4328.55	3901.01	5329.3	3820.7	1628.26
IPO13	0.0	0.29	258.57	242.88	291.04	397.93	470.14	190.34	201.25	116.78	171.45	353.59	264.03	218.79	141.02	132.44	237.86	193.01	154.42	647.07	656.11	665.29	753.83	723.08	595.34	587.13	921.88	759.08	759.08	551.56
IQCK	0.0	0.22	463.65	178.77	426.57	642.59	633.73	273.37	269.6	172.65	256.78	215.77	293.07	162.14	209.84	124.37	119.26	163.28	161.02	1119.56	802.41	1167.14	791.35	1175.27	1030.12	974.5	988.12	981.29	854.13	764.36
ISCA2	0.0	0.4	713.11	656.11	674.59	500.46	890.44	256.78	164.42	167.9	205.5	281.09	403.5	242.88	163.28	197.09	373.81	473.41	223.41	1639.59	1259.69	1540.37	1304.15	1674.06	1359.57	1697.45	1757.34	1467.37	1662.49	934.76
IVD	825.0	463.65	1073.91	575.03	642.59	1529.73	1697.45	808.0	379.04	334.46	500.46	713.11	1733.13	813.63	409.15	181.28	1745.2	603.67	764.36	1832.01	1651.0	1950.0	1733.13	2875.3	2061.24	1397.83	2351.53	2018.8	1757.34	1639.59
KCNV1	0.0	0.0	0.0	3.08	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.93	0.0	0.0	0.0	0.0	10.24	5.59	2.48	3.11	3.99	4.58	12.74	9.48	3.17	3.63	1.51
KIF9	0.0	0.12	775.05	265.87	291.04	466.88	500.46	316.37	232.94	113.56	239.52	253.23	249.73	173.85	239.52	52.82	83.45	212.78	165.57	967.76	493.56	651.58	540.19	848.22	497.0	947.83	583.07	679.29	656.11	909.17
KLHL14	0.0	0.08	5.19	0.0	9.78	44.25	30.34	2.05	2.92	0.25	0.34	7.11	11.21	2.78	2.41	2.36	12.74	2.29	10.31	295.11	248.0	346.29	185.11	271.48	215.77	297.17	314.17	228.13	236.21	435.55
KRT222	0.0	0.0	4.74	3.53	3.79	17.51	8.38	3.96	0.0	0.47	0.92	0.83	4.13	0.0	11.13	0.0	11.47	17.38	14.03	49.56	75.64	21.16	15.22	83.45	150.17	226.54	78.34	33.78	28.45	9.56
KRT27	0.0	0.0	4.43	12.64	0.0	8.13	18.43	5.28	15.91	11.38	0.0	10.96	9.27	16.39	10.55	0.0	11.91	34.02	10.47	84.04	53.57	70.51	49.21	87.03	76.71	149.12	19.68	24.99	78.89	13.62
LCA5	0.0	0.14	144.01	44.89	111.21	248.0	197.09	100.83	43.02	50.98	75.64	59.55	85.22	39.79	75.64	165.57	24.81	56.68	71.5	264.03	204.07	226.54	115.16	246.28	181.28	279.14	205.5	202.66	232.94	165.57
LHPP	0.0	0.41	567.1	607.87	909.17	607.87	836.53	389.72	305.55	156.59	480.04	351.14	514.56	379.04	343.89	151.22	587.13	307.69	444.72	1870.53	860.08	1583.71	1037.29	1519.15	1151.06	1369.04	2018.8	2701.35	1104.13	1819.35
LIPG	0.0	0.0	27.25	215.77	171.45	35.0	11.55	69.52	314.17	144.01	161.02	76.71	33.78	77.25	194.36	150.17	13.72	169.07	123.5	3168.41	1519.15	2335.28	2018.8	4543.8	1151.06	3982.99	2956.17	2400.97	1388.16	1167.14
LRP4	0.0	0.57	125.24	85.22	19.25	248.0	33.3	283.05	503.95	579.04	232.94	417.77	139.07	154.42	368.65	1628.26	33.3	341.51	371.22	2209.26	2758.13	2895.31	4450.27	1437.15	2351.53	3768.09	3395.89	1781.89	2609.3	73.54
LRRC2	0.0	0.0	20.71	51.71	16.15	48.87	56.28	10.96	3.59	6.31	16.88	17.77	59.55	26.67	17.38	17.9	32.13	6.73	8.32	127.0	105.15	96.68	86.43	177.53	146.03	193.01	80.01	119.26	62.12	148.09
LURAP1	0.0	0.25	76.17	2.07	18.7	22.59	94.67	116.78	17.51	30.34	18.29	17.77	84.04	37.59	85.22	80.57	66.18	63.89	88.88	185.11	119.26	167.9	119.26	295.11	167.9	201.25	146.03	182.55	154.42	262.2
MAB21L2	0.0	0.0	2.41	2.58	0.78	0.88	0.97	2.78	0.96	2.34	3.53	3.17	1.66	0.93	2.76	1.97	1.28	7.94	2.14	24.63	70.51	78.89	46.5	15.22	22.75	50.98	24.46	76.17	36.53	108.14
MIEF2	159.9	283.05	336.79	159.9	152.28	275.28	373.81	175.07	162.14	102.97	157.68	209.84	361.04	132.44	232.94	55.89	204.07	426.57	145.02	555.41	414.87	426.57	361.04	470.14	323.03	417.77	674.59	470.14	507.46	387.02
MUC15	175.07	158.79	551.56	24.11	92.7	928.3	473.41	303.44	35.76	85.82	161.02	253.23	258.57	8.06	1427.22	138.1	177.53	195.72	163.28	2255.7	1242.34	2591.27	1225.22	1963.57	1225.22	2739.08	1233.75	954.43	1268.46	1529.73
NDUFAF3	0.0	0.62	2835.7	3212.66	2047.0	1709.26	1883.54	1457.23	2224.63	1519.15	2451.44	1844.76	2720.15	1457.23	2061.24	902.89	1794.29	2075.59	1806.78	3280.18	3303.0	3540.14	2997.45	3716.2	4095.0	4123.49	3467.27	3419.52	3395.89	2417.67
NDUFC1	0.0	0.78	3540.14	5711.87	4268.94	3540.14	2148.82	1583.71	2163.77	1250.98	1844.76	2720.15	2178.83	1781.89	3419.52	1709.26	1709.26	2209.26	1651.0	5366.37	4903.87	5711.87	4836.35	5751.61	6079.61	7081.29	5329.3	5517.27	4736.79	5219.6
NELL2	0.0	0.06	363.56	567.1	116.78	718.08	1104.13	438.59	169.07	518.15	503.95	136.19	339.14	58.3	420.68	457.25	186.4	215.77	134.3	2119.22	1397.83	3847.29	872.1	2367.9	848.22	6207.38	2319.15	514.56	1304.15	497.0
NID2	0.0	0.69	214.27	103.69	514.56	223.41	177.53	323.03	341.51	118.43	102.97	305.55	312.0	161.02	293.07	176.29	90.77	246.28	279.14	2645.74	1540.37	2384.37	2682.69	2193.99	1883.54	1819.35	3742.05	2777.33	2018.8	1832.01
NIPSNAP3B	0.0	0.29	96.68	122.64	49.56	74.58	40.07	100.13	35.0	82.87	92.05	67.59	100.83	119.26	70.51	64.34	59.13	101.54	68.07	131.51	133.36	155.5	98.73	190.34	118.43	185.11	137.14	142.01	121.79	191.67
NME5	0.0	0.05	1044.52	72.52	223.41	698.41	928.3	314.17	154.42	41.22	66.65	54.33	125.24	96.01	48.87	34.02	15.91	28.04	47.5	444.72	208.38	346.29	260.38	361.04	232.94	414.87	269.6	264.03	271.48	379.04
NMNAT1	0.0	0.0	116.78	98.04	129.69	123.5	190.34	44.89	71.5	31.45	64.34	91.41	94.67	53.57	70.01	32.36	81.14	62.56	70.01	183.82	131.51	185.11	165.57	146.03	141.02	152.28	171.45	145.02	120.94	159.9
NT5E	0.0	0.45	127.89	307.69	633.73	228.13	753.83	127.89	146.03	27.05	181.28	299.25	299.25	56.28	332.14	121.79	21.16	78.34	708.18	909.17	1769.57	947.83	1369.04	1447.15	921.88	1991.0	713.11	466.88	1745.2	500.46
OARD1	0.0	0.16	536.45	450.94	693.58	633.73	733.19	189.02	218.79	131.51	262.2	454.09	514.56	297.17	231.32	170.25	417.77	361.04	264.03	915.51	753.83	1059.11	825.0	1044.52	995.0	1111.82	1135.2	1119.56	708.18	1268.46
ORAI2	171.45	73.54	289.02	189.02	228.13	293.07	738.29	155.5	336.79	122.64	457.25	239.52	277.2	232.94	172.65	135.24	194.36	221.86	406.31	521.76	738.29	656.11	638.15	954.43	567.1	1583.71	738.29	703.28	825.0	559.28
ORAI3	607.87	305.55	438.59	429.54	688.78	426.57	629.35	215.77	82.29	194.36	248.0	275.28	320.8	371.22	137.14	170.25	384.34	301.33	264.03	688.78	775.05	718.08	890.44	607.87	909.17	961.07	872.1	878.17	1001.93	693.58
P4HTM	0.0	0.72	1487.87	466.88	571.05	1313.23	2468.49	967.76	921.88	536.45	559.28	941.27	1059.11	525.39	660.68	191.67	656.11	540.19	320.8	2032.85	1457.23	1674.06	1529.73	1950.0	1286.18	2303.12	2209.26	1769.57	1844.76	1594.73
PATZ1	0.0	0.28	381.68	137.14	368.65	660.68	878.17	211.31	115.97	94.01	209.84	341.51	454.09	119.26	138.1	98.04	291.04	236.21	135.24	954.43	753.83	1277.29	1059.11	1135.2	1183.45	1191.69	1015.93	1350.18	1159.07	1001.93
PAX8	0.0	0.21	175.07	72.52	67.12	246.28	2.46	96.01	145.02	69.03	62.12	211.31	406.31	40.07	14.89	31.67	251.48	87.03	285.03	13123.73	12676.65	11664.82	15934.98	25179.16	14765.09	15934.98	11992.79	18950.18	11035.54	23656.34
PDCD4	825.0	1794.29	3124.78	1909.85	2434.5	3349.13	5672.41	1991.0	1233.75	1806.78	3614.55	2224.63	3742.05	3639.7	1870.53	1322.37	3928.15	2351.53	2739.08	12502.12	5076.84	8479.89	5183.54	9409.14	7966.99	13872.08	9540.5	7695.57	5517.27	6840.04
PDE8B	0.0	0.21	88.26	53.19	31.0	157.68	49.91	99.43	177.53	125.24	162.14	242.88	121.79	162.14	48.18	110.43	123.5	74.06	202.66	2591.27	1340.84	2255.7	1832.01	3372.43	2061.24	2163.77	647.07	1709.26	2178.83	620.67
PDK2	0.0	0.0	775.05	279.14	500.46	616.37	1104.13	389.72	555.41	299.25	281.09	616.37	813.63	353.59	473.41	253.23	543.96	414.87	412.0	1628.26	1662.49	1594.73	934.76	1378.57	1081.39	1617.0	3419.52	1883.54	1030.12	1745.2
PEMT	0.0	0.72	669.92	392.44	713.11	988.12	1037.29	271.48	633.73	514.56	607.87	642.59	571.05	473.41	480.04	316.37	412.0	348.71	334.46	1794.29	1023.0	1551.09	909.17	1369.04	1313.23	2351.53	2163.77	1540.37	1340.84	1119.56
PLGRKT	0.0	0.39	514.56	718.08	866.07	595.34	368.65	115.97	486.75	155.5	371.22	291.04	409.15	450.94	444.72	147.06	329.84	277.2	389.72	878.17	1008.9	753.83	718.08	684.02	713.11	1369.04	616.37	791.35	967.76	775.05
PPAP2B	0.0	0.27	2468.49	1378.57	1407.55	2193.99	872.1	3018.3	4450.27	4481.23	4010.71	2047.0	1605.83	1923.14	4123.49	6607.01	1304.15	2758.13	1991.0	13586.57	6294.04	11267.44	8538.88	9344.14	7749.1	7331.05	10883.59	10959.3	10154.69	5954.47
