	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.148VI.0226.SM.5RQKA	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.X4XX.1026.SM.4QARO	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.13FTX.0326.SM.5J2NG	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	TCGA.33.4589.01A.01R.1443.07	GTEX.ZT9W.2126.SM.51MSF
PI4KB	624.99	698.41	728.11	890.44	1073.91	791.35	1081.39	0.0	1.03	1051.79	954.43	1561.89	791.35	1216.75	1857.6	1199.98	669.92	1819.35	1151.06	2075.59	1572.76	1407.55	1950.0	1572.76	848.22	1088.92	854.13	1151.06	1191.69	1225.22	536.45	769.69
PIK3R1	291.04	775.05	61.68	143.01	116.78	74.06	125.24	0.0	0.61	1183.45	551.56	289.02	414.87	220.32	703.28	599.49	329.84	1388.16	1313.23	1806.78	796.86	309.83	1277.29	536.45	669.92	234.57	241.19	368.65	656.11	1044.52	57.89	166.73
POLM	171.45	176.29	135.24	209.84	124.37	189.02	166.73	0.0	0.93	293.07	183.82	348.71	202.66	190.34	638.15	351.14	275.28	457.25	323.03	591.22	373.81	275.28	232.94	555.41	176.29	217.27	258.57	231.32	316.37	199.85	39.79	89.51
POM121C	285.03	212.78	198.47	140.04	244.57	285.03	287.01	0.0	0.91	802.41	529.06	974.5	366.09	343.89	684.02	420.68	616.37	718.08	830.75	591.22	470.14	543.96	684.02	389.72	447.82	339.14	256.78	575.03	463.65	514.56	142.01	246.28
POPDC2	19.25	65.72	16.63	35.25	41.22	27.25	8.06	0.0	0.35	111.99	62.56	85.82	54.33	36.79	99.43	84.04	98.73	92.7	95.34	197.09	127.89	69.52	70.51	116.78	56.68	31.22	63.45	75.11	104.42	100.13	10.88	18.97
RBM12B	55.49	40.07	69.52	59.13	34.51	39.22	33.54	0.0	0.24	153.34	105.89	62.56	83.45	118.43	127.89	70.51	80.57	95.34	133.36	262.2	102.97	100.83	90.77	161.02	129.69	77.25	193.01	82.87	172.65	111.21	31.67	19.25
SCGB1A1	0.0	8.32	1.46	4.54	1.93	4.39	0.0	0.0	0.0	682276.92	1273174.62	3336720.86	2581895.97	66449.85	2141216.62	3178687.03	834179.46	3156730.23	845824.19	2691538.19	3178687.03	3091765.64	3968052.37	3134925.09	2392353.91	2825352.59	1246973.04	1943195.01	1005860.33	3070409.25	8.92	0.0
SFTPD	22.75	39.22	9.2	112.77	62.12	25.17	41.52	0.0	0.0	8247.98	728.11	36357.37	575.03	1467.37	47313.67	3349.13	3372.43	28328.16	10296.45	612.11	88905.42	82378.63	80683.28	1467.37	961.07	74243.68	995.0	49322.93	12244.81	42346.82	26.47	119.26
SHPRH	29.7	16.15	11.3	39.22	13.72	14.89	24.81	0.0	0.46	136.19	40.36	52.82	73.54	35.5	50.63	84.04	64.34	105.89	123.5	137.14	89.51	69.52	76.71	54.33	98.04	133.36	51.71	69.03	64.34	112.77	11.3	24.63
STRADA	279.14	341.51	281.09	206.94	420.68	379.04	438.59	0.0	0.84	909.17	423.61	854.13	620.67	514.56	1225.22	808.0	466.88	934.76	848.22	1023.0	753.83	708.18	808.0	1015.93	358.54	723.08	555.41	607.87	825.0	743.43	182.55	336.79
TCTE3	0.96	0.0	0.89	0.0	0.0	1.77	0.0	0.0	0.16	7.11	1.53	0.59	2.05	1.83	1.95	2.32	0.82	0.61	10.24	9.06	3.5	1.11	1.99	6.06	2.25	3.5	1.48	1.73	3.35	2.29	0.0	0.0
TECTA	0.33	0.83	1.16	1.36	2.29	1.25	0.58	0.0	0.18	13.52	5.45	9.2	7.06	4.35	35.0	6.67	1.73	14.67	10.39	12.45	13.52	9.2	18.97	12.45	8.32	5.15	2.89	10.55	9.13	16.88	0.53	1.06
THAP6	106.63	73.54	124.37	118.43	85.82	78.34	107.38	0.0	0.09	323.03	158.79	193.01	123.5	172.65	281.09	185.11	105.89	289.02	246.28	265.87	343.89	204.07	285.03	215.77	98.04	191.67	127.89	182.55	303.44	275.28	96.68	67.12
TMEM110-MUSTN1	56.68	40.36	50.63	34.02	29.27	52.82	34.26	0.0	0.48	127.0	71.5	126.12	77.79	115.97	234.57	153.34	78.34	140.04	71.5	273.37	161.02	185.11	314.17	157.68	63.89	140.04	183.82	113.56	42.41	133.36	43.32	30.56
TRIM66	19.97	13.22	10.39	13.42	7.34	49.56	37.05	0.0	0.51	144.01	49.91	42.11	14.03	28.65	132.44	59.97	46.18	111.21	89.51	92.05	103.69	44.57	74.58	69.52	26.86	59.55	48.87	118.43	94.01	82.87	5.54	21.94
TSSK4	6.67	1.51	1.93	0.0	1.08	8.85	4.7	0.0	0.41	91.41	23.59	25.35	28.65	11.47	59.97	10.79	16.27	140.04	53.57	61.68	117.6	28.86	89.51	11.64	6.52	38.12	10.24	50.27	34.51	71.0	0.0	4.82
UFL1	241.19	85.82	103.69	209.84	169.07	152.28	281.09	291.04	90.14	384.34	229.72	301.33	229.72	241.19	287.01	327.56	256.78	346.29	363.56	432.53	463.65	307.69	323.03	334.46	341.51	497.0	246.28	253.23	329.84	392.44	265.87	291.04
UHRF1BP1	44.57	41.22	33.06	57.49	43.02	46.18	43.63	0.0	0.47	119.26	109.66	102.25	113.56	48.18	75.11	50.98	71.5	66.65	125.24	113.56	148.09	134.3	61.25	96.68	66.18	143.01	58.71	67.59	84.63	103.69	17.9	26.1
ULK4	73.54	74.06	76.17	16.75	30.12	29.48	15.68	0.0	0.18	88.26	90.77	158.79	110.43	98.73	128.79	147.06	74.06	94.67	228.13	218.79	119.26	141.02	201.25	279.14	234.57	269.6	218.79	107.38	133.36	234.57	97.36	16.75
VAMP1	91.41	206.94	71.0	56.68	67.59	50.98	27.05	0.0	0.79	194.36	106.63	120.94	140.04	73.54	249.73	224.97	201.25	674.59	320.8	426.57	299.25	105.89	256.78	218.79	318.57	239.52	165.57	231.32	241.19	186.4	33.06	18.43
VPS39	392.44	303.44	253.23	289.02	397.93	346.29	412.0	0.0	0.6	1167.14	669.92	1104.13	447.82	473.41	2104.58	748.61	563.18	1519.15	1233.75	785.88	1467.37	1268.46	1096.5	802.41	555.41	1015.93	376.41	1030.12	836.53	1304.15	93.35	356.05
WBP2NL	6.67	19.82	31.9	0.0	1.77	9.2	0.0	0.0	0.28	25.17	16.27	9.56	14.14	20.86	40.36	22.43	2.51	30.78	35.25	62.56	40.07	20.86	66.65	49.91	5.02	8.71	18.29	8.85	27.44	27.05	8.85	1.16
XPC	336.79	264.03	205.5	108.9	190.34	95.34	214.27	0.0	0.65	995.0	819.3	674.59	525.39	384.34	1175.27	1167.14	480.04	934.76	1104.13	1088.92	896.64	633.73	674.59	1051.79	529.06	373.81	532.74	688.78	775.05	647.07	60.82	239.52
ZFP28	2.92	6.89	3.89	9.85	22.1	4.5	5.06	0.0	0.48	212.78	40.93	53.95	40.07	30.78	143.01	126.12	65.26	94.67	85.82	194.36	157.68	114.36	153.34	295.11	46.5	61.25	51.35	74.06	142.01	107.38	4.03	6.11
ZNF343	154.42	78.34	109.66	63.89	75.11	51.35	73.03	0.0	0.71	173.85	119.26	127.0	96.68	127.89	80.57	107.38	159.9	131.51	171.45	251.48	172.65	104.42	76.17	164.42	58.3	77.79	80.57	108.14	169.07	71.0	39.5	52.45
ZNF345	24.81	10.71	29.06	4.66	18.56	20.41	20.56	0.0	0.44	152.28	31.9	76.17	31.67	34.75	164.42	114.36	62.12	167.9	63.89	125.24	191.67	78.34	137.14	166.73	58.71	80.01	111.99	103.69	147.06	123.5	4.03	10.47
ZNF441	21.32	5.06	22.26	10.0	15.8	11.47	25.72	0.0	0.15	127.0	33.06	62.56	28.24	44.89	90.77	96.68	32.36	139.07	101.54	202.66	206.94	78.34	70.51	98.73	69.52	113.56	29.06	82.87	62.56	170.25	12.27	8.13
ZNF596	27.84	22.26	5.87	14.14	15.91	13.72	19.68	0.0	0.52	134.3	38.4	51.71	49.21	57.89	175.07	75.11	37.85	99.43	215.77	171.45	164.42	68.07	137.14	122.64	24.46	44.57	86.43	54.72	107.38	124.37	17.0	18.16
ZNF662	3.26	5.73	4.31	33.78	10.08	8.51	101.54	0.0	0.53	318.57	23.76	50.63	11.13	16.88	162.14	172.65	42.41	190.34	66.18	121.79	178.77	99.43	191.67	143.01	31.0	43.94	15.56	97.36	137.14	170.25	0.96	10.96
ZNF665	63.89	1.07	0.71	4.82	3.53	4.43	7.82	0.0	0.4	128.79	72.52	115.16	12.74	23.42	77.25	73.03	20.41	73.54	80.01	131.51	189.02	36.79	72.01	167.9	43.02	102.97	31.0	109.66	120.94	157.68	2.32	5.82
