	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.G3.A7M6.01A.11R.A33R.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.69.7763.01A.11R.2170.07	TCGA.55.8614.01A.11R.2403.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.97.A4M0.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.73.4675.01A.01R.1206.07	TCGA.50.8457.01A.11R.2326.07	TCGA.91.8497.01A.11R.2403.07	TCGA.55.8097.01A.11R.2241.07	TCGA.55.8087.01A.11R.2241.07	TCGA.78.7152.01A.11R.2039.07	TCGA.69.8253.01A.11R.2287.07	TCGA.CD.8526.01A.11R.2343.13	TCGA.BR.7716.01A.21R.2055.13	TCGA.FE.A239.01A.11R.A16R.07	TCGA.AJ.A3BF.01A.11R.A213.07
GRWD1	490.14	314.17	232.94	854.13	215.77	316.37	275.28	417.77	320.8	363.56	336.79	271.48	392.44	341.51	277.2	312.0	251.48	395.18	312.0	236.21	244.57	214.27	381.68	599.49	1191.69	684.02	450.94	529.06	483.38	575.03	379.04	460.44	447.82	497.0	403.5	381.68	532.74	679.29	1417.35	974.5	866.07	1508.65
GSK3A	2664.15	647.07	713.11	2451.44	629.35	511.0	463.65	571.05	429.54	476.71	406.31	507.46	713.11	529.06	733.19	612.11	575.03	525.39	409.15	525.39	466.88	633.73	603.67	2255.7	2271.4	1950.0	2004.85	1487.87	0.0	1388.16	2004.85	1733.13	1340.84	1407.55	1378.57	1388.16	1407.55	1950.0	3235.01	3955.48	3039.3	3060.45
GYS1	1540.37	158.79	208.38	748.61	88.88	164.42	186.4	84.04	285.03	142.01	171.45	127.0	126.12	132.44	246.28	226.54	151.22	143.01	208.38	111.99	104.42	185.11	109.66	775.05	1199.98	638.15	486.75	902.89	0.0	743.43	718.08	612.11	543.96	612.11	638.15	656.11	571.05	620.67	1322.37	1721.16	915.51	1073.91
HSPBP1	1721.16	624.99	633.73	1857.6	669.92	563.18	486.75	253.23	514.56	647.07	460.44	703.28	555.41	571.05	785.88	500.46	559.28	595.34	529.06	373.81	536.45	417.77	571.05	884.29	2609.3	1159.07	1350.18	974.5	830.75	974.5	1135.2	988.12	679.29	1088.92	713.11	599.49	842.36	1135.2	3690.52	2591.27	2351.53	2777.33
HYAL2	1250.98	511.0	872.1	1950.0	432.53	599.49	392.44	591.22	547.75	571.05	414.87	341.51	603.67	595.34	514.56	567.1	521.76	679.29	780.44	460.44	373.81	447.82	493.56	2777.33	1183.45	1259.69	1923.14	723.08	0.0	1467.37	1397.83	1487.87	1605.83	1819.35	1594.73	1277.29	1437.15	2209.26	1286.18	1143.1	1697.45	1127.35
IRGQ	389.72	91.41	79.45	414.87	69.52	80.01	60.39	46.84	95.34	69.52	114.36	112.77	53.19	102.97	78.89	79.45	43.02	74.06	48.18	83.45	42.41	98.73	96.68	371.22	387.02	334.46	366.09	183.82	47.5	206.94	231.32	143.01	150.17	189.02	339.14	297.17	237.86	406.31	334.46	358.54	796.86	323.03
JOSD2	3467.27	638.15	802.41	2047.0	718.08	785.88	417.77	204.07	713.11	559.28	525.39	651.58	412.0	529.06	409.15	384.34	503.95	339.14	384.34	327.56	307.69	426.57	718.08	974.5	1467.37	836.53	915.51	1832.01	0.0	890.44	934.76	1135.2	878.17	1044.52	1015.93	679.29	688.78	518.15	1369.04	1844.76	1369.04	1183.45
KDELR1	5366.37	3081.75	3467.27	7331.05	2915.45	3103.19	2240.11	4736.79	2645.74	2895.31	2875.3	3395.89	3235.01	2720.15	2555.58	1909.85	2485.67	3614.55	2720.15	2739.08	2573.36	2303.12	3491.39	7382.04	7695.57	7589.61	7331.05	5913.33	0.0	4769.75	7537.18	6471.02	4543.8	4937.99	6471.02	5441.3	6516.03	6792.79	7911.95	13399.51	12676.65	8658.09
KPTN	1437.15	201.25	181.28	890.44	126.12	228.13	146.03	62.56	181.28	193.01	341.51	237.86	113.56	183.82	242.88	172.65	189.02	146.03	101.54	215.77	115.97	163.28	232.94	264.03	698.41	403.5	339.14	327.56	0.0	167.9	361.04	287.01	191.67	208.38	183.82	125.24	197.09	476.71	693.58	567.1	438.59	981.29
LENG1	435.55	205.5	177.53	403.5	136.19	172.65	111.99	109.66	148.09	159.9	135.24	175.07	187.71	155.5	217.27	166.73	186.4	166.73	161.02	173.85	169.07	127.89	118.43	229.72	323.03	223.41	248.0	253.23	0.0	208.38	236.21	253.23	218.79	228.13	241.19	239.52	157.68	299.25	341.51	269.6	403.5	339.14
