	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.EA.A3HR.01A.11R.A213.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.XOTO.2126.SM.4B64U	GTEX.13NZB.1226.SM.5J2MW	GTEX.11GSP.1826.SM.5N9DQ	GTEX.RN64.1026.SM.48FDX	GTEX.OXRN.1726.SM.3NM9B	GTEX.11ZTS.2626.SM.5EGIC	GTEX.11DXX.1126.SM.5GZZK	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.7438.11A.01R.2132.07	GTEX.QLQW.1626.SM.4R1K1	GTEX.12BJ1.1226.SM.5LUAE	GTEX.VJYA.1226.SM.3GIJ6	GTEX.ZQG8.2126.SM.4YCF1
CCDC71	397.93	454.09	341.51	819.3	612.11	368.65	291.04	318.57	356.05	316.37	262.2	209.84	242.88	277.2	228.13	194.36	379.04	473.41	514.56	579.04	567.1	438.59	780.44
CDC42SE2	796.86	629.35	423.61	500.46	358.54	237.86	169.07	202.66	239.52	178.77	305.55	189.02	129.69	209.84	137.14	211.31	409.15	500.46	470.14	1167.14	1467.37	764.36	346.29
CDC5L	312.0	336.79	249.73	277.2	323.03	229.72	178.77	232.94	231.32	193.01	141.02	93.35	106.63	109.66	98.04	115.16	291.04	299.25	309.83	373.81	429.54	371.22	381.68
CDKAL1	163.28	151.22	81.14	101.54	181.28	121.79	84.04	106.63	117.6	85.82	91.41	61.68	76.71	87.03	71.0	81.71	144.01	156.59	161.02	239.52	177.53	199.85	212.78
CDS2	1313.23	878.17	197.09	291.04	854.13	435.55	185.11	244.57	267.73	267.73	400.71	220.32	279.14	246.28	211.31	323.03	536.45	620.67	400.71	1037.29	1015.93	848.22	521.76
COA1	848.22	902.89	759.08	921.88	961.07	616.37	493.56	571.05	713.11	575.03	633.73	743.43	684.02	638.15	571.05	842.36	748.61	890.44	915.51	1286.18	848.22	1008.9	1697.45
COPA	2224.63	2701.35	1216.75	819.3	1583.71	1359.57	961.07	1199.98	1199.98	1015.93	1023.0	733.19	764.36	703.28	629.35	791.35	1477.58	1467.37	1350.18	2434.5	3103.19	3280.18	1457.23
COPG2	967.76	1044.52	1331.57	848.22	1467.37	669.92	460.44	708.18	497.0	785.88	555.41	571.05	693.58	693.58	503.95	836.53	974.5	860.08	1183.45	1268.46	866.07	848.22	1437.15
CTSH	10296.45	9673.69	7589.61	3690.52	7537.18	1896.65	2520.38	1417.35	1991.0	2047.0	2193.99	1322.37	2627.46	3467.27	954.43	1721.16	2303.12	3540.14	3372.43	25354.3	13306.94	9606.86	3372.43
CWF19L1	412.0	409.15	163.28	193.01	470.14	316.37	256.78	318.57	316.37	293.07	242.88	129.69	226.54	129.69	158.79	242.88	246.28	353.59	346.29	343.89	368.65	289.02	332.14
DHX40	616.37	688.78	363.56	480.04	563.18	332.14	170.25	336.79	277.2	301.33	236.21	202.66	171.45	193.01	186.4	198.47	339.14	384.34	361.04	1073.91	1030.12	842.36	575.03
DNASE2	1883.54	2193.99	579.04	813.63	1242.34	497.0	497.0	389.72	358.54	412.0	262.2	343.89	363.56	381.68	228.13	473.41	500.46	748.61	583.07	1066.48	1950.0	1417.35	703.28
DOLK	400.71	329.84	220.32	258.57	327.56	248.0	170.25	209.84	283.05	217.27	100.13	193.01	144.01	170.25	96.01	166.73	363.56	329.84	332.14	470.14	463.65	529.06	327.56
EFCAB11	341.51	285.03	384.34	175.07	397.93	116.78	24.99	111.21	146.03	167.9	111.21	155.5	135.24	178.77	121.79	156.59	183.82	220.32	197.09	323.03	202.66	379.04	320.8
ENOX2	185.11	176.29	65.72	152.28	264.03	183.82	150.17	152.28	139.07	143.01	53.19	100.83	67.12	91.41	59.97	127.89	181.28	194.36	175.07	214.27	320.8	224.97	265.87
EXOC6	193.01	305.55	60.39	100.13	116.78	82.29	52.45	57.89	52.82	57.08	73.54	43.02	75.11	43.32	76.17	48.52	132.44	93.35	62.12	264.03	267.73	493.56	206.94
FICD	105.89	92.05	38.67	50.63	72.01	29.7	32.82	24.81	48.18	29.48	20.11	45.85	22.1	37.59	32.13	33.78	52.08	52.08	58.3	115.97	104.42	255.0	41.52
GANAB	4736.79	5041.77	2104.58	2573.36	5517.27	2895.31	2645.74	2351.53	2627.46	2417.67	2209.26	1819.35	2303.12	1304.15	1268.46	2163.77	3847.29	3874.05	3124.78	6121.9	5672.41	6745.86	1477.58
GLOD4	1417.35	1030.12	1295.13	2209.26	2004.85	703.28	559.28	595.34	629.35	629.35	967.76	981.29	954.43	866.07	656.11	1286.18	1088.92	1407.55	1359.57	1963.57	1697.45	2367.9	1242.34
GNB4	583.07	679.29	50.98	56.68	253.23	195.72	101.54	151.22	134.3	169.07	59.13	53.19	48.87	53.19	32.82	74.06	220.32	476.71	145.02	244.57	172.65	312.0	616.37
GNS	2796.65	3540.14	297.17	525.39	624.99	532.74	242.88	307.69	441.64	281.09	341.51	242.88	283.05	239.52	267.73	316.37	638.15	854.13	507.46	5292.48	1757.34	2434.5	808.0
GPN1	967.76	941.27	629.35	819.3	1030.12	785.88	642.59	738.29	825.0	647.07	447.82	429.54	429.54	476.71	336.79	460.44	854.13	890.44	941.27	1199.98	860.08	974.5	1427.22
HADH	1359.57	1259.69	967.76	1119.56	2193.99	764.36	450.94	480.04	656.11	579.04	688.78	830.75	780.44	651.58	435.55	769.69	1167.14	890.44	1208.34	2319.15	1639.59	1447.15	1685.71
HARBI1	115.97	97.36	45.21	56.28	115.16	44.89	53.57	45.53	38.67	57.49	21.78	44.57	17.51	36.53	30.12	25.54	68.55	100.83	101.54	76.71	72.52	127.0	121.79
HNRNPUL1	2627.46	2777.33	2351.53	2255.7	2451.44	2739.08	2193.99	2537.92	2468.49	2255.7	1923.14	1936.53	1844.76	2004.85	1286.18	1936.53	2758.13	3168.41	2796.65	2609.3	4450.27	2816.11	2417.67
HS2ST1	346.29	387.02	215.77	301.33	183.82	132.44	84.63	115.97	102.97	102.25	100.13	117.6	81.14	136.19	85.82	142.01	153.34	255.0	149.12	547.75	529.06	878.17	356.05
HTATSF1	1233.75	988.12	738.29	995.0	988.12	813.63	473.41	616.37	656.11	571.05	376.41	450.94	395.18	420.68	353.59	497.0	981.29	1051.79	872.1	1540.37	1322.37	1447.15	1191.69
ICMT	1030.12	1127.35	1183.45	713.11	674.59	909.17	587.13	791.35	713.11	884.29	356.05	575.03	332.14	591.22	457.25	775.05	1096.5	1233.75	1096.5	1583.71	1151.06	1143.1	1745.2
IFNAR1	915.51	1127.35	638.15	547.75	540.19	361.04	217.27	305.55	303.44	353.59	325.29	256.78	320.8	287.01	343.89	175.07	693.58	728.11	490.14	947.83	1199.98	1572.76	660.68
IK	2047.0	2367.9	2758.13	2502.97	2240.11	2193.99	1819.35	2434.5	2032.85	2485.67	1617.0	1199.98	1388.16	1359.57	1322.37	1378.57	1883.54	2133.97	2163.77	2502.97	3103.19	2573.36	2875.3
JAK1	1883.54	2133.97	759.08	759.08	1551.09	1066.48	780.44	848.22	878.17	890.44	579.04	429.54	412.0	447.82	480.04	412.0	1081.39	1457.23	1015.93	2555.58	2400.97	1745.2	1561.89
KHDRBS1	2555.58	2573.36	2682.69	2271.4	2335.28	1561.89	1487.87	1369.04	1427.22	1295.13	1407.55	1081.39	1135.2	928.3	825.0	1051.79	1721.16	2178.83	1909.85	2739.08	2240.11	2119.22	2075.59
KIF3B	351.14	497.0	140.04	183.82	435.55	220.32	144.01	159.9	231.32	116.78	107.38	139.07	110.43	159.9	131.51	153.34	181.28	329.84	234.57	780.44	379.04	583.07	218.79
KLHL7	567.1	463.65	221.86	329.84	555.41	435.55	466.88	406.31	493.56	323.03	327.56	186.4	312.0	206.94	182.55	176.29	518.15	543.96	454.09	620.67	915.51	785.88	450.94
LAMP1	5076.84	7280.4	3303.0	3982.99	4210.15	4704.07	3820.7	4095.0	3325.99	4736.79	2555.58	3716.2	2224.63	3515.68	2335.28	4038.61	4268.94	4268.94	4450.27	8305.36	7382.04	4972.34	5147.73
LIMS1	1183.45	1697.45	688.78	988.12	769.69	555.41	444.72	450.94	503.95	532.74	366.09	346.29	248.0	429.54	232.94	368.65	656.11	1159.07	684.02	1208.34	2104.58	1208.34	1685.71
LIPA	10084.54	8134.41	543.96	698.41	854.13	620.67	490.14	660.68	563.18	409.15	346.29	389.72	325.29	314.17	312.0	336.79	872.1	954.43	848.22	2163.77	1119.56	2739.08	2434.5
MATR3	4268.94	4152.18	2855.44	2895.31	3589.58	2555.58	1721.16	2555.58	2319.15	2163.77	1757.34	1551.09	2104.58	1427.22	1605.83	1745.2	2701.35	3639.7	2997.45	6037.61	6607.01	5555.65	3874.05
MMACHC	71.5	55.89	77.79	72.52	121.79	35.76	43.02	33.54	55.89	23.59	13.12	32.82	21.32	26.1	11.21	22.1	44.57	67.59	60.39	145.02	75.64	129.69	54.72
MSANTD3	603.67	559.28	271.48	371.22	334.46	301.33	389.72	244.57	327.56	221.86	172.65	215.77	164.42	127.89	100.13	126.12	295.11	665.29	297.17	543.96	366.09	450.94	775.05
MSH6	693.58	703.28	371.22	223.41	1407.55	476.71	255.0	361.04	293.07	271.48	197.09	159.9	228.13	152.28	143.01	220.32	629.35	591.22	480.04	1417.35	860.08	624.99	353.59
MYO5A	392.44	656.11	78.89	11.91	220.32	115.97	244.57	105.15	119.26	63.89	43.94	28.45	63.89	30.12	25.35	38.12	105.89	346.29	131.51	273.37	111.99	194.36	242.88
NCEH1	647.07	629.35	126.12	90.77	351.14	78.89	16.39	65.26	124.37	39.22	61.25	133.36	61.25	117.6	48.52	65.72	133.36	171.45	87.65	2119.22	476.71	285.03	153.34
NDUFA8	2335.28	1769.57	1561.89	1697.45	1709.26	1191.69	1529.73	1088.92	1277.29	1208.34	759.08	1216.75	1073.91	1030.12	967.76	981.29	1844.76	1508.65	1794.29	2303.12	1950.0	2178.83	3395.89
ORC3	389.72	575.03	303.44	209.84	463.65	267.73	264.03	229.72	242.88	186.4	126.12	140.04	164.42	220.32	170.25	177.53	215.77	346.29	277.2	559.28	387.02	450.94	307.69
PET117	262.2	267.73	123.5	255.0	241.19	141.02	123.5	110.43	135.24	148.09	153.34	154.42	108.14	148.09	149.12	131.51	176.29	279.14	237.86	368.65	397.93	320.8	289.02
PHAX	775.05	738.29	543.96	563.18	679.29	483.38	409.15	460.44	460.44	454.09	260.38	279.14	253.23	400.71	283.05	269.6	633.73	748.61	808.0	1073.91	967.76	813.63	1015.93
PIAS2	194.36	220.32	120.94	166.73	248.0	130.6	88.26	113.56	134.3	117.6	122.64	115.16	92.05	123.5	66.65	91.41	180.02	183.82	138.1	265.87	314.17	303.44	176.29
PLBD2	656.11	1143.1	155.5	249.73	316.37	277.2	348.71	169.07	221.86	178.77	220.32	145.02	204.07	167.9	120.1	217.27	327.56	483.38	316.37	612.11	775.05	703.28	466.88
PPHLN1	947.83	947.83	928.3	1088.92	961.07	902.89	607.87	723.08	674.59	629.35	603.67	432.53	503.95	454.09	356.05	476.71	748.61	1023.0	896.64	1015.93	1088.92	1151.06	1175.27
PPT1	3874.05	4972.34	842.36	808.0	2061.24	974.5	656.11	583.07	748.61	497.0	389.72	236.21	486.75	297.17	262.2	371.22	961.07	1617.0	1135.2	3395.89	2739.08	3847.29	2609.3
PTDSS1	1977.24	2319.15	1111.82	1159.07	1225.22	1427.22	1286.18	988.12	1551.09	928.3	624.99	514.56	679.29	336.79	291.04	571.05	1991.0	2193.99	1745.2	3124.78	2875.3	2627.46	2319.15
RAB20	967.76	507.46	99.43	172.65	108.14	94.67	26.1	22.75	115.97	30.34	316.37	43.32	111.21	24.28	84.63	42.71	151.22	162.14	80.57	616.37	629.35	708.18	209.84
RAB8A	1709.26	1313.23	1477.58	1135.2	1199.98	1096.5	738.29	890.44	1015.93	866.07	583.07	571.05	607.87	547.75	438.59	476.71	1322.37	1151.06	1159.07	1259.69	1030.12	988.12	1427.22
RAP1GDS1	753.83	928.3	379.04	454.09	629.35	497.0	441.64	698.41	486.75	607.87	285.03	327.56	264.03	361.04	497.0	297.17	603.67	802.41	674.59	836.53	624.99	759.08	1096.5
RBBP4	3467.27	3018.3	2061.24	2061.24	4210.15	1594.73	1340.84	1331.57	1561.89	1437.15	854.13	796.86	1023.0	988.12	624.99	890.44	1857.6	2209.26	2224.63	3639.7	4388.98	3280.18	3168.41
RBBP9	285.03	289.02	273.37	173.85	348.71	182.55	102.25	175.07	147.06	145.02	102.25	102.97	92.7	101.54	94.01	145.02	215.77	329.84	287.01	559.28	381.68	454.09	511.0
RBM27	239.52	244.57	170.25	163.28	241.19	151.22	83.45	125.24	139.07	109.66	109.66	92.05	98.73	88.26	94.67	107.38	215.77	206.94	226.54	358.54	486.75	353.59	314.17
RNF139	543.96	723.08	500.46	490.14	525.39	426.57	743.43	406.31	480.04	353.59	291.04	229.72	265.87	224.97	228.13	285.03	480.04	543.96	529.06	665.29	764.36	848.22	1104.13
RP11-73M18.2	144.01	156.59	0.0	0.0	76.17	30.56	101.54	80.57	55.49	46.5	9.34	0.0	0.0	6.62	0.0	0.0	52.82	194.36	131.51	2018.8	206.94	178.77	1295.13
RPA1	1378.57	1286.18	1388.16	1159.07	2485.67	1286.18	934.76	1242.34	1088.92	1059.11	559.28	791.35	785.88	909.17	500.46	1295.13	1127.35	1709.26	1519.15	1529.73	2032.85	1437.15	629.35
RPN1	6652.97	5147.73	3124.78	2875.3	6079.61	2119.22	1651.0	1617.0	2591.27	1447.15	1745.2	1508.65	1769.57	1151.06	1286.18	1594.73	3235.01	3325.99	4010.71	5791.62	4937.99	6121.9	5041.77
RTN3	3443.31	2855.44	3820.7	1378.57	1844.76	1561.89	1378.57	1594.73	1350.18	1447.15	624.99	1088.92	890.44	1066.48	1216.75	1304.15	1844.76	1561.89	1572.76	3280.18	3874.05	3443.31	1697.45
S100A9	39785.74	11909.94	4.94682652E7	1.689390977E7	554180.87	6490957.04	9372482.82	9503317.82	7353500.77	1.047175463E7	355624.68	365622.68	197294.7	336441.4	397335.0	338781.54	593956.43	286861.53	964885.69	559.28	1167.14	5995.9	4433454.0
SAMM50	1135.2	1350.18	819.3	1378.57	1806.78	674.59	698.41	563.18	587.13	665.29	563.18	738.29	796.86	708.18	392.44	808.0	1208.34	1066.48	1225.22	1477.58	1233.75	1073.91	1467.37
SELT	2739.08	2875.3	2520.38	1769.57	2997.45	1697.45	1447.15	1617.0	2018.8	1572.76	1023.0	1127.35	954.43	1030.12	947.83	1015.93	2573.36	2816.11	2224.63	4481.23	4298.64	3515.68	4769.75
SFR1	162.14	215.77	279.14	139.07	217.27	100.13	101.54	83.45	197.09	71.0	45.85	47.5	63.45	80.01	40.64	37.85	88.26	198.47	97.36	267.73	140.04	193.01	221.86
SMAD1	450.94	791.35	181.28	273.37	825.0	368.65	277.2	363.56	426.57	316.37	140.04	164.42	107.38	212.78	72.52	178.77	518.15	733.19	599.49	665.29	607.87	718.08	460.44
SMARCE1	2682.69	3103.19	1674.06	2319.15	3235.01	2520.38	1857.6	1745.2	1923.14	1662.49	1111.82	860.08	909.17	813.63	688.78	981.29	2384.37	2434.5	2417.67	3982.99	4836.35	3564.78	3235.01
SNX6	1697.45	2303.12	1583.71	1286.18	1417.35	961.07	866.07	1175.27	1143.1	775.05	450.94	642.59	483.38	796.86	633.73	633.73	1340.84	1651.0	1268.46	2178.83	1519.15	2627.46	2627.46
SSR2	10368.08	10585.95	2816.11	5954.47	6164.49	3124.78	3280.18	2319.15	2591.27	2682.69	4450.27	3124.78	3955.48	3018.3	2573.36	4010.71	4639.29	4639.29	4575.41	7537.18	5672.41	9279.58	5255.91
TMCO3	759.08	1015.93	162.14	318.57	759.08	251.48	234.57	232.94	246.28	199.85	209.84	215.77	221.86	273.37	275.28	241.19	397.93	529.06	403.5	1143.1	1250.98	928.3	423.61
TMED1	860.08	819.3	339.14	1225.22	660.68	480.04	490.14	379.04	571.05	368.65	361.04	529.06	323.03	444.72	463.65	547.75	348.71	665.29	607.87	1295.13	825.0	791.35	791.35
TMEM64	221.86	193.01	189.02	334.46	218.79	116.78	129.69	105.15	98.04	97.36	88.88	91.41	80.57	113.56	80.01	126.12	204.07	285.03	201.25	567.1	543.96	466.88	307.69
TOR1A	1030.12	825.0	460.44	555.41	775.05	507.46	409.15	423.61	480.04	395.18	379.04	285.03	376.41	246.28	258.57	244.57	529.06	688.78	551.56	1001.93	1159.07	934.76	684.02
TRAM1	3820.7	5147.73	1963.57	1733.13	2240.11	1216.75	819.3	1127.35	1167.14	848.22	612.11	909.17	529.06	974.5	928.3	753.83	1832.01	2816.11	1923.14	8901.53	5366.37	6652.97	3467.27
TSN	1051.79	1104.13	728.11	836.53	1250.98	860.08	684.02	718.08	769.69	511.0	343.89	486.75	371.22	521.76	316.37	559.28	848.22	1073.91	902.89	1617.0	1242.34	1151.06	1407.55
TSNAX	769.69	769.69	733.19	450.94	842.36	389.72	269.6	348.71	353.59	305.55	271.48	234.57	177.53	226.54	205.5	246.28	400.71	587.13	620.67	915.51	1304.15	1066.48	902.89
YES1	723.08	559.28	967.76	470.14	665.29	414.87	361.04	441.64	435.55	371.22	384.34	381.68	295.11	301.33	343.89	320.8	866.07	629.35	563.18	603.67	665.29	638.15	941.27
YIPF5	974.5	1286.18	759.08	651.58	1081.39	441.64	373.81	483.38	351.14	400.71	299.25	384.34	234.57	379.04	264.03	273.37	775.05	915.51	872.1	1151.06	1242.34	1359.57	934.76
ZNF669	152.28	93.35	26.47	152.28	102.97	36.01	26.86	26.28	44.25	39.22	68.55	14.03	39.5	22.92	27.25	59.13	76.71	82.87	66.65	126.12	102.97	102.97	132.44
ZNF670	137.14	71.0	16.15	49.56	69.03	21.63	9.34	18.97	24.99	21.47	27.25	22.75	28.24	32.59	23.08	12.27	52.45	66.65	47.17	78.34	59.13	70.01	78.34
