	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.KK.A6DY.01A.12R.A311.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6348.01A.11R.1789.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.V1.A9OA.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZTX8.1026.SM.5EGHD
ANKRD36	13.52	7.17	76.71	84.04	32.36	63.89	90.77	232.94	38.95	199.85	49.91	133.36	162.14	161.02	107.38	48.18	59.13	180.02	103.69	177.53	87.03	63.45	133.36	25.35	75.64	88.26	65.26	98.73	189.02	38.95	248.0	76.71	193.01	154.42	143.01	80.57	108.9	155.5	40.07	29.7	48.52	123.5	123.5	170.25	178.77	144.01	34.26	202.66	194.36	94.67	155.5	166.73	138.1	26.1	125.24	102.97	50.27	42.41	156.59	51.35	145.02	258.57	151.22	105.89	108.9	217.27	109.66	40.36	52.08	124.37	181.28	163.28	108.14	98.04	84.63	25.72	136.19	82.29	69.03	45.85	150.17	82.29	146.03	52.45	53.57	116.78	135.24	130.6	64.8	55.49	121.79	44.57	87.03	201.25	187.71	86.43	101.54	98.04	177.53	171.45	90.77	197.09	94.67	39.5	136.19	111.99	132.44	50.98	97.36	165.57	149.12	116.78	33.54	145.02	114.36	57.08	120.94	35.5	114.36	87.65	120.1	28.86	50.27	56.28	41.81	197.09	51.71	159.9	275.28	89.51	211.31	90.77	163.28	108.14	44.25	132.44	128.79	73.03	95.34	49.21	103.69	229.72	76.71	48.18	25.35	51.35	73.03	144.01	28.04	26.67
ANKRD61	0.79	2.29	2.43	1.41	3.47	1.95	7.57	5.73	3.47	3.06	5.36	5.32	3.79	16.88	11.73	4.28	2.78	9.48	3.66	5.45	3.86	3.08	4.74	0.0	5.87	11.04	1.11	4.06	7.63	3.23	9.41	3.03	8.0	19.68	8.58	5.06	2.86	5.28	1.53	0.0	3.76	5.06	4.17	17.51	18.97	0.0	2.27	9.7	9.93	4.62	11.21	2.73	7.28	2.36	12.74	4.62	6.16	1.13	10.71	8.0	12.74	14.24	10.96	9.41	14.14	10.55	1.73	1.85	1.11	7.82	15.56	7.06	2.48	5.23	6.11	4.62	12.09	3.47	9.93	2.32	3.86	4.35	2.32	6.84	4.17	6.52	3.86	5.5	4.31	8.38	8.06	2.39	10.63	12.83	22.1	6.67	23.25	6.78	5.36	12.74	9.78	10.08	0.0	3.59	1.07	15.56	6.62	1.07	10.71	8.38	16.27	7.63	1.43	3.96	8.99	1.1	14.89	2.78	2.56	6.94	8.58	1.89	1.55	4.43	1.51	3.59	3.96	8.25	12.27	2.66	9.41	6.67	8.71	8.06	8.32	4.78	5.36	2.18	2.78	1.08	6.16	7.4	4.78	3.59	1.08	1.6	2.27	3.11	5.32	0.78
B3GAT2	0.82	0.61	5.32	0.73	2.89	3.86	7.69	14.35	2.61	7.06	2.84	9.63	11.04	6.94	8.25	5.36	6.46	11.3	6.16	10.39	4.13	2.89	9.78	4.39	6.73	8.0	5.63	7.88	12.0	4.35	15.8	11.04	8.51	3.08	7.0	4.58	11.55	9.13	3.86	4.06	6.01	7.06	5.82	9.2	12.27	8.85	2.89	21.78	7.63	5.77	7.46	8.45	13.42	6.52	8.92	6.62	3.47	6.21	11.91	8.99	8.99	13.83	8.65	9.2	7.34	10.79	6.06	4.5	3.44	7.51	11.04	8.71	6.36	6.46	4.78	0.75	11.3	2.46	8.92	6.73	9.93	4.24	6.73	2.97	8.06	9.78	6.62	5.02	6.73	4.46	9.48	3.89	6.31	12.0	7.57	5.02	6.36	10.39	7.51	10.79	4.58	7.06	2.84	4.31	4.17	6.52	6.62	2.03	5.73	12.74	12.55	6.94	3.56	5.11	6.94	2.51	9.56	3.44	2.76	6.16	7.94	2.48	3.89	3.0	2.1	6.06	2.53	8.38	6.57	5.36	10.08	5.87	5.06	4.31	3.69	8.51	7.51	4.03	4.35	5.15	9.2	12.36	4.28	5.63	3.41	2.73	3.76	7.69	2.86	4.94
BTAF1	20.86	103.69	156.59	74.06	127.89	171.45	224.97	371.22	122.64	265.87	120.94	273.37	392.44	332.14	312.0	106.63	191.67	334.46	253.23	435.55	136.19	106.63	353.59	120.1	236.21	358.54	155.5	348.71	351.14	148.09	547.75	232.94	251.48	232.94	403.5	202.66	223.41	228.13	65.26	132.44	143.01	332.14	191.67	307.69	708.18	127.0	122.64	463.65	277.2	180.02	466.88	204.07	293.07	181.28	269.6	281.09	201.25	193.01	497.0	251.48	460.44	287.01	334.46	363.56	303.44	575.03	98.04	76.71	117.6	351.14	392.44	180.02	135.24	244.57	190.34	99.43	417.77	234.57	232.94	165.57	171.45	249.73	189.02	209.84	224.97	450.94	287.01	316.37	291.04	529.06	303.44	180.02	212.78	279.14	444.72	346.29	381.68	208.38	172.65	460.44	218.79	473.41	161.02	162.14	130.6	454.09	265.87	98.04	291.04	432.53	426.57	264.03	97.36	262.2	297.17	205.5	279.14	132.44	154.42	314.17	202.66	107.38	223.41	125.24	87.03	258.57	162.14	195.72	343.89	173.85	486.75	236.21	400.71	314.17	191.67	186.4	220.32	253.23	255.0	224.97	293.07	363.56	118.43	117.6	181.28	153.34	258.57	309.83	86.43	135.24
BZRAP1	2.46	6.89	454.09	466.88	258.57	397.93	536.45	1331.57	698.41	1119.56	400.71	748.61	698.41	1167.14	753.83	403.5	679.29	1225.22	775.05	1519.15	698.41	356.05	743.43	165.57	223.41	884.29	361.04	660.68	1340.84	368.65	967.76	392.44	679.29	981.29	848.22	299.25	591.22	1030.12	147.06	255.0	291.04	612.11	543.96	866.07	878.17	532.74	226.54	656.11	723.08	343.89	830.75	703.28	890.44	327.56	693.58	441.64	493.56	223.41	1259.69	403.5	1407.55	988.12	1088.92	1037.29	941.27	866.07	1037.29	395.18	323.03	872.1	1242.34	878.17	289.02	642.59	674.59	575.03	698.41	438.59	599.49	612.11	1143.1	503.95	507.46	314.17	466.88	866.07	674.59	967.76	341.51	872.1	688.78	283.05	647.07	1233.75	1397.83	521.76	896.64	466.88	713.11	1059.11	718.08	775.05	287.01	295.11	848.22	1001.93	555.41	466.88	620.67	1008.9	1167.14	1104.13	406.31	665.29	392.44	376.41	603.67	307.69	738.29	813.63	961.07	182.55	348.71	305.55	190.34	1286.18	336.79	738.29	1242.34	575.03	1175.27	441.64	981.29	1059.11	358.54	507.46	1369.04	314.17	395.18	511.0	679.29	1322.37	152.28	379.04	279.14	420.68	507.46	660.68	329.84	307.69
C15orf62	0.83	5.28	6.94	8.58	8.19	9.41	12.64	40.36	11.38	23.42	11.38	25.17	17.51	45.53	30.34	11.38	18.03	31.9	32.59	56.68	12.74	8.19	22.26	5.82	20.41	30.78	15.91	36.01	40.64	7.28	39.22	16.63	28.45	21.32	35.0	13.22	22.26	31.9	10.63	11.21	7.11	17.0	18.7	27.05	20.26	6.73	3.47	35.25	21.16	12.36	16.51	13.42	31.45	13.83	25.35	23.42	9.56	5.54	43.02	9.27	70.01	26.1	35.5	31.67	34.51	24.99	26.28	8.45	10.24	24.11	38.67	10.55	7.57	19.25	12.09	22.92	29.91	9.06	18.56	10.47	33.06	13.93	20.11	11.47	14.67	27.25	11.47	31.9	9.13	11.55	17.13	4.1	19.53	30.56	31.0	17.9	23.59	18.43	19.82	43.63	31.9	25.91	3.86	12.83	16.15	35.5	17.77	22.59	15.45	37.32	30.56	12.09	7.4	21.16	15.11	6.62	15.45	12.83	13.42	30.12	22.92	4.35	8.58	11.55	4.94	43.63	9.7	14.45	40.07	14.78	37.59	19.53	22.59	24.11	5.77	19.82	16.27	13.62	14.89	20.11	22.92	96.01	7.17	10.39	8.0	10.55	9.13	17.38	11.47	9.13
CCDC14	15.68	78.34	297.17	341.51	142.01	255.0	466.88	583.07	299.25	591.22	236.21	591.22	529.06	490.14	909.17	454.09	417.77	872.1	493.56	896.64	332.14	208.38	511.0	224.97	423.61	764.36	486.75	483.38	743.43	199.85	974.5	414.87	579.04	713.11	656.11	373.81	514.56	769.69	170.25	194.36	234.57	457.25	346.29	551.56	974.5	346.29	202.66	830.75	647.07	435.55	684.02	583.07	629.35	262.2	563.18	525.39	236.21	248.0	836.53	353.59	836.53	708.18	1037.29	547.75	743.43	836.53	182.55	176.29	217.27	507.46	825.0	567.1	320.8	441.64	454.09	209.84	769.69	289.02	466.88	336.79	599.49	384.34	395.18	346.29	325.29	669.92	583.07	656.11	307.69	934.76	603.67	223.41	460.44	703.28	703.28	420.68	642.59	447.82	480.04	909.17	480.04	1159.07	361.04	253.23	309.83	693.58	432.53	323.03	624.99	674.59	1191.69	723.08	220.32	432.53	371.22	264.03	669.92	249.73	371.22	457.25	743.43	189.02	265.87	237.86	214.27	638.15	341.51	733.19	1477.58	447.82	620.67	373.81	612.11	603.67	295.11	490.14	599.49	271.48	242.88	381.68	423.61	708.18	201.25	195.72	212.78	159.9	190.34	447.82	191.67	121.79
CCDC142	4.39	50.27	112.77	116.78	78.89	102.25	113.56	128.79	98.04	158.79	89.51	146.03	95.34	187.71	140.04	104.42	114.36	220.32	127.89	204.07	71.0	82.87	165.57	47.84	104.42	181.28	105.15	124.37	197.09	83.45	183.82	145.02	96.68	194.36	154.42	82.87	120.1	154.42	52.45	73.54	72.52	162.14	133.36	244.57	205.5	88.88	90.14	206.94	132.44	93.35	183.82	105.89	260.38	96.01	141.02	131.51	107.38	61.25	212.78	91.41	180.02	154.42	158.79	177.53	164.42	256.78	113.56	98.04	67.12	137.14	239.52	161.02	45.21	148.09	95.34	69.03	165.57	144.01	139.07	80.01	118.43	151.22	120.94	113.56	123.5	132.44	128.79	142.01	154.42	141.02	161.02	84.04	108.9	191.67	343.89	181.28	190.34	116.78	111.99	156.59	112.77	246.28	73.54	101.54	126.12	189.02	127.0	113.56	153.34	165.57	246.28	171.45	66.18	98.04	126.12	117.6	178.77	67.59	202.66	153.34	125.24	87.65	78.89	88.26	71.5	100.83	78.34	82.29	206.94	138.1	242.88	85.22	106.63	226.54	117.6	164.42	115.97	81.14	107.38	101.54	125.24	173.85	52.08	68.07	89.51	95.34	97.36	116.78	60.39	131.51
CCDC66	46.5	35.25	153.34	113.56	129.69	131.51	156.59	226.54	108.14	269.6	113.56	155.5	218.79	224.97	218.79	161.02	195.72	289.02	199.85	289.02	131.51	90.77	197.09	85.22	176.29	239.52	150.17	177.53	248.0	98.04	283.05	209.84	217.27	149.12	221.86	110.43	172.65	267.73	96.01	95.34	105.89	187.71	185.11	237.86	145.02	97.36	88.88	363.56	146.03	158.79	224.97	267.73	244.57	128.79	173.85	205.5	74.06	102.25	241.19	147.06	269.6	228.13	187.71	182.55	194.36	159.9	140.04	102.25	98.73	206.94	208.38	154.42	162.14	175.07	190.34	122.64	194.36	143.01	166.73	128.79	199.85	204.07	244.57	105.15	122.64	208.38	208.38	242.88	101.54	277.2	154.42	114.36	140.04	212.78	303.44	144.01	208.38	204.07	163.28	303.44	255.0	287.01	172.65	114.36	204.07	256.78	187.71	115.16	198.47	264.03	249.73	248.0	162.14	165.57	217.27	92.05	297.17	123.5	146.03	190.34	206.94	85.82	96.68	90.14	90.14	260.38	118.43	226.54	323.03	159.9	281.09	181.28	269.6	244.57	116.78	234.57	242.88	201.25	159.9	165.57	228.13	262.2	191.67	101.54	108.9	88.26	175.07	236.21	112.77	109.66
CCDC93	24.28	48.52	133.36	57.89	107.38	119.26	143.01	178.77	54.33	150.17	73.03	171.45	147.06	249.73	320.8	71.0	126.12	199.85	202.66	269.6	125.24	75.11	189.02	98.73	153.34	234.57	78.34	176.29	237.86	102.25	232.94	159.9	158.79	241.19	236.21	110.43	150.17	224.97	71.5	90.77	59.97	129.69	117.6	205.5	293.07	101.54	93.35	265.87	105.89	111.99	136.19	87.03	269.6	151.22	183.82	170.25	145.02	108.9	293.07	154.42	295.11	226.54	177.53	197.09	212.78	236.21	59.13	66.65	80.57	166.73	303.44	136.19	85.82	132.44	120.94	81.14	191.67	121.79	142.01	115.97	120.1	116.78	110.43	87.65	157.68	199.85	129.69	166.73	143.01	143.01	198.47	145.02	135.24	181.28	281.09	186.4	316.37	117.6	153.34	307.69	170.25	214.27	81.71	100.83	89.51	303.44	177.53	75.64	138.1	281.09	194.36	163.28	94.01	136.19	143.01	123.5	129.69	81.14	52.82	157.68	211.31	86.43	137.14	110.43	66.18	206.94	141.02	135.24	316.37	134.3	214.27	167.9	137.14	242.88	103.69	115.97	125.24	133.36	159.9	138.1	153.34	301.33	60.39	92.7	120.94	96.01	148.09	141.02	76.71	96.68
CDK13	97.36	165.57	301.33	211.31	271.48	307.69	275.28	373.81	297.17	379.04	267.73	356.05	285.03	371.22	327.56	336.79	312.0	473.41	392.44	540.19	334.46	299.25	366.09	305.55	366.09	376.41	297.17	334.46	368.65	241.19	387.02	368.65	336.79	447.82	426.57	301.33	277.2	457.25	283.05	295.11	237.86	297.17	301.33	432.53	463.65	253.23	303.44	483.38	320.8	293.07	346.29	275.28	447.82	320.8	366.09	305.55	432.53	316.37	466.88	376.41	457.25	551.56	441.64	339.14	414.87	403.5	256.78	223.41	279.14	320.8	532.74	325.29	267.73	366.09	329.84	260.38	351.14	309.83	363.56	312.0	283.05	348.71	316.37	343.89	358.54	403.5	358.54	348.71	323.03	647.07	368.65	273.37	271.48	384.34	612.11	412.0	406.31	309.83	285.03	529.06	387.02	441.64	260.38	309.83	265.87	412.0	346.29	318.57	295.11	327.56	529.06	412.0	305.55	314.17	395.18	351.14	500.46	341.51	334.46	325.29	417.77	228.13	307.69	314.17	229.72	406.31	295.11	303.44	511.0	249.73	409.15	343.89	363.56	476.71	287.01	336.79	318.57	287.01	348.71	293.07	314.17	409.15	193.01	301.33	281.09	262.2	283.05	312.0	249.73	218.79
CEP164	6.06	31.67	205.5	144.01	101.54	206.94	136.19	376.41	155.5	236.21	138.1	267.73	218.79	323.03	376.41	176.29	199.85	379.04	244.57	403.5	183.82	141.02	262.2	92.05	220.32	307.69	187.71	262.2	327.56	139.07	312.0	155.5	212.78	232.94	279.14	120.1	195.72	303.44	122.64	170.25	108.14	201.25	265.87	226.54	320.8	131.51	134.3	309.83	234.57	134.3	206.94	197.09	289.02	178.77	178.77	220.32	221.86	100.13	389.72	162.14	343.89	195.72	289.02	346.29	397.93	236.21	140.04	161.02	173.85	248.0	341.51	180.02	138.1	295.11	167.9	87.65	264.03	152.28	157.68	170.25	242.88	178.77	181.28	167.9	218.79	376.41	201.25	287.01	148.09	289.02	195.72	143.01	205.5	255.0	336.79	171.45	255.0	224.97	163.28	426.57	211.31	351.14	103.69	142.01	189.02	273.37	208.38	162.14	181.28	269.6	414.87	234.57	121.79	281.09	197.09	121.79	256.78	125.24	224.97	236.21	260.38	102.25	158.79	159.9	96.68	368.65	162.14	217.27	318.57	211.31	371.22	180.02	201.25	242.88	146.03	251.48	236.21	151.22	246.28	197.09	273.37	406.31	73.03	157.68	164.42	163.28	166.73	224.97	114.36	162.14
CEP95	75.64	103.69	432.53	543.96	246.28	339.14	587.13	995.0	348.71	764.36	246.28	713.11	551.56	733.19	563.18	332.14	511.0	825.0	819.3	1225.22	312.0	303.44	525.39	187.71	346.29	603.67	575.03	599.49	688.78	206.94	775.05	476.71	738.29	830.75	688.78	441.64	674.59	718.08	231.32	205.5	269.6	575.03	579.04	559.28	785.88	612.11	162.14	842.36	728.11	460.44	432.53	624.99	587.13	246.28	665.29	417.77	283.05	305.55	769.69	287.01	1044.52	1175.27	909.17	769.69	981.29	854.13	651.58	281.09	256.78	620.67	620.67	536.45	403.5	642.59	525.39	387.02	547.75	301.33	454.09	387.02	698.41	473.41	825.0	232.94	356.05	802.41	460.44	629.35	309.83	470.14	438.59	275.28	381.68	753.83	1044.52	444.72	854.13	507.46	543.96	1023.0	454.09	656.11	392.44	301.33	759.08	651.58	420.68	540.19	551.56	785.88	583.07	902.89	275.28	612.11	363.56	246.28	693.58	248.0	412.0	514.56	703.28	193.01	212.78	273.37	301.33	974.5	320.8	860.08	1096.5	551.56	1037.29	412.0	620.67	679.29	212.78	599.49	616.37	450.94	454.09	463.65	547.75	1030.12	420.68	228.13	269.6	251.48	361.04	642.59	228.13	209.84
CLK2	43.02	195.72	698.41	660.68	551.56	669.92	759.08	1183.45	679.29	1135.2	607.87	733.19	1008.9	1096.5	1331.57	587.13	825.0	1250.98	947.83	1529.73	629.35	642.59	813.63	575.03	684.02	1277.29	909.17	1051.79	1073.91	514.56	1437.15	961.07	988.12	934.76	1111.82	698.41	890.44	1242.34	567.1	647.07	651.58	974.5	890.44	1313.23	759.08	514.56	500.46	1268.46	988.12	665.29	915.51	954.43	1437.15	607.87	890.44	780.44	521.76	379.04	1313.23	493.56	1447.15	1617.0	1388.16	1111.82	1295.13	1378.57	1183.45	603.67	674.59	995.0	1457.23	854.13	674.59	819.3	1175.27	780.44	909.17	753.83	915.51	764.36	1037.29	909.17	1015.93	470.14	642.59	1073.91	909.17	1277.29	490.14	775.05	896.64	579.04	656.11	1331.57	1540.37	860.08	1135.2	866.07	872.1	1467.37	928.3	1259.69	679.29	579.04	967.76	1447.15	802.41	802.41	896.64	1167.14	1628.26	896.64	713.11	884.29	642.59	529.06	1304.15	444.72	633.73	854.13	1030.12	392.44	532.74	529.06	591.22	1111.82	457.25	1008.9	1896.65	723.08	1457.23	819.3	941.27	1208.34	579.04	1096.5	1191.69	660.68	764.36	669.92	928.3	1081.39	457.25	616.37	480.04	486.75	571.05	819.3	540.19	660.68
CMTR1	87.65	224.97	497.0	432.53	460.44	521.76	447.82	708.18	450.94	571.05	432.53	454.09	555.41	587.13	642.59	514.56	587.13	684.02	624.99	813.63	486.75	403.5	571.05	444.72	543.96	703.28	441.64	688.78	624.99	460.44	669.92	532.74	575.03	629.35	543.96	591.22	521.76	591.22	343.89	529.06	412.0	583.07	616.37	759.08	802.41	403.5	417.77	684.02	551.56	536.45	713.11	409.15	571.05	543.96	571.05	514.56	603.67	476.71	723.08	476.71	775.05	575.03	674.59	624.99	629.35	660.68	368.65	412.0	447.82	753.83	647.07	555.41	414.87	591.22	438.59	447.82	791.35	483.38	514.56	521.76	466.88	555.41	638.15	450.94	571.05	532.74	483.38	555.41	540.19	529.06	358.54	503.95	473.41	555.41	738.29	540.19	525.39	536.45	642.59	669.92	579.04	674.59	312.0	507.46	555.41	587.13	567.1	447.82	511.0	624.99	525.39	567.1	432.53	536.45	547.75	463.65	571.05	483.38	514.56	607.87	529.06	454.09	423.61	423.61	387.02	665.29	543.96	518.15	567.1	466.88	698.41	540.19	525.39	616.37	493.56	460.44	497.0	480.04	579.04	536.45	563.18	718.08	403.5	457.25	543.96	525.39	529.06	579.04	438.59	470.14
CRAMP1L	10.31	12.93	181.28	87.65	158.79	171.45	159.9	353.59	131.51	224.97	143.01	232.94	175.07	343.89	351.14	111.21	209.84	343.89	195.72	368.65	186.4	109.66	312.0	115.97	159.9	325.29	133.36	255.0	376.41	183.82	285.03	182.55	171.45	237.86	363.56	124.37	178.77	291.04	77.79	114.36	81.71	248.0	193.01	285.03	435.55	97.36	154.42	275.28	195.72	108.9	221.86	187.71	312.0	218.79	170.25	189.02	204.07	121.79	412.0	198.47	397.93	336.79	255.0	320.8	353.59	361.04	119.26	115.16	124.37	249.73	392.44	198.47	99.43	152.28	182.55	141.02	303.44	239.52	249.73	124.37	281.09	206.94	143.01	231.32	249.73	248.0	214.27	312.0	234.57	190.34	248.0	141.02	217.27	423.61	470.14	309.83	426.57	194.36	172.65	384.34	220.32	202.66	126.12	172.65	186.4	251.48	208.38	140.04	205.5	336.79	503.95	267.73	143.01	165.57	181.28	204.07	264.03	122.64	165.57	246.28	293.07	143.01	190.34	164.42	66.65	293.07	165.57	162.14	334.46	212.78	287.01	194.36	221.86	460.44	202.66	249.73	275.28	151.22	197.09	199.85	212.78	379.04	54.33	177.53	150.17	140.04	273.37	178.77	94.67	119.26
CREBZF	121.79	173.85	599.49	336.79	426.57	480.04	607.87	921.88	397.93	753.83	403.5	836.53	748.61	909.17	981.29	518.15	607.87	1030.12	791.35	1175.27	438.59	483.38	902.89	336.79	575.03	1030.12	559.28	775.05	860.08	348.71	981.29	713.11	669.92	674.59	808.0	529.06	733.19	796.86	226.54	438.59	454.09	738.29	536.45	974.5	1208.34	575.03	341.51	1199.98	848.22	514.56	830.75	759.08	1119.56	429.54	647.07	438.59	387.02	612.11	1081.39	547.75	1119.56	1023.0	890.44	791.35	748.61	1225.22	497.0	356.05	392.44	866.07	1037.29	836.53	397.93	567.1	674.59	514.56	902.89	642.59	718.08	587.13	620.67	651.58	819.3	435.55	447.82	1051.79	769.69	842.36	616.37	941.27	1023.0	457.25	529.06	872.1	1359.57	633.73	1001.93	511.0	660.68	1167.14	555.41	954.43	624.99	521.76	493.56	896.64	674.59	406.31	633.73	1044.52	1572.76	830.75	353.59	693.58	688.78	483.38	860.08	376.41	543.96	591.22	802.41	246.28	674.59	447.82	291.04	748.61	432.53	651.58	947.83	591.22	915.51	651.58	679.29	921.88	532.74	674.59	656.11	603.67	665.29	486.75	679.29	928.3	438.59	379.04	444.72	463.65	476.71	743.43	351.14	379.04
