	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.HU.A4GU.01A.11R.A251.31	GTEX.T8EM.1226.SM.4DM5J	TCGA.DF.A2KN.01A.11R.A180.07	TCGA.AJ.A8CV.01A.11R.A37O.07	TCGA.AJ.A5DV.01A.11R.A27V.07	TCGA.BK.A56F.01A.32R.A27V.07	TCGA.FL.A1YN.11A.11R.A32Y.07	TCGA.AJ.A3NH.11A.11R.A22K.07
EFNB3	579.04	255.0	14.89	2.73	1.99	2.78	0.0	0.0	8.92	2.43	44.89	7.63	3.11	31.9	236.21	12.55	7.75	164.42	389.72	251.48
ENKUR	1685.71	17197.56	8.19	6.89	0.3	3.11	0.0	0.0	4.62	24.11	14.78	5.36	23.08	63.89	143.01	679.29	728.11	563.18	106.63	1001.93
ESPN	8901.53	9673.69	23.59	825.0	3124.78	934.76	0.0	0.0	860.08	217.27	37.59	718.08	153.34	753.83	2451.44	1277.29	1447.15	995.0	85.82	571.05
FANK1	1498.22	8305.36	88.26	165.57	12.36	73.03	0.0	0.0	28.24	102.25	124.37	65.72	25.54	100.13	376.41	928.3	988.12	854.13	176.29	1030.12
FAT2	3395.89	6983.79	0.71	6.73	4.94	0.93	0.0	0.58	0.26	1.5	0.32	1.66	0.49	15.8	181.28	89.51	3.44	59.55	8.85	32.36
FHAD1	1159.07	3874.05	40.36	26.28	8.99	11.91	0.0	0.0	20.11	69.52	64.34	27.84	53.95	90.77	115.97	463.65	312.0	269.6	92.05	555.41
GDF1	28.04	8.38	4.13	3.41	1.62	0.52	0.0	0.17	0.99	1.97	0.0	2.66	0.0	7.75	34.26	13.22	2.03	15.45	11.38	9.13
GLRB	1697.45	4543.8	18.03	5.06	0.77	4.28	0.0	0.28	4.54	14.14	69.03	56.28	9.27	50.63	162.14	149.12	169.07	185.11	118.43	197.09
GPX7	1151.06	1216.75	267.73	180.02	98.73	154.42	0.0	0.31	181.28	105.15	718.08	28.04	71.5	309.83	1119.56	529.06	368.65	521.76	409.15	299.25
IDNK	457.25	1001.93	100.13	217.27	127.89	206.94	0.0	0.23	214.27	189.02	125.24	77.79	75.64	346.29	269.6	503.95	432.53	221.86	297.17	624.99
IFT57	854.13	2609.3	638.15	791.35	346.29	684.02	0.0	0.52	387.02	536.45	366.09	457.25	493.56	860.08	1437.15	1617.0	2075.59	1639.59	1175.27	2855.44
KCNC3	2163.77	1572.76	17.64	55.89	12.83	23.25	0.0	0.39	69.52	13.03	36.27	47.84	24.46	19.11	656.11	435.55	426.57	679.29	432.53	493.56
KCNH3	134.3	1015.93	4.58	7.11	10.79	3.38	0.0	0.13	2.94	2.86	6.62	6.46	2.46	4.62	85.82	150.17	169.07	144.01	32.59	236.21
KLHL14	1037.29	14461.21	0.85	1.69	33.3	0.0	0.0	0.08	0.73	0.82	3.0	0.67	0.0	2.92	214.27	67.59	283.05	269.6	128.79	232.94
KLHL3	183.82	138.1	33.54	12.45	40.07	23.76	17.77	60.82	11.21	29.48	42.11	16.88	21.94	50.98	76.17	68.55	77.79	103.69	80.57	77.79
LCN2	706337.4	313910.86	542775.98	343510.77	654483.73	1238359.56	0.0	0.43	1034138.94	565825.41	1472666.19	593956.43	305326.92	197294.7	4836.35	13033.07	10659.59	1794.29	2255.7	1991.0
LINC00908	780.44	1781.89	0.39	0.0	1.97	0.83	0.0	0.0	1.85	1.28	4.46	2.03	0.0	8.58	26.86	44.57	110.43	93.35	241.19	275.28
MATN1	18.43	7.28	4.9	3.59	0.69	2.07	0.0	0.12	1.87	0.66	0.0	1.71	0.57	1.48	10.79	7.06	12.09	55.89	31.67	23.25
NHLRC4	444.72	2224.63	10.0	4.58	1.39	10.16	0.0	0.0	9.63	2.29	8.25	3.23	2.97	7.88	76.17	329.84	187.71	145.02	120.94	612.11
NME5	2434.5	21026.65	7.4	49.91	0.62	0.8	0.0	0.05	3.66	5.02	68.07	6.01	1.87	112.77	237.86	796.86	848.22	723.08	199.85	1216.75
NMRK1	1605.83	842.36	332.14	417.77	231.32	521.76	279.14	406.31	194.36	309.83	500.46	312.0	291.04	796.86	825.0	543.96	728.11	579.04	743.43	733.19
OGDHL	473.41	525.39	6.73	33.06	63.45	0.0	0.0	0.24	135.24	1.28	1.91	163.28	5.45	22.43	316.37	74.06	267.73	215.77	186.4	43.94
OSCP1	381.68	1757.34	167.9	295.11	70.01	102.25	0.0	0.0	114.36	191.67	198.47	138.1	136.19	232.94	563.18	1259.69	1277.29	961.07	438.59	1806.78
PAGE4	100.83	94.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.12	0.0	3.23	62.12	52.08	0.0	33.3	2739.08	36.27
PAX8	223512.12	273275.14	148.09	318.57	307.69	167.9	0.0	0.21	356.05	511.0	107.38	117.6	563.18	156.59	3794.3	2520.38	1977.24	2319.15	819.3	2758.13
PNMAL1	587.13	358.54	27.84	5.36	2.14	4.13	0.0	0.16	5.87	1.31	52.45	1.87	2.29	20.71	497.0	136.19	169.07	305.55	559.28	591.22
PREX2	169.07	660.68	26.47	4.24	5.06	26.67	0.0	0.28	14.56	12.83	43.63	5.68	5.15	35.76	281.09	104.42	267.73	244.57	72.01	206.94
RASGEF1C	96.01	8.99	2.12	3.35	0.0	0.0	0.0	0.13	0.0	4.78	0.82	0.61	3.08	9.48	84.63	4.03	0.31	15.11	14.24	31.9
RIBC1	329.84	2047.0	35.0	43.32	17.0	24.11	0.0	0.0	19.25	23.59	15.22	47.17	48.87	16.88	293.07	890.44	651.58	575.03	178.77	1208.34
RNASET2	40621.74	42937.97	5147.73	759.08	2224.63	1936.53	0.0	0.71	8363.13	15607.02	8778.97	1340.84	1936.53	1844.76	12764.83	6516.03	13492.72	7230.1	5711.87	10225.32
RP11-763F8.1	1216.75	6471.02	0.0	0.0	0.78	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	94.67	56.68	155.5	180.02	21.16	43.94
RP11-766F14.2	2.78	159.9	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.67	13.52	27.64	32.59	18.97	2.2	14.14
RXFP1	351.14	125.24	3.17	0.13	0.01	1.13	0.0	0.0	3.44	3.14	7.63	1.87	1.93	3.2	376.41	85.22	43.94	47.5	633.73	12.45
SALL2	400.71	256.78	30.56	23.93	20.11	13.72	0.0	0.31	11.13	2.58	84.04	98.04	4.98	96.68	172.65	165.57	99.43	228.13	529.06	329.84
SCGB1D4	8901.53	14065.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.86	173.85	14.14	629.35	2875.3	24.63
SESN3	723.08	318.57	57.89	36.79	38.4	59.97	241.19	46.84	15.0	17.77	186.4	26.28	18.56	90.77	59.13	155.5	220.32	329.84	312.0	303.44
SLC16A9	271.48	764.36	0.0	48.52	0.0	6.78	0.0	0.37	2.01	13.12	28.04	5.19	0.0	24.99	172.65	88.26	305.55	189.02	483.38	579.04
SLC6A13	93.35	34.26	1.89	2.16	4.5	0.0	0.0	0.0	1.91	5.19	0.0	4.82	1.46	4.13	64.8	9.85	2.36	1.33	2.43	318.57
SLFN12	165.57	332.14	58.71	36.79	39.79	103.69	0.0	0.52	58.3	57.89	104.42	54.33	23.59	161.02	111.99	120.1	190.34	285.03	86.43	129.69
SPATA17	890.44	7280.4	18.03	81.71	8.71	32.36	0.0	0.0	8.78	98.73	34.26	39.5	40.07	36.79	182.55	616.37	674.59	466.88	98.73	764.36
ST3GAL6	1331.57	1286.18	96.01	49.56	88.26	29.27	0.0	0.22	74.58	218.79	316.37	93.35	36.79	98.04	587.13	267.73	248.0	291.04	169.07	567.1
SYCE1L	368.65	232.94	21.32	97.36	198.47	115.16	0.0	0.42	80.01	31.45	144.01	30.12	24.63	147.06	309.83	170.25	87.03	127.0	291.04	136.19
SYTL3	708.18	688.78	118.43	36.53	63.45	59.97	0.0	0.39	62.12	73.54	91.41	46.5	78.34	124.37	503.95	486.75	376.41	244.57	127.0	567.1
TEKT2	14971.21	176583.6	2.36	10.08	0.0	2.46	0.0	0.0	0.0	1.5	5.06	35.25	0.91	32.59	336.79	1088.92	607.87	595.34	226.54	1350.18
TMEM215	138.1	115.16	0.0	0.38	0.0	0.0	0.0	0.01	0.0	0.32	0.0	0.0	0.0	0.88	8.85	4.7	0.05	10.96	14.67	0.66
TMEM91	1051.79	791.35	273.37	301.33	110.43	172.65	0.0	0.62	71.5	130.6	305.55	92.05	41.81	223.41	301.33	536.45	718.08	403.5	490.14	616.37
TP53AIP1	518.15	400.71	2.23	3.35	8.85	0.77	0.0	0.17	1.46	9.85	4.7	2.36	0.84	3.08	71.5	417.77	214.27	98.04	51.71	178.77
UGT2B7	87681.42	19618.49	1.33	3.56	11.21	6.11	0.0	0.0	8.06	35.25	22.26	38.67	1.04	239.52	1487.87	638.15	819.3	563.18	412.0	698.41
USHBP1	211.31	110.43	53.95	21.63	21.47	53.57	0.0	0.26	50.98	12.83	62.12	25.72	14.45	35.0	52.45	30.56	162.14	38.4	314.17	69.03
VWA3B	1529.73	10883.59	32.13	16.27	0.77	1.38	0.0	0.0	4.74	30.34	36.79	4.31	5.68	50.27	70.01	234.57	231.32	255.0	104.42	995.0
WBSCR28	143.01	316.37	1.69	4.9	5.41	4.74	0.0	0.0	8.65	13.03	0.0	3.35	19.25	19.82	21.47	66.65	58.71	5.41	3.66	33.06
WDR91	2502.97	693.58	162.14	177.53	217.27	133.36	0.0	0.83	187.71	127.89	130.6	195.72	113.56	161.02	1151.06	444.72	493.56	796.86	417.77	819.3
WNT7A	1111.82	2468.49	0.0	2.05	0.0	0.0	11.21	62.12	0.91	0.48	1.11	0.38	0.0	0.0	713.11	202.66	38.12	14.03	42.11	17.25
ZNF516	1883.54	2434.5	108.9	157.68	63.0	108.9	0.0	0.54	31.45	26.47	143.01	127.0	55.1	144.01	172.65	466.88	483.38	819.3	1242.34	536.45
ZNF816	1277.29	3103.19	153.34	137.14	66.18	128.79	0.0	0.21	119.26	351.14	157.68	144.01	204.07	154.42	356.05	224.97	221.86	341.51	293.07	241.19
ZSCAN1	435.55	1295.13	0.0	2.66	0.0	1.83	0.0	0.0	4.9	0.6	0.0	3.06	0.89	9.34	170.25	3.41	63.0	36.79	22.75	48.52
