	TCGA.LL.A440.01A.11R.A24H.07	TCGA.B8.4148.01A.02R.1325.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.56.7580.11A.01R.2045.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.BR.A4J5.01A.21R.A251.31	TCGA.BR.8590.01A.11R.2402.13	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.CG.4474.01A.02R.1157.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.RD.A8NB.01A.12R.A39E.31	TCGA.HU.A4G8.01A.11R.A251.31	TCGA.BR.4362.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.VQ.A922.01A.11R.A414.31	TCGA.VQ.A8PB.01A.11R.A39E.31	TCGA.BR.4361.01A.01R.1157.13	TCGA.CG.4305.01A.01R.1157.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.4253.01A.01R.1131.13	TCGA.CG.4465.01A.01R.1157.13	TCGA.BR.4357.01A.01R.1157.13	TCGA.VQ.A8P8.01A.11R.A39E.31
BORA	68.07	86.43	53.95	48.87	13.83	28.24	24.46	30.56	36.27	45.85	40.36	17.0	23.08	11.55	27.05	33.78	60.39	38.12	14.03	27.05	35.5	16.88	57.49	20.11	30.12	32.82	20.86	24.11	2.63	33.78	81.14	232.94	166.73	148.09	140.04	314.17	145.02	215.77	291.04	414.87	316.37	457.25	312.0	346.29	307.69	93.35	312.0	237.86	264.03	208.38
BRIP1	26.28	42.71	34.02	29.06	10.96	9.27	8.92	8.78	17.25	13.42	37.85	25.54	24.63	21.78	3.89	18.7	53.19	11.91	14.89	9.7	8.85	20.86	23.25	17.51	32.59	19.82	12.55	19.82	10.88	18.43	16.15	52.08	25.17	36.01	42.41	67.12	49.56	85.22	138.1	88.88	123.5	123.5	125.24	127.89	44.57	21.47	148.09	74.58	64.8	52.82
BUB1B	85.22	42.41	28.45	37.85	7.06	6.62	0.49	0.43	2.1	7.94	3.03	0.89	3.79	2.03	0.79	1.27	8.13	0.8	7.28	8.06	13.12	17.0	17.13	9.48	4.13	0.0	4.98	10.0	2.86	21.94	63.89	220.32	115.97	147.06	118.43	420.68	131.51	348.71	684.02	400.71	373.81	753.83	387.02	769.69	283.05	62.12	571.05	353.59	633.73	248.0
C4orf46	94.01	61.25	54.33	44.89	15.11	19.82	15.22	17.38	14.78	29.48	37.32	7.4	10.16	11.04	13.12	27.44	34.02	36.01	53.95	13.12	25.17	16.63	24.99	11.3	28.04	20.26	22.92	20.11	12.93	11.47	106.63	111.99	105.89	123.5	122.64	148.09	115.16	193.01	194.36	234.57	224.97	241.19	289.02	371.22	133.36	124.37	303.44	158.79	148.09	120.1
CARM1	902.89	493.56	688.78	518.15	444.72	314.17	351.14	281.09	316.37	323.03	318.57	273.37	323.03	309.83	368.65	320.8	226.54	384.34	320.8	463.65	490.14	309.83	273.37	414.87	346.29	316.37	325.29	281.09	273.37	242.88	595.34	1073.91	1119.56	1208.34	1175.27	1259.69	728.11	1551.09	1023.0	981.29	718.08	1199.98	1378.57	878.17	954.43	1127.35	1015.93	1159.07	1015.93	1159.07
CCDC138	50.98	65.26	66.65	36.53	22.92	36.53	28.65	40.93	34.26	15.11	20.26	31.0	40.64	20.41	35.25	96.01	22.59	50.98	35.5	22.43	11.21	28.65	27.84	43.02	36.27	58.71	30.12	33.54	33.06	85.22	61.25	81.71	63.89	91.41	81.14	84.63	81.71	110.43	195.72	129.69	190.34	229.72	146.03	134.3	108.14	52.08	117.6	94.67	140.04	62.12
CCDC77	169.07	130.6	108.9	94.01	32.36	68.55	74.06	61.25	86.43	80.57	119.26	26.86	105.89	54.72	44.57	100.83	94.67	32.82	51.71	45.85	71.5	55.1	85.82	33.78	119.26	85.82	28.24	94.67	27.44	34.02	137.14	144.01	127.89	126.12	115.16	149.12	159.9	152.28	202.66	145.02	267.73	232.94	169.07	205.5	142.01	126.12	189.02	126.12	220.32	133.36
CCNA2	133.36	84.63	56.28	81.71	7.4	33.3	11.91	12.36	11.64	15.8	24.99	6.06	7.57	11.47	6.57	13.03	17.77	16.03	2.27	10.47	14.67	20.11	21.63	8.06	15.8	16.27	16.75	17.77	3.29	14.56	84.04	289.02	281.09	320.8	162.14	567.1	232.94	624.99	902.89	967.76	674.59	493.56	1073.91	1119.56	638.15	140.04	1175.27	854.13	718.08	497.0
CCNB1	473.41	159.9	133.36	201.25	40.07	102.25	5.41	15.22	27.44	67.59	43.63	17.51	11.38	59.13	25.17	17.77	66.65	44.89	22.43	20.26	47.17	48.52	54.72	55.1	76.17	25.35	80.57	38.95	15.45	60.39	269.6	603.67	376.41	961.07	327.56	1175.27	423.61	1467.37	1936.53	2627.46	1216.75	1529.73	3564.78	2701.35	1313.23	267.73	2627.46	1909.85	2720.15	1088.92
CCNB2	143.01	95.34	42.41	70.51	5.63	31.9	2.86	1.48	6.57	8.06	10.63	3.14	4.62	15.45	0.0	14.89	6.52	3.76	14.24	0.0	10.88	34.51	17.9	5.23	11.3	4.94	16.75	17.64	4.62	6.21	119.26	381.68	316.37	361.04	197.09	819.3	228.13	536.45	928.3	669.92	1088.92	543.96	1183.45	1191.69	599.49	127.0	1331.57	1037.29	995.0	444.72
CCNF	97.36	44.25	35.25	30.78	17.64	17.77	10.96	7.0	5.02	9.27	18.43	9.13	14.67	5.82	4.43	7.22	8.06	22.75	26.86	12.09	12.18	6.89	13.32	17.13	13.83	12.93	10.96	7.06	5.32	11.38	40.64	191.67	115.97	169.07	95.34	139.07	88.88	269.6	327.56	291.04	211.31	387.02	264.03	239.52	197.09	58.71	223.41	180.02	182.55	183.82
CDC25A	21.94	14.78	14.67	31.0	2.53	8.71	0.0	11.82	2.76	1.85	1.03	1.97	4.28	1.36	1.68	0.97	9.85	5.68	24.46	6.57	13.72	8.45	8.19	5.36	2.92	4.1	3.29	5.23	2.73	3.32	13.93	70.01	56.28	115.97	63.0	115.16	49.56	84.63	201.25	277.2	205.5	125.24	180.02	194.36	72.01	43.63	211.31	141.02	111.99	99.43
CDC25C	39.22	19.68	17.51	21.47	1.51	16.03	3.08	6.94	0.0	7.88	1.16	2.25	3.29	2.1	2.46	2.66	0.0	3.03	3.06	5.68	3.08	4.98	6.57	1.69	6.84	0.0	4.74	0.0	0.67	0.0	19.25	55.1	35.76	69.52	27.64	91.41	25.91	112.77	138.1	127.89	90.77	189.02	151.22	180.02	91.41	22.1	164.42	114.36	514.56	82.87
CDC45	82.29	69.52	50.63	108.9	3.44	63.0	4.62	11.21	18.03	8.71	12.83	6.01	5.19	26.28	3.72	5.41	13.93	8.92	7.17	2.39	28.04	11.13	19.97	0.0	27.05	16.27	14.89	36.53	2.97	5.19	50.27	123.5	109.66	102.25	64.34	371.22	134.3	260.38	470.14	620.67	450.94	642.59	432.53	638.15	265.87	50.98	480.04	356.05	460.44	204.07
CDC6	111.21	64.8	49.56	114.36	5.59	11.91	3.63	13.72	12.74	23.59	5.45	2.12	2.34	7.11	3.53	5.19	11.73	18.03	8.32	5.63	31.22	6.57	39.79	5.19	5.02	10.16	11.55	5.41	2.05	9.48	76.71	138.1	98.04	281.09	77.79	199.85	131.51	220.32	387.02	616.37	674.59	607.87	432.53	269.6	198.47	66.18	454.09	307.69	723.08	151.22
CDC7	84.63	73.03	45.53	47.17	5.68	25.54	1.62	5.96	7.63	11.13	0.85	2.76	4.94	6.52	1.83	4.21	2.29	4.46	13.52	4.9	17.64	23.93	11.82	3.59	15.0	4.7	11.73	9.34	2.81	6.94	49.21	145.02	111.21	144.01	117.6	115.16	109.66	177.53	423.61	236.21	281.09	309.83	417.77	327.56	147.06	62.12	336.79	260.38	197.09	149.12
CDCA3	137.14	94.67	99.43	51.35	12.45	42.71	14.45	17.64	28.65	24.46	25.91	14.67	13.62	16.27	16.27	16.03	34.75	8.85	16.39	18.7	15.45	67.12	29.48	17.77	30.12	16.39	21.94	21.32	6.78	31.9	81.71	279.14	297.17	229.72	172.65	802.41	209.84	486.75	540.19	830.75	947.83	624.99	713.11	785.88	579.04	205.5	532.74	651.58	921.88	363.56
CDCA4	221.86	133.36	102.97	41.52	35.76	65.72	26.28	38.67	14.67	48.87	40.36	33.78	30.12	22.92	23.59	26.1	35.76	22.92	34.51	19.39	38.4	10.08	43.63	22.92	36.27	41.52	23.76	43.32	7.69	37.59	120.1	215.77	189.02	209.84	163.28	170.25	159.9	285.03	341.51	348.71	368.65	395.18	314.17	305.55	193.01	152.28	329.84	144.01	218.79	136.19
CDCA5	154.42	84.04	55.49	64.34	14.89	28.65	8.45	3.2	9.34	17.25	5.41	7.17	5.32	13.42	5.11	10.08	16.88	9.93	26.86	10.0	16.27	16.27	17.77	5.45	27.05	5.5	17.38	14.67	1.45	8.25	68.07	122.64	102.25	271.48	89.51	265.87	82.87	312.0	441.64	497.0	486.75	493.56	483.38	629.35	277.2	78.34	358.54	334.46	473.41	155.5
CDCA8	109.66	63.0	47.84	43.63	8.06	31.0	9.48	10.08	11.21	14.45	16.63	3.59	8.99	10.79	4.39	9.48	9.13	10.47	9.48	8.19	11.55	17.13	9.13	2.48	14.03	12.27	13.52	10.47	3.23	9.85	64.8	341.51	136.19	400.71	144.01	417.77	149.12	412.0	612.11	1001.93	684.02	698.41	813.63	733.19	371.22	82.29	775.05	490.14	660.68	368.65
CDK1	287.01	154.42	84.63	109.66	16.88	31.9	5.36	6.73	9.13	23.42	7.51	9.48	23.59	10.0	5.02	5.36	8.38	8.65	5.82	2.18	22.92	44.57	22.75	13.83	25.54	0.0	32.59	26.1	6.06	15.34	176.29	599.49	414.87	723.08	171.45	808.0	444.72	830.75	1883.54	1498.22	967.76	1583.71	1733.13	2417.67	688.78	142.01	2434.5	1331.57	1733.13	559.28
CDK16	1477.58	1208.34	1143.1	551.56	420.68	497.0	400.71	629.35	366.09	316.37	718.08	466.88	713.11	363.56	397.93	353.59	466.88	638.15	480.04	397.93	551.56	444.72	348.71	327.56	454.09	470.14	529.06	514.56	529.06	305.55	1447.15	1397.83	1529.73	1651.0	1457.23	1769.57	1378.57	2335.28	3742.05	3491.39	1844.76	2796.65	1662.49	2485.67	2032.85	1477.58	2148.82	2255.7	3742.05	1909.85
CDKN3	159.9	80.01	81.14	81.14	19.68	36.53	14.14	16.27	17.25	14.45	5.23	8.25	8.06	48.52	5.73	5.59	12.0	22.43	23.25	0.0	17.77	32.36	15.0	6.41	38.12	6.06	13.72	15.34	8.99	64.34	133.36	239.52	403.5	438.59	100.83	748.61	195.72	612.11	571.05	718.08	2255.7	366.09	708.18	1477.58	669.92	117.6	947.83	684.02	1030.12	379.04
CEBPZ	753.83	988.12	684.02	616.37	551.56	688.78	684.02	353.59	599.49	463.65	583.07	486.75	420.68	567.1	638.15	571.05	665.29	748.61	403.5	441.64	457.25	633.73	563.18	470.14	379.04	426.57	669.92	555.41	426.57	738.29	684.02	836.53	954.43	890.44	651.58	909.17	1322.37	1001.93	1143.1	693.58	1467.37	1870.53	974.5	981.29	718.08	638.15	981.29	1199.98	759.08	896.64
CENPA	119.26	22.43	29.7	17.0	11.13	9.27	0.0	0.0	4.03	11.04	6.11	0.0	2.71	0.0	3.69	0.0	3.82	9.56	3.82	1.35	1.2	16.51	5.63	0.0	0.0	0.0	5.11	3.79	5.73	7.94	44.57	120.1	84.63	114.36	42.41	234.57	74.58	208.38	262.2	198.47	332.14	1096.5	295.11	241.19	170.25	37.85	297.17	169.07	536.45	151.22
CENPE	44.57	32.13	11.55	10.31	0.75	2.97	0.42	6.41	0.82	7.88	0.37	0.0	0.84	4.62	0.31	0.35	0.39	0.32	0.33	0.38	3.14	4.98	2.16	0.37	2.07	0.34	5.06	1.22	0.41	0.36	22.43	94.01	74.58	84.04	51.71	84.63	71.0	147.06	262.2	127.0	148.09	194.36	224.97	195.72	80.01	32.36	251.48	105.15	131.51	96.68
CENPM	139.07	111.99	75.64	96.01	0.0	75.64	7.06	9.34	11.55	27.05	5.87	0.0	14.56	37.85	9.2	18.97	14.67	16.63	27.64	0.0	29.06	51.35	43.32	8.99	20.11	6.84	56.28	40.93	0.0	11.82	73.54	177.53	157.68	305.55	125.24	277.2	175.07	271.48	607.87	679.29	392.44	181.28	651.58	559.28	417.77	80.57	397.93	426.57	473.41	287.01
CEP55	72.52	78.34	21.78	16.39	0.87	16.63	4.98	5.06	7.11	4.28	0.93	0.0	3.69	0.0	0.0	0.0	0.0	2.76	6.16	0.0	4.17	9.63	6.16	1.64	3.35	0.0	3.53	4.06	0.0	0.0	65.26	368.65	229.72	316.37	120.1	414.87	116.78	480.04	575.03	954.43	567.1	420.68	1806.78	954.43	497.0	55.49	1044.52	417.77	836.53	490.14
CEP78	171.45	155.5	116.78	136.19	64.8	99.43	55.89	101.54	88.26	79.45	84.63	36.01	82.29	54.33	155.5	81.71	108.14	92.05	43.94	26.1	102.97	148.09	100.83	56.68	105.15	86.43	94.67	78.89	59.13	109.66	159.9	249.73	178.77	212.78	260.38	299.25	220.32	314.17	403.5	409.15	400.71	297.17	432.53	392.44	214.27	253.23	403.5	327.56	231.32	236.21
CHAF1B	89.51	18.97	32.59	33.06	1.03	24.11	3.99	9.13	5.77	7.22	6.67	1.38	5.5	17.13	8.32	5.23	7.06	4.78	10.55	3.47	6.89	6.73	14.24	5.19	10.96	3.38	5.92	10.31	0.27	6.01	45.53	73.03	53.57	62.12	59.97	129.69	63.89	80.01	97.36	180.02	151.22	148.09	177.53	161.02	99.43	38.12	283.05	127.89	121.79	89.51
CHEK1	96.01	126.12	77.25	66.65	37.32	68.07	45.21	29.06	38.12	50.63	54.33	31.22	27.05	73.03	21.32	45.85	47.17	21.47	25.72	27.44	40.64	32.82	47.5	21.78	29.27	81.71	19.68	40.07	17.25	63.45	130.6	205.5	186.4	275.28	231.32	307.69	149.12	348.71	507.46	490.14	633.73	275.28	563.18	620.67	226.54	175.07	684.02	532.74	361.04	232.94
CHRNA5	13.22	11.91	9.34	7.11	5.36	0.87	0.0	8.0	0.16	1.46	7.57	5.02	3.66	5.06	2.66	0.0	3.92	24.11	7.4	0.22	0.0	4.98	6.21	0.0	4.74	12.55	2.2	1.79	6.41	7.46	48.18	54.33	60.82	120.94	48.87	163.28	27.64	92.7	193.01	116.78	217.27	208.38	182.55	111.99	151.22	69.03	148.09	75.64	101.54	119.26
CKAP2	178.77	182.55	138.1	208.38	23.76	78.34	22.43	43.32	41.52	36.53	29.06	52.82	37.59	41.81	26.47	45.53	29.06	25.72	33.3	31.0	37.59	70.01	54.33	34.02	43.02	30.12	84.63	34.02	58.3	21.63	281.09	277.2	273.37	279.14	234.57	595.34	234.57	395.18	947.83	961.07	612.11	830.75	567.1	665.29	629.35	148.09	780.44	511.0	1008.9	309.83
CLSPN	36.01	52.08	13.83	30.56	0.67	1.83	0.0	0.31	4.1	0.31	0.0	0.33	2.92	0.71	0.0	1.57	0.34	0.28	3.92	0.0	4.35	6.01	1.5	0.33	4.54	3.63	6.73	3.08	0.38	0.75	31.22	177.53	88.26	79.45	58.3	97.36	64.34	239.52	316.37	231.32	191.67	371.22	279.14	186.4	76.71	37.32	166.73	112.77	82.87	162.14
CS	1508.65	2417.67	1794.29	1304.15	651.58	947.83	1159.07	2119.22	2090.03	1378.57	1044.52	1870.53	723.08	629.35	909.17	400.71	1104.13	529.06	723.08	902.89	902.89	571.05	2004.85	473.41	1030.12	981.29	1605.83	1216.75	555.41	974.5	2384.37	2997.45	2119.22	3372.43	2915.45	6983.79	2537.92	2976.74	3467.27	4736.79	4298.64	3540.14	3665.02	3982.99	3589.58	2835.7	3690.52	4388.98	4481.23	2935.74
DEPDC1	31.45	10.31	6.94	15.34	18.7	12.0	0.0	0.52	1.01	2.03	0.53	0.0	1.57	0.99	0.47	0.0	0.0	0.96	0.0	0.55	2.46	2.66	4.94	0.0	2.34	1.5	0.41	2.89	0.59	3.66	16.27	92.05	49.21	94.67	48.87	180.02	50.27	181.28	267.73	236.21	269.6	334.46	483.38	381.68	149.12	28.65	234.57	299.25	195.72	100.83
DLGAP5	47.5	39.22	19.39	26.47	2.23	6.26	0.0	1.3	0.73	2.92	0.75	1.35	3.0	1.79	0.0	3.47	0.0	4.86	0.0	0.0	1.79	4.21	9.63	4.21	1.71	1.27	3.76	6.41	2.73	0.0	40.07	209.84	108.14	412.0	71.0	323.03	109.66	291.04	470.14	397.93	426.57	444.72	571.05	497.0	265.87	59.13	753.83	323.03	486.75	208.38
DNA2	51.71	48.87	36.01	32.59	14.03	34.75	23.08	42.11	9.7	29.06	27.44	34.02	33.54	28.24	24.63	18.29	34.02	41.81	11.64	21.32	22.59	16.88	23.08	33.06	24.11	8.99	35.0	75.11	7.34	31.0	37.32	158.79	81.14	169.07	92.7	164.42	93.35	116.78	234.57	190.34	206.94	202.66	343.89	368.65	76.17	47.5	395.18	204.07	293.07	96.68
DNMT1	1151.06	842.36	769.69	579.04	145.02	320.8	149.12	218.79	267.73	267.73	181.28	127.0	127.0	129.69	182.55	161.02	195.72	145.02	172.65	189.02	277.2	255.0	255.0	167.9	244.57	253.23	142.01	281.09	62.12	212.78	1073.91	1605.83	1369.04	1417.35	1359.57	2148.82	1909.85	1745.2	2090.03	2400.97	2240.11	1662.49	1909.85	2720.15	1447.15	1127.35	3955.48	1832.01	2255.7	1313.23
DONSON	346.29	287.01	314.17	373.81	146.03	301.33	167.9	320.8	248.0	277.2	167.9	145.02	103.69	166.73	91.41	156.59	373.81	307.69	96.01	182.55	285.03	153.34	297.17	119.26	265.87	281.09	314.17	371.22	128.79	420.68	239.52	255.0	368.65	316.37	283.05	500.46	441.64	490.14	351.14	890.44	567.1	579.04	642.59	1001.93	647.07	228.13	854.13	493.56	579.04	460.44
DSCC1	85.82	49.91	45.53	29.48	15.34	23.59	7.11	8.13	7.22	16.63	17.51	5.45	4.46	14.24	10.88	7.17	18.7	26.28	10.16	11.13	16.51	12.64	14.45	8.06	13.42	12.27	7.22	10.79	1.68	13.32	35.0	140.04	128.79	149.12	91.41	125.24	84.04	169.07	368.65	275.28	444.72	325.29	329.84	334.46	186.4	78.34	226.54	150.17	470.14	113.56
E2F2	26.47	19.97	7.28	13.62	5.11	4.1	0.47	1.75	0.37	1.38	0.04	0.05	1.43	0.35	0.62	0.37	0.0	1.62	0.99	0.0	1.33	3.96	1.97	0.0	1.57	0.03	1.91	1.95	0.47	1.43	22.26	88.26	35.0	20.41	42.11	123.5	50.27	88.88	85.22	132.44	76.17	187.71	117.6	153.34	47.5	24.99	94.01	64.34	156.59	87.65
ECT2	293.07	147.06	93.35	66.18	17.9	38.67	7.28	5.45	18.7	21.94	16.27	1.95	3.17	15.22	2.43	7.11	24.99	17.0	17.77	5.11	36.01	38.67	13.93	11.04	35.5	2.36	19.53	21.01	11.04	12.74	183.82	684.02	587.13	1359.57	392.44	791.35	583.07	1259.69	1583.71	1991.0	1617.0	2935.74	2502.97	1388.16	1447.15	228.13	1963.57	1096.5	2240.11	1175.27
