	TCGA.PQ.A6FI.01A.11R.A31N.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.C5.A7CO.01A.11R.A352.07	TCGA.LP.A7HU.01A.11R.A33Z.07	TCGA.EA.A3QD.01A.32R.A22U.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	GTEX.11WQK.2926.SM.5EQKT	TCGA.N5.A59F.01A.11R.A28V.07
C1orf159	190.34	303.44	346.29	371.22	346.29	587.13	420.68	358.54	122.64	249.73	121.79	262.2	279.14	157.68	231.32	204.07	141.02	212.78	119.26	753.83
C4orf27	1104.13	403.5	878.17	503.95	633.73	1073.91	723.08	293.07	312.0	454.09	157.68	341.51	293.07	279.14	480.04	265.87	301.33	379.04	220.32	808.0
C9orf53	4.28	0.0	7.17	45.53	29.27	20.11	9.56	16.27	1.73	1.93	10.63	0.0	0.0	3.53	5.06	5.63	0.0	0.0	0.0	17.9
CCDC34	555.41	414.87	571.05	206.94	532.74	339.14	928.3	131.51	149.12	279.14	75.64	143.01	43.02	126.12	85.82	229.72	108.14	175.07	66.18	387.02
CCDC58	1977.24	896.64	2451.44	1594.73	1417.35	1447.15	1806.78	872.1	529.06	995.0	603.67	981.29	312.0	563.18	708.18	612.11	301.33	775.05	239.52	1498.22
CDK11B	866.07	575.03	1519.15	1407.55	1191.69	1721.16	1175.27	1159.07	651.58	884.29	638.15	896.64	693.58	1066.48	802.41	693.58	647.07	1044.52	785.88	2335.28
CDKN2A	6471.02	320.8	6121.9	8134.41	8718.32	6652.97	4769.75	5791.62	165.57	665.29	3639.7	2417.67	255.0	507.46	438.59	198.47	9.56	28.04	45.85	2287.2
CENPH	567.1	698.41	974.5	536.45	1135.2	759.08	638.15	669.92	170.25	201.25	152.28	202.66	81.14	157.68	158.79	135.24	128.79	234.57	71.5	759.08
CENPK	444.72	387.02	392.44	305.55	974.5	473.41	438.59	616.37	76.71	118.43	69.03	121.79	48.18	66.18	156.59	61.25	48.87	172.65	14.03	303.44
CHTOP	1936.53	1709.26	2303.12	1769.57	1991.0	2976.74	1769.57	1628.26	842.36	1233.75	647.07	819.3	878.17	1135.2	1286.18	1183.45	748.61	1350.18	571.05	1977.24
COMMD4	3349.13	1340.84	3257.52	2178.83	3564.78	3443.31	4481.23	4481.23	1143.1	1467.37	896.64	1781.89	1030.12	1233.75	1572.76	1819.35	1104.13	2319.15	379.04	4010.71
COPS7B	703.28	327.56	738.29	633.73	988.12	981.29	638.15	802.41	376.41	400.71	273.37	366.09	228.13	412.0	507.46	521.76	303.44	426.57	214.27	974.5
COQ7	480.04	131.51	373.81	204.07	595.34	343.89	363.56	273.37	194.36	339.14	165.57	371.22	110.43	171.45	202.66	236.21	132.44	262.2	96.68	379.04
COX19	157.68	132.44	239.52	204.07	204.07	161.02	166.73	175.07	77.25	126.12	67.12	122.64	66.65	117.6	97.36	144.01	75.64	111.21	106.63	271.48
COX20	1870.53	511.0	1781.89	848.22	1066.48	1832.01	1605.83	532.74	791.35	642.59	417.77	684.02	454.09	638.15	753.83	629.35	536.45	591.22	283.05	2351.53
CTD-2510F5.6	167.9	75.11	164.42	98.04	107.38	269.6	271.48	26.1	69.03	152.28	13.72	122.64	79.45	75.11	59.55	74.06	62.56	79.45	32.59	214.27
CYP2D6	15.11	105.89	47.17	75.64	215.77	96.01	32.36	18.84	0.89	25.17	3.41	16.63	31.67	4.9	9.2	3.82	2.68	3.79	5.96	29.06
DAZAP1	4639.29	2193.99	1685.71	3847.29	3589.58	5147.73	2935.74	4769.75	2384.37	3124.78	2119.22	3491.39	1561.89	2997.45	2720.15	2240.11	1769.57	3257.52	1832.01	3349.13
DNAJC19	1709.26	289.02	1437.15	1119.56	1617.0	1199.98	1950.0	791.35	503.95	830.75	490.14	909.17	387.02	358.54	543.96	536.45	356.05	620.67	379.04	1457.23
DROSHA	1313.23	563.18	1066.48	1378.57	1639.59	1844.76	1304.15	1023.0	327.56	603.67	363.56	693.58	426.57	579.04	595.34	567.1	307.69	693.58	109.66	3146.52
ENOSF1	1191.69	679.29	934.76	813.63	921.88	718.08	1519.15	358.54	273.37	819.3	256.78	454.09	656.11	612.11	518.15	503.95	392.44	371.22	193.01	2502.97
ENTHD2	384.34	218.79	392.44	547.75	802.41	759.08	780.44	612.11	153.34	511.0	183.82	470.14	412.0	217.27	299.25	260.38	145.02	323.03	100.13	1111.82
ERCC3	764.36	426.57	698.41	684.02	595.34	825.0	738.29	583.07	314.17	638.15	353.59	896.64	521.76	607.87	555.41	599.49	438.59	624.99	346.29	961.07
EXOSC10	1104.13	473.41	2075.59	1467.37	1104.13	2018.8	1662.49	1199.98	718.08	884.29	563.18	884.29	656.11	915.51	988.12	884.29	642.59	1119.56	420.68	1359.57
EXOSC8	769.69	518.15	1313.23	928.3	967.76	1378.57	780.44	830.75	412.0	540.19	275.28	343.89	299.25	525.39	575.03	607.87	316.37	743.43	309.83	2384.37
FAM50A	1870.53	884.29	2287.2	3325.99	2032.85	2895.31	3901.01	1529.73	848.22	1359.57	915.51	1561.89	1096.5	1143.1	1277.29	656.11	961.07	1407.55	638.15	3018.3
FANCA	995.0	429.54	921.88	1519.15	854.13	941.27	1540.37	679.29	132.44	291.04	137.14	248.0	209.84	177.53	193.01	217.27	69.03	271.48	39.79	733.19
GMNN	1359.57	884.29	1350.18	890.44	928.3	1417.35	1378.57	988.12	312.0	679.29	231.32	450.94	176.29	220.32	579.04	612.11	379.04	684.02	209.84	785.88
GOLGA8B	211.31	62.12	279.14	287.01	454.09	336.79	299.25	277.2	5.87	277.2	7.28	176.29	199.85	109.66	293.07	63.89	31.45	69.52	12.27	995.0
GRK6	921.88	607.87	651.58	808.0	995.0	909.17	764.36	1340.84	432.53	351.14	575.03	323.03	356.05	633.73	511.0	571.05	511.0	738.29	748.61	934.76
HARS2	616.37	366.09	595.34	497.0	638.15	567.1	567.1	525.39	327.56	346.29	320.8	285.03	389.72	435.55	373.81	521.76	253.23	450.94	205.5	878.17
HMGB1	9344.14	4869.99	12943.04	7803.01	8538.88	13215.02	9409.14	12943.04	5441.3	5147.73	4769.75	4210.15	2720.15	5041.77	5076.84	6840.04	4123.49	8134.41	2664.15	19618.49
HMGB2	16045.82	4152.18	10959.3	3395.89	6652.97	10440.2	12244.81	3639.7	1286.18	1950.0	1059.11	1674.06	848.22	1268.46	2090.03	2555.58	1073.91	3168.41	432.53	5995.9
HMGN2	22535.88	10659.59	28525.2	17078.76	23009.42	31215.04	24490.61	20593.91	5555.65	7966.99	5751.61	11035.54	3847.29	6250.56	6935.54	8191.0	5255.91	12853.63	1498.22	23492.92
HNRNPA2B1	17558.94	10154.69	17317.18	16727.26	17681.08	18431.96	20593.91	15499.21	11189.6	11664.82	8247.98	13033.07	6164.49	13586.57	10296.45	10883.59	8247.98	12676.65	5112.16	21468.49
HSPB11	785.88	444.72	1662.49	1331.57	1427.22	1242.34	1674.06	909.17	536.45	444.72	301.33	698.41	384.34	486.75	703.28	493.56	454.09	764.36	260.38	1407.55
KRT17	363097.14	4953441.24	365622.68	226632.25	33922.56	24490.61	19482.97	309589.14	971597.0	542775.98	462789.59	716197.51	701458.36	565825.41	645473.24	632189.57	912837.43	546551.29	472513.8	4095.0
LAGE3	753.83	738.29	1225.22	1350.18	1199.98	2104.58	1551.09	363.56	307.69	624.99	397.93	660.68	205.5	358.54	332.14	403.5	366.09	441.64	151.22	961.07
LIG1	718.08	825.0	1295.13	1457.23	3039.3	4298.64	1870.53	1322.37	447.82	587.13	316.37	309.83	325.29	318.57	490.14	563.18	283.05	1023.0	55.49	1697.45
LIN9	152.28	90.14	255.0	72.01	136.19	159.9	115.16	107.38	44.57	65.26	44.25	49.91	31.22	59.55	69.03	62.56	35.0	70.01	13.52	120.1
LRRC45	473.41	470.14	860.08	466.88	693.58	698.41	764.36	287.01	170.25	289.02	91.41	214.27	139.07	130.6	205.5	161.02	143.01	305.55	38.95	902.89
MAGOH	2075.59	1242.34	4038.61	2739.08	3395.89	3742.05	3443.31	2855.44	1066.48	1508.65	941.27	1832.01	698.41	1594.73	1208.34	1407.55	791.35	1883.54	1407.55	3716.2
MITD1	854.13	595.34	1073.91	836.53	941.27	1104.13	1417.35	723.08	309.83	599.49	289.02	785.88	595.34	595.34	624.99	612.11	368.65	860.08	185.11	1685.71
MRPL47	2287.2	947.83	2434.5	2287.2	2384.37	2255.7	2384.37	1407.55	791.35	1286.18	1183.45	1857.6	748.61	878.17	995.0	884.29	723.08	1208.34	1096.5	3491.39
NAA38	2163.77	884.29	1088.92	1388.16	1583.71	1467.37	2351.53	1127.35	708.18	1073.91	536.45	842.36	490.14	988.12	909.17	884.29	660.68	1183.45	1359.57	1662.49
NCAPH2	1199.98	808.0	1313.23	1950.0	2417.67	3190.46	1870.53	1487.87	665.29	529.06	1159.07	511.0	567.1	909.17	796.86	1051.79	480.04	633.73	460.44	1407.55
NEK2	624.99	208.38	684.02	339.14	441.64	679.29	454.09	358.54	116.78	110.43	97.36	169.07	17.25	103.69	104.42	209.84	46.84	249.73	32.13	466.88
NFATC2IP	928.3	358.54	713.11	915.51	718.08	536.45	854.13	567.1	256.78	514.56	253.23	723.08	395.18	432.53	343.89	371.22	260.38	441.64	226.54	384.34
NOL11	1572.76	583.07	1467.37	967.76	1437.15	1651.0	1350.18	674.59	536.45	974.5	457.25	1340.84	387.02	718.08	819.3	713.11	392.44	884.29	543.96	7695.57
NUF2	796.86	248.0	656.11	295.11	406.31	500.46	708.18	417.77	51.71	141.02	78.34	144.01	24.11	74.58	118.43	176.29	50.27	211.31	30.56	684.02
NUP85	2502.97	693.58	2367.9	1605.83	2895.31	2591.27	3081.75	1498.22	624.99	1359.57	684.02	1407.55	688.78	743.43	1015.93	954.43	583.07	928.3	507.46	1508.65
PIF1	507.46	102.97	133.36	155.5	262.2	532.74	423.61	381.68	9.13	90.77	21.78	72.01	46.84	31.9	155.5	49.91	8.13	99.43	4.39	521.76
POLD1	1191.69	785.88	1059.11	1697.45	2777.33	2997.45	1936.53	1605.83	518.15	775.05	514.56	473.41	429.54	638.15	915.51	733.19	387.02	915.51	563.18	2997.45
POLR2H	4419.52	1844.76	4671.57	2976.74	3212.66	3847.29	3928.15	2682.69	1081.39	1639.59	1199.98	1551.09	1397.83	1208.34	1923.14	1733.13	836.53	1721.16	1662.49	4152.18
PPOX	251.48	151.22	358.54	343.89	320.8	723.08	679.29	307.69	108.14	173.85	63.0	130.6	111.99	182.55	154.42	157.68	83.45	198.47	57.08	1096.5
PSMC3IP	457.25	234.57	669.92	392.44	848.22	647.07	429.54	417.77	122.64	197.09	96.68	332.14	44.25	76.17	166.73	224.97	63.89	181.28	18.03	420.68
PSMC5	5112.16	2895.31	5006.93	3716.2	5183.54	4268.94	5995.9	3303.0	3419.52	4607.24	2645.74	6426.31	3018.3	3443.31	3349.13	3847.29	3372.43	3280.18	2119.22	4210.15
PXMP2	872.1	441.64	1242.34	733.19	860.08	1397.83	713.11	1081.39	314.17	217.27	236.21	518.15	87.65	231.32	307.69	376.41	234.57	392.44	187.71	669.92
RAD51C	647.07	543.96	1008.9	591.22	743.43	785.88	1457.23	503.95	218.79	351.14	162.14	363.56	119.26	249.73	277.2	285.03	232.94	389.72	125.24	713.11
RBCK1	3395.89	1639.59	2004.85	2682.69	3847.29	2133.97	3103.19	1051.79	954.43	1674.06	1151.06	1832.01	1674.06	1437.15	1286.18	1519.15	954.43	3395.89	947.83	4123.49
RFXAP	48.87	10.31	69.03	76.71	94.01	137.14	78.89	41.22	17.38	31.67	15.22	30.12	19.68	23.93	29.7	18.7	17.38	35.25	17.51	178.77
RHEBL1	258.57	38.12	85.22	182.55	125.24	208.38	161.02	57.49	19.82	25.91	26.1	68.07	19.25	18.84	14.78	19.53	14.14	55.49	5.96	100.83
RNASEH2A	1467.37	1259.69	1313.23	1662.49	1923.14	2976.74	2502.97	1437.15	633.73	836.53	429.54	728.11	176.29	511.0	688.78	1111.82	473.41	928.3	85.82	2061.24
RNASEH2B	693.58	251.48	928.3	934.76	854.13	1467.37	941.27	769.69	241.19	253.23	273.37	220.32	173.85	312.0	285.03	307.69	237.86	579.04	197.09	981.29
RPP30	1199.98	629.35	1233.75	1159.07	808.0	1806.78	1639.59	1051.79	318.57	693.58	547.75	842.36	444.72	748.61	738.29	518.15	543.96	974.5	285.03	2193.99
SFI1	185.11	255.0	224.97	432.53	583.07	698.41	713.11	312.0	57.08	211.31	65.26	116.78	204.07	102.97	172.65	93.35	43.02	107.38	122.64	974.5
SKA2	2701.35	1340.84	1950.0	1709.26	2573.36	1757.34	2701.35	1199.98	656.11	1030.12	693.58	1295.13	579.04	555.41	872.1	1135.2	703.28	1216.75	204.07	1662.49
SLC2A4RG	2075.59	1447.15	2956.17	2119.22	2627.46	1250.98	1350.18	3146.52	884.29	813.63	775.05	866.07	866.07	1378.57	1008.9	1015.93	1191.69	1378.57	575.03	4419.52
SMARCAL1	409.15	260.38	305.55	316.37	224.97	356.05	228.13	275.28	202.66	169.07	148.09	180.02	150.17	204.07	205.5	307.69	170.25	267.73	95.34	289.02
SMPD4	1794.29	532.74	967.76	1225.22	1331.57	2061.24	1540.37	1135.2	733.19	796.86	629.35	1167.14	607.87	825.0	947.83	848.22	723.08	1259.69	555.41	2224.63
SPAG5	6337.83	332.14	1066.48	1008.9	1757.34	2209.26	1467.37	651.58	153.34	493.56	253.23	423.61	167.9	189.02	346.29	500.46	132.44	514.56	111.21	1477.58
SRRT	2915.45	1674.06	2193.99	2520.38	2956.17	4328.55	3081.75	2255.7	1111.82	1721.16	842.36	1191.69	1250.98	1119.56	1561.89	1437.15	830.75	1407.55	934.76	3690.52
SRSF7	4836.35	1832.01	5594.3	4066.71	3639.7	5594.3	4769.75	3419.52	1498.22	2178.83	1199.98	2163.77	1397.83	1757.34	2119.22	1628.26	1015.93	2976.74	1572.76	5112.16
STK36	171.45	135.24	223.41	249.73	348.71	583.07	165.57	181.28	72.01	156.59	33.78	127.89	182.55	94.67	166.73	84.63	90.14	105.89	28.65	1081.39
SUMO2	8901.53	8479.89	14663.09	6887.62	9740.98	9606.86	11504.21	7966.99	5292.48	5711.87	4836.35	7180.15	5555.65	5791.62	4769.75	5403.7	4972.34	8191.0	3955.48	8191.0
SUV39H1	543.96	86.43	341.51	273.37	339.14	500.46	559.28	318.57	89.51	141.02	105.15	58.71	35.25	102.97	125.24	190.34	52.82	170.25	15.91	642.59
TBCA	9808.75	4607.24	6294.04	6426.31	7230.1	6250.56	12244.81	4328.55	3794.3	5366.37	5292.48	4481.23	4481.23	4298.64	4481.23	3395.89	4903.87	4972.34	2777.33	7749.1
THOC1	791.35	351.14	775.05	825.0	928.3	1088.92	1059.11	473.41	204.07	463.65	128.79	373.81	356.05	387.02	454.09	307.69	171.45	432.53	215.77	1674.06
THOP1	1044.52	392.44	1498.22	1081.39	1259.69	1896.65	1127.35	1167.14	759.08	896.64	483.38	660.68	387.02	961.07	860.08	909.17	583.07	896.64	291.04	1225.22
THYN1	733.19	409.15	884.29	1119.56	1304.15	2047.0	1081.39	866.07	406.31	476.71	264.03	591.22	251.48	409.15	417.77	251.48	363.56	708.18	136.19	1923.14
TRMT10B	63.0	96.01	98.04	121.79	228.13	112.77	195.72	85.22	49.91	108.14	50.63	96.68	43.32	51.35	74.06	48.87	45.85	57.49	46.84	108.9
TRMU	651.58	361.04	599.49	872.1	780.44	954.43	1073.91	551.56	255.0	518.15	392.44	353.59	316.37	232.94	450.94	379.04	206.94	341.51	444.72	902.89
U2AF1	6516.03	2537.92	4419.52	4123.49	6471.02	6516.03	5147.73	5555.65	2417.67	2520.38	1883.54	3443.31	1896.65	2075.59	2384.37	1806.78	1757.34	3639.7	5219.6	8022.41
UBE2T	1551.09	521.76	1467.37	1081.39	1331.57	1639.59	1572.76	723.08	181.28	371.22	172.65	397.93	111.99	205.5	289.02	363.56	148.09	371.22	93.35	1407.55
UBXN11	202.66	181.28	1127.35	1044.52	1135.2	1447.15	1508.65	454.09	128.79	154.42	151.22	223.41	126.12	115.97	172.65	146.03	102.97	202.66	35.0	947.83
UMPS	1674.06	486.75	1540.37	1477.58	718.08	1407.55	759.08	884.29	825.0	902.89	483.38	808.0	503.95	660.68	780.44	563.18	563.18	1008.9	490.14	743.43
USP21	507.46	318.57	638.15	441.64	503.95	665.29	764.36	441.64	242.88	379.04	177.53	320.8	215.77	305.55	291.04	353.59	249.73	334.46	133.36	896.64
WDR70	595.34	277.2	571.05	674.59	961.07	1159.07	607.87	775.05	285.03	303.44	176.29	532.74	214.27	339.14	281.09	260.38	251.48	358.54	92.05	1096.5
WRAP73	351.14	323.03	1008.9	872.1	780.44	1066.48	836.53	368.65	237.86	473.41	211.31	536.45	392.44	466.88	447.82	323.03	244.57	571.05	334.46	848.22
ZNF133	358.54	224.97	320.8	325.29	591.22	497.0	426.57	181.28	156.59	356.05	120.94	409.15	341.51	176.29	253.23	220.32	178.77	348.71	93.35	612.11
ZNF768	575.03	406.31	651.58	587.13	1242.34	796.86	802.41	642.59	253.23	400.71	242.88	412.0	195.72	305.55	325.29	470.14	194.36	486.75	217.27	1295.13
