	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FY.A3W9.01A.11R.A22L.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
DVL1	108.9	163.28	141.02	187.71	1709.26	1191.69	1183.45	1059.11	1407.55	1044.52	1519.15	1242.34	921.88	1037.29	2090.03	1151.06	1143.1	947.83	323.03	490.14	884.29	567.1	842.36	684.02	629.35	656.11	237.86	348.71	529.06	866.07	1037.29	591.22	866.07	733.19	780.44	638.15	703.28	651.58	450.94	1023.0	836.53	872.1	674.59	791.35	629.35	819.3	320.8	988.12	718.08	764.36	638.15	708.18	679.29	486.75	813.63	708.18	543.96	738.29	669.92	368.65	616.37	620.67	713.11	974.5	884.29	825.0	483.38
E4F1	71.0	94.67	88.88	155.5	1081.39	825.0	764.36	728.11	928.3	934.76	718.08	909.17	764.36	728.11	1151.06	708.18	896.64	665.29	262.2	348.71	638.15	563.18	547.75	514.56	460.44	346.29	329.84	255.0	476.71	620.67	665.29	511.0	547.75	532.74	583.07	473.41	525.39	571.05	473.41	575.03	656.11	514.56	497.0	438.59	480.04	708.18	339.14	813.63	507.46	486.75	540.19	612.11	463.65	336.79	441.64	532.74	500.46	514.56	603.67	376.41	571.05	551.56	567.1	529.06	638.15	595.34	395.18
ENTHD2	124.37	86.43	83.45	129.69	842.36	753.83	915.51	693.58	743.43	890.44	785.88	941.27	748.61	656.11	1268.46	612.11	575.03	551.56	287.01	223.41	684.02	403.5	638.15	397.93	363.56	435.55	177.53	273.37	273.37	529.06	764.36	457.25	559.28	358.54	368.65	429.54	368.65	500.46	368.65	603.67	769.69	629.35	429.54	353.59	303.44	679.29	234.57	567.1	384.34	457.25	525.39	466.88	351.14	281.09	438.59	466.88	447.82	450.94	486.75	255.0	397.93	473.41	591.22	518.15	603.67	438.59	241.19
FAM160B2	518.15	305.55	119.26	156.59	2047.0	1963.57	2047.0	1950.0	1662.49	2351.53	1508.65	1617.0	1896.65	1662.49	2627.46	1369.04	1417.35	1477.58	791.35	759.08	1437.15	1023.0	1388.16	902.89	878.17	830.75	642.59	785.88	836.53	1350.18	1242.34	981.29	1175.27	1199.98	1059.11	1023.0	1001.93	1088.92	902.89	1268.46	1322.37	1369.04	1322.37	1073.91	748.61	1437.15	660.68	1066.48	928.3	872.1	1096.5	1008.9	1030.12	909.17	1199.98	941.27	872.1	890.44	1111.82	708.18	981.29	954.43	1225.22	1498.22	1167.14	1242.34	830.75
FBXL19	84.63	119.26	11.91	19.97	358.54	299.25	253.23	258.57	239.52	258.57	303.44	217.27	269.6	256.78	540.19	242.88	182.55	289.02	108.14	158.79	246.28	130.6	246.28	197.09	197.09	148.09	105.15	144.01	113.56	164.42	305.55	202.66	224.97	248.0	194.36	221.86	148.09	181.28	137.14	220.32	214.27	161.02	226.54	177.53	159.9	277.2	114.36	214.27	181.28	169.07	244.57	206.94	152.28	157.68	211.31	223.41	172.65	185.11	153.34	156.59	146.03	197.09	193.01	171.45	239.52	241.19	139.07
FBXL6	81.71	114.36	120.1	120.94	423.61	371.22	366.09	373.81	387.02	381.68	612.11	353.59	389.72	371.22	486.75	358.54	283.05	265.87	153.34	151.22	381.68	191.67	248.0	221.86	180.02	143.01	119.26	149.12	175.07	295.11	256.78	262.2	197.09	220.32	228.13	205.5	176.29	251.48	165.57	343.89	373.81	223.41	228.13	226.54	197.09	323.03	158.79	332.14	182.55	275.28	339.14	246.28	173.85	164.42	209.84	218.79	239.52	256.78	215.77	198.47	186.4	195.72	267.73	287.01	329.84	220.32	182.55
FBXL8	49.21	20.26	29.7	34.26	371.22	417.77	529.06	381.68	438.59	457.25	373.81	529.06	429.54	332.14	555.41	329.84	412.0	305.55	105.15	139.07	255.0	131.51	204.07	169.07	154.42	163.28	53.57	103.69	152.28	329.84	241.19	183.82	239.52	221.86	191.67	151.22	130.6	299.25	153.34	244.57	327.56	249.73	275.28	150.17	206.94	373.81	96.01	206.94	131.51	138.1	167.9	176.29	166.73	90.77	201.25	171.45	169.07	229.72	226.54	64.8	131.51	189.02	204.07	208.38	194.36	264.03	108.9
FLAD1	392.44	373.81	389.72	490.14	1151.06	780.44	769.69	791.35	1023.0	785.88	884.29	878.17	780.44	791.35	1051.79	759.08	848.22	802.41	432.53	493.56	769.69	603.67	587.13	511.0	466.88	447.82	454.09	473.41	547.75	669.92	688.78	591.22	638.15	791.35	575.03	665.29	563.18	656.11	620.67	575.03	698.41	480.04	723.08	507.46	651.58	718.08	493.56	785.88	599.49	733.19	759.08	674.59	532.74	575.03	571.05	743.43	507.46	679.29	665.29	571.05	591.22	532.74	540.19	532.74	743.43	647.07	624.99
GAK	575.03	525.39	679.29	638.15	1769.57	1832.01	2148.82	1883.54	2367.9	2090.03	2434.5	2224.63	2047.0	1977.24	1923.14	1662.49	2351.53	1709.26	547.75	941.27	2148.82	1199.98	1417.35	1167.14	1286.18	1081.39	934.76	830.75	1199.98	1359.57	1721.16	1340.84	1369.04	1322.37	1304.15	1225.22	1096.5	1322.37	1088.92	1427.22	1674.06	1709.26	1151.06	1477.58	1143.1	1733.13	713.11	1883.54	1127.35	1519.15	1397.83	1216.75	1059.11	1001.93	1322.37	1685.71	1304.15	1331.57	1295.13	961.07	1447.15	1233.75	1617.0	1594.73	1268.46	1561.89	1104.13
GPS1	551.56	842.36	1023.0	1242.34	2720.15	2451.44	2148.82	2032.85	2468.49	2384.37	2468.49	2739.08	2335.28	2271.4	2956.17	2133.97	2537.92	2303.12	1175.27	1844.76	2384.37	1977.24	1950.0	1936.53	2271.4	2075.59	1322.37	1561.89	1721.16	2739.08	2400.97	1757.34	2193.99	2104.58	2417.67	1923.14	1662.49	1950.0	1697.45	2627.46	2520.38	2090.03	2271.4	2335.28	2061.24	2255.7	1447.15	2434.5	1950.0	2271.4	1909.85	2367.9	1477.58	1457.23	1769.57	2434.5	1923.14	2224.63	1721.16	1519.15	1794.29	1950.0	2047.0	1950.0	2485.67	2287.2	1883.54
GTF3C5	518.15	406.31	258.57	312.0	1208.34	1104.13	1104.13	1175.27	1096.5	1242.34	1143.1	1119.56	1096.5	1151.06	1199.98	1015.93	947.83	941.27	775.05	679.29	1340.84	759.08	1037.29	808.0	878.17	775.05	753.83	769.69	703.28	1268.46	842.36	848.22	974.5	723.08	872.1	947.83	733.19	902.89	775.05	1015.93	1119.56	995.0	884.29	896.64	836.53	1135.2	669.92	974.5	718.08	738.29	902.89	915.51	791.35	620.67	775.05	878.17	785.88	764.36	764.36	629.35	785.88	796.86	941.27	884.29	1143.1	995.0	688.78
HDGFRP2	285.03	470.14	287.01	409.15	1467.37	1175.27	1427.22	928.3	1096.5	1167.14	1639.59	1175.27	1191.69	1277.29	1286.18	1175.27	1167.14	1127.35	703.28	934.76	1350.18	785.88	947.83	842.36	995.0	802.41	500.46	571.05	674.59	1059.11	941.27	872.1	808.0	947.83	1111.82	753.83	703.28	1044.52	813.63	1096.5	1159.07	860.08	1066.48	896.64	825.0	1183.45	583.07	961.07	738.29	1015.93	830.75	909.17	684.02	514.56	698.41	995.0	866.07	915.51	896.64	603.67	579.04	769.69	1008.9	884.29	1167.14	1030.12	684.02
HGS	967.76	1159.07	612.11	674.59	2701.35	2384.37	2976.74	2032.85	2335.28	2367.9	3540.14	3039.3	2627.46	2163.77	2855.44	2032.85	2664.15	1936.53	1594.73	1088.92	2758.13	1832.01	1757.34	1447.15	1487.87	1096.5	1191.69	1111.82	1674.06	1709.26	2032.85	1437.15	1651.0	1685.71	1498.22	1417.35	1721.16	1617.0	1447.15	1794.29	2163.77	1991.0	1617.0	1561.89	1331.57	2075.59	1037.29	2319.15	1437.15	1594.73	1769.57	1617.0	1745.2	1540.37	1359.57	1583.71	1662.49	1551.09	1674.06	1331.57	1437.15	1378.57	1883.54	1745.2	2032.85	1806.78	1175.27
