	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	TCGA.EM.A22M.01A.11R.A32Y.07
C10orf118	154.42	341.51	368.65	125.24	201.25	103.69	117.6	228.13	204.07	120.94	220.32	84.04	205.5	128.79	181.28	273.37	161.02	249.73	334.46	295.11	237.86	156.59	122.64	285.03	173.85	121.79	180.02	281.09	169.07	199.85	156.59	397.93	169.07	189.02	85.22	215.77	180.02	199.85	163.28	114.36	132.44	329.84	115.16	309.83	237.86	159.9	154.42	217.27	195.72	214.27	332.14	163.28	166.73	299.25	234.57	139.07	237.86	329.84	180.02	244.57	98.73	185.11	236.21	127.0	214.27	246.28	295.11	119.26	208.38	121.79	123.5	224.97	187.71	406.31	218.79	182.55	151.22	212.78	228.13	100.83	318.57	176.29	289.02	314.17	206.94	177.53	271.48	177.53	171.45	260.38	121.79
C18orf25	159.9	258.57	275.28	178.77	255.0	154.42	172.65	232.94	223.41	159.9	305.55	116.78	237.86	171.45	194.36	334.46	199.85	260.38	295.11	287.01	277.2	165.57	166.73	258.57	137.14	169.07	217.27	329.84	248.0	244.57	260.38	314.17	209.84	231.32	145.02	220.32	190.34	236.21	205.5	137.14	173.85	285.03	165.57	316.37	277.2	178.77	185.11	244.57	215.77	221.86	305.55	217.27	251.48	293.07	226.54	195.72	267.73	275.28	193.01	301.33	163.28	189.02	234.57	180.02	244.57	267.73	265.87	198.47	201.25	159.9	181.28	226.54	197.09	289.02	228.13	205.5	197.09	248.0	241.19	153.34	305.55	182.55	339.14	246.28	316.37	201.25	264.03	202.66	231.32	251.48	156.59
CCNT1	94.67	206.94	450.94	145.02	134.3	132.44	111.21	172.65	148.09	101.54	175.07	77.79	157.68	129.69	138.1	253.23	153.34	181.28	204.07	251.48	189.02	135.24	138.1	202.66	155.5	131.51	148.09	231.32	137.14	146.03	101.54	283.05	145.02	156.59	107.38	199.85	148.09	162.14	153.34	80.57	124.37	248.0	77.25	232.94	195.72	119.26	134.3	152.28	148.09	172.65	255.0	142.01	135.24	249.73	199.85	131.51	172.65	244.57	163.28	221.86	100.13	123.5	185.11	101.54	178.77	191.67	253.23	122.64	140.04	101.54	111.21	186.4	149.12	329.84	175.07	142.01	143.01	183.82	166.73	122.64	236.21	127.89	223.41	232.94	134.3	146.03	198.47	123.5	115.97	197.09	118.43
CHD6	111.99	397.93	139.07	242.88	229.72	199.85	154.42	265.87	234.57	256.78	414.87	312.0	381.68	228.13	241.19	435.55	255.0	334.46	351.14	400.71	341.51	228.13	201.25	356.05	249.73	228.13	291.04	412.0	234.57	346.29	229.72	612.11	264.03	256.78	143.01	379.04	271.48	285.03	253.23	156.59	185.11	490.14	226.54	392.44	327.56	214.27	251.48	320.8	246.28	273.37	555.41	209.84	218.79	486.75	358.54	229.72	334.46	490.14	329.84	395.18	141.02	241.19	301.33	373.81	256.78	312.0	525.39	226.54	223.41	201.25	204.07	414.87	301.33	511.0	283.05	260.38	220.32	325.29	312.0	236.21	493.56	376.41	406.31	493.56	262.2	228.13	376.41	228.13	229.72	540.19	180.02
CHD9	202.66	579.04	995.0	202.66	212.78	150.17	198.47	271.48	267.73	167.9	366.09	115.16	291.04	165.57	176.29	318.57	178.77	265.87	339.14	346.29	312.0	150.17	111.21	373.81	218.79	180.02	232.94	301.33	177.53	275.28	125.24	547.75	194.36	271.48	121.79	318.57	239.52	269.6	208.38	156.59	146.03	356.05	162.14	392.44	353.59	158.79	209.84	273.37	217.27	236.21	351.14	190.34	199.85	387.02	297.17	147.06	307.69	301.33	223.41	273.37	124.37	242.88	334.46	187.71	224.97	327.56	429.54	155.5	189.02	123.5	164.42	285.03	220.32	511.0	297.17	256.78	189.02	316.37	299.25	167.9	379.04	180.02	423.61	379.04	221.86	197.09	373.81	182.55	226.54	323.03	172.65
CPEB4	155.5	457.25	860.08	117.6	190.34	182.55	103.69	258.57	195.72	66.18	314.17	70.51	157.68	127.89	120.1	176.29	121.79	205.5	301.33	303.44	295.11	159.9	94.01	255.0	211.31	162.14	186.4	262.2	209.84	221.86	183.82	260.38	194.36	163.28	84.04	128.79	157.68	125.24	187.71	79.45	414.87	224.97	122.64	205.5	264.03	217.27	98.73	164.42	153.34	187.71	314.17	149.12	137.14	346.29	189.02	152.28	307.69	279.14	138.1	185.11	132.44	134.3	291.04	111.99	267.73	332.14	343.89	90.77	180.02	178.77	208.38	218.79	144.01	271.48	126.12	176.29	163.28	176.29	208.38	139.07	435.55	151.22	412.0	239.52	158.79	164.42	305.55	100.83	208.38	267.73	140.04
CTDSPL2	91.41	429.54	329.84	146.03	161.02	120.1	104.42	226.54	155.5	104.42	244.57	78.34	190.34	106.63	141.02	244.57	159.9	201.25	237.86	260.38	199.85	117.6	111.21	242.88	180.02	120.94	199.85	262.2	148.09	214.27	119.26	309.83	166.73	144.01	88.26	206.94	167.9	162.14	133.36	100.13	130.6	289.02	105.15	251.48	209.84	115.97	159.9	166.73	177.53	186.4	271.48	136.19	142.01	307.69	208.38	121.79	221.86	234.57	173.85	208.38	105.15	120.94	236.21	121.79	202.66	236.21	312.0	127.0	147.06	115.97	121.79	262.2	193.01	373.81	220.32	153.34	154.42	194.36	165.57	102.97	275.28	127.89	339.14	281.09	120.94	138.1	251.48	115.97	157.68	231.32	106.63
CUL5	157.68	447.82	693.58	173.85	193.01	157.68	138.1	231.32	190.34	144.01	244.57	64.8	197.09	162.14	176.29	237.86	166.73	244.57	277.2	281.09	217.27	165.57	152.28	242.88	186.4	138.1	181.28	267.73	159.9	152.28	139.07	299.25	176.29	190.34	127.0	202.66	193.01	187.71	170.25	131.51	186.4	251.48	117.6	287.01	237.86	169.07	171.45	185.11	201.25	223.41	251.48	170.25	178.77	267.73	211.31	147.06	229.72	265.87	169.07	229.72	142.01	166.73	244.57	138.1	226.54	214.27	228.13	173.85	180.02	146.03	169.07	198.47	167.9	348.71	218.79	186.4	178.77	239.52	231.32	136.19	256.78	167.9	314.17	255.0	182.55	186.4	251.48	166.73	201.25	220.32	132.44
DCP1A	108.9	285.03	307.69	137.14	133.36	106.63	110.43	153.34	136.19	88.88	185.11	95.34	132.44	119.26	130.6	202.66	125.24	142.01	181.28	208.38	152.28	108.9	117.6	211.31	137.14	119.26	138.1	220.32	144.01	183.82	108.14	256.78	149.12	127.89	104.42	198.47	122.64	175.07	132.44	97.36	112.77	190.34	80.01	223.41	198.47	130.6	144.01	151.22	149.12	150.17	214.27	127.89	126.12	206.94	198.47	105.89	201.25	181.28	178.77	193.01	111.99	143.01	177.53	84.04	165.57	193.01	221.86	125.24	112.77	90.14	99.43	220.32	127.0	271.48	164.42	166.73	125.24	172.65	156.59	125.24	236.21	145.02	215.77	214.27	141.02	152.28	202.66	112.77	137.14	204.07	115.16
DENND6A	109.66	339.14	376.41	113.56	105.15	130.6	105.15	128.79	102.25	96.01	211.31	52.08	117.6	111.99	104.42	171.45	118.43	156.59	173.85	180.02	264.03	96.01	142.01	141.02	127.89	97.36	169.07	156.59	111.21	104.42	95.34	186.4	136.19	152.28	84.04	130.6	149.12	96.01	143.01	92.7	106.63	199.85	85.82	130.6	157.68	96.68	87.03	126.12	145.02	123.5	208.38	133.36	115.97	195.72	140.04	99.43	116.78	122.64	119.26	109.66	117.6	92.05	137.14	99.43	142.01	183.82	177.53	100.83	100.83	98.73	136.19	156.59	143.01	217.27	141.02	90.14	142.01	136.19	96.01	100.83	146.03	102.97	209.84	176.29	108.9	157.68	177.53	100.13	74.06	159.9	93.35
DNAJB4	198.47	860.08	599.49	353.59	260.38	295.11	229.72	264.03	358.54	146.03	532.74	121.79	384.34	283.05	273.37	483.38	221.86	536.45	376.41	591.22	579.04	291.04	246.28	341.51	303.44	249.73	507.46	450.94	267.73	229.72	583.07	423.61	400.71	406.31	173.85	275.28	307.69	334.46	334.46	137.14	205.5	483.38	159.9	406.31	361.04	389.72	289.02	368.65	212.78	387.02	514.56	287.01	271.48	444.72	346.29	221.86	353.59	555.41	373.81	387.02	173.85	241.19	400.71	176.29	435.55	371.22	551.56	348.71	264.03	172.65	429.54	536.45	325.29	1199.98	314.17	237.86	287.01	497.0	273.37	269.6	403.5	450.94	540.19	532.74	532.74	341.51	348.71	182.55	339.14	400.71	154.42
DNAJC27	36.27	142.01	44.25	45.53	40.36	43.94	26.47	47.17	52.08	35.25	76.17	18.97	65.26	55.49	38.67	72.52	43.32	76.17	65.26	87.03	55.89	40.64	53.95	85.22	44.57	44.25	60.39	59.97	50.63	55.1	36.01	90.77	64.34	51.71	33.78	58.71	48.52	48.18	45.53	19.68	39.5	105.89	30.34	68.07	77.79	50.98	51.71	56.28	55.49	48.87	87.65	43.32	34.75	90.14	69.03	38.4	66.18	96.68	67.12	59.55	45.53	45.85	61.68	33.78	70.01	79.45	73.54	38.95	45.85	29.48	48.87	69.03	60.39	115.97	35.25	55.89	54.72	76.71	64.8	41.52	93.35	76.71	73.54	75.64	38.95	51.71	57.49	29.7	40.64	96.01	43.32
DPP8	107.38	420.68	334.46	166.73	223.41	154.42	131.51	236.21	226.54	139.07	363.56	114.36	214.27	182.55	176.29	253.23	197.09	226.54	271.48	231.32	251.48	148.09	107.38	251.48	187.71	150.17	220.32	339.14	176.29	224.97	193.01	363.56	177.53	223.41	111.99	228.13	186.4	244.57	197.09	143.01	180.02	305.55	142.01	318.57	253.23	159.9	178.77	239.52	214.27	267.73	297.17	176.29	205.5	339.14	231.32	157.68	264.03	264.03	186.4	281.09	164.42	191.67	281.09	154.42	215.77	275.28	314.17	171.45	204.07	166.73	172.65	234.57	177.53	353.59	264.03	211.31	177.53	275.28	258.57	155.5	353.59	167.9	323.03	249.73	199.85	214.27	273.37	131.51	211.31	241.19	132.44
DYNC1LI2	1111.82	2645.74	2240.11	1088.92	1030.12	775.05	728.11	1259.69	1066.48	728.11	1540.37	607.87	1259.69	902.89	1111.82	1397.83	902.89	1350.18	1519.15	1572.76	1322.37	819.3	854.13	1286.18	1066.48	902.89	1191.69	1745.2	1037.29	1066.48	718.08	2004.85	1208.34	1183.45	536.45	1250.98	1225.22	1295.13	1088.92	660.68	830.75	1605.83	674.59	1467.37	1378.57	791.35	1151.06	1350.18	1127.35	1331.57	1757.34	540.19	909.17	1639.59	1457.23	941.27	1350.18	1594.73	1322.37	1407.55	909.17	961.07	1143.1	884.29	1313.23	1427.22	1991.0	941.27	988.12	708.18	902.89	1397.83	1001.93	2193.99	1127.35	1015.93	902.89	1487.87	1369.04	764.36	1844.76	1183.45	1529.73	1709.26	1037.29	1250.98	1508.65	854.13	995.0	1628.26	571.05
EPC2	325.29	480.04	642.59	318.57	406.31	260.38	231.32	358.54	303.44	239.52	384.34	218.79	392.44	249.73	283.05	483.38	314.17	432.53	476.71	490.14	387.02	255.0	231.32	336.79	289.02	236.21	426.57	441.64	323.03	353.59	256.78	470.14	285.03	323.03	186.4	389.72	348.71	327.56	281.09	228.13	191.67	463.65	237.86	470.14	417.77	273.37	299.25	332.14	358.54	348.71	417.77	301.33	291.04	447.82	397.93	249.73	392.44	447.82	318.57	381.68	307.69	348.71	376.41	244.57	346.29	361.04	463.65	273.37	285.03	221.86	273.37	441.64	403.5	575.03	363.56	301.33	281.09	426.57	363.56	187.71	441.64	297.17	463.65	483.38	295.11	339.14	381.68	239.52	264.03	414.87	291.04
