	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.ZF2S.2026.SM.5E461	GTEX.RWS6.1926.SM.47JXY	GTEX.XOT4.0726.SM.4GIAW	GTEX.XUJ4.1926.SM.4BOOV	GTEX.S341.1526.SM.4AD6K	GTEX.Q2AG.0326.SM.48U1O	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07
IRX6	0.0	2.14	4.7	4.58	0.39	6.46	2.71	10.39	15.56	1.66	0.0	25.35	42.11	59.13	16.27	8.78	10.08	17.38	12.0	137.14	198.47	31.0	4.43	0.0
LRRN4CL	2.61	11.82	35.76	42.11	0.0	11.91	2.12	115.16	51.35	5.54	1.73	341.51	473.41	181.28	136.19	44.25	301.33	191.67	165.57	353.59	376.41	258.57	108.9	0.0
MGP	39237.98	998912.34	1139523.1	736332.6	577714.63	569761.05	1196176.45	414208.18	623486.02	459592.86	687022.54	425853.18	453265.5	462789.59	408505.64	800198.39	585779.24	187950.38	1524599.69	242898.5	400098.69	338781.54	1308968.45	3419.52
MITF	46.18	29.27	75.11	159.9	50.63	120.1	85.82	175.07	50.63	73.54	14.45	229.72	503.95	267.73	139.07	73.03	295.11	620.67	169.07	647.07	836.53	150.17	87.65	0.0
MUSK	0.0	0.36	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.39	1.71	1.46	0.72	0.0	1.31	0.57	0.99	1.39	4.74	0.54	1.27	0.0
NBL1	2682.69	808.0	2875.3	1844.76	176.29	1883.54	403.5	2915.45	3060.45	285.03	2935.74	6294.04	3303.0	5995.9	3955.48	4066.71	8247.98	5555.65	4769.75	3690.52	21172.91	4607.24	3564.78	0.0
NMB	74.06	68.07	120.94	47.17	34.75	65.72	52.45	209.84	212.78	53.95	47.5	241.19	341.51	480.04	221.86	157.68	190.34	406.31	260.38	486.75	490.14	231.32	521.76	0.0
OMD	2.01	79.45	199.85	180.02	0.79	81.71	10.39	255.0	44.89	361.04	6.57	830.75	1135.2	368.65	341.51	100.83	575.03	718.08	483.38	1331.57	1175.27	136.19	450.94	0.0
PAPLN	59.97	35.5	98.04	156.59	23.25	165.57	36.79	244.57	155.5	35.25	51.35	256.78	346.29	248.0	244.57	167.9	368.65	947.83	147.06	660.68	1250.98	473.41	105.15	0.0
PCDHGA5	8.85	10.63	24.46	33.3	1.75	10.39	86.43	61.25	40.64	13.22	0.0	58.71	163.28	64.34	59.13	48.87	115.97	164.42	32.82	297.17	232.94	34.26	53.95	0.0
PDGFRL	42.11	232.94	603.67	529.06	24.28	363.56	723.08	1369.04	260.38	98.73	571.05	2664.15	3982.99	1529.73	1369.04	435.55	1909.85	1977.24	1757.34	3235.01	3168.41	902.89	555.41	0.0
PDPN	91.41	232.94	376.41	295.11	69.03	358.54	76.17	642.59	454.09	85.82	15.45	909.17	896.64	854.13	728.11	543.96	403.5	1295.13	336.79	1023.0	2104.58	438.59	974.5	414.87
PMEL	59.97	201.25	71.5	94.01	56.28	42.71	78.34	201.25	67.59	55.89	29.91	31.0	56.68	429.54	43.63	121.79	187.71	117.6	133.36	66.18	825.0	62.12	127.89	0.0
PRCD	23.08	3.53	24.28	18.7	7.57	7.46	11.04	92.7	21.16	5.63	15.34	44.89	82.29	63.89	59.13	48.87	41.52	260.38	23.25	141.02	224.97	48.52	24.46	0.0
PRKCA	1.93	8.25	19.53	35.25	25.35	21.94	9.78	84.04	33.54	6.36	6.06	148.09	215.77	124.37	59.13	59.13	139.07	325.29	137.14	175.07	334.46	59.97	20.86	0.0
PTGIS	20.56	50.63	96.68	165.57	1.41	117.6	11.3	279.14	99.43	22.59	5.82	884.29	2400.97	450.94	305.55	127.0	271.48	1304.15	267.73	1896.65	1551.09	237.86	146.03	62.12
PWWP2A	164.42	190.34	212.78	251.48	205.5	157.68	178.77	307.69	190.34	186.4	186.4	229.72	197.09	232.94	248.0	198.47	301.33	389.72	153.34	329.84	339.14	208.38	170.25	0.0
PXN	738.29	884.29	1096.5	1183.45	934.76	1540.37	1844.76	1721.16	1617.0	928.3	323.03	1896.65	2451.44	2018.8	1781.89	1896.65	1167.14	3901.01	1487.87	2777.33	4607.24	2104.58	1111.82	0.0
RECK	8.25	44.57	129.69	137.14	37.59	97.36	21.63	291.04	111.21	31.45	22.75	429.54	1208.34	366.09	277.2	187.71	486.75	842.36	265.87	1417.35	896.64	264.03	205.5	0.0
RP11-1070N10.3	3.06	3.08	2.86	2.78	5.82	9.78	1.66	13.52	0.0	0.67	0.67	17.77	68.55	29.06	16.75	2.58	12.27	41.22	8.19	79.45	44.57	7.4	11.47	0.0
RP11-3B7.1	2.2	3.86	2.92	3.56	0.39	0.78	2.03	11.82	5.96	1.01	1.33	3.06	21.01	11.13	1.51	5.77	25.17	28.04	8.25	31.45	46.18	16.27	2.94	0.0
SCARA5	0.37	4.82	17.25	98.04	0.0	6.01	0.0	297.17	45.21	13.22	1.33	2240.11	2061.24	466.88	529.06	234.57	775.05	1286.18	82.29	13123.73	4575.41	921.88	567.1	35.25
SCGB1D1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12	3.26	0.0	0.0	0.0	3.2	0.0	0.0	3.23	0.0	14.35	0.0
SCN9A	0.0	1.62	4.39	2.94	0.61	1.35	0.92	6.89	2.97	1.19	0.59	12.83	24.28	15.91	6.73	7.4	21.47	14.78	11.91	18.29	24.46	12.27	3.86	0.0
SCRG1	0.6	1.33	1.04	4.98	0.96	1.39	0.65	41.52	92.05	0.32	3.03	11.91	30.12	23.42	28.86	41.81	57.49	17.38	35.76	42.71	329.84	24.46	23.76	0.0
SH3PXD2B	223.41	265.87	493.56	432.53	149.12	224.97	206.94	603.67	728.11	543.96	293.07	753.83	830.75	563.18	429.54	447.82	759.08	1151.06	336.79	1295.13	2573.36	813.63	363.56	0.0
SLC1A7	0.0	2.94	5.23	8.65	0.79	2.71	1.81	15.0	6.57	1.43	0.0	46.5	112.77	21.16	15.45	10.47	48.52	87.03	8.32	78.89	92.05	29.7	9.13	0.0
SLC30A3	0.64	0.72	3.89	1.41	1.33	5.63	9.56	0.73	4.13	0.97	0.0	2.56	1.3	11.3	7.22	2.12	6.11	14.56	3.76	2.73	11.47	4.28	0.83	0.0
SLC8A3	0.6	3.66	1.39	3.38	0.33	0.71	0.0	7.4	2.03	0.0	0.32	1.79	12.36	4.94	7.51	0.71	5.06	9.41	1.51	14.67	19.11	4.94	6.89	0.0
SON	2485.67	2303.12	3716.2	3564.78	2417.67	2573.36	2682.69	3395.89	2609.3	2720.15	2555.58	2701.35	3190.46	3665.02	3146.52	2976.74	3235.01	4181.07	2520.38	3443.31	4704.07	2758.13	2417.67	1407.55
SPATS1	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	2.46	4.17	0.0	0.0	0.0	1.27	0.0	2.76	12.55	0.0	0.0	0.0
SPG20OS	5.63	0.0	5.87	16.39	3.41	0.0	8.65	28.65	24.28	7.75	16.75	22.43	43.94	24.11	25.72	34.26	29.7	39.5	23.59	21.63	122.64	21.94	36.79	0.0
TBC1D2B	329.84	92.7	265.87	423.61	208.38	341.51	110.43	483.38	255.0	218.79	127.89	500.46	769.69	503.95	483.38	348.71	909.17	785.88	414.87	941.27	1369.04	669.92	218.79	0.0
TEX12	0.65	0.0	2.94	0.0	0.0	0.0	0.0	2.51	0.0	1.64	1.97	3.0	0.89	0.0	1.1	2.16	3.26	3.14	1.87	10.16	10.88	3.5	4.66	0.0
TIMP2	417.77	2417.67	4903.87	3614.55	1529.73	2451.44	1519.15	6164.49	2148.82	1331.57	3257.52	11909.94	18304.63	6840.04	4268.94	2895.31	12329.98	11992.79	5006.93	10084.54	22225.61	5954.47	2537.92	0.0
TRAK2	229.72	358.54	275.28	532.74	211.31	170.25	273.37	514.56	351.14	353.59	91.41	307.69	595.34	361.04	607.87	387.02	665.29	473.41	175.07	454.09	967.76	403.5	244.57	0.0
TRIO	529.06	264.03	490.14	748.61	543.96	463.65	647.07	713.11	551.56	703.28	285.03	1008.9	995.0	872.1	902.89	684.02	1127.35	1135.2	860.08	1551.09	3419.52	1191.69	460.44	0.0
USP4	854.13	633.73	723.08	1015.93	775.05	825.0	808.0	1008.9	1051.79	1096.5	599.49	954.43	1081.39	1051.79	1277.29	1135.2	1151.06	1639.59	890.44	1259.69	1467.37	1151.06	603.67	860.08
UST	2.89	22.1	44.89	60.82	8.0	74.06	24.81	159.9	98.04	21.01	8.06	297.17	536.45	170.25	136.19	231.32	303.44	356.05	212.78	759.08	536.45	182.55	84.63	0.0
WASF2	373.81	698.41	1030.12	967.76	1498.22	1008.9	647.07	1561.89	1617.0	1977.24	872.1	1674.06	2591.27	2075.59	2163.77	1769.57	1936.53	3564.78	1757.34	2485.67	2627.46	1572.76	1295.13	371.22
WBSCR17	3.38	1.41	8.45	19.97	0.37	5.32	85.82	41.22	6.26	5.68	7.82	99.43	55.1	46.18	26.28	16.15	109.66	115.16	18.43	269.6	356.05	175.07	21.01	0.0
WISP2	41.52	221.86	289.02	69.03	15.68	669.92	25.91	165.57	67.12	35.25	157.68	2627.46	8778.97	947.83	665.29	166.73	733.19	2075.59	307.69	3280.18	6079.61	1322.37	81.14	87.03
ZBTB47	87.03	89.51	148.09	244.57	232.94	113.56	197.09	178.77	163.28	97.36	164.42	353.59	287.01	279.14	173.85	163.28	234.57	384.34	217.27	511.0	525.39	226.54	147.06	106.63
ZCCHC14	158.79	101.54	209.84	202.66	260.38	117.6	251.48	327.56	269.6	87.03	100.83	248.0	351.14	287.01	248.0	251.48	466.88	293.07	289.02	264.03	738.29	332.14	123.5	80.57
ZCCHC18	5.19	1.91	13.22	13.62	3.2	15.45	4.54	11.21	22.1	1.77	4.06	15.11	26.47	14.24	18.7	29.91	34.75	33.3	14.67	21.94	90.14	42.11	12.09	0.0
ZHX3	327.56	140.04	164.42	267.73	193.01	111.99	267.73	209.84	314.17	157.68	77.79	361.04	486.75	318.57	291.04	232.94	267.73	638.15	309.83	684.02	559.28	256.78	277.2	0.0
ZNF438	81.14	78.89	70.01	117.6	107.38	127.89	49.91	129.69	94.67	67.59	44.57	149.12	232.94	132.44	136.19	119.26	158.79	318.57	100.83	201.25	318.57	171.45	87.03	0.0
