	TCGA.E7.A3X6.01A.12R.A22U.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.MA.AA3Z.01A.11R.A38B.07	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.C5.A2M1.01A.11R.A18M.07	TCGA.C5.A905.01A.11R.A37O.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.AZ.6608.01A.11R.1839.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AA.3495.01A.01R.1410.07	TCGA.AA.A02Y.01A.43R.A32Y.07	GTEX.14E6E.1526.SM.5RQIG	GTEX.1399S.1926.SM.5J2M5	GTEX.1122O.1526.SM.5N9CL	GTEX.XUZC.1326.SM.4BRV2	TCGA.38.4625.01A.01R.1206.07	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11EQ9.0226.SM.5A5JX	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.13O61.0726.SM.5J2MD	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.QESD.0626.SM.2I5G4	GTEX.ZT9W.0726.SM.4YCDC	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ	TCGA.DC.5337.01A.01R.1660.07	GTEX.X3Y1.1926.SM.4PQZO	GTEX.QCQG.0526.SM.48U2A
C17orf82	13.83	10.0	5.15	1.2	12.93	3.17	2.07	1.58	5.19	2.94	1.33	0.44	5.68	0.39	2.92	0.0	13.12	11.64	19.82	13.03	52.45	31.67	28.65	30.56	34.51	77.79	111.99	48.18	28.24	21.47	35.5	111.99	45.85	28.24	55.89	16.88	24.63	60.39	37.32	79.45	34.75	19.39	11.82	22.26	27.25	16.27	44.89	22.1	60.39	26.1	13.42	71.5	30.78	25.35	15.91	13.52	19.25	28.65	3.99	15.0	37.05	2.03
C1orf198	708.18	214.27	409.15	215.77	808.0	607.87	432.53	264.03	486.75	371.22	447.82	78.34	138.1	136.19	164.42	0.0	4388.98	2915.45	4066.71	2351.53	2502.97	3928.15	3212.66	2485.67	3742.05	4268.94	3690.52	2384.37	1781.89	3039.3	2591.27	4543.8	3928.15	4010.71	5403.7	3039.3	1781.89	4268.94	2319.15	3820.7	1674.06	2090.03	2271.4	2555.58	2777.33	3768.09	5255.91	1806.78	3820.7	1457.23	2255.7	5219.6	2061.24	3955.48	5366.37	2224.63	4268.94	2520.38	1950.0	194.36	351.14	181.28
C20orf202	3.35	3.14	0.58	0.6	2.29	1.87	5.23	6.16	8.51	8.92	5.96	3.92	4.1	7.34	19.82	0.0	101.54	47.84	51.71	28.24	38.95	134.3	20.71	47.84	50.63	34.51	138.1	28.65	40.64	60.82	40.07	118.43	113.56	72.52	86.43	33.54	52.82	66.18	21.78	71.0	16.63	43.32	9.48	39.79	32.82	64.34	70.51	38.67	56.68	35.25	55.49	52.82	29.06	41.52	63.0	40.36	71.0	43.63	22.43	4.86	6.78	21.78
CASP12	4.58	2.23	0.0	0.0	1.0	0.0	1.71	0.0	1.69	6.46	2.43	2.39	4.13	1.45	4.35	0.0	107.38	51.35	57.08	23.76	90.14	125.24	21.16	48.52	98.04	109.66	242.88	41.81	26.47	60.39	76.17	211.31	143.01	180.02	142.01	35.76	33.06	81.14	46.84	108.9	25.91	35.0	18.03	44.57	30.34	83.45	126.12	24.11	99.43	35.25	54.72	150.17	32.82	48.52	76.17	26.67	135.24	59.13	20.41	10.31	2.97	3.79
CD300LG	0.0	3.0	0.0	0.0	1.19	1.1	1.06	0.0	0.0	2.12	0.0	0.95	6.21	3.5	9.13	0.0	336.79	368.65	463.65	178.77	555.41	748.61	71.0	1233.75	150.17	981.29	1104.13	493.56	607.87	163.28	571.05	915.51	483.38	262.2	111.99	242.88	1143.1	529.06	63.45	205.5	21.32	1127.35	73.03	684.02	100.13	195.72	92.7	420.68	209.84	406.31	332.14	289.02	723.08	8.25	291.04	1111.82	165.57	251.48	629.35	1.04	40.36	11.04
CEP68	226.54	159.9	92.7	102.97	87.65	86.43	165.57	154.42	119.26	165.57	87.03	47.5	98.73	102.25	94.67	116.78	206.94	253.23	218.79	105.89	178.77	279.14	189.02	176.29	236.21	293.07	166.73	137.14	165.57	249.73	329.84	379.04	316.37	269.6	351.14	543.96	145.02	239.52	226.54	262.2	120.1	191.67	162.14	149.12	180.02	246.28	176.29	122.64	293.07	239.52	251.48	356.05	162.14	264.03	180.02	166.73	186.4	242.88	183.82	119.26	102.97	123.5
CNRIP1	45.85	54.33	9.2	23.08	31.0	10.79	38.95	21.78	31.67	77.79	10.88	34.51	82.87	68.55	59.55	0.0	406.31	297.17	540.19	244.57	579.04	1143.1	603.67	202.66	638.15	1030.12	1242.34	279.14	423.61	429.54	237.86	1208.34	1059.11	1127.35	967.76	642.59	371.22	1111.82	264.03	688.78	503.95	371.22	591.22	295.11	242.88	583.07	1037.29	167.9	679.29	202.66	791.35	728.11	309.83	447.82	470.14	220.32	381.68	444.72	441.64	70.01	89.51	102.25
COL13A1	31.45	20.26	21.16	24.46	12.18	5.77	51.35	13.32	16.63	50.27	6.11	16.39	43.63	44.89	50.27	0.0	567.1	305.55	466.88	253.23	289.02	551.56	228.13	220.32	660.68	785.88	514.56	171.45	381.68	718.08	366.09	1001.93	890.44	902.89	669.92	320.8	134.3	507.46	113.56	759.08	76.71	198.47	76.71	195.72	183.82	866.07	1081.39	166.73	579.04	279.14	152.28	866.07	312.0	363.56	866.07	151.22	403.5	406.31	264.03	39.22	8.25	22.75
COL6A5	2.43	6.21	0.0	0.3	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.68	17.13	169.07	28.24	120.94	173.85	96.01	78.89	101.54	476.71	100.13	2.27	167.9	146.03	109.66	403.5	361.04	234.57	454.09	146.03	32.82	334.46	87.65	277.2	169.07	220.32	163.28	26.28	121.79	209.84	389.72	11.91	303.44	5.92	358.54	170.25	224.97	22.75	253.23	60.39	66.18	137.14	14.14	0.0	0.0	4.24
COL6A6	0.31	5.36	0.23	0.0	0.79	0.0	1.22	0.0	0.0	0.89	1.31	0.0	1.25	0.0	0.1	0.0	981.29	444.72	454.09	63.0	186.4	860.08	409.15	172.65	343.89	420.68	444.72	43.63	202.66	651.58	202.66	1250.98	1135.2	384.34	1001.93	447.82	108.9	1561.89	205.5	1143.1	66.18	75.11	13.22	204.07	195.72	759.08	1143.1	27.64	616.37	49.56	579.04	743.43	108.14	153.34	995.0	165.57	162.14	371.22	91.41	0.0	2.78	0.07
COX4I2	88.88	33.78	10.39	21.78	14.03	12.45	40.07	24.46	64.34	59.97	11.91	18.84	26.47	35.76	43.32	0.0	5517.27	1551.09	1151.06	540.19	1963.57	2777.33	1388.16	1936.53	1111.82	954.43	9740.98	1008.9	2104.58	4671.57	1417.35	3515.68	3716.2	4388.98	3742.05	1508.65	3540.14	3982.99	872.1	3060.45	460.44	1001.93	423.61	1268.46	848.22	3716.2	3235.01	1529.73	2701.35	836.53	764.36	1950.0	1073.91	669.92	1519.15	934.76	3190.46	1540.37	599.49	72.01	64.34	127.0
CTIF	116.78	180.02	206.94	156.59	87.03	351.14	132.44	186.4	62.56	134.3	251.48	175.07	167.9	131.51	132.44	0.0	1259.69	1175.27	669.92	733.19	921.88	483.38	500.46	764.36	1378.57	660.68	1008.9	1208.34	599.49	1322.37	312.0	583.07	518.15	764.36	1498.22	1583.71	808.0	769.69	896.64	1175.27	334.46	466.88	307.69	708.18	435.55	1498.22	1104.13	543.96	441.64	753.83	303.44	1508.65	651.58	2075.59	674.59	738.29	1936.53	866.07	441.64	109.66	289.02	403.5
DACT3	16.27	14.56	8.13	20.11	4.39	9.78	28.45	9.06	11.3	39.22	3.11	20.86	32.36	28.04	29.7	0.0	249.73	102.97	301.33	120.1	148.09	241.19	148.09	102.25	703.28	314.17	974.5	165.57	69.03	500.46	167.9	371.22	305.55	406.31	441.64	125.24	124.37	647.07	218.79	395.18	61.25	102.25	117.6	131.51	92.7	480.04	559.28	49.21	389.72	87.65	251.48	397.93	107.38	246.28	348.71	93.35	591.22	283.05	122.64	29.7	10.47	88.88
DENND2A	26.67	22.92	3.0	60.39	17.25	4.39	57.89	44.89	34.26	124.37	202.66	122.64	90.77	85.22	114.36	0.0	988.12	379.04	483.38	171.45	860.08	540.19	195.72	497.0	540.19	1167.14	1519.15	204.07	283.05	616.37	518.15	1030.12	1369.04	579.04	1151.06	507.46	246.28	1286.18	343.89	995.0	264.03	110.43	181.28	212.78	153.34	1059.11	1191.69	228.13	674.59	161.02	679.29	669.92	215.77	351.14	358.54	258.57	521.76	384.34	412.0	80.01	26.86	28.65
DZIP1	21.63	23.93	16.75	24.46	30.34	10.96	14.24	8.51	8.32	50.27	6.62	21.01	31.0	29.7	16.75	0.0	277.2	62.12	112.77	68.07	283.05	314.17	114.36	70.01	260.38	157.68	195.72	92.7	120.94	221.86	76.71	258.57	341.51	102.97	154.42	141.02	30.34	303.44	108.14	199.85	87.03	53.19	67.12	53.57	42.71	255.0	493.56	33.06	336.79	54.72	171.45	194.36	186.4	110.43	108.14	30.12	111.21	82.29	44.57	36.79	56.68	39.22
ECM2	29.91	26.86	6.67	19.68	15.68	10.08	12.45	4.54	9.85	20.71	12.93	20.11	7.57	14.78	22.75	0.0	470.14	426.57	563.18	107.38	224.97	866.07	473.41	258.57	753.83	802.41	759.08	206.94	256.78	669.92	490.14	1561.89	1662.49	339.14	967.76	674.59	206.94	1073.91	583.07	915.51	197.09	190.34	102.97	269.6	205.5	713.11	748.61	167.9	575.03	166.73	591.22	490.14	221.86	323.03	988.12	199.85	466.88	567.1	309.83	39.22	102.97	50.27
EDNRA	34.02	69.03	8.71	44.25	16.39	13.83	53.95	17.9	23.08	98.04	4.46	6.21	5.02	14.24	14.03	0.0	693.58	281.09	629.35	197.09	684.02	2255.7	493.56	209.84	1151.06	1407.55	1508.65	189.02	244.57	547.75	1225.22	2075.59	2133.97	928.3	1191.69	228.13	170.25	802.41	579.04	1208.34	301.33	135.24	221.86	221.86	409.15	1066.48	1487.87	236.21	2104.58	121.79	500.46	1397.83	285.03	409.15	532.74	264.03	660.68	791.35	264.03	74.06	78.34	53.95
ERG	52.08	52.45	9.27	13.93	25.72	15.0	35.76	47.84	17.13	47.17	13.12	20.11	43.94	37.85	54.33	0.0	802.41	764.36	529.06	620.67	1066.48	1628.26	514.56	688.78	909.17	785.88	967.76	351.14	595.34	555.41	3081.75	2018.8	1572.76	4010.71	1540.37	563.18	967.76	836.53	1081.39	1674.06	2209.26	665.29	796.86	802.41	1923.14	1191.69	435.55	607.87	1008.9	248.0	669.92	1498.22	441.64	791.35	1561.89	555.41	1088.92	1572.76	1119.56	33.54	81.14	80.01
FAM162B	19.68	30.34	1.22	7.75	13.62	10.39	18.03	7.94	6.41	19.68	2.58	13.62	7.57	9.41	9.48	0.0	1936.53	157.68	633.73	85.22	341.51	2090.03	397.93	105.15	698.41	511.0	2997.45	197.09	130.6	1159.07	158.79	1794.29	1794.29	1369.04	2384.37	392.44	231.32	941.27	796.86	1572.76	147.06	170.25	264.03	229.72	480.04	738.29	1159.07	109.66	1617.0	187.71	884.29	921.88	136.19	291.04	363.56	175.07	974.5	1225.22	100.13	17.13	34.75	17.9
FBXL7	18.16	16.39	2.2	9.85	9.63	9.2	18.16	9.48	8.25	36.79	3.63	15.91	20.86	28.04	34.02	0.0	318.57	271.48	209.84	41.22	167.9	358.54	166.73	93.35	579.04	363.56	503.95	81.71	115.16	473.41	656.11	540.19	476.71	277.2	769.69	239.52	183.82	327.56	122.64	1183.45	108.9	89.51	90.14	114.36	85.22	339.14	305.55	73.03	264.03	90.14	141.02	435.55	149.12	237.86	423.61	118.43	115.16	309.83	183.82	15.68	61.25	59.55
FBXO17	6.62	167.9	54.72	26.67	5.96	5.92	18.84	20.71	9.7	40.07	8.51	13.72	26.67	16.27	27.64	275.28	255.0	215.77	316.37	96.01	251.48	318.57	142.01	258.57	514.56	974.5	808.0	127.89	182.55	395.18	159.9	656.11	454.09	71.5	928.3	376.41	218.79	708.18	228.13	412.0	15.34	118.43	35.0	78.89	119.26	269.6	460.44	30.12	249.73	229.72	260.38	603.67	209.84	429.54	201.25	98.73	346.29	93.35	102.25	21.94	102.25	21.16
FEZ1	110.43	167.9	22.26	28.04	18.43	28.86	44.89	20.71	33.3	99.43	30.12	71.5	82.87	49.21	77.25	0.0	1709.26	444.72	1159.07	361.04	547.75	2133.97	1225.22	447.82	941.27	1487.87	2645.74	518.15	748.61	1135.2	395.18	2816.11	1216.75	3419.52	2739.08	470.14	583.07	2047.0	256.78	2240.11	173.85	351.14	346.29	325.29	175.07	2591.27	2573.36	237.86	928.3	305.55	902.89	1651.0	743.43	902.89	1540.37	262.2	1519.15	947.83	555.41	140.04	94.67	90.77
FIGF	1.55	5.59	2.86	2.97	1.22	5.82	3.35	0.0	0.0	0.65	1.51	22.26	13.12	12.64	19.11	0.0	3103.19	1250.98	3928.15	450.94	2240.11	4607.24	1233.75	603.67	1896.65	5913.33	10368.08	647.07	785.88	1447.15	1697.45	7537.18	6250.56	2976.74	3190.46	518.15	571.05	4736.79	343.89	3372.43	269.6	579.04	142.01	1001.93	890.44	6792.79	5403.7	339.14	4704.07	454.09	5633.22	5831.91	708.18	2240.11	3081.75	1268.46	1950.0	1617.0	934.76	0.0	18.43	46.84
FOXJ2	161.02	162.14	187.71	137.14	97.36	169.07	108.14	189.02	109.66	156.59	147.06	78.89	137.14	148.09	124.37	172.65	325.29	343.89	397.93	307.69	336.79	358.54	327.56	258.57	346.29	293.07	400.71	260.38	316.37	438.59	514.56	339.14	253.23	392.44	379.04	403.5	325.29	237.86	480.04	267.73	171.45	285.03	234.57	258.57	323.03	406.31	299.25	206.94	229.72	384.34	314.17	547.75	262.2	441.64	473.41	285.03	616.37	473.41	195.72	81.71	176.29	267.73
FXYD6	60.39	140.04	18.7	77.25	75.11	41.52	117.6	65.72	108.14	248.0	45.21	114.36	191.67	190.34	205.5	329.84	3820.7	2591.27	3768.09	483.38	3955.48	4358.66	3325.99	1447.15	4210.15	4512.4	9088.59	1322.37	2664.15	10585.95	3768.09	5831.91	5954.47	5076.84	17197.56	3103.19	2758.13	5076.84	2468.49	6471.02	780.44	1225.22	412.0	1651.0	1175.27	6337.83	5329.3	1617.0	5831.91	1583.71	2018.8	7032.37	2367.9	3060.45	4607.24	2468.49	6983.79	2591.27	1111.82	169.07	334.46	444.72
GNG11	81.71	74.58	20.86	35.5	115.16	21.78	60.82	34.02	80.57	126.12	13.62	64.34	71.5	84.63	87.03	0.0	3235.01	429.54	1088.92	1023.0	1183.45	4066.71	693.58	414.87	2915.45	3212.66	4450.27	825.0	934.76	2018.8	718.08	11267.44	4481.23	3847.29	13215.02	2061.24	848.22	3928.15	1159.07	4903.87	457.25	371.22	1023.0	713.11	753.83	1572.76	1498.22	1037.29	4481.23	563.18	2664.15	3901.01	267.73	1447.15	2148.82	665.29	3639.7	3103.19	536.45	249.73	114.36	109.66
GPR124	94.67	52.45	17.64	53.19	29.7	19.82	141.02	31.45	25.72	139.07	14.56	19.97	57.49	52.45	74.58	0.0	579.04	368.65	336.79	101.54	389.72	599.49	182.55	291.04	567.1	529.06	1605.83	140.04	316.37	769.69	285.03	896.64	599.49	291.04	967.76	249.73	153.34	830.75	305.55	813.63	135.24	87.65	109.66	163.28	201.25	403.5	688.78	88.88	665.29	133.36	426.57	500.46	336.79	262.2	363.56	107.38	521.76	314.17	176.29	77.79	51.71	180.02
GUCY1A2	12.18	9.06	2.05	2.12	10.24	2.23	4.1	1.87	1.93	5.02	0.75	1.08	0.85	0.49	1.23	0.0	503.95	62.12	155.5	70.51	72.01	373.81	92.05	63.45	194.36	163.28	363.56	48.52	34.75	209.84	84.63	409.15	273.37	348.71	379.04	77.25	31.45	199.85	132.44	267.73	65.26	63.0	117.6	90.14	72.01	318.57	197.09	30.56	138.1	32.13	228.13	181.28	38.67	68.55	281.09	45.53	130.6	97.36	41.52	15.11	1.89	3.59
HIGD1B	67.12	55.49	10.16	9.93	27.44	9.85	14.67	12.83	26.47	29.7	16.39	12.18	15.8	42.41	34.75	0.0	5633.22	1359.57	2193.99	723.08	1832.01	3349.13	2209.26	1369.04	1963.57	1331.57	6887.62	1233.75	1651.0	3467.27	624.99	3540.14	4152.18	2367.9	4095.0	1651.0	2816.11	2468.49	1081.39	2895.31	303.44	1104.13	775.05	1628.26	454.09	2777.33	2224.63	1651.0	3443.31	1304.15	1883.54	2400.97	1268.46	540.19	1628.26	1104.13	1417.35	1268.46	688.78	66.18	28.04	50.98
HMCN1	9.85	41.81	1.68	12.83	8.45	2.43	33.3	6.21	1.73	29.27	0.95	4.43	11.3	19.25	3.35	0.0	567.1	896.64	764.36	161.02	177.53	540.19	293.07	281.09	307.69	890.44	1477.58	221.86	267.73	591.22	473.41	1457.23	2895.31	356.05	2209.26	441.64	343.89	1519.15	486.75	1096.5	181.28	157.68	77.25	384.34	226.54	967.76	567.1	163.28	878.17	62.12	1721.16	884.29	438.59	381.68	1806.78	158.79	169.07	575.03	318.57	13.12	106.63	10.88
HSPA12B	28.86	24.63	20.41	17.25	12.74	12.36	27.25	14.24	13.83	33.78	6.62	27.05	45.21	43.32	49.91	0.0	409.15	748.61	435.55	429.54	775.05	651.58	172.65	791.35	460.44	825.0	1628.26	713.11	454.09	457.25	258.57	995.0	878.17	134.3	954.43	607.87	1242.34	703.28	209.84	753.83	68.07	454.09	224.97	769.69	122.64	381.68	186.4	460.44	642.59	529.06	575.03	1081.39	384.34	454.09	293.07	493.56	351.14	400.71	279.14	23.93	51.71	25.35
HTRA3	180.02	187.71	37.32	211.31	54.33	81.14	325.29	60.82	251.48	551.56	82.29	35.0	80.57	57.49	57.08	0.0	830.75	1191.69	723.08	201.25	1378.57	579.04	1268.46	217.27	1059.11	878.17	2319.15	236.21	995.0	1651.0	791.35	941.27	769.69	387.02	1467.37	181.28	341.51	825.0	441.64	1508.65	140.04	358.54	127.89	1233.75	473.41	775.05	848.22	612.11	1259.69	2895.31	234.57	1685.71	543.96	1896.65	323.03	373.81	890.44	1008.9	397.93	368.65	25.35	158.79
