	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.BR.8683.01A.11R.2402.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.145ME.1026.SM.5O9B4
DIP2A	61.68	119.26	115.97	129.69	152.28	223.41	75.64	82.29	209.84	173.85	409.15	457.25	693.58	638.15	244.57	336.79	368.65	529.06	309.83	275.28	249.73	242.88	229.72	575.03
DNAH3	0.0	0.93	0.0	0.0	0.0	0.97	0.57	0.0	0.0	0.0	19.25	24.63	12.18	16.88	17.13	2.78	12.09	36.27	6.36	4.31	2.56	0.71	3.86	65.26
EEF2K	9.27	139.07	117.6	122.64	170.25	198.47	105.89	105.15	0.0	0.24	423.61	423.61	764.36	525.39	403.5	438.59	339.14	348.71	460.44	295.11	197.09	358.54	295.11	872.1
ERCC5	113.56	616.37	733.19	647.07	995.0	934.76	536.45	575.03	0.0	0.83	638.15	1023.0	1427.22	1697.45	525.39	860.08	1331.57	974.5	928.3	884.29	967.76	1286.18	599.49	1594.73
ERICH1	67.12	94.01	155.5	65.72	140.04	271.48	85.82	81.14	0.0	0.84	281.09	493.56	1427.22	733.19	332.14	329.84	633.73	373.81	353.59	417.77	400.71	511.0	371.22	842.36
ESPL1	0.0	10.63	10.24	19.39	9.34	60.39	3.92	1.22	0.0	0.4	493.56	571.05	74.58	36.53	46.5	74.06	90.14	84.63	24.63	23.25	19.82	21.63	38.67	224.97
FGFR1OP	40.93	218.79	215.77	141.02	137.14	258.57	265.87	165.57	0.0	0.37	444.72	373.81	228.13	269.6	112.77	299.25	283.05	341.51	180.02	229.72	180.02	197.09	232.94	353.59
GGA3	40.36	246.28	208.38	172.65	237.86	336.79	194.36	58.3	0.0	1.0	954.43	1259.69	961.07	928.3	603.67	698.41	616.37	723.08	647.07	723.08	587.13	486.75	543.96	1167.14
GLB1L3	0.0	0.0	0.0	0.51	0.52	1.3	0.51	0.56	0.0	0.18	13.62	123.5	7.94	14.56	1.93	1.13	0.64	2.78	2.92	6.94	1.35	0.83	4.62	33.3
HNRNPD	854.13	1819.35	2148.82	1594.73	3039.3	3372.43	2047.0	1350.18	0.0	1.3	5292.48	6121.9	5219.6	6164.49	3928.15	4358.66	6887.62	4419.52	3614.55	4639.29	4607.24	5041.77	4575.41	7695.57
HOOK2	134.3	438.59	444.72	403.5	366.09	591.22	275.28	100.83	0.0	0.85	1143.1	1350.18	1175.27	1397.83	842.36	785.88	934.76	1540.37	796.86	733.19	674.59	684.02	463.65	1417.35
HOXA1	8.51	1.85	3.17	2.97	1.17	4.5	2.27	0.65	0.0	0.36	45.21	60.82	33.3	18.03	26.1	16.51	29.06	52.45	6.94	20.86	15.91	7.4	17.0	147.06
JRKL	25.91	23.25	41.22	37.32	28.45	75.64	23.42	11.91	0.0	0.0	190.34	149.12	234.57	224.97	71.0	107.38	165.57	320.8	120.94	118.43	90.14	62.12	88.26	182.55
KIAA0753	7.51	35.76	37.59	34.26	73.54	102.25	17.9	11.47	0.0	0.6	314.17	303.44	208.38	212.78	76.71	115.97	186.4	231.32	128.79	152.28	90.77	114.36	138.1	251.48
KIAA1919	9.27	19.53	26.47	16.51	26.86	23.93	19.68	21.01	0.0	0.22	145.02	123.5	94.67	57.89	38.95	50.27	88.26	108.14	40.64	25.91	28.65	23.42	25.72	68.55
LCTL	0.39	1.87	2.2	1.89	0.62	2.36	1.17	0.0	0.0	0.1	4.9	11.3	8.71	6.78	1.14	2.71	3.5	9.06	0.79	1.23	2.07	0.0	2.2	7.88
METAP1	457.25	267.73	279.14	239.52	289.02	406.31	307.69	293.07	0.0	0.68	638.15	890.44	571.05	629.35	543.96	595.34	674.59	607.87	607.87	511.0	438.59	361.04	567.1	1051.79
MROH7	3.26	3.41	4.17	9.93	7.46	4.98	21.01	8.45	0.0	0.54	111.21	45.85	67.59	58.3	9.41	12.09	49.21	52.82	29.91	11.64	33.3	18.97	24.63	142.01
MTMR1	65.72	95.34	169.07	163.28	108.9	209.84	116.78	50.27	0.0	0.72	466.88	444.72	435.55	384.34	273.37	279.14	301.33	379.04	285.03	293.07	223.41	208.38	214.27	387.02
NFRKB	87.65	145.02	137.14	111.21	115.16	178.77	87.03	51.71	0.0	0.82	603.67	571.05	318.57	305.55	221.86	283.05	291.04	387.02	283.05	234.57	239.52	158.79	234.57	529.06
NPEPPS	193.01	497.0	381.68	277.2	305.55	567.1	267.73	229.72	0.0	0.73	902.89	1583.71	1286.18	1225.22	753.83	728.11	1073.91	1286.18	780.44	796.86	583.07	567.1	693.58	1628.26
NUP62CL	15.8	0.0	1.69	11.21	11.13	21.94	19.25	9.13	0.0	0.0	173.85	67.12	63.0	32.59	59.13	33.78	86.43	100.83	38.95	41.52	22.59	13.83	34.26	293.07
PCNT	27.25	220.32	120.1	142.01	141.02	191.67	87.03	81.71	0.0	0.77	480.04	669.92	460.44	432.53	193.01	316.37	356.05	441.64	242.88	239.52	170.25	151.22	193.01	429.54
PGA3	0.0	0.0	11.64	1.28	2.05	36.79	1.87	29.7	0.0	0.21	961.07	47974.16	65.72	5849977.94	7560235.84	6673442.71	5611673.89	49.21	2.339991475E7	8505707.6	6581567.44	2.276004283E7	7456151.83	12676.65
POF1B	1.13	0.48	2.2	1.23	48.52	19.25	3.53	1.55	0.0	0.26	532.74	363.56	329.84	406.31	358.54	323.03	954.43	1127.35	599.49	129.69	336.79	262.2	151.22	1277.29
RBM15	24.11	33.54	50.63	42.41	53.95	59.55	34.02	43.32	0.0	0.01	212.78	281.09	193.01	186.4	92.7	121.79	181.28	262.2	135.24	132.44	92.7	72.01	105.89	223.41
RP11-1220K2.2	0.0	0.61	1.0	0.0	0.0	0.0	0.0	0.39	0.0	0.32	204.07	277.2	125.24	60.39	70.01	62.12	275.28	470.14	14.67	9.48	5.77	2.36	2.58	728.11
SPIN4	5.77	4.1	10.16	7.22	16.15	30.12	7.22	1.48	0.0	0.36	208.38	92.7	122.64	88.26	50.63	64.8	130.6	265.87	67.59	45.21	42.41	24.28	59.97	126.12
SPPL3	264.03	303.44	417.77	277.2	414.87	532.74	376.41	387.02	571.05	109.66	1923.14	1378.57	753.83	830.75	1167.14	559.28	796.86	1857.6	915.51	579.04	764.36	624.99	547.75	1250.98
STK38	11.47	327.56	334.46	339.14	285.03	412.0	206.94	199.85	447.82	124.37	723.08	915.51	1030.12	854.13	579.04	547.75	708.18	1151.06	669.92	503.95	591.22	420.68	490.14	1175.27
UHRF2	102.25	152.28	190.34	144.01	155.5	293.07	82.87	67.59	0.0	0.95	368.65	684.02	1159.07	988.12	237.86	384.34	642.59	450.94	334.46	571.05	273.37	199.85	500.46	819.3
WHSC1	58.3	79.45	96.01	116.78	107.38	212.78	50.98	20.41	0.0	0.77	819.3	1001.93	665.29	633.73	387.02	551.56	708.18	1369.04	339.14	299.25	255.0	204.07	325.29	941.27
ZBTB34	13.93	22.59	36.27	19.82	23.25	43.32	14.67	7.69	0.0	0.41	151.22	108.14	105.15	115.16	56.28	62.12	84.63	167.9	103.69	77.79	55.49	50.63	57.89	138.1
ZBTB40	8.99	75.64	42.71	40.64	51.35	68.07	15.68	4.9	0.0	0.51	373.81	325.29	260.38	246.28	125.24	147.06	166.73	262.2	108.9	154.42	103.69	90.14	99.43	256.78
ZBTB43	22.75	63.89	67.12	41.81	50.98	101.54	54.72	37.32	55.89	72.52	132.44	111.99	163.28	353.59	50.27	120.94	157.68	186.4	178.77	94.67	88.26	78.34	80.01	403.5
ZBTB5	46.84	71.0	101.54	65.72	70.51	131.51	76.71	145.02	0.0	0.4	249.73	248.0	190.34	180.02	89.51	146.03	189.02	194.36	166.73	155.5	108.9	85.22	136.19	318.57
ZNF354B	13.62	38.12	49.56	31.9	31.45	121.79	4.31	22.92	0.0	0.91	307.69	312.0	239.52	273.37	64.8	100.83	183.82	303.44	96.01	163.28	82.29	60.82	146.03	289.02
ZNF417	22.59	23.93	38.67	12.64	22.26	57.08	35.0	14.24	0.0	0.45	172.65	175.07	269.6	218.79	130.6	108.9	116.78	260.38	170.25	136.19	134.3	141.02	81.14	381.68
ZNF708	25.35	9.78	5.11	5.36	9.34	57.89	7.34	14.14	0.0	0.41	147.06	232.94	193.01	224.97	61.25	68.55	104.42	218.79	105.15	129.69	84.04	50.27	124.37	228.13
ZNF736	64.8	20.71	19.53	9.06	16.27	32.13	8.06	8.25	92.05	64.8	444.72	251.48	165.57	221.86	42.71	57.49	101.54	323.03	66.18	138.1	47.5	68.55	78.89	172.65
ZNF737	47.5	4.62	7.06	2.34	4.86	29.7	7.46	4.98	0.0	0.36	161.02	289.02	228.13	221.86	82.29	74.58	141.02	279.14	164.42	182.55	115.16	115.97	201.25	403.5
ZNF785	16.88	61.25	55.49	40.07	40.36	78.89	16.75	13.72	0.0	0.62	273.37	373.81	320.8	236.21	152.28	177.53	201.25	314.17	162.14	149.12	164.42	111.21	139.07	414.87
ZNF792	5.82	21.63	22.1	12.27	18.03	31.67	12.93	5.82	0.0	0.39	127.89	140.04	114.36	77.25	74.06	59.55	85.82	127.0	64.34	80.57	60.39	42.41	56.68	197.09
ZNF852	14.24	19.53	18.56	5.41	17.51	19.97	11.04	12.45	0.0	0.33	111.99	154.42	88.88	95.34	47.84	58.71	98.73	93.35	90.77	80.01	55.49	55.89	55.89	126.12
ZSCAN29	15.45	67.12	82.29	58.71	92.7	122.64	41.22	14.56	0.0	0.3	483.38	403.5	316.37	316.37	218.79	199.85	273.37	500.46	244.57	189.02	208.38	133.36	178.77	363.56
