	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07
CCNT2	105.89	60.82	35.76	260.38	228.13	237.86	159.9	226.54	426.57	341.51	473.41	201.25	126.12	271.48	205.5	248.0	145.02	271.48	264.03	147.06	309.83	381.68	104.42	269.6	177.53	620.67	132.44	134.3	708.18	366.09	379.04	493.56	693.58	423.61	423.61	454.09	507.46	493.56	500.46	463.65	264.03	73.54	441.64	497.0	147.06	473.41	107.38	79.45	87.03	145.02	127.89	24.63	0.0
CENPC	49.91	53.19	111.21	189.02	178.77	151.22	143.01	165.57	275.28	159.9	148.09	82.87	68.55	139.07	155.5	214.27	130.6	105.89	232.94	110.43	189.02	285.03	103.69	173.85	143.01	406.31	122.64	180.02	518.15	316.37	242.88	429.54	532.74	387.02	429.54	336.79	339.14	332.14	239.52	358.54	198.47	120.1	262.2	518.15	201.25	387.02	58.3	40.93	43.94	30.34	47.5	16.88	0.0
CEP120	60.82	73.03	76.17	161.02	226.54	115.16	80.57	198.47	215.77	223.41	244.57	76.17	53.95	181.28	138.1	128.79	141.02	96.01	118.43	69.52	198.47	255.0	84.04	205.5	204.07	400.71	122.64	256.78	470.14	267.73	237.86	454.09	486.75	285.03	423.61	320.8	271.48	334.46	267.73	277.2	130.6	138.1	348.71	305.55	153.34	483.38	46.5	45.21	31.45	62.56	42.71	28.45	0.0
CHD2	158.79	172.65	166.73	281.09	346.29	514.56	190.34	486.75	571.05	447.82	723.08	209.84	193.01	409.15	409.15	265.87	325.29	432.53	397.93	356.05	624.99	656.11	180.02	384.34	454.09	902.89	358.54	503.95	1073.91	753.83	543.96	647.07	1044.52	1216.75	896.64	1127.35	860.08	728.11	981.29	780.44	607.87	191.67	921.88	915.51	368.65	607.87	181.28	150.17	166.73	131.51	114.36	94.67	0.0
CLASP2	108.9	80.01	105.89	339.14	371.22	567.1	148.09	389.72	603.67	334.46	320.8	262.2	102.25	341.51	239.52	371.22	269.6	244.57	186.4	130.6	441.64	476.71	134.3	318.57	239.52	718.08	211.31	426.57	791.35	555.41	591.22	703.28	909.17	607.87	1295.13	967.76	688.78	785.88	878.17	796.86	279.14	253.23	591.22	860.08	293.07	813.63	82.87	68.07	70.01	94.01	77.79	65.72	209.84
CPEB3	9.56	8.32	10.39	57.08	55.1	40.36	40.64	86.43	76.71	60.39	36.79	10.39	18.56	34.51	29.27	49.21	23.59	23.59	36.01	15.68	46.5	85.22	15.0	69.52	44.57	89.51	33.54	44.89	181.28	74.58	72.52	110.43	164.42	195.72	109.66	100.13	130.6	93.35	66.65	96.68	39.79	28.86	185.11	159.9	46.84	142.01	50.98	19.68	41.52	23.93	32.36	73.03	0.0
CREBRF	36.27	38.4	25.54	130.6	194.36	137.14	71.5	146.03	255.0	205.5	195.72	42.41	61.25	183.82	110.43	170.25	132.44	105.89	113.56	94.67	166.73	392.44	90.14	232.94	144.01	563.18	87.65	138.1	599.49	361.04	275.28	387.02	507.46	698.41	343.89	400.71	332.14	397.93	429.54	493.56	432.53	77.79	872.1	633.73	165.57	624.99	31.22	42.41	52.82	49.21	70.01	28.04	0.0
CTSO	169.07	181.28	249.73	587.13	791.35	486.75	587.13	429.54	941.27	1369.04	591.22	299.25	329.84	878.17	366.09	525.39	718.08	503.95	381.68	206.94	836.53	1037.29	406.31	785.88	511.0	1066.48	616.37	866.07	1175.27	878.17	830.75	1508.65	1225.22	1104.13	1561.89	909.17	796.86	1286.18	713.11	878.17	1175.27	693.58	1594.73	738.29	1119.56	1340.84	379.04	361.04	547.75	343.89	303.44	514.56	0.0
DCTN4	307.69	208.38	332.14	1001.93	1208.34	457.25	830.75	764.36	1340.84	981.29	1950.0	429.54	379.04	1051.79	612.11	1059.11	571.05	371.22	348.71	212.78	848.22	961.07	460.44	656.11	1304.15	1066.48	595.34	660.68	1208.34	928.3	1081.39	1051.79	1498.22	1191.69	1359.57	961.07	902.89	967.76	660.68	928.3	836.53	253.23	2835.7	1340.84	591.22	1508.65	267.73	293.07	287.01	307.69	320.8	208.38	0.0
DDX46	299.25	351.14	476.71	460.44	866.07	738.29	529.06	647.07	954.43	713.11	974.5	406.31	241.19	753.83	723.08	521.76	753.83	486.75	555.41	361.04	624.99	743.43	307.69	543.96	567.1	866.07	497.0	674.59	961.07	830.75	638.15	713.11	1081.39	981.29	1143.1	759.08	769.69	825.0	518.15	884.29	703.28	255.0	785.88	1286.18	480.04	753.83	327.56	165.57	181.28	476.71	262.2	126.12	532.74
DYNC1I2	1457.23	808.0	954.43	1909.85	1651.0	2178.83	1572.76	1617.0	2682.69	2351.53	4038.61	1721.16	1529.73	2224.63	1923.14	1378.57	1806.78	1950.0	2271.4	1051.79	2271.4	2400.97	1208.34	1674.06	1628.26	2627.46	1936.53	2119.22	2417.67	1950.0	2104.58	2739.08	2209.26	2758.13	2835.7	1498.22	1870.53	1963.57	1977.24	1883.54	2367.9	2193.99	3564.78	1819.35	1991.0	3467.27	400.71	444.72	497.0	674.59	651.58	387.02	954.43
ELF2	223.41	186.4	239.52	480.04	629.35	500.46	262.2	629.35	854.13	713.11	497.0	255.0	327.56	536.45	460.44	429.54	441.64	384.34	358.54	624.99	638.15	743.43	303.44	536.45	532.74	1059.11	371.22	420.68	1015.93	669.92	738.29	830.75	848.22	769.69	1015.93	591.22	728.11	954.43	583.07	693.58	575.03	264.03	1001.93	688.78	441.64	688.78	149.12	141.02	142.01	145.02	114.36	125.24	0.0
ERCC6L2	105.89	45.53	66.65	224.97	275.28	384.34	90.77	187.71	363.56	224.97	381.68	128.79	51.35	232.94	229.72	140.04	136.19	120.94	187.71	92.05	267.73	371.22	96.68	265.87	102.25	579.04	143.01	281.09	693.58	450.94	301.33	532.74	480.04	579.04	728.11	486.75	688.78	417.77	392.44	384.34	363.56	123.5	325.29	463.65	185.11	753.83	66.65	31.67	69.52	31.9	50.63	25.91	0.0
ERMAP	115.97	60.82	59.97	134.3	181.28	156.59	92.7	163.28	332.14	163.28	194.36	156.59	175.07	228.13	170.25	111.99	134.3	214.27	121.79	167.9	244.57	223.41	107.38	283.05	180.02	293.07	150.17	220.32	332.14	303.44	279.14	323.03	379.04	400.71	629.35	490.14	262.2	285.03	232.94	309.83	154.42	182.55	389.72	297.17	283.05	476.71	139.07	132.44	138.1	145.02	116.78	145.02	0.0
EXOC6B	115.16	140.04	61.25	131.51	173.85	301.33	26.47	173.85	234.57	202.66	336.79	115.97	214.27	228.13	185.11	202.66	127.0	253.23	163.28	215.77	228.13	256.78	135.24	166.73	98.04	409.15	139.07	208.38	366.09	277.2	248.0	346.29	332.14	327.56	303.44	239.52	297.17	307.69	262.2	320.8	239.52	148.09	339.14	323.03	123.5	361.04	34.26	63.89	59.55	52.82	75.11	31.22	108.9
FAM13B	40.36	38.67	98.73	256.78	447.82	249.73	137.14	271.48	361.04	460.44	395.18	95.34	71.5	309.83	215.77	260.38	228.13	120.94	132.44	76.71	511.0	460.44	111.99	387.02	249.73	813.63	279.14	379.04	902.89	620.67	620.67	718.08	941.27	647.07	967.76	503.95	579.04	551.56	303.44	500.46	301.33	201.25	995.0	775.05	384.34	836.53	38.4	40.64	26.86	75.11	58.3	21.01	0.0
FAM178A	137.14	142.01	115.16	161.02	111.21	167.9	316.37	220.32	397.93	279.14	202.66	159.9	90.14	195.72	194.36	185.11	201.25	122.64	170.25	136.19	221.86	236.21	108.14	202.66	185.11	441.64	136.19	128.79	381.68	234.57	246.28	264.03	397.93	253.23	466.88	343.89	249.73	373.81	202.66	295.11	101.54	169.07	246.28	234.57	229.72	307.69	85.82	115.16	69.03	117.6	154.42	36.27	220.32
FAM179B	61.68	26.47	90.14	226.54	145.02	327.56	126.12	256.78	417.77	236.21	341.51	109.66	55.1	221.86	136.19	217.27	148.09	92.7	107.38	67.59	255.0	267.73	69.03	164.42	253.23	307.69	136.19	148.09	476.71	295.11	295.11	332.14	457.25	620.67	426.57	283.05	229.72	309.83	175.07	218.79	167.9	90.14	403.5	432.53	147.06	507.46	37.85	46.84	30.56	56.28	50.27	19.68	0.0
FEZ2	703.28	780.44	343.89	909.17	612.11	688.78	713.11	567.1	1143.1	928.3	934.76	738.29	629.35	947.83	674.59	607.87	872.1	723.08	780.44	559.28	748.61	884.29	525.39	981.29	525.39	1447.15	890.44	1088.92	1111.82	1104.13	1143.1	1883.54	1044.52	1519.15	1561.89	1159.07	1896.65	1191.69	1051.79	1216.75	1417.35	1286.18	1991.0	1051.79	1167.14	2178.83	204.07	368.65	316.37	170.25	511.0	293.07	0.0
FMN1	8.99	226.54	30.34	105.15	180.02	52.08	80.57	90.77	209.84	84.63	153.34	35.5	41.22	97.36	95.34	62.12	51.71	109.66	35.0	24.63	94.01	297.17	13.72	83.45	85.82	94.01	53.95	79.45	139.07	128.79	93.35	132.44	121.79	117.6	94.67	104.42	148.09	68.55	102.25	118.43	146.03	44.25	327.56	283.05	43.02	144.01	1.99	5.82	4.39	18.97	5.02	2.71	0.0
GABPA	95.34	161.02	98.04	236.21	287.01	267.73	212.78	303.44	361.04	325.29	332.14	241.19	253.23	348.71	205.5	293.07	164.42	271.48	234.57	165.57	269.6	423.61	193.01	265.87	236.21	638.15	146.03	299.25	703.28	406.31	420.68	647.07	616.37	356.05	575.03	486.75	384.34	454.09	511.0	400.71	323.03	262.2	718.08	379.04	368.65	669.92	117.6	87.65	102.25	124.37	95.34	64.34	0.0
GALC	133.36	208.38	115.16	264.03	323.03	447.82	150.17	334.46	414.87	361.04	379.04	128.79	193.01	327.56	287.01	493.56	279.14	281.09	368.65	190.34	363.56	476.71	149.12	620.67	241.19	483.38	223.41	327.56	571.05	429.54	376.41	660.68	387.02	255.0	961.07	309.83	255.0	599.49	246.28	470.14	209.84	249.73	656.11	305.55	307.69	473.41	35.5	50.63	90.77	85.22	37.85	132.44	0.0
GANC	182.55	72.52	88.88	152.28	170.25	199.85	82.29	176.29	273.37	156.59	142.01	108.14	134.3	123.5	206.94	58.71	212.78	165.57	73.03	126.12	173.85	325.29	100.13	258.57	171.45	320.8	171.45	199.85	624.99	323.03	256.78	339.14	387.02	256.78	409.15	193.01	366.09	384.34	201.25	463.65	163.28	226.54	363.56	447.82	267.73	291.04	178.77	148.09	132.44	170.25	96.68	112.77	0.0
GCC2	97.36	142.01	71.5	271.48	466.88	392.44	242.88	329.84	457.25	366.09	603.67	190.34	62.12	412.0	279.14	353.59	173.85	379.04	214.27	109.66	389.72	532.74	98.73	567.1	215.77	764.36	211.31	363.56	1037.29	599.49	435.55	995.0	921.88	1044.52	909.17	733.19	753.83	703.28	620.67	684.02	373.81	234.57	616.37	915.51	343.89	616.37	56.68	74.06	71.0	185.11	96.01	21.63	146.03
GIGYF2	256.78	140.04	463.65	529.06	753.83	466.88	473.41	511.0	967.76	698.41	941.27	450.94	231.32	693.58	669.92	525.39	551.56	629.35	486.75	301.33	647.07	934.76	299.25	825.0	612.11	974.5	532.74	595.34	1277.29	860.08	748.61	854.13	1167.14	1183.45	1340.84	1259.69	1183.45	1044.52	660.68	1175.27	612.11	299.25	1073.91	1119.56	559.28	1037.29	190.34	146.03	144.01	244.57	199.85	155.5	205.5
GLCE	112.77	113.56	98.04	301.33	277.2	253.23	104.42	320.8	748.61	217.27	312.0	167.9	269.6	368.65	221.86	187.71	217.27	246.28	384.34	358.54	497.0	866.07	182.55	283.05	728.11	476.71	361.04	281.09	633.73	371.22	480.04	532.74	791.35	409.15	2004.85	529.06	466.88	1191.69	366.09	954.43	221.86	356.05	379.04	1508.65	679.29	624.99	191.67	128.79	209.84	303.44	77.79	175.07	0.0
HEATR5B	67.59	68.07	59.55	215.77	283.05	239.52	241.19	323.03	392.44	260.38	320.8	178.77	176.29	265.87	218.79	226.54	162.14	205.5	231.32	223.41	248.0	341.51	111.99	295.11	214.27	441.64	181.28	206.94	591.22	358.54	320.8	423.61	669.92	341.51	656.11	536.45	409.15	334.46	264.03	283.05	143.01	111.99	379.04	460.44	226.54	547.75	72.01	45.85	40.36	85.22	62.12	56.68	0.0
HMG20A	190.34	146.03	154.42	381.68	406.31	543.96	241.19	441.64	579.04	420.68	450.94	249.73	463.65	470.14	490.14	260.38	400.71	277.2	341.51	406.31	397.93	503.95	312.0	432.53	285.03	620.67	303.44	305.55	785.88	567.1	529.06	629.35	813.63	536.45	808.0	507.46	540.19	718.08	403.5	713.11	473.41	267.73	759.08	575.03	316.37	813.63	285.03	244.57	251.48	214.27	198.47	226.54	234.57
HNRNPDL	2895.31	1909.85	2682.69	3039.3	4802.93	2417.67	2915.45	3540.14	5041.77	4010.71	3280.18	4704.07	1733.13	3874.05	4481.23	3540.14	3168.41	2255.7	2956.17	3820.7	4298.64	5831.91	3690.52	3103.19	3820.7	5872.48	4328.55	6745.86	8363.13	6745.86	5076.84	7433.4	7230.1	8718.32	4358.66	6381.92	5791.62	6294.04	7230.1	4769.75	8479.89	2976.74	8658.09	6037.61	5555.65	6792.79	1378.57	2119.22	1340.84	954.43	1467.37	1295.13	0.0
HNRNPH2	928.3	974.5	1322.37	2400.97	2777.33	1350.18	1662.49	2224.63	3146.52	2417.67	2417.67	1594.73	1508.65	2739.08	1757.34	2739.08	1674.06	1572.76	1388.16	1427.22	2537.92	2956.17	1407.55	1794.29	1250.98	2255.7	2133.97	2627.46	1819.35	2148.82	2417.67	2537.92	2976.74	3146.52	3419.52	2720.15	2609.3	1685.71	3847.29	2451.44	4038.61	2485.67	3419.52	2351.53	2417.67	3124.78	934.76	1359.57	1561.89	1551.09	723.08	967.76	0.0
IKZF5	64.34	44.25	97.36	297.17	236.21	251.48	251.48	279.14	381.68	269.6	194.36	183.82	201.25	224.97	149.12	262.2	155.5	171.45	142.01	117.6	339.14	476.71	124.37	242.88	214.27	555.41	133.36	199.85	616.37	406.31	389.72	497.0	559.28	457.25	525.39	521.76	316.37	406.31	473.41	323.03	358.54	136.19	536.45	587.13	271.48	500.46	76.17	76.17	98.73	95.34	54.33	59.55	0.0
KDM3B	159.9	198.47	384.34	620.67	785.88	703.28	392.44	854.13	836.53	884.29	796.86	384.34	348.71	753.83	738.29	860.08	629.35	441.64	373.81	281.09	974.5	902.89	426.57	616.37	819.3	1151.06	603.67	713.11	1208.34	1023.0	988.12	947.83	1313.23	921.88	1225.22	1519.15	1167.14	1191.69	1051.79	1023.0	457.25	497.0	1127.35	995.0	674.59	902.89	218.79	177.53	148.09	281.09	221.86	136.19	0.0
KIAA0232	71.0	58.71	217.27	297.17	490.14	251.48	198.47	406.31	457.25	343.89	389.72	98.04	85.82	376.41	334.46	287.01	158.79	125.24	169.07	114.36	397.93	547.75	68.07	277.2	163.28	559.28	253.23	406.31	511.0	486.75	486.75	651.58	376.41	476.71	543.96	575.03	381.68	642.59	500.46	435.55	128.79	112.77	341.51	414.87	454.09	214.27	80.57	142.01	143.01	149.12	136.19	60.39	0.0
KIAA0430	228.13	249.73	450.94	728.11	532.74	579.04	543.96	599.49	738.29	703.28	669.92	232.94	363.56	878.17	389.72	796.86	525.39	532.74	591.22	381.68	941.27	967.76	358.54	536.45	579.04	1233.75	514.56	559.28	1304.15	995.0	947.83	934.76	1397.83	1151.06	1417.35	1037.29	854.13	1250.98	718.08	1216.75	563.18	426.57	981.29	1529.73	486.75	1191.69	202.66	208.38	205.5	371.22	232.94	220.32	0.0
KIAA1109	180.02	117.6	165.57	371.22	819.3	718.08	303.44	603.67	842.36	532.74	525.39	249.73	201.25	555.41	507.46	525.39	341.51	571.05	463.65	318.57	854.13	902.89	187.71	785.88	258.57	1477.58	412.0	708.18	1857.6	995.0	830.75	1286.18	1697.45	1167.14	1757.34	1135.2	1119.56	954.43	884.29	813.63	325.29	327.56	1340.84	974.5	426.57	1572.76	152.28	135.24	134.3	156.59	120.1	84.04	0.0
KIAA1377	12.45	47.5	80.57	11.82	46.5	59.97	23.59	19.39	126.12	108.9	303.44	18.03	4.28	57.08	26.86	45.21	32.13	9.06	66.65	7.57	85.22	116.78	18.16	9.34	116.78	186.4	54.72	98.73	185.11	114.36	145.02	249.73	316.37	429.54	151.22	241.19	221.86	131.51	70.01	232.94	38.4	23.59	53.57	206.94	29.7	98.73	0.0	2.61	3.82	1.55	7.34	0.0	99.43
KIAA1737	93.35	108.14	244.57	651.58	389.72	376.41	173.85	540.19	748.61	387.02	283.05	201.25	166.73	651.58	414.87	607.87	301.33	269.6	218.79	249.73	551.56	629.35	126.12	314.17	307.69	583.07	318.57	346.29	708.18	559.28	629.35	583.07	665.29	902.89	563.18	1015.93	507.46	429.54	583.07	497.0	336.79	195.72	1183.45	603.67	363.56	842.36	70.01	75.64	111.21	63.45	85.22	122.64	0.0
