	TCGA.UY.A8OD.01A.11R.A36F.07	TCGA.E2.A14Y.01A.21R.A12D.07	TCGA.B6.A1KN.01A.11R.A13Q.07	TCGA.OL.A5RZ.01A.11R.A28M.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.BH.A1EV.01A.11R.A137.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A2.A1G1.01A.21R.A13Q.07	TCGA.A7.A2KD.01A.31R.A21T.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E2.A1B0.01A.11R.A12P.07	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DI.A2QT.01A.12R.A19W.07
BIRC2	312.0	575.03	934.76	285.03	928.3	743.43	595.34	1104.13	836.53	555.41	713.11	483.38	941.27	1322.37	591.22	518.15	366.09	295.11	155.5
BLOC1S6	363.56	373.81	555.41	279.14	941.27	567.1	547.75	819.3	638.15	454.09	500.46	348.71	620.67	1051.79	320.8	395.18	244.57	150.17	206.94
BNIP2	808.0	928.3	1457.23	796.86	1104.13	486.75	796.86	1437.15	1037.29	412.0	934.76	825.0	1259.69	2148.82	748.61	575.03	332.14	490.14	583.07
CAPRIN2	155.5	47.84	144.01	94.67	232.94	281.09	121.79	320.8	307.69	102.25	149.12	87.03	111.99	291.04	95.34	157.68	87.03	65.72	95.34
CCDC91	231.32	476.71	511.0	1096.5	521.76	825.0	346.29	1617.0	1685.71	463.65	529.06	314.17	363.56	698.41	441.64	332.14	251.48	63.0	314.17
CCNT1	80.57	133.36	256.78	97.36	341.51	234.57	181.28	275.28	299.25	237.86	176.29	150.17	173.85	595.34	85.82	120.1	49.91	38.67	180.02
CELF1	540.19	796.86	1233.75	848.22	1447.15	1073.91	728.11	1437.15	1191.69	902.89	808.0	693.58	1008.9	1447.15	267.73	473.41	358.54	591.22	432.53
COG5	220.32	277.2	791.35	334.46	775.05	429.54	277.2	780.44	679.29	379.04	543.96	314.17	775.05	651.58	273.37	133.36	153.34	77.79	156.59
CRLF3	187.71	144.01	327.56	45.53	318.57	107.38	246.28	457.25	297.17	96.68	180.02	182.55	348.71	381.68	269.6	226.54	68.07	35.76	141.02
CUL4B	379.04	503.95	796.86	444.72	1051.79	915.51	500.46	974.5	884.29	679.29	713.11	295.11	813.63	1359.57	366.09	376.41	155.5	104.42	297.17
DDX11	253.23	555.41	361.04	514.56	299.25	532.74	373.81	981.29	775.05	400.71	543.96	358.54	281.09	373.81	167.9	149.12	100.13	116.78	460.44
DENR	647.07	1167.14	1313.23	941.27	1561.89	1059.11	961.07	1594.73	1883.54	878.17	866.07	579.04	1073.91	1350.18	1051.79	373.81	239.52	212.78	403.5
DHFR	299.25	503.95	934.76	395.18	684.02	409.15	587.13	1127.35	1001.93	679.29	688.78	320.8	587.13	660.68	476.71	178.77	234.57	373.81	660.68
DUSP8	47.84	156.59	454.09	307.69	346.29	131.51	218.79	529.06	251.48	231.32	297.17	195.72	423.61	518.15	170.25	13.62	113.56	229.72	113.56
EIF4G2	8718.32	14361.31	11189.6	11189.6	15392.14	13586.57	9088.59	17927.91	15934.98	11745.96	11267.44	8840.04	10659.59	11745.96	5831.91	3349.13	2004.85	2224.63	2255.7
ERGIC2	1233.75	2875.3	2255.7	1250.98	2384.37	6652.97	1909.85	9673.69	7966.99	3742.05	1769.57	2032.85	2240.11	2224.63	2502.97	872.1	525.39	237.86	1594.73
FAM118B	194.36	307.69	346.29	158.79	358.54	215.77	316.37	466.88	368.65	248.0	336.79	229.72	400.71	255.0	295.11	169.07	81.71	82.29	91.41
FAM126B	70.01	93.35	122.64	46.18	201.25	109.66	91.41	131.51	164.42	98.73	73.03	67.59	125.24	229.72	86.43	63.0	22.92	30.34	53.95
FAM199X	320.8	283.05	579.04	279.14	490.14	457.25	297.17	759.08	759.08	480.04	397.93	260.38	642.59	571.05	157.68	108.14	82.29	75.11	497.0
FAM3C	503.95	1208.34	1250.98	417.77	1233.75	514.56	808.0	1268.46	1781.89	974.5	1030.12	642.59	1340.84	1350.18	1037.29	363.56	376.41	320.8	607.87
FAM76B	124.37	195.72	253.23	103.69	366.09	289.02	182.55	371.22	376.41	176.29	264.03	236.21	363.56	748.61	90.77	312.0	83.45	46.84	70.51
FCHSD2	182.55	172.65	497.0	148.09	607.87	285.03	353.59	559.28	470.14	323.03	381.68	198.47	753.83	532.74	204.07	70.51	55.1	90.77	89.51
FER	72.01	56.68	90.77	23.76	129.69	67.59	41.52	121.79	62.12	39.5	72.01	20.86	117.6	194.36	28.65	21.78	49.21	13.52	71.0
FMR1NB	0.0	0.97	0.64	0.91	0.0	1.38	0.0	1.03	1.95	0.0	0.79	0.0	0.0	2.2	0.0	0.0	0.0	0.0	6.16
FRYL	186.4	336.79	591.22	297.17	785.88	426.57	334.46	486.75	842.36	320.8	361.04	220.32	470.14	769.69	120.1	99.43	63.89	46.18	234.57
FUT11	334.46	305.55	258.57	117.6	536.45	595.34	248.0	507.46	358.54	291.04	312.0	223.41	397.93	376.41	267.73	102.97	128.79	81.14	447.82
GPATCH8	118.43	150.17	297.17	132.44	497.0	255.0	279.14	395.18	497.0	229.72	204.07	157.68	277.2	624.99	108.14	205.5	102.97	51.71	75.64
GTF2H3	186.4	403.5	775.05	180.02	848.22	698.41	444.72	866.07	1037.29	339.14	336.79	258.57	607.87	896.64	379.04	223.41	131.51	114.36	234.57
GTF3C3	248.0	281.09	480.04	283.05	507.46	356.05	305.55	503.95	529.06	271.48	275.28	231.32	412.0	738.29	178.77	206.94	123.5	81.14	246.28
HERC4	346.29	379.04	518.15	318.57	703.28	518.15	400.71	651.58	612.11	466.88	543.96	387.02	435.55	872.1	368.65	128.79	234.57	159.9	381.68
HTT	182.55	221.86	348.71	229.72	567.1	414.87	409.15	555.41	463.65	547.75	194.36	209.84	514.56	441.64	186.4	128.79	171.45	198.47	201.25
INO80D	85.22	58.71	87.03	36.01	105.89	63.45	40.36	88.88	121.79	35.76	65.26	46.18	67.59	191.67	25.17	26.28	20.86	8.19	28.45
ITCH	251.48	341.51	693.58	144.01	703.28	642.59	309.83	967.76	473.41	426.57	406.31	389.72	825.0	785.88	241.19	258.57	262.2	185.11	299.25
KIAA0947	267.73	358.54	293.07	185.11	379.04	295.11	273.37	435.55	490.14	209.84	234.57	150.17	490.14	607.87	152.28	113.56	118.43	29.7	239.52
KIAA1033	214.27	253.23	470.14	325.29	587.13	309.83	334.46	571.05	555.41	199.85	356.05	190.34	518.15	954.43	229.72	256.78	149.12	77.79	162.14
KLHL11	7.4	12.45	46.5	9.48	103.69	31.22	32.36	46.5	60.82	31.67	29.27	15.34	48.52	84.63	7.11	37.32	8.25	3.26	3.26
KLHL28	77.25	90.77	117.6	33.3	267.73	128.79	85.82	137.14	147.06	74.58	122.64	78.34	140.04	353.59	70.51	46.84	27.05	22.43	16.39
KRTAP5-8	3.5	0.0	2.01	0.67	0.0	2.58	0.0	2.53	2.1	0.75	6.16	0.75	4.21	1.2	0.13	1.17	0.0	0.0	1.46
LEPROT	1551.09	511.0	1175.27	314.17	1794.29	1143.1	934.76	1498.22	1572.76	759.08	1191.69	836.53	1175.27	2895.31	764.36	698.41	406.31	438.59	460.44
LRIG2	111.99	62.12	81.14	52.08	144.01	133.36	62.12	143.01	127.0	71.0	101.54	63.89	94.67	271.48	59.55	48.87	44.89	13.22	45.53
LSM11	73.03	43.32	60.39	29.48	76.71	46.18	45.85	58.71	65.72	38.67	40.07	40.64	55.1	110.43	30.56	24.11	24.46	12.0	35.0
MED17	253.23	723.08	878.17	684.02	860.08	595.34	567.1	1359.57	674.59	733.19	647.07	395.18	1331.57	1487.87	934.76	361.04	223.41	94.01	129.69
MEF2A	341.51	314.17	860.08	205.5	620.67	412.0	312.0	902.89	470.14	248.0	890.44	356.05	486.75	1135.2	190.34	127.0	115.97	110.43	189.02
MIER1	271.48	293.07	529.06	94.67	529.06	417.77	444.72	571.05	486.75	358.54	334.46	221.86	432.53	743.43	275.28	144.01	88.88	81.71	183.82
MOSPD1	325.29	291.04	379.04	173.85	279.14	262.2	133.36	299.25	397.93	277.2	343.89	139.07	348.71	381.68	231.32	70.51	41.81	63.45	111.21
MTM1	70.01	111.99	283.05	84.63	273.37	178.77	199.85	279.14	211.31	156.59	307.69	120.94	291.04	389.72	154.42	89.51	76.71	145.02	138.1
MTMR1	242.88	269.6	529.06	358.54	429.54	423.61	339.14	688.78	540.19	334.46	281.09	206.94	476.71	563.18	228.13	101.54	64.34	116.78	185.11
N4BP1	423.61	444.72	769.69	438.59	1127.35	343.89	358.54	974.5	457.25	525.39	660.68	277.2	743.43	1119.56	312.0	232.94	215.77	80.01	351.14
NBEAL1	78.89	80.57	89.51	29.06	157.68	105.89	66.65	135.24	154.42	83.45	80.01	48.52	155.5	248.0	82.29	89.51	73.03	44.57	118.43
NCR3LG1	2.71	2.81	14.24	1.36	12.09	8.32	3.38	27.25	17.38	3.32	3.79	2.94	10.0	11.82	2.01	1.03	2.53	0.74	1.08
NEK1	54.33	102.97	140.04	55.89	265.87	108.14	85.82	121.79	161.02	81.71	83.45	80.01	91.41	287.01	93.35	44.25	24.63	19.53	37.05
NEMF	825.0	454.09	429.54	470.14	995.0	651.58	473.41	708.18	647.07	429.54	551.56	397.93	633.73	1159.07	358.54	279.14	232.94	66.18	567.1
NFAT5	43.32	78.34	208.38	47.17	229.72	87.65	47.17	275.28	112.77	105.15	116.78	62.12	175.07	703.28	32.13	29.7	11.82	12.09	29.48
NINJ2	412.0	379.04	147.06	271.48	273.37	454.09	162.14	441.64	379.04	176.29	351.14	223.41	379.04	145.02	122.64	172.65	279.14	94.01	115.97
NOL9	82.87	131.51	101.54	59.97	191.67	221.86	84.04	176.29	178.77	57.89	119.26	100.13	158.79	309.83	50.98	73.03	47.84	47.17	100.13
NR2C1	403.5	395.18	595.34	808.0	511.0	275.28	209.84	688.78	483.38	341.51	177.53	193.01	703.28	961.07	249.73	403.5	228.13	158.79	368.65
NR2C2	75.11	131.51	148.09	73.03	211.31	267.73	120.94	212.78	150.17	129.69	171.45	146.03	329.84	379.04	30.12	43.32	30.56	19.25	111.99
NUP160	258.57	409.15	536.45	332.14	769.69	423.61	348.71	796.86	595.34	454.09	281.09	297.17	518.15	830.75	180.02	226.54	111.21	115.16	220.32
OMA1	514.56	540.19	575.03	198.47	713.11	708.18	379.04	698.41	684.02	532.74	620.67	309.83	656.11	866.07	575.03	241.19	283.05	285.03	417.77
PAXBP1	226.54	283.05	379.04	246.28	567.1	473.41	291.04	460.44	417.77	212.78	435.55	242.88	511.0	902.89	177.53	197.09	115.97	39.22	327.56
PCNX	307.69	194.36	193.01	138.1	400.71	299.25	201.25	291.04	258.57	201.25	198.47	90.77	336.79	748.61	90.14	100.83	95.34	125.24	242.88
PDHX	555.41	555.41	642.59	536.45	785.88	669.92	476.71	693.58	633.73	612.11	476.71	277.2	647.07	651.58	466.88	660.68	387.02	514.56	435.55
PDS5A	366.09	890.44	1001.93	748.61	1183.45	674.59	738.29	954.43	1143.1	836.53	759.08	397.93	796.86	1350.18	351.14	275.28	156.59	157.68	241.19
PEAK1	102.97	93.35	181.28	33.54	450.94	201.25	139.07	215.77	264.03	140.04	318.57	90.14	287.01	348.71	50.98	44.57	47.17	31.22	63.0
PHF16	125.24	163.28	295.11	242.88	503.95	208.38	119.26	371.22	161.02	143.01	255.0	177.53	273.37	198.47	50.27	70.01	50.27	54.33	41.81
PHF6	140.04	249.73	454.09	158.79	536.45	389.72	392.44	679.29	476.71	318.57	457.25	130.6	417.77	551.56	162.14	60.39	50.27	36.27	124.37
PHKA1	70.51	136.19	68.07	175.07	215.77	170.25	102.97	206.94	211.31	190.34	141.02	40.64	239.52	185.11	30.56	21.32	2.12	14.14	25.72
PIK3C2A	234.57	209.84	426.57	145.02	733.19	400.71	283.05	616.37	480.04	293.07	358.54	195.72	518.15	791.35	96.68	109.66	54.33	23.93	96.01
PIKFYVE	71.0	64.8	143.01	46.18	244.57	112.77	100.13	170.25	239.52	94.67	127.0	93.35	137.14	351.14	33.54	114.36	42.41	28.86	56.28
RBM41	90.14	132.44	217.27	96.68	277.2	218.79	145.02	423.61	305.55	161.02	236.21	70.51	251.48	329.84	84.63	101.54	78.89	36.79	159.9
RBMX	2935.74	3874.05	3491.39	3742.05	3564.78	3467.27	3039.3	4095.0	5041.77	3443.31	2739.08	2720.15	2976.74	6207.38	3235.01	1477.58	842.36	665.29	2645.74
REV3L	180.02	114.36	136.19	70.51	265.87	189.02	145.02	214.27	194.36	112.77	121.79	70.01	253.23	450.94	90.14	108.14	67.59	33.06	175.07
RIF1	120.1	202.66	262.2	103.69	450.94	229.72	177.53	323.03	309.83	258.57	193.01	118.43	320.8	684.02	83.45	87.65	37.59	14.03	76.71
RPGR	88.26	76.71	191.67	115.97	165.57	112.77	108.9	175.07	130.6	92.7	92.7	50.27	186.4	244.57	69.03	46.5	77.25	24.81	60.82
RPL19	1578364.61	619179.28	542775.98	2343119.96	39785.74	383800.28	411347.03	32994.92	422911.59	839981.65	2845004.48	482442.34	345900.08	48307.85	531605.79	124000.67	74760.09	29943.43	1318073.06
SGMS2	105.89	208.38	129.69	16.75	151.22	229.72	130.6	379.04	248.0	127.89	187.71	197.09	180.02	316.37	86.43	57.08	60.82	51.71	59.97
SLC25A43	79.45	409.15	441.64	131.51	409.15	432.53	237.86	603.67	591.22	244.57	409.15	182.55	511.0	409.15	309.83	204.07	163.28	98.73	183.82
SMG1	132.44	189.02	511.0	234.57	647.07	412.0	303.44	647.07	603.67	343.89	343.89	197.09	532.74	848.22	74.06	84.04	54.33	33.78	149.12
SPDL1	143.01	237.86	291.04	190.34	209.84	215.77	141.02	379.04	463.65	251.48	218.79	164.42	236.21	265.87	77.79	72.01	89.51	13.62	825.0
SPRY3	2.32	6.26	5.15	2.18	6.62	4.58	3.59	9.63	11.47	3.86	10.63	2.78	10.39	11.73	0.35	0.73	0.72	1.41	1.91
SSB	2855.44	2591.27	2627.46	2209.26	2915.45	2319.15	2485.67	3467.27	3325.99	2591.27	2287.2	1697.45	2555.58	2816.11	2287.2	1397.83	909.17	204.07	2573.36
SSH1	130.6	127.0	239.52	95.34	403.5	226.54	185.11	312.0	277.2	142.01	224.97	110.43	283.05	339.14	102.25	75.64	59.13	71.5	71.5
STAG2	412.0	620.67	954.43	376.41	1295.13	802.41	591.22	1397.83	1127.35	808.0	698.41	309.83	1104.13	1883.54	612.11	262.2	153.34	94.67	269.6
STK4	208.38	173.85	363.56	115.16	540.19	289.02	293.07	466.88	529.06	251.48	363.56	237.86	426.57	490.14	108.14	82.87	98.73	61.68	202.66
TCP11L2	50.98	89.51	119.26	161.02	161.02	129.69	86.43	177.53	112.77	53.19	201.25	72.52	206.94	429.54	62.56	21.94	14.35	20.11	71.0
TFAM	193.01	525.39	624.99	366.09	860.08	536.45	540.19	780.44	1096.5	764.36	532.74	497.0	698.41	1111.82	583.07	341.51	153.34	114.36	429.54
THOC2	647.07	764.36	954.43	769.69	1295.13	928.3	934.76	1572.76	1605.83	830.75	785.88	466.88	1350.18	1572.76	341.51	414.87	236.21	76.71	748.61
TLK1	381.68	447.82	500.46	426.57	928.3	536.45	429.54	571.05	587.13	323.03	473.41	343.89	555.41	967.76	289.02	332.14	178.77	83.45	161.02
TMEM184A	759.08	193.01	260.38	435.55	339.14	279.14	267.73	334.46	341.51	299.25	221.86	107.38	249.73	190.34	96.68	32.36	158.79	190.34	198.47
TMX3	241.19	336.79	579.04	159.9	607.87	205.5	392.44	518.15	525.39	229.72	406.31	429.54	529.06	974.5	295.11	176.29	107.38	44.25	194.36
TNKS	83.45	80.01	187.71	69.52	346.29	283.05	147.06	447.82	295.11	131.51	149.12	121.79	132.44	423.61	71.0	59.55	29.06	47.5	68.55
TRIM25	438.59	358.54	373.81	279.14	429.54	423.61	376.41	587.13	660.68	454.09	334.46	318.57	373.81	555.41	115.97	287.01	312.0	81.71	435.55
TULP4	56.68	186.4	123.5	194.36	199.85	157.68	162.14	273.37	246.28	181.28	202.66	110.43	149.12	122.64	24.28	52.45	30.78	19.97	55.49
USP16	283.05	679.29	738.29	400.71	884.29	483.38	540.19	921.88	698.41	708.18	921.88	343.89	902.89	1159.07	470.14	412.0	395.18	81.71	403.5
VMA21	262.2	543.96	438.59	163.28	381.68	295.11	267.73	563.18	703.28	358.54	460.44	173.85	420.68	514.56	269.6	163.28	148.09	92.05	466.88
VPS33A	206.94	239.52	400.71	271.48	470.14	414.87	325.29	470.14	447.82	190.34	285.03	182.55	356.05	305.55	190.34	255.0	189.02	159.9	170.25
VPS37A	336.79	379.04	493.56	379.04	718.08	723.08	381.68	1051.79	860.08	366.09	450.94	325.29	397.93	759.08	497.0	273.37	105.15	183.82	256.78
WDR44	111.21	135.24	211.31	48.18	285.03	198.47	117.6	332.14	323.03	94.01	104.42	96.01	208.38	293.07	97.36	75.64	48.18	82.87	51.35
YIPF6	343.89	536.45	607.87	339.14	995.0	813.63	555.41	1096.5	1191.69	785.88	848.22	275.28	1175.27	825.0	283.05	353.59	279.14	356.05	441.64
ZBTB33	103.69	384.34	392.44	262.2	540.19	432.53	241.19	518.15	457.25	316.37	463.65	197.09	363.56	723.08	356.05	212.78	117.6	87.03	133.36
ZBTB39	30.56	37.32	73.54	66.65	98.04	58.71	52.82	62.56	76.17	64.34	57.89	34.75	58.3	109.66	45.21	46.5	13.22	15.11	34.51
ZCCHC11	656.11	356.05	242.88	368.65	392.44	325.29	379.04	503.95	624.99	291.04	518.15	104.42	450.94	967.76	135.24	743.43	199.85	92.05	450.94
ZNF280C	52.45	54.72	44.25	23.59	62.12	50.63	27.44	109.66	78.34	18.7	58.71	25.54	56.28	88.26	10.79	12.64	5.32	4.5	21.32
ZNF621	43.63	49.21	125.24	48.18	197.09	114.36	96.01	143.01	171.45	59.55	108.14	58.3	190.34	242.88	31.67	50.27	37.59	31.22	33.78
ZRANB1	223.41	258.57	260.38	242.88	403.5	295.11	239.52	299.25	320.8	265.87	195.72	209.84	312.0	665.29	212.78	460.44	208.38	256.78	220.32
