	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.AK.3425.01A.02R.1277.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.B0.4815.01A.01R.1503.07	TCGA.A3.3319.01A.02R.1325.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.BP.4176.01A.02R.1289.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13113.1326.SM.5GCOI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
C19orf81	3.66	58.3	158.79	381.68	194.36	21.94	4.1	5.11	2.2	7.51	119.26	67.59	9.41	127.89	2.29	96.68	44.89	128.79	0.0	3.2	0.0	6.62	0.0	18.97	0.0	0.0	0.0	7.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66	0.0	0.0	2.76	4.43	10.55	0.0	0.0	0.17
C7orf49	543.96	2609.3	1844.76	2855.44	2720.15	1467.37	2682.69	1832.01	2287.2	4419.52	3690.52	2303.12	2148.82	2417.67	3190.46	2855.44	1769.57	1662.49	599.49	967.76	567.1	780.44	555.41	591.22	423.61	575.03	490.14	620.67	1015.93	563.18	1081.39	395.18	551.56	587.13	529.06	780.44	785.88	346.29	563.18	819.3	813.63	1427.22	0.0	0.23
CDC25B	231.32	688.78	1001.93	1397.83	1044.52	743.43	941.27	376.41	325.29	2319.15	587.13	1044.52	339.14	669.92	371.22	341.51	371.22	1277.29	400.71	275.28	406.31	587.13	325.29	356.05	503.95	642.59	161.02	392.44	248.0	490.14	463.65	305.55	297.17	295.11	229.72	267.73	454.09	142.01	251.48	145.02	400.71	389.72	1407.55	246.28
CDIPT	1639.59	2682.69	3614.55	2682.69	3395.89	2796.65	3820.7	2417.67	3039.3	1508.65	2701.35	2224.63	4038.61	3467.27	2875.3	2163.77	1909.85	4671.57	2796.65	2664.15	1883.54	2303.12	3103.19	1135.2	2537.92	1388.16	1340.84	1819.35	1697.45	2209.26	3467.27	1594.73	1594.73	1340.84	1628.26	4388.98	3257.52	1794.29	2555.58	2400.97	3039.3	2163.77	0.0	0.74
CDK5	229.72	656.11	713.11	743.43	651.58	460.44	748.61	647.07	358.54	743.43	1519.15	579.04	583.07	529.06	698.41	559.28	441.64	384.34	229.72	151.22	154.42	285.03	180.02	205.5	297.17	343.89	206.94	249.73	264.03	115.16	329.84	157.68	242.88	343.89	204.07	177.53	221.86	220.32	237.86	221.86	395.18	197.09	0.0	0.0
CEP55	5.92	57.08	244.57	67.12	85.82	84.63	80.57	72.01	44.57	113.56	98.73	157.68	223.41	91.41	105.15	58.71	64.8	32.36	2.56	1.39	8.85	23.42	7.17	16.15	6.21	14.67	3.29	0.87	11.3	0.0	15.91	2.36	10.63	4.31	2.23	3.06	1.68	1.64	1.53	0.0	4.54	14.35	0.0	0.0
CHMP4B	1322.37	3742.05	5006.93	4298.64	4268.94	2855.44	4210.15	3168.41	3280.18	6381.92	4038.61	3768.09	5329.3	4575.41	3639.7	3039.3	3018.3	3820.7	1242.34	1883.54	1639.59	1769.57	2537.92	1268.46	1923.14	1529.73	1896.65	1794.29	1651.0	3235.01	2209.26	1674.06	1498.22	1519.15	2004.85	1685.71	1313.23	1359.57	1216.75	1331.57	1697.45	1313.23	0.0	0.84
CHPF2	329.84	559.28	1008.9	785.88	759.08	723.08	941.27	738.29	688.78	616.37	947.83	764.36	497.0	567.1	981.29	703.28	435.55	429.54	309.83	279.14	389.72	403.5	698.41	612.11	381.68	426.57	423.61	309.83	312.0	1199.98	540.19	444.72	339.14	387.02	444.72	234.57	297.17	406.31	353.59	180.02	460.44	366.09	0.0	0.4
CLIC3	44.57	33.3	63.45	181.28	185.11	198.47	497.0	237.86	105.89	102.25	164.42	97.36	224.97	68.07	226.54	287.01	25.72	142.01	10.79	9.93	11.64	77.25	10.63	10.16	12.09	41.22	3.72	1.5	7.34	5.68	7.82	18.43	0.72	6.52	10.55	6.52	6.78	22.1	20.11	8.65	10.55	32.36	0.0	0.34
CLN3	633.73	1143.1	1572.76	1216.75	1857.6	1286.18	1936.53	1183.45	1183.45	995.0	1709.26	1617.0	1378.57	1388.16	1119.56	1605.83	1037.29	1697.45	802.41	764.36	642.59	813.63	688.78	647.07	1111.82	802.41	928.3	713.11	1268.46	483.38	1594.73	423.61	974.5	490.14	753.83	733.19	780.44	567.1	854.13	551.56	1119.56	1250.98	2591.27	961.07
CLRN3	759.08	2255.7	2367.9	2384.37	2555.58	2032.85	3168.41	1909.85	1883.54	4358.66	2758.13	2075.59	3794.3	3419.52	3124.78	2367.9	2451.44	2104.58	934.76	759.08	836.53	2434.5	71.0	339.14	2875.3	8363.13	1477.58	125.24	2956.17	30.78	480.04	3018.3	708.18	1167.14	2178.83	1794.29	166.73	1733.13	2047.0	1015.93	1277.29	4704.07	0.0	0.0
COMMD7	825.0	1950.0	2555.58	2319.15	2591.27	1757.34	3349.13	2271.4	2104.58	1781.89	2351.53	1832.01	4181.07	2287.2	2417.67	1819.35	2032.85	2335.28	813.63	728.11	753.83	733.19	612.11	728.11	995.0	1331.57	376.41	612.11	854.13	607.87	708.18	521.76	669.92	529.06	693.58	813.63	521.76	435.55	860.08	599.49	703.28	713.11	0.0	0.66
COPS7A	1127.35	1870.53	1781.89	1832.01	2193.99	2133.97	2400.97	2018.8	2240.11	1697.45	1709.26	1819.35	2319.15	1806.78	2240.11	1870.53	1923.14	1447.15	1167.14	848.22	1030.12	1417.35	1628.26	961.07	1104.13	1617.0	890.44	967.76	1583.71	981.29	1096.5	1023.0	1378.57	1639.59	1151.06	836.53	1059.11	1498.22	1066.48	1151.06	1233.75	1143.1	0.0	0.39
COQ5	947.83	1350.18	967.76	808.0	1225.22	1088.92	1066.48	1104.13	1388.16	1073.91	836.53	974.5	1662.49	1096.5	1369.04	1044.52	1127.35	785.88	1183.45	884.29	866.07	941.27	708.18	1175.27	848.22	1104.13	780.44	1096.5	1208.34	429.54	1250.98	559.28	1199.98	896.64	708.18	1037.29	1277.29	1051.79	1397.83	1119.56	775.05	1143.1	0.0	0.08
COQ7	318.57	450.94	629.35	454.09	633.73	432.53	830.75	470.14	470.14	450.94	575.03	438.59	713.11	493.56	417.77	476.71	543.96	493.56	239.52	244.57	246.28	226.54	417.77	264.03	289.02	223.41	155.5	264.03	273.37	132.44	170.25	209.84	182.55	234.57	341.51	299.25	336.79	189.02	167.9	287.01	232.94	187.71	0.0	0.26
COX14	2645.74	1950.0	3325.99	3190.46	2319.15	1950.0	2555.58	3124.78	2287.2	2271.4	3467.27	2255.7	4481.23	2627.46	3982.99	2209.26	3212.66	1909.85	2367.9	2018.8	1662.49	2240.11	1628.26	2047.0	2163.77	3589.58	1806.78	1857.6	2720.15	2133.97	3060.45	1909.85	1857.6	2004.85	2255.7	2119.22	2061.24	1457.23	2855.44	2178.83	1909.85	2367.9	0.0	0.75
COX6A1P2	137.14	72.52	255.0	148.09	279.14	165.57	172.65	181.28	89.51	136.19	241.19	147.06	181.28	158.79	189.02	177.53	110.43	170.25	97.36	167.9	112.77	65.72	96.01	81.14	202.66	104.42	182.55	108.14	197.09	103.69	133.36	114.36	136.19	194.36	99.43	151.22	138.1	102.25	115.97	206.94	77.79	139.07	0.0	0.37
CRNKL1	277.2	409.15	642.59	567.1	366.09	351.14	551.56	379.04	320.8	339.14	371.22	483.38	198.47	454.09	295.11	307.69	414.87	563.18	295.11	320.8	429.54	368.65	312.0	271.48	195.72	255.0	316.37	466.88	214.27	384.34	406.31	262.2	269.6	167.9	305.55	432.53	361.04	201.25	318.57	120.1	293.07	376.41	0.0	0.25
CYBA	1583.71	5255.91	16960.78	4419.52	11664.82	8658.09	10225.32	13776.25	7130.55	16157.44	15180.22	12589.08	6121.9	5672.41	14361.31	13123.73	7642.41	7382.04	1769.57	836.53	1963.57	18304.63	10154.69	4512.4	3491.39	6250.56	1359.57	490.14	6652.97	954.43	7081.29	961.07	830.75	2956.17	2240.11	507.46	384.34	1159.07	1030.12	551.56	4210.15	7803.01	0.0	0.96
DCTN2	1340.84	6607.01	5441.3	5711.87	4607.24	5791.62	5403.7	4736.79	6983.79	5183.54	3742.05	3955.48	6887.62	3820.7	5479.15	4298.64	4671.57	3690.52	1498.22	1259.69	1268.46	2271.4	2271.4	1757.34	1819.35	1709.26	1551.09	2148.82	1685.71	2384.37	2739.08	1457.23	1605.83	1487.87	2209.26	1286.18	1605.83	2061.24	1594.73	878.17	2485.67	1594.73	0.0	1.25
DEF8	303.44	872.1	1304.15	728.11	967.76	819.3	1331.57	1350.18	1167.14	525.39	1277.29	988.12	1051.79	884.29	1066.48	1111.82	743.43	848.22	255.0	363.56	249.73	547.75	713.11	450.94	429.54	454.09	406.31	547.75	361.04	674.59	466.88	363.56	454.09	358.54	435.55	236.21	299.25	587.13	368.65	169.07	483.38	532.74	0.0	1.01
DERA	1331.57	2627.46	2351.53	2855.44	3491.39	2935.74	5913.33	3742.05	2664.15	3235.01	2591.27	1594.73	4836.35	2255.7	3768.09	1806.78	2133.97	1697.45	1208.34	1119.56	947.83	1225.22	988.12	2004.85	1225.22	1477.58	1883.54	775.05	2061.24	642.59	988.12	872.1	1857.6	1628.26	1508.65	915.51	1709.26	1745.2	1191.69	1268.46	2061.24	1651.0	0.0	0.45
DIABLO	1167.14	2537.92	2645.74	2255.7	1794.29	2163.77	2609.3	2468.49	1896.65	1950.0	1857.6	1745.2	3372.43	2018.8	2367.9	2018.8	1991.0	1721.16	1081.39	1104.13	1277.29	1417.35	1991.0	1447.15	1023.0	1745.2	1208.34	1044.52	1268.46	1427.22	1369.04	1127.35	1119.56	1295.13	1295.13	1242.34	825.0	1745.2	1250.98	909.17	941.27	830.75	0.0	0.67
DMBT1	2.12	10.88	9.48	18.03	6.52	21.01	21.32	6.78	2.81	49.21	14.45	9.13	2.68	16.51	4.03	4.98	11.3	10.39	0.0	0.0	0.0	25.17	236.21	0.0	0.95	10.47	0.47	0.0	0.0	15.8	8.58	0.0	0.0	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0
DNPEP	1639.59	1745.2	3146.52	1781.89	1709.26	2240.11	1991.0	1487.87	1437.15	2004.85	2537.92	1883.54	1467.37	2271.4	2434.5	2255.7	1639.59	3540.14	1551.09	1651.0	1350.18	1561.89	1467.37	1674.06	1819.35	2351.53	890.44	1844.76	1639.59	1096.5	1183.45	1769.57	1883.54	1551.09	2287.2	1457.23	1540.37	1508.65	1340.84	1757.34	1757.34	1540.37	0.0	0.69
EFNB1	163.28	414.87	733.19	693.58	447.82	947.83	1051.79	638.15	612.11	802.41	748.61	497.0	476.71	529.06	665.29	616.37	511.0	1081.39	149.12	123.5	229.72	595.34	295.11	208.38	208.38	164.42	248.0	147.06	255.0	112.77	228.13	159.9	156.59	285.03	195.72	59.13	131.51	218.79	99.43	48.18	214.27	363.56	0.0	0.97
EIF2S2	872.1	1331.57	1304.15	1529.73	1242.34	1151.06	1277.29	1059.11	1015.93	1340.84	1088.92	1407.55	1923.14	1359.57	967.76	1023.0	1350.18	1081.39	796.86	902.89	1037.29	866.07	1594.73	1233.75	974.5	890.44	1225.22	759.08	896.64	1519.15	1709.26	1088.92	1135.2	896.64	1191.69	1015.93	842.36	1104.13	902.89	759.08	1037.29	902.89	2573.36	2255.7
ELOVL1	612.11	1697.45	2739.08	1697.45	2090.03	1909.85	2004.85	2178.83	2163.77	2119.22	1697.45	2047.0	2434.5	2271.4	2224.63	2224.63	1427.22	2895.31	764.36	532.74	764.36	1008.9	1991.0	954.43	854.13	825.0	896.64	713.11	780.44	954.43	1059.11	1015.93	854.13	733.19	1023.0	651.58	595.34	723.08	684.02	454.09	928.3	825.0	0.0	0.3
EPDR1	121.79	1572.76	1477.58	1359.57	1457.23	1259.69	2133.97	884.29	511.0	3540.14	1467.37	878.17	854.13	909.17	575.03	825.0	1044.52	1286.18	258.57	153.34	339.14	185.11	1322.37	175.07	351.14	149.12	244.57	72.01	208.38	229.72	289.02	346.29	267.73	218.79	208.38	133.36	124.37	143.01	110.43	41.81	248.0	269.6	0.0	0.42
ERBB3	1159.07	3419.52	1437.15	4639.29	3540.14	1769.57	3103.19	1745.2	1662.49	2796.65	4210.15	2004.85	3190.46	2895.31	4328.55	2537.92	1498.22	3018.3	1096.5	791.35	981.29	2104.58	575.03	612.11	2075.59	1781.89	698.41	2163.77	1519.15	295.11	813.63	813.63	2417.67	1199.98	1233.75	819.3	2520.38	563.18	1844.76	669.92	3443.31	1733.13	848.22	909.17
ERGIC2	1015.93	2061.24	1757.34	1447.15	2163.77	1819.35	1806.78	1427.22	1709.26	2555.58	1350.18	1651.0	2573.36	1651.0	1359.57	1242.34	1870.53	1175.27	1051.79	866.07	1304.15	974.5	1104.13	1457.23	1044.52	638.15	1639.59	708.18	1059.11	1487.87	1127.35	872.1	854.13	1167.14	1233.75	830.75	1023.0	1175.27	1322.37	785.88	1183.45	1023.0	0.0	0.49
ERN2	1.81	1.1	2.58	5.54	9.2	0.0	1.08	2.68	0.0	20.71	12.93	3.82	48.18	0.75	10.24	0.39	0.38	1.1	0.0	0.0	0.0	1.5	3.53	9.93	0.0	0.82	0.0	0.0	0.95	2.76	1.31	1.48	50.98	29.27	0.27	2.1	12.64	0.0	0.0	2.36	0.0	6.06	0.0	0.0
FAM109A	98.04	191.67	194.36	334.46	226.54	228.13	381.68	289.02	209.84	223.41	796.86	260.38	265.87	149.12	389.72	320.8	161.02	99.43	124.37	273.37	412.0	170.25	417.77	256.78	128.79	199.85	146.03	267.73	143.01	220.32	403.5	185.11	111.99	100.13	100.83	158.79	86.43	101.54	209.84	72.01	127.0	167.9	0.0	0.43
FAM136A	500.46	718.08	909.17	1051.79	612.11	890.44	759.08	665.29	738.29	928.3	733.19	769.69	669.92	497.0	651.58	698.41	514.56	890.44	503.95	518.15	591.22	575.03	473.41	836.53	486.75	688.78	500.46	536.45	638.15	764.36	454.09	764.36	559.28	293.07	457.25	426.57	293.07	866.07	753.83	248.0	420.68	587.13	0.0	0.2
FAM32A	1519.15	1896.65	2119.22	2104.58	1832.01	1896.65	2367.9	1769.57	2303.12	1662.49	1781.89	1896.65	1963.57	2032.85	1923.14	1572.76	1781.89	2255.7	1651.0	1519.15	1350.18	1745.2	1417.35	1447.15	1923.14	1832.01	1794.29	1467.37	1857.6	1651.0	1769.57	1628.26	1295.13	1697.45	2018.8	1685.71	1340.84	1369.04	1427.22	1340.84	1561.89	1709.26	0.0	0.51
FAM9A	1.07	1.1	2.18	4.7	3.44	1.57	1.79	0.0	0.71	1.16	0.4	2.27	49.56	1.85	0.0	2.29	0.37	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.64	0.45	0.01	0.74	0.31	0.0	0.0	1.87	0.15	0.18	0.2	0.19	3.63	0.24	0.0	0.34	0.0	0.0
FANCG	133.36	218.79	412.0	336.79	371.22	332.14	417.77	320.8	260.38	376.41	242.88	463.65	271.48	379.04	301.33	351.14	285.03	279.14	67.12	80.01	103.69	137.14	75.64	153.34	103.69	97.36	77.25	156.59	122.64	134.3	187.71	34.75	104.42	94.01	40.07	113.56	34.51	45.85	127.0	41.22	44.57	85.22	0.0	0.66
FICD	115.16	217.27	186.4	208.38	199.85	90.14	115.97	92.05	121.79	153.34	226.54	223.41	612.11	201.25	231.32	119.26	178.77	107.38	68.55	34.26	256.78	83.45	164.42	191.67	67.59	60.39	144.01	59.55	42.11	165.57	148.09	90.77	71.5	105.15	75.11	108.9	50.98	148.09	125.24	24.11	56.28	49.56	57.49	218.79
