	GTEX.RWS6.1926.SM.47JXY	GTEX.13O3O.2526.SM.5L3DR	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.ZS.A9CE.01A.11R.A37K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	GTEX.ZXG5.0826.SM.5GID6	GTEX.XMD2.1026.SM.4WWE8	GTEX.X3Y1.0626.SM.3P5YS	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZH.0526.SM.3DB75	GTEX.Q2AH.0426.SM.2I3EP	GTEX.OXRK.0926.SM.2HMKP	TCGA.43.7657.11A.01R.2125.07
CSDC2	48.52	73.54	392.44	0.87	0.0	0.88	0.0	0.0	40.36	0.88	3.72	2.12	0.0	0.0	1.75	1.04	5.06	2.01	125.24	8.92	5.28	22.43	11.3	34.02	6.84	0.0	62.56	13.93	4.31	5.36	23.76	92.7	2.34	0.36	2.66	6.57	6.26	2.23	10.31	6.57	61.25	186.4	123.5	176.29	303.44	217.27	46.18	149.12
EFS	1059.11	267.73	81.14	4.66	9.06	1.3	0.0	4.74	51.35	2.2	320.8	1.97	3.2	3.23	1.64	4.5	4.62	6.62	119.26	24.81	15.0	38.67	17.25	36.27	31.9	9.48	14.35	61.25	7.06	15.11	26.28	28.24	5.82	15.45	19.97	7.34	6.89	5.36	3.96	8.25	547.75	253.23	656.11	507.46	947.83	297.17	135.24	253.23
EMILIN1	1015.93	2758.13	1923.14	191.67	176.29	43.02	30.12	81.71	1950.0	30.34	1936.53	102.25	40.64	62.12	24.28	206.94	48.52	167.9	3820.7	921.88	371.22	2119.22	183.82	571.05	1427.22	209.84	447.82	872.1	363.56	547.75	825.0	1008.9	429.54	728.11	909.17	1104.13	518.15	166.73	118.43	218.79	693.58	2004.85	842.36	1216.75	884.29	1199.98	571.05	2061.24
EXTL1	94.01	32.59	14.35	0.52	0.0	1.73	0.0	0.53	4.31	0.0	74.58	0.0	0.0	0.0	0.0	0.66	0.0	0.57	1.95	0.0	0.0	0.16	0.11	0.59	0.54	0.0	0.14	3.92	0.0	0.08	0.11	0.0	0.14	0.16	0.35	0.11	0.08	0.15	0.0	0.06	6.62	8.32	13.12	10.55	3.32	9.63	2.63	13.32
FBLN2	2956.17	4802.93	947.83	48.52	51.71	74.58	0.57	19.68	1059.11	51.35	3443.31	57.08	7.57	31.0	5.45	75.64	12.93	85.22	1628.26	299.25	104.42	665.29	87.03	532.74	217.27	89.51	76.71	414.87	82.87	144.01	90.77	215.77	279.14	153.34	177.53	199.85	112.77	13.93	27.25	120.1	4607.24	738.29	1819.35	4937.99	819.3	1073.91	1096.5	1183.45
FMOD	6792.79	3349.13	775.05	37.85	39.5	8.78	0.0	24.99	532.74	6.26	191.67	27.44	12.93	21.32	2.56	53.19	12.36	17.9	902.89	264.03	52.08	1088.92	64.34	392.44	264.03	124.37	142.01	249.73	55.89	128.79	164.42	149.12	92.7	112.77	195.72	283.05	78.89	85.82	32.59	80.01	3190.46	954.43	738.29	1745.2	624.99	361.04	860.08	1651.0
GDF6	15.22	20.11	4.98	0.0	1.66	0.0	0.0	0.36	12.27	0.0	65.26	0.42	0.0	1.17	0.0	1.95	0.0	1.22	40.07	5.02	9.27	22.92	5.02	16.03	7.82	4.13	7.22	18.84	4.1	3.11	2.81	1.16	3.0	15.56	5.63	3.89	3.66	0.68	0.93	6.36	52.45	25.91	20.86	28.65	12.45	4.13	11.38	11.91
GNB4	205.5	206.94	199.85	6.21	22.43	5.73	1.07	6.62	72.52	1.55	84.63	4.66	9.13	5.32	2.76	14.03	3.2	2.1	231.32	30.12	8.25	54.33	27.05	90.77	23.93	14.67	58.3	36.79	14.45	23.25	41.81	35.25	42.41	98.04	33.54	19.82	19.11	8.19	11.64	32.59	579.04	417.77	116.78	429.54	438.59	224.97	470.14	279.14
GNG2	563.18	1277.29	336.79	36.27	55.49	37.32	14.45	31.0	171.45	31.0	392.44	14.67	29.06	25.72	12.45	48.52	26.28	13.12	379.04	194.36	66.18	205.5	120.1	189.02	108.14	61.68	152.28	127.0	75.64	67.12	314.17	154.42	85.82	202.66	144.01	90.77	182.55	68.07	54.33	56.28	438.59	493.56	486.75	559.28	447.82	454.09	429.54	514.56
GPM6A	406.31	127.89	43.02	2.01	8.25	3.38	0.0	5.5	75.11	10.16	55.1	7.11	0.0	1.13	4.86	23.59	2.92	9.06	1340.84	204.07	31.22	718.08	197.09	309.83	84.63	68.07	332.14	244.57	84.63	41.22	221.86	211.31	208.38	503.95	159.9	155.5	103.69	59.13	7.17	198.47	2895.31	764.36	228.13	297.17	591.22	334.46	1081.39	463.65
GPM6B	1685.71	1295.13	13.72	2.89	4.74	7.17	2.73	2.94	39.5	5.54	403.5	2.41	4.43	3.56	3.96	2.1	3.69	3.23	20.71	10.16	5.23	15.11	10.16	52.08	13.42	6.31	16.03	28.65	4.82	5.23	10.47	44.89	20.41	14.24	9.2	7.46	7.88	4.39	1.51	8.65	928.3	457.25	194.36	332.14	432.53	197.09	555.41	320.8
GRIP1	83.45	35.0	17.0	2.18	0.47	0.43	0.0	3.26	21.47	0.43	4.28	2.2	0.84	0.0	0.0	0.0	0.78	0.0	13.22	1.43	0.96	3.86	3.41	67.59	7.88	0.24	5.28	15.11	0.0	2.46	0.83	7.06	1.55	6.36	1.5	0.83	2.48	0.33	0.0	2.29	66.65	10.47	10.71	7.69	15.22	57.89	22.92	14.35
GYPE	17.64	34.51	11.3	0.93	0.58	0.95	0.0	5.06	11.55	0.0	98.73	0.6	0.55	0.0	0.0	0.0	2.12	1.03	4.74	1.89	2.1	6.31	1.89	4.98	1.53	0.0	4.66	4.43	1.69	2.03	3.59	0.0	3.86	2.92	3.29	0.82	3.03	0.92	0.0	4.66	189.02	36.01	77.79	76.71	305.55	53.57	363.56	72.01
HEPH	412.0	967.76	314.17	23.08	19.25	21.01	0.55	11.38	130.6	6.06	435.55	12.93	7.06	12.93	4.54	15.0	13.52	4.1	191.67	35.76	11.73	85.22	18.84	77.25	40.93	18.84	38.67	82.87	14.14	28.45	38.95	52.08	60.39	44.57	24.28	34.51	18.29	35.0	9.41	34.02	698.41	341.51	703.28	444.72	161.02	395.18	587.13	353.59
IL16	1199.98	1651.0	878.17	38.4	71.0	63.45	27.84	45.85	363.56	42.71	503.95	40.64	17.9	28.04	16.27	63.0	20.41	36.53	1295.13	231.32	101.54	228.13	141.02	221.86	158.79	52.82	307.69	265.87	120.94	161.02	339.14	132.44	241.19	371.22	180.02	170.25	170.25	42.41	97.36	110.43	2485.67	878.17	4512.4	2148.82	1175.27	624.99	1757.34	733.19
ISLR	3349.13	1561.89	2193.99	37.59	13.12	4.7	0.78	20.11	529.06	8.78	6935.54	21.32	0.84	18.29	2.03	23.93	9.13	11.64	2796.65	674.59	161.02	1322.37	149.12	830.75	447.82	180.02	343.89	403.5	13.42	303.44	323.03	466.88	332.14	264.03	403.5	708.18	84.63	164.42	9.85	149.12	5672.41	2178.83	1529.73	2075.59	2104.58	547.75	1583.71	1340.84
ITGA8	68.07	392.44	241.19	4.74	14.78	3.69	1.91	5.59	64.34	9.7	37.59	2.92	3.03	3.89	9.63	3.29	2.03	4.06	24.63	12.55	4.13	34.02	5.92	42.71	5.92	1.01	7.34	36.79	10.63	9.13	9.85	10.31	13.93	10.63	5.92	6.73	2.63	3.14	7.28	12.93	1111.82	457.25	1143.1	1104.13	1143.1	525.39	642.59	503.95
ITGA9	384.34	275.28	185.11	20.56	37.32	20.41	3.03	12.27	256.78	10.71	178.77	15.56	15.45	16.75	6.52	44.57	9.93	17.38	988.12	197.09	96.68	303.44	65.72	251.48	152.28	48.87	275.28	209.84	64.34	126.12	137.14	172.65	157.68	339.14	169.07	111.99	84.63	37.59	64.34	148.09	438.59	281.09	567.1	392.44	187.71	1331.57	802.41	423.61
ITPRIPL2	273.37	242.88	273.37	44.89	93.35	29.27	45.21	36.79	223.41	20.11	126.12	116.78	61.25	67.59	39.5	72.52	31.22	59.55	157.68	64.8	31.67	36.53	40.36	121.79	72.52	49.21	89.51	54.72	46.18	63.89	31.22	56.68	103.69	98.73	35.76	64.8	25.72	51.71	43.02	120.94	376.41	171.45	265.87	409.15	470.14	420.68	466.88	346.29
KCNA6	34.26	12.27	6.62	0.0	0.0	0.0	0.34	0.37	2.97	0.0	13.62	0.0	0.0	0.39	0.0	0.0	0.0	0.0	1.22	0.54	0.6	1.33	0.54	2.01	1.19	0.0	1.28	0.0	0.48	0.0	0.0	0.54	0.58	0.61	1.95	1.17	0.0	0.0	0.0	1.6	13.32	4.5	5.19	3.5	6.94	1.97	13.93	7.88
KCND1	37.85	44.25	30.78	14.03	8.78	8.38	5.92	3.03	35.25	8.45	65.72	8.51	3.69	6.31	3.79	7.69	3.44	23.59	24.28	23.93	4.62	26.1	6.73	10.79	4.43	6.67	6.94	8.71	11.3	17.13	8.85	6.16	16.27	0.66	5.92	2.53	18.03	0.25	3.44	18.29	47.17	62.12	59.55	45.21	40.64	63.89	53.95	37.59
KCNS2	3.23	11.13	2.12	0.0	0.0	0.0	0.0	0.0	1.64	0.0	115.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.36	0.3	2.25	0.3	0.26	0.0	0.0	0.0	0.77	0.0	0.0	0.33	0.0	1.51	0.29	0.0	0.35	0.0	0.0	3.23	4.5	5.32	9.7	3.23	3.38	3.2	7.0
KCTD12	1977.24	3039.3	1151.06	33.78	48.52	39.5	12.09	39.79	358.54	28.86	769.69	27.44	23.76	17.77	7.88	52.82	24.28	30.34	669.92	147.06	33.78	239.52	20.41	414.87	100.13	45.85	108.14	101.54	53.19	74.06	80.01	111.99	202.66	198.47	81.71	85.22	57.89	12.18	68.55	80.57	3742.05	1183.45	1674.06	3443.31	2032.85	1467.37	1721.16	1662.49
KCTD19	7.22	9.48	2.12	0.0	0.0	0.0	0.0	0.0	5.11	0.51	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	3.89	0.0	3.89	0.0	0.16	5.19	0.47	3.29	0.97	0.46	0.47	0.93	0.13	0.16	0.64	0.36	4.28	0.0	0.0	0.67	0.79	27.25	12.55	10.96	3.14	22.1	21.94	5.59	2.63
KIAA0040	2047.0	1059.11	293.07	68.07	262.2	43.32	30.34	97.36	460.44	95.34	152.28	102.97	102.25	187.71	183.82	52.82	50.98	381.68	343.89	134.3	122.64	129.69	120.94	217.27	109.66	108.14	169.07	143.01	412.0	80.01	124.37	267.73	111.99	273.37	165.57	100.13	146.03	236.21	71.5	163.28	872.1	665.29	688.78	921.88	753.83	595.34	1242.34	802.41
KLF8	403.5	136.19	96.01	7.63	5.54	4.17	0.0	2.86	27.44	2.05	271.48	3.82	2.12	2.14	1.1	11.3	2.39	4.06	33.54	18.97	3.26	31.9	22.43	33.78	10.16	6.11	13.12	32.13	9.34	8.65	24.28	18.29	13.93	19.25	9.41	15.91	5.11	6.46	7.82	13.42	1806.78	61.25	371.22	190.34	629.35	299.25	271.48	120.94
L1TD1	11.82	45.21	5.41	0.78	0.47	0.0	0.0	0.42	1.97	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.97	1.85	0.0	0.0	1.77	1.64	0.0	0.4	1.69	0.0	1.48	0.36	0.0	1.77	0.0	0.22	0.36	1.5	0.0	0.0	0.28	29.48	6.16	13.83	16.39	32.82	21.32	23.76	21.78
LEFTY2	60.39	20.41	53.19	0.39	0.0	0.0	0.0	0.77	6.57	1.89	1.83	0.0	0.41	0.82	0.0	0.0	0.0	0.43	1.55	0.46	2.89	0.0	0.0	2.2	3.14	0.91	1.64	3.23	16.03	0.0	1.5	0.0	0.0	3.53	0.75	2.03	0.42	4.06	0.75	0.0	96.01	277.2	36.79	39.5	73.54	42.41	38.12	80.01
MAP9	135.24	50.98	22.75	1.55	38.12	0.49	0.0	1.58	22.75	0.0	77.79	0.56	1.66	1.3	1.16	2.53	1.55	0.54	15.22	8.71	2.84	6.21	4.1	37.05	5.11	3.53	1.85	10.55	0.22	26.28	21.63	11.47	1.83	7.69	28.86	8.58	2.01	0.0	0.04	4.86	124.37	59.55	190.34	88.88	139.07	164.42	141.02	111.99
MOB3C	463.65	301.33	327.56	67.12	79.45	85.82	101.54	108.9	215.77	102.25	476.71	75.64	45.85	114.36	59.97	81.71	79.45	106.63	264.03	176.29	155.5	215.77	99.43	139.07	80.01	78.34	156.59	149.12	136.19	180.02	120.1	191.67	122.64	129.69	218.79	133.36	124.37	135.24	80.01	134.3	470.14	547.75	466.88	796.86	656.11	476.71	769.69	403.5
MOBP	3.11	11.3	2.56	2.03	0.0	0.0	0.0	1.55	5.15	0.56	3.08	0.64	0.0	0.0	0.52	0.0	0.54	0.0	0.42	1.08	0.72	1.19	1.48	0.18	0.41	0.0	5.32	2.41	3.06	1.19	0.65	0.65	5.82	0.73	3.82	1.99	0.14	0.0	0.84	0.0	2.58	9.63	31.0	34.51	11.91	9.06	23.08	36.27
MRC2	2032.85	2255.7	1073.91	36.01	44.57	9.93	11.38	19.39	373.81	11.47	271.48	24.63	6.46	24.28	8.19	63.89	9.56	24.81	1119.56	323.03	121.79	301.33	36.01	281.09	281.09	137.14	142.01	334.46	22.43	249.73	248.0	212.78	248.0	255.0	242.88	177.53	92.7	17.38	33.78	85.22	2434.5	2351.53	1909.85	2384.37	2645.74	3742.05	1199.98	2701.35
MYOZ1	43.94	41.52	57.08	2.01	3.79	3.86	0.0	5.11	39.22	4.31	8.92	4.46	1.2	0.0	1.1	3.86	0.69	1.25	10.31	2.43	3.69	14.78	4.43	18.56	5.02	6.73	6.41	5.77	1.14	2.97	0.75	2.97	2.32	5.41	0.88	6.16	4.62	2.41	0.88	0.59	2502.97	463.65	55.49	193.01	457.25	343.89	60.82	241.19
NFASC	172.65	679.29	346.29	24.28	32.36	21.94	2.12	96.68	269.6	92.7	406.31	40.64	50.98	13.62	9.85	16.88	26.1	63.45	122.64	88.88	53.19	384.34	16.63	142.01	84.63	37.32	26.67	111.99	13.12	186.4	116.78	87.03	54.33	102.97	106.63	73.03	32.59	48.87	27.64	35.76	400.71	162.14	348.71	187.71	165.57	186.4	239.52	181.28
PDZRN3	947.83	830.75	109.66	4.21	9.41	1.13	0.0	3.11	75.64	4.35	1233.75	6.31	1.58	3.32	0.0	6.11	3.44	8.06	126.12	116.78	25.91	185.11	24.63	82.29	122.64	13.42	23.08	153.34	23.59	49.56	108.14	67.12	25.17	165.57	39.22	83.45	23.59	9.85	10.24	24.46	884.29	409.15	480.04	665.29	1268.46	397.93	264.03	493.56
PODN	3257.52	1096.5	1001.93	30.12	40.36	7.57	2.56	15.56	934.76	4.17	327.56	26.86	2.89	11.04	0.87	54.72	7.75	22.43	1225.22	323.03	85.22	532.74	70.51	656.11	392.44	122.64	64.8	412.0	40.64	291.04	532.74	214.27	152.28	236.21	228.13	120.94	90.14	79.45	16.75	88.26	21919.61	2664.15	5711.87	5995.9	2090.03	2209.26	3639.7	2163.77
PRELP	4298.64	660.68	1242.34	30.12	42.11	9.63	0.93	30.34	389.72	8.32	186.4	32.13	2.01	15.45	1.85	43.32	12.55	15.56	748.61	275.28	102.97	1225.22	88.26	1008.9	366.09	161.02	120.94	511.0	36.27	177.53	293.07	381.68	189.02	171.45	249.73	232.94	117.6	215.77	35.76	163.28	9088.59	5872.48	2956.17	2935.74	3874.05	954.43	9474.59	2004.85
PRICKLE1	438.59	142.01	151.22	8.92	6.16	6.16	0.0	1.97	52.45	0.52	172.65	3.56	0.93	2.12	1.53	9.34	1.22	3.76	305.55	29.7	12.64	85.22	32.36	57.89	79.45	7.11	48.18	70.51	26.67	10.16	39.22	56.68	37.59	57.08	23.08	21.94	18.7	2.53	3.29	17.77	1008.9	109.66	209.84	358.54	819.3	212.78	429.54	234.57
PRKAR2B	1651.0	1268.46	53.95	2.01	1.03	2.81	0.52	2.03	35.76	2.81	113.56	0.61	0.57	0.57	0.52	10.39	1.64	1.43	182.55	82.29	24.46	181.28	37.32	52.08	62.12	14.35	63.45	68.07	9.34	17.64	41.22	39.22	32.82	112.77	16.75	37.85	24.81	43.94	7.34	21.63	309.83	312.0	339.14	420.68	224.97	299.25	454.09	237.86
PTCH1	253.23	1304.15	69.52	36.27	21.63	38.12	22.59	24.46	169.07	4.1	31.67	67.12	13.42	17.0	26.28	20.41	34.26	13.62	86.43	21.01	47.17	39.79	57.08	182.55	26.67	100.13	107.38	54.33	76.71	33.54	73.54	113.56	38.4	169.07	31.9	33.54	30.78	38.4	44.89	61.25	366.09	348.71	403.5	791.35	289.02	205.5	234.57	232.94
PTN	1277.29	1331.57	212.78	19.25	31.22	8.0	2.73	21.47	145.02	4.86	1127.35	4.78	13.42	18.29	3.47	31.0	26.47	17.9	595.34	190.34	115.16	277.2	115.16	71.0	143.01	75.64	123.5	224.97	60.82	67.59	135.24	141.02	87.65	84.63	109.66	94.01	67.59	15.0	14.03	80.57	713.11	780.44	358.54	283.05	921.88	497.0	395.18	642.59
RAB36	69.52	26.86	102.25	21.01	0.59	2.03	0.51	0.0	31.0	2.03	49.56	1.91	1.73	2.12	6.01	0.0	0.53	1.41	37.05	21.63	3.03	22.1	0.56	8.19	8.38	32.36	2.03	1.17	8.0	5.96	1.66	9.56	6.89	5.15	4.82	3.92	0.39	1.43	8.32	1.14	76.71	127.0	599.49	214.27	211.31	320.8	60.82	228.13
RCSD1	497.0	1685.71	651.58	30.34	62.56	28.45	8.32	30.56	202.66	21.78	291.04	18.03	21.47	23.08	9.13	34.51	14.03	9.13	567.1	96.01	35.5	182.55	80.01	136.19	74.06	33.78	166.73	158.79	38.95	70.01	112.77	113.56	137.14	220.32	75.64	94.67	113.56	30.34	35.76	59.55	764.36	579.04	1709.26	1651.0	543.96	575.03	1572.76	665.29
SIGLEC5	16.15	38.12	3.76	1.43	5.28	0.0	0.0	1.1	24.81	0.75	27.25	0.87	1.53	0.39	0.35	2.43	1.41	0.41	43.32	9.06	5.82	7.28	4.66	35.0	11.55	3.14	34.51	1.71	24.46	7.11	4.62	4.62	18.84	9.48	3.08	1.08	7.75	2.48	2.18	33.78	48.18	63.45	54.72	75.11	47.84	106.63	90.77	116.78
SLC24A3	253.23	223.41	140.04	1.45	2.07	1.48	0.0	1.46	27.05	1.89	463.65	0.73	0.0	0.68	0.62	3.41	1.04	1.14	76.71	9.56	4.31	27.25	2.34	40.93	24.99	2.39	27.25	24.63	7.17	5.19	9.41	13.42	17.9	8.78	5.63	12.27	2.41	3.56	4.58	3.03	1208.34	142.01	186.4	232.94	647.07	483.38	450.94	201.25
SLC7A4	48.52	33.06	33.78	0.0	1.16	0.34	0.0	0.33	15.91	0.0	15.68	0.0	0.0	0.0	0.0	1.81	1.64	0.38	16.75	6.41	4.74	19.53	2.84	6.94	2.84	1.97	9.56	31.45	3.14	7.94	57.49	7.94	11.21	6.46	5.32	11.04	9.48	13.42	0.0	5.45	1487.87	13.32	83.45	85.82	19.97	152.28	24.99	45.85
SPINK2	15.34	158.79	31.22	0.0	1.75	0.0	0.0	2.71	18.43	0.0	1.91	3.66	0.0	0.0	0.0	0.0	0.0	1.28	2.73	0.0	0.0	6.52	4.31	0.0	13.72	7.22	5.87	6.84	0.0	3.26	3.47	7.0	5.82	12.74	6.78	7.0	0.0	0.0	0.0	0.0	8.13	10.0	27.44	8.25	17.64	6.78	16.27	23.59
SRPX	6792.79	1977.24	299.25	6.78	45.21	16.88	19.68	15.91	595.34	5.82	339.14	12.09	4.78	12.18	1.14	62.56	11.91	17.51	2468.49	316.37	105.89	521.76	169.07	532.74	808.0	102.25	460.44	361.04	39.79	277.2	373.81	316.37	267.73	293.07	262.2	303.44	96.68	44.89	100.83	143.01	2573.36	2104.58	1977.24	2816.11	698.41	1369.04	2163.77	1225.22
